♠2, ♦9, ♦4, ♠10, ♣10 | pair
♠2, ♦4, ♠8, ♠6, ♣4 | pair
♠2, ♦4, ♠8, ♠6, ♣8 | pair
♠2, ♦4, ♠8, ♠6, ♥4 | pair
♠2, ♦4, ♠8, ♣10, ♣4 | pair
♠2, ♦4, ♠8, ♣10, ♣8 | pair
♠2, ♦4, ♠8, ♣10, ♥4 | pair
♠2, ♦4, ♠8, ♥A, ♣4 | pair
♠2, ♦4, ♠8, ♥A, ♣8 | pair
♠2, ♦4, ♠8, ♥A, ♥4 | pair
♠2, ♦4, ♠8, ♣4, ♣Q | pair
♠2, ♦4, ♠8, ♣4, ♣8 | two pairs
♠2, ♦4, ♠8, ♣4, ♥4 | three of a kind
♠2, ♦4, ♠8, ♣Q, ♣8 | pair
♠2, ♦4, ♠8, ♣Q, ♥4 | pair
♠2, ♦4, ♠8, ♣8, ♥4 | two pairs
♠2, ♦4, ♠6, ♣10, ♣4 | pair
♠2, ♦4, ♠6, ♣10, ♥4 | pair
♠2, ♦4, ♠6, ♥A, ♣4 | pair
♠2, ♦4, ♠6, ♥A, ♥4 | pair
♠2, ♦4, ♠6, ♣4, ♣Q | pair
♠2, ♦4, ♠6, ♣4, ♣8 | pair
♠2, ♦4, ♠6, ♣4, ♥4 | three of a kind
♠2, ♦4, ♠6, ♣Q, ♥4 | pair
♠2, ♦4, ♠6, ♣8, ♥4 | pair
♠2, ♦4, ♣10, ♥A, ♣4 | pair
♠2, ♦4, ♣10, ♥A, ♥4 | pair
♠2, ♦4, ♣10, ♣4, ♣Q | pair
♠2, ♦4, ♣10, ♣4, ♣8 | pair
♠2, ♦4, ♣10, ♣4, ♥4 | three of a kind
♠2, ♦4, ♣10, ♣Q, ♥4 | pair
♠2, ♦4, ♣10, ♣8, ♥4 | pair
♠2, ♦4, ♥A, ♣4, ♣Q | pair
♠2, ♦4, ♥A, ♣4, ♣8 | pair
♠2, ♦4, ♥A, ♣4, ♥4 | three of a kind
♠2, ♦4, ♥A, ♣Q, ♥4 | pair
♠2, ♦4, ♥A, ♣8, ♥4 | pair
♠2, ♦4, ♣4, ♣Q, ♣8 | pair
♠2, ♦4, ♣4, ♣Q, ♥4 | three of a kind
♠2, ♦4, ♣4, ♣8, ♥4 | three of a kind
♠2, ♦4, ♣Q, ♣8, ♥4 | pair
♠2, ♠10, ♠8, ♠6, ♣10 | pair
♠2, ♠10, ♠8, ♠6, ♣8 | pair
♠2, ♠10, ♠8, ♣10, ♥A | pair
♠2, ♠10, ♠8, ♣10, ♣4 | pair
♠2, ♠10, ♠8, ♣10, ♣Q | pair
♠2, ♠10, ♠8, ♣10, ♣8 | two pairs
♠2, ♠10, ♠8, ♣10, ♥4 | pair
♠2, ♠10, ♠8, ♥A, ♣8 | pair
♠2, ♠10, ♠8, ♣4, ♣8 | pair
♠2, ♠10, ♠8, ♣4, ♥4 | pair
♠2, ♠10, ♠8, ♣Q, ♣8 | pair
♠2, ♠10, ♠8, ♣8, ♥4 | pair
♠2, ♠10, ♠6, ♣10, ♥A | pair
♠2, ♠10, ♠6, ♣10, ♣4 | pair
♠2, ♠10, ♠6, ♣10, ♣Q | pair
♠2, ♠10, ♠6, ♣10, ♣8 | pair
♠2, ♠10, ♠6, ♣10, ♥4 | pair
♠2, ♠10, ♠6, ♣4, ♥4 | pair
♠2, ♠10, ♣10, ♥A, ♣4 | pair
♠2, ♠10, ♣10, ♥A, ♣Q | pair
♠2, ♠10, ♣10, ♥A, ♣8 | pair
♠2, ♠10, ♣10, ♥A, ♥4 | pair
♠2, ♠10, ♣10, ♣4, ♣Q | pair
♠2, ♠10, ♣10, ♣4, ♣8 | pair
♠2, ♠10, ♣10, ♣4, ♥4 | two pairs
♠2, ♠10, ♣10, ♣Q, ♣8 | pair
♠2, ♠10, ♣10, ♣Q, ♥4 | pair
♠2, ♠10, ♣10, ♣8, ♥4 | pair
♠2, ♠10, ♥A, ♣4, ♥4 | pair
♠2, ♠10, ♣4, ♣Q, ♥4 | pair
♠2, ♠10, ♣4, ♣8, ♥4 | pair
♠2, ♠8, ♠6, ♣10, ♣8 | pair
♠2, ♠8, ♠6, ♥A, ♣8 | pair
♠2, ♠8, ♠6, ♣4, ♣8 | pair
♠2, ♠8, ♠6, ♣4, ♥4 | pair
♠2, ♠8, ♠6, ♣Q, ♣8 | pair
♠2, ♠8, ♠6, ♣8, ♥4 | pair
♠2, ♠8, ♣10, ♥A, ♣8 | pair
♠2, ♠8, ♣10, ♣4, ♣8 | pair
♠2, ♠8, ♣10, ♣4, ♥4 | pair
♠2, ♠8, ♣10, ♣Q, ♣8 | pair
♠2, ♠8, ♣10, ♣8, ♥4 | pair
♠2, ♠8, ♥A, ♣4, ♣8 | pair
♠2, ♠8, ♥A, ♣4, ♥4 | pair
♠2, ♠8, ♥A, ♣Q, ♣8 | pair
♠2, ♠8, ♥A, ♣8, ♥4 | pair
♠2, ♠8, ♣4, ♣Q, ♣8 | pair
♠2, ♠8, ♣4, ♣Q, ♥4 | pair
♠2, ♠8, ♣4, ♣8, ♥4 | two pairs
♠2, ♠8, ♣Q, ♣8, ♥4 | pair
♠2, ♠6, ♣10, ♣4, ♥4 | pair
♠2, ♠6, ♥A, ♣4, ♥4 | pair
♠2, ♠6, ♣4, ♣Q, ♥4 | pair
♠2, ♠6, ♣4, ♣8, ♥4 | pair
♠2, ♣10, ♥A, ♣4, ♥4 | pair
♠2, ♣10, ♣4, ♣Q, ♥4 | pair
♠2, ♣10, ♣4, ♣8, ♥4 | pair
♠2, ♥A, ♣4, ♣Q, ♥4 | pair
♠2, ♥A, ♣4, ♣8, ♥4 | pair
♠2, ♣4, ♣Q, ♣8, ♥4 | pair
♦9, ♦4, ♠10, ♠8, ♣10 | pair
♦9, ♦4, ♠10, ♠8, ♣4 | pair
♦9, ♦4, ♠10, ♠8, ♣8 | pair
♦9, ♦4, ♠10, ♠8, ♥4 | pair
♦9, ♦4, ♠10, ♠6, ♣10 | pair
♦9, ♦4, ♠10, ♠6, ♣4 | pair
♦9, ♦4, ♠10, ♠6, ♥4 | pair
♦9, ♦4, ♠10, ♣10, ♥A | pair
♦9, ♦4, ♠10, ♣10, ♣4 | two pairs
♦9, ♦4, ♠10, ♣10, ♣Q | pair
♦9, ♦4, ♠10, ♣10, ♣8 | pair
♦9, ♦4, ♠10, ♣10, ♥4 | two pairs
♦9, ♦4, ♠10, ♥A, ♣4 | pair
♦9, ♦4, ♠10, ♥A, ♥4 | pair
♦9, ♦4, ♠10, ♣4, ♣Q | pair
♦9, ♦4, ♠10, ♣4, ♣8 | pair
♦9, ♦4, ♠10, ♣4, ♥4 | three of a kind
♦9, ♦4, ♠10, ♣Q, ♥4 | pair
♦9, ♦4, ♠10, ♣8, ♥4 | pair
♦9, ♦4, ♠8, ♠6, ♣4 | pair
♦9, ♦4, ♠8, ♠6, ♣8 | pair
♦9, ♦4, ♠8, ♠6, ♥4 | pair
♦9, ♦4, ♠8, ♣10, ♣4 | pair
♦9, ♦4, ♠8, ♣10, ♣8 | pair
♦9, ♦4, ♠8, ♣10, ♥4 | pair
♦9, ♦4, ♠8, ♥A, ♣4 | pair
♦9, ♦4, ♠8, ♥A, ♣8 | pair
♦9, ♦4, ♠8, ♥A, ♥4 | pair
♦9, ♦4, ♠8, ♣4, ♣Q | pair
♦9, ♦4, ♠8, ♣4, ♣8 | two pairs
♦9, ♦4, ♠8, ♣4, ♥4 | three of a kind
♦9, ♦4, ♠8, ♣Q, ♣8 | pair
♦9, ♦4, ♠8, ♣Q, ♥4 | pair
♦9, ♦4, ♠8, ♣8, ♥4 | two pairs
♦9, ♦4, ♠6, ♣10, ♣4 | pair
♦9, ♦4, ♠6, ♣10, ♥4 | pair
♦9, ♦4, ♠6, ♥A, ♣4 | pair
♦9, ♦4, ♠6, ♥A, ♥4 | pair
♦9, ♦4, ♠6, ♣4, ♣Q | pair
♦9, ♦4, ♠6, ♣4, ♣8 | pair
♦9, ♦4, ♠6, ♣4, ♥4 | three of a kind
♦9, ♦4, ♠6, ♣Q, ♥4 | pair
♦9, ♦4, ♠6, ♣8, ♥4 | pair
♦9, ♦4, ♣10, ♥A, ♣4 | pair
♦9, ♦4, ♣10, ♥A, ♥4 | pair
♦9, ♦4, ♣10, ♣4, ♣Q | pair
♦9, ♦4, ♣10, ♣4, ♣8 | pair
♦9, ♦4, ♣10, ♣4, ♥4 | three of a kind
♦9, ♦4, ♣10, ♣Q, ♥4 | pair
♦9, ♦4, ♣10, ♣8, ♥4 | pair
♦9, ♦4, ♥A, ♣4, ♣Q | pair
♦9, ♦4, ♥A, ♣4, ♣8 | pair
♦9, ♦4, ♥A, ♣4, ♥4 | three of a kind
♦9, ♦4, ♥A, ♣Q, ♥4 | pair
♦9, ♦4, ♥A, ♣8, ♥4 | pair
♦9, ♦4, ♣4, ♣Q, ♣8 | pair
♦9, ♦4, ♣4, ♣Q, ♥4 | three of a kind
♦9, ♦4, ♣4, ♣8, ♥4 | three of a kind
♦9, ♦4, ♣Q, ♣8, ♥4 | pair
♦9, ♠10, ♠8, ♠6, ♣10 | pair
♦9, ♠10, ♠8, ♠6, ♣8 | pair
♦9, ♠10, ♠8, ♣10, ♥A | pair
♦9, ♠10, ♠8, ♣10, ♣4 | pair
♦9, ♠10, ♠8, ♣10, ♣Q | pair
♦9, ♠10, ♠8, ♣10, ♣8 | two pairs
♦9, ♠10, ♠8, ♣10, ♥4 | pair
♦9, ♠10, ♠8, ♥A, ♣8 | pair
♦9, ♠10, ♠8, ♣4, ♣8 | pair
♦9, ♠10, ♠8, ♣4, ♥4 | pair
♦9, ♠10, ♠8, ♣Q, ♣8 | pair
♦9, ♠10, ♠8, ♣8, ♥4 | pair
♦9, ♠10, ♠6, ♣10, ♥A | pair
♦9, ♠10, ♠6, ♣10, ♣4 | pair
♦9, ♠10, ♠6, ♣10, ♣Q | pair
♦9, ♠10, ♠6, ♣10, ♣8 | pair
♦9, ♠10, ♠6, ♣10, ♥4 | pair
♦9, ♠10, ♠6, ♣4, ♥4 | pair
♦9, ♠10, ♣10, ♥A, ♣4 | pair
♦9, ♠10, ♣10, ♥A, ♣Q | pair
♦9, ♠10, ♣10, ♥A, ♣8 | pair
♦9, ♠10, ♣10, ♥A, ♥4 | pair
♦9, ♠10, ♣10, ♣4, ♣Q | pair
♦9, ♠10, ♣10, ♣4, ♣8 | pair
♦9, ♠10, ♣10, ♣4, ♥4 | two pairs
♦9, ♠10, ♣10, ♣Q, ♣8 | pair
♦9, ♠10, ♣10, ♣Q, ♥4 | pair
♦9, ♠10, ♣10, ♣8, ♥4 | pair
♦9, ♠10, ♥A, ♣4, ♥4 | pair
♦9, ♠10, ♣4, ♣Q, ♥4 | pair
♦9, ♠10, ♣4, ♣8, ♥4 | pair
♦9, ♠8, ♠6, ♣10, ♣8 | pair
♦9, ♠8, ♠6, ♥A, ♣8 | pair
♦9, ♠8, ♠6, ♣4, ♣8 | pair
♦9, ♠8, ♠6, ♣4, ♥4 | pair
♦9, ♠8, ♠6, ♣Q, ♣8 | pair
♦9, ♠8, ♠6, ♣8, ♥4 | pair
♦9, ♠8, ♣10, ♥A, ♣8 | pair
♦9, ♠8, ♣10, ♣4, ♣8 | pair
♦9, ♠8, ♣10, ♣4, ♥4 | pair
♦9, ♠8, ♣10, ♣Q, ♣8 | pair
♦9, ♠8, ♣10, ♣8, ♥4 | pair
♦9, ♠8, ♥A, ♣4, ♣8 | pair
♦9, ♠8, ♥A, ♣4, ♥4 | pair
♦9, ♠8, ♥A, ♣Q, ♣8 | pair
♦9, ♠8, ♥A, ♣8, ♥4 | pair
♦9, ♠8, ♣4, ♣Q, ♣8 | pair
♦9, ♠8, ♣4, ♣Q, ♥4 | pair
♦9, ♠8, ♣4, ♣8, ♥4 | two pairs
♦9, ♠8, ♣Q, ♣8, ♥4 | pair
♦9, ♠6, ♣10, ♣4, ♥4 | pair
♦9, ♠6, ♥A, ♣4, ♥4 | pair
♦9, ♠6, ♣4, ♣Q, ♥4 | pair
♦9, ♠6, ♣4, ♣8, ♥4 | pair
♦9, ♣10, ♥A, ♣4, ♥4 | pair
♦9, ♣10, ♣4, ♣Q, ♥4 | pair
♦9, ♣10, ♣4, ♣8, ♥4 | pair
♦9, ♥A, ♣4, ♣Q, ♥4 | pair
♦9, ♥A, ♣4, ♣8, ♥4 | pair
♦9, ♣4, ♣Q, ♣8, ♥4 | pair
♦4, ♠10, ♠8, ♠6, ♣10 | pair
♦4, ♠10, ♠8, ♠6, ♣4 | pair
♦4, ♠10, ♠8, ♠6, ♣8 | pair
♦4, ♠10, ♠8, ♠6, ♥4 | pair
♦4, ♠10, ♠8, ♣10, ♥A | pair
♦4, ♠10, ♠8, ♣10, ♣4 | two pairs
♦4, ♠10, ♠8, ♣10, ♣Q | pair
♦4, ♠10, ♠8, ♣10, ♣8 | two pairs
♦4, ♠10, ♠8, ♣10, ♥4 | two pairs
♦4, ♠10, ♠8, ♥A, ♣4 | pair
♦4, ♠10, ♠8, ♥A, ♣8 | pair
♦4, ♠10, ♠8, ♥A, ♥4 | pair
♦4, ♠10, ♠8, ♣4, ♣Q | pair
♦4, ♠10, ♠8, ♣4, ♣8 | two pairs
♦4, ♠10, ♠8, ♣4, ♥4 | three of a kind
♦4, ♠10, ♠8, ♣Q, ♣8 | pair
♦4, ♠10, ♠8, ♣Q, ♥4 | pair
♦4, ♠10, ♠8, ♣8, ♥4 | two pairs
♦4, ♠10, ♠6, ♣10, ♥A | pair
♦4, ♠10, ♠6, ♣10, ♣4 | two pairs
♦4, ♠10, ♠6, ♣10, ♣Q | pair
♦4, ♠10, ♠6, ♣10, ♣8 | pair
♦4, ♠10, ♠6, ♣10, ♥4 | two pairs
♦4, ♠10, ♠6, ♥A, ♣4 | pair
♦4, ♠10, ♠6, ♥A, ♥4 | pair
♦4, ♠10, ♠6, ♣4, ♣Q | pair
♦4, ♠10, ♠6, ♣4, ♣8 | pair
♦4, ♠10, ♠6, ♣4, ♥4 | three of a kind
♦4, ♠10, ♠6, ♣Q, ♥4 | pair
♦4, ♠10, ♠6, ♣8, ♥4 | pair
♦4, ♠10, ♣10, ♥A, ♣4 | two pairs
♦4, ♠10, ♣10, ♥A, ♣Q | pair
♦4, ♠10, ♣10, ♥A, ♣8 | pair
♦4, ♠10, ♣10, ♥A, ♥4 | two pairs
♦4, ♠10, ♣10, ♣4, ♣Q | two pairs
♦4, ♠10, ♣10, ♣4, ♣8 | two pairs
♦4, ♠10, ♣10, ♣4, ♥4 | fullhouse
♦4, ♠10, ♣10, ♣Q, ♣8 | pair
♦4, ♠10, ♣10, ♣Q, ♥4 | two pairs
♦4, ♠10, ♣10, ♣8, ♥4 | two pairs
♦4, ♠10, ♥A, ♣4, ♣Q | pair
♦4, ♠10, ♥A, ♣4, ♣8 | pair
♦4, ♠10, ♥A, ♣4, ♥4 | three of a kind
♦4, ♠10, ♥A, ♣Q, ♥4 | pair
♦4, ♠10, ♥A, ♣8, ♥4 | pair
♦4, ♠10, ♣4, ♣Q, ♣8 | pair
♦4, ♠10, ♣4, ♣Q, ♥4 | three of a kind
♦4, ♠10, ♣4, ♣8, ♥4 | three of a kind
♦4, ♠10, ♣Q, ♣8, ♥4 | pair
♦4, ♠8, ♠6, ♣10, ♣4 | pair
♦4, ♠8, ♠6, ♣10, ♣8 | pair
♦4, ♠8, ♠6, ♣10, ♥4 | pair
♦4, ♠8, ♠6, ♥A, ♣4 | pair
♦4, ♠8, ♠6, ♥A, ♣8 | pair
♦4, ♠8, ♠6, ♥A, ♥4 | pair
♦4, ♠8, ♠6, ♣4, ♣Q | pair
♦4, ♠8, ♠6, ♣4, ♣8 | two pairs
♦4, ♠8, ♠6, ♣4, ♥4 | three of a kind
♦4, ♠8, ♠6, ♣Q, ♣8 | pair
♦4, ♠8, ♠6, ♣Q, ♥4 | pair
♦4, ♠8, ♠6, ♣8, ♥4 | two pairs
♦4, ♠8, ♣10, ♥A, ♣4 | pair
♦4, ♠8, ♣10, ♥A, ♣8 | pair
♦4, ♠8, ♣10, ♥A, ♥4 | pair
♦4, ♠8, ♣10, ♣4, ♣Q | pair
♦4, ♠8, ♣10, ♣4, ♣8 | two pairs
♦4, ♠8, ♣10, ♣4, ♥4 | three of a kind
♦4, ♠8, ♣10, ♣Q, ♣8 | pair
♦4, ♠8, ♣10, ♣Q, ♥4 | pair
♦4, ♠8, ♣10, ♣8, ♥4 | two pairs
♦4, ♠8, ♥A, ♣4, ♣Q | pair
♦4, ♠8, ♥A, ♣4, ♣8 | two pairs
♦4, ♠8, ♥A, ♣4, ♥4 | three of a kind
♦4, ♠8, ♥A, ♣Q, ♣8 | pair
♦4, ♠8, ♥A, ♣Q, ♥4 | pair
♦4, ♠8, ♥A, ♣8, ♥4 | two pairs
♦4, ♠8, ♣4, ♣Q, ♣8 | two pairs
♦4, ♠8, ♣4, ♣Q, ♥4 | three of a kind
♦4, ♠8, ♣4, ♣8, ♥4 | fullhouse
♦4, ♠8, ♣Q, ♣8, ♥4 | two pairs
♦4, ♠6, ♣10, ♥A, ♣4 | pair
♦4, ♠6, ♣10, ♥A, ♥4 | pair
♦4, ♠6, ♣10, ♣4, ♣Q | pair
♦4, ♠6, ♣10, ♣4, ♣8 | pair
♦4, ♠6, ♣10, ♣4, ♥4 | three of a kind
♦4, ♠6, ♣10, ♣Q, ♥4 | pair
♦4, ♠6, ♣10, ♣8, ♥4 | pair
♦4, ♠6, ♥A, ♣4, ♣Q | pair
♦4, ♠6, ♥A, ♣4, ♣8 | pair
♦4, ♠6, ♥A, ♣4, ♥4 | three of a kind
♦4, ♠6, ♥A, ♣Q, ♥4 | pair
♦4, ♠6, ♥A, ♣8, ♥4 | pair
♦4, ♠6, ♣4, ♣Q, ♣8 | pair
♦4, ♠6, ♣4, ♣Q, ♥4 | three of a kind
♦4, ♠6, ♣4, ♣8, ♥4 | three of a kind
♦4, ♠6, ♣Q, ♣8, ♥4 | pair
♦4, ♣10, ♥A, ♣4, ♣Q | pair
♦4, ♣10, ♥A, ♣4, ♣8 | pair
♦4, ♣10, ♥A, ♣4, ♥4 | three of a kind
♦4, ♣10, ♥A, ♣Q, ♥4 | pair
♦4, ♣10, ♥A, ♣8, ♥4 | pair
♦4, ♣10, ♣4, ♣Q, ♣8 | pair
♦4, ♣10, ♣4, ♣Q, ♥4 | three of a kind
♦4, ♣10, ♣4, ♣8, ♥4 | three of a kind
♦4, ♣10, ♣Q, ♣8, ♥4 | pair
♦4, ♥A, ♣4, ♣Q, ♣8 | pair
♦4, ♥A, ♣4, ♣Q, ♥4 | three of a kind
♦4, ♥A, ♣4, ♣8, ♥4 | three of a kind
♦4, ♥A, ♣Q, ♣8, ♥4 | pair
♦4, ♣4, ♣Q, ♣8, ♥4 | three of a kind
♠10, ♠8, ♠6, ♣10, ♥A | pair
♠10, ♠8, ♠6, ♣10, ♣4 | pair
♠10, ♠8, ♠6, ♣10, ♣Q | pair
♠10, ♠8, ♠6, ♣10, ♣8 | two pairs
♠10, ♠8, ♠6, ♣10, ♥4 | pair
♠10, ♠8, ♠6, ♥A, ♣8 | pair
♠10, ♠8, ♠6, ♣4, ♣8 | pair
♠10, ♠8, ♠6, ♣4, ♥4 | pair
♠10, ♠8, ♠6, ♣Q, ♣8 | pair
♠10, ♠8, ♠6, ♣8, ♥4 | pair
♠10, ♠8, ♣10, ♥A, ♣4 | pair
♠10, ♠8, ♣10, ♥A, ♣Q | pair
♠10, ♠8, ♣10, ♥A, ♣8 | two pairs
♠10, ♠8, ♣10, ♥A, ♥4 | pair
♠10, ♠8, ♣10, ♣4, ♣Q | pair
♠10, ♠8, ♣10, ♣4, ♣8 | two pairs
♠10, ♠8, ♣10, ♣4, ♥4 | two pairs
♠10, ♠8, ♣10, ♣Q, ♣8 | two pairs
♠10, ♠8, ♣10, ♣Q, ♥4 | pair
♠10, ♠8, ♣10, ♣8, ♥4 | two pairs
♠10, ♠8, ♥A, ♣4, ♣8 | pair
♠10, ♠8, ♥A, ♣4, ♥4 | pair
♠10, ♠8, ♥A, ♣Q, ♣8 | pair
♠10, ♠8, ♥A, ♣8, ♥4 | pair
♠10, ♠8, ♣4, ♣Q, ♣8 | pair
♠10, ♠8, ♣4, ♣Q, ♥4 | pair
♠10, ♠8, ♣4, ♣8, ♥4 | two pairs
♠10, ♠8, ♣Q, ♣8, ♥4 | pair
♠10, ♠6, ♣10, ♥A, ♣4 | pair
♠10, ♠6, ♣10, ♥A, ♣Q | pair
♠10, ♠6, ♣10, ♥A, ♣8 | pair
♠10, ♠6, ♣10, ♥A, ♥4 | pair
♠10, ♠6, ♣10, ♣4, ♣Q | pair
♠10, ♠6, ♣10, ♣4, ♣8 | pair
♠10, ♠6, ♣10, ♣4, ♥4 | two pairs
♠10, ♠6, ♣10, ♣Q, ♣8 | pair
♠10, ♠6, ♣10, ♣Q, ♥4 | pair
♠10, ♠6, ♣10, ♣8, ♥4 | pair
♠10, ♠6, ♥A, ♣4, ♥4 | pair
♠10, ♠6, ♣4, ♣Q, ♥4 | pair
♠10, ♠6, ♣4, ♣8, ♥4 | pair
♠10, ♣10, ♥A, ♣4, ♣Q | pair
♠10, ♣10, ♥A, ♣4, ♣8 | pair
♠10, ♣10, ♥A, ♣4, ♥4 | two pairs
♠10, ♣10, ♥A, ♣Q, ♣8 | pair
♠10, ♣10, ♥A, ♣Q, ♥4 | pair
♠10, ♣10, ♥A, ♣8, ♥4 | pair
♠10, ♣10, ♣4, ♣Q, ♣8 | pair
♠10, ♣10, ♣4, ♣Q, ♥4 | two pairs
♠10, ♣10, ♣4, ♣8, ♥4 | two pairs
♠10, ♣10, ♣Q, ♣8, ♥4 | pair
♠10, ♥A, ♣4, ♣Q, ♥4 | pair
♠10, ♥A, ♣4, ♣8, ♥4 | pair
♠10, ♣4, ♣Q, ♣8, ♥4 | pair
♠8, ♠6, ♣10, ♥A, ♣8 | pair
♠8, ♠6, ♣10, ♣4, ♣8 | pair
♠8, ♠6, ♣10, ♣4, ♥4 | pair
♠8, ♠6, ♣10, ♣Q, ♣8 | pair
♠8, ♠6, ♣10, ♣8, ♥4 | pair
♠8, ♠6, ♥A, ♣4, ♣8 | pair
♠8, ♠6, ♥A, ♣4, ♥4 | pair
♠8, ♠6, ♥A, ♣Q, ♣8 | pair
♠8, ♠6, ♥A, ♣8, ♥4 | pair
♠8, ♠6, ♣4, ♣Q, ♣8 | pair
♠8, ♠6, ♣4, ♣Q, ♥4 | pair
♠8, ♠6, ♣4, ♣8, ♥4 | two pairs
♠8, ♠6, ♣Q, ♣8, ♥4 | pair
♠8, ♣10, ♥A, ♣4, ♣8 | pair
♠8, ♣10, ♥A, ♣4, ♥4 | pair
♠8, ♣10, ♥A, ♣Q, ♣8 | pair
♠8, ♣10, ♥A, ♣8, ♥4 | pair
♠8, ♣10, ♣4, ♣Q, ♣8 | pair
♠8, ♣10, ♣4, ♣Q, ♥4 | pair
♠8, ♣10, ♣4, ♣8, ♥4 | two pairs
♠8, ♣10, ♣Q, ♣8, ♥4 | pair
♠8, ♥A, ♣4, ♣Q, ♣8 | pair
♠8, ♥A, ♣4, ♣Q, ♥4 | pair
♠8, ♥A, ♣4, ♣8, ♥4 | two pairs
♠8, ♥A, ♣Q, ♣8, ♥4 | pair
♠8, ♣4, ♣Q, ♣8, ♥4 | two pairs
♠6, ♣10, ♥A, ♣4, ♥4 | pair
♠6, ♣10, ♣4, ♣Q, ♥4 | pair
♠6, ♣10, ♣4, ♣8, ♥4 | pair
♠6, ♥A, ♣4, ♣Q, ♥4 | pair
♠6, ♥A, ♣4, ♣8, ♥4 | pair
♠6, ♣4, ♣Q, ♣8, ♥4 | pair
♣10, ♥A, ♣4, ♣Q, ♥4 | pair
♣10, ♥A, ♣4, ♣8, ♥4 | pair
♣10, ♣4, ♣Q, ♣8, ♥4 | pair
♥A, ♣4, ♣Q, ♣8, ♥4 | pair
