♠6,♥8,♦J,♥T,♦6 | Pair
♠6,♥8,♣7,♠7,♣Q | Pair
♠6,♥8,♣7,♠7,♣9 | Pair
♠6,♥8,♣7,♠7,♣5 | Pair
♠6,♥8,♣7,♠5,♣5 | Pair
♠6,♥8,♦Q,♣K,♦6 | Pair
♠6,♥8,♦Q,♣K,♣Q | Pair
♠6,♥8,♦Q,♦7,♦6 | Pair
♠6,♥8,♦Q,♦7,♠7 | Pair
♠6,♥8,♦Q,♦7,♣Q | Pair
♠6,♥8,♦Q,♣2,♦6 | Pair
♠6,♥8,♦Q,♣2,♣Q | Pair
♠6,♥8,♦Q,♦6,♠7 | Pair
♠6,♥8,♦Q,♦6,♠5 | Pair
♠6,♥8,♦Q,♦6,♣Q | Two Pairs
♠6,♥8,♦Q,♦6,♣9 | Pair
♠6,♥8,♦Q,♦6,♣5 | Pair
♠6,♥8,♦Q,♠7,♣Q | Pair
♠6,♥8,♦Q,♠5,♣Q | Pair
♠6,♥8,♦Q,♠5,♣5 | Pair
♠6,♥8,♦Q,♣Q,♣9 | Pair
♠6,♥8,♦Q,♣Q,♣5 | Pair
♠6,♥8,♣K,♦7,♦6 | Pair
♠6,♥8,♣K,♦7,♠7 | Pair
♠6,♥8,♣K,♣2,♦6 | Pair
♠6,♥8,♣K,♦6,♠7 | Pair
♠6,♥8,♣K,♦6,♠5 | Pair
♠6,♥8,♣K,♦6,♣Q | Pair
♠6,♥8,♣K,♦6,♣9 | Pair
♠6,♥8,♣K,♦6,♣5 | Pair
♠6,♥8,♣K,♠5,♣5 | Pair
♠6,♥8,♦7,♣2,♦6 | Pair
♠6,♥8,♦7,♣2,♠7 | Pair
♠6,♥8,♦7,♦6,♠7 | Two Pairs
♠6,♥8,♦7,♦6,♠5 | Pair
♠6,♥8,♦7,♦6,♣Q | Pair
♠6,♥8,♦7,♦6,♣9 | Pair
♠6,♥8,♦7,♦6,♣5 | Pair
♠6,♥8,♦7,♠7,♠5 | Pair
♠6,♥8,♦7,♠7,♣Q | Pair
♠6,♥8,♦7,♠7,♣9 | Pair
♠6,♥8,♦7,♠7,♣5 | Pair
♠6,♥8,♦7,♠5,♣5 | Pair
♠6,♥8,♣2,♦6,♠7 | Pair
♠6,♥8,♣2,♦6,♠5 | Pair
♠6,♥8,♣2,♦6,♣Q | Pair
♠6,♥8,♣2,♦6,♣9 | Pair
♠6,♥8,♣2,♦6,♣5 | Pair
♠6,♥8,♣2,♠5,♣5 | Pair
♠6,♥8,♦6,♠7,♠5 | Pair
♠6,♥8,♦6,♠7,♣Q | Pair
♠6,♥8,♦6,♠7,♣9 | Pair
♠6,♥8,♦6,♠7,♣5 | Pair
♠6,♥8,♦6,♠5,♣Q | Pair
♠6,♥8,♦6,♠5,♣9 | Pair
♠6,♥8,♦6,♠5,♣5 | Two Pairs
♠6,♥8,♦6,♣Q,♣9 | Pair
♠6,♥8,♦6,♣Q,♣5 | Pair
♠6,♥8,♦6,♣9,♣5 | Pair
♠6,♥8,♠7,♠5,♣5 | Pair
♠6,♥8,♠5,♣Q,♣5 | Pair
♠6,♥8,♠5,♣9,♣5 | Pair
♠6,♦J,♥T,♣7,♦7 | Pair
♠6,♦J,♥T,♣7,♦6 | Pair
♠6,♦J,♥T,♣7,♠7 | Pair
♠6,♦J,♥T,♦Q,♦6 | Pair
♠6,♦J,♥T,♦Q,♣Q | Pair
♠6,♦J,♥T,♣K,♦6 | Pair
♠6,♦J,♥T,♦7,♦6 | Pair
♠6,♦J,♥T,♦7,♠7 | Pair
♠6,♦J,♥T,♣2,♦6 | Pair
♠6,♦J,♥T,♦6,♠7 | Pair
♠6,♦J,♥T,♦6,♠5 | Pair
♠6,♦J,♥T,♦6,♣Q | Pair
♠6,♦J,♥T,♦6,♣9 | Pair
♠6,♦J,♥T,♦6,♣5 | Pair
♠6,♦J,♥T,♠5,♣5 | Pair
♠6,♦J,♣7,♦Q,♦7 | Pair
♠6,♦J,♣7,♦Q,♦6 | Pair
♠6,♦J,♣7,♦Q,♠7 | Pair
♠6,♦J,♣7,♦Q,♣Q | Pair
♠6,♦J,♣7,♣K,♦7 | Pair
♠6,♦J,♣7,♣K,♦6 | Pair
♠6,♦J,♣7,♣K,♠7 | Pair
♠6,♦J,♣7,♦7,♣2 | Pair
♠6,♦J,♣7,♦7,♦6 | Two Pairs
♠6,♦J,♣7,♦7,♠7 | Full House
♠6,♦J,♣7,♦7,♠5 | Pair
♠6,♦J,♣7,♦7,♣Q | Pair
♠6,♦J,♣7,♦7,♣9 | Pair
♠6,♦J,♣7,♦7,♣5 | Pair
♠6,♦J,♣7,♣2,♦6 | Pair
♠6,♦J,♣7,♣2,♠7 | Pair
♠6,♦J,♣7,♦6,♠7 | Two Pairs
♠6,♦J,♣7,♦6,♠5 | Pair
♠6,♦J,♣7,♦6,♣Q | Pair
♠6,♦J,♣7,♦6,♣9 | Pair
♠6,♦J,♣7,♦6,♣5 | Pair
♠6,♦J,♣7,♠7,♠5 | Pair
♠6,♦J,♣7,♠7,♣Q | Pair
♠6,♦J,♣7,♠7,♣9 | Pair
♠6,♦J,♣7,♠7,♣5 | Pair
♠6,♦J,♣7,♠5,♣5 | Pair
♠6,♦J,♦Q,♣K,♦6 | Pair
♠6,♦J,♦Q,♣K,♣Q | Pair
♠6,♦J,♦Q,♦7,♦6 | Pair
♠6,♦J,♦Q,♦7,♠7 | Pair
♠6,♦J,♦Q,♦7,♣Q | Pair
♠6,♦J,♦Q,♣2,♦6 | Pair
♠6,♦J,♦Q,♣2,♣Q | Pair
♠6,♦J,♦Q,♦6,♠7 | Pair
♠6,♦J,♦Q,♦6,♠5 | Pair
♠6,♦J,♦Q,♦6,♣Q | Two Pairs
♠6,♦J,♦Q,♦6,♣9 | Pair
♠6,♦J,♦Q,♦6,♣5 | Pair
♠6,♦J,♦Q,♠7,♣Q | Pair
♠6,♦J,♦Q,♠5,♣Q | Pair
♠6,♦J,♦Q,♠5,♣5 | Pair
♠6,♦J,♦Q,♣Q,♣9 | Pair
♠6,♦J,♦Q,♣Q,♣5 | Pair
♠6,♦J,♣K,♦7,♦6 | Pair
♠6,♦J,♣K,♦7,♠7 | Pair
♠6,♦J,♣K,♣2,♦6 | Pair
♠6,♦J,♣K,♦6,♠7 | Pair
♠6,♦J,♣K,♦6,♠5 | Pair
♠6,♦J,♣K,♦6,♣Q | Pair
♠6,♦J,♣K,♦6,♣9 | Pair
♠6,♦J,♣K,♦6,♣5 | Pair
♠6,♦J,♣K,♠5,♣5 | Pair
♠6,♦J,♦7,♣2,♦6 | Pair
♠6,♦J,♦7,♣2,♠7 | Pair
♠6,♦J,♦7,♦6,♠7 | Two Pairs
♠6,♦J,♦7,♦6,♠5 | Pair
♠6,♦J,♦7,♦6,♣Q | Pair
♠6,♦J,♦7,♦6,♣9 | Pair
♠6,♦J,♦7,♦6,♣5 | Pair
♠6,♦J,♦7,♠7,♠5 | Pair
♠6,♦J,♦7,♠7,♣Q | Pair
♠6,♦J,♦7,♠7,♣9 | Pair
♠6,♦J,♦7,♠7,♣5 | Pair
♠6,♦J,♦7,♠5,♣5 | Pair
♠6,♦J,♣2,♦6,♠7 | Pair
♠6,♦J,♣2,♦6,♠5 | Pair
♠6,♦J,♣2,♦6,♣Q | Pair
♠6,♦J,♣2,♦6,♣9 | Pair
♠6,♦J,♣2,♦6,♣5 | Pair
♠6,♦J,♣2,♠5,♣5 | Pair
♠6,♦J,♦6,♠7,♠5 | Pair
♠6,♦J,♦6,♠7,♣Q | Pair
♠6,♦J,♦6,♠7,♣9 | Pair
♠6,♦J,♦6,♠7,♣5 | Pair
♠6,♦J,♦6,♠5,♣Q | Pair
♠6,♦J,♦6,♠5,♣9 | Pair
♠6,♦J,♦6,♠5,♣5 | Two Pairs
♠6,♦J,♦6,♣Q,♣9 | Pair
♠6,♦J,♦6,♣Q,♣5 | Pair
♠6,♦J,♦6,♣9,♣5 | Pair
♠6,♦J,♠7,♠5,♣5 | Pair
♠6,♦J,♠5,♣Q,♣5 | Pair
♠6,♦J,♠5,♣9,♣5 | Pair
♠6,♥T,♣7,♦Q,♦7 | Pair
♠6,♥T,♣7,♦Q,♦6 | Pair
♠6,♥T,♣7,♦Q,♠7 | Pair
♠6,♥T,♣7,♦Q,♣Q | Pair
♠6,♥T,♣7,♣K,♦7 | Pair
♠6,♥T,♣7,♣K,♦6 | Pair
♠6,♥T,♣7,♣K,♠7 | Pair
♠6,♥T,♣7,♦7,♣2 | Pair
♠6,♥T,♣7,♦7,♦6 | Two Pairs
♠6,♥T,♣7,♦7,♠7 | Full House
♠6,♥T,♣7,♦7,♠5 | Pair
♠6,♥T,♣7,♦7,♣Q | Pair
♠6,♥T,♣7,♦7,♣9 | Pair
♠6,♥T,♣7,♦7,♣5 | Pair
♠6,♥T,♣7,♣2,♦6 | Pair
♠6,♥T,♣7,♣2,♠7 | Pair
♠6,♥T,♣7,♦6,♠7 | Two Pairs
♠6,♥T,♣7,♦6,♠5 | Pair
♠6,♥T,♣7,♦6,♣Q | Pair
♠6,♥T,♣7,♦6,♣9 | Pair
♠6,♥T,♣7,♦6,♣5 | Pair
♠6,♥T,♣7,♠7,♠5 | Pair
♠6,♥T,♣7,♠7,♣Q | Pair
♠6,♥T,♣7,♠7,♣9 | Pair
♠6,♥T,♣7,♠7,♣5 | Pair
♠6,♥T,♣7,♠5,♣5 | Pair
♠6,♥T,♦Q,♣K,♦6 | Pair
♠6,♥T,♦Q,♣K,♣Q | Pair
♠6,♥T,♦Q,♦7,♦6 | Pair
♠6,♥T,♦Q,♦7,♠7 | Pair
♠6,♥T,♦Q,♦7,♣Q | Pair
♠6,♥T,♦Q,♣2,♦6 | Pair
♠6,♥T,♦Q,♣2,♣Q | Pair
♠6,♥T,♦Q,♦6,♠7 | Pair
♠6,♥T,♦Q,♦6,♠5 | Pair
♠6,♥T,♦Q,♦6,♣Q | Two Pairs
♠6,♥T,♦Q,♦6,♣9 | Pair
♠6,♥T,♦Q,♦6,♣5 | Pair
♠6,♥T,♦Q,♠7,♣Q | Pair
♠6,♥T,♦Q,♠5,♣Q | Pair
♠6,♥T,♦Q,♠5,♣5 | Pair
♠6,♥T,♦Q,♣Q,♣9 | Pair
♠6,♥T,♦Q,♣Q,♣5 | Pair
♠6,♥T,♣K,♦7,♦6 | Pair
♠6,♥T,♣K,♦7,♠7 | Pair
♠6,♥T,♣K,♣2,♦6 | Pair
♠6,♥T,♣K,♦6,♠7 | Pair
♠6,♥T,♣K,♦6,♠5 | Pair
♠6,♥T,♣K,♦6,♣Q | Pair
♠6,♥T,♣K,♦6,♣9 | Pair
♠6,♥T,♣K,♦6,♣5 | Pair
♠6,♥T,♣K,♠5,♣5 | Pair
♠6,♥T,♦7,♣2,♦6 | Pair
♠6,♥T,♦7,♣2,♠7 | Pair
♠6,♥T,♦7,♦6,♠7 | Two Pairs
♠6,♥T,♦7,♦6,♠5 | Pair
♠6,♥T,♦7,♦6,♣Q | Pair
♠6,♥T,♦7,♦6,♣9 | Pair
♠6,♥T,♦7,♦6,♣5 | Pair
♠6,♥T,♦7,♠7,♠5 | Pair
♠6,♥T,♦7,♠7,♣Q | Pair
♠6,♥T,♦7,♠7,♣9 | Pair
♠6,♥T,♦7,♠7,♣5 | Pair
♠6,♥T,♦7,♠5,♣5 | Pair
♠6,♥T,♣2,♦6,♠7 | Pair
♠6,♥T,♣2,♦6,♠5 | Pair
♠6,♥T,♣2,♦6,♣Q | Pair
♠6,♥T,♣2,♦6,♣9 | Pair
♠6,♥T,♣2,♦6,♣5 | Pair
♠6,♥T,♣2,♠5,♣5 | Pair
♠6,♥T,♦6,♠7,♠5 | Pair
♠6,♥T,♦6,♠7,♣Q | Pair
♠6,♥T,♦6,♠7,♣9 | Pair
♠6,♥T,♦6,♠7,♣5 | Pair
♠6,♥T,♦6,♠5,♣Q | Pair
♠6,♥T,♦6,♠5,♣9 | Pair
♠6,♥T,♦6,♠5,♣5 | Two Pairs
♠6,♥T,♦6,♣Q,♣9 | Pair
♠6,♥T,♦6,♣Q,♣5 | Pair
♠6,♥T,♦6,♣9,♣5 | Pair
♠6,♥T,♠7,♠5,♣5 | Pair
♠6,♥T,♠5,♣Q,♣5 | Pair
♠6,♥T,♠5,♣9,♣5 | Pair
♠6,♣7,♦Q,♣K,♦7 | Pair
♠6,♣7,♦Q,♣K,♦6 | Pair
♠6,♣7,♦Q,♣K,♠7 | Pair
♠6,♣7,♦Q,♣K,♣Q | Pair
♠6,♣7,♦Q,♦7,♣2 | Pair
♠6,♣7,♦Q,♦7,♦6 | Two Pairs
♠6,♣7,♦Q,♦7,♠7 | Full House
♠6,♣7,♦Q,♦7,♠5 | Pair
♠6,♣7,♦Q,♦7,♣Q | Two Pairs
♠6,♣7,♦Q,♦7,♣9 | Pair
♠6,♣7,♦Q,♦7,♣5 | Pair
♠6,♣7,♦Q,♣2,♦6 | Pair
♠6,♣7,♦Q,♣2,♠7 | Pair
♠6,♣7,♦Q,♣2,♣Q | Pair
♠6,♣7,♦Q,♦6,♠7 | Two Pairs
♠6,♣7,♦Q,♦6,♠5 | Pair
♠6,♣7,♦Q,♦6,♣Q | Two Pairs
♠6,♣7,♦Q,♦6,♣9 | Pair
♠6,♣7,♦Q,♦6,♣5 | Pair
♠6,♣7,♦Q,♠7,♠5 | Pair
♠6,♣7,♦Q,♠7,♣Q | Two Pairs
♠6,♣7,♦Q,♠7,♣9 | Pair
♠6,♣7,♦Q,♠7,♣5 | Pair
♠6,♣7,♦Q,♠5,♣Q | Pair
♠6,♣7,♦Q,♠5,♣5 | Pair
♠6,♣7,♦Q,♣Q,♣9 | Pair
♠6,♣7,♦Q,♣Q,♣5 | Pair
♠6,♣7,♣K,♦7,♣2 | Pair
♠6,♣7,♣K,♦7,♦6 | Two Pairs
♠6,♣7,♣K,♦7,♠7 | Full House
♠6,♣7,♣K,♦7,♠5 | Pair
♠6,♣7,♣K,♦7,♣Q | Pair
♠6,♣7,♣K,♦7,♣9 | Pair
♠6,♣7,♣K,♦7,♣5 | Pair
♠6,♣7,♣K,♣2,♦6 | Pair
♠6,♣7,♣K,♣2,♠7 | Pair
♠6,♣7,♣K,♦6,♠7 | Two Pairs
♠6,♣7,♣K,♦6,♠5 | Pair
♠6,♣7,♣K,♦6,♣Q | Pair
♠6,♣7,♣K,♦6,♣9 | Pair
♠6,♣7,♣K,♦6,♣5 | Pair
♠6,♣7,♣K,♠7,♠5 | Pair
♠6,♣7,♣K,♠7,♣Q | Pair
♠6,♣7,♣K,♠7,♣9 | Pair
♠6,♣7,♣K,♠7,♣5 | Pair
♠6,♣7,♣K,♠5,♣5 | Pair
♠6,♣7,♦7,♣2,♦6 | Two Pairs
♠6,♣7,♦7,♣2,♠7 | Full House
♠6,♣7,♦7,♣2,♠5 | Pair
♠6,♣7,♦7,♣2,♣Q | Pair
♠6,♣7,♦7,♣2,♣9 | Pair
♠6,♣7,♦7,♣2,♣5 | Pair
♠6,♣7,♦7,♦6,♠7 | Full House
♠6,♣7,♦7,♦6,♠5 | Two Pairs
♠6,♣7,♦7,♦6,♣Q | Two Pairs
♠6,♣7,♦7,♦6,♣9 | Two Pairs
♠6,♣7,♦7,♦6,♣5 | Two Pairs
♠6,♣7,♦7,♠7,♠5 | Full House
♠6,♣7,♦7,♠7,♣Q | Full House
♠6,♣7,♦7,♠7,♣9 | Full House
♠6,♣7,♦7,♠7,♣5 | Full House
♠6,♣7,♦7,♠5,♣Q | Pair
♠6,♣7,♦7,♠5,♣9 | Pair
♠6,♣7,♦7,♠5,♣5 | Two Pairs
♠6,♣7,♦7,♣Q,♣9 | Pair
♠6,♣7,♦7,♣Q,♣5 | Pair
♠6,♣7,♦7,♣9,♣5 | Pair
♠6,♣7,♣2,♦6,♠7 | Two Pairs
♠6,♣7,♣2,♦6,♠5 | Pair
♠6,♣7,♣2,♦6,♣Q | Pair
♠6,♣7,♣2,♦6,♣9 | Pair
♠6,♣7,♣2,♦6,♣5 | Pair
♠6,♣7,♣2,♠7,♠5 | Pair
♠6,♣7,♣2,♠7,♣Q | Pair
♠6,♣7,♣2,♠7,♣9 | Pair
♠6,♣7,♣2,♠7,♣5 | Pair
♠6,♣7,♣2,♠5,♣5 | Pair
♠6,♣7,♦6,♠7,♠5 | Two Pairs
♠6,♣7,♦6,♠7,♣Q | Two Pairs
♠6,♣7,♦6,♠7,♣9 | Two Pairs
♠6,♣7,♦6,♠7,♣5 | Two Pairs
♠6,♣7,♦6,♠5,♣Q | Pair
♠6,♣7,♦6,♠5,♣9 | Pair
♠6,♣7,♦6,♠5,♣5 | Two Pairs
♠6,♣7,♦6,♣Q,♣9 | Pair
♠6,♣7,♦6,♣Q,♣5 | Pair
♠6,♣7,♦6,♣9,♣5 | Pair
♠6,♣7,♠7,♠5,♣Q | Pair
♠6,♣7,♠7,♠5,♣9 | Pair
♠6,♣7,♠7,♠5,♣5 | Two Pairs
♠6,♣7,♠7,♣Q,♣9 | Pair
♠6,♣7,♠7,♣Q,♣5 | Pair
♠6,♣7,♠7,♣9,♣5 | Pair
♠6,♣7,♠5,♣Q,♣5 | Pair
♠6,♣7,♠5,♣9,♣5 | Pair
♠6,♦Q,♣K,♦7,♦6 | Pair
♠6,♦Q,♣K,♦7,♠7 | Pair
♠6,♦Q,♣K,♦7,♣Q | Pair
♠6,♦Q,♣K,♣2,♦6 | Pair
♠6,♦Q,♣K,♣2,♣Q | Pair
♠6,♦Q,♣K,♦6,♠7 | Pair
♠6,♦Q,♣K,♦6,♠5 | Pair
♠6,♦Q,♣K,♦6,♣Q | Two Pairs
♠6,♦Q,♣K,♦6,♣9 | Pair
♠6,♦Q,♣K,♦6,♣5 | Pair
♠6,♦Q,♣K,♠7,♣Q | Pair
♠6,♦Q,♣K,♠5,♣Q | Pair
♠6,♦Q,♣K,♠5,♣5 | Pair
♠6,♦Q,♣K,♣Q,♣9 | Pair
♠6,♦Q,♣K,♣Q,♣5 | Pair
♠6,♦Q,♦7,♣2,♦6 | Pair
♠6,♦Q,♦7,♣2,♠7 | Pair
♠6,♦Q,♦7,♣2,♣Q | Pair
♠6,♦Q,♦7,♦6,♠7 | Two Pairs
♠6,♦Q,♦7,♦6,♠5 | Pair
♠6,♦Q,♦7,♦6,♣Q | Two Pairs
♠6,♦Q,♦7,♦6,♣9 | Pair
♠6,♦Q,♦7,♦6,♣5 | Pair
♠6,♦Q,♦7,♠7,♠5 | Pair
♠6,♦Q,♦7,♠7,♣Q | Two Pairs
♠6,♦Q,♦7,♠7,♣9 | Pair
♠6,♦Q,♦7,♠7,♣5 | Pair
♠6,♦Q,♦7,♠5,♣Q | Pair
♠6,♦Q,♦7,♠5,♣5 | Pair
♠6,♦Q,♦7,♣Q,♣9 | Pair
♠6,♦Q,♦7,♣Q,♣5 | Pair
♠6,♦Q,♣2,♦6,♠7 | Pair
♠6,♦Q,♣2,♦6,♠5 | Pair
♠6,♦Q,♣2,♦6,♣Q | Two Pairs
♠6,♦Q,♣2,♦6,♣9 | Pair
♠6,♦Q,♣2,♦6,♣5 | Pair
♠6,♦Q,♣2,♠7,♣Q | Pair
♠6,♦Q,♣2,♠5,♣Q | Pair
♠6,♦Q,♣2,♠5,♣5 | Pair
♠6,♦Q,♣2,♣Q,♣9 | Pair
♠6,♦Q,♣2,♣Q,♣5 | Pair
♠6,♦Q,♦6,♠7,♠5 | Pair
♠6,♦Q,♦6,♠7,♣Q | Two Pairs
♠6,♦Q,♦6,♠7,♣9 | Pair
♠6,♦Q,♦6,♠7,♣5 | Pair
♠6,♦Q,♦6,♠5,♣Q | Two Pairs
♠6,♦Q,♦6,♠5,♣9 | Pair
♠6,♦Q,♦6,♠5,♣5 | Two Pairs
♠6,♦Q,♦6,♣Q,♣9 | Two Pairs
♠6,♦Q,♦6,♣Q,♣5 | Two Pairs
♠6,♦Q,♦6,♣9,♣5 | Pair
♠6,♦Q,♠7,♠5,♣Q | Pair
♠6,♦Q,♠7,♠5,♣5 | Pair
♠6,♦Q,♠7,♣Q,♣9 | Pair
♠6,♦Q,♠7,♣Q,♣5 | Pair
♠6,♦Q,♠5,♣Q,♣9 | Pair
♠6,♦Q,♠5,♣Q,♣5 | Two Pairs
♠6,♦Q,♠5,♣9,♣5 | Pair
♠6,♦Q,♣Q,♣9,♣5 | Pair
♠6,♣K,♦7,♣2,♦6 | Pair
♠6,♣K,♦7,♣2,♠7 | Pair
♠6,♣K,♦7,♦6,♠7 | Two Pairs
♠6,♣K,♦7,♦6,♠5 | Pair
♠6,♣K,♦7,♦6,♣Q | Pair
♠6,♣K,♦7,♦6,♣9 | Pair
♠6,♣K,♦7,♦6,♣5 | Pair
♠6,♣K,♦7,♠7,♠5 | Pair
♠6,♣K,♦7,♠7,♣Q | Pair
♠6,♣K,♦7,♠7,♣9 | Pair
♠6,♣K,♦7,♠7,♣5 | Pair
♠6,♣K,♦7,♠5,♣5 | Pair
♠6,♣K,♣2,♦6,♠7 | Pair
♠6,♣K,♣2,♦6,♠5 | Pair
♠6,♣K,♣2,♦6,♣Q | Pair
♠6,♣K,♣2,♦6,♣9 | Pair
♠6,♣K,♣2,♦6,♣5 | Pair
♠6,♣K,♣2,♠5,♣5 | Pair
♠6,♣K,♦6,♠7,♠5 | Pair
♠6,♣K,♦6,♠7,♣Q | Pair
♠6,♣K,♦6,♠7,♣9 | Pair
♠6,♣K,♦6,♠7,♣5 | Pair
♠6,♣K,♦6,♠5,♣Q | Pair
♠6,♣K,♦6,♠5,♣9 | Pair
♠6,♣K,♦6,♠5,♣5 | Two Pairs
♠6,♣K,♦6,♣Q,♣9 | Pair
♠6,♣K,♦6,♣Q,♣5 | Pair
♠6,♣K,♦6,♣9,♣5 | Pair
♠6,♣K,♠7,♠5,♣5 | Pair
♠6,♣K,♠5,♣Q,♣5 | Pair
♠6,♣K,♠5,♣9,♣5 | Pair
♠6,♦7,♣2,♦6,♠7 | Two Pairs
♠6,♦7,♣2,♦6,♠5 | Pair
♠6,♦7,♣2,♦6,♣Q | Pair
♠6,♦7,♣2,♦6,♣9 | Pair
♠6,♦7,♣2,♦6,♣5 | Pair
♠6,♦7,♣2,♠7,♠5 | Pair
♠6,♦7,♣2,♠7,♣Q | Pair
♠6,♦7,♣2,♠7,♣9 | Pair
♠6,♦7,♣2,♠7,♣5 | Pair
♠6,♦7,♣2,♠5,♣5 | Pair
♠6,♦7,♦6,♠7,♠5 | Two Pairs
♠6,♦7,♦6,♠7,♣Q | Two Pairs
♠6,♦7,♦6,♠7,♣9 | Two Pairs
♠6,♦7,♦6,♠7,♣5 | Two Pairs
♠6,♦7,♦6,♠5,♣Q | Pair
♠6,♦7,♦6,♠5,♣9 | Pair
♠6,♦7,♦6,♠5,♣5 | Two Pairs
♠6,♦7,♦6,♣Q,♣9 | Pair
♠6,♦7,♦6,♣Q,♣5 | Pair
♠6,♦7,♦6,♣9,♣5 | Pair
♠6,♦7,♠7,♠5,♣Q | Pair
♠6,♦7,♠7,♠5,♣9 | Pair
♠6,♦7,♠7,♠5,♣5 | Two Pairs
♠6,♦7,♠7,♣Q,♣9 | Pair
♠6,♦7,♠7,♣Q,♣5 | Pair
♠6,♦7,♠7,♣9,♣5 | Pair
♠6,♦7,♠5,♣Q,♣5 | Pair
♠6,♦7,♠5,♣9,♣5 | Pair
♠6,♣2,♦6,♠7,♠5 | Pair
♠6,♣2,♦6,♠7,♣Q | Pair
♠6,♣2,♦6,♠7,♣9 | Pair
♠6,♣2,♦6,♠7,♣5 | Pair
♠6,♣2,♦6,♠5,♣Q | Pair
♠6,♣2,♦6,♠5,♣9 | Pair
♠6,♣2,♦6,♠5,♣5 | Two Pairs
♠6,♣2,♦6,♣Q,♣9 | Pair
♠6,♣2,♦6,♣Q,♣5 | Pair
♠6,♣2,♦6,♣9,♣5 | Pair
♠6,♣2,♠7,♠5,♣5 | Pair
♠6,♣2,♠5,♣Q,♣5 | Pair
♠6,♣2,♠5,♣9,♣5 | Pair
♠6,♦6,♠7,♠5,♣Q | Pair
♠6,♦6,♠7,♠5,♣9 | Pair
♠6,♦6,♠7,♠5,♣5 | Two Pairs
♠6,♦6,♠7,♣Q,♣9 | Pair
♠6,♦6,♠7,♣Q,♣5 | Pair
♠6,♦6,♠7,♣9,♣5 | Pair
♠6,♦6,♠5,♣Q,♣9 | Pair
♠6,♦6,♠5,♣Q,♣5 | Two Pairs
♠6,♦6,♠5,♣9,♣5 | Two Pairs
♠6,♦6,♣Q,♣9,♣5 | Pair
♠6,♠7,♠5,♣Q,♣5 | Pair
♠6,♠7,♠5,♣9,♣5 | Pair
♠6,♠5,♣Q,♣9,♣5 | Pair
♥8,♦J,♥T,♣7,♦7 | Pair
♥8,♦J,♥T,♣7,♠7 | Pair
♥8,♦J,♥T,♦Q,♣Q | Pair
♥8,♦J,♥T,♦7,♠7 | Pair
♥8,♦J,♥T,♠5,♣5 | Pair
♥8,♦J,♣7,♦Q,♦7 | Pair
♥8,♦J,♣7,♦Q,♠7 | Pair
♥8,♦J,♣7,♦Q,♣Q | Pair
♥8,♦J,♣7,♣K,♦7 | Pair
