♣A, ♣9, ♦8, ♠7, ♥A | pair
♣9, ♦8, ♠7, ♣3, ♠8 | pair
♣9, ♦8, ♠7, ♣2, ♠8 | pair
♣9, ♦8, ♥A, ♦5, ♠9 | pair
♣9, ♦8, ♥A, ♦5, ♠8 | pair
♣9, ♦8, ♥A, ♠9, ♣3 | pair
♣9, ♦8, ♥A, ♠9, ♣2 | pair
♣9, ♦8, ♥A, ♠9, ♠8 | two pairs
♣9, ♦8, ♥A, ♣3, ♠8 | pair
♣9, ♦8, ♥A, ♣2, ♠8 | pair
♣9, ♦8, ♦5, ♠9, ♣3 | pair
♣9, ♦8, ♦5, ♠9, ♣2 | pair
♣9, ♦8, ♦5, ♠9, ♠8 | two pairs
♣9, ♦8, ♦5, ♣3, ♠8 | pair
♣9, ♦8, ♦5, ♣2, ♠8 | pair
♣9, ♦8, ♠9, ♣3, ♣2 | pair
♣9, ♦8, ♠9, ♣3, ♠8 | two pairs
♣9, ♦8, ♠9, ♣2, ♠8 | two pairs
♣9, ♦8, ♣3, ♣2, ♠8 | pair
♣9, ♠7, ♥A, ♦5, ♠9 | pair
♣9, ♠7, ♥A, ♠9, ♣3 | pair
♣9, ♠7, ♥A, ♠9, ♣2 | pair
♣9, ♠7, ♥A, ♠9, ♠8 | pair
♣9, ♠7, ♦5, ♠9, ♣3 | pair
♣9, ♠7, ♦5, ♠9, ♣2 | pair
♣9, ♠7, ♦5, ♠9, ♠8 | pair
♣9, ♠7, ♠9, ♣3, ♣2 | pair
♣9, ♠7, ♠9, ♣3, ♠8 | pair
♣9, ♠7, ♠9, ♣2, ♠8 | pair
♣9, ♥A, ♦5, ♠9, ♣3 | pair
♣9, ♥A, ♦5, ♠9, ♣2 | pair
♣9, ♥A, ♦5, ♠9, ♠8 | pair
♣9, ♥A, ♠9, ♣3, ♣2 | pair
♣9, ♥A, ♠9, ♣3, ♠8 | pair
♣9, ♥A, ♠9, ♣2, ♠8 | pair
♣9, ♦5, ♠9, ♣3, ♣2 | pair
♣9, ♦5, ♠9, ♣3, ♠8 | pair
♣9, ♦5, ♠9, ♣2, ♠8 | pair
♣9, ♠9, ♣3, ♣2, ♠8 | pair
♦8, ♠7, ♥A, ♦5, ♠8 | pair
♦8, ♠7, ♥A, ♠9, ♠8 | pair
♦8, ♠7, ♥A, ♣3, ♠8 | pair
♦8, ♠7, ♥A, ♣2, ♠8 | pair
♦8, ♠7, ♦5, ♠9, ♠8 | pair
♦8, ♠7, ♦5, ♣3, ♠8 | pair
♦8, ♠7, ♦5, ♣2, ♠8 | pair
♦8, ♠7, ♠9, ♣3, ♠8 | pair
♦8, ♠7, ♠9, ♣2, ♠8 | pair
♦8, ♠7, ♣3, ♣2, ♠8 | pair
♦8, ♥A, ♦5, ♠9, ♠8 | pair
♦8, ♥A, ♦5, ♣3, ♠8 | pair
♦8, ♥A, ♦5, ♣2, ♠8 | pair
♦8, ♥A, ♠9, ♣3, ♠8 | pair
♦8, ♥A, ♠9, ♣2, ♠8 | pair
♦8, ♥A, ♣3, ♣2, ♠8 | pair
♦8, ♦5, ♠9, ♣3, ♠8 | pair
♦8, ♦5, ♠9, ♣2, ♠8 | pair
♦8, ♦5, ♣3, ♣2, ♠8 | pair
♦8, ♠9, ♣3, ♣2, ♠8 | pair
