♥8,♣4,♥7,♥K,♠8 | Pair
♥8,♣4,♠8,♥T,♥4 | Two Pairs
♥8,♣4,♠8,♥T,♠3 | Pair
♥8,♣4,♠8,♥T,♠4 | Two Pairs
♥8,♣4,♠8,♥T,♥9 | Pair
♥8,♣4,♠8,♣A,♦A | Two Pairs
♥8,♣4,♠8,♣A,♠9 | Pair
♥8,♣4,♠8,♣A,♥4 | Two Pairs
♥8,♣4,♠8,♣A,♠3 | Pair
♥8,♣4,♠8,♣A,♠4 | Two Pairs
♥8,♣4,♠8,♣A,♥9 | Pair
♥8,♣4,♠8,♦A,♠9 | Pair
♥8,♣4,♠8,♦A,♥4 | Two Pairs
♥8,♣4,♠8,♦A,♠3 | Pair
♥8,♣4,♠8,♦A,♠4 | Two Pairs
♥8,♣4,♠8,♦A,♥9 | Pair
♥8,♣4,♠8,♠9,♥4 | Two Pairs
♥8,♣4,♠8,♠9,♠3 | Pair
♥8,♣4,♠8,♠9,♠4 | Two Pairs
♥8,♣4,♠8,♠9,♥9 | Two Pairs
♥8,♣4,♠8,♥4,♠3 | Two Pairs
♥8,♣4,♠8,♥4,♠4 | Full House
♥8,♣4,♠8,♥4,♥9 | Two Pairs
♥8,♣4,♠8,♠3,♠4 | Two Pairs
♥8,♣4,♠8,♠3,♥9 | Pair
♥8,♣4,♠8,♠4,♥9 | Two Pairs
♥8,♣4,♥T,♣A,♦A | Pair
♥8,♣4,♥T,♣A,♥4 | Pair
♥8,♣4,♥T,♣A,♠4 | Pair
♥8,♣4,♥T,♦A,♥4 | Pair
♥8,♣4,♥T,♦A,♠4 | Pair
♥8,♣4,♥T,♠9,♥4 | Pair
♥8,♣4,♥T,♠9,♠4 | Pair
♥8,♣4,♥T,♠9,♥9 | Pair
♥8,♣4,♥T,♥4,♠3 | Pair
♥8,♣4,♥T,♥4,♠4 | Full House
♥8,♣4,♥T,♥4,♥9 | Pair
♥8,♣4,♥T,♠3,♠4 | Pair
♥8,♣4,♥T,♠4,♥9 | Pair
♥8,♣4,♣A,♦A,♠9 | Pair
♥8,♣4,♣A,♦A,♥4 | Two Pairs
♥8,♣4,♣A,♦A,♠3 | Pair
♥8,♣4,♣A,♦A,♠4 | Two Pairs
♥8,♣4,♣A,♦A,♥9 | Pair
♥8,♣4,♣A,♠9,♥4 | Pair
♥8,♣4,♣A,♠9,♠4 | Pair
♥8,♣4,♣A,♠9,♥9 | Pair
♥8,♣4,♣A,♥4,♠3 | Pair
♥8,♣4,♣A,♥4,♠4 | Full House
♥8,♣4,♣A,♥4,♥9 | Pair
♥8,♣4,♣A,♠3,♠4 | Pair
♥8,♣4,♣A,♠4,♥9 | Pair
♥8,♣4,♦A,♠9,♥4 | Pair
♥8,♣4,♦A,♠9,♠4 | Pair
♥8,♣4,♦A,♠9,♥9 | Pair
♥8,♣4,♦A,♥4,♠3 | Pair
♥8,♣4,♦A,♥4,♠4 | Full House
♥8,♣4,♦A,♥4,♥9 | Pair
♥8,♣4,♦A,♠3,♠4 | Pair
♥8,♣4,♦A,♠4,♥9 | Pair
♥8,♣4,♠9,♥4,♠3 | Pair
♥8,♣4,♠9,♥4,♠4 | Full House
♥8,♣4,♠9,♥4,♥9 | Two Pairs
♥8,♣4,♠9,♠3,♠4 | Pair
♥8,♣4,♠9,♠3,♥9 | Pair
♥8,♣4,♠9,♠4,♥9 | Two Pairs
♥8,♣4,♥4,♠3,♠4 | Full House
♥8,♣4,♥4,♠3,♥9 | Pair
♥8,♣4,♥4,♠4,♥9 | Full House
♥8,♣4,♠3,♠4,♥9 | Pair
♥8,♥7,♥K,♠8,♥T | Pair
♥8,♥7,♥K,♠8,♣A | Pair
♥8,♥7,♥K,♠8,♦A | Pair
♥8,♥7,♥K,♠8,♠9 | Pair
♥8,♥7,♥K,♠8,♥4 | Pair
♥8,♥7,♥K,♠8,♠3 | Pair
♥8,♥7,♥K,♠8,♠4 | Pair
♥8,♥7,♥K,♠8,♥9 | Pair
♥8,♥7,♥K,♥T,♥4 | Flush
♥8,♥7,♥K,♥T,♥9 | Flush
♥8,♥7,♥K,♣A,♦A | Pair
♥8,♥7,♥K,♠9,♥9 | Pair
♥8,♥7,♥K,♥4,♠4 | Pair
♥8,♥7,♥K,♥4,♥9 | Flush
♥8,♥7,♠8,♥T,♣A | Pair
♥8,♥7,♠8,♥T,♦A | Pair
♥8,♥7,♠8,♥T,♠9 | Pair
♥8,♥7,♠8,♥T,♥4 | Pair
♥8,♥7,♠8,♥T,♠3 | Pair
♥8,♥7,♠8,♥T,♠4 | Pair
♥8,♥7,♠8,♥T,♥9 | Pair
♥8,♥7,♠8,♣A,♦A | Two Pairs
♥8,♥7,♠8,♣A,♠9 | Pair
♥8,♥7,♠8,♣A,♥4 | Pair
♥8,♥7,♠8,♣A,♠3 | Pair
♥8,♥7,♠8,♣A,♠4 | Pair
♥8,♥7,♠8,♣A,♥9 | Pair
♥8,♥7,♠8,♦A,♠9 | Pair
♥8,♥7,♠8,♦A,♥4 | Pair
♥8,♥7,♠8,♦A,♠3 | Pair
♥8,♥7,♠8,♦A,♠4 | Pair
♥8,♥7,♠8,♦A,♥9 | Pair
♥8,♥7,♠8,♠9,♥4 | Pair
♥8,♥7,♠8,♠9,♠3 | Pair
♥8,♥7,♠8,♠9,♠4 | Pair
♥8,♥7,♠8,♠9,♥9 | Two Pairs
♥8,♥7,♠8,♥4,♠3 | Pair
♥8,♥7,♠8,♥4,♠4 | Two Pairs
♥8,♥7,♠8,♥4,♥9 | Pair
♥8,♥7,♠8,♠3,♠4 | Pair
♥8,♥7,♠8,♠3,♥9 | Pair
♥8,♥7,♠8,♠4,♥9 | Pair
♥8,♥7,♥T,♣A,♦A | Pair
♥8,♥7,♥T,♠9,♥9 | Pair
♥8,♥7,♥T,♥4,♠4 | Pair
♥8,♥7,♥T,♥4,♥9 | Flush
♥8,♥7,♣A,♦A,♠9 | Pair
♥8,♥7,♣A,♦A,♥4 | Pair
♥8,♥7,♣A,♦A,♠3 | Pair
♥8,♥7,♣A,♦A,♠4 | Pair
♥8,♥7,♣A,♦A,♥9 | Pair
♥8,♥7,♣A,♠9,♥9 | Pair
♥8,♥7,♣A,♥4,♠4 | Pair
♥8,♥7,♦A,♠9,♥9 | Pair
♥8,♥7,♦A,♥4,♠4 | Pair
♥8,♥7,♠9,♥4,♠4 | Pair
♥8,♥7,♠9,♥4,♥9 | Pair
♥8,♥7,♠9,♠3,♥9 | Pair
♥8,♥7,♠9,♠4,♥9 | Pair
♥8,♥7,♥4,♠3,♠4 | Pair
♥8,♥7,♥4,♠4,♥9 | Pair
♥8,♥K,♠8,♥T,♣A | Pair
♥8,♥K,♠8,♥T,♦A | Pair
♥8,♥K,♠8,♥T,♠9 | Pair
♥8,♥K,♠8,♥T,♥4 | Pair
♥8,♥K,♠8,♥T,♠3 | Pair
♥8,♥K,♠8,♥T,♠4 | Pair
♥8,♥K,♠8,♥T,♥9 | Pair
♥8,♥K,♠8,♣A,♦A | Two Pairs
♥8,♥K,♠8,♣A,♠9 | Pair
♥8,♥K,♠8,♣A,♥4 | Pair
♥8,♥K,♠8,♣A,♠3 | Pair
♥8,♥K,♠8,♣A,♠4 | Pair
♥8,♥K,♠8,♣A,♥9 | Pair
♥8,♥K,♠8,♦A,♠9 | Pair
♥8,♥K,♠8,♦A,♥4 | Pair
♥8,♥K,♠8,♦A,♠3 | Pair
♥8,♥K,♠8,♦A,♠4 | Pair
♥8,♥K,♠8,♦A,♥9 | Pair
♥8,♥K,♠8,♠9,♥4 | Pair
♥8,♥K,♠8,♠9,♠3 | Pair
♥8,♥K,♠8,♠9,♠4 | Pair
♥8,♥K,♠8,♠9,♥9 | Two Pairs
♥8,♥K,♠8,♥4,♠3 | Pair
♥8,♥K,♠8,♥4,♠4 | Two Pairs
♥8,♥K,♠8,♥4,♥9 | Pair
♥8,♥K,♠8,♠3,♠4 | Pair
♥8,♥K,♠8,♠3,♥9 | Pair
♥8,♥K,♠8,♠4,♥9 | Pair
♥8,♥K,♥T,♣A,♦A | Pair
♥8,♥K,♥T,♠9,♥9 | Pair
♥8,♥K,♥T,♥4,♠4 | Pair
♥8,♥K,♥T,♥4,♥9 | Flush
♥8,♥K,♣A,♦A,♠9 | Pair
♥8,♥K,♣A,♦A,♥4 | Pair
♥8,♥K,♣A,♦A,♠3 | Pair
♥8,♥K,♣A,♦A,♠4 | Pair
♥8,♥K,♣A,♦A,♥9 | Pair
♥8,♥K,♣A,♠9,♥9 | Pair
♥8,♥K,♣A,♥4,♠4 | Pair
♥8,♥K,♦A,♠9,♥9 | Pair
♥8,♥K,♦A,♥4,♠4 | Pair
♥8,♥K,♠9,♥4,♠4 | Pair
♥8,♥K,♠9,♥4,♥9 | Pair
♥8,♥K,♠9,♠3,♥9 | Pair
♥8,♥K,♠9,♠4,♥9 | Pair
♥8,♥K,♥4,♠3,♠4 | Pair
♥8,♥K,♥4,♠4,♥9 | Pair
♥8,♠8,♥T,♣A,♦A | Two Pairs
♥8,♠8,♥T,♣A,♠9 | Pair
♥8,♠8,♥T,♣A,♥4 | Pair
♥8,♠8,♥T,♣A,♠3 | Pair
♥8,♠8,♥T,♣A,♠4 | Pair
♥8,♠8,♥T,♣A,♥9 | Pair
♥8,♠8,♥T,♦A,♠9 | Pair
♥8,♠8,♥T,♦A,♥4 | Pair
♥8,♠8,♥T,♦A,♠3 | Pair
♥8,♠8,♥T,♦A,♠4 | Pair
♥8,♠8,♥T,♦A,♥9 | Pair
♥8,♠8,♥T,♠9,♥4 | Pair
♥8,♠8,♥T,♠9,♠3 | Pair
♥8,♠8,♥T,♠9,♠4 | Pair
♥8,♠8,♥T,♠9,♥9 | Two Pairs
♥8,♠8,♥T,♥4,♠3 | Pair
♥8,♠8,♥T,♥4,♠4 | Two Pairs
♥8,♠8,♥T,♥4,♥9 | Pair
♥8,♠8,♥T,♠3,♠4 | Pair
♥8,♠8,♥T,♠3,♥9 | Pair
♥8,♠8,♥T,♠4,♥9 | Pair
♥8,♠8,♣A,♦A,♠9 | Two Pairs
♥8,♠8,♣A,♦A,♥4 | Two Pairs
♥8,♠8,♣A,♦A,♠3 | Two Pairs
♥8,♠8,♣A,♦A,♠4 | Two Pairs
♥8,♠8,♣A,♦A,♥9 | Two Pairs
♥8,♠8,♣A,♠9,♥4 | Pair
♥8,♠8,♣A,♠9,♠3 | Pair
♥8,♠8,♣A,♠9,♠4 | Pair
♥8,♠8,♣A,♠9,♥9 | Two Pairs
♥8,♠8,♣A,♥4,♠3 | Pair
♥8,♠8,♣A,♥4,♠4 | Two Pairs
♥8,♠8,♣A,♥4,♥9 | Pair
♥8,♠8,♣A,♠3,♠4 | Pair
♥8,♠8,♣A,♠3,♥9 | Pair
♥8,♠8,♣A,♠4,♥9 | Pair
♥8,♠8,♦A,♠9,♥4 | Pair
♥8,♠8,♦A,♠9,♠3 | Pair
♥8,♠8,♦A,♠9,♠4 | Pair
♥8,♠8,♦A,♠9,♥9 | Two Pairs
♥8,♠8,♦A,♥4,♠3 | Pair
♥8,♠8,♦A,♥4,♠4 | Two Pairs
♥8,♠8,♦A,♥4,♥9 | Pair
♥8,♠8,♦A,♠3,♠4 | Pair
♥8,♠8,♦A,♠3,♥9 | Pair
♥8,♠8,♦A,♠4,♥9 | Pair
♥8,♠8,♠9,♥4,♠3 | Pair
♥8,♠8,♠9,♥4,♠4 | Two Pairs
♥8,♠8,♠9,♥4,♥9 | Two Pairs
♥8,♠8,♠9,♠3,♠4 | Pair
♥8,♠8,♠9,♠3,♥9 | Two Pairs
♥8,♠8,♠9,♠4,♥9 | Two Pairs
♥8,♠8,♥4,♠3,♠4 | Two Pairs
♥8,♠8,♥4,♠3,♥9 | Pair
♥8,♠8,♥4,♠4,♥9 | Two Pairs
♥8,♠8,♠3,♠4,♥9 | Pair
♥8,♥T,♣A,♦A,♠9 | Pair
♥8,♥T,♣A,♦A,♥4 | Pair
♥8,♥T,♣A,♦A,♠3 | Pair
♥8,♥T,♣A,♦A,♠4 | Pair
♥8,♥T,♣A,♦A,♥9 | Pair
♥8,♥T,♣A,♠9,♥9 | Pair
♥8,♥T,♣A,♥4,♠4 | Pair
♥8,♥T,♦A,♠9,♥9 | Pair
♥8,♥T,♦A,♥4,♠4 | Pair
♥8,♥T,♠9,♥4,♠4 | Pair
♥8,♥T,♠9,♥4,♥9 | Pair
♥8,♥T,♠9,♠3,♥9 | Pair
♥8,♥T,♠9,♠4,♥9 | Pair
♥8,♥T,♥4,♠3,♠4 | Pair
♥8,♥T,♥4,♠4,♥9 | Pair
♥8,♣A,♦A,♠9,♥4 | Pair
♥8,♣A,♦A,♠9,♠3 | Pair
♥8,♣A,♦A,♠9,♠4 | Pair
♥8,♣A,♦A,♠9,♥9 | Two Pairs
♥8,♣A,♦A,♥4,♠3 | Pair
♥8,♣A,♦A,♥4,♠4 | Two Pairs
♥8,♣A,♦A,♥4,♥9 | Pair
♥8,♣A,♦A,♠3,♠4 | Pair
♥8,♣A,♦A,♠3,♥9 | Pair
♥8,♣A,♦A,♠4,♥9 | Pair
♥8,♣A,♠9,♥4,♠4 | Pair
♥8,♣A,♠9,♥4,♥9 | Pair
♥8,♣A,♠9,♠3,♥9 | Pair
♥8,♣A,♠9,♠4,♥9 | Pair
♥8,♣A,♥4,♠3,♠4 | Pair
♥8,♣A,♥4,♠4,♥9 | Pair
♥8,♦A,♠9,♥4,♠4 | Pair
♥8,♦A,♠9,♥4,♥9 | Pair
♥8,♦A,♠9,♠3,♥9 | Pair
♥8,♦A,♠9,♠4,♥9 | Pair
♥8,♦A,♥4,♠3,♠4 | Pair
♥8,♦A,♥4,♠4,♥9 | Pair
♥8,♠9,♥4,♠3,♠4 | Pair
♥8,♠9,♥4,♠3,♥9 | Pair
♥8,♠9,♥4,♠4,♥9 | Two Pairs
♥8,♠9,♠3,♠4,♥9 | Pair
♥8,♥4,♠3,♠4,♥9 | Pair
♣4,♥7,♥K,♠8,♥4 | Pair
♣4,♥7,♥K,♠8,♠4 | Pair
♣4,♥7,♥K,♥T,♥4 | Pair
♣4,♥7,♥K,♥T,♠4 | Pair
♣4,♥7,♥K,♣A,♦A | Pair
♣4,♥7,♥K,♣A,♥4 | Pair
♣4,♥7,♥K,♣A,♠4 | Pair
♣4,♥7,♥K,♦A,♥4 | Pair
♣4,♥7,♥K,♦A,♠4 | Pair
♣4,♥7,♥K,♠9,♥4 | Pair
♣4,♥7,♥K,♠9,♠4 | Pair
♣4,♥7,♥K,♠9,♥9 | Pair
♣4,♥7,♥K,♥4,♠3 | Pair
♣4,♥7,♥K,♥4,♠4 | Full House
♣4,♥7,♥K,♥4,♥9 | Pair
♣4,♥7,♥K,♠3,♠4 | Pair
♣4,♥7,♥K,♠4,♥9 | Pair
♣4,♥7,♠8,♥T,♥4 | Pair
♣4,♥7,♠8,♥T,♠4 | Pair
♣4,♥7,♠8,♣A,♦A | Pair
♣4,♥7,♠8,♣A,♥4 | Pair
♣4,♥7,♠8,♣A,♠4 | Pair
♣4,♥7,♠8,♦A,♥4 | Pair
♣4,♥7,♠8,♦A,♠4 | Pair
♣4,♥7,♠8,♠9,♥4 | Pair
♣4,♥7,♠8,♠9,♠4 | Pair
♣4,♥7,♠8,♠9,♥9 | Pair
♣4,♥7,♠8,♥4,♠3 | Pair
♣4,♥7,♠8,♥4,♠4 | Full House
♣4,♥7,♠8,♥4,♥9 | Pair
♣4,♥7,♠8,♠3,♠4 | Pair
♣4,♥7,♠8,♠4,♥9 | Pair
♣4,♥7,♥T,♣A,♦A | Pair
♣4,♥7,♥T,♣A,♥4 | Pair
♣4,♥7,♥T,♣A,♠4 | Pair
♣4,♥7,♥T,♦A,♥4 | Pair
♣4,♥7,♥T,♦A,♠4 | Pair
♣4,♥7,♥T,♠9,♥4 | Pair
♣4,♥7,♥T,♠9,♠4 | Pair
♣4,♥7,♥T,♠9,♥9 | Pair
♣4,♥7,♥T,♥4,♠3 | Pair
♣4,♥7,♥T,♥4,♠4 | Full House
♣4,♥7,♥T,♥4,♥9 | Pair
♣4,♥7,♥T,♠3,♠4 | Pair
♣4,♥7,♥T,♠4,♥9 | Pair
♣4,♥7,♣A,♦A,♠9 | Pair
♣4,♥7,♣A,♦A,♥4 | Two Pairs
♣4,♥7,♣A,♦A,♠3 | Pair
♣4,♥7,♣A,♦A,♠4 | Two Pairs
♣4,♥7,♣A,♦A,♥9 | Pair
♣4,♥7,♣A,♠9,♥4 | Pair
♣4,♥7,♣A,♠9,♠4 | Pair
♣4,♥7,♣A,♠9,♥9 | Pair
♣4,♥7,♣A,♥4,♠3 | Pair
♣4,♥7,♣A,♥4,♠4 | Full House
♣4,♥7,♣A,♥4,♥9 | Pair
♣4,♥7,♣A,♠3,♠4 | Pair
♣4,♥7,♣A,♠4,♥9 | Pair
♣4,♥7,♦A,♠9,♥4 | Pair
♣4,♥7,♦A,♠9,♠4 | Pair
♣4,♥7,♦A,♠9,♥9 | Pair
♣4,♥7,♦A,♥4,♠3 | Pair
♣4,♥7,♦A,♥4,♠4 | Full House
♣4,♥7,♦A,♥4,♥9 | Pair
♣4,♥7,♦A,♠3,♠4 | Pair
♣4,♥7,♦A,♠4,♥9 | Pair
♣4,♥7,♠9,♥4,♠3 | Pair
♣4,♥7,♠9,♥4,♠4 | Full House
♣4,♥7,♠9,♥4,♥9 | Two Pairs
♣4,♥7,♠9,♠3,♠4 | Pair
♣4,♥7,♠9,♠3,♥9 | Pair
♣4,♥7,♠9,♠4,♥9 | Two Pairs
♣4,♥7,♥4,♠3,♠4 | Full House
♣4,♥7,♥4,♠3,♥9 | Pair
♣4,♥7,♥4,♠4,♥9 | Full House
♣4,♥7,♠3,♠4,♥9 | Pair
♣4,♥K,♠8,♥T,♥4 | Pair
♣4,♥K,♠8,♥T,♠4 | Pair
♣4,♥K,♠8,♣A,♦A | Pair
♣4,♥K,♠8,♣A,♥4 | Pair
♣4,♥K,♠8,♣A,♠4 | Pair
♣4,♥K,♠8,♦A,♥4 | Pair
♣4,♥K,♠8,♦A,♠4 | Pair
♣4,♥K,♠8,♠9,♥4 | Pair
♣4,♥K,♠8,♠9,♠4 | Pair
♣4,♥K,♠8,♠9,♥9 | Pair
♣4,♥K,♠8,♥4,♠3 | Pair
♣4,♥K,♠8,♥4,♠4 | Full House
♣4,♥K,♠8,♥4,♥9 | Pair
♣4,♥K,♠8,♠3,♠4 | Pair
♣4,♥K,♠8,♠4,♥9 | Pair
♣4,♥K,♥T,♣A,♦A | Pair
♣4,♥K,♥T,♣A,♥4 | Pair
♣4,♥K,♥T,♣A,♠4 | Pair
♣4,♥K,♥T,♦A,♥4 | Pair
♣4,♥K,♥T,♦A,♠4 | Pair
♣4,♥K,♥T,♠9,♥4 | Pair
♣4,♥K,♥T,♠9,♠4 | Pair
♣4,♥K,♥T,♠9,♥9 | Pair
♣4,♥K,♥T,♥4,♠3 | Pair
♣4,♥K,♥T,♥4,♠4 | Full House
♣4,♥K,♥T,♥4,♥9 | Pair
♣4,♥K,♥T,♠3,♠4 | Pair
♣4,♥K,♥T,♠4,♥9 | Pair
♣4,♥K,♣A,♦A,♠9 | Pair
♣4,♥K,♣A,♦A,♥4 | Two Pairs
♣4,♥K,♣A,♦A,♠3 | Pair
♣4,♥K,♣A,♦A,♠4 | Two Pairs
♣4,♥K,♣A,♦A,♥9 | Pair
♣4,♥K,♣A,♠9,♥4 | Pair
♣4,♥K,♣A,♠9,♠4 | Pair
♣4,♥K,♣A,♠9,♥9 | Pair
♣4,♥K,♣A,♥4,♠3 | Pair
♣4,♥K,♣A,♥4,♠4 | Full House
♣4,♥K,♣A,♥4,♥9 | Pair
♣4,♥K,♣A,♠3,♠4 | Pair
♣4,♥K,♣A,♠4,♥9 | Pair
♣4,♥K,♦A,♠9,♥4 | Pair
♣4,♥K,♦A,♠9,♠4 | Pair
♣4,♥K,♦A,♠9,♥9 | Pair
♣4,♥K,♦A,♥4,♠3 | Pair
♣4,♥K,♦A,♥4,♠4 | Full House
♣4,♥K,♦A,♥4,♥9 | Pair
♣4,♥K,♦A,♠3,♠4 | Pair
♣4,♥K,♦A,♠4,♥9 | Pair
♣4,♥K,♠9,♥4,♠3 | Pair
♣4,♥K,♠9,♥4,♠4 | Full House
♣4,♥K,♠9,♥4,♥9 | Two Pairs
♣4,♥K,♠9,♠3,♠4 | Pair
♣4,♥K,♠9,♠3,♥9 | Pair
♣4,♥K,♠9,♠4,♥9 | Two Pairs
♣4,♥K,♥4,♠3,♠4 | Full House
♣4,♥K,♥4,♠3,♥9 | Pair
♣4,♥K,♥4,♠4,♥9 | Full House
♣4,♥K,♠3,♠4,♥9 | Pair
♣4,♠8,♥T,♣A,♦A | Pair
♣4,♠8,♥T,♣A,♥4 | Pair
♣4,♠8,♥T,♣A,♠4 | Pair
♣4,♠8,♥T,♦A,♥4 | Pair
♣4,♠8,♥T,♦A,♠4 | Pair
♣4,♠8,♥T,♠9,♥4 | Pair
♣4,♠8,♥T,♠9,♠4 | Pair
♣4,♠8,♥T,♠9,♥9 | Pair
♣4,♠8,♥T,♥4,♠3 | Pair
♣4,♠8,♥T,♥4,♠4 | Full House
♣4,♠8,♥T,♥4,♥9 | Pair
♣4,♠8,♥T,♠3,♠4 | Pair
♣4,♠8,♥T,♠4,♥9 | Pair
♣4,♠8,♣A,♦A,♠9 | Pair
♣4,♠8,♣A,♦A,♥4 | Two Pairs
♣4,♠8,♣A,♦A,♠3 | Pair
♣4,♠8,♣A,♦A,♠4 | Two Pairs
♣4,♠8,♣A,♦A,♥9 | Pair
♣4,♠8,♣A,♠9,♥4 | Pair
♣4,♠8,♣A,♠9,♠4 | Pair
♣4,♠8,♣A,♠9,♥9 | Pair
♣4,♠8,♣A,♥4,♠3 | Pair
♣4,♠8,♣A,♥4,♠4 | Full House
♣4,♠8,♣A,♥4,♥9 | Pair
♣4,♠8,♣A,♠3,♠4 | Pair
♣4,♠8,♣A,♠4,♥9 | Pair
♣4,♠8,♦A,♠9,♥4 | Pair
♣4,♠8,♦A,♠9,♠4 | Pair
♣4,♠8,♦A,♠9,♥9 | Pair
♣4,♠8,♦A,♥4,♠3 | Pair
♣4,♠8,♦A,♥4,♠4 | Full House
♣4,♠8,♦A,♥4,♥9 | Pair
♣4,♠8,♦A,♠3,♠4 | Pair
♣4,♠8,♦A,♠4,♥9 | Pair
♣4,♠8,♠9,♥4,♠3 | Pair
♣4,♠8,♠9,♥4,♠4 | Full House
♣4,♠8,♠9,♥4,♥9 | Two Pairs
♣4,♠8,♠9,♠3,♠4 | Pair
♣4,♠8,♠9,♠3,♥9 | Pair
♣4,♠8,♠9,♠4,♥9 | Two Pairs
♣4,♠8,♥4,♠3,♠4 | Full House
♣4,♠8,♥4,♠3,♥9 | Pair
♣4,♠8,♥4,♠4,♥9 | Full House
♣4,♠8,♠3,♠4,♥9 | Pair
♣4,♥T,♣A,♦A,♠9 | Pair
♣4,♥T,♣A,♦A,♥4 | Two Pairs
♣4,♥T,♣A,♦A,♠3 | Pair
♣4,♥T,♣A,♦A,♠4 | Two Pairs
♣4,♥T,♣A,♦A,♥9 | Pair
♣4,♥T,♣A,♠9,♥4 | Pair
♣4,♥T,♣A,♠9,♠4 | Pair
♣4,♥T,♣A,♠9,♥9 | Pair
♣4,♥T,♣A,♥4,♠3 | Pair
♣4,♥T,♣A,♥4,♠4 | Full House
♣4,♥T,♣A,♥4,♥9 | Pair
♣4,♥T,♣A,♠3,♠4 | Pair
♣4,♥T,♣A,♠4,♥9 | Pair
♣4,♥T,♦A,♠9,♥4 | Pair
♣4,♥T,♦A,♠9,♠4 | Pair
♣4,♥T,♦A,♠9,♥9 | Pair
♣4,♥T,♦A,♥4,♠3 | Pair
♣4,♥T,♦A,♥4,♠4 | Full House
♣4,♥T,♦A,♥4,♥9 | Pair
♣4,♥T,♦A,♠3,♠4 | Pair
♣4,♥T,♦A,♠4,♥9 | Pair
♣4,♥T,♠9,♥4,♠3 | Pair
♣4,♥T,♠9,♥4,♠4 | Full House
♣4,♥T,♠9,♥4,♥9 | Two Pairs
♣4,♥T,♠9,♠3,♠4 | Pair
♣4,♥T,♠9,♠3,♥9 | Pair
♣4,♥T,♠9,♠4,♥9 | Two Pairs
♣4,♥T,♥4,♠3,♠4 | Full House
♣4,♥T,♥4,♠3,♥9 | Pair
♣4,♥T,♥4,♠4,♥9 | Full House
♣4,♥T,♠3,♠4,♥9 | Pair
♣4,♣A,♦A,♠9,♥4 | Two Pairs
♣4,♣A,♦A,♠9,♠3 | Pair
♣4,♣A,♦A,♠9,♠4 | Two Pairs
♣4,♣A,♦A,♠9,♥9 | Two Pairs
♣4,♣A,♦A,♥4,♠3 | Two Pairs
♣4,♣A,♦A,♥4,♠4 | Full House
♣4,♣A,♦A,♥4,♥9 | Two Pairs
♣4,♣A,♦A,♠3,♠4 | Two Pairs
♣4,♣A,♦A,♠3,♥9 | Pair
♣4,♣A,♦A,♠4,♥9 | Two Pairs
♣4,♣A,♠9,♥4,♠3 | Pair
♣4,♣A,♠9,♥4,♠4 | Full House
♣4,♣A,♠9,♥4,♥9 | Two Pairs
♣4,♣A,♠9,♠3,♠4 | Pair
