♠K,♣7,♠9,♦8,♣8 | Pair
♠K,♠9,♣5,♣8,♥8 | Pair
♠K,♠9,♠J,♣8,♥8 | Pair
♠K,♠9,♠J,♣8,♦J | Pair
♠K,♠9,♠J,♥8,♦J | Pair
♠K,♠9,♠J,♣Q,♦J | Pair
♠K,♠9,♣8,♥8,♣Q | Pair
♠K,♠9,♣8,♥8,♦J | Pair
♠K,♦3,♠T,♦8,♣8 | Pair
♠K,♦3,♠T,♦8,♥8 | Pair
♠K,♦3,♠T,♠J,♦J | Pair
♠K,♦3,♠T,♣8,♥8 | Pair
♠K,♦3,♣4,♦8,♣8 | Pair
♠K,♦3,♣4,♦8,♥8 | Pair
♠K,♦3,♣4,♠J,♦J | Pair
♠K,♦3,♣4,♣8,♥8 | Pair
♠K,♦3,♦8,♣5,♣8 | Pair
♠K,♦3,♦8,♣5,♥8 | Pair
♠K,♦3,♦8,♠J,♣8 | Pair
♠K,♦3,♦8,♠J,♥8 | Pair
♠K,♦3,♦8,♠J,♦J | Pair
♠K,♦3,♦8,♣8,♥8 | Full House
♠K,♦3,♦8,♣8,♣Q | Pair
♠K,♦3,♦8,♣8,♦J | Pair
♠K,♦3,♦8,♥8,♣Q | Pair
♠K,♦3,♦8,♥8,♦J | Pair
♠K,♦3,♣5,♠J,♦J | Pair
♠K,♦3,♣5,♣8,♥8 | Pair
♠K,♦3,♠J,♣8,♥8 | Pair
♠K,♦3,♠J,♣8,♦J | Pair
♠K,♦3,♠J,♥8,♦J | Pair
♠K,♦3,♠J,♣Q,♦J | Pair
♠K,♦3,♣8,♥8,♣Q | Pair
♠K,♦3,♣8,♥8,♦J | Pair
♠K,♠T,♣4,♦8,♣8 | Pair
♠K,♠T,♣4,♦8,♥8 | Pair
♠K,♠T,♣4,♠J,♦J | Pair
♠K,♠T,♣4,♣8,♥8 | Pair
♠K,♠T,♦8,♣5,♣8 | Pair
♠K,♠T,♦8,♣5,♥8 | Pair
♠K,♠T,♦8,♠J,♣8 | Pair
♠K,♠T,♦8,♠J,♥8 | Pair
♠K,♠T,♦8,♠J,♦J | Pair
♠K,♠T,♦8,♣8,♥8 | Full House
♠K,♠T,♦8,♣8,♣Q | Pair
♠K,♠T,♦8,♣8,♦J | Pair
♠K,♠T,♦8,♥8,♣Q | Pair
♠K,♠T,♦8,♥8,♦J | Pair
♠K,♠T,♣5,♠J,♦J | Pair
♠K,♠T,♣5,♣8,♥8 | Pair
♠K,♠T,♠J,♣8,♥8 | Pair
♠K,♠T,♠J,♣8,♦J | Pair
♠K,♠T,♠J,♥8,♦J | Pair
♠K,♠T,♠J,♣Q,♦J | Pair
♠K,♠T,♣8,♥8,♣Q | Pair
♠K,♠T,♣8,♥8,♦J | Pair
♠K,♣4,♦8,♣5,♣8 | Pair
♠K,♣4,♦8,♣5,♥8 | Pair
♠K,♣4,♦8,♠J,♣8 | Pair
♠K,♣4,♦8,♠J,♥8 | Pair
♠K,♣4,♦8,♠J,♦J | Pair
♠K,♣4,♦8,♣8,♥8 | Full House
♠K,♣4,♦8,♣8,♣Q | Pair
♠K,♣4,♦8,♣8,♦J | Pair
♠K,♣4,♦8,♥8,♣Q | Pair
♠K,♣4,♦8,♥8,♦J | Pair
♠K,♣4,♣5,♠J,♦J | Pair
♠K,♣4,♣5,♣8,♥8 | Pair
♠K,♣4,♠J,♣8,♥8 | Pair
♠K,♣4,♠J,♣8,♦J | Pair
♠K,♣4,♠J,♥8,♦J | Pair
♠K,♣4,♠J,♣Q,♦J | Pair
♠K,♣4,♣8,♥8,♣Q | Pair
♠K,♣4,♣8,♥8,♦J | Pair
♠K,♦8,♣5,♠J,♣8 | Pair
♠K,♦8,♣5,♠J,♥8 | Pair
♠K,♦8,♣5,♠J,♦J | Pair
♠K,♦8,♣5,♣8,♥8 | Full House
♠K,♦8,♣5,♣8,♣Q | Pair
♠K,♦8,♣5,♣8,♦J | Pair
♠K,♦8,♣5,♥8,♣Q | Pair
♠K,♦8,♣5,♥8,♦J | Pair
♠K,♦8,♠J,♣8,♥8 | Full House
♠K,♦8,♠J,♣8,♣Q | Pair
♠K,♦8,♠J,♣8,♦J | Two Pairs
♠K,♦8,♠J,♥8,♣Q | Pair
♠K,♦8,♠J,♥8,♦J | Two Pairs
♠K,♦8,♠J,♣Q,♦J | Pair
♠K,♦8,♣8,♥8,♣Q | Full House
♠K,♦8,♣8,♥8,♦J | Full House
♠K,♦8,♣8,♣Q,♦J | Pair
♠K,♦8,♥8,♣Q,♦J | Pair
♠K,♣5,♠J,♣8,♥8 | Pair
♠K,♣5,♠J,♣8,♦J | Pair
♠K,♣5,♠J,♥8,♦J | Pair
♠K,♣5,♠J,♣Q,♦J | Pair
♠K,♣5,♣8,♥8,♣Q | Pair
♠K,♣5,♣8,♥8,♦J | Pair
♠K,♠J,♣8,♥8,♣Q | Pair
♠K,♠J,♣8,♥8,♦J | Two Pairs
♠K,♠J,♣8,♣Q,♦J | Pair
♠K,♠J,♥8,♣Q,♦J | Pair
♠K,♣8,♥8,♣Q,♦J | Pair
♣7,♠9,♦3,♦8,♣8 | Pair
♣7,♠9,♦3,♦8,♥8 | Pair
♣7,♠9,♦3,♠J,♦J | Pair
♣7,♠9,♦3,♣8,♥8 | Pair
♣7,♠9,♠T,♦8,♣8 | Pair
♣7,♠9,♠T,♦8,♥8 | Pair
♣7,♠9,♠T,♠J,♦J | Pair
♣7,♠9,♠T,♣8,♥8 | Pair
♣7,♠9,♣4,♦8,♣8 | Pair
♣7,♠9,♣4,♦8,♥8 | Pair
♣7,♠9,♣4,♠J,♦J | Pair
♣7,♠9,♣4,♣8,♥8 | Pair
♣7,♠9,♦8,♣5,♣8 | Pair
♣7,♠9,♦8,♣5,♥8 | Pair
♣7,♠9,♦8,♠J,♣8 | Pair
♣7,♠9,♦8,♠J,♥8 | Pair
♣7,♠9,♦8,♠J,♦J | Pair
♣7,♠9,♦8,♣8,♥8 | Full House
♣7,♠9,♦8,♣8,♣Q | Pair
♣7,♠9,♦8,♣8,♦J | Pair
♣7,♠9,♦8,♥8,♣Q | Pair
♣7,♠9,♦8,♥8,♦J | Pair
♣7,♠9,♣5,♠J,♦J | Pair
♣7,♠9,♣5,♣8,♥8 | Pair
♣7,♠9,♠J,♣8,♥8 | Pair
♣7,♠9,♠J,♣8,♦J | Pair
♣7,♠9,♠J,♥8,♦J | Pair
♣7,♠9,♠J,♣Q,♦J | Pair
♣7,♠9,♣8,♥8,♣Q | Pair
♣7,♠9,♣8,♥8,♦J | Pair
♣7,♦3,♠T,♦8,♣8 | Pair
♣7,♦3,♠T,♦8,♥8 | Pair
♣7,♦3,♠T,♠J,♦J | Pair
♣7,♦3,♠T,♣8,♥8 | Pair
♣7,♦3,♣4,♦8,♣8 | Pair
♣7,♦3,♣4,♦8,♥8 | Pair
♣7,♦3,♣4,♠J,♦J | Pair
♣7,♦3,♣4,♣8,♥8 | Pair
♣7,♦3,♦8,♣5,♣8 | Pair
♣7,♦3,♦8,♣5,♥8 | Pair
♣7,♦3,♦8,♠J,♣8 | Pair
♣7,♦3,♦8,♠J,♥8 | Pair
♣7,♦3,♦8,♠J,♦J | Pair
♣7,♦3,♦8,♣8,♥8 | Full House
♣7,♦3,♦8,♣8,♣Q | Pair
♣7,♦3,♦8,♣8,♦J | Pair
♣7,♦3,♦8,♥8,♣Q | Pair
♣7,♦3,♦8,♥8,♦J | Pair
♣7,♦3,♣5,♠J,♦J | Pair
♣7,♦3,♣5,♣8,♥8 | Pair
♣7,♦3,♠J,♣8,♥8 | Pair
♣7,♦3,♠J,♣8,♦J | Pair
♣7,♦3,♠J,♥8,♦J | Pair
♣7,♦3,♠J,♣Q,♦J | Pair
♣7,♦3,♣8,♥8,♣Q | Pair
♣7,♦3,♣8,♥8,♦J | Pair
♣7,♠T,♣4,♦8,♣8 | Pair
♣7,♠T,♣4,♦8,♥8 | Pair
♣7,♠T,♣4,♠J,♦J | Pair
♣7,♠T,♣4,♣8,♥8 | Pair
♣7,♠T,♦8,♣5,♣8 | Pair
♣7,♠T,♦8,♣5,♥8 | Pair
♣7,♠T,♦8,♠J,♣8 | Pair
♣7,♠T,♦8,♠J,♥8 | Pair
♣7,♠T,♦8,♠J,♦J | Pair
♣7,♠T,♦8,♣8,♥8 | Full House
♣7,♠T,♦8,♣8,♣Q | Pair
♣7,♠T,♦8,♣8,♦J | Pair
♣7,♠T,♦8,♥8,♣Q | Pair
♣7,♠T,♦8,♥8,♦J | Pair
♣7,♠T,♣5,♠J,♦J | Pair
♣7,♠T,♣5,♣8,♥8 | Pair
♣7,♠T,♠J,♣8,♥8 | Pair
♣7,♠T,♠J,♣8,♦J | Pair
♣7,♠T,♠J,♥8,♦J | Pair
♣7,♠T,♠J,♣Q,♦J | Pair
♣7,♠T,♣8,♥8,♣Q | Pair
♣7,♠T,♣8,♥8,♦J | Pair
♣7,♣4,♦8,♣5,♣8 | Pair
♣7,♣4,♦8,♣5,♥8 | Pair
♣7,♣4,♦8,♠J,♣8 | Pair
♣7,♣4,♦8,♠J,♥8 | Pair
♣7,♣4,♦8,♠J,♦J | Pair
♣7,♣4,♦8,♣8,♥8 | Full House
♣7,♣4,♦8,♣8,♣Q | Pair
♣7,♣4,♦8,♣8,♦J | Pair
♣7,♣4,♦8,♥8,♣Q | Pair
♣7,♣4,♦8,♥8,♦J | Pair
♣7,♣4,♣5,♠J,♦J | Pair
♣7,♣4,♣5,♣8,♥8 | Pair
♣7,♣4,♣5,♣8,♣Q | Flush
♣7,♣4,♠J,♣8,♥8 | Pair
♣7,♣4,♠J,♣8,♦J | Pair
♣7,♣4,♠J,♥8,♦J | Pair
♣7,♣4,♠J,♣Q,♦J | Pair
♣7,♣4,♣8,♥8,♣Q | Pair
♣7,♣4,♣8,♥8,♦J | Pair
♣7,♦8,♣5,♠J,♣8 | Pair
♣7,♦8,♣5,♠J,♥8 | Pair
♣7,♦8,♣5,♠J,♦J | Pair
♣7,♦8,♣5,♣8,♥8 | Full House
♣7,♦8,♣5,♣8,♣Q | Pair
♣7,♦8,♣5,♣8,♦J | Pair
♣7,♦8,♣5,♥8,♣Q | Pair
♣7,♦8,♣5,♥8,♦J | Pair
♣7,♦8,♠J,♣8,♥8 | Full House
♣7,♦8,♠J,♣8,♣Q | Pair
♣7,♦8,♠J,♣8,♦J | Two Pairs
♣7,♦8,♠J,♥8,♣Q | Pair
♣7,♦8,♠J,♥8,♦J | Two Pairs
♣7,♦8,♠J,♣Q,♦J | Pair
♣7,♦8,♣8,♥8,♣Q | Full House
♣7,♦8,♣8,♥8,♦J | Full House
♣7,♦8,♣8,♣Q,♦J | Pair
♣7,♦8,♥8,♣Q,♦J | Pair
♣7,♣5,♠J,♣8,♥8 | Pair
♣7,♣5,♠J,♣8,♦J | Pair
♣7,♣5,♠J,♥8,♦J | Pair
♣7,♣5,♠J,♣Q,♦J | Pair
♣7,♣5,♣8,♥8,♣Q | Pair
♣7,♣5,♣8,♥8,♦J | Pair
♣7,♠J,♣8,♥8,♣Q | Pair
♣7,♠J,♣8,♥8,♦J | Two Pairs
♣7,♠J,♣8,♣Q,♦J | Pair
♣7,♠J,♥8,♣Q,♦J | Pair
♣7,♣8,♥8,♣Q,♦J | Pair
♠9,♦3,♠T,♦8,♣8 | Pair
♠9,♦3,♠T,♦8,♥8 | Pair
♠9,♦3,♠T,♠J,♦J | Pair
♠9,♦3,♠T,♣8,♥8 | Pair
♠9,♦3,♣4,♦8,♣8 | Pair
♠9,♦3,♣4,♦8,♥8 | Pair
♠9,♦3,♣4,♠J,♦J | Pair
♠9,♦3,♣4,♣8,♥8 | Pair
♠9,♦3,♦8,♣5,♣8 | Pair
♠9,♦3,♦8,♣5,♥8 | Pair
♠9,♦3,♦8,♠J,♣8 | Pair
♠9,♦3,♦8,♠J,♥8 | Pair
♠9,♦3,♦8,♠J,♦J | Pair
♠9,♦3,♦8,♣8,♥8 | Full House
♠9,♦3,♦8,♣8,♣Q | Pair
♠9,♦3,♦8,♣8,♦J | Pair
♠9,♦3,♦8,♥8,♣Q | Pair
♠9,♦3,♦8,♥8,♦J | Pair
♠9,♦3,♣5,♠J,♦J | Pair
♠9,♦3,♣5,♣8,♥8 | Pair
♠9,♦3,♠J,♣8,♥8 | Pair
♠9,♦3,♠J,♣8,♦J | Pair
♠9,♦3,♠J,♥8,♦J | Pair
♠9,♦3,♠J,♣Q,♦J | Pair
♠9,♦3,♣8,♥8,♣Q | Pair
♠9,♦3,♣8,♥8,♦J | Pair
♠9,♠T,♣4,♦8,♣8 | Pair
♠9,♠T,♣4,♦8,♥8 | Pair
♠9,♠T,♣4,♠J,♦J | Pair
♠9,♠T,♣4,♣8,♥8 | Pair
♠9,♠T,♦8,♣5,♣8 | Pair
♠9,♠T,♦8,♣5,♥8 | Pair
♠9,♠T,♦8,♠J,♣8 | Pair
♠9,♠T,♦8,♠J,♥8 | Pair
♠9,♠T,♦8,♠J,♦J | Pair
♠9,♠T,♦8,♣8,♥8 | Full House
♠9,♠T,♦8,♣8,♣Q | Pair
♠9,♠T,♦8,♣8,♦J | Pair
♠9,♠T,♦8,♥8,♣Q | Pair
♠9,♠T,♦8,♥8,♦J | Pair
♠9,♠T,♣5,♠J,♦J | Pair
♠9,♠T,♣5,♣8,♥8 | Pair
♠9,♠T,♠J,♣8,♥8 | Pair
♠9,♠T,♠J,♣8,♦J | Pair
♠9,♠T,♠J,♥8,♦J | Pair
♠9,♠T,♠J,♣Q,♦J | Pair
♠9,♠T,♣8,♥8,♣Q | Pair
♠9,♠T,♣8,♥8,♦J | Pair
♠9,♣4,♦8,♣5,♣8 | Pair
♠9,♣4,♦8,♣5,♥8 | Pair
♠9,♣4,♦8,♠J,♣8 | Pair
♠9,♣4,♦8,♠J,♥8 | Pair
♠9,♣4,♦8,♠J,♦J | Pair
♠9,♣4,♦8,♣8,♥8 | Full House
♠9,♣4,♦8,♣8,♣Q | Pair
♠9,♣4,♦8,♣8,♦J | Pair
♠9,♣4,♦8,♥8,♣Q | Pair
♠9,♣4,♦8,♥8,♦J | Pair
♠9,♣4,♣5,♠J,♦J | Pair
♠9,♣4,♣5,♣8,♥8 | Pair
♠9,♣4,♠J,♣8,♥8 | Pair
♠9,♣4,♠J,♣8,♦J | Pair
♠9,♣4,♠J,♥8,♦J | Pair
♠9,♣4,♠J,♣Q,♦J | Pair
♠9,♣4,♣8,♥8,♣Q | Pair
♠9,♣4,♣8,♥8,♦J | Pair
♠9,♦8,♣5,♠J,♣8 | Pair
♠9,♦8,♣5,♠J,♥8 | Pair
♠9,♦8,♣5,♠J,♦J | Pair
♠9,♦8,♣5,♣8,♥8 | Full House
♠9,♦8,♣5,♣8,♣Q | Pair
♠9,♦8,♣5,♣8,♦J | Pair
♠9,♦8,♣5,♥8,♣Q | Pair
♠9,♦8,♣5,♥8,♦J | Pair
♠9,♦8,♠J,♣8,♥8 | Full House
♠9,♦8,♠J,♣8,♣Q | Pair
♠9,♦8,♠J,♣8,♦J | Two Pairs
♠9,♦8,♠J,♥8,♣Q | Pair
♠9,♦8,♠J,♥8,♦J | Two Pairs
♠9,♦8,♠J,♣Q,♦J | Pair
♠9,♦8,♣8,♥8,♣Q | Full House
♠9,♦8,♣8,♥8,♦J | Full House
♠9,♦8,♣8,♣Q,♦J | Pair
♠9,♦8,♥8,♣Q,♦J | Pair
♠9,♣5,♠J,♣8,♥8 | Pair
♠9,♣5,♠J,♣8,♦J | Pair
♠9,♣5,♠J,♥8,♦J | Pair
♠9,♣5,♠J,♣Q,♦J | Pair
♠9,♣5,♣8,♥8,♣Q | Pair
♠9,♣5,♣8,♥8,♦J | Pair
♠9,♠J,♣8,♥8,♣Q | Pair
♠9,♠J,♣8,♥8,♦J | Two Pairs
♠9,♠J,♣8,♣Q,♦J | Pair
♠9,♠J,♥8,♣Q,♦J | Pair
♠9,♣8,♥8,♣Q,♦J | Pair
♦3,♠T,♣4,♦8,♣8 | Pair
♦3,♠T,♣4,♦8,♥8 | Pair
♦3,♠T,♣4,♠J,♦J | Pair
♦3,♠T,♣4,♣8,♥8 | Pair
♦3,♠T,♦8,♣5,♣8 | Pair
♦3,♠T,♦8,♣5,♥8 | Pair
♦3,♠T,♦8,♠J,♣8 | Pair
♦3,♠T,♦8,♠J,♥8 | Pair
♦3,♠T,♦8,♠J,♦J | Pair
♦3,♠T,♦8,♣8,♥8 | Full House
♦3,♠T,♦8,♣8,♣Q | Pair
♦3,♠T,♦8,♣8,♦J | Pair
♦3,♠T,♦8,♥8,♣Q | Pair
♦3,♠T,♦8,♥8,♦J | Pair
♦3,♠T,♣5,♠J,♦J | Pair
♦3,♠T,♣5,♣8,♥8 | Pair
♦3,♠T,♠J,♣8,♥8 | Pair
♦3,♠T,♠J,♣8,♦J | Pair
♦3,♠T,♠J,♥8,♦J | Pair
♦3,♠T,♠J,♣Q,♦J | Pair
♦3,♠T,♣8,♥8,♣Q | Pair
♦3,♠T,♣8,♥8,♦J | Pair
♦3,♣4,♦8,♣5,♣8 | Pair
♦3,♣4,♦8,♣5,♥8 | Pair
♦3,♣4,♦8,♠J,♣8 | Pair
♦3,♣4,♦8,♠J,♥8 | Pair
♦3,♣4,♦8,♠J,♦J | Pair
♦3,♣4,♦8,♣8,♥8 | Full House
♦3,♣4,♦8,♣8,♣Q | Pair
♦3,♣4,♦8,♣8,♦J | Pair
♦3,♣4,♦8,♥8,♣Q | Pair
♦3,♣4,♦8,♥8,♦J | Pair
♦3,♣4,♣5,♠J,♦J | Pair
♦3,♣4,♣5,♣8,♥8 | Pair
♦3,♣4,♠J,♣8,♥8 | Pair
♦3,♣4,♠J,♣8,♦J | Pair
♦3,♣4,♠J,♥8,♦J | Pair
♦3,♣4,♠J,♣Q,♦J | Pair
♦3,♣4,♣8,♥8,♣Q | Pair
♦3,♣4,♣8,♥8,♦J | Pair
♦3,♦8,♣5,♠J,♣8 | Pair
♦3,♦8,♣5,♠J,♥8 | Pair
♦3,♦8,♣5,♠J,♦J | Pair
♦3,♦8,♣5,♣8,♥8 | Full House
♦3,♦8,♣5,♣8,♣Q | Pair
♦3,♦8,♣5,♣8,♦J | Pair
♦3,♦8,♣5,♥8,♣Q | Pair
♦3,♦8,♣5,♥8,♦J | Pair
♦3,♦8,♠J,♣8,♥8 | Full House
♦3,♦8,♠J,♣8,♣Q | Pair
♦3,♦8,♠J,♣8,♦J | Two Pairs
♦3,♦8,♠J,♥8,♣Q | Pair
♦3,♦8,♠J,♥8,♦J | Two Pairs
♦3,♦8,♠J,♣Q,♦J | Pair
♦3,♦8,♣8,♥8,♣Q | Full House
♦3,♦8,♣8,♥8,♦J | Full House
♦3,♦8,♣8,♣Q,♦J | Pair
♦3,♦8,♥8,♣Q,♦J | Pair
♦3,♣5,♠J,♣8,♥8 | Pair
♦3,♣5,♠J,♣8,♦J | Pair
♦3,♣5,♠J,♥8,♦J | Pair
♦3,♣5,♠J,♣Q,♦J | Pair
♦3,♣5,♣8,♥8,♣Q | Pair
♦3,♣5,♣8,♥8,♦J | Pair
♦3,♠J,♣8,♥8,♣Q | Pair
♦3,♠J,♣8,♥8,♦J | Two Pairs
♦3,♠J,♣8,♣Q,♦J | Pair
♦3,♠J,♥8,♣Q,♦J | Pair
♦3,♣8,♥8,♣Q,♦J | Pair
♠T,♣4,♦8,♣5,♣8 | Pair
♠T,♣4,♦8,♣5,♥8 | Pair
♠T,♣4,♦8,♠J,♣8 | Pair
♠T,♣4,♦8,♠J,♥8 | Pair
♠T,♣4,♦8,♠J,♦J | Pair
♠T,♣4,♦8,♣8,♥8 | Full House
♠T,♣4,♦8,♣8,♣Q | Pair
♠T,♣4,♦8,♣8,♦J | Pair
♠T,♣4,♦8,♥8,♣Q | Pair
♠T,♣4,♦8,♥8,♦J | Pair
♠T,♣4,♣5,♠J,♦J | Pair
♠T,♣4,♣5,♣8,♥8 | Pair
♠T,♣4,♠J,♣8,♥8 | Pair
♠T,♣4,♠J,♣8,♦J | Pair
♠T,♣4,♠J,♥8,♦J | Pair
♠T,♣4,♠J,♣Q,♦J | Pair
♠T,♣4,♣8,♥8,♣Q | Pair
♠T,♣4,♣8,♥8,♦J | Pair
♠T,♦8,♣5,♠J,♣8 | Pair
♠T,♦8,♣5,♠J,♥8 | Pair
♠T,♦8,♣5,♠J,♦J | Pair
♠T,♦8,♣5,♣8,♥8 | Full House
♠T,♦8,♣5,♣8,♣Q | Pair
♠T,♦8,♣5,♣8,♦J | Pair
♠T,♦8,♣5,♥8,♣Q | Pair
♠T,♦8,♣5,♥8,♦J | Pair
♠T,♦8,♠J,♣8,♥8 | Full House
♠T,♦8,♠J,♣8,♣Q | Pair
♠T,♦8,♠J,♣8,♦J | Two Pairs
♠T,♦8,♠J,♥8,♣Q | Pair
♠T,♦8,♠J,♥8,♦J | Two Pairs
♠T,♦8,♠J,♣Q,♦J | Pair
♠T,♦8,♣8,♥8,♣Q | Full House
♠T,♦8,♣8,♥8,♦J | Full House
♠T,♦8,♣8,♣Q,♦J | Pair
♠T,♦8,♥8,♣Q,♦J | Pair
♠T,♣5,♠J,♣8,♥8 | Pair
♠T,♣5,♠J,♣8,♦J | Pair
♠T,♣5,♠J,♥8,♦J | Pair
♠T,♣5,♠J,♣Q,♦J | Pair
♠T,♣5,♣8,♥8,♣Q | Pair
♠T,♣5,♣8,♥8,♦J | Pair
♠T,♠J,♣8,♥8,♣Q | Pair
♠T,♠J,♣8,♥8,♦J | Two Pairs
♠T,♠J,♣8,♣Q,♦J | Pair
♠T,♠J,♥8,♣Q,♦J | Pair
♠T,♣8,♥8,♣Q,♦J | Pair
♣4,♦8,♣5,♠J,♣8 | Pair
♣4,♦8,♣5,♠J,♥8 | Pair
♣4,♦8,♣5,♠J,♦J | Pair
♣4,♦8,♣5,♣8,♥8 | Full House
♣4,♦8,♣5,♣8,♣Q | Pair
♣4,♦8,♣5,♣8,♦J | Pair
♣4,♦8,♣5,♥8,♣Q | Pair
♣4,♦8,♣5,♥8,♦J | Pair
♣4,♦8,♠J,♣8,♥8 | Full House
♣4,♦8,♠J,♣8,♣Q | Pair
♣4,♦8,♠J,♣8,♦J | Two Pairs
♣4,♦8,♠J,♥8,♣Q | Pair
♣4,♦8,♠J,♥8,♦J | Two Pairs
♣4,♦8,♠J,♣Q,♦J | Pair
♣4,♦8,♣8,♥8,♣Q | Full House
♣4,♦8,♣8,♥8,♦J | Full House
♣4,♦8,♣8,♣Q,♦J | Pair
♣4,♦8,♥8,♣Q,♦J | Pair
♣4,♣5,♠J,♣8,♥8 | Pair
♣4,♣5,♠J,♣8,♦J | Pair
♣4,♣5,♠J,♥8,♦J | Pair
♣4,♣5,♠J,♣Q,♦J | Pair
♣4,♣5,♣8,♥8,♣Q | Pair
♣4,♣5,♣8,♥8,♦J | Pair
♣4,♠J,♣8,♥8,♣Q | Pair
♣4,♠J,♣8,♥8,♦J | Two Pairs
♣4,♠J,♣8,♣Q,♦J | Pair
♣4,♠J,♥8,♣Q,♦J | Pair
♣4,♣8,♥8,♣Q,♦J | Pair
♦8,♣5,♠J,♣8,♥8 | Full House
♦8,♣5,♠J,♣8,♣Q | Pair
♦8,♣5,♠J,♣8,♦J | Two Pairs
♦8,♣5,♠J,♥8,♣Q | Pair
♦8,♣5,♠J,♥8,♦J | Two Pairs
♦8,♣5,♠J,♣Q,♦J | Pair
♦8,♣5,♣8,♥8,♣Q | Full House
♦8,♣5,♣8,♥8,♦J | Full House
♦8,♣5,♣8,♣Q,♦J | Pair
♦8,♣5,♥8,♣Q,♦J | Pair
♦8,♠J,♣8,♥8,♣Q | Full House
♦8,♠J,♣8,♥8,♦J | Full House
♦8,♠J,♣8,♣Q,♦J | Two Pairs
♦8,♠J,♥8,♣Q,♦J | Two Pairs
♦8,♣8,♥8,♣Q,♦J | Full House
♣5,♠J,♣8,♥8,♣Q | Pair
♣5,♠J,♣8,♥8,♦J | Two Pairs
♣5,♠J,♣8,♣Q,♦J | Pair
♣5,♠J,♥8,♣Q,♦J | Pair
♣5,♣8,♥8,♣Q,♦J | Pair
♠J,♣8,♥8,♣Q,♦J | Two Pairs
