♣2,♦J,♠T,♥5,♦T | Pair
♣2,♥5,♥3,♦3,♦4 | Pair
♣2,♥5,♦T,♥4,♦4 | Pair
♣2,♥5,♥4,♦6,♦4 | Pair
♣2,♥5,♥4,♦3,♦4 | Pair
♣2,♠9,♥Q,♥3,♦3 | Pair
♣2,♠9,♥Q,♥4,♦4 | Pair
♣2,♠9,♥3,♦T,♦3 | Pair
♣2,♠9,♥3,♥4,♦3 | Pair
♣2,♠9,♥3,♥4,♦4 | Pair
♣2,♠9,♥3,♦6,♦3 | Pair
♣2,♠9,♥3,♦3,♦4 | Pair
♣2,♠9,♦T,♥4,♦4 | Pair
♣2,♠9,♥4,♦6,♦4 | Pair
♣2,♠9,♥4,♦3,♦4 | Pair
♣2,♥Q,♥3,♦T,♦3 | Pair
♣2,♥Q,♥3,♥4,♦3 | Pair
♣2,♥Q,♥3,♥4,♦4 | Pair
♣2,♥Q,♥3,♦6,♦3 | Pair
♣2,♥Q,♥3,♦3,♦4 | Pair
♣2,♥Q,♦T,♥4,♦4 | Pair
♣2,♥Q,♥4,♦6,♦4 | Pair
♣2,♥Q,♥4,♦3,♦4 | Pair
♣2,♥3,♦T,♥4,♦3 | Pair
♣2,♥3,♦T,♥4,♦4 | Pair
♣2,♥3,♦T,♦6,♦3 | Pair
♣2,♥3,♦T,♦3,♦4 | Pair
♣2,♥3,♥4,♦6,♦3 | Pair
♣2,♥3,♥4,♦6,♦4 | Pair
♣2,♥3,♥4,♦3,♦4 | Two Pairs
♣2,♥3,♦6,♦3,♦4 | Pair
♣2,♦T,♥4,♦6,♦4 | Pair
♣2,♦T,♥4,♦3,♦4 | Pair
♣2,♥4,♦6,♦3,♦4 | Pair
♦J,♠T,♥5,♠9,♦T | Pair
♦J,♠T,♥5,♥Q,♦T | Pair
♦J,♠T,♥5,♥3,♦T | Pair
♦J,♠T,♥5,♥3,♦3 | Pair
♦J,♠T,♥5,♦T,♥4 | Pair
♦J,♠T,♥5,♦T,♦6 | Pair
♦J,♠T,♥5,♦T,♦3 | Pair
♦J,♠T,♥5,♦T,♦4 | Pair
♦J,♠T,♥5,♥4,♦4 | Pair
♦J,♠T,♠9,♥Q,♦T | Pair
♦J,♠T,♠9,♥3,♦T | Pair
♦J,♠T,♠9,♥3,♦3 | Pair
♦J,♠T,♠9,♦T,♥4 | Pair
♦J,♠T,♠9,♦T,♦6 | Pair
♦J,♠T,♠9,♦T,♦3 | Pair
♦J,♠T,♠9,♦T,♦4 | Pair
♦J,♠T,♠9,♥4,♦4 | Pair
♦J,♠T,♥Q,♥3,♦T | Pair
♦J,♠T,♥Q,♥3,♦3 | Pair
♦J,♠T,♥Q,♦T,♥4 | Pair
♦J,♠T,♥Q,♦T,♦6 | Pair
♦J,♠T,♥Q,♦T,♦3 | Pair
♦J,♠T,♥Q,♦T,♦4 | Pair
♦J,♠T,♥Q,♥4,♦4 | Pair
♦J,♠T,♥3,♦T,♥4 | Pair
♦J,♠T,♥3,♦T,♦6 | Pair
♦J,♠T,♥3,♦T,♦3 | Two Pairs
♦J,♠T,♥3,♦T,♦4 | Pair
♦J,♠T,♥3,♥4,♦3 | Pair
♦J,♠T,♥3,♥4,♦4 | Pair
♦J,♠T,♥3,♦6,♦3 | Pair
♦J,♠T,♥3,♦3,♦4 | Pair
♦J,♠T,♦T,♥4,♦6 | Pair
♦J,♠T,♦T,♥4,♦3 | Pair
♦J,♠T,♦T,♥4,♦4 | Two Pairs
♦J,♠T,♦T,♦6,♦3 | Pair
♦J,♠T,♦T,♦6,♦4 | Pair
♦J,♠T,♦T,♦3,♦4 | Pair
♦J,♠T,♥4,♦6,♦4 | Pair
♦J,♠T,♥4,♦3,♦4 | Pair
♦J,♥5,♠9,♥3,♦3 | Pair
♦J,♥5,♠9,♥4,♦4 | Pair
♦J,♥5,♥Q,♥3,♦3 | Pair
♦J,♥5,♥Q,♥4,♦4 | Pair
♦J,♥5,♥3,♦T,♦3 | Pair
♦J,♥5,♥3,♥4,♦3 | Pair
♦J,♥5,♥3,♥4,♦4 | Pair
♦J,♥5,♥3,♦6,♦3 | Pair
♦J,♥5,♥3,♦3,♦4 | Pair
♦J,♥5,♦T,♥4,♦4 | Pair
♦J,♥5,♥4,♦6,♦4 | Pair
♦J,♥5,♥4,♦3,♦4 | Pair
♦J,♠9,♥Q,♥3,♦3 | Pair
♦J,♠9,♥Q,♥4,♦4 | Pair
♦J,♠9,♥3,♦T,♦3 | Pair
♦J,♠9,♥3,♥4,♦3 | Pair
♦J,♠9,♥3,♥4,♦4 | Pair
♦J,♠9,♥3,♦6,♦3 | Pair
♦J,♠9,♥3,♦3,♦4 | Pair
♦J,♠9,♦T,♥4,♦4 | Pair
♦J,♠9,♥4,♦6,♦4 | Pair
♦J,♠9,♥4,♦3,♦4 | Pair
♦J,♥Q,♥3,♦T,♦3 | Pair
♦J,♥Q,♥3,♥4,♦3 | Pair
♦J,♥Q,♥3,♥4,♦4 | Pair
♦J,♥Q,♥3,♦6,♦3 | Pair
♦J,♥Q,♥3,♦3,♦4 | Pair
♦J,♥Q,♦T,♥4,♦4 | Pair
♦J,♥Q,♥4,♦6,♦4 | Pair
♦J,♥Q,♥4,♦3,♦4 | Pair
♦J,♥3,♦T,♥4,♦3 | Pair
♦J,♥3,♦T,♥4,♦4 | Pair
♦J,♥3,♦T,♦6,♦3 | Pair
♦J,♥3,♦T,♦3,♦4 | Pair
♦J,♥3,♥4,♦6,♦3 | Pair
♦J,♥3,♥4,♦6,♦4 | Pair
♦J,♥3,♥4,♦3,♦4 | Two Pairs
♦J,♥3,♦6,♦3,♦4 | Pair
♦J,♦T,♥4,♦6,♦4 | Pair
♦J,♦T,♥4,♦3,♦4 | Pair
♦J,♦T,♦6,♦3,♦4 | Flush
♦J,♥4,♦6,♦3,♦4 | Pair
♠T,♥5,♠9,♥Q,♦T | Pair
♠T,♥5,♠9,♥3,♦T | Pair
♠T,♥5,♠9,♥3,♦3 | Pair
♠T,♥5,♠9,♦T,♥4 | Pair
♠T,♥5,♠9,♦T,♦6 | Pair
♠T,♥5,♠9,♦T,♦3 | Pair
♠T,♥5,♠9,♦T,♦4 | Pair
♠T,♥5,♠9,♥4,♦4 | Pair
♠T,♥5,♥Q,♥3,♦T | Pair
♠T,♥5,♥Q,♥3,♦3 | Pair
♠T,♥5,♥Q,♦T,♥4 | Pair
♠T,♥5,♥Q,♦T,♦6 | Pair
♠T,♥5,♥Q,♦T,♦3 | Pair
♠T,♥5,♥Q,♦T,♦4 | Pair
♠T,♥5,♥Q,♥4,♦4 | Pair
♠T,♥5,♥3,♦T,♥4 | Pair
♠T,♥5,♥3,♦T,♦6 | Pair
♠T,♥5,♥3,♦T,♦3 | Two Pairs
♠T,♥5,♥3,♦T,♦4 | Pair
♠T,♥5,♥3,♥4,♦3 | Pair
♠T,♥5,♥3,♥4,♦4 | Pair
♠T,♥5,♥3,♦6,♦3 | Pair
♠T,♥5,♥3,♦3,♦4 | Pair
♠T,♥5,♦T,♥4,♦6 | Pair
♠T,♥5,♦T,♥4,♦3 | Pair
♠T,♥5,♦T,♥4,♦4 | Two Pairs
♠T,♥5,♦T,♦6,♦3 | Pair
♠T,♥5,♦T,♦6,♦4 | Pair
♠T,♥5,♦T,♦3,♦4 | Pair
♠T,♥5,♥4,♦6,♦4 | Pair
♠T,♥5,♥4,♦3,♦4 | Pair
♠T,♠9,♥Q,♥3,♦T | Pair
♠T,♠9,♥Q,♥3,♦3 | Pair
♠T,♠9,♥Q,♦T,♥4 | Pair
♠T,♠9,♥Q,♦T,♦6 | Pair
♠T,♠9,♥Q,♦T,♦3 | Pair
♠T,♠9,♥Q,♦T,♦4 | Pair
♠T,♠9,♥Q,♥4,♦4 | Pair
♠T,♠9,♥3,♦T,♥4 | Pair
♠T,♠9,♥3,♦T,♦6 | Pair
♠T,♠9,♥3,♦T,♦3 | Two Pairs
♠T,♠9,♥3,♦T,♦4 | Pair
♠T,♠9,♥3,♥4,♦3 | Pair
♠T,♠9,♥3,♥4,♦4 | Pair
♠T,♠9,♥3,♦6,♦3 | Pair
♠T,♠9,♥3,♦3,♦4 | Pair
♠T,♠9,♦T,♥4,♦6 | Pair
♠T,♠9,♦T,♥4,♦3 | Pair
♠T,♠9,♦T,♥4,♦4 | Two Pairs
♠T,♠9,♦T,♦6,♦3 | Pair
♠T,♠9,♦T,♦6,♦4 | Pair
♠T,♠9,♦T,♦3,♦4 | Pair
♠T,♠9,♥4,♦6,♦4 | Pair
♠T,♠9,♥4,♦3,♦4 | Pair
♠T,♥Q,♥3,♦T,♥4 | Pair
♠T,♥Q,♥3,♦T,♦6 | Pair
♠T,♥Q,♥3,♦T,♦3 | Two Pairs
♠T,♥Q,♥3,♦T,♦4 | Pair
♠T,♥Q,♥3,♥4,♦3 | Pair
♠T,♥Q,♥3,♥4,♦4 | Pair
♠T,♥Q,♥3,♦6,♦3 | Pair
♠T,♥Q,♥3,♦3,♦4 | Pair
♠T,♥Q,♦T,♥4,♦6 | Pair
♠T,♥Q,♦T,♥4,♦3 | Pair
♠T,♥Q,♦T,♥4,♦4 | Two Pairs
♠T,♥Q,♦T,♦6,♦3 | Pair
♠T,♥Q,♦T,♦6,♦4 | Pair
♠T,♥Q,♦T,♦3,♦4 | Pair
♠T,♥Q,♥4,♦6,♦4 | Pair
♠T,♥Q,♥4,♦3,♦4 | Pair
♠T,♥3,♦T,♥4,♦6 | Pair
♠T,♥3,♦T,♥4,♦3 | Two Pairs
♠T,♥3,♦T,♥4,♦4 | Two Pairs
♠T,♥3,♦T,♦6,♦3 | Two Pairs
♠T,♥3,♦T,♦6,♦4 | Pair
♠T,♥3,♦T,♦3,♦4 | Two Pairs
♠T,♥3,♥4,♦6,♦3 | Pair
♠T,♥3,♥4,♦6,♦4 | Pair
♠T,♥3,♥4,♦3,♦4 | Two Pairs
♠T,♥3,♦6,♦3,♦4 | Pair
♠T,♦T,♥4,♦6,♦3 | Pair
♠T,♦T,♥4,♦6,♦4 | Two Pairs
♠T,♦T,♥4,♦3,♦4 | Two Pairs
♠T,♦T,♦6,♦3,♦4 | Pair
♠T,♥4,♦6,♦3,♦4 | Pair
♥5,♠9,♥Q,♥3,♦3 | Pair
♥5,♠9,♥Q,♥4,♦4 | Pair
♥5,♠9,♥3,♦T,♦3 | Pair
♥5,♠9,♥3,♥4,♦3 | Pair
♥5,♠9,♥3,♥4,♦4 | Pair
♥5,♠9,♥3,♦6,♦3 | Pair
♥5,♠9,♥3,♦3,♦4 | Pair
♥5,♠9,♦T,♥4,♦4 | Pair
♥5,♠9,♥4,♦6,♦4 | Pair
♥5,♠9,♥4,♦3,♦4 | Pair
♥5,♥Q,♥3,♦T,♦3 | Pair
♥5,♥Q,♥3,♥4,♦3 | Pair
♥5,♥Q,♥3,♥4,♦4 | Pair
♥5,♥Q,♥3,♦6,♦3 | Pair
♥5,♥Q,♥3,♦3,♦4 | Pair
♥5,♥Q,♦T,♥4,♦4 | Pair
♥5,♥Q,♥4,♦6,♦4 | Pair
♥5,♥Q,♥4,♦3,♦4 | Pair
♥5,♥3,♦T,♥4,♦3 | Pair
♥5,♥3,♦T,♥4,♦4 | Pair
♥5,♥3,♦T,♦6,♦3 | Pair
♥5,♥3,♦T,♦3,♦4 | Pair
♥5,♥3,♥4,♦6,♦3 | Pair
♥5,♥3,♥4,♦6,♦4 | Pair
♥5,♥3,♥4,♦3,♦4 | Two Pairs
♥5,♥3,♦6,♦3,♦4 | Pair
♥5,♦T,♥4,♦6,♦4 | Pair
♥5,♦T,♥4,♦3,♦4 | Pair
♥5,♥4,♦6,♦3,♦4 | Pair
♠9,♥Q,♥3,♦T,♦3 | Pair
♠9,♥Q,♥3,♥4,♦3 | Pair
♠9,♥Q,♥3,♥4,♦4 | Pair
♠9,♥Q,♥3,♦6,♦3 | Pair
♠9,♥Q,♥3,♦3,♦4 | Pair
♠9,♥Q,♦T,♥4,♦4 | Pair
♠9,♥Q,♥4,♦6,♦4 | Pair
♠9,♥Q,♥4,♦3,♦4 | Pair
♠9,♥3,♦T,♥4,♦3 | Pair
♠9,♥3,♦T,♥4,♦4 | Pair
♠9,♥3,♦T,♦6,♦3 | Pair
♠9,♥3,♦T,♦3,♦4 | Pair
♠9,♥3,♥4,♦6,♦3 | Pair
♠9,♥3,♥4,♦6,♦4 | Pair
♠9,♥3,♥4,♦3,♦4 | Two Pairs
♠9,♥3,♦6,♦3,♦4 | Pair
♠9,♦T,♥4,♦6,♦4 | Pair
♠9,♦T,♥4,♦3,♦4 | Pair
♠9,♥4,♦6,♦3,♦4 | Pair
♥Q,♥3,♦T,♥4,♦3 | Pair
♥Q,♥3,♦T,♥4,♦4 | Pair
♥Q,♥3,♦T,♦6,♦3 | Pair
♥Q,♥3,♦T,♦3,♦4 | Pair
♥Q,♥3,♥4,♦6,♦3 | Pair
♥Q,♥3,♥4,♦6,♦4 | Pair
♥Q,♥3,♥4,♦3,♦4 | Two Pairs
♥Q,♥3,♦6,♦3,♦4 | Pair
♥Q,♦T,♥4,♦6,♦4 | Pair
♥Q,♦T,♥4,♦3,♦4 | Pair
♥Q,♥4,♦6,♦3,♦4 | Pair
♥3,♦T,♥4,♦6,♦3 | Pair
♥3,♦T,♥4,♦6,♦4 | Pair
♥3,♦T,♥4,♦3,♦4 | Two Pairs
♥3,♦T,♦6,♦3,♦4 | Pair
♥3,♥4,♦6,♦3,♦4 | Two Pairs
♦T,♥4,♦6,♦3,♦4 | Pair
