♥Q,♦A,♥Q,♠6,♠5 | Pair
♥Q,♥Q,♠6,♣4,♠7 | Pair
♥Q,♥Q,♠6,♠8,♠7 | Pair
♥Q,♥Q,♠5,♦7,♣4 | Pair
♥Q,♥Q,♠5,♦7,♠8 | Pair
♥Q,♥Q,♠5,♦7,♠7 | Pair
♥Q,♥Q,♠5,♦7,♠7 | Pair
♥Q,♥Q,♠5,♣4,♠8 | Pair
♥Q,♥Q,♠5,♣4,♠7 | Pair
♥Q,♥Q,♠5,♠8,♠7 | Pair
♥Q,♥Q,♦7,♣4,♠8 | Pair
♥Q,♥Q,♦7,♣4,♠7 | Pair
♥Q,♥Q,♦7,♣4,♠7 | Pair
♥Q,♥Q,♦7,♠8,♠7 | Pair
♥Q,♥Q,♦7,♠8,♠7 | Pair
♥Q,♥Q,♣4,♠8,♠7 | Pair
♥Q,♠6,♠5,♦7,♠7 | Pair
♥Q,♠6,♦7,♣4,♠7 | Pair
♥Q,♠6,♦7,♠8,♠7 | Pair
♥Q,♠5,♦7,♣4,♠7 | Pair
♥Q,♠5,♦7,♠8,♠7 | Pair
♥Q,♦7,♣4,♠8,♠7 | Pair
♦A,♥Q,♠6,♠5,♦7 | Pair
♦A,♥Q,♠6,♠5,♣4 | Pair
♦A,♥Q,♠6,♠5,♠8 | Pair
♦A,♥Q,♠6,♠5,♠7 | Pair
♦A,♥Q,♠6,♦7,♣4 | Pair
♦A,♥Q,♠6,♦7,♠8 | Pair
♦A,♥Q,♠6,♦7,♠7 | Pair
♦A,♥Q,♠6,♦7,♠7 | Pair
♦A,♥Q,♠6,♣4,♠8 | Pair
♦A,♥Q,♠6,♣4,♠7 | Pair
♦A,♥Q,♠6,♠8,♠7 | Pair
♦A,♥Q,♠5,♦7,♣4 | Pair
♦A,♥Q,♠5,♦7,♠8 | Pair
♦A,♥Q,♠5,♦7,♠7 | Pair
♦A,♥Q,♠5,♦7,♠7 | Pair
♦A,♥Q,♠5,♣4,♠8 | Pair
♦A,♥Q,♠5,♣4,♠7 | Pair
♦A,♥Q,♠5,♠8,♠7 | Pair
♦A,♥Q,♦7,♣4,♠8 | Pair
♦A,♥Q,♦7,♣4,♠7 | Pair
♦A,♥Q,♦7,♣4,♠7 | Pair
♦A,♥Q,♦7,♠8,♠7 | Pair
♦A,♥Q,♦7,♠8,♠7 | Pair
♦A,♥Q,♣4,♠8,♠7 | Pair
♦A,♠6,♠5,♦7,♠7 | Pair
♦A,♠6,♦7,♣4,♠7 | Pair
♦A,♠6,♦7,♠8,♠7 | Pair
♦A,♠5,♦7,♣4,♠7 | Pair
♦A,♠5,♦7,♠8,♠7 | Pair
♦A,♦7,♣4,♠8,♠7 | Pair
♥Q,♠6,♠5,♦7,♠7 | Pair
♥Q,♠6,♦7,♣4,♠7 | Pair
♥Q,♠6,♦7,♠8,♠7 | Pair
♥Q,♠5,♦7,♣4,♠7 | Pair
♥Q,♠5,♦7,♠8,♠7 | Pair
♥Q,♦7,♣4,♠8,♠7 | Pair
♠6,♠5,♦7,♣4,♠7 | Pair
♠6,♠5,♦7,♠8,♠7 | Pair
♠6,♦7,♣4,♠8,♠7 | Pair
♠5,♦7,♣4,♠8,♠7 | Pair
