♠8,♠2,♥T,♦9,♦8 | Pair
♦9,♠7,♣4,♦8,♥4 | Pair
♦9,♠7,♣4,♥A,♥4 | Pair
♦9,♥J,♦K,♣4,♥4 | Pair
♦9,♥J,♣4,♦8,♥4 | Pair
♦9,♥J,♣4,♥A,♥4 | Pair
♦9,♦K,♣4,♦8,♥4 | Pair
♦9,♦K,♣4,♥A,♥4 | Pair
♦9,♣4,♦8,♥A,♥4 | Pair
♠7,♥J,♦K,♣4,♥4 | Pair
♠7,♥J,♣4,♦8,♥4 | Pair
♠7,♥J,♣4,♥A,♥4 | Pair
♠7,♦K,♣4,♦8,♥4 | Pair
♠7,♦K,♣4,♥A,♥4 | Pair
♠7,♣4,♦8,♥A,♥4 | Pair
♥J,♦K,♣4,♦8,♥4 | Pair
♥J,♦K,♣4,♥A,♥4 | Pair
♥J,♣4,♦8,♥A,♥4 | Pair
♦K,♣4,♦8,♥A,♥4 | Pair
