♠J,♥7,♣T,♣2,♣J | Pair
♠J,♥7,♠5,♣J,♥3 | Pair
♠J,♥7,♠5,♣J,♠6 | Pair
♠J,♥7,♠5,♣J,♦8 | Pair
♠J,♥7,♠5,♣J,♣4 | Pair
♠J,♥7,♥8,♠Q,♣J | Pair
♠J,♥7,♥8,♠Q,♦8 | Pair
♠J,♥7,♥8,♠3,♣J | Pair
♠J,♥7,♥8,♠3,♥3 | Pair
♠J,♥7,♥8,♠3,♦8 | Pair
♠J,♥7,♥8,♣J,♠T | Pair
♠J,♥7,♥8,♣J,♥3 | Pair
♠J,♥7,♥8,♣J,♠6 | Pair
♠J,♥7,♥8,♣J,♦8 | Two Pairs
♠J,♥7,♥8,♣J,♣4 | Pair
♠J,♥7,♥8,♠T,♦8 | Pair
♠J,♥7,♥8,♥3,♦8 | Pair
♠J,♥7,♥8,♠6,♦8 | Pair
♠J,♥7,♥8,♦8,♣4 | Pair
♠J,♥7,♠Q,♠3,♣J | Pair
♠J,♥7,♠Q,♠3,♥3 | Pair
♠J,♥7,♠Q,♣J,♠T | Pair
♠J,♥7,♠Q,♣J,♥3 | Pair
♠J,♥7,♠Q,♣J,♠6 | Pair
♠J,♥7,♠Q,♣J,♦8 | Pair
♠J,♥7,♠Q,♣J,♣4 | Pair
♠J,♥7,♠3,♣J,♠T | Pair
♠J,♥7,♠3,♣J,♥3 | Two Pairs
♠J,♥7,♠3,♣J,♠6 | Pair
♠J,♥7,♠3,♣J,♦8 | Pair
♠J,♥7,♠3,♣J,♣4 | Pair
♠J,♥7,♠3,♠T,♥3 | Pair
♠J,♥7,♠3,♥3,♠6 | Pair
♠J,♥7,♠3,♥3,♦8 | Pair
♠J,♥7,♠3,♥3,♣4 | Pair
♠J,♥7,♣J,♠T,♥3 | Pair
♠J,♥7,♣J,♠T,♠6 | Pair
♠J,♥7,♣J,♠T,♦8 | Pair
♠J,♥7,♣J,♠T,♣4 | Pair
♠J,♥7,♣J,♥3,♠6 | Pair
♠J,♥7,♣J,♥3,♦8 | Pair
♠J,♥7,♣J,♥3,♣4 | Pair
♠J,♥7,♣J,♠6,♦8 | Pair
♠J,♥7,♣J,♠6,♣4 | Pair
♠J,♥7,♣J,♦8,♣4 | Pair
♠J,♣T,♣2,♣Q,♠Q | Pair
♠J,♣T,♣2,♣Q,♣J | Pair
♠J,♣T,♣2,♣Q,♠T | Pair
♠J,♣T,♣2,♠5,♣J | Pair
♠J,♣T,♣2,♠5,♠T | Pair
♠J,♣T,♣2,♥8,♣J | Pair
♠J,♣T,♣2,♥8,♠T | Pair
♠J,♣T,♣2,♥8,♦8 | Pair
♠J,♣T,♣2,♠Q,♣J | Pair
♠J,♣T,♣2,♠Q,♠T | Pair
♠J,♣T,♣2,♠3,♣J | Pair
♠J,♣T,♣2,♠3,♠T | Pair
♠J,♣T,♣2,♠3,♥3 | Pair
♠J,♣T,♣2,♣J,♠T | Two Pairs
♠J,♣T,♣2,♣J,♥3 | Pair
♠J,♣T,♣2,♣J,♠6 | Pair
♠J,♣T,♣2,♣J,♦8 | Pair
♠J,♣T,♣2,♣J,♣4 | Pair
♠J,♣T,♣2,♠T,♥3 | Pair
♠J,♣T,♣2,♠T,♠6 | Pair
♠J,♣T,♣2,♠T,♦8 | Pair
♠J,♣T,♣2,♠T,♣4 | Pair
♠J,♣T,♣Q,♠5,♠Q | Pair
♠J,♣T,♣Q,♠5,♣J | Pair
♠J,♣T,♣Q,♠5,♠T | Pair
♠J,♣T,♣Q,♥8,♠Q | Pair
♠J,♣T,♣Q,♥8,♣J | Pair
♠J,♣T,♣Q,♥8,♠T | Pair
♠J,♣T,♣Q,♥8,♦8 | Pair
♠J,♣T,♣Q,♠Q,♠3 | Pair
♠J,♣T,♣Q,♠Q,♣J | Two Pairs
♠J,♣T,♣Q,♠Q,♠T | Two Pairs
♠J,♣T,♣Q,♠Q,♥3 | Pair
♠J,♣T,♣Q,♠Q,♠6 | Pair
♠J,♣T,♣Q,♠Q,♦8 | Pair
♠J,♣T,♣Q,♠Q,♣4 | Pair
♠J,♣T,♣Q,♠3,♣J | Pair
♠J,♣T,♣Q,♠3,♠T | Pair
♠J,♣T,♣Q,♠3,♥3 | Pair
♠J,♣T,♣Q,♣J,♠T | Two Pairs
♠J,♣T,♣Q,♣J,♥3 | Pair
♠J,♣T,♣Q,♣J,♠6 | Pair
♠J,♣T,♣Q,♣J,♦8 | Pair
♠J,♣T,♣Q,♣J,♣4 | Pair
♠J,♣T,♣Q,♠T,♥3 | Pair
♠J,♣T,♣Q,♠T,♠6 | Pair
♠J,♣T,♣Q,♠T,♦8 | Pair
♠J,♣T,♣Q,♠T,♣4 | Pair
♠J,♣T,♠5,♥8,♣J | Pair
♠J,♣T,♠5,♥8,♠T | Pair
♠J,♣T,♠5,♥8,♦8 | Pair
♠J,♣T,♠5,♠Q,♣J | Pair
♠J,♣T,♠5,♠Q,♠T | Pair
♠J,♣T,♠5,♠3,♣J | Pair
♠J,♣T,♠5,♠3,♠T | Pair
♠J,♣T,♠5,♠3,♥3 | Pair
♠J,♣T,♠5,♣J,♠T | Two Pairs
♠J,♣T,♠5,♣J,♥3 | Pair
♠J,♣T,♠5,♣J,♠6 | Pair
♠J,♣T,♠5,♣J,♦8 | Pair
♠J,♣T,♠5,♣J,♣4 | Pair
♠J,♣T,♠5,♠T,♥3 | Pair
♠J,♣T,♠5,♠T,♠6 | Pair
♠J,♣T,♠5,♠T,♦8 | Pair
♠J,♣T,♠5,♠T,♣4 | Pair
♠J,♣T,♥8,♠Q,♣J | Pair
♠J,♣T,♥8,♠Q,♠T | Pair
♠J,♣T,♥8,♠Q,♦8 | Pair
♠J,♣T,♥8,♠3,♣J | Pair
♠J,♣T,♥8,♠3,♠T | Pair
♠J,♣T,♥8,♠3,♥3 | Pair
♠J,♣T,♥8,♠3,♦8 | Pair
♠J,♣T,♥8,♣J,♠T | Two Pairs
♠J,♣T,♥8,♣J,♥3 | Pair
♠J,♣T,♥8,♣J,♠6 | Pair
♠J,♣T,♥8,♣J,♦8 | Two Pairs
♠J,♣T,♥8,♣J,♣4 | Pair
♠J,♣T,♥8,♠T,♥3 | Pair
♠J,♣T,♥8,♠T,♠6 | Pair
♠J,♣T,♥8,♠T,♦8 | Two Pairs
♠J,♣T,♥8,♠T,♣4 | Pair
♠J,♣T,♥8,♥3,♦8 | Pair
♠J,♣T,♥8,♠6,♦8 | Pair
♠J,♣T,♥8,♦8,♣4 | Pair
♠J,♣T,♠Q,♠3,♣J | Pair
♠J,♣T,♠Q,♠3,♠T | Pair
♠J,♣T,♠Q,♠3,♥3 | Pair
♠J,♣T,♠Q,♣J,♠T | Two Pairs
♠J,♣T,♠Q,♣J,♥3 | Pair
♠J,♣T,♠Q,♣J,♠6 | Pair
♠J,♣T,♠Q,♣J,♦8 | Pair
♠J,♣T,♠Q,♣J,♣4 | Pair
♠J,♣T,♠Q,♠T,♥3 | Pair
♠J,♣T,♠Q,♠T,♠6 | Pair
♠J,♣T,♠Q,♠T,♦8 | Pair
♠J,♣T,♠Q,♠T,♣4 | Pair
♠J,♣T,♠3,♣J,♠T | Two Pairs
♠J,♣T,♠3,♣J,♥3 | Two Pairs
♠J,♣T,♠3,♣J,♠6 | Pair
♠J,♣T,♠3,♣J,♦8 | Pair
♠J,♣T,♠3,♣J,♣4 | Pair
♠J,♣T,♠3,♠T,♥3 | Two Pairs
♠J,♣T,♠3,♠T,♠6 | Pair
♠J,♣T,♠3,♠T,♦8 | Pair
♠J,♣T,♠3,♠T,♣4 | Pair
♠J,♣T,♠3,♥3,♠6 | Pair
♠J,♣T,♠3,♥3,♦8 | Pair
♠J,♣T,♠3,♥3,♣4 | Pair
♠J,♣T,♣J,♠T,♥3 | Two Pairs
♠J,♣T,♣J,♠T,♠6 | Two Pairs
♠J,♣T,♣J,♠T,♦8 | Two Pairs
♠J,♣T,♣J,♠T,♣4 | Two Pairs
♠J,♣T,♣J,♥3,♠6 | Pair
♠J,♣T,♣J,♥3,♦8 | Pair
♠J,♣T,♣J,♥3,♣4 | Pair
♠J,♣T,♣J,♠6,♦8 | Pair
♠J,♣T,♣J,♠6,♣4 | Pair
♠J,♣T,♣J,♦8,♣4 | Pair
♠J,♣T,♠T,♥3,♠6 | Pair
♠J,♣T,♠T,♥3,♦8 | Pair
♠J,♣T,♠T,♥3,♣4 | Pair
♠J,♣T,♠T,♠6,♦8 | Pair
♠J,♣T,♠T,♠6,♣4 | Pair
♠J,♣T,♠T,♦8,♣4 | Pair
♠J,♣2,♣Q,♠5,♠Q | Pair
♠J,♣2,♣Q,♠5,♣J | Pair
♠J,♣2,♣Q,♥8,♠Q | Pair
♠J,♣2,♣Q,♥8,♣J | Pair
♠J,♣2,♣Q,♥8,♦8 | Pair
♠J,♣2,♣Q,♠Q,♠3 | Pair
♠J,♣2,♣Q,♠Q,♣J | Two Pairs
♠J,♣2,♣Q,♠Q,♠T | Pair
♠J,♣2,♣Q,♠Q,♥3 | Pair
♠J,♣2,♣Q,♠Q,♠6 | Pair
♠J,♣2,♣Q,♠Q,♦8 | Pair
♠J,♣2,♣Q,♠Q,♣4 | Pair
♠J,♣2,♣Q,♠3,♣J | Pair
♠J,♣2,♣Q,♠3,♥3 | Pair
♠J,♣2,♣Q,♣J,♠T | Pair
♠J,♣2,♣Q,♣J,♥3 | Pair
♠J,♣2,♣Q,♣J,♠6 | Pair
♠J,♣2,♣Q,♣J,♦8 | Pair
♠J,♣2,♣Q,♣J,♣4 | Pair
♠J,♣2,♠5,♥8,♣J | Pair
♠J,♣2,♠5,♥8,♦8 | Pair
♠J,♣2,♠5,♠Q,♣J | Pair
♠J,♣2,♠5,♠3,♣J | Pair
♠J,♣2,♠5,♠3,♥3 | Pair
♠J,♣2,♠5,♣J,♠T | Pair
♠J,♣2,♠5,♣J,♥3 | Pair
♠J,♣2,♠5,♣J,♠6 | Pair
♠J,♣2,♠5,♣J,♦8 | Pair
♠J,♣2,♠5,♣J,♣4 | Pair
♠J,♣2,♥8,♠Q,♣J | Pair
♠J,♣2,♥8,♠Q,♦8 | Pair
♠J,♣2,♥8,♠3,♣J | Pair
♠J,♣2,♥8,♠3,♥3 | Pair
♠J,♣2,♥8,♠3,♦8 | Pair
♠J,♣2,♥8,♣J,♠T | Pair
♠J,♣2,♥8,♣J,♥3 | Pair
♠J,♣2,♥8,♣J,♠6 | Pair
♠J,♣2,♥8,♣J,♦8 | Two Pairs
♠J,♣2,♥8,♣J,♣4 | Pair
♠J,♣2,♥8,♠T,♦8 | Pair
♠J,♣2,♥8,♥3,♦8 | Pair
♠J,♣2,♥8,♠6,♦8 | Pair
♠J,♣2,♥8,♦8,♣4 | Pair
♠J,♣2,♠Q,♠3,♣J | Pair
♠J,♣2,♠Q,♠3,♥3 | Pair
♠J,♣2,♠Q,♣J,♠T | Pair
♠J,♣2,♠Q,♣J,♥3 | Pair
♠J,♣2,♠Q,♣J,♠6 | Pair
♠J,♣2,♠Q,♣J,♦8 | Pair
♠J,♣2,♠Q,♣J,♣4 | Pair
♠J,♣2,♠3,♣J,♠T | Pair
♠J,♣2,♠3,♣J,♥3 | Two Pairs
♠J,♣2,♠3,♣J,♠6 | Pair
♠J,♣2,♠3,♣J,♦8 | Pair
♠J,♣2,♠3,♣J,♣4 | Pair
♠J,♣2,♠3,♠T,♥3 | Pair
♠J,♣2,♠3,♥3,♠6 | Pair
♠J,♣2,♠3,♥3,♦8 | Pair
♠J,♣2,♠3,♥3,♣4 | Pair
♠J,♣2,♣J,♠T,♥3 | Pair
♠J,♣2,♣J,♠T,♠6 | Pair
♠J,♣2,♣J,♠T,♦8 | Pair
♠J,♣2,♣J,♠T,♣4 | Pair
♠J,♣2,♣J,♥3,♠6 | Pair
♠J,♣2,♣J,♥3,♦8 | Pair
♠J,♣2,♣J,♥3,♣4 | Pair
♠J,♣2,♣J,♠6,♦8 | Pair
♠J,♣2,♣J,♠6,♣4 | Pair
♠J,♣2,♣J,♦8,♣4 | Pair
♠J,♣Q,♠5,♥8,♠Q | Pair
♠J,♣Q,♠5,♥8,♣J | Pair
♠J,♣Q,♠5,♥8,♦8 | Pair
♠J,♣Q,♠5,♠Q,♠3 | Pair
♠J,♣Q,♠5,♠Q,♣J | Two Pairs
♠J,♣Q,♠5,♠Q,♠T | Pair
♠J,♣Q,♠5,♠Q,♥3 | Pair
♠J,♣Q,♠5,♠Q,♠6 | Pair
♠J,♣Q,♠5,♠Q,♦8 | Pair
♠J,♣Q,♠5,♠Q,♣4 | Pair
♠J,♣Q,♠5,♠3,♣J | Pair
♠J,♣Q,♠5,♠3,♥3 | Pair
♠J,♣Q,♠5,♣J,♠T | Pair
♠J,♣Q,♠5,♣J,♥3 | Pair
♠J,♣Q,♠5,♣J,♠6 | Pair
♠J,♣Q,♠5,♣J,♦8 | Pair
♠J,♣Q,♠5,♣J,♣4 | Pair
♠J,♣Q,♥8,♠Q,♠3 | Pair
♠J,♣Q,♥8,♠Q,♣J | Two Pairs
♠J,♣Q,♥8,♠Q,♠T | Pair
♠J,♣Q,♥8,♠Q,♥3 | Pair
♠J,♣Q,♥8,♠Q,♠6 | Pair
♠J,♣Q,♥8,♠Q,♦8 | Two Pairs
♠J,♣Q,♥8,♠Q,♣4 | Pair
♠J,♣Q,♥8,♠3,♣J | Pair
♠J,♣Q,♥8,♠3,♥3 | Pair
♠J,♣Q,♥8,♠3,♦8 | Pair
♠J,♣Q,♥8,♣J,♠T | Pair
♠J,♣Q,♥8,♣J,♥3 | Pair
♠J,♣Q,♥8,♣J,♠6 | Pair
♠J,♣Q,♥8,♣J,♦8 | Two Pairs
♠J,♣Q,♥8,♣J,♣4 | Pair
♠J,♣Q,♥8,♠T,♦8 | Pair
♠J,♣Q,♥8,♥3,♦8 | Pair
♠J,♣Q,♥8,♠6,♦8 | Pair
♠J,♣Q,♥8,♦8,♣4 | Pair
♠J,♣Q,♠Q,♠3,♣J | Two Pairs
♠J,♣Q,♠Q,♠3,♠T | Pair
♠J,♣Q,♠Q,♠3,♥3 | Two Pairs
♠J,♣Q,♠Q,♠3,♠6 | Pair
♠J,♣Q,♠Q,♠3,♦8 | Pair
♠J,♣Q,♠Q,♠3,♣4 | Pair
♠J,♣Q,♠Q,♣J,♠T | Two Pairs
♠J,♣Q,♠Q,♣J,♥3 | Two Pairs
♠J,♣Q,♠Q,♣J,♠6 | Two Pairs
♠J,♣Q,♠Q,♣J,♦8 | Two Pairs
♠J,♣Q,♠Q,♣J,♣4 | Two Pairs
♠J,♣Q,♠Q,♠T,♥3 | Pair
♠J,♣Q,♠Q,♠T,♠6 | Pair
♠J,♣Q,♠Q,♠T,♦8 | Pair
♠J,♣Q,♠Q,♠T,♣4 | Pair
♠J,♣Q,♠Q,♥3,♠6 | Pair
♠J,♣Q,♠Q,♥3,♦8 | Pair
♠J,♣Q,♠Q,♥3,♣4 | Pair
♠J,♣Q,♠Q,♠6,♦8 | Pair
♠J,♣Q,♠Q,♠6,♣4 | Pair
♠J,♣Q,♠Q,♦8,♣4 | Pair
♠J,♣Q,♠3,♣J,♠T | Pair
♠J,♣Q,♠3,♣J,♥3 | Two Pairs
♠J,♣Q,♠3,♣J,♠6 | Pair
♠J,♣Q,♠3,♣J,♦8 | Pair
♠J,♣Q,♠3,♣J,♣4 | Pair
♠J,♣Q,♠3,♠T,♥3 | Pair
♠J,♣Q,♠3,♥3,♠6 | Pair
♠J,♣Q,♠3,♥3,♦8 | Pair
♠J,♣Q,♠3,♥3,♣4 | Pair
♠J,♣Q,♣J,♠T,♥3 | Pair
♠J,♣Q,♣J,♠T,♠6 | Pair
♠J,♣Q,♣J,♠T,♦8 | Pair
♠J,♣Q,♣J,♠T,♣4 | Pair
♠J,♣Q,♣J,♥3,♠6 | Pair
♠J,♣Q,♣J,♥3,♦8 | Pair
♠J,♣Q,♣J,♥3,♣4 | Pair
♠J,♣Q,♣J,♠6,♦8 | Pair
♠J,♣Q,♣J,♠6,♣4 | Pair
♠J,♣Q,♣J,♦8,♣4 | Pair
♠J,♠5,♥8,♠Q,♣J | Pair
♠J,♠5,♥8,♠Q,♦8 | Pair
♠J,♠5,♥8,♠3,♣J | Pair
♠J,♠5,♥8,♠3,♥3 | Pair
♠J,♠5,♥8,♠3,♦8 | Pair
♠J,♠5,♥8,♣J,♠T | Pair
♠J,♠5,♥8,♣J,♥3 | Pair
♠J,♠5,♥8,♣J,♠6 | Pair
♠J,♠5,♥8,♣J,♦8 | Two Pairs
♠J,♠5,♥8,♣J,♣4 | Pair
♠J,♠5,♥8,♠T,♦8 | Pair
♠J,♠5,♥8,♥3,♦8 | Pair
♠J,♠5,♥8,♠6,♦8 | Pair
♠J,♠5,♥8,♦8,♣4 | Pair
♠J,♠5,♠Q,♠3,♣J | Pair
♠J,♠5,♠Q,♠3,♠T | Flush
♠J,♠5,♠Q,♠3,♥3 | Pair
♠J,♠5,♠Q,♠3,♠6 | Flush
♠J,♠5,♠Q,♣J,♠T | Pair
♠J,♠5,♠Q,♣J,♥3 | Pair
♠J,♠5,♠Q,♣J,♠6 | Pair
♠J,♠5,♠Q,♣J,♦8 | Pair
♠J,♠5,♠Q,♣J,♣4 | Pair
♠J,♠5,♠Q,♠T,♠6 | Flush
♠J,♠5,♠3,♣J,♠T | Pair
♠J,♠5,♠3,♣J,♥3 | Two Pairs
♠J,♠5,♠3,♣J,♠6 | Pair
♠J,♠5,♠3,♣J,♦8 | Pair
♠J,♠5,♠3,♣J,♣4 | Pair
♠J,♠5,♠3,♠T,♥3 | Pair
♠J,♠5,♠3,♠T,♠6 | Flush
♠J,♠5,♠3,♥3,♠6 | Pair
♠J,♠5,♠3,♥3,♦8 | Pair
♠J,♠5,♠3,♥3,♣4 | Pair
♠J,♠5,♣J,♠T,♥3 | Pair
♠J,♠5,♣J,♠T,♠6 | Pair
♠J,♠5,♣J,♠T,♦8 | Pair
♠J,♠5,♣J,♠T,♣4 | Pair
♠J,♠5,♣J,♥3,♠6 | Pair
♠J,♠5,♣J,♥3,♦8 | Pair
♠J,♠5,♣J,♥3,♣4 | Pair
♠J,♠5,♣J,♠6,♦8 | Pair
♠J,♠5,♣J,♠6,♣4 | Pair
♠J,♠5,♣J,♦8,♣4 | Pair
♠J,♥8,♠Q,♠3,♣J | Pair
♠J,♥8,♠Q,♠3,♥3 | Pair
♠J,♥8,♠Q,♠3,♦8 | Pair
♠J,♥8,♠Q,♣J,♠T | Pair
♠J,♥8,♠Q,♣J,♥3 | Pair
♠J,♥8,♠Q,♣J,♠6 | Pair
♠J,♥8,♠Q,♣J,♦8 | Two Pairs
♠J,♥8,♠Q,♣J,♣4 | Pair
♠J,♥8,♠Q,♠T,♦8 | Pair
♠J,♥8,♠Q,♥3,♦8 | Pair
♠J,♥8,♠Q,♠6,♦8 | Pair
♠J,♥8,♠Q,♦8,♣4 | Pair
♠J,♥8,♠3,♣J,♠T | Pair
♠J,♥8,♠3,♣J,♥3 | Two Pairs
♠J,♥8,♠3,♣J,♠6 | Pair
♠J,♥8,♠3,♣J,♦8 | Two Pairs
♠J,♥8,♠3,♣J,♣4 | Pair
♠J,♥8,♠3,♠T,♥3 | Pair
♠J,♥8,♠3,♠T,♦8 | Pair
♠J,♥8,♠3,♥3,♠6 | Pair
♠J,♥8,♠3,♥3,♦8 | Two Pairs
♠J,♥8,♠3,♥3,♣4 | Pair
♠J,♥8,♠3,♠6,♦8 | Pair
♠J,♥8,♠3,♦8,♣4 | Pair
♠J,♥8,♣J,♠T,♥3 | Pair
♠J,♥8,♣J,♠T,♠6 | Pair
♠J,♥8,♣J,♠T,♦8 | Two Pairs
♠J,♥8,♣J,♠T,♣4 | Pair
♠J,♥8,♣J,♥3,♠6 | Pair
♠J,♥8,♣J,♥3,♦8 | Two Pairs
♠J,♥8,♣J,♥3,♣4 | Pair
♠J,♥8,♣J,♠6,♦8 | Two Pairs
♠J,♥8,♣J,♠6,♣4 | Pair
♠J,♥8,♣J,♦8,♣4 | Two Pairs
♠J,♥8,♠T,♥3,♦8 | Pair
♠J,♥8,♠T,♠6,♦8 | Pair
♠J,♥8,♠T,♦8,♣4 | Pair
♠J,♥8,♥3,♠6,♦8 | Pair
♠J,♥8,♥3,♦8,♣4 | Pair
♠J,♥8,♠6,♦8,♣4 | Pair
♠J,♠Q,♠3,♣J,♠T | Pair
♠J,♠Q,♠3,♣J,♥3 | Two Pairs
♠J,♠Q,♠3,♣J,♠6 | Pair
♠J,♠Q,♠3,♣J,♦8 | Pair
♠J,♠Q,♠3,♣J,♣4 | Pair
♠J,♠Q,♠3,♠T,♥3 | Pair
♠J,♠Q,♠3,♠T,♠6 | Flush
♠J,♠Q,♠3,♥3,♠6 | Pair
♠J,♠Q,♠3,♥3,♦8 | Pair
♠J,♠Q,♠3,♥3,♣4 | Pair
♠J,♠Q,♣J,♠T,♥3 | Pair
♠J,♠Q,♣J,♠T,♠6 | Pair
♠J,♠Q,♣J,♠T,♦8 | Pair
♠J,♠Q,♣J,♠T,♣4 | Pair
♠J,♠Q,♣J,♥3,♠6 | Pair
♠J,♠Q,♣J,♥3,♦8 | Pair
♠J,♠Q,♣J,♥3,♣4 | Pair
♠J,♠Q,♣J,♠6,♦8 | Pair
♠J,♠Q,♣J,♠6,♣4 | Pair
♠J,♠Q,♣J,♦8,♣4 | Pair
♠J,♠3,♣J,♠T,♥3 | Two Pairs
♠J,♠3,♣J,♠T,♠6 | Pair
♠J,♠3,♣J,♠T,♦8 | Pair
♠J,♠3,♣J,♠T,♣4 | Pair
♠J,♠3,♣J,♥3,♠6 | Two Pairs
♠J,♠3,♣J,♥3,♦8 | Two Pairs
♠J,♠3,♣J,♥3,♣4 | Two Pairs
♠J,♠3,♣J,♠6,♦8 | Pair
♠J,♠3,♣J,♠6,♣4 | Pair
♠J,♠3,♣J,♦8,♣4 | Pair
♠J,♠3,♠T,♥3,♠6 | Pair
♠J,♠3,♠T,♥3,♦8 | Pair
♠J,♠3,♠T,♥3,♣4 | Pair
♠J,♠3,♥3,♠6,♦8 | Pair
♠J,♠3,♥3,♠6,♣4 | Pair
♠J,♠3,♥3,♦8,♣4 | Pair
♠J,♣J,♠T,♥3,♠6 | Pair
♠J,♣J,♠T,♥3,♦8 | Pair
♠J,♣J,♠T,♥3,♣4 | Pair
♠J,♣J,♠T,♠6,♦8 | Pair
♠J,♣J,♠T,♠6,♣4 | Pair
♠J,♣J,♠T,♦8,♣4 | Pair
♠J,♣J,♥3,♠6,♦8 | Pair
♠J,♣J,♥3,♠6,♣4 | Pair
♠J,♣J,♥3,♦8,♣4 | Pair
♠J,♣J,♠6,♦8,♣4 | Pair
♥7,♣T,♣2,♣Q,♠Q | Pair
♥7,♣T,♣2,♣Q,♠T | Pair
♥7,♣T,♣2,♠5,♠T | Pair
♥7,♣T,♣2,♥8,♠T | Pair
♥7,♣T,♣2,♥8,♦8 | Pair
♥7,♣T,♣2,♠Q,♠T | Pair
♥7,♣T,♣2,♠3,♠T | Pair
♥7,♣T,♣2,♠3,♥3 | Pair
♥7,♣T,♣2,♣J,♠T | Pair
♥7,♣T,♣2,♠T,♥3 | Pair
♥7,♣T,♣2,♠T,♠6 | Pair
♥7,♣T,♣2,♠T,♦8 | Pair
♥7,♣T,♣2,♠T,♣4 | Pair
♥7,♣T,♣Q,♠5,♠Q | Pair
♥7,♣T,♣Q,♠5,♠T | Pair
♥7,♣T,♣Q,♥8,♠Q | Pair
♥7,♣T,♣Q,♥8,♠T | Pair
♥7,♣T,♣Q,♥8,♦8 | Pair
♥7,♣T,♣Q,♠Q,♠3 | Pair
♥7,♣T,♣Q,♠Q,♣J | Pair
♥7,♣T,♣Q,♠Q,♠T | Two Pairs
♥7,♣T,♣Q,♠Q,♥3 | Pair
♥7,♣T,♣Q,♠Q,♠6 | Pair
♥7,♣T,♣Q,♠Q,♦8 | Pair
♥7,♣T,♣Q,♠Q,♣4 | Pair
♥7,♣T,♣Q,♠3,♠T | Pair
♥7,♣T,♣Q,♠3,♥3 | Pair
♥7,♣T,♣Q,♣J,♠T | Pair
♥7,♣T,♣Q,♠T,♥3 | Pair
♥7,♣T,♣Q,♠T,♠6 | Pair
♥7,♣T,♣Q,♠T,♦8 | Pair
♥7,♣T,♣Q,♠T,♣4 | Pair
♥7,♣T,♠5,♥8,♠T | Pair
♥7,♣T,♠5,♥8,♦8 | Pair
♥7,♣T,♠5,♠Q,♠T | Pair
♥7,♣T,♠5,♠3,♠T | Pair
♥7,♣T,♠5,♠3,♥3 | Pair
♥7,♣T,♠5,♣J,♠T | Pair
♥7,♣T,♠5,♠T,♥3 | Pair
♥7,♣T,♠5,♠T,♠6 | Pair
