♠4, ♥3, ♦7, ♣3, ♦K | pair
♥3, ♦7, ♣3, ♥Q, ♦2 | pair
♥3, ♦7, ♣3, ♥Q, ♥8 | pair
♥3, ♦7, ♣3, ♥Q, ♠J | pair
♥3, ♦7, ♣3, ♣J, ♦2 | pair
♥3, ♦7, ♣3, ♣J, ♥8 | pair
♥3, ♦7, ♣3, ♣J, ♠J | two pairs
♥3, ♦7, ♣3, ♦2, ♥8 | pair
♥3, ♦7, ♣3, ♦2, ♠J | pair
♥3, ♦7, ♣3, ♥8, ♠J | pair
♥3, ♦7, ♦K, ♣J, ♠J | pair
♥3, ♦7, ♥Q, ♣J, ♠J | pair
♥3, ♦7, ♣J, ♦2, ♠J | pair
♥3, ♦7, ♣J, ♥8, ♠J | pair
♥3, ♣3, ♦K, ♥Q, ♣J | pair
♥3, ♣3, ♦K, ♥Q, ♦2 | pair
♥3, ♣3, ♦K, ♥Q, ♥8 | pair
♥3, ♣3, ♦K, ♥Q, ♠J | pair
♥3, ♣3, ♦K, ♣J, ♦2 | pair
♥3, ♣3, ♦K, ♣J, ♥8 | pair
♥3, ♣3, ♦K, ♣J, ♠J | two pairs
♥3, ♣3, ♦K, ♦2, ♥8 | pair
♥3, ♣3, ♦K, ♦2, ♠J | pair
♥3, ♣3, ♦K, ♥8, ♠J | pair
♥3, ♣3, ♥Q, ♣J, ♦2 | pair
♥3, ♣3, ♥Q, ♣J, ♥8 | pair
♥3, ♣3, ♥Q, ♣J, ♠J | two pairs
♥3, ♣3, ♥Q, ♦2, ♥8 | pair
♥3, ♣3, ♥Q, ♦2, ♠J | pair
♥3, ♣3, ♥Q, ♥8, ♠J | pair
♥3, ♣3, ♣J, ♦2, ♥8 | pair
♥3, ♣3, ♣J, ♦2, ♠J | two pairs
♥3, ♣3, ♣J, ♥8, ♠J | two pairs
♥3, ♣3, ♦2, ♥8, ♠J | pair
♥3, ♦K, ♥Q, ♣J, ♠J | pair
♥3, ♦K, ♣J, ♦2, ♠J | pair
♥3, ♦K, ♣J, ♥8, ♠J | pair
♥3, ♥Q, ♣J, ♦2, ♠J | pair
♥3, ♥Q, ♣J, ♥8, ♠J | pair
♥3, ♣J, ♦2, ♥8, ♠J | pair
♦7, ♣3, ♦K, ♣J, ♠J | pair
♦7, ♣3, ♥Q, ♣J, ♠J | pair
♦7, ♣3, ♣J, ♦2, ♠J | pair
♦7, ♣3, ♣J, ♥8, ♠J | pair
♦7, ♦K, ♥Q, ♣J, ♠J | pair
♦7, ♦K, ♣J, ♦2, ♠J | pair
♦7, ♦K, ♣J, ♥8, ♠J | pair
♦7, ♥Q, ♣J, ♦2, ♠J | pair
♦7, ♥Q, ♣J, ♥8, ♠J | pair
♦7, ♣J, ♦2, ♥8, ♠J | pair
♣3, ♦K, ♥Q, ♣J, ♠J | pair
♣3, ♦K, ♣J, ♦2, ♠J | pair
♣3, ♦K, ♣J, ♥8, ♠J | pair
♣3, ♥Q, ♣J, ♦2, ♠J | pair
♣3, ♥Q, ♣J, ♥8, ♠J | pair
♣3, ♣J, ♦2, ♥8, ♠J | pair
♦K, ♥Q, ♣J, ♦2, ♠J | pair
♦K, ♥Q, ♣J, ♥8, ♠J | pair
♦K, ♣J, ♦2, ♥8, ♠J | pair
♥Q, ♣J, ♦2, ♥8, ♠J | pair
