♥J, ♣2, ♣2, ♦J, ♠Q | two pairs
♥J, ♣2, ♦J, ♣10, ♣8 | pair
♥J, ♣2, ♦J, ♣10, ♠J | three of a kind
♥J, ♣2, ♦J, ♣10, ♣8 | pair
♥J, ♣2, ♦J, ♣8, ♠J | three of a kind
♥J, ♣2, ♦J, ♣8, ♣8 | two pairs
♥J, ♣2, ♦J, ♠J, ♣8 | three of a kind
♥J, ♣2, ♠Q, ♦8, ♣8 | pair
♥J, ♣2, ♠Q, ♦8, ♠J | pair
♥J, ♣2, ♠Q, ♦8, ♣8 | pair
♥J, ♣2, ♠Q, ♥A, ♠J | pair
♥J, ♣2, ♠Q, ♣10, ♠J | pair
♥J, ♣2, ♠Q, ♣8, ♠J | pair
♥J, ♣2, ♠Q, ♣8, ♣8 | pair
♥J, ♣2, ♠Q, ♠J, ♣8 | pair
♥J, ♣2, ♦8, ♥A, ♣8 | pair
♥J, ♣2, ♦8, ♥A, ♠J | pair
♥J, ♣2, ♦8, ♥A, ♣8 | pair
♥J, ♣2, ♦8, ♣10, ♣8 | pair
♥J, ♣2, ♦8, ♣10, ♠J | pair
♥J, ♣2, ♦8, ♣10, ♣8 | pair
♥J, ♣2, ♦8, ♣8, ♠J | two pairs
♥J, ♣2, ♦8, ♣8, ♣8 | three of a kind
♥J, ♣2, ♦8, ♠J, ♣8 | two pairs
♥J, ♣2, ♥A, ♣10, ♠J | pair
♥J, ♣2, ♥A, ♣8, ♠J | pair
♥J, ♣2, ♥A, ♣8, ♣8 | pair
♥J, ♣2, ♥A, ♠J, ♣8 | pair
♥J, ♣2, ♣10, ♣8, ♠J | pair
♥J, ♣2, ♣10, ♣8, ♣8 | pair
♥J, ♣2, ♣10, ♠J, ♣8 | pair
♥J, ♣2, ♣8, ♠J, ♣8 | two pairs
♥J, ♣2, ♦J, ♠Q, ♦8 | pair
♥J, ♣2, ♦J, ♠Q, ♥A | pair
♥J, ♣2, ♦J, ♠Q, ♣10 | pair
♥J, ♣2, ♦J, ♠Q, ♣8 | pair
♥J, ♣2, ♦J, ♠Q, ♠J | three of a kind
♥J, ♣2, ♦J, ♠Q, ♣8 | pair
♥J, ♣2, ♦J, ♦8, ♥A | pair
♥J, ♣2, ♦J, ♦8, ♣10 | pair
♥J, ♣2, ♦J, ♦8, ♣8 | two pairs
♥J, ♣2, ♦J, ♦8, ♠J | three of a kind
♥J, ♣2, ♦J, ♦8, ♣8 | two pairs
♥J, ♣2, ♦J, ♥A, ♣10 | pair
♥J, ♣2, ♦J, ♥A, ♣8 | pair
♥J, ♣2, ♦J, ♥A, ♠J | three of a kind
♥J, ♣2, ♦J, ♥A, ♣8 | pair
♥J, ♣2, ♦J, ♣10, ♣8 | pair
♥J, ♣2, ♦J, ♣10, ♠J | three of a kind
♥J, ♣2, ♦J, ♣10, ♣8 | pair
♥J, ♣2, ♦J, ♣8, ♠J | three of a kind
♥J, ♣2, ♦J, ♣8, ♣8 | two pairs
♥J, ♣2, ♦J, ♠J, ♣8 | three of a kind
♥J, ♣2, ♠Q, ♦8, ♣8 | pair
♥J, ♣2, ♠Q, ♦8, ♠J | pair
♥J, ♣2, ♠Q, ♦8, ♣8 | pair
♥J, ♣2, ♠Q, ♥A, ♠J | pair
♥J, ♣2, ♠Q, ♣10, ♠J | pair
♥J, ♣2, ♠Q, ♣8, ♠J | pair
♥J, ♣2, ♠Q, ♣8, ♣8 | pair
♥J, ♣2, ♠Q, ♠J, ♣8 | pair
♥J, ♣2, ♦8, ♥A, ♣8 | pair
♥J, ♣2, ♦8, ♥A, ♠J | pair
♥J, ♣2, ♦8, ♥A, ♣8 | pair
♥J, ♣2, ♦8, ♣10, ♣8 | pair
♥J, ♣2, ♦8, ♣10, ♠J | pair
♥J, ♣2, ♦8, ♣10, ♣8 | pair
♥J, ♣2, ♦8, ♣8, ♠J | two pairs
♥J, ♣2, ♦8, ♣8, ♣8 | three of a kind
♥J, ♣2, ♦8, ♠J, ♣8 | two pairs
♥J, ♣2, ♥A, ♣10, ♠J | pair
♥J, ♣2, ♥A, ♣8, ♠J | pair
♥J, ♣2, ♥A, ♣8, ♣8 | pair
♥J, ♣2, ♥A, ♠J, ♣8 | pair
♥J, ♣2, ♣10, ♣8, ♠J | pair
♥J, ♣2, ♣10, ♣8, ♣8 | pair
♥J, ♣2, ♣10, ♠J, ♣8 | pair
♥J, ♣2, ♣8, ♠J, ♣8 | two pairs
♥J, ♦J, ♠Q, ♦8, ♥A | pair
♥J, ♦J, ♠Q, ♦8, ♣10 | pair
♥J, ♦J, ♠Q, ♦8, ♣8 | two pairs
♥J, ♦J, ♠Q, ♦8, ♠J | three of a kind
♥J, ♦J, ♠Q, ♦8, ♣8 | two pairs
♥J, ♦J, ♠Q, ♥A, ♣10 | pair
♥J, ♦J, ♠Q, ♥A, ♣8 | pair
♥J, ♦J, ♠Q, ♥A, ♠J | three of a kind
♥J, ♦J, ♠Q, ♥A, ♣8 | pair
♥J, ♦J, ♠Q, ♣10, ♣8 | pair
♥J, ♦J, ♠Q, ♣10, ♠J | three of a kind
♥J, ♦J, ♠Q, ♣10, ♣8 | pair
♥J, ♦J, ♠Q, ♣8, ♠J | three of a kind
♥J, ♦J, ♠Q, ♣8, ♣8 | two pairs
♥J, ♦J, ♠Q, ♠J, ♣8 | three of a kind
♥J, ♦J, ♦8, ♥A, ♣10 | pair
♥J, ♦J, ♦8, ♥A, ♣8 | two pairs
♥J, ♦J, ♦8, ♥A, ♠J | three of a kind
♥J, ♦J, ♦8, ♥A, ♣8 | two pairs
♥J, ♦J, ♦8, ♣10, ♣8 | two pairs
♥J, ♦J, ♦8, ♣10, ♠J | three of a kind
♥J, ♦J, ♦8, ♣10, ♣8 | two pairs
♥J, ♦J, ♦8, ♣8, ♠J | fullhouse
♥J, ♦J, ♦8, ♣8, ♣8 | fullhouse
♥J, ♦J, ♦8, ♠J, ♣8 | fullhouse
♥J, ♦J, ♥A, ♣10, ♣8 | pair
♥J, ♦J, ♥A, ♣10, ♠J | three of a kind
♥J, ♦J, ♥A, ♣10, ♣8 | pair
♥J, ♦J, ♥A, ♣8, ♠J | three of a kind
♥J, ♦J, ♥A, ♣8, ♣8 | two pairs
♥J, ♦J, ♥A, ♠J, ♣8 | three of a kind
♥J, ♦J, ♣10, ♣8, ♠J | three of a kind
♥J, ♦J, ♣10, ♣8, ♣8 | two pairs
♥J, ♦J, ♣10, ♠J, ♣8 | three of a kind
♥J, ♦J, ♣8, ♠J, ♣8 | fullhouse
♥J, ♠Q, ♦8, ♥A, ♣8 | pair
♥J, ♠Q, ♦8, ♥A, ♠J | pair
♥J, ♠Q, ♦8, ♥A, ♣8 | pair
♥J, ♠Q, ♦8, ♣10, ♣8 | pair
♥J, ♠Q, ♦8, ♣10, ♠J | pair
♥J, ♠Q, ♦8, ♣10, ♣8 | pair
♥J, ♠Q, ♦8, ♣8, ♠J | two pairs
♥J, ♠Q, ♦8, ♣8, ♣8 | three of a kind
♥J, ♠Q, ♦8, ♠J, ♣8 | two pairs
♥J, ♠Q, ♥A, ♣10, ♠J | pair
♥J, ♠Q, ♥A, ♣8, ♠J | pair
♥J, ♠Q, ♥A, ♣8, ♣8 | pair
♥J, ♠Q, ♥A, ♠J, ♣8 | pair
♥J, ♠Q, ♣10, ♣8, ♠J | pair
♥J, ♠Q, ♣10, ♣8, ♣8 | pair
♥J, ♠Q, ♣10, ♠J, ♣8 | pair
♥J, ♠Q, ♣8, ♠J, ♣8 | two pairs
♥J, ♦8, ♥A, ♣10, ♣8 | pair
♥J, ♦8, ♥A, ♣10, ♠J | pair
♥J, ♦8, ♥A, ♣10, ♣8 | pair
♥J, ♦8, ♥A, ♣8, ♠J | two pairs
♥J, ♦8, ♥A, ♣8, ♣8 | three of a kind
♥J, ♦8, ♥A, ♠J, ♣8 | two pairs
♥J, ♦8, ♣10, ♣8, ♠J | two pairs
♥J, ♦8, ♣10, ♣8, ♣8 | three of a kind
♥J, ♦8, ♣10, ♠J, ♣8 | two pairs
♥J, ♦8, ♣8, ♠J, ♣8 | fullhouse
♥J, ♥A, ♣10, ♣8, ♠J | pair
♥J, ♥A, ♣10, ♣8, ♣8 | pair
♥J, ♥A, ♣10, ♠J, ♣8 | pair
♥J, ♥A, ♣8, ♠J, ♣8 | two pairs
♥J, ♣10, ♣8, ♠J, ♣8 | two pairs
♣2, ♣2, ♦J, ♠Q, ♦8 | pair
♣2, ♣2, ♦J, ♠Q, ♥A | pair
♣2, ♣2, ♦J, ♠Q, ♣10 | pair
♣2, ♣2, ♦J, ♠Q, ♣8 | pair
♣2, ♣2, ♦J, ♠Q, ♠J | two pairs
♣2, ♣2, ♦J, ♠Q, ♣8 | pair
♣2, ♣2, ♦J, ♦8, ♥A | pair
♣2, ♣2, ♦J, ♦8, ♣10 | pair
♣2, ♣2, ♦J, ♦8, ♣8 | two pairs
♣2, ♣2, ♦J, ♦8, ♠J | two pairs
♣2, ♣2, ♦J, ♦8, ♣8 | two pairs
♣2, ♣2, ♦J, ♥A, ♣10 | pair
♣2, ♣2, ♦J, ♥A, ♣8 | pair
♣2, ♣2, ♦J, ♥A, ♠J | two pairs
♣2, ♣2, ♦J, ♥A, ♣8 | pair
♣2, ♣2, ♦J, ♣10, ♣8 | pair
♣2, ♣2, ♦J, ♣10, ♠J | two pairs
♣2, ♣2, ♦J, ♣10, ♣8 | pair
♣2, ♣2, ♦J, ♣8, ♠J | two pairs
♣2, ♣2, ♦J, ♣8, ♣8 | two pairs
♣2, ♣2, ♦J, ♠J, ♣8 | two pairs
♣2, ♣2, ♠Q, ♦8, ♥A | pair
♣2, ♣2, ♠Q, ♦8, ♣10 | pair
♣2, ♣2, ♠Q, ♦8, ♣8 | two pairs
♣2, ♣2, ♠Q, ♦8, ♠J | pair
♣2, ♣2, ♠Q, ♦8, ♣8 | two pairs
♣2, ♣2, ♠Q, ♥A, ♣10 | pair
♣2, ♣2, ♠Q, ♥A, ♣8 | pair
♣2, ♣2, ♠Q, ♥A, ♠J | pair
♣2, ♣2, ♠Q, ♥A, ♣8 | pair
♣2, ♣2, ♠Q, ♣10, ♣8 | pair
♣2, ♣2, ♠Q, ♣10, ♠J | pair
♣2, ♣2, ♠Q, ♣10, ♣8 | pair
♣2, ♣2, ♠Q, ♣8, ♠J | pair
♣2, ♣2, ♠Q, ♣8, ♣8 | two pairs
♣2, ♣2, ♠Q, ♠J, ♣8 | pair
♣2, ♣2, ♦8, ♥A, ♣10 | pair
♣2, ♣2, ♦8, ♥A, ♣8 | two pairs
♣2, ♣2, ♦8, ♥A, ♠J | pair
♣2, ♣2, ♦8, ♥A, ♣8 | two pairs
♣2, ♣2, ♦8, ♣10, ♣8 | two pairs
♣2, ♣2, ♦8, ♣10, ♠J | pair
♣2, ♣2, ♦8, ♣10, ♣8 | two pairs
♣2, ♣2, ♦8, ♣8, ♠J | two pairs
♣2, ♣2, ♦8, ♣8, ♣8 | fullhouse
♣2, ♣2, ♦8, ♠J, ♣8 | two pairs
♣2, ♣2, ♥A, ♣10, ♣8 | pair
♣2, ♣2, ♥A, ♣10, ♠J | pair
♣2, ♣2, ♥A, ♣10, ♣8 | pair
♣2, ♣2, ♥A, ♣8, ♠J | pair
♣2, ♣2, ♥A, ♣8, ♣8 | two pairs
♣2, ♣2, ♥A, ♠J, ♣8 | pair
♣2, ♣2, ♣10, ♣8, ♠J | pair
♣2, ♣2, ♣10, ♣8, ♣8 | flush
♣2, ♣2, ♣10, ♠J, ♣8 | pair
♣2, ♣2, ♣8, ♠J, ♣8 | two pairs
♣2, ♦J, ♠Q, ♦8, ♣8 | pair
♣2, ♦J, ♠Q, ♦8, ♠J | pair
♣2, ♦J, ♠Q, ♦8, ♣8 | pair
♣2, ♦J, ♠Q, ♥A, ♠J | pair
♣2, ♦J, ♠Q, ♣10, ♠J | pair
♣2, ♦J, ♠Q, ♣8, ♠J | pair
♣2, ♦J, ♠Q, ♣8, ♣8 | pair
♣2, ♦J, ♠Q, ♠J, ♣8 | pair
♣2, ♦J, ♦8, ♥A, ♣8 | pair
♣2, ♦J, ♦8, ♥A, ♠J | pair
♣2, ♦J, ♦8, ♥A, ♣8 | pair
♣2, ♦J, ♦8, ♣10, ♣8 | pair
♣2, ♦J, ♦8, ♣10, ♠J | pair
♣2, ♦J, ♦8, ♣10, ♣8 | pair
♣2, ♦J, ♦8, ♣8, ♠J | two pairs
♣2, ♦J, ♦8, ♣8, ♣8 | three of a kind
♣2, ♦J, ♦8, ♠J, ♣8 | two pairs
♣2, ♦J, ♥A, ♣10, ♠J | pair
♣2, ♦J, ♥A, ♣8, ♠J | pair
♣2, ♦J, ♥A, ♣8, ♣8 | pair
♣2, ♦J, ♥A, ♠J, ♣8 | pair
♣2, ♦J, ♣10, ♣8, ♠J | pair
♣2, ♦J, ♣10, ♣8, ♣8 | pair
♣2, ♦J, ♣10, ♠J, ♣8 | pair
♣2, ♦J, ♣8, ♠J, ♣8 | two pairs
♣2, ♠Q, ♦8, ♥A, ♣8 | pair
♣2, ♠Q, ♦8, ♥A, ♣8 | pair
♣2, ♠Q, ♦8, ♣10, ♣8 | pair
♣2, ♠Q, ♦8, ♣10, ♣8 | pair
♣2, ♠Q, ♦8, ♣8, ♠J | pair
♣2, ♠Q, ♦8, ♣8, ♣8 | three of a kind
♣2, ♠Q, ♦8, ♠J, ♣8 | pair
♣2, ♠Q, ♥A, ♣8, ♣8 | pair
♣2, ♠Q, ♣10, ♣8, ♣8 | pair
♣2, ♠Q, ♣8, ♠J, ♣8 | pair
♣2, ♦8, ♥A, ♣10, ♣8 | pair
♣2, ♦8, ♥A, ♣10, ♣8 | pair
♣2, ♦8, ♥A, ♣8, ♠J | pair
♣2, ♦8, ♥A, ♣8, ♣8 | three of a kind
♣2, ♦8, ♥A, ♠J, ♣8 | pair
♣2, ♦8, ♣10, ♣8, ♠J | pair
♣2, ♦8, ♣10, ♣8, ♣8 | three of a kind
♣2, ♦8, ♣10, ♠J, ♣8 | pair
♣2, ♦8, ♣8, ♠J, ♣8 | three of a kind
♣2, ♥A, ♣10, ♣8, ♣8 | pair
♣2, ♥A, ♣8, ♠J, ♣8 | pair
♣2, ♣10, ♣8, ♠J, ♣8 | pair
♣2, ♦J, ♠Q, ♦8, ♣8 | pair
♣2, ♦J, ♠Q, ♦8, ♠J | pair
♣2, ♦J, ♠Q, ♦8, ♣8 | pair
♣2, ♦J, ♠Q, ♥A, ♠J | pair
♣2, ♦J, ♠Q, ♣10, ♠J | pair
♣2, ♦J, ♠Q, ♣8, ♠J | pair
♣2, ♦J, ♠Q, ♣8, ♣8 | pair
♣2, ♦J, ♠Q, ♠J, ♣8 | pair
♣2, ♦J, ♦8, ♥A, ♣8 | pair
♣2, ♦J, ♦8, ♥A, ♠J | pair
♣2, ♦J, ♦8, ♥A, ♣8 | pair
♣2, ♦J, ♦8, ♣10, ♣8 | pair
♣2, ♦J, ♦8, ♣10, ♠J | pair
♣2, ♦J, ♦8, ♣10, ♣8 | pair
♣2, ♦J, ♦8, ♣8, ♠J | two pairs
♣2, ♦J, ♦8, ♣8, ♣8 | three of a kind
♣2, ♦J, ♦8, ♠J, ♣8 | two pairs
♣2, ♦J, ♥A, ♣10, ♠J | pair
♣2, ♦J, ♥A, ♣8, ♠J | pair
♣2, ♦J, ♥A, ♣8, ♣8 | pair
♣2, ♦J, ♥A, ♠J, ♣8 | pair
♣2, ♦J, ♣10, ♣8, ♠J | pair
♣2, ♦J, ♣10, ♣8, ♣8 | pair
♣2, ♦J, ♣10, ♠J, ♣8 | pair
♣2, ♦J, ♣8, ♠J, ♣8 | two pairs
♣2, ♠Q, ♦8, ♥A, ♣8 | pair
♣2, ♠Q, ♦8, ♥A, ♣8 | pair
♣2, ♠Q, ♦8, ♣10, ♣8 | pair
♣2, ♠Q, ♦8, ♣10, ♣8 | pair
♣2, ♠Q, ♦8, ♣8, ♠J | pair
♣2, ♠Q, ♦8, ♣8, ♣8 | three of a kind
♣2, ♠Q, ♦8, ♠J, ♣8 | pair
♣2, ♠Q, ♥A, ♣8, ♣8 | pair
♣2, ♠Q, ♣10, ♣8, ♣8 | pair
♣2, ♠Q, ♣8, ♠J, ♣8 | pair
♣2, ♦8, ♥A, ♣10, ♣8 | pair
♣2, ♦8, ♥A, ♣10, ♣8 | pair
♣2, ♦8, ♥A, ♣8, ♠J | pair
♣2, ♦8, ♥A, ♣8, ♣8 | three of a kind
♣2, ♦8, ♥A, ♠J, ♣8 | pair
♣2, ♦8, ♣10, ♣8, ♠J | pair
♣2, ♦8, ♣10, ♣8, ♣8 | three of a kind
♣2, ♦8, ♣10, ♠J, ♣8 | pair
♣2, ♦8, ♣8, ♠J, ♣8 | three of a kind
♣2, ♥A, ♣10, ♣8, ♣8 | pair
♣2, ♥A, ♣8, ♠J, ♣8 | pair
♣2, ♣10, ♣8, ♠J, ♣8 | pair
♦J, ♠Q, ♦8, ♥A, ♣8 | pair
♦J, ♠Q, ♦8, ♥A, ♠J | pair
♦J, ♠Q, ♦8, ♥A, ♣8 | pair
♦J, ♠Q, ♦8, ♣10, ♣8 | pair
♦J, ♠Q, ♦8, ♣10, ♠J | pair
♦J, ♠Q, ♦8, ♣10, ♣8 | pair
♦J, ♠Q, ♦8, ♣8, ♠J | two pairs
♦J, ♠Q, ♦8, ♣8, ♣8 | three of a kind
♦J, ♠Q, ♦8, ♠J, ♣8 | two pairs
♦J, ♠Q, ♥A, ♣10, ♠J | pair
♦J, ♠Q, ♥A, ♣8, ♠J | pair
♦J, ♠Q, ♥A, ♣8, ♣8 | pair
♦J, ♠Q, ♥A, ♠J, ♣8 | pair
♦J, ♠Q, ♣10, ♣8, ♠J | pair
♦J, ♠Q, ♣10, ♣8, ♣8 | pair
♦J, ♠Q, ♣10, ♠J, ♣8 | pair
♦J, ♠Q, ♣8, ♠J, ♣8 | two pairs
♦J, ♦8, ♥A, ♣10, ♣8 | pair
♦J, ♦8, ♥A, ♣10, ♠J | pair
♦J, ♦8, ♥A, ♣10, ♣8 | pair
♦J, ♦8, ♥A, ♣8, ♠J | two pairs
♦J, ♦8, ♥A, ♣8, ♣8 | three of a kind
♦J, ♦8, ♥A, ♠J, ♣8 | two pairs
♦J, ♦8, ♣10, ♣8, ♠J | two pairs
♦J, ♦8, ♣10, ♣8, ♣8 | three of a kind
♦J, ♦8, ♣10, ♠J, ♣8 | two pairs
♦J, ♦8, ♣8, ♠J, ♣8 | fullhouse
♦J, ♥A, ♣10, ♣8, ♠J | pair
♦J, ♥A, ♣10, ♣8, ♣8 | pair
♦J, ♥A, ♣10, ♠J, ♣8 | pair
♦J, ♥A, ♣8, ♠J, ♣8 | two pairs
♦J, ♣10, ♣8, ♠J, ♣8 | two pairs
♠Q, ♦8, ♥A, ♣10, ♣8 | pair
♠Q, ♦8, ♥A, ♣10, ♣8 | pair
♠Q, ♦8, ♥A, ♣8, ♠J | pair
♠Q, ♦8, ♥A, ♣8, ♣8 | three of a kind
♠Q, ♦8, ♥A, ♠J, ♣8 | pair
♠Q, ♦8, ♣10, ♣8, ♠J | pair
♠Q, ♦8, ♣10, ♣8, ♣8 | three of a kind
♠Q, ♦8, ♣10, ♠J, ♣8 | pair
♠Q, ♦8, ♣8, ♠J, ♣8 | three of a kind
♠Q, ♥A, ♣10, ♣8, ♣8 | pair
♠Q, ♥A, ♣8, ♠J, ♣8 | pair
♠Q, ♣10, ♣8, ♠J, ♣8 | pair
♦8, ♥A, ♣10, ♣8, ♠J | pair
♦8, ♥A, ♣10, ♣8, ♣8 | three of a kind
♦8, ♥A, ♣10, ♠J, ♣8 | pair
♦8, ♥A, ♣8, ♠J, ♣8 | three of a kind
♦8, ♣10, ♣8, ♠J, ♣8 | three of a kind
♥A, ♣10, ♣8, ♠J, ♣8 | pair
