♠3, ♦7, ♥5, ♠J, ♣5 | pair
♠3, ♦7, ♠Q, ♦A, ♣Q | pair
♠3, ♦7, ♠Q, ♣5, ♦3 | pair
♠3, ♦7, ♠Q, ♣5, ♥Q | pair
♠3, ♦7, ♠Q, ♣5, ♣Q | pair
♠3, ♦7, ♠Q, ♠8, ♦3 | pair
♠3, ♦7, ♠Q, ♠8, ♥Q | pair
♠3, ♦7, ♠Q, ♠8, ♣Q | pair
♠3, ♦7, ♠Q, ♣2, ♦3 | pair
♠3, ♦7, ♠Q, ♣2, ♥Q | pair
♠3, ♦7, ♠Q, ♣2, ♣Q | pair
♠3, ♦7, ♠Q, ♦3, ♠J | pair
♠3, ♦7, ♠Q, ♦3, ♥Q | two pairs
♠3, ♦7, ♠Q, ♦3, ♦10 | pair
♠3, ♦7, ♠Q, ♦3, ♣Q | two pairs
♠3, ♦7, ♠Q, ♠J, ♥Q | pair
♠3, ♦7, ♠Q, ♠J, ♣Q | pair
♠3, ♦7, ♠Q, ♥Q, ♦10 | pair
♠3, ♦7, ♠Q, ♥Q, ♣Q | three of a kind
♠3, ♦7, ♠Q, ♦10, ♣Q | pair
♠3, ♦7, ♣2, ♦A, ♣2 | pair
♠3, ♦7, ♣2, ♦A, ♦3 | pair
♠3, ♦7, ♣2, ♣5, ♣2 | pair
♠3, ♦7, ♣2, ♣5, ♦3 | pair
♠3, ♦7, ♣2, ♠8, ♣2 | pair
♠3, ♦7, ♣2, ♠8, ♦3 | pair
♠3, ♦7, ♣2, ♣2, ♦3 | two pairs
♠3, ♦7, ♣2, ♣2, ♠J | pair
♠3, ♦7, ♣2, ♣2, ♥Q | pair
♠3, ♦7, ♣2, ♣2, ♦10 | pair
♠3, ♦7, ♣2, ♣2, ♣Q | pair
♠3, ♦7, ♣2, ♦3, ♠J | pair
♠3, ♦7, ♣2, ♦3, ♥Q | pair
♠3, ♦7, ♣2, ♦3, ♦10 | pair
♠3, ♦7, ♣2, ♦3, ♣Q | pair
♠3, ♦7, ♣2, ♥Q, ♣Q | pair
♠3, ♦7, ♦A, ♣5, ♦3 | pair
♠3, ♦7, ♦A, ♠8, ♦3 | pair
♠3, ♦7, ♦A, ♣2, ♦3 | pair
♠3, ♦7, ♦A, ♦3, ♠J | pair
♠3, ♦7, ♦A, ♦3, ♥Q | pair
♠3, ♦7, ♦A, ♦3, ♦10 | pair
♠3, ♦7, ♦A, ♦3, ♣Q | pair
♠3, ♦7, ♦A, ♥Q, ♣Q | pair
♠3, ♦7, ♣5, ♠8, ♦3 | pair
♠3, ♦7, ♣5, ♣2, ♦3 | pair
♠3, ♦7, ♣5, ♦3, ♠J | pair
♠3, ♦7, ♣5, ♦3, ♥Q | pair
♠3, ♦7, ♣5, ♦3, ♦10 | pair
♠3, ♦7, ♣5, ♦3, ♣Q | pair
♠3, ♦7, ♣5, ♥Q, ♣Q | pair
♠3, ♦7, ♠8, ♣2, ♦3 | pair
♠3, ♦7, ♠8, ♦3, ♠J | pair
♠3, ♦7, ♠8, ♦3, ♥Q | pair
♠3, ♦7, ♠8, ♦3, ♦10 | pair
♠3, ♦7, ♠8, ♦3, ♣Q | pair
♠3, ♦7, ♠8, ♥Q, ♣Q | pair
♠3, ♦7, ♣2, ♦3, ♠J | pair
♠3, ♦7, ♣2, ♦3, ♥Q | pair
♠3, ♦7, ♣2, ♦3, ♦10 | pair
♠3, ♦7, ♣2, ♦3, ♣Q | pair
♠3, ♦7, ♣2, ♥Q, ♣Q | pair
♠3, ♦7, ♦3, ♠J, ♥Q | pair
♠3, ♦7, ♦3, ♠J, ♦10 | pair
♠3, ♦7, ♦3, ♠J, ♣Q | pair
♠3, ♦7, ♦3, ♥Q, ♦10 | pair
♠3, ♦7, ♦3, ♥Q, ♣Q | two pairs
♠3, ♦7, ♦3, ♦10, ♣Q | pair
♠3, ♦7, ♠J, ♥Q, ♣Q | pair
♠3, ♦7, ♥Q, ♦10, ♣Q | pair
♠3, ♥5, ♠J, ♠10, ♣5 | pair
♠3, ♥5, ♠J, ♠10, ♦3 | pair
♠3, ♥5, ♠J, ♠10, ♠J | pair
♠3, ♥5, ♠J, ♠10, ♦10 | pair
♠3, ♥5, ♠J, ♠Q, ♣5 | pair
♠3, ♥5, ♠J, ♠Q, ♦3 | pair
♠3, ♥5, ♠J, ♠Q, ♠J | pair
♠3, ♥5, ♠J, ♠Q, ♥Q | pair
♠3, ♥5, ♠J, ♠Q, ♣Q | pair
♠3, ♥5, ♠J, ♣2, ♣5 | pair
♠3, ♥5, ♠J, ♣2, ♣2 | pair
♠3, ♥5, ♠J, ♣2, ♦3 | pair
♠3, ♥5, ♠J, ♣2, ♠J | pair
♠3, ♥5, ♠J, ♦A, ♣5 | pair
♠3, ♥5, ♠J, ♦A, ♦3 | pair
♠3, ♥5, ♠J, ♦A, ♠J | pair
♠3, ♥5, ♠J, ♣5, ♠8 | pair
♠3, ♥5, ♠J, ♣5, ♣2 | pair
♠3, ♥5, ♠J, ♣5, ♦3 | two pairs
♠3, ♥5, ♠J, ♣5, ♠J | two pairs
♠3, ♥5, ♠J, ♣5, ♥Q | pair
♠3, ♥5, ♠J, ♣5, ♦10 | pair
♠3, ♥5, ♠J, ♣5, ♣Q | pair
♠3, ♥5, ♠J, ♠8, ♦3 | pair
♠3, ♥5, ♠J, ♠8, ♠J | pair
♠3, ♥5, ♠J, ♣2, ♦3 | pair
♠3, ♥5, ♠J, ♣2, ♠J | pair
♠3, ♥5, ♠J, ♦3, ♠J | two pairs
♠3, ♥5, ♠J, ♦3, ♥Q | pair
♠3, ♥5, ♠J, ♦3, ♦10 | pair
♠3, ♥5, ♠J, ♦3, ♣Q | pair
♠3, ♥5, ♠J, ♠J, ♥Q | pair
♠3, ♥5, ♠J, ♠J, ♦10 | pair
♠3, ♥5, ♠J, ♠J, ♣Q | pair
♠3, ♥5, ♠J, ♥Q, ♣Q | pair
♠3, ♥5, ♠10, ♠Q, ♣5 | pair
♠3, ♥5, ♠10, ♠Q, ♦3 | pair
♠3, ♥5, ♠10, ♠Q, ♥Q | pair
♠3, ♥5, ♠10, ♠Q, ♦10 | pair
♠3, ♥5, ♠10, ♠Q, ♣Q | pair
♠3, ♥5, ♠10, ♣2, ♣5 | pair
♠3, ♥5, ♠10, ♣2, ♣2 | pair
♠3, ♥5, ♠10, ♣2, ♦3 | pair
♠3, ♥5, ♠10, ♣2, ♦10 | pair
♠3, ♥5, ♠10, ♦A, ♣5 | pair
♠3, ♥5, ♠10, ♦A, ♦3 | pair
♠3, ♥5, ♠10, ♦A, ♦10 | pair
♠3, ♥5, ♠10, ♣5, ♠8 | pair
♠3, ♥5, ♠10, ♣5, ♣2 | pair
♠3, ♥5, ♠10, ♣5, ♦3 | two pairs
♠3, ♥5, ♠10, ♣5, ♠J | pair
♠3, ♥5, ♠10, ♣5, ♥Q | pair
♠3, ♥5, ♠10, ♣5, ♦10 | two pairs
♠3, ♥5, ♠10, ♣5, ♣Q | pair
♠3, ♥5, ♠10, ♠8, ♦3 | pair
♠3, ♥5, ♠10, ♠8, ♦10 | pair
♠3, ♥5, ♠10, ♣2, ♦3 | pair
♠3, ♥5, ♠10, ♣2, ♦10 | pair
♠3, ♥5, ♠10, ♦3, ♠J | pair
♠3, ♥5, ♠10, ♦3, ♥Q | pair
♠3, ♥5, ♠10, ♦3, ♦10 | two pairs
♠3, ♥5, ♠10, ♦3, ♣Q | pair
♠3, ♥5, ♠10, ♠J, ♦10 | pair
♠3, ♥5, ♠10, ♥Q, ♦10 | pair
♠3, ♥5, ♠10, ♥Q, ♣Q | pair
♠3, ♥5, ♠10, ♦10, ♣Q | pair
♠3, ♥5, ♠Q, ♣2, ♣5 | pair
♠3, ♥5, ♠Q, ♣2, ♣2 | pair
♠3, ♥5, ♠Q, ♣2, ♦3 | pair
♠3, ♥5, ♠Q, ♣2, ♥Q | pair
♠3, ♥5, ♠Q, ♣2, ♣Q | pair
♠3, ♥5, ♠Q, ♦A, ♣5 | pair
♠3, ♥5, ♠Q, ♦A, ♦3 | pair
♠3, ♥5, ♠Q, ♦A, ♥Q | pair
♠3, ♥5, ♠Q, ♦A, ♣Q | pair
♠3, ♥5, ♠Q, ♣5, ♠8 | pair
♠3, ♥5, ♠Q, ♣5, ♣2 | pair
♠3, ♥5, ♠Q, ♣5, ♦3 | two pairs
♠3, ♥5, ♠Q, ♣5, ♠J | pair
♠3, ♥5, ♠Q, ♣5, ♥Q | two pairs
♠3, ♥5, ♠Q, ♣5, ♦10 | pair
♠3, ♥5, ♠Q, ♣5, ♣Q | two pairs
♠3, ♥5, ♠Q, ♠8, ♦3 | pair
♠3, ♥5, ♠Q, ♠8, ♥Q | pair
♠3, ♥5, ♠Q, ♠8, ♣Q | pair
♠3, ♥5, ♠Q, ♣2, ♦3 | pair
♠3, ♥5, ♠Q, ♣2, ♥Q | pair
♠3, ♥5, ♠Q, ♣2, ♣Q | pair
♠3, ♥5, ♠Q, ♦3, ♠J | pair
♠3, ♥5, ♠Q, ♦3, ♥Q | two pairs
♠3, ♥5, ♠Q, ♦3, ♦10 | pair
♠3, ♥5, ♠Q, ♦3, ♣Q | two pairs
♠3, ♥5, ♠Q, ♠J, ♥Q | pair
♠3, ♥5, ♠Q, ♠J, ♣Q | pair
♠3, ♥5, ♠Q, ♥Q, ♦10 | pair
♠3, ♥5, ♠Q, ♥Q, ♣Q | three of a kind
♠3, ♥5, ♠Q, ♦10, ♣Q | pair
♠3, ♥5, ♣2, ♦A, ♣5 | pair
♠3, ♥5, ♣2, ♦A, ♣2 | pair
♠3, ♥5, ♣2, ♦A, ♦3 | pair
♠3, ♥5, ♣2, ♣5, ♠8 | pair
♠3, ♥5, ♣2, ♣5, ♣2 | two pairs
♠3, ♥5, ♣2, ♣5, ♦3 | two pairs
♠3, ♥5, ♣2, ♣5, ♠J | pair
♠3, ♥5, ♣2, ♣5, ♥Q | pair
♠3, ♥5, ♣2, ♣5, ♦10 | pair
♠3, ♥5, ♣2, ♣5, ♣Q | pair
♠3, ♥5, ♣2, ♠8, ♣2 | pair
♠3, ♥5, ♣2, ♠8, ♦3 | pair
♠3, ♥5, ♣2, ♣2, ♦3 | two pairs
♠3, ♥5, ♣2, ♣2, ♠J | pair
♠3, ♥5, ♣2, ♣2, ♥Q | pair
♠3, ♥5, ♣2, ♣2, ♦10 | pair
♠3, ♥5, ♣2, ♣2, ♣Q | pair
♠3, ♥5, ♣2, ♦3, ♠J | pair
♠3, ♥5, ♣2, ♦3, ♥Q | pair
♠3, ♥5, ♣2, ♦3, ♦10 | pair
♠3, ♥5, ♣2, ♦3, ♣Q | pair
♠3, ♥5, ♣2, ♥Q, ♣Q | pair
♠3, ♥5, ♦A, ♣5, ♠8 | pair
♠3, ♥5, ♦A, ♣5, ♣2 | pair
♠3, ♥5, ♦A, ♣5, ♦3 | two pairs
♠3, ♥5, ♦A, ♣5, ♠J | pair
♠3, ♥5, ♦A, ♣5, ♥Q | pair
♠3, ♥5, ♦A, ♣5, ♦10 | pair
♠3, ♥5, ♦A, ♣5, ♣Q | pair
♠3, ♥5, ♦A, ♠8, ♦3 | pair
♠3, ♥5, ♦A, ♣2, ♦3 | pair
♠3, ♥5, ♦A, ♦3, ♠J | pair
♠3, ♥5, ♦A, ♦3, ♥Q | pair
♠3, ♥5, ♦A, ♦3, ♦10 | pair
♠3, ♥5, ♦A, ♦3, ♣Q | pair
♠3, ♥5, ♦A, ♥Q, ♣Q | pair
♠3, ♥5, ♣5, ♠8, ♣2 | pair
♠3, ♥5, ♣5, ♠8, ♦3 | two pairs
♠3, ♥5, ♣5, ♠8, ♠J | pair
♠3, ♥5, ♣5, ♠8, ♥Q | pair
♠3, ♥5, ♣5, ♠8, ♦10 | pair
♠3, ♥5, ♣5, ♠8, ♣Q | pair
♠3, ♥5, ♣5, ♣2, ♦3 | two pairs
♠3, ♥5, ♣5, ♣2, ♠J | pair
♠3, ♥5, ♣5, ♣2, ♥Q | pair
♠3, ♥5, ♣5, ♣2, ♦10 | pair
♠3, ♥5, ♣5, ♣2, ♣Q | pair
♠3, ♥5, ♣5, ♦3, ♠J | two pairs
♠3, ♥5, ♣5, ♦3, ♥Q | two pairs
♠3, ♥5, ♣5, ♦3, ♦10 | two pairs
♠3, ♥5, ♣5, ♦3, ♣Q | two pairs
♠3, ♥5, ♣5, ♠J, ♥Q | pair
♠3, ♥5, ♣5, ♠J, ♦10 | pair
♠3, ♥5, ♣5, ♠J, ♣Q | pair
♠3, ♥5, ♣5, ♥Q, ♦10 | pair
♠3, ♥5, ♣5, ♥Q, ♣Q | two pairs
♠3, ♥5, ♣5, ♦10, ♣Q | pair
♠3, ♥5, ♠8, ♣2, ♦3 | pair
♠3, ♥5, ♠8, ♦3, ♠J | pair
♠3, ♥5, ♠8, ♦3, ♥Q | pair
♠3, ♥5, ♠8, ♦3, ♦10 | pair
♠3, ♥5, ♠8, ♦3, ♣Q | pair
♠3, ♥5, ♠8, ♥Q, ♣Q | pair
♠3, ♥5, ♣2, ♦3, ♠J | pair
♠3, ♥5, ♣2, ♦3, ♥Q | pair
♠3, ♥5, ♣2, ♦3, ♦10 | pair
♠3, ♥5, ♣2, ♦3, ♣Q | pair
♠3, ♥5, ♣2, ♥Q, ♣Q | pair
♠3, ♥5, ♦3, ♠J, ♥Q | pair
♠3, ♥5, ♦3, ♠J, ♦10 | pair
♠3, ♥5, ♦3, ♠J, ♣Q | pair
♠3, ♥5, ♦3, ♥Q, ♦10 | pair
♠3, ♥5, ♦3, ♥Q, ♣Q | two pairs
♠3, ♥5, ♦3, ♦10, ♣Q | pair
♠3, ♥5, ♠J, ♥Q, ♣Q | pair
♠3, ♥5, ♥Q, ♦10, ♣Q | pair
♠3, ♠J, ♠10, ♠Q, ♠8 | flush
♠3, ♠J, ♠10, ♠Q, ♦3 | pair
♠3, ♠J, ♠10, ♠Q, ♠J | flush
♠3, ♠J, ♠10, ♠Q, ♥Q | pair
♠3, ♠J, ♠10, ♠Q, ♦10 | pair
♠3, ♠J, ♠10, ♠Q, ♣Q | pair
♠3, ♠J, ♠10, ♣2, ♣2 | pair
♠3, ♠J, ♠10, ♣2, ♦3 | pair
♠3, ♠J, ♠10, ♣2, ♠J | pair
♠3, ♠J, ♠10, ♣2, ♦10 | pair
♠3, ♠J, ♠10, ♦A, ♦3 | pair
♠3, ♠J, ♠10, ♦A, ♠J | pair
♠3, ♠J, ♠10, ♦A, ♦10 | pair
♠3, ♠J, ♠10, ♣5, ♦3 | pair
♠3, ♠J, ♠10, ♣5, ♠J | pair
♠3, ♠J, ♠10, ♣5, ♦10 | pair
♠3, ♠J, ♠10, ♠8, ♦3 | pair
♠3, ♠J, ♠10, ♠8, ♠J | flush
♠3, ♠J, ♠10, ♠8, ♦10 | pair
♠3, ♠J, ♠10, ♣2, ♦3 | pair
♠3, ♠J, ♠10, ♣2, ♠J | pair
♠3, ♠J, ♠10, ♣2, ♦10 | pair
♠3, ♠J, ♠10, ♦3, ♠J | two pairs
♠3, ♠J, ♠10, ♦3, ♥Q | pair
♠3, ♠J, ♠10, ♦3, ♦10 | two pairs
♠3, ♠J, ♠10, ♦3, ♣Q | pair
♠3, ♠J, ♠10, ♠J, ♥Q | pair
♠3, ♠J, ♠10, ♠J, ♦10 | two pairs
♠3, ♠J, ♠10, ♠J, ♣Q | pair
♠3, ♠J, ♠10, ♥Q, ♦10 | pair
♠3, ♠J, ♠10, ♥Q, ♣Q | pair
♠3, ♠J, ♠10, ♦10, ♣Q | pair
♠3, ♠J, ♠Q, ♣2, ♣2 | pair
♠3, ♠J, ♠Q, ♣2, ♦3 | pair
♠3, ♠J, ♠Q, ♣2, ♠J | pair
♠3, ♠J, ♠Q, ♣2, ♥Q | pair
♠3, ♠J, ♠Q, ♣2, ♣Q | pair
♠3, ♠J, ♠Q, ♦A, ♦3 | pair
♠3, ♠J, ♠Q, ♦A, ♠J | pair
♠3, ♠J, ♠Q, ♦A, ♥Q | pair
♠3, ♠J, ♠Q, ♦A, ♣Q | pair
♠3, ♠J, ♠Q, ♣5, ♦3 | pair
♠3, ♠J, ♠Q, ♣5, ♠J | pair
♠3, ♠J, ♠Q, ♣5, ♥Q | pair
♠3, ♠J, ♠Q, ♣5, ♣Q | pair
♠3, ♠J, ♠Q, ♠8, ♦3 | pair
♠3, ♠J, ♠Q, ♠8, ♠J | flush
♠3, ♠J, ♠Q, ♠8, ♥Q | pair
♠3, ♠J, ♠Q, ♠8, ♣Q | pair
♠3, ♠J, ♠Q, ♣2, ♦3 | pair
♠3, ♠J, ♠Q, ♣2, ♠J | pair
♠3, ♠J, ♠Q, ♣2, ♥Q | pair
♠3, ♠J, ♠Q, ♣2, ♣Q | pair
♠3, ♠J, ♠Q, ♦3, ♠J | two pairs
♠3, ♠J, ♠Q, ♦3, ♥Q | two pairs
♠3, ♠J, ♠Q, ♦3, ♦10 | pair
♠3, ♠J, ♠Q, ♦3, ♣Q | two pairs
♠3, ♠J, ♠Q, ♠J, ♥Q | two pairs
♠3, ♠J, ♠Q, ♠J, ♦10 | pair
♠3, ♠J, ♠Q, ♠J, ♣Q | two pairs
♠3, ♠J, ♠Q, ♥Q, ♦10 | pair
♠3, ♠J, ♠Q, ♥Q, ♣Q | three of a kind
♠3, ♠J, ♠Q, ♦10, ♣Q | pair
♠3, ♠J, ♣2, ♦A, ♣2 | pair
♠3, ♠J, ♣2, ♦A, ♦3 | pair
♠3, ♠J, ♣2, ♦A, ♠J | pair
♠3, ♠J, ♣2, ♣5, ♣2 | pair
♠3, ♠J, ♣2, ♣5, ♦3 | pair
♠3, ♠J, ♣2, ♣5, ♠J | pair
♠3, ♠J, ♣2, ♠8, ♣2 | pair
♠3, ♠J, ♣2, ♠8, ♦3 | pair
♠3, ♠J, ♣2, ♠8, ♠J | pair
♠3, ♠J, ♣2, ♣2, ♦3 | two pairs
♠3, ♠J, ♣2, ♣2, ♠J | two pairs
♠3, ♠J, ♣2, ♣2, ♥Q | pair
♠3, ♠J, ♣2, ♣2, ♦10 | pair
♠3, ♠J, ♣2, ♣2, ♣Q | pair
♠3, ♠J, ♣2, ♦3, ♠J | two pairs
♠3, ♠J, ♣2, ♦3, ♥Q | pair
♠3, ♠J, ♣2, ♦3, ♦10 | pair
♠3, ♠J, ♣2, ♦3, ♣Q | pair
♠3, ♠J, ♣2, ♠J, ♥Q | pair
♠3, ♠J, ♣2, ♠J, ♦10 | pair
♠3, ♠J, ♣2, ♠J, ♣Q | pair
♠3, ♠J, ♣2, ♥Q, ♣Q | pair
♠3, ♠J, ♦A, ♣5, ♦3 | pair
♠3, ♠J, ♦A, ♣5, ♠J | pair
♠3, ♠J, ♦A, ♠8, ♦3 | pair
♠3, ♠J, ♦A, ♠8, ♠J | pair
♠3, ♠J, ♦A, ♣2, ♦3 | pair
♠3, ♠J, ♦A, ♣2, ♠J | pair
♠3, ♠J, ♦A, ♦3, ♠J | two pairs
♠3, ♠J, ♦A, ♦3, ♥Q | pair
♠3, ♠J, ♦A, ♦3, ♦10 | pair
♠3, ♠J, ♦A, ♦3, ♣Q | pair
♠3, ♠J, ♦A, ♠J, ♥Q | pair
♠3, ♠J, ♦A, ♠J, ♦10 | pair
♠3, ♠J, ♦A, ♠J, ♣Q | pair
♠3, ♠J, ♦A, ♥Q, ♣Q | pair
♠3, ♠J, ♣5, ♠8, ♦3 | pair
♠3, ♠J, ♣5, ♠8, ♠J | pair
♠3, ♠J, ♣5, ♣2, ♦3 | pair
♠3, ♠J, ♣5, ♣2, ♠J | pair
♠3, ♠J, ♣5, ♦3, ♠J | two pairs
♠3, ♠J, ♣5, ♦3, ♥Q | pair
♠3, ♠J, ♣5, ♦3, ♦10 | pair
♠3, ♠J, ♣5, ♦3, ♣Q | pair
♠3, ♠J, ♣5, ♠J, ♥Q | pair
♠3, ♠J, ♣5, ♠J, ♦10 | pair
♠3, ♠J, ♣5, ♠J, ♣Q | pair
♠3, ♠J, ♣5, ♥Q, ♣Q | pair
♠3, ♠J, ♠8, ♣2, ♦3 | pair
♠3, ♠J, ♠8, ♣2, ♠J | pair
♠3, ♠J, ♠8, ♦3, ♠J | two pairs
♠3, ♠J, ♠8, ♦3, ♥Q | pair
♠3, ♠J, ♠8, ♦3, ♦10 | pair
♠3, ♠J, ♠8, ♦3, ♣Q | pair
♠3, ♠J, ♠8, ♠J, ♥Q | pair
♠3, ♠J, ♠8, ♠J, ♦10 | pair
♠3, ♠J, ♠8, ♠J, ♣Q | pair
♠3, ♠J, ♠8, ♥Q, ♣Q | pair
♠3, ♠J, ♣2, ♦3, ♠J | two pairs
♠3, ♠J, ♣2, ♦3, ♥Q | pair
♠3, ♠J, ♣2, ♦3, ♦10 | pair
♠3, ♠J, ♣2, ♦3, ♣Q | pair
♠3, ♠J, ♣2, ♠J, ♥Q | pair
♠3, ♠J, ♣2, ♠J, ♦10 | pair
♠3, ♠J, ♣2, ♠J, ♣Q | pair
♠3, ♠J, ♣2, ♥Q, ♣Q | pair
♠3, ♠J, ♦3, ♠J, ♥Q | two pairs
♠3, ♠J, ♦3, ♠J, ♦10 | two pairs
♠3, ♠J, ♦3, ♠J, ♣Q | two pairs
♠3, ♠J, ♦3, ♥Q, ♦10 | pair
♠3, ♠J, ♦3, ♥Q, ♣Q | two pairs
♠3, ♠J, ♦3, ♦10, ♣Q | pair
♠3, ♠J, ♠J, ♥Q, ♦10 | pair
♠3, ♠J, ♠J, ♥Q, ♣Q | two pairs
♠3, ♠J, ♠J, ♦10, ♣Q | pair
♠3, ♠J, ♥Q, ♦10, ♣Q | pair
♠3, ♠10, ♠Q, ♣2, ♣2 | pair
♠3, ♠10, ♠Q, ♣2, ♦3 | pair
♠3, ♠10, ♠Q, ♣2, ♥Q | pair
♠3, ♠10, ♠Q, ♣2, ♦10 | pair
♠3, ♠10, ♠Q, ♣2, ♣Q | pair
♠3, ♠10, ♠Q, ♦A, ♦3 | pair
♠3, ♠10, ♠Q, ♦A, ♥Q | pair
♠3, ♠10, ♠Q, ♦A, ♦10 | pair
♠3, ♠10, ♠Q, ♦A, ♣Q | pair
♠3, ♠10, ♠Q, ♣5, ♦3 | pair
♠3, ♠10, ♠Q, ♣5, ♥Q | pair
♠3, ♠10, ♠Q, ♣5, ♦10 | pair
♠3, ♠10, ♠Q, ♣5, ♣Q | pair
♠3, ♠10, ♠Q, ♠8, ♦3 | pair
♠3, ♠10, ♠Q, ♠8, ♠J | flush
♠3, ♠10, ♠Q, ♠8, ♥Q | pair
♠3, ♠10, ♠Q, ♠8, ♦10 | pair
♠3, ♠10, ♠Q, ♠8, ♣Q | pair
♠3, ♠10, ♠Q, ♣2, ♦3 | pair
♠3, ♠10, ♠Q, ♣2, ♥Q | pair
♠3, ♠10, ♠Q, ♣2, ♦10 | pair
♠3, ♠10, ♠Q, ♣2, ♣Q | pair
♠3, ♠10, ♠Q, ♦3, ♠J | pair
♠3, ♠10, ♠Q, ♦3, ♥Q | two pairs
♠3, ♠10, ♠Q, ♦3, ♦10 | two pairs
