♣K, ♥10, ♠3, ♥10, ♠4 | pair
♣K, ♠5, ♣4, ♠5, ♠4 | two pairs
♣K, ♠5, ♣4, ♠5, ♦10 | pair
♣K, ♠5, ♣4, ♦5, ♠4 | two pairs
♣K, ♠5, ♣4, ♦5, ♦10 | pair
♣K, ♠5, ♣4, ♠4, ♦10 | pair
♣K, ♠5, ♠5, ♦5, ♠4 | three of a kind
♣K, ♠5, ♠5, ♦5, ♦10 | three of a kind
♣K, ♠5, ♠5, ♠4, ♦10 | pair
♣K, ♠5, ♦5, ♠4, ♦10 | pair
♣K, ♣4, ♠5, ♦5, ♠4 | two pairs
♣K, ♣4, ♠5, ♦5, ♦10 | pair
♣K, ♣4, ♠5, ♠4, ♦10 | pair
♣K, ♣4, ♦5, ♠4, ♦10 | pair
♣K, ♠5, ♦5, ♠4, ♦10 | pair
♥10, ♠3, ♥10, ♠4, ♠5 | pair
♥10, ♠3, ♥10, ♠4, ♣4 | two pairs
♥10, ♠3, ♥10, ♠4, ♠5 | pair
♥10, ♠3, ♥10, ♠4, ♦5 | pair
♥10, ♠3, ♥10, ♠4, ♠4 | two pairs
♥10, ♠3, ♥10, ♠4, ♦10 | three of a kind
♥10, ♠3, ♥10, ♠5, ♣4 | pair
♥10, ♠3, ♥10, ♠5, ♠5 | two pairs
♥10, ♠3, ♥10, ♠5, ♦5 | two pairs
♥10, ♠3, ♥10, ♠5, ♠4 | pair
♥10, ♠3, ♥10, ♠5, ♦10 | three of a kind
♥10, ♠3, ♥10, ♣4, ♠5 | pair
♥10, ♠3, ♥10, ♣4, ♦5 | pair
♥10, ♠3, ♥10, ♣4, ♠4 | two pairs
♥10, ♠3, ♥10, ♣4, ♦10 | three of a kind
♥10, ♠3, ♥10, ♠5, ♦5 | two pairs
♥10, ♠3, ♥10, ♠5, ♠4 | pair
♥10, ♠3, ♥10, ♠5, ♦10 | three of a kind
♥10, ♠3, ♥10, ♦5, ♠4 | pair
♥10, ♠3, ♥10, ♦5, ♦10 | three of a kind
♥10, ♠3, ♥10, ♠4, ♦10 | three of a kind
♥10, ♠3, ♠4, ♠5, ♣4 | pair
♥10, ♠3, ♠4, ♠5, ♠5 | pair
♥10, ♠3, ♠4, ♠5, ♦5 | pair
♥10, ♠3, ♠4, ♠5, ♠4 | pair
♥10, ♠3, ♠4, ♠5, ♦10 | pair
♥10, ♠3, ♠4, ♣4, ♠5 | pair
♥10, ♠3, ♠4, ♣4, ♦5 | pair
♥10, ♠3, ♠4, ♣4, ♠4 | three of a kind
♥10, ♠3, ♠4, ♣4, ♦10 | two pairs
♥10, ♠3, ♠4, ♠5, ♦5 | pair
♥10, ♠3, ♠4, ♠5, ♠4 | pair
♥10, ♠3, ♠4, ♠5, ♦10 | pair
♥10, ♠3, ♠4, ♦5, ♠4 | pair
♥10, ♠3, ♠4, ♦5, ♦10 | pair
♥10, ♠3, ♠4, ♠4, ♦10 | two pairs
♥10, ♠3, ♠5, ♣4, ♠5 | pair
♥10, ♠3, ♠5, ♣4, ♦5 | pair
♥10, ♠3, ♠5, ♣4, ♠4 | pair
♥10, ♠3, ♠5, ♣4, ♦10 | pair
♥10, ♠3, ♠5, ♠5, ♦5 | three of a kind
♥10, ♠3, ♠5, ♠5, ♠4 | pair
♥10, ♠3, ♠5, ♠5, ♦10 | two pairs
♥10, ♠3, ♠5, ♦5, ♠4 | pair
♥10, ♠3, ♠5, ♦5, ♦10 | two pairs
♥10, ♠3, ♠5, ♠4, ♦10 | pair
♥10, ♠3, ♣4, ♠5, ♦5 | pair
♥10, ♠3, ♣4, ♠5, ♠4 | pair
♥10, ♠3, ♣4, ♠5, ♦10 | pair
♥10, ♠3, ♣4, ♦5, ♠4 | pair
♥10, ♠3, ♣4, ♦5, ♦10 | pair
♥10, ♠3, ♣4, ♠4, ♦10 | two pairs
♥10, ♠3, ♠5, ♦5, ♠4 | pair
♥10, ♠3, ♠5, ♦5, ♦10 | two pairs
♥10, ♠3, ♠5, ♠4, ♦10 | pair
♥10, ♠3, ♦5, ♠4, ♦10 | pair
♥10, ♥10, ♠4, ♠5, ♣4 | two pairs
♥10, ♥10, ♠4, ♠5, ♠5 | two pairs
♥10, ♥10, ♠4, ♠5, ♦5 | two pairs
♥10, ♥10, ♠4, ♠5, ♠4 | two pairs
♥10, ♥10, ♠4, ♠5, ♦10 | three of a kind
♥10, ♥10, ♠4, ♣4, ♠5 | two pairs
♥10, ♥10, ♠4, ♣4, ♦5 | two pairs
♥10, ♥10, ♠4, ♣4, ♠4 | fullhouse
♥10, ♥10, ♠4, ♣4, ♦10 | fullhouse
♥10, ♥10, ♠4, ♠5, ♦5 | two pairs
♥10, ♥10, ♠4, ♠5, ♠4 | two pairs
♥10, ♥10, ♠4, ♠5, ♦10 | three of a kind
♥10, ♥10, ♠4, ♦5, ♠4 | two pairs
♥10, ♥10, ♠4, ♦5, ♦10 | three of a kind
♥10, ♥10, ♠4, ♠4, ♦10 | fullhouse
♥10, ♥10, ♠5, ♣4, ♠5 | two pairs
♥10, ♥10, ♠5, ♣4, ♦5 | two pairs
♥10, ♥10, ♠5, ♣4, ♠4 | two pairs
♥10, ♥10, ♠5, ♣4, ♦10 | three of a kind
♥10, ♥10, ♠5, ♠5, ♦5 | fullhouse
♥10, ♥10, ♠5, ♠5, ♠4 | two pairs
♥10, ♥10, ♠5, ♠5, ♦10 | fullhouse
♥10, ♥10, ♠5, ♦5, ♠4 | two pairs
♥10, ♥10, ♠5, ♦5, ♦10 | fullhouse
♥10, ♥10, ♠5, ♠4, ♦10 | three of a kind
♥10, ♥10, ♣4, ♠5, ♦5 | two pairs
♥10, ♥10, ♣4, ♠5, ♠4 | two pairs
♥10, ♥10, ♣4, ♠5, ♦10 | three of a kind
♥10, ♥10, ♣4, ♦5, ♠4 | two pairs
♥10, ♥10, ♣4, ♦5, ♦10 | three of a kind
♥10, ♥10, ♣4, ♠4, ♦10 | fullhouse
♥10, ♥10, ♠5, ♦5, ♠4 | two pairs
♥10, ♥10, ♠5, ♦5, ♦10 | fullhouse
♥10, ♥10, ♠5, ♠4, ♦10 | three of a kind
♥10, ♥10, ♦5, ♠4, ♦10 | three of a kind
♥10, ♠4, ♠5, ♣4, ♠5 | two pairs
♥10, ♠4, ♠5, ♣4, ♦5 | two pairs
♥10, ♠4, ♠5, ♣4, ♠4 | three of a kind
♥10, ♠4, ♠5, ♣4, ♦10 | two pairs
♥10, ♠4, ♠5, ♠5, ♦5 | three of a kind
♥10, ♠4, ♠5, ♠5, ♠4 | two pairs
♥10, ♠4, ♠5, ♠5, ♦10 | two pairs
♥10, ♠4, ♠5, ♦5, ♠4 | two pairs
♥10, ♠4, ♠5, ♦5, ♦10 | two pairs
♥10, ♠4, ♠5, ♠4, ♦10 | two pairs
♥10, ♠4, ♣4, ♠5, ♦5 | two pairs
♥10, ♠4, ♣4, ♠5, ♠4 | three of a kind
♥10, ♠4, ♣4, ♠5, ♦10 | two pairs
♥10, ♠4, ♣4, ♦5, ♠4 | three of a kind
♥10, ♠4, ♣4, ♦5, ♦10 | two pairs
♥10, ♠4, ♣4, ♠4, ♦10 | fullhouse
♥10, ♠4, ♠5, ♦5, ♠4 | two pairs
♥10, ♠4, ♠5, ♦5, ♦10 | two pairs
♥10, ♠4, ♠5, ♠4, ♦10 | two pairs
♥10, ♠4, ♦5, ♠4, ♦10 | two pairs
♥10, ♠5, ♣4, ♠5, ♦5 | three of a kind
♥10, ♠5, ♣4, ♠5, ♠4 | two pairs
♥10, ♠5, ♣4, ♠5, ♦10 | two pairs
♥10, ♠5, ♣4, ♦5, ♠4 | two pairs
♥10, ♠5, ♣4, ♦5, ♦10 | two pairs
♥10, ♠5, ♣4, ♠4, ♦10 | two pairs
♥10, ♠5, ♠5, ♦5, ♠4 | three of a kind
♥10, ♠5, ♠5, ♦5, ♦10 | fullhouse
♥10, ♠5, ♠5, ♠4, ♦10 | two pairs
♥10, ♠5, ♦5, ♠4, ♦10 | two pairs
♥10, ♣4, ♠5, ♦5, ♠4 | two pairs
♥10, ♣4, ♠5, ♦5, ♦10 | two pairs
♥10, ♣4, ♠5, ♠4, ♦10 | two pairs
♥10, ♣4, ♦5, ♠4, ♦10 | two pairs
♥10, ♠5, ♦5, ♠4, ♦10 | two pairs
♠3, ♥10, ♠4, ♠5, ♣4 | pair
♠3, ♥10, ♠4, ♠5, ♠5 | pair
♠3, ♥10, ♠4, ♠5, ♦5 | pair
♠3, ♥10, ♠4, ♠5, ♠4 | pair
♠3, ♥10, ♠4, ♠5, ♦10 | pair
♠3, ♥10, ♠4, ♣4, ♠5 | pair
♠3, ♥10, ♠4, ♣4, ♦5 | pair
♠3, ♥10, ♠4, ♣4, ♠4 | three of a kind
♠3, ♥10, ♠4, ♣4, ♦10 | two pairs
♠3, ♥10, ♠4, ♠5, ♦5 | pair
♠3, ♥10, ♠4, ♠5, ♠4 | pair
♠3, ♥10, ♠4, ♠5, ♦10 | pair
♠3, ♥10, ♠4, ♦5, ♠4 | pair
♠3, ♥10, ♠4, ♦5, ♦10 | pair
♠3, ♥10, ♠4, ♠4, ♦10 | two pairs
♠3, ♥10, ♠5, ♣4, ♠5 | pair
♠3, ♥10, ♠5, ♣4, ♦5 | pair
♠3, ♥10, ♠5, ♣4, ♠4 | pair
♠3, ♥10, ♠5, ♣4, ♦10 | pair
♠3, ♥10, ♠5, ♠5, ♦5 | three of a kind
♠3, ♥10, ♠5, ♠5, ♠4 | pair
♠3, ♥10, ♠5, ♠5, ♦10 | two pairs
♠3, ♥10, ♠5, ♦5, ♠4 | pair
♠3, ♥10, ♠5, ♦5, ♦10 | two pairs
♠3, ♥10, ♠5, ♠4, ♦10 | pair
♠3, ♥10, ♣4, ♠5, ♦5 | pair
♠3, ♥10, ♣4, ♠5, ♠4 | pair
♠3, ♥10, ♣4, ♠5, ♦10 | pair
♠3, ♥10, ♣4, ♦5, ♠4 | pair
♠3, ♥10, ♣4, ♦5, ♦10 | pair
♠3, ♥10, ♣4, ♠4, ♦10 | two pairs
♠3, ♥10, ♠5, ♦5, ♠4 | pair
♠3, ♥10, ♠5, ♦5, ♦10 | two pairs
♠3, ♥10, ♠5, ♠4, ♦10 | pair
♠3, ♥10, ♦5, ♠4, ♦10 | pair
♠3, ♠4, ♠5, ♣4, ♠5 | two pairs
♠3, ♠4, ♠5, ♣4, ♦5 | two pairs
♠3, ♠4, ♠5, ♣4, ♠4 | three of a kind
♠3, ♠4, ♠5, ♣4, ♦10 | pair
♠3, ♠4, ♠5, ♠5, ♦5 | three of a kind
♠3, ♠4, ♠5, ♠5, ♠4 | flush
♠3, ♠4, ♠5, ♠5, ♦10 | pair
♠3, ♠4, ♠5, ♦5, ♠4 | two pairs
♠3, ♠4, ♠5, ♦5, ♦10 | pair
♠3, ♠4, ♠5, ♠4, ♦10 | pair
♠3, ♠4, ♣4, ♠5, ♦5 | two pairs
♠3, ♠4, ♣4, ♠5, ♠4 | three of a kind
♠3, ♠4, ♣4, ♠5, ♦10 | pair
♠3, ♠4, ♣4, ♦5, ♠4 | three of a kind
♠3, ♠4, ♣4, ♦5, ♦10 | pair
♠3, ♠4, ♣4, ♠4, ♦10 | three of a kind
♠3, ♠4, ♠5, ♦5, ♠4 | two pairs
♠3, ♠4, ♠5, ♦5, ♦10 | pair
♠3, ♠4, ♠5, ♠4, ♦10 | pair
♠3, ♠4, ♦5, ♠4, ♦10 | pair
♠3, ♠5, ♣4, ♠5, ♦5 | three of a kind
♠3, ♠5, ♣4, ♠5, ♠4 | two pairs
♠3, ♠5, ♣4, ♠5, ♦10 | pair
♠3, ♠5, ♣4, ♦5, ♠4 | two pairs
♠3, ♠5, ♣4, ♦5, ♦10 | pair
♠3, ♠5, ♣4, ♠4, ♦10 | pair
♠3, ♠5, ♠5, ♦5, ♠4 | three of a kind
♠3, ♠5, ♠5, ♦5, ♦10 | three of a kind
♠3, ♠5, ♠5, ♠4, ♦10 | pair
♠3, ♠5, ♦5, ♠4, ♦10 | pair
♠3, ♣4, ♠5, ♦5, ♠4 | two pairs
♠3, ♣4, ♠5, ♦5, ♦10 | pair
♠3, ♣4, ♠5, ♠4, ♦10 | pair
♠3, ♣4, ♦5, ♠4, ♦10 | pair
♠3, ♠5, ♦5, ♠4, ♦10 | pair
♥10, ♠4, ♠5, ♣4, ♠5 | two pairs
♥10, ♠4, ♠5, ♣4, ♦5 | two pairs
♥10, ♠4, ♠5, ♣4, ♠4 | three of a kind
♥10, ♠4, ♠5, ♣4, ♦10 | two pairs
♥10, ♠4, ♠5, ♠5, ♦5 | three of a kind
♥10, ♠4, ♠5, ♠5, ♠4 | two pairs
♥10, ♠4, ♠5, ♠5, ♦10 | two pairs
♥10, ♠4, ♠5, ♦5, ♠4 | two pairs
♥10, ♠4, ♠5, ♦5, ♦10 | two pairs
♥10, ♠4, ♠5, ♠4, ♦10 | two pairs
♥10, ♠4, ♣4, ♠5, ♦5 | two pairs
♥10, ♠4, ♣4, ♠5, ♠4 | three of a kind
♥10, ♠4, ♣4, ♠5, ♦10 | two pairs
♥10, ♠4, ♣4, ♦5, ♠4 | three of a kind
♥10, ♠4, ♣4, ♦5, ♦10 | two pairs
♥10, ♠4, ♣4, ♠4, ♦10 | fullhouse
♥10, ♠4, ♠5, ♦5, ♠4 | two pairs
♥10, ♠4, ♠5, ♦5, ♦10 | two pairs
♥10, ♠4, ♠5, ♠4, ♦10 | two pairs
♥10, ♠4, ♦5, ♠4, ♦10 | two pairs
♥10, ♠5, ♣4, ♠5, ♦5 | three of a kind
♥10, ♠5, ♣4, ♠5, ♠4 | two pairs
♥10, ♠5, ♣4, ♠5, ♦10 | two pairs
♥10, ♠5, ♣4, ♦5, ♠4 | two pairs
♥10, ♠5, ♣4, ♦5, ♦10 | two pairs
♥10, ♠5, ♣4, ♠4, ♦10 | two pairs
♥10, ♠5, ♠5, ♦5, ♠4 | three of a kind
♥10, ♠5, ♠5, ♦5, ♦10 | fullhouse
♥10, ♠5, ♠5, ♠4, ♦10 | two pairs
♥10, ♠5, ♦5, ♠4, ♦10 | two pairs
♥10, ♣4, ♠5, ♦5, ♠4 | two pairs
♥10, ♣4, ♠5, ♦5, ♦10 | two pairs
♥10, ♣4, ♠5, ♠4, ♦10 | two pairs
♥10, ♣4, ♦5, ♠4, ♦10 | two pairs
♥10, ♠5, ♦5, ♠4, ♦10 | two pairs
♠4, ♠5, ♣4, ♠5, ♦5 | fullhouse
♠4, ♠5, ♣4, ♠5, ♠4 | fullhouse
♠4, ♠5, ♣4, ♠5, ♦10 | two pairs
♠4, ♠5, ♣4, ♦5, ♠4 | fullhouse
♠4, ♠5, ♣4, ♦5, ♦10 | two pairs
♠4, ♠5, ♣4, ♠4, ♦10 | three of a kind
♠4, ♠5, ♠5, ♦5, ♠4 | fullhouse
♠4, ♠5, ♠5, ♦5, ♦10 | three of a kind
♠4, ♠5, ♠5, ♠4, ♦10 | two pairs
♠4, ♠5, ♦5, ♠4, ♦10 | two pairs
♠4, ♣4, ♠5, ♦5, ♠4 | fullhouse
♠4, ♣4, ♠5, ♦5, ♦10 | two pairs
♠4, ♣4, ♠5, ♠4, ♦10 | three of a kind
♠4, ♣4, ♦5, ♠4, ♦10 | three of a kind
♠4, ♠5, ♦5, ♠4, ♦10 | two pairs
♠5, ♣4, ♠5, ♦5, ♠4 | fullhouse
♠5, ♣4, ♠5, ♦5, ♦10 | three of a kind
♠5, ♣4, ♠5, ♠4, ♦10 | two pairs
♠5, ♣4, ♦5, ♠4, ♦10 | two pairs
♠5, ♠5, ♦5, ♠4, ♦10 | three of a kind
♣4, ♠5, ♦5, ♠4, ♦10 | two pairs
