♦7, ♠10, ♥K, ♣3, ♥3 | pair
♦7, ♠10, ♣3, ♠7, ♣10 | two pairs
♦7, ♠10, ♣3, ♠7, ♠A | pair
♦7, ♠10, ♣3, ♣A, ♣10 | pair
♦7, ♠10, ♣3, ♣A, ♠A | pair
♦7, ♠10, ♣3, ♥K, ♥K | pair
♦7, ♠10, ♣3, ♥K, ♣10 | pair
♦7, ♠10, ♣3, ♥K, ♣10 | pair
♦7, ♠10, ♣3, ♥4, ♣10 | pair
♦7, ♠10, ♣3, ♣2, ♣10 | pair
♦7, ♠10, ♣3, ♦Q, ♣10 | pair
♦7, ♠10, ♣3, ♣10, ♠A | pair
♦7, ♠10, ♠9, ♠9, ♥3 | pair
♦7, ♠10, ♠9, ♠9, ♠7 | two pairs
♦7, ♠10, ♠9, ♠9, ♣A | pair
♦7, ♠10, ♠9, ♠9, ♥K | pair
♦7, ♠10, ♠9, ♠9, ♥K | pair
♦7, ♠10, ♠9, ♠9, ♥4 | pair
♦7, ♠10, ♠9, ♠9, ♣2 | pair
♦7, ♠10, ♠9, ♠9, ♦Q | pair
♦7, ♠10, ♠9, ♠9, ♣10 | two pairs
♦7, ♠10, ♠9, ♠9, ♠A | pair
♦7, ♠10, ♠9, ♥3, ♠7 | pair
♦7, ♠10, ♠9, ♥3, ♣10 | pair
♦7, ♠10, ♠9, ♠7, ♣A | pair
♦7, ♠10, ♠9, ♠7, ♥K | pair
♦7, ♠10, ♠9, ♠7, ♥K | pair
♦7, ♠10, ♠9, ♠7, ♥4 | pair
♦7, ♠10, ♠9, ♠7, ♣2 | pair
♦7, ♠10, ♠9, ♠7, ♦Q | pair
♦7, ♠10, ♠9, ♠7, ♣10 | two pairs
♦7, ♠10, ♠9, ♠7, ♠A | pair
♦7, ♠10, ♠9, ♣A, ♣10 | pair
♦7, ♠10, ♠9, ♣A, ♠A | pair
♦7, ♠10, ♠9, ♥K, ♥K | pair
♦7, ♠10, ♠9, ♥K, ♣10 | pair
♦7, ♠10, ♠9, ♥K, ♣10 | pair
♦7, ♠10, ♠9, ♥4, ♣10 | pair
♦7, ♠10, ♠9, ♣2, ♣10 | pair
♦7, ♠10, ♠9, ♦Q, ♣10 | pair
♦7, ♠10, ♠9, ♣10, ♠A | pair
♦7, ♠10, ♠9, ♥3, ♠7 | pair
♦7, ♠10, ♠9, ♥3, ♣10 | pair
♦7, ♠10, ♠9, ♠7, ♣A | pair
♦7, ♠10, ♠9, ♠7, ♥K | pair
♦7, ♠10, ♠9, ♠7, ♥K | pair
♦7, ♠10, ♠9, ♠7, ♥4 | pair
♦7, ♠10, ♠9, ♠7, ♣2 | pair
♦7, ♠10, ♠9, ♠7, ♦Q | pair
♦7, ♠10, ♠9, ♠7, ♣10 | two pairs
♦7, ♠10, ♠9, ♠7, ♠A | pair
♦7, ♠10, ♠9, ♣A, ♣10 | pair
♦7, ♠10, ♠9, ♣A, ♠A | pair
♦7, ♠10, ♠9, ♥K, ♥K | pair
♦7, ♠10, ♠9, ♥K, ♣10 | pair
♦7, ♠10, ♠9, ♥K, ♣10 | pair
♦7, ♠10, ♠9, ♥4, ♣10 | pair
♦7, ♠10, ♠9, ♣2, ♣10 | pair
♦7, ♠10, ♠9, ♦Q, ♣10 | pair
♦7, ♠10, ♠9, ♣10, ♠A | pair
♦7, ♠10, ♥3, ♠7, ♣A | pair
♦7, ♠10, ♥3, ♠7, ♥K | pair
♦7, ♠10, ♥3, ♠7, ♥K | pair
♦7, ♠10, ♥3, ♠7, ♥4 | pair
♦7, ♠10, ♥3, ♠7, ♣2 | pair
♦7, ♠10, ♥3, ♠7, ♦Q | pair
♦7, ♠10, ♥3, ♠7, ♣10 | two pairs
♦7, ♠10, ♥3, ♠7, ♠A | pair
♦7, ♠10, ♥3, ♣A, ♣10 | pair
♦7, ♠10, ♥3, ♣A, ♠A | pair
♦7, ♠10, ♥3, ♥K, ♥K | pair
♦7, ♠10, ♥3, ♥K, ♣10 | pair
♦7, ♠10, ♥3, ♥K, ♣10 | pair
♦7, ♠10, ♥3, ♥4, ♣10 | pair
♦7, ♠10, ♥3, ♣2, ♣10 | pair
♦7, ♠10, ♥3, ♦Q, ♣10 | pair
♦7, ♠10, ♥3, ♣10, ♠A | pair
♦7, ♠10, ♠7, ♣A, ♥K | pair
♦7, ♠10, ♠7, ♣A, ♥K | pair
♦7, ♠10, ♠7, ♣A, ♥4 | pair
♦7, ♠10, ♠7, ♣A, ♣2 | pair
♦7, ♠10, ♠7, ♣A, ♦Q | pair
♦7, ♠10, ♠7, ♣A, ♣10 | two pairs
♦7, ♠10, ♠7, ♣A, ♠A | two pairs
♦7, ♠10, ♠7, ♥K, ♥K | two pairs
♦7, ♠10, ♠7, ♥K, ♥4 | pair
♦7, ♠10, ♠7, ♥K, ♣2 | pair
♦7, ♠10, ♠7, ♥K, ♦Q | pair
♦7, ♠10, ♠7, ♥K, ♣10 | two pairs
♦7, ♠10, ♠7, ♥K, ♠A | pair
♦7, ♠10, ♠7, ♥K, ♥4 | pair
♦7, ♠10, ♠7, ♥K, ♣2 | pair
♦7, ♠10, ♠7, ♥K, ♦Q | pair
♦7, ♠10, ♠7, ♥K, ♣10 | two pairs
♦7, ♠10, ♠7, ♥K, ♠A | pair
♦7, ♠10, ♠7, ♥4, ♣2 | pair
♦7, ♠10, ♠7, ♥4, ♦Q | pair
♦7, ♠10, ♠7, ♥4, ♣10 | two pairs
♦7, ♠10, ♠7, ♥4, ♠A | pair
♦7, ♠10, ♠7, ♣2, ♦Q | pair
♦7, ♠10, ♠7, ♣2, ♣10 | two pairs
♦7, ♠10, ♠7, ♣2, ♠A | pair
♦7, ♠10, ♠7, ♦Q, ♣10 | two pairs
♦7, ♠10, ♠7, ♦Q, ♠A | pair
♦7, ♠10, ♠7, ♣10, ♠A | two pairs
♦7, ♠10, ♣A, ♥K, ♥K | pair
♦7, ♠10, ♣A, ♥K, ♣10 | pair
♦7, ♠10, ♣A, ♥K, ♠A | pair
♦7, ♠10, ♣A, ♥K, ♣10 | pair
♦7, ♠10, ♣A, ♥K, ♠A | pair
♦7, ♠10, ♣A, ♥4, ♣10 | pair
♦7, ♠10, ♣A, ♥4, ♠A | pair
♦7, ♠10, ♣A, ♣2, ♣10 | pair
♦7, ♠10, ♣A, ♣2, ♠A | pair
♦7, ♠10, ♣A, ♦Q, ♣10 | pair
♦7, ♠10, ♣A, ♦Q, ♠A | pair
♦7, ♠10, ♣A, ♣10, ♠A | two pairs
♦7, ♠10, ♥K, ♥K, ♥4 | pair
♦7, ♠10, ♥K, ♥K, ♣2 | pair
♦7, ♠10, ♥K, ♥K, ♦Q | pair
♦7, ♠10, ♥K, ♥K, ♣10 | two pairs
♦7, ♠10, ♥K, ♥K, ♠A | pair
♦7, ♠10, ♥K, ♥4, ♣10 | pair
♦7, ♠10, ♥K, ♣2, ♣10 | pair
♦7, ♠10, ♥K, ♦Q, ♣10 | pair
♦7, ♠10, ♥K, ♣10, ♠A | pair
♦7, ♠10, ♥K, ♥4, ♣10 | pair
♦7, ♠10, ♥K, ♣2, ♣10 | pair
♦7, ♠10, ♥K, ♦Q, ♣10 | pair
♦7, ♠10, ♥K, ♣10, ♠A | pair
♦7, ♠10, ♥4, ♣2, ♣10 | pair
♦7, ♠10, ♥4, ♦Q, ♣10 | pair
♦7, ♠10, ♥4, ♣10, ♠A | pair
♦7, ♠10, ♣2, ♦Q, ♣10 | pair
♦7, ♠10, ♣2, ♣10, ♠A | pair
♦7, ♠10, ♦Q, ♣10, ♠A | pair
♦7, ♥K, ♣3, ♠9, ♠9 | pair
♦7, ♥K, ♣3, ♠9, ♥3 | pair
♦7, ♥K, ♣3, ♠9, ♠7 | pair
♦7, ♥K, ♣3, ♠9, ♥K | pair
♦7, ♥K, ♣3, ♠9, ♥K | pair
♦7, ♥K, ♣3, ♠9, ♥3 | pair
♦7, ♥K, ♣3, ♠9, ♠7 | pair
♦7, ♥K, ♣3, ♠9, ♥K | pair
♦7, ♥K, ♣3, ♠9, ♥K | pair
♦7, ♥K, ♣3, ♥3, ♠7 | two pairs
♦7, ♥K, ♣3, ♥3, ♣A | pair
♦7, ♥K, ♣3, ♥3, ♥K | two pairs
♦7, ♥K, ♣3, ♥3, ♥K | two pairs
♦7, ♥K, ♣3, ♥3, ♥4 | pair
♦7, ♥K, ♣3, ♥3, ♣2 | pair
♦7, ♥K, ♣3, ♥3, ♦Q | pair
♦7, ♥K, ♣3, ♥3, ♣10 | pair
♦7, ♥K, ♣3, ♥3, ♠A | pair
♦7, ♥K, ♣3, ♠7, ♣A | pair
♦7, ♥K, ♣3, ♠7, ♥K | two pairs
♦7, ♥K, ♣3, ♠7, ♥K | two pairs
♦7, ♥K, ♣3, ♠7, ♥4 | pair
♦7, ♥K, ♣3, ♠7, ♣2 | pair
♦7, ♥K, ♣3, ♠7, ♦Q | pair
♦7, ♥K, ♣3, ♠7, ♣10 | pair
♦7, ♥K, ♣3, ♠7, ♠A | pair
♦7, ♥K, ♣3, ♣A, ♥K | pair
♦7, ♥K, ♣3, ♣A, ♥K | pair
♦7, ♥K, ♣3, ♣A, ♠A | pair
♦7, ♥K, ♣3, ♥K, ♥K | three of a kind
♦7, ♥K, ♣3, ♥K, ♥4 | pair
♦7, ♥K, ♣3, ♥K, ♣2 | pair
♦7, ♥K, ♣3, ♥K, ♦Q | pair
♦7, ♥K, ♣3, ♥K, ♣10 | pair
♦7, ♥K, ♣3, ♥K, ♠A | pair
♦7, ♥K, ♣3, ♥K, ♥4 | pair
♦7, ♥K, ♣3, ♥K, ♣2 | pair
♦7, ♥K, ♣3, ♥K, ♦Q | pair
♦7, ♥K, ♣3, ♥K, ♣10 | pair
♦7, ♥K, ♣3, ♥K, ♠A | pair
♦7, ♥K, ♠9, ♠9, ♥3 | pair
♦7, ♥K, ♠9, ♠9, ♠7 | two pairs
♦7, ♥K, ♠9, ♠9, ♣A | pair
♦7, ♥K, ♠9, ♠9, ♥K | two pairs
♦7, ♥K, ♠9, ♠9, ♥K | two pairs
♦7, ♥K, ♠9, ♠9, ♥4 | pair
♦7, ♥K, ♠9, ♠9, ♣2 | pair
♦7, ♥K, ♠9, ♠9, ♦Q | pair
♦7, ♥K, ♠9, ♠9, ♣10 | pair
♦7, ♥K, ♠9, ♠9, ♠A | pair
♦7, ♥K, ♠9, ♥3, ♠7 | pair
♦7, ♥K, ♠9, ♥3, ♥K | pair
♦7, ♥K, ♠9, ♥3, ♥K | pair
♦7, ♥K, ♠9, ♠7, ♣A | pair
♦7, ♥K, ♠9, ♠7, ♥K | two pairs
♦7, ♥K, ♠9, ♠7, ♥K | two pairs
♦7, ♥K, ♠9, ♠7, ♥4 | pair
♦7, ♥K, ♠9, ♠7, ♣2 | pair
♦7, ♥K, ♠9, ♠7, ♦Q | pair
♦7, ♥K, ♠9, ♠7, ♣10 | pair
♦7, ♥K, ♠9, ♠7, ♠A | pair
♦7, ♥K, ♠9, ♣A, ♥K | pair
♦7, ♥K, ♠9, ♣A, ♥K | pair
♦7, ♥K, ♠9, ♣A, ♠A | pair
♦7, ♥K, ♠9, ♥K, ♥K | three of a kind
♦7, ♥K, ♠9, ♥K, ♥4 | pair
♦7, ♥K, ♠9, ♥K, ♣2 | pair
♦7, ♥K, ♠9, ♥K, ♦Q | pair
♦7, ♥K, ♠9, ♥K, ♣10 | pair
♦7, ♥K, ♠9, ♥K, ♠A | pair
♦7, ♥K, ♠9, ♥K, ♥4 | pair
♦7, ♥K, ♠9, ♥K, ♣2 | pair
♦7, ♥K, ♠9, ♥K, ♦Q | pair
♦7, ♥K, ♠9, ♥K, ♣10 | pair
♦7, ♥K, ♠9, ♥K, ♠A | pair
♦7, ♥K, ♠9, ♥3, ♠7 | pair
♦7, ♥K, ♠9, ♥3, ♥K | pair
♦7, ♥K, ♠9, ♥3, ♥K | pair
♦7, ♥K, ♠9, ♠7, ♣A | pair
♦7, ♥K, ♠9, ♠7, ♥K | two pairs
♦7, ♥K, ♠9, ♠7, ♥K | two pairs
♦7, ♥K, ♠9, ♠7, ♥4 | pair
♦7, ♥K, ♠9, ♠7, ♣2 | pair
♦7, ♥K, ♠9, ♠7, ♦Q | pair
♦7, ♥K, ♠9, ♠7, ♣10 | pair
♦7, ♥K, ♠9, ♠7, ♠A | pair
♦7, ♥K, ♠9, ♣A, ♥K | pair
♦7, ♥K, ♠9, ♣A, ♥K | pair
♦7, ♥K, ♠9, ♣A, ♠A | pair
♦7, ♥K, ♠9, ♥K, ♥K | three of a kind
♦7, ♥K, ♠9, ♥K, ♥4 | pair
♦7, ♥K, ♠9, ♥K, ♣2 | pair
♦7, ♥K, ♠9, ♥K, ♦Q | pair
♦7, ♥K, ♠9, ♥K, ♣10 | pair
♦7, ♥K, ♠9, ♥K, ♠A | pair
♦7, ♥K, ♠9, ♥K, ♥4 | pair
♦7, ♥K, ♠9, ♥K, ♣2 | pair
♦7, ♥K, ♠9, ♥K, ♦Q | pair
♦7, ♥K, ♠9, ♥K, ♣10 | pair
♦7, ♥K, ♠9, ♥K, ♠A | pair
♦7, ♥K, ♥3, ♠7, ♣A | pair
♦7, ♥K, ♥3, ♠7, ♥K | two pairs
♦7, ♥K, ♥3, ♠7, ♥K | two pairs
♦7, ♥K, ♥3, ♠7, ♥4 | pair
♦7, ♥K, ♥3, ♠7, ♣2 | pair
♦7, ♥K, ♥3, ♠7, ♦Q | pair
♦7, ♥K, ♥3, ♠7, ♣10 | pair
♦7, ♥K, ♥3, ♠7, ♠A | pair
♦7, ♥K, ♥3, ♣A, ♥K | pair
♦7, ♥K, ♥3, ♣A, ♥K | pair
♦7, ♥K, ♥3, ♣A, ♠A | pair
♦7, ♥K, ♥3, ♥K, ♥K | three of a kind
♦7, ♥K, ♥3, ♥K, ♥4 | pair
♦7, ♥K, ♥3, ♥K, ♣2 | pair
♦7, ♥K, ♥3, ♥K, ♦Q | pair
♦7, ♥K, ♥3, ♥K, ♣10 | pair
♦7, ♥K, ♥3, ♥K, ♠A | pair
♦7, ♥K, ♥3, ♥K, ♥4 | pair
♦7, ♥K, ♥3, ♥K, ♣2 | pair
♦7, ♥K, ♥3, ♥K, ♦Q | pair
♦7, ♥K, ♥3, ♥K, ♣10 | pair
♦7, ♥K, ♥3, ♥K, ♠A | pair
♦7, ♥K, ♠7, ♣A, ♥K | two pairs
♦7, ♥K, ♠7, ♣A, ♥K | two pairs
♦7, ♥K, ♠7, ♣A, ♥4 | pair
♦7, ♥K, ♠7, ♣A, ♣2 | pair
♦7, ♥K, ♠7, ♣A, ♦Q | pair
♦7, ♥K, ♠7, ♣A, ♣10 | pair
♦7, ♥K, ♠7, ♣A, ♠A | two pairs
♦7, ♥K, ♠7, ♥K, ♥K | fullhouse
♦7, ♥K, ♠7, ♥K, ♥4 | two pairs
♦7, ♥K, ♠7, ♥K, ♣2 | two pairs
♦7, ♥K, ♠7, ♥K, ♦Q | two pairs
♦7, ♥K, ♠7, ♥K, ♣10 | two pairs
♦7, ♥K, ♠7, ♥K, ♠A | two pairs
♦7, ♥K, ♠7, ♥K, ♥4 | two pairs
♦7, ♥K, ♠7, ♥K, ♣2 | two pairs
♦7, ♥K, ♠7, ♥K, ♦Q | two pairs
♦7, ♥K, ♠7, ♥K, ♣10 | two pairs
♦7, ♥K, ♠7, ♥K, ♠A | two pairs
♦7, ♥K, ♠7, ♥4, ♣2 | pair
♦7, ♥K, ♠7, ♥4, ♦Q | pair
♦7, ♥K, ♠7, ♥4, ♣10 | pair
♦7, ♥K, ♠7, ♥4, ♠A | pair
♦7, ♥K, ♠7, ♣2, ♦Q | pair
♦7, ♥K, ♠7, ♣2, ♣10 | pair
♦7, ♥K, ♠7, ♣2, ♠A | pair
♦7, ♥K, ♠7, ♦Q, ♣10 | pair
♦7, ♥K, ♠7, ♦Q, ♠A | pair
♦7, ♥K, ♠7, ♣10, ♠A | pair
♦7, ♥K, ♣A, ♥K, ♥K | three of a kind
♦7, ♥K, ♣A, ♥K, ♥4 | pair
♦7, ♥K, ♣A, ♥K, ♣2 | pair
♦7, ♥K, ♣A, ♥K, ♦Q | pair
♦7, ♥K, ♣A, ♥K, ♣10 | pair
♦7, ♥K, ♣A, ♥K, ♠A | two pairs
♦7, ♥K, ♣A, ♥K, ♥4 | pair
♦7, ♥K, ♣A, ♥K, ♣2 | pair
♦7, ♥K, ♣A, ♥K, ♦Q | pair
♦7, ♥K, ♣A, ♥K, ♣10 | pair
♦7, ♥K, ♣A, ♥K, ♠A | two pairs
♦7, ♥K, ♣A, ♥4, ♠A | pair
♦7, ♥K, ♣A, ♣2, ♠A | pair
♦7, ♥K, ♣A, ♦Q, ♠A | pair
♦7, ♥K, ♣A, ♣10, ♠A | pair
♦7, ♥K, ♥K, ♥K, ♥4 | three of a kind
♦7, ♥K, ♥K, ♥K, ♣2 | three of a kind
♦7, ♥K, ♥K, ♥K, ♦Q | three of a kind
♦7, ♥K, ♥K, ♥K, ♣10 | three of a kind
♦7, ♥K, ♥K, ♥K, ♠A | three of a kind
♦7, ♥K, ♥K, ♥4, ♣2 | pair
♦7, ♥K, ♥K, ♥4, ♦Q | pair
♦7, ♥K, ♥K, ♥4, ♣10 | pair
♦7, ♥K, ♥K, ♥4, ♠A | pair
♦7, ♥K, ♥K, ♣2, ♦Q | pair
♦7, ♥K, ♥K, ♣2, ♣10 | pair
♦7, ♥K, ♥K, ♣2, ♠A | pair
♦7, ♥K, ♥K, ♦Q, ♣10 | pair
♦7, ♥K, ♥K, ♦Q, ♠A | pair
♦7, ♥K, ♥K, ♣10, ♠A | pair
♦7, ♥K, ♥K, ♥4, ♣2 | pair
♦7, ♥K, ♥K, ♥4, ♦Q | pair
♦7, ♥K, ♥K, ♥4, ♣10 | pair
♦7, ♥K, ♥K, ♥4, ♠A | pair
♦7, ♥K, ♥K, ♣2, ♦Q | pair
♦7, ♥K, ♥K, ♣2, ♣10 | pair
♦7, ♥K, ♥K, ♣2, ♠A | pair
♦7, ♥K, ♥K, ♦Q, ♣10 | pair
♦7, ♥K, ♥K, ♦Q, ♠A | pair
♦7, ♥K, ♥K, ♣10, ♠A | pair
♦7, ♣3, ♠9, ♠9, ♥3 | two pairs
♦7, ♣3, ♠9, ♠9, ♠7 | two pairs
♦7, ♣3, ♠9, ♠9, ♣A | pair
♦7, ♣3, ♠9, ♠9, ♥K | pair
♦7, ♣3, ♠9, ♠9, ♥K | pair
♦7, ♣3, ♠9, ♠9, ♥4 | pair
♦7, ♣3, ♠9, ♠9, ♣2 | pair
♦7, ♣3, ♠9, ♠9, ♦Q | pair
♦7, ♣3, ♠9, ♠9, ♣10 | pair
♦7, ♣3, ♠9, ♠9, ♠A | pair
♦7, ♣3, ♠9, ♥3, ♠7 | two pairs
♦7, ♣3, ♠9, ♥3, ♣A | pair
♦7, ♣3, ♠9, ♥3, ♥K | pair
♦7, ♣3, ♠9, ♥3, ♥K | pair
♦7, ♣3, ♠9, ♥3, ♥4 | pair
♦7, ♣3, ♠9, ♥3, ♣2 | pair
♦7, ♣3, ♠9, ♥3, ♦Q | pair
♦7, ♣3, ♠9, ♥3, ♣10 | pair
♦7, ♣3, ♠9, ♥3, ♠A | pair
♦7, ♣3, ♠9, ♠7, ♣A | pair
♦7, ♣3, ♠9, ♠7, ♥K | pair
♦7, ♣3, ♠9, ♠7, ♥K | pair
♦7, ♣3, ♠9, ♠7, ♥4 | pair
♦7, ♣3, ♠9, ♠7, ♣2 | pair
♦7, ♣3, ♠9, ♠7, ♦Q | pair
♦7, ♣3, ♠9, ♠7, ♣10 | pair
♦7, ♣3, ♠9, ♠7, ♠A | pair
♦7, ♣3, ♠9, ♣A, ♠A | pair
♦7, ♣3, ♠9, ♥K, ♥K | pair
♦7, ♣3, ♠9, ♥3, ♠7 | two pairs
♦7, ♣3, ♠9, ♥3, ♣A | pair
♦7, ♣3, ♠9, ♥3, ♥K | pair
♦7, ♣3, ♠9, ♥3, ♥K | pair
♦7, ♣3, ♠9, ♥3, ♥4 | pair
♦7, ♣3, ♠9, ♥3, ♣2 | pair
♦7, ♣3, ♠9, ♥3, ♦Q | pair
♦7, ♣3, ♠9, ♥3, ♣10 | pair
♦7, ♣3, ♠9, ♥3, ♠A | pair
♦7, ♣3, ♠9, ♠7, ♣A | pair
♦7, ♣3, ♠9, ♠7, ♥K | pair
♦7, ♣3, ♠9, ♠7, ♥K | pair
♦7, ♣3, ♠9, ♠7, ♥4 | pair
♦7, ♣3, ♠9, ♠7, ♣2 | pair
♦7, ♣3, ♠9, ♠7, ♦Q | pair
♦7, ♣3, ♠9, ♠7, ♣10 | pair
♦7, ♣3, ♠9, ♠7, ♠A | pair
♦7, ♣3, ♠9, ♣A, ♠A | pair
♦7, ♣3, ♠9, ♥K, ♥K | pair
♦7, ♣3, ♥3, ♠7, ♣A | two pairs
♦7, ♣3, ♥3, ♠7, ♥K | two pairs
♦7, ♣3, ♥3, ♠7, ♥K | two pairs
♦7, ♣3, ♥3, ♠7, ♥4 | two pairs
♦7, ♣3, ♥3, ♠7, ♣2 | two pairs
♦7, ♣3, ♥3, ♠7, ♦Q | two pairs
♦7, ♣3, ♥3, ♠7, ♣10 | two pairs
♦7, ♣3, ♥3, ♠7, ♠A | two pairs
♦7, ♣3, ♥3, ♣A, ♥K | pair
♦7, ♣3, ♥3, ♣A, ♥K | pair
♦7, ♣3, ♥3, ♣A, ♥4 | pair
♦7, ♣3, ♥3, ♣A, ♣2 | pair
♦7, ♣3, ♥3, ♣A, ♦Q | pair
♦7, ♣3, ♥3, ♣A, ♣10 | pair
♦7, ♣3, ♥3, ♣A, ♠A | two pairs
♦7, ♣3, ♥3, ♥K, ♥K | two pairs
♦7, ♣3, ♥3, ♥K, ♥4 | pair
♦7, ♣3, ♥3, ♥K, ♣2 | pair
♦7, ♣3, ♥3, ♥K, ♦Q | pair
♦7, ♣3, ♥3, ♥K, ♣10 | pair
♦7, ♣3, ♥3, ♥K, ♠A | pair
♦7, ♣3, ♥3, ♥K, ♥4 | pair
♦7, ♣3, ♥3, ♥K, ♣2 | pair
♦7, ♣3, ♥3, ♥K, ♦Q | pair
♦7, ♣3, ♥3, ♥K, ♣10 | pair
♦7, ♣3, ♥3, ♥K, ♠A | pair
♦7, ♣3, ♥3, ♥4, ♣2 | pair
♦7, ♣3, ♥3, ♥4, ♦Q | pair
♦7, ♣3, ♥3, ♥4, ♣10 | pair
♦7, ♣3, ♥3, ♥4, ♠A | pair
♦7, ♣3, ♥3, ♣2, ♦Q | pair
♦7, ♣3, ♥3, ♣2, ♣10 | pair
♦7, ♣3, ♥3, ♣2, ♠A | pair
♦7, ♣3, ♥3, ♦Q, ♣10 | pair
♦7, ♣3, ♥3, ♦Q, ♠A | pair
♦7, ♣3, ♥3, ♣10, ♠A | pair
♦7, ♣3, ♠7, ♣A, ♥K | pair
♦7, ♣3, ♠7, ♣A, ♥K | pair
♦7, ♣3, ♠7, ♣A, ♥4 | pair
♦7, ♣3, ♠7, ♣A, ♣2 | pair
♦7, ♣3, ♠7, ♣A, ♦Q | pair
♦7, ♣3, ♠7, ♣A, ♣10 | pair
♦7, ♣3, ♠7, ♣A, ♠A | two pairs
♦7, ♣3, ♠7, ♥K, ♥K | two pairs
♦7, ♣3, ♠7, ♥K, ♥4 | pair
♦7, ♣3, ♠7, ♥K, ♣2 | pair
♦7, ♣3, ♠7, ♥K, ♦Q | pair
♦7, ♣3, ♠7, ♥K, ♣10 | pair
♦7, ♣3, ♠7, ♥K, ♠A | pair
♦7, ♣3, ♠7, ♥K, ♥4 | pair
♦7, ♣3, ♠7, ♥K, ♣2 | pair
♦7, ♣3, ♠7, ♥K, ♦Q | pair
♦7, ♣3, ♠7, ♥K, ♣10 | pair
♦7, ♣3, ♠7, ♥K, ♠A | pair
♦7, ♣3, ♠7, ♥4, ♣2 | pair
♦7, ♣3, ♠7, ♥4, ♦Q | pair
♦7, ♣3, ♠7, ♥4, ♣10 | pair
♦7, ♣3, ♠7, ♥4, ♠A | pair
♦7, ♣3, ♠7, ♣2, ♦Q | pair
