♥J, ♣J, ♦4, ♥10, ♥2 | pair
♥J, ♣J, ♣8, ♥4, ♦9 | pair
♥J, ♣J, ♣8, ♥4, ♦8 | two pairs
♥J, ♣J, ♣8, ♥4, ♠K | pair
♥J, ♣J, ♣8, ♥6, ♦9 | pair
♥J, ♣J, ♣8, ♥6, ♦8 | two pairs
♥J, ♣J, ♣8, ♥6, ♠K | pair
♥J, ♣J, ♣8, ♦9, ♦8 | two pairs
♥J, ♣J, ♣8, ♦9, ♠K | pair
♥J, ♣J, ♣8, ♦8, ♠K | two pairs
♥J, ♣J, ♦7, ♦9, ♠2 | pair
♥J, ♣J, ♦7, ♦9, ♥4 | pair
♥J, ♣J, ♦7, ♦9, ♥6 | pair
♥J, ♣J, ♦7, ♦9, ♦9 | two pairs
♥J, ♣J, ♦7, ♦9, ♦8 | pair
♥J, ♣J, ♦7, ♦9, ♠K | pair
♥J, ♣J, ♦7, ♠2, ♥4 | pair
♥J, ♣J, ♦7, ♠2, ♥6 | pair
♥J, ♣J, ♦7, ♠2, ♦9 | pair
♥J, ♣J, ♦7, ♠2, ♦8 | pair
♥J, ♣J, ♦7, ♠2, ♠K | pair
♥J, ♣J, ♦7, ♥4, ♥6 | pair
♥J, ♣J, ♦7, ♥4, ♦9 | pair
♥J, ♣J, ♦7, ♥4, ♦8 | pair
♥J, ♣J, ♦7, ♥4, ♠K | pair
♥J, ♣J, ♦7, ♥6, ♦9 | pair
♥J, ♣J, ♦7, ♥6, ♦8 | pair
♥J, ♣J, ♦7, ♥6, ♠K | pair
♥J, ♣J, ♦7, ♦9, ♦8 | pair
♥J, ♣J, ♦7, ♦9, ♠K | pair
♥J, ♣J, ♦7, ♦8, ♠K | pair
♥J, ♣J, ♦9, ♠2, ♥4 | pair
♥J, ♣J, ♦9, ♠2, ♥6 | pair
♥J, ♣J, ♦9, ♠2, ♦9 | two pairs
♥J, ♣J, ♦9, ♠2, ♦8 | pair
♥J, ♣J, ♦9, ♠2, ♠K | pair
♥J, ♣J, ♦9, ♥4, ♥6 | pair
♥J, ♣J, ♦9, ♥4, ♦9 | two pairs
♥J, ♣J, ♦9, ♥4, ♦8 | pair
♥J, ♣J, ♦9, ♥4, ♠K | pair
♥J, ♣J, ♦9, ♥6, ♦9 | two pairs
♥J, ♣J, ♦9, ♥6, ♦8 | pair
♥J, ♣J, ♦9, ♥6, ♠K | pair
♥J, ♣J, ♦9, ♦9, ♦8 | two pairs
♥J, ♣J, ♦9, ♦9, ♠K | two pairs
♥J, ♣J, ♦9, ♦8, ♠K | pair
♥J, ♣J, ♠2, ♥4, ♥6 | pair
♥J, ♣J, ♠2, ♥4, ♦9 | pair
♥J, ♣J, ♠2, ♥4, ♦8 | pair
♥J, ♣J, ♠2, ♥4, ♠K | pair
♥J, ♣J, ♠2, ♥6, ♦9 | pair
♥J, ♣J, ♠2, ♥6, ♦8 | pair
♥J, ♣J, ♠2, ♥6, ♠K | pair
♥J, ♣J, ♠2, ♦9, ♦8 | pair
♥J, ♣J, ♠2, ♦9, ♠K | pair
♥J, ♣J, ♠2, ♦8, ♠K | pair
♥J, ♣J, ♥4, ♥6, ♦9 | pair
♥J, ♣J, ♥4, ♥6, ♦8 | pair
♥J, ♣J, ♥4, ♥6, ♠K | pair
♥J, ♣J, ♥4, ♦9, ♦8 | pair
♥J, ♣J, ♥4, ♦9, ♠K | pair
♥J, ♣J, ♥4, ♦8, ♠K | pair
♥J, ♣J, ♥6, ♦9, ♦8 | pair
♥J, ♣J, ♥6, ♦9, ♠K | pair
♥J, ♣J, ♥6, ♦8, ♠K | pair
♥J, ♣J, ♦9, ♦8, ♠K | pair
♥J, ♦4, ♥10, ♥2, ♠2 | pair
♥J, ♦4, ♥10, ♥2, ♥4 | pair
♥J, ♦4, ♥10, ♣8, ♥4 | pair
♥J, ♦4, ♥10, ♣8, ♦8 | pair
♥J, ♦4, ♥10, ♦7, ♥4 | pair
♥J, ♦4, ♥10, ♦9, ♥4 | pair
♥J, ♦4, ♥10, ♦9, ♦9 | pair
♥J, ♦4, ♥10, ♠2, ♥4 | pair
♥J, ♦4, ♥10, ♥4, ♥6 | pair
♥J, ♦4, ♥10, ♥4, ♦9 | pair
♥J, ♦4, ♥10, ♥4, ♦8 | pair
♥J, ♦4, ♥10, ♥4, ♠K | pair
♥J, ♦4, ♥2, ♣8, ♠2 | pair
♥J, ♦4, ♥2, ♣8, ♥4 | pair
♥J, ♦4, ♥2, ♣8, ♦8 | pair
♥J, ♦4, ♥2, ♦7, ♠2 | pair
♥J, ♦4, ♥2, ♦7, ♥4 | pair
♥J, ♦4, ♥2, ♦9, ♠2 | pair
♥J, ♦4, ♥2, ♦9, ♥4 | pair
♥J, ♦4, ♥2, ♦9, ♦9 | pair
♥J, ♦4, ♥2, ♠2, ♥4 | two pairs
♥J, ♦4, ♥2, ♠2, ♥6 | pair
♥J, ♦4, ♥2, ♠2, ♦9 | pair
♥J, ♦4, ♥2, ♠2, ♦8 | pair
♥J, ♦4, ♥2, ♠2, ♠K | pair
♥J, ♦4, ♥2, ♥4, ♥6 | pair
♥J, ♦4, ♥2, ♥4, ♦9 | pair
♥J, ♦4, ♥2, ♥4, ♦8 | pair
♥J, ♦4, ♥2, ♥4, ♠K | pair
♥J, ♦4, ♣8, ♦7, ♥4 | pair
♥J, ♦4, ♣8, ♦7, ♦8 | pair
♥J, ♦4, ♣8, ♦9, ♥4 | pair
♥J, ♦4, ♣8, ♦9, ♦9 | pair
♥J, ♦4, ♣8, ♦9, ♦8 | pair
♥J, ♦4, ♣8, ♠2, ♥4 | pair
♥J, ♦4, ♣8, ♠2, ♦8 | pair
♥J, ♦4, ♣8, ♥4, ♥6 | pair
♥J, ♦4, ♣8, ♥4, ♦9 | pair
♥J, ♦4, ♣8, ♥4, ♦8 | two pairs
♥J, ♦4, ♣8, ♥4, ♠K | pair
♥J, ♦4, ♣8, ♥6, ♦8 | pair
♥J, ♦4, ♣8, ♦9, ♦8 | pair
♥J, ♦4, ♣8, ♦8, ♠K | pair
♥J, ♦4, ♦7, ♦9, ♥4 | pair
♥J, ♦4, ♦7, ♦9, ♦9 | pair
♥J, ♦4, ♦7, ♠2, ♥4 | pair
♥J, ♦4, ♦7, ♥4, ♥6 | pair
♥J, ♦4, ♦7, ♥4, ♦9 | pair
♥J, ♦4, ♦7, ♥4, ♦8 | pair
♥J, ♦4, ♦7, ♥4, ♠K | pair
♥J, ♦4, ♦9, ♠2, ♥4 | pair
♥J, ♦4, ♦9, ♠2, ♦9 | pair
♥J, ♦4, ♦9, ♥4, ♥6 | pair
♥J, ♦4, ♦9, ♥4, ♦9 | two pairs
♥J, ♦4, ♦9, ♥4, ♦8 | pair
♥J, ♦4, ♦9, ♥4, ♠K | pair
♥J, ♦4, ♦9, ♥6, ♦9 | pair
♥J, ♦4, ♦9, ♦9, ♦8 | pair
♥J, ♦4, ♦9, ♦9, ♠K | pair
♥J, ♦4, ♠2, ♥4, ♥6 | pair
♥J, ♦4, ♠2, ♥4, ♦9 | pair
♥J, ♦4, ♠2, ♥4, ♦8 | pair
♥J, ♦4, ♠2, ♥4, ♠K | pair
♥J, ♦4, ♥4, ♥6, ♦9 | pair
♥J, ♦4, ♥4, ♥6, ♦8 | pair
♥J, ♦4, ♥4, ♥6, ♠K | pair
♥J, ♦4, ♥4, ♦9, ♦8 | pair
♥J, ♦4, ♥4, ♦9, ♠K | pair
♥J, ♦4, ♥4, ♦8, ♠K | pair
♥J, ♥10, ♥2, ♣8, ♠2 | pair
♥J, ♥10, ♥2, ♣8, ♦8 | pair
♥J, ♥10, ♥2, ♦7, ♠2 | pair
♥J, ♥10, ♥2, ♦9, ♠2 | pair
♥J, ♥10, ♥2, ♦9, ♦9 | pair
♥J, ♥10, ♥2, ♠2, ♥4 | pair
♥J, ♥10, ♥2, ♠2, ♥6 | pair
♥J, ♥10, ♥2, ♠2, ♦9 | pair
♥J, ♥10, ♥2, ♠2, ♦8 | pair
♥J, ♥10, ♥2, ♠2, ♠K | pair
♥J, ♥10, ♥2, ♥4, ♥6 | flush
♥J, ♥10, ♣8, ♦7, ♦9 | straight
♥J, ♥10, ♣8, ♦7, ♦9 | straight
♥J, ♥10, ♣8, ♦7, ♦8 | pair
♥J, ♥10, ♣8, ♦9, ♦9 | pair
♥J, ♥10, ♣8, ♦9, ♦8 | pair
♥J, ♥10, ♣8, ♠2, ♦8 | pair
♥J, ♥10, ♣8, ♥4, ♦8 | pair
♥J, ♥10, ♣8, ♥6, ♦8 | pair
♥J, ♥10, ♣8, ♦9, ♦8 | pair
♥J, ♥10, ♣8, ♦8, ♠K | pair
♥J, ♥10, ♦7, ♦9, ♦9 | pair
♥J, ♥10, ♦7, ♦9, ♦8 | straight
♥J, ♥10, ♦7, ♦9, ♦8 | straight
♥J, ♥10, ♦9, ♠2, ♦9 | pair
♥J, ♥10, ♦9, ♥4, ♦9 | pair
♥J, ♥10, ♦9, ♥6, ♦9 | pair
♥J, ♥10, ♦9, ♦9, ♦8 | pair
♥J, ♥10, ♦9, ♦9, ♠K | pair
♥J, ♥2, ♣8, ♦7, ♠2 | pair
♥J, ♥2, ♣8, ♦7, ♦8 | pair
♥J, ♥2, ♣8, ♦9, ♠2 | pair
♥J, ♥2, ♣8, ♦9, ♦9 | pair
♥J, ♥2, ♣8, ♦9, ♦8 | pair
♥J, ♥2, ♣8, ♠2, ♥4 | pair
♥J, ♥2, ♣8, ♠2, ♥6 | pair
♥J, ♥2, ♣8, ♠2, ♦9 | pair
♥J, ♥2, ♣8, ♠2, ♦8 | two pairs
♥J, ♥2, ♣8, ♠2, ♠K | pair
♥J, ♥2, ♣8, ♥4, ♦8 | pair
♥J, ♥2, ♣8, ♥6, ♦8 | pair
♥J, ♥2, ♣8, ♦9, ♦8 | pair
♥J, ♥2, ♣8, ♦8, ♠K | pair
♥J, ♥2, ♦7, ♦9, ♠2 | pair
♥J, ♥2, ♦7, ♦9, ♦9 | pair
♥J, ♥2, ♦7, ♠2, ♥4 | pair
♥J, ♥2, ♦7, ♠2, ♥6 | pair
♥J, ♥2, ♦7, ♠2, ♦9 | pair
♥J, ♥2, ♦7, ♠2, ♦8 | pair
♥J, ♥2, ♦7, ♠2, ♠K | pair
♥J, ♥2, ♦9, ♠2, ♥4 | pair
♥J, ♥2, ♦9, ♠2, ♥6 | pair
♥J, ♥2, ♦9, ♠2, ♦9 | two pairs
♥J, ♥2, ♦9, ♠2, ♦8 | pair
♥J, ♥2, ♦9, ♠2, ♠K | pair
♥J, ♥2, ♦9, ♥4, ♦9 | pair
♥J, ♥2, ♦9, ♥6, ♦9 | pair
♥J, ♥2, ♦9, ♦9, ♦8 | pair
♥J, ♥2, ♦9, ♦9, ♠K | pair
♥J, ♥2, ♠2, ♥4, ♥6 | pair
♥J, ♥2, ♠2, ♥4, ♦9 | pair
♥J, ♥2, ♠2, ♥4, ♦8 | pair
♥J, ♥2, ♠2, ♥4, ♠K | pair
♥J, ♥2, ♠2, ♥6, ♦9 | pair
♥J, ♥2, ♠2, ♥6, ♦8 | pair
♥J, ♥2, ♠2, ♥6, ♠K | pair
♥J, ♥2, ♠2, ♦9, ♦8 | pair
♥J, ♥2, ♠2, ♦9, ♠K | pair
♥J, ♥2, ♠2, ♦8, ♠K | pair
♥J, ♣8, ♦7, ♦9, ♦9 | pair
♥J, ♣8, ♦7, ♦9, ♦8 | pair
♥J, ♣8, ♦7, ♠2, ♦8 | pair
♥J, ♣8, ♦7, ♥4, ♦8 | pair
♥J, ♣8, ♦7, ♥6, ♦8 | pair
♥J, ♣8, ♦7, ♦9, ♦8 | pair
♥J, ♣8, ♦7, ♦8, ♠K | pair
♥J, ♣8, ♦9, ♠2, ♦9 | pair
♥J, ♣8, ♦9, ♠2, ♦8 | pair
♥J, ♣8, ♦9, ♥4, ♦9 | pair
♥J, ♣8, ♦9, ♥4, ♦8 | pair
♥J, ♣8, ♦9, ♥6, ♦9 | pair
♥J, ♣8, ♦9, ♥6, ♦8 | pair
♥J, ♣8, ♦9, ♦9, ♦8 | two pairs
♥J, ♣8, ♦9, ♦9, ♠K | pair
♥J, ♣8, ♦9, ♦8, ♠K | pair
♥J, ♣8, ♠2, ♥4, ♦8 | pair
♥J, ♣8, ♠2, ♥6, ♦8 | pair
♥J, ♣8, ♠2, ♦9, ♦8 | pair
♥J, ♣8, ♠2, ♦8, ♠K | pair
♥J, ♣8, ♥4, ♥6, ♦8 | pair
♥J, ♣8, ♥4, ♦9, ♦8 | pair
♥J, ♣8, ♥4, ♦8, ♠K | pair
♥J, ♣8, ♥6, ♦9, ♦8 | pair
♥J, ♣8, ♥6, ♦8, ♠K | pair
♥J, ♣8, ♦9, ♦8, ♠K | pair
♥J, ♦7, ♦9, ♠2, ♦9 | pair
♥J, ♦7, ♦9, ♥4, ♦9 | pair
♥J, ♦7, ♦9, ♥6, ♦9 | pair
♥J, ♦7, ♦9, ♦9, ♦8 | pair
♥J, ♦7, ♦9, ♦9, ♠K | pair
♥J, ♦9, ♠2, ♥4, ♦9 | pair
♥J, ♦9, ♠2, ♥6, ♦9 | pair
♥J, ♦9, ♠2, ♦9, ♦8 | pair
♥J, ♦9, ♠2, ♦9, ♠K | pair
♥J, ♦9, ♥4, ♥6, ♦9 | pair
♥J, ♦9, ♥4, ♦9, ♦8 | pair
♥J, ♦9, ♥4, ♦9, ♠K | pair
♥J, ♦9, ♥6, ♦9, ♦8 | pair
♥J, ♦9, ♥6, ♦9, ♠K | pair
♥J, ♦9, ♦9, ♦8, ♠K | pair
♣J, ♦4, ♥10, ♥2, ♠2 | pair
♣J, ♦4, ♥10, ♥2, ♥4 | pair
♣J, ♦4, ♥10, ♣8, ♥4 | pair
♣J, ♦4, ♥10, ♣8, ♦8 | pair
♣J, ♦4, ♥10, ♦7, ♥4 | pair
♣J, ♦4, ♥10, ♦9, ♥4 | pair
♣J, ♦4, ♥10, ♦9, ♦9 | pair
♣J, ♦4, ♥10, ♠2, ♥4 | pair
♣J, ♦4, ♥10, ♥4, ♥6 | pair
♣J, ♦4, ♥10, ♥4, ♦9 | pair
♣J, ♦4, ♥10, ♥4, ♦8 | pair
♣J, ♦4, ♥10, ♥4, ♠K | pair
♣J, ♦4, ♥2, ♣8, ♠2 | pair
♣J, ♦4, ♥2, ♣8, ♥4 | pair
♣J, ♦4, ♥2, ♣8, ♦8 | pair
♣J, ♦4, ♥2, ♦7, ♠2 | pair
♣J, ♦4, ♥2, ♦7, ♥4 | pair
♣J, ♦4, ♥2, ♦9, ♠2 | pair
♣J, ♦4, ♥2, ♦9, ♥4 | pair
♣J, ♦4, ♥2, ♦9, ♦9 | pair
♣J, ♦4, ♥2, ♠2, ♥4 | two pairs
♣J, ♦4, ♥2, ♠2, ♥6 | pair
♣J, ♦4, ♥2, ♠2, ♦9 | pair
♣J, ♦4, ♥2, ♠2, ♦8 | pair
♣J, ♦4, ♥2, ♠2, ♠K | pair
♣J, ♦4, ♥2, ♥4, ♥6 | pair
♣J, ♦4, ♥2, ♥4, ♦9 | pair
♣J, ♦4, ♥2, ♥4, ♦8 | pair
♣J, ♦4, ♥2, ♥4, ♠K | pair
♣J, ♦4, ♣8, ♦7, ♥4 | pair
♣J, ♦4, ♣8, ♦7, ♦8 | pair
♣J, ♦4, ♣8, ♦9, ♥4 | pair
♣J, ♦4, ♣8, ♦9, ♦9 | pair
♣J, ♦4, ♣8, ♦9, ♦8 | pair
♣J, ♦4, ♣8, ♠2, ♥4 | pair
♣J, ♦4, ♣8, ♠2, ♦8 | pair
♣J, ♦4, ♣8, ♥4, ♥6 | pair
♣J, ♦4, ♣8, ♥4, ♦9 | pair
♣J, ♦4, ♣8, ♥4, ♦8 | two pairs
♣J, ♦4, ♣8, ♥4, ♠K | pair
♣J, ♦4, ♣8, ♥6, ♦8 | pair
♣J, ♦4, ♣8, ♦9, ♦8 | pair
♣J, ♦4, ♣8, ♦8, ♠K | pair
♣J, ♦4, ♦7, ♦9, ♥4 | pair
♣J, ♦4, ♦7, ♦9, ♦9 | pair
♣J, ♦4, ♦7, ♠2, ♥4 | pair
♣J, ♦4, ♦7, ♥4, ♥6 | pair
♣J, ♦4, ♦7, ♥4, ♦9 | pair
♣J, ♦4, ♦7, ♥4, ♦8 | pair
♣J, ♦4, ♦7, ♥4, ♠K | pair
♣J, ♦4, ♦9, ♠2, ♥4 | pair
♣J, ♦4, ♦9, ♠2, ♦9 | pair
♣J, ♦4, ♦9, ♥4, ♥6 | pair
♣J, ♦4, ♦9, ♥4, ♦9 | two pairs
♣J, ♦4, ♦9, ♥4, ♦8 | pair
♣J, ♦4, ♦9, ♥4, ♠K | pair
♣J, ♦4, ♦9, ♥6, ♦9 | pair
♣J, ♦4, ♦9, ♦9, ♦8 | pair
♣J, ♦4, ♦9, ♦9, ♠K | pair
♣J, ♦4, ♠2, ♥4, ♥6 | pair
♣J, ♦4, ♠2, ♥4, ♦9 | pair
♣J, ♦4, ♠2, ♥4, ♦8 | pair
♣J, ♦4, ♠2, ♥4, ♠K | pair
♣J, ♦4, ♥4, ♥6, ♦9 | pair
♣J, ♦4, ♥4, ♥6, ♦8 | pair
♣J, ♦4, ♥4, ♥6, ♠K | pair
♣J, ♦4, ♥4, ♦9, ♦8 | pair
♣J, ♦4, ♥4, ♦9, ♠K | pair
♣J, ♦4, ♥4, ♦8, ♠K | pair
♣J, ♥10, ♥2, ♣8, ♠2 | pair
♣J, ♥10, ♥2, ♣8, ♦8 | pair
♣J, ♥10, ♥2, ♦7, ♠2 | pair
♣J, ♥10, ♥2, ♦9, ♠2 | pair
♣J, ♥10, ♥2, ♦9, ♦9 | pair
♣J, ♥10, ♥2, ♠2, ♥4 | pair
♣J, ♥10, ♥2, ♠2, ♥6 | pair
♣J, ♥10, ♥2, ♠2, ♦9 | pair
♣J, ♥10, ♥2, ♠2, ♦8 | pair
♣J, ♥10, ♥2, ♠2, ♠K | pair
♣J, ♥10, ♣8, ♦7, ♦9 | straight
♣J, ♥10, ♣8, ♦7, ♦9 | straight
♣J, ♥10, ♣8, ♦7, ♦8 | pair
♣J, ♥10, ♣8, ♦9, ♦9 | pair
♣J, ♥10, ♣8, ♦9, ♦8 | pair
♣J, ♥10, ♣8, ♠2, ♦8 | pair
♣J, ♥10, ♣8, ♥4, ♦8 | pair
♣J, ♥10, ♣8, ♥6, ♦8 | pair
♣J, ♥10, ♣8, ♦9, ♦8 | pair
♣J, ♥10, ♣8, ♦8, ♠K | pair
♣J, ♥10, ♦7, ♦9, ♦9 | pair
♣J, ♥10, ♦7, ♦9, ♦8 | straight
♣J, ♥10, ♦7, ♦9, ♦8 | straight
♣J, ♥10, ♦9, ♠2, ♦9 | pair
♣J, ♥10, ♦9, ♥4, ♦9 | pair
♣J, ♥10, ♦9, ♥6, ♦9 | pair
♣J, ♥10, ♦9, ♦9, ♦8 | pair
♣J, ♥10, ♦9, ♦9, ♠K | pair
♣J, ♥2, ♣8, ♦7, ♠2 | pair
♣J, ♥2, ♣8, ♦7, ♦8 | pair
♣J, ♥2, ♣8, ♦9, ♠2 | pair
