♦6, ♥J, ♣10, ♠2, ♥6 | pair
♦6, ♣10, ♠2, ♥Q, ♦2 | pair
♦6, ♣10, ♠2, ♥7, ♥10 | pair
♦6, ♣10, ♠2, ♥7, ♣7 | pair
♦6, ♣10, ♠2, ♥7, ♦2 | pair
♦6, ♣10, ♠2, ♥10, ♦5 | pair
♦6, ♣10, ♠2, ♥10, ♣7 | pair
♦6, ♣10, ♠2, ♥10, ♦2 | two pairs
♦6, ♣10, ♠2, ♥10, ♥8 | pair
♦6, ♣10, ♠2, ♦5, ♦2 | pair
♦6, ♣10, ♠2, ♣7, ♦2 | pair
♦6, ♣10, ♠2, ♦2, ♥8 | pair
♦6, ♣10, ♠8, ♥K, ♥6 | pair
♦6, ♣10, ♠8, ♥K, ♦6 | pair
♦6, ♣10, ♠8, ♥K, ♥10 | pair
♦6, ♣10, ♠8, ♥K, ♥8 | pair
♦6, ♣10, ♠8, ♦A, ♥6 | pair
♦6, ♣10, ♠8, ♦A, ♦6 | pair
♦6, ♣10, ♠8, ♦A, ♥10 | pair
♦6, ♣10, ♠8, ♦A, ♥8 | pair
♦6, ♣10, ♠8, ♥6, ♦6 | three of a kind
♦6, ♣10, ♠8, ♥6, ♥Q | pair
♦6, ♣10, ♠8, ♥6, ♥7 | pair
♦6, ♣10, ♠8, ♥6, ♥10 | two pairs
♦6, ♣10, ♠8, ♥6, ♦5 | pair
♦6, ♣10, ♠8, ♥6, ♣7 | pair
♦6, ♣10, ♠8, ♥6, ♦2 | pair
♦6, ♣10, ♠8, ♥6, ♥8 | two pairs
♦6, ♣10, ♠8, ♦6, ♥Q | pair
♦6, ♣10, ♠8, ♦6, ♥7 | pair
♦6, ♣10, ♠8, ♦6, ♥10 | two pairs
♦6, ♣10, ♠8, ♦6, ♦5 | pair
♦6, ♣10, ♠8, ♦6, ♣7 | pair
♦6, ♣10, ♠8, ♦6, ♦2 | pair
♦6, ♣10, ♠8, ♦6, ♥8 | two pairs
♦6, ♣10, ♠8, ♥Q, ♥10 | pair
♦6, ♣10, ♠8, ♥Q, ♥8 | pair
♦6, ♣10, ♠8, ♥7, ♥10 | pair
♦6, ♣10, ♠8, ♥7, ♣7 | pair
♦6, ♣10, ♠8, ♥7, ♥8 | pair
♦6, ♣10, ♠8, ♥10, ♦5 | pair
♦6, ♣10, ♠8, ♥10, ♣7 | pair
♦6, ♣10, ♠8, ♥10, ♦2 | pair
♦6, ♣10, ♠8, ♥10, ♥8 | two pairs
♦6, ♣10, ♠8, ♦5, ♥8 | pair
♦6, ♣10, ♠8, ♣7, ♥8 | pair
♦6, ♣10, ♠8, ♦2, ♥8 | pair
♦6, ♣10, ♥K, ♦A, ♥6 | pair
♦6, ♣10, ♥K, ♦A, ♦6 | pair
♦6, ♣10, ♥K, ♦A, ♥10 | pair
♦6, ♣10, ♥K, ♥6, ♦6 | three of a kind
♦6, ♣10, ♥K, ♥6, ♥Q | pair
♦6, ♣10, ♥K, ♥6, ♥7 | pair
♦6, ♣10, ♥K, ♥6, ♥10 | two pairs
♦6, ♣10, ♥K, ♥6, ♦5 | pair
♦6, ♣10, ♥K, ♥6, ♣7 | pair
♦6, ♣10, ♥K, ♥6, ♦2 | pair
♦6, ♣10, ♥K, ♥6, ♥8 | pair
♦6, ♣10, ♥K, ♦6, ♥Q | pair
♦6, ♣10, ♥K, ♦6, ♥7 | pair
♦6, ♣10, ♥K, ♦6, ♥10 | two pairs
♦6, ♣10, ♥K, ♦6, ♦5 | pair
♦6, ♣10, ♥K, ♦6, ♣7 | pair
♦6, ♣10, ♥K, ♦6, ♦2 | pair
♦6, ♣10, ♥K, ♦6, ♥8 | pair
♦6, ♣10, ♥K, ♥Q, ♥10 | pair
♦6, ♣10, ♥K, ♥7, ♥10 | pair
♦6, ♣10, ♥K, ♥7, ♣7 | pair
♦6, ♣10, ♥K, ♥10, ♦5 | pair
♦6, ♣10, ♥K, ♥10, ♣7 | pair
♦6, ♣10, ♥K, ♥10, ♦2 | pair
♦6, ♣10, ♥K, ♥10, ♥8 | pair
♦6, ♣10, ♦A, ♥6, ♦6 | three of a kind
♦6, ♣10, ♦A, ♥6, ♥Q | pair
♦6, ♣10, ♦A, ♥6, ♥7 | pair
♦6, ♣10, ♦A, ♥6, ♥10 | two pairs
♦6, ♣10, ♦A, ♥6, ♦5 | pair
♦6, ♣10, ♦A, ♥6, ♣7 | pair
♦6, ♣10, ♦A, ♥6, ♦2 | pair
♦6, ♣10, ♦A, ♥6, ♥8 | pair
♦6, ♣10, ♦A, ♦6, ♥Q | pair
♦6, ♣10, ♦A, ♦6, ♥7 | pair
♦6, ♣10, ♦A, ♦6, ♥10 | two pairs
♦6, ♣10, ♦A, ♦6, ♦5 | pair
♦6, ♣10, ♦A, ♦6, ♣7 | pair
♦6, ♣10, ♦A, ♦6, ♦2 | pair
♦6, ♣10, ♦A, ♦6, ♥8 | pair
♦6, ♣10, ♦A, ♥Q, ♥10 | pair
♦6, ♣10, ♦A, ♥7, ♥10 | pair
♦6, ♣10, ♦A, ♥7, ♣7 | pair
♦6, ♣10, ♦A, ♥10, ♦5 | pair
♦6, ♣10, ♦A, ♥10, ♣7 | pair
♦6, ♣10, ♦A, ♥10, ♦2 | pair
♦6, ♣10, ♦A, ♥10, ♥8 | pair
♦6, ♣10, ♥6, ♦6, ♥Q | three of a kind
♦6, ♣10, ♥6, ♦6, ♥7 | three of a kind
♦6, ♣10, ♥6, ♦6, ♥10 | fullhouse
♦6, ♣10, ♥6, ♦6, ♦5 | three of a kind
♦6, ♣10, ♥6, ♦6, ♣7 | three of a kind
♦6, ♣10, ♥6, ♦6, ♦2 | three of a kind
♦6, ♣10, ♥6, ♦6, ♥8 | three of a kind
♦6, ♣10, ♥6, ♥Q, ♥7 | pair
♦6, ♣10, ♥6, ♥Q, ♥10 | two pairs
♦6, ♣10, ♥6, ♥Q, ♦5 | pair
♦6, ♣10, ♥6, ♥Q, ♣7 | pair
♦6, ♣10, ♥6, ♥Q, ♦2 | pair
♦6, ♣10, ♥6, ♥Q, ♥8 | pair
♦6, ♣10, ♥6, ♥7, ♥10 | two pairs
♦6, ♣10, ♥6, ♥7, ♦5 | pair
♦6, ♣10, ♥6, ♥7, ♣7 | two pairs
♦6, ♣10, ♥6, ♥7, ♦2 | pair
♦6, ♣10, ♥6, ♥7, ♥8 | pair
♦6, ♣10, ♥6, ♥10, ♦5 | two pairs
♦6, ♣10, ♥6, ♥10, ♣7 | two pairs
♦6, ♣10, ♥6, ♥10, ♦2 | two pairs
♦6, ♣10, ♥6, ♥10, ♥8 | two pairs
♦6, ♣10, ♥6, ♦5, ♣7 | pair
♦6, ♣10, ♥6, ♦5, ♦2 | pair
♦6, ♣10, ♥6, ♦5, ♥8 | pair
♦6, ♣10, ♥6, ♣7, ♦2 | pair
♦6, ♣10, ♥6, ♣7, ♥8 | pair
♦6, ♣10, ♥6, ♦2, ♥8 | pair
♦6, ♣10, ♦6, ♥Q, ♥7 | pair
♦6, ♣10, ♦6, ♥Q, ♥10 | two pairs
♦6, ♣10, ♦6, ♥Q, ♦5 | pair
♦6, ♣10, ♦6, ♥Q, ♣7 | pair
♦6, ♣10, ♦6, ♥Q, ♦2 | pair
♦6, ♣10, ♦6, ♥Q, ♥8 | pair
♦6, ♣10, ♦6, ♥7, ♥10 | two pairs
♦6, ♣10, ♦6, ♥7, ♦5 | pair
♦6, ♣10, ♦6, ♥7, ♣7 | two pairs
♦6, ♣10, ♦6, ♥7, ♦2 | pair
♦6, ♣10, ♦6, ♥7, ♥8 | pair
♦6, ♣10, ♦6, ♥10, ♦5 | two pairs
♦6, ♣10, ♦6, ♥10, ♣7 | two pairs
♦6, ♣10, ♦6, ♥10, ♦2 | two pairs
♦6, ♣10, ♦6, ♥10, ♥8 | two pairs
♦6, ♣10, ♦6, ♦5, ♣7 | pair
♦6, ♣10, ♦6, ♦5, ♦2 | pair
♦6, ♣10, ♦6, ♦5, ♥8 | pair
♦6, ♣10, ♦6, ♣7, ♦2 | pair
♦6, ♣10, ♦6, ♣7, ♥8 | pair
♦6, ♣10, ♦6, ♦2, ♥8 | pair
♦6, ♣10, ♥Q, ♥7, ♥10 | pair
♦6, ♣10, ♥Q, ♥7, ♣7 | pair
♦6, ♣10, ♥Q, ♥10, ♦5 | pair
♦6, ♣10, ♥Q, ♥10, ♣7 | pair
♦6, ♣10, ♥Q, ♥10, ♦2 | pair
♦6, ♣10, ♥Q, ♥10, ♥8 | pair
♦6, ♣10, ♥7, ♥10, ♦5 | pair
♦6, ♣10, ♥7, ♥10, ♣7 | two pairs
♦6, ♣10, ♥7, ♥10, ♦2 | pair
♦6, ♣10, ♥7, ♥10, ♥8 | pair
♦6, ♣10, ♥7, ♦5, ♣7 | pair
♦6, ♣10, ♥7, ♣7, ♦2 | pair
♦6, ♣10, ♥7, ♣7, ♥8 | pair
♦6, ♣10, ♥10, ♦5, ♣7 | pair
♦6, ♣10, ♥10, ♦5, ♦2 | pair
♦6, ♣10, ♥10, ♦5, ♥8 | pair
♦6, ♣10, ♥10, ♣7, ♦2 | pair
♦6, ♣10, ♥10, ♣7, ♥8 | pair
♦6, ♣10, ♥10, ♦2, ♥8 | pair
♦6, ♠2, ♠8, ♥K, ♥6 | pair
♦6, ♠2, ♠8, ♥K, ♦6 | pair
♦6, ♠2, ♠8, ♥K, ♦2 | pair
♦6, ♠2, ♠8, ♥K, ♥8 | pair
♦6, ♠2, ♠8, ♦A, ♥6 | pair
♦6, ♠2, ♠8, ♦A, ♦6 | pair
♦6, ♠2, ♠8, ♦A, ♦2 | pair
♦6, ♠2, ♠8, ♦A, ♥8 | pair
♦6, ♠2, ♠8, ♥6, ♦6 | three of a kind
♦6, ♠2, ♠8, ♥6, ♥Q | pair
♦6, ♠2, ♠8, ♥6, ♥7 | pair
♦6, ♠2, ♠8, ♥6, ♥10 | pair
♦6, ♠2, ♠8, ♥6, ♦5 | pair
♦6, ♠2, ♠8, ♥6, ♣7 | pair
♦6, ♠2, ♠8, ♥6, ♦2 | two pairs
♦6, ♠2, ♠8, ♥6, ♥8 | two pairs
♦6, ♠2, ♠8, ♦6, ♥Q | pair
♦6, ♠2, ♠8, ♦6, ♥7 | pair
♦6, ♠2, ♠8, ♦6, ♥10 | pair
♦6, ♠2, ♠8, ♦6, ♦5 | pair
♦6, ♠2, ♠8, ♦6, ♣7 | pair
♦6, ♠2, ♠8, ♦6, ♦2 | two pairs
♦6, ♠2, ♠8, ♦6, ♥8 | two pairs
♦6, ♠2, ♠8, ♥Q, ♦2 | pair
♦6, ♠2, ♠8, ♥Q, ♥8 | pair
♦6, ♠2, ♠8, ♥7, ♣7 | pair
♦6, ♠2, ♠8, ♥7, ♦2 | pair
♦6, ♠2, ♠8, ♥7, ♥8 | pair
♦6, ♠2, ♠8, ♥10, ♦2 | pair
♦6, ♠2, ♠8, ♥10, ♥8 | pair
♦6, ♠2, ♠8, ♦5, ♦2 | pair
♦6, ♠2, ♠8, ♦5, ♥8 | pair
♦6, ♠2, ♠8, ♣7, ♦2 | pair
♦6, ♠2, ♠8, ♣7, ♥8 | pair
♦6, ♠2, ♠8, ♦2, ♥8 | two pairs
♦6, ♠2, ♥K, ♦A, ♥6 | pair
♦6, ♠2, ♥K, ♦A, ♦6 | pair
♦6, ♠2, ♥K, ♦A, ♦2 | pair
♦6, ♠2, ♥K, ♥6, ♦6 | three of a kind
♦6, ♠2, ♥K, ♥6, ♥Q | pair
♦6, ♠2, ♥K, ♥6, ♥7 | pair
♦6, ♠2, ♥K, ♥6, ♥10 | pair
♦6, ♠2, ♥K, ♥6, ♦5 | pair
♦6, ♠2, ♥K, ♥6, ♣7 | pair
♦6, ♠2, ♥K, ♥6, ♦2 | two pairs
♦6, ♠2, ♥K, ♥6, ♥8 | pair
♦6, ♠2, ♥K, ♦6, ♥Q | pair
♦6, ♠2, ♥K, ♦6, ♥7 | pair
♦6, ♠2, ♥K, ♦6, ♥10 | pair
♦6, ♠2, ♥K, ♦6, ♦5 | pair
♦6, ♠2, ♥K, ♦6, ♣7 | pair
♦6, ♠2, ♥K, ♦6, ♦2 | two pairs
♦6, ♠2, ♥K, ♦6, ♥8 | pair
♦6, ♠2, ♥K, ♥Q, ♦2 | pair
♦6, ♠2, ♥K, ♥7, ♣7 | pair
♦6, ♠2, ♥K, ♥7, ♦2 | pair
♦6, ♠2, ♥K, ♥10, ♦2 | pair
♦6, ♠2, ♥K, ♦5, ♦2 | pair
♦6, ♠2, ♥K, ♣7, ♦2 | pair
♦6, ♠2, ♥K, ♦2, ♥8 | pair
♦6, ♠2, ♦A, ♥6, ♦6 | three of a kind
♦6, ♠2, ♦A, ♥6, ♥Q | pair
♦6, ♠2, ♦A, ♥6, ♥7 | pair
♦6, ♠2, ♦A, ♥6, ♥10 | pair
♦6, ♠2, ♦A, ♥6, ♦5 | pair
♦6, ♠2, ♦A, ♥6, ♣7 | pair
♦6, ♠2, ♦A, ♥6, ♦2 | two pairs
♦6, ♠2, ♦A, ♥6, ♥8 | pair
♦6, ♠2, ♦A, ♦6, ♥Q | pair
♦6, ♠2, ♦A, ♦6, ♥7 | pair
♦6, ♠2, ♦A, ♦6, ♥10 | pair
♦6, ♠2, ♦A, ♦6, ♦5 | pair
♦6, ♠2, ♦A, ♦6, ♣7 | pair
♦6, ♠2, ♦A, ♦6, ♦2 | two pairs
♦6, ♠2, ♦A, ♦6, ♥8 | pair
♦6, ♠2, ♦A, ♥Q, ♦2 | pair
♦6, ♠2, ♦A, ♥7, ♣7 | pair
♦6, ♠2, ♦A, ♥7, ♦2 | pair
♦6, ♠2, ♦A, ♥10, ♦2 | pair
♦6, ♠2, ♦A, ♦5, ♦2 | pair
♦6, ♠2, ♦A, ♣7, ♦2 | pair
♦6, ♠2, ♦A, ♦2, ♥8 | pair
♦6, ♠2, ♥6, ♦6, ♥Q | three of a kind
♦6, ♠2, ♥6, ♦6, ♥7 | three of a kind
♦6, ♠2, ♥6, ♦6, ♥10 | three of a kind
♦6, ♠2, ♥6, ♦6, ♦5 | three of a kind
♦6, ♠2, ♥6, ♦6, ♣7 | three of a kind
♦6, ♠2, ♥6, ♦6, ♦2 | fullhouse
♦6, ♠2, ♥6, ♦6, ♥8 | three of a kind
♦6, ♠2, ♥6, ♥Q, ♥7 | pair
♦6, ♠2, ♥6, ♥Q, ♥10 | pair
♦6, ♠2, ♥6, ♥Q, ♦5 | pair
♦6, ♠2, ♥6, ♥Q, ♣7 | pair
♦6, ♠2, ♥6, ♥Q, ♦2 | two pairs
♦6, ♠2, ♥6, ♥Q, ♥8 | pair
♦6, ♠2, ♥6, ♥7, ♥10 | pair
♦6, ♠2, ♥6, ♥7, ♦5 | pair
♦6, ♠2, ♥6, ♥7, ♣7 | two pairs
♦6, ♠2, ♥6, ♥7, ♦2 | two pairs
♦6, ♠2, ♥6, ♥7, ♥8 | pair
♦6, ♠2, ♥6, ♥10, ♦5 | pair
♦6, ♠2, ♥6, ♥10, ♣7 | pair
♦6, ♠2, ♥6, ♥10, ♦2 | two pairs
♦6, ♠2, ♥6, ♥10, ♥8 | pair
♦6, ♠2, ♥6, ♦5, ♣7 | pair
♦6, ♠2, ♥6, ♦5, ♦2 | two pairs
♦6, ♠2, ♥6, ♦5, ♥8 | pair
♦6, ♠2, ♥6, ♣7, ♦2 | two pairs
♦6, ♠2, ♥6, ♣7, ♥8 | pair
♦6, ♠2, ♥6, ♦2, ♥8 | two pairs
♦6, ♠2, ♦6, ♥Q, ♥7 | pair
♦6, ♠2, ♦6, ♥Q, ♥10 | pair
♦6, ♠2, ♦6, ♥Q, ♦5 | pair
♦6, ♠2, ♦6, ♥Q, ♣7 | pair
♦6, ♠2, ♦6, ♥Q, ♦2 | two pairs
