♥8, ♣4, ♥7, ♥K, ♠8 | pair
♥8, ♣4, ♠8, ♠3, ♥9 | pair
♥8, ♣4, ♠8, ♠4, ♥9 | two pairs
♥8, ♣4, ♥10, ♣A, ♦A | pair
♥8, ♣4, ♥10, ♣A, ♥4 | pair
♥8, ♣4, ♥10, ♣A, ♥8 | pair
♥8, ♣4, ♥10, ♣A, ♠4 | pair
♥8, ♣4, ♥10, ♦A, ♥4 | pair
♥8, ♣4, ♥10, ♦A, ♥8 | pair
♥8, ♣4, ♥10, ♦A, ♠4 | pair
♥8, ♣4, ♥10, ♠9, ♥4 | pair
♥8, ♣4, ♥10, ♠9, ♥8 | pair
♥8, ♣4, ♥10, ♠9, ♠4 | pair
♥8, ♣4, ♥10, ♠9, ♥9 | pair
♥8, ♣4, ♥10, ♥4, ♥8 | two pairs
♥8, ♣4, ♥10, ♥4, ♠3 | pair
♥8, ♣4, ♥10, ♥4, ♠4 | three of a kind
♥8, ♣4, ♥10, ♥4, ♥9 | pair
♥8, ♣4, ♥10, ♥8, ♠3 | pair
♥8, ♣4, ♥10, ♥8, ♠4 | two pairs
♥8, ♣4, ♥10, ♥8, ♥9 | pair
♥8, ♣4, ♥10, ♠3, ♠4 | pair
♥8, ♣4, ♥10, ♠4, ♥9 | pair
♥8, ♣4, ♣A, ♦A, ♠9 | pair
♥8, ♣4, ♣A, ♦A, ♥4 | two pairs
♥8, ♣4, ♣A, ♦A, ♥8 | two pairs
♥8, ♣4, ♣A, ♦A, ♠3 | pair
♥8, ♣4, ♣A, ♦A, ♠4 | two pairs
♥8, ♣4, ♣A, ♦A, ♥9 | pair
♥8, ♣4, ♣A, ♠9, ♥4 | pair
♥8, ♣4, ♣A, ♠9, ♥8 | pair
♥8, ♣4, ♣A, ♠9, ♠4 | pair
♥8, ♣4, ♣A, ♠9, ♥9 | pair
♥8, ♣4, ♣A, ♥4, ♥8 | two pairs
♥8, ♣4, ♣A, ♥4, ♠3 | pair
♥8, ♣4, ♣A, ♥4, ♠4 | three of a kind
♥8, ♣4, ♣A, ♥4, ♥9 | pair
♥8, ♣4, ♣A, ♥8, ♠3 | pair
♥8, ♣4, ♣A, ♥8, ♠4 | two pairs
♥8, ♣4, ♣A, ♥8, ♥9 | pair
♥8, ♣4, ♣A, ♠3, ♠4 | pair
♥8, ♣4, ♣A, ♠4, ♥9 | pair
♥8, ♣4, ♦A, ♠9, ♥4 | pair
♥8, ♣4, ♦A, ♠9, ♥8 | pair
♥8, ♣4, ♦A, ♠9, ♠4 | pair
♥8, ♣4, ♦A, ♠9, ♥9 | pair
♥8, ♣4, ♦A, ♥4, ♥8 | two pairs
♥8, ♣4, ♦A, ♥4, ♠3 | pair
♥8, ♣4, ♦A, ♥4, ♠4 | three of a kind
♥8, ♣4, ♦A, ♥4, ♥9 | pair
♥8, ♣4, ♦A, ♥8, ♠3 | pair
♥8, ♣4, ♦A, ♥8, ♠4 | two pairs
♥8, ♣4, ♦A, ♥8, ♥9 | pair
♥8, ♣4, ♦A, ♠3, ♠4 | pair
♥8, ♣4, ♦A, ♠4, ♥9 | pair
♥8, ♣4, ♠9, ♥4, ♥8 | two pairs
♥8, ♣4, ♠9, ♥4, ♠3 | pair
♥8, ♣4, ♠9, ♥4, ♠4 | three of a kind
♥8, ♣4, ♠9, ♥4, ♥9 | two pairs
♥8, ♣4, ♠9, ♥8, ♠3 | pair
♥8, ♣4, ♠9, ♥8, ♠4 | two pairs
♥8, ♣4, ♠9, ♥8, ♥9 | two pairs
♥8, ♣4, ♠9, ♠3, ♠4 | pair
♥8, ♣4, ♠9, ♠3, ♥9 | pair
♥8, ♣4, ♠9, ♠4, ♥9 | two pairs
♥8, ♣4, ♥4, ♥8, ♠3 | two pairs
♥8, ♣4, ♥4, ♥8, ♠4 | fullhouse
♥8, ♣4, ♥4, ♥8, ♥9 | two pairs
♥8, ♣4, ♥4, ♠3, ♠4 | three of a kind
♥8, ♣4, ♥4, ♠3, ♥9 | pair
♥8, ♣4, ♥4, ♠4, ♥9 | three of a kind
♥8, ♣4, ♥8, ♠3, ♠4 | two pairs
♥8, ♣4, ♥8, ♠3, ♥9 | pair
♥8, ♣4, ♥8, ♠4, ♥9 | two pairs
♥8, ♣4, ♠3, ♠4, ♥9 | pair
♥8, ♥7, ♥K, ♠8, ♥10 | pair
♥8, ♥7, ♥K, ♠8, ♣A | pair
♥8, ♥7, ♥K, ♠8, ♦A | pair
♥8, ♥7, ♥K, ♠8, ♠9 | pair
♥8, ♥7, ♥K, ♠8, ♥4 | pair
♥8, ♥7, ♥K, ♠8, ♥8 | three of a kind
♥8, ♥7, ♥K, ♠8, ♠3 | pair
♥8, ♥7, ♥K, ♠8, ♠4 | pair
♥8, ♥7, ♥K, ♠8, ♥9 | pair
♥8, ♥7, ♥K, ♥10, ♥4 | flush
♥8, ♥7, ♥K, ♥10, ♥8 | flush
♥8, ♥7, ♥K, ♥10, ♥9 | flush
♥8, ♥7, ♥K, ♣A, ♦A | pair
♥8, ♥7, ♥K, ♣A, ♥8 | pair
♥8, ♥7, ♥K, ♦A, ♥8 | pair
♥8, ♥7, ♥K, ♠9, ♥8 | pair
♥8, ♥7, ♥K, ♠9, ♥9 | pair
♥8, ♥7, ♥K, ♥4, ♥8 | flush
♥8, ♥7, ♥K, ♥4, ♠4 | pair
♥8, ♥7, ♥K, ♥4, ♥9 | flush
♥8, ♥7, ♥K, ♥8, ♠3 | pair
♥8, ♥7, ♥K, ♥8, ♠4 | pair
♥8, ♥7, ♥K, ♥8, ♥9 | flush
♥8, ♥7, ♠8, ♥10, ♣A | pair
♥8, ♥7, ♠8, ♥10, ♦A | pair
♥8, ♥7, ♠8, ♥10, ♠9 | pair
♥8, ♥7, ♠8, ♥10, ♥4 | pair
♥8, ♥7, ♠8, ♥10, ♥8 | three of a kind
♥8, ♥7, ♠8, ♥10, ♠3 | pair
♥8, ♥7, ♠8, ♥10, ♠4 | pair
♥8, ♥7, ♠8, ♥10, ♥9 | pair
♥8, ♥7, ♠8, ♣A, ♦A | two pairs
♥8, ♥7, ♠8, ♣A, ♠9 | pair
♥8, ♥7, ♠8, ♣A, ♥4 | pair
♥8, ♥7, ♠8, ♣A, ♥8 | three of a kind
♥8, ♥7, ♠8, ♣A, ♠3 | pair
♥8, ♥7, ♠8, ♣A, ♠4 | pair
♥8, ♥7, ♠8, ♣A, ♥9 | pair
♥8, ♥7, ♠8, ♦A, ♠9 | pair
♥8, ♥7, ♠8, ♦A, ♥4 | pair
♥8, ♥7, ♠8, ♦A, ♥8 | three of a kind
♥8, ♥7, ♠8, ♦A, ♠3 | pair
♥8, ♥7, ♠8, ♦A, ♠4 | pair
♥8, ♥7, ♠8, ♦A, ♥9 | pair
♥8, ♥7, ♠8, ♠9, ♥4 | pair
♥8, ♥7, ♠8, ♠9, ♥8 | three of a kind
♥8, ♥7, ♠8, ♠9, ♠3 | pair
♥8, ♥7, ♠8, ♠9, ♠4 | pair
♥8, ♥7, ♠8, ♠9, ♥9 | two pairs
♥8, ♥7, ♠8, ♥4, ♥8 | three of a kind
♥8, ♥7, ♠8, ♥4, ♠3 | pair
♥8, ♥7, ♠8, ♥4, ♠4 | two pairs
♥8, ♥7, ♠8, ♥4, ♥9 | pair
♥8, ♥7, ♠8, ♥8, ♠3 | three of a kind
♥8, ♥7, ♠8, ♥8, ♠4 | three of a kind
♥8, ♥7, ♠8, ♥8, ♥9 | three of a kind
♥8, ♥7, ♠8, ♠3, ♠4 | pair
♥8, ♥7, ♠8, ♠3, ♥9 | pair
♥8, ♥7, ♠8, ♠4, ♥9 | pair
♥8, ♥7, ♥10, ♣A, ♦A | pair
♥8, ♥7, ♥10, ♣A, ♥8 | pair
♥8, ♥7, ♥10, ♦A, ♥8 | pair
♥8, ♥7, ♥10, ♠9, ♥8 | pair
♥8, ♥7, ♥10, ♠9, ♥9 | pair
♥8, ♥7, ♥10, ♥4, ♥8 | flush
♥8, ♥7, ♥10, ♥4, ♠4 | pair
♥8, ♥7, ♥10, ♥4, ♥9 | flush
♥8, ♥7, ♥10, ♥8, ♠3 | pair
♥8, ♥7, ♥10, ♥8, ♠4 | pair
♥8, ♥7, ♥10, ♥8, ♥9 | flush
♥8, ♥7, ♣A, ♦A, ♠9 | pair
♥8, ♥7, ♣A, ♦A, ♥4 | pair
♥8, ♥7, ♣A, ♦A, ♥8 | two pairs
♥8, ♥7, ♣A, ♦A, ♠3 | pair
♥8, ♥7, ♣A, ♦A, ♠4 | pair
♥8, ♥7, ♣A, ♦A, ♥9 | pair
♥8, ♥7, ♣A, ♠9, ♥8 | pair
♥8, ♥7, ♣A, ♠9, ♥9 | pair
♥8, ♥7, ♣A, ♥4, ♥8 | pair
♥8, ♥7, ♣A, ♥4, ♠4 | pair
♥8, ♥7, ♣A, ♥8, ♠3 | pair
♥8, ♥7, ♣A, ♥8, ♠4 | pair
♥8, ♥7, ♣A, ♥8, ♥9 | pair
♥8, ♥7, ♦A, ♠9, ♥8 | pair
♥8, ♥7, ♦A, ♠9, ♥9 | pair
♥8, ♥7, ♦A, ♥4, ♥8 | pair
♥8, ♥7, ♦A, ♥4, ♠4 | pair
♥8, ♥7, ♦A, ♥8, ♠3 | pair
♥8, ♥7, ♦A, ♥8, ♠4 | pair
♥8, ♥7, ♦A, ♥8, ♥9 | pair
♥8, ♥7, ♠9, ♥4, ♥8 | pair
♥8, ♥7, ♠9, ♥4, ♠4 | pair
♥8, ♥7, ♠9, ♥4, ♥9 | pair
♥8, ♥7, ♠9, ♥8, ♠3 | pair
♥8, ♥7, ♠9, ♥8, ♠4 | pair
♥8, ♥7, ♠9, ♥8, ♥9 | two pairs
♥8, ♥7, ♠9, ♠3, ♥9 | pair
♥8, ♥7, ♠9, ♠4, ♥9 | pair
♥8, ♥7, ♥4, ♥8, ♠3 | pair
♥8, ♥7, ♥4, ♥8, ♠4 | two pairs
♥8, ♥7, ♥4, ♥8, ♥9 | flush
♥8, ♥7, ♥4, ♠3, ♠4 | pair
♥8, ♥7, ♥4, ♠4, ♥9 | pair
♥8, ♥7, ♥8, ♠3, ♠4 | pair
♥8, ♥7, ♥8, ♠3, ♥9 | pair
♥8, ♥7, ♥8, ♠4, ♥9 | pair
♥8, ♥K, ♠8, ♥10, ♣A | pair
♥8, ♥K, ♠8, ♥10, ♦A | pair
♥8, ♥K, ♠8, ♥10, ♠9 | pair
♥8, ♥K, ♠8, ♥10, ♥4 | pair
♥8, ♥K, ♠8, ♥10, ♥8 | three of a kind
♥8, ♥K, ♠8, ♥10, ♠3 | pair
♥8, ♥K, ♠8, ♥10, ♠4 | pair
♥8, ♥K, ♠8, ♥10, ♥9 | pair
♥8, ♥K, ♠8, ♣A, ♦A | two pairs
♥8, ♥K, ♠8, ♣A, ♠9 | pair
♥8, ♥K, ♠8, ♣A, ♥4 | pair
♥8, ♥K, ♠8, ♣A, ♥8 | three of a kind
♥8, ♥K, ♠8, ♣A, ♠3 | pair
♥8, ♥K, ♠8, ♣A, ♠4 | pair
♥8, ♥K, ♠8, ♣A, ♥9 | pair
♥8, ♥K, ♠8, ♦A, ♠9 | pair
♥8, ♥K, ♠8, ♦A, ♥4 | pair
♥8, ♥K, ♠8, ♦A, ♥8 | three of a kind
♥8, ♥K, ♠8, ♦A, ♠3 | pair
♥8, ♥K, ♠8, ♦A, ♠4 | pair
♥8, ♥K, ♠8, ♦A, ♥9 | pair
♥8, ♥K, ♠8, ♠9, ♥4 | pair
♥8, ♥K, ♠8, ♠9, ♥8 | three of a kind
♥8, ♥K, ♠8, ♠9, ♠3 | pair
♥8, ♥K, ♠8, ♠9, ♠4 | pair
♥8, ♥K, ♠8, ♠9, ♥9 | two pairs
♥8, ♥K, ♠8, ♥4, ♥8 | three of a kind
♥8, ♥K, ♠8, ♥4, ♠3 | pair
♥8, ♥K, ♠8, ♥4, ♠4 | two pairs
♥8, ♥K, ♠8, ♥4, ♥9 | pair
♥8, ♥K, ♠8, ♥8, ♠3 | three of a kind
♥8, ♥K, ♠8, ♥8, ♠4 | three of a kind
♥8, ♥K, ♠8, ♥8, ♥9 | three of a kind
♥8, ♥K, ♠8, ♠3, ♠4 | pair
♥8, ♥K, ♠8, ♠3, ♥9 | pair
♥8, ♥K, ♠8, ♠4, ♥9 | pair
♥8, ♥K, ♥10, ♣A, ♦A | pair
♥8, ♥K, ♥10, ♣A, ♥8 | pair
♥8, ♥K, ♥10, ♦A, ♥8 | pair
♥8, ♥K, ♥10, ♠9, ♥8 | pair
♥8, ♥K, ♥10, ♠9, ♥9 | pair
♥8, ♥K, ♥10, ♥4, ♥8 | flush
♥8, ♥K, ♥10, ♥4, ♠4 | pair
♥8, ♥K, ♥10, ♥4, ♥9 | flush
♥8, ♥K, ♥10, ♥8, ♠3 | pair
♥8, ♥K, ♥10, ♥8, ♠4 | pair
♥8, ♥K, ♥10, ♥8, ♥9 | flush
♥8, ♥K, ♣A, ♦A, ♠9 | pair
♥8, ♥K, ♣A, ♦A, ♥4 | pair
♥8, ♥K, ♣A, ♦A, ♥8 | two pairs
♥8, ♥K, ♣A, ♦A, ♠3 | pair
♥8, ♥K, ♣A, ♦A, ♠4 | pair
♥8, ♥K, ♣A, ♦A, ♥9 | pair
♥8, ♥K, ♣A, ♠9, ♥8 | pair
♥8, ♥K, ♣A, ♠9, ♥9 | pair
♥8, ♥K, ♣A, ♥4, ♥8 | pair
♥8, ♥K, ♣A, ♥4, ♠4 | pair
♥8, ♥K, ♣A, ♥8, ♠3 | pair
♥8, ♥K, ♣A, ♥8, ♠4 | pair
♥8, ♥K, ♣A, ♥8, ♥9 | pair
♥8, ♥K, ♦A, ♠9, ♥8 | pair
♥8, ♥K, ♦A, ♠9, ♥9 | pair
♥8, ♥K, ♦A, ♥4, ♥8 | pair
♥8, ♥K, ♦A, ♥4, ♠4 | pair
♥8, ♥K, ♦A, ♥8, ♠3 | pair
♥8, ♥K, ♦A, ♥8, ♠4 | pair
♥8, ♥K, ♦A, ♥8, ♥9 | pair
♥8, ♥K, ♠9, ♥4, ♥8 | pair
♥8, ♥K, ♠9, ♥4, ♠4 | pair
♥8, ♥K, ♠9, ♥4, ♥9 | pair
♥8, ♥K, ♠9, ♥8, ♠3 | pair
♥8, ♥K, ♠9, ♥8, ♠4 | pair
♥8, ♥K, ♠9, ♥8, ♥9 | two pairs
♥8, ♥K, ♠9, ♠3, ♥9 | pair
♥8, ♥K, ♠9, ♠4, ♥9 | pair
♥8, ♥K, ♥4, ♥8, ♠3 | pair
♥8, ♥K, ♥4, ♥8, ♠4 | two pairs
♥8, ♥K, ♥4, ♥8, ♥9 | flush
♥8, ♥K, ♥4, ♠3, ♠4 | pair
♥8, ♥K, ♥4, ♠4, ♥9 | pair
♥8, ♥K, ♥8, ♠3, ♠4 | pair
♥8, ♥K, ♥8, ♠3, ♥9 | pair
♥8, ♥K, ♥8, ♠4, ♥9 | pair
♥8, ♠8, ♥10, ♣A, ♦A | two pairs
♥8, ♠8, ♥10, ♣A, ♠9 | pair
♥8, ♠8, ♥10, ♣A, ♥4 | pair
♥8, ♠8, ♥10, ♣A, ♥8 | three of a kind
♥8, ♠8, ♥10, ♣A, ♠3 | pair
♥8, ♠8, ♥10, ♣A, ♠4 | pair
♥8, ♠8, ♥10, ♣A, ♥9 | pair
♥8, ♠8, ♥10, ♦A, ♠9 | pair
♥8, ♠8, ♥10, ♦A, ♥4 | pair
♥8, ♠8, ♥10, ♦A, ♥8 | three of a kind
♥8, ♠8, ♥10, ♦A, ♠3 | pair
♥8, ♠8, ♥10, ♦A, ♠4 | pair
♥8, ♠8, ♥10, ♦A, ♥9 | pair
♥8, ♠8, ♥10, ♠9, ♥4 | pair
♥8, ♠8, ♥10, ♠9, ♥8 | three of a kind
♥8, ♠8, ♥10, ♠9, ♠3 | pair
♥8, ♠8, ♥10, ♠9, ♠4 | pair
♥8, ♠8, ♥10, ♠9, ♥9 | two pairs
♥8, ♠8, ♥10, ♥4, ♥8 | three of a kind
♥8, ♠8, ♥10, ♥4, ♠3 | pair
♥8, ♠8, ♥10, ♥4, ♠4 | two pairs
♥8, ♠8, ♥10, ♥4, ♥9 | pair
♥8, ♠8, ♥10, ♥8, ♠3 | three of a kind
♥8, ♠8, ♥10, ♥8, ♠4 | three of a kind
♥8, ♠8, ♥10, ♥8, ♥9 | three of a kind
♥8, ♠8, ♥10, ♠3, ♠4 | pair
♥8, ♠8, ♥10, ♠3, ♥9 | pair
♥8, ♠8, ♥10, ♠4, ♥9 | pair
♥8, ♠8, ♣A, ♦A, ♠9 | two pairs
♥8, ♠8, ♣A, ♦A, ♥4 | two pairs
♥8, ♠8, ♣A, ♦A, ♥8 | fullhouse
♥8, ♠8, ♣A, ♦A, ♠3 | two pairs
♥8, ♠8, ♣A, ♦A, ♠4 | two pairs
♥8, ♠8, ♣A, ♦A, ♥9 | two pairs
♥8, ♠8, ♣A, ♠9, ♥4 | pair
♥8, ♠8, ♣A, ♠9, ♥8 | three of a kind
♥8, ♠8, ♣A, ♠9, ♠3 | pair
♥8, ♠8, ♣A, ♠9, ♠4 | pair
♥8, ♠8, ♣A, ♠9, ♥9 | two pairs
♥8, ♠8, ♣A, ♥4, ♥8 | three of a kind
♥8, ♠8, ♣A, ♥4, ♠3 | pair
♥8, ♠8, ♣A, ♥4, ♠4 | two pairs
♥8, ♠8, ♣A, ♥4, ♥9 | pair
♥8, ♠8, ♣A, ♥8, ♠3 | three of a kind
♥8, ♠8, ♣A, ♥8, ♠4 | three of a kind
♥8, ♠8, ♣A, ♥8, ♥9 | three of a kind
♥8, ♠8, ♣A, ♠3, ♠4 | pair
♥8, ♠8, ♣A, ♠3, ♥9 | pair
♥8, ♠8, ♣A, ♠4, ♥9 | pair
♥8, ♠8, ♦A, ♠9, ♥4 | pair
♥8, ♠8, ♦A, ♠9, ♥8 | three of a kind
♥8, ♠8, ♦A, ♠9, ♠3 | pair
♥8, ♠8, ♦A, ♠9, ♠4 | pair
♥8, ♠8, ♦A, ♠9, ♥9 | two pairs
♥8, ♠8, ♦A, ♥4, ♥8 | three of a kind
♥8, ♠8, ♦A, ♥4, ♠3 | pair
♥8, ♠8, ♦A, ♥4, ♠4 | two pairs
♥8, ♠8, ♦A, ♥4, ♥9 | pair
♥8, ♠8, ♦A, ♥8, ♠3 | three of a kind
♥8, ♠8, ♦A, ♥8, ♠4 | three of a kind
♥8, ♠8, ♦A, ♥8, ♥9 | three of a kind
♥8, ♠8, ♦A, ♠3, ♠4 | pair
♥8, ♠8, ♦A, ♠3, ♥9 | pair
♥8, ♠8, ♦A, ♠4, ♥9 | pair
♥8, ♠8, ♠9, ♥4, ♥8 | three of a kind
♥8, ♠8, ♠9, ♥4, ♠3 | pair
♥8, ♠8, ♠9, ♥4, ♠4 | two pairs
♥8, ♠8, ♠9, ♥4, ♥9 | two pairs
♥8, ♠8, ♠9, ♥8, ♠3 | three of a kind
♥8, ♠8, ♠9, ♥8, ♠4 | three of a kind
♥8, ♠8, ♠9, ♥8, ♥9 | fullhouse
♥8, ♠8, ♠9, ♠3, ♠4 | pair
♥8, ♠8, ♠9, ♠3, ♥9 | two pairs
♥8, ♠8, ♠9, ♠4, ♥9 | two pairs
♥8, ♠8, ♥4, ♥8, ♠3 | three of a kind
♥8, ♠8, ♥4, ♥8, ♠4 | fullhouse
♥8, ♠8, ♥4, ♥8, ♥9 | three of a kind
♥8, ♠8, ♥4, ♠3, ♠4 | two pairs
♥8, ♠8, ♥4, ♠3, ♥9 | pair
♥8, ♠8, ♥4, ♠4, ♥9 | two pairs
♥8, ♠8, ♥8, ♠3, ♠4 | three of a kind
♥8, ♠8, ♥8, ♠3, ♥9 | three of a kind
♥8, ♠8, ♥8, ♠4, ♥9 | three of a kind
♥8, ♠8, ♠3, ♠4, ♥9 | pair
♥8, ♥10, ♣A, ♦A, ♠9 | pair
♥8, ♥10, ♣A, ♦A, ♥4 | pair
♥8, ♥10, ♣A, ♦A, ♥8 | two pairs
♥8, ♥10, ♣A, ♦A, ♠3 | pair
♥8, ♥10, ♣A, ♦A, ♠4 | pair
♥8, ♥10, ♣A, ♦A, ♥9 | pair
♥8, ♥10, ♣A, ♠9, ♥8 | pair
♥8, ♥10, ♣A, ♠9, ♥9 | pair
♥8, ♥10, ♣A, ♥4, ♥8 | pair
♥8, ♥10, ♣A, ♥4, ♠4 | pair
♥8, ♥10, ♣A, ♥8, ♠3 | pair
♥8, ♥10, ♣A, ♥8, ♠4 | pair
♥8, ♥10, ♣A, ♥8, ♥9 | pair
♥8, ♥10, ♦A, ♠9, ♥8 | pair
♥8, ♥10, ♦A, ♠9, ♥9 | pair
♥8, ♥10, ♦A, ♥4, ♥8 | pair
♥8, ♥10, ♦A, ♥4, ♠4 | pair
♥8, ♥10, ♦A, ♥8, ♠3 | pair
♥8, ♥10, ♦A, ♥8, ♠4 | pair
♥8, ♥10, ♦A, ♥8, ♥9 | pair
♥8, ♥10, ♠9, ♥4, ♥8 | pair
♥8, ♥10, ♠9, ♥4, ♠4 | pair
♥8, ♥10, ♠9, ♥4, ♥9 | pair
♥8, ♥10, ♠9, ♥8, ♠3 | pair
♥8, ♥10, ♠9, ♥8, ♠4 | pair
♥8, ♥10, ♠9, ♥8, ♥9 | two pairs
♥8, ♥10, ♠9, ♠3, ♥9 | pair
♥8, ♥10, ♠9, ♠4, ♥9 | pair
♥8, ♥10, ♥4, ♥8, ♠3 | pair
♥8, ♥10, ♥4, ♥8, ♠4 | two pairs
♥8, ♥10, ♥4, ♥8, ♥9 | flush
♥8, ♥10, ♥4, ♠3, ♠4 | pair
♥8, ♥10, ♥4, ♠4, ♥9 | pair
♥8, ♥10, ♥8, ♠3, ♠4 | pair
♥8, ♥10, ♥8, ♠3, ♥9 | pair
♥8, ♥10, ♥8, ♠4, ♥9 | pair
♥8, ♣A, ♦A, ♠9, ♥4 | pair
♥8, ♣A, ♦A, ♠9, ♥8 | two pairs
