♥A, ♥A, ♠7, ♦J, ♣5 | pair
♥A, ♥A, ♠7, ♠K, ♠6 | pair
♥A, ♥A, ♠7, ♣J, ♠6 | pair
♥A, ♥A, ♦J, ♣5, ♥3 | pair
♥A, ♥A, ♦J, ♣5, ♦9 | pair
♥A, ♥A, ♦J, ♣5, ♣8 | pair
♥A, ♥A, ♦J, ♣5, ♣Q | pair
♥A, ♥A, ♦J, ♣5, ♣Q | pair
♥A, ♥A, ♦J, ♣5, ♣7 | pair
♥A, ♥A, ♦J, ♣5, ♣6 | pair
♥A, ♥A, ♦J, ♣5, ♠4 | pair
♥A, ♥A, ♦J, ♣5, ♠K | pair
♥A, ♥A, ♦J, ♣5, ♣J | two pairs
♥A, ♥A, ♦J, ♣5, ♠6 | pair
♥A, ♥A, ♦J, ♥3, ♦9 | pair
♥A, ♥A, ♦J, ♥3, ♣8 | pair
♥A, ♥A, ♦J, ♥3, ♣Q | pair
♥A, ♥A, ♦J, ♥3, ♣Q | pair
♥A, ♥A, ♦J, ♥3, ♣7 | pair
♥A, ♥A, ♦J, ♥3, ♣6 | pair
♥A, ♥A, ♦J, ♥3, ♠4 | pair
♥A, ♥A, ♦J, ♥3, ♠K | pair
♥A, ♥A, ♦J, ♥3, ♣J | two pairs
♥A, ♥A, ♦J, ♥3, ♠6 | pair
♥A, ♥A, ♦J, ♦9, ♣8 | pair
♥A, ♥A, ♦J, ♦9, ♣Q | pair
♥A, ♥A, ♦J, ♦9, ♣Q | pair
♥A, ♥A, ♦J, ♦9, ♣7 | pair
♥A, ♥A, ♦J, ♦9, ♣6 | pair
♥A, ♥A, ♦J, ♦9, ♠4 | pair
♥A, ♥A, ♦J, ♦9, ♠K | pair
♥A, ♥A, ♦J, ♦9, ♣J | two pairs
♥A, ♥A, ♦J, ♦9, ♠6 | pair
♥A, ♥A, ♦J, ♣8, ♣Q | pair
♥A, ♥A, ♦J, ♣8, ♣Q | pair
♥A, ♥A, ♦J, ♣8, ♣7 | pair
♥A, ♥A, ♦J, ♣8, ♣6 | pair
♥A, ♥A, ♦J, ♣8, ♠4 | pair
♥A, ♥A, ♦J, ♣8, ♠K | pair
♥A, ♥A, ♦J, ♣8, ♣J | two pairs
♥A, ♥A, ♦J, ♣8, ♠6 | pair
♥A, ♥A, ♦J, ♣Q, ♣Q | two pairs
♥A, ♥A, ♦J, ♣Q, ♣7 | pair
♥A, ♥A, ♦J, ♣Q, ♣6 | pair
♥A, ♥A, ♦J, ♣Q, ♠4 | pair
♥A, ♥A, ♦J, ♣Q, ♠K | pair
♥A, ♥A, ♦J, ♣Q, ♣J | two pairs
♥A, ♥A, ♦J, ♣Q, ♠6 | pair
♥A, ♥A, ♦J, ♣Q, ♣7 | pair
♥A, ♥A, ♦J, ♣Q, ♣6 | pair
♥A, ♥A, ♦J, ♣Q, ♠4 | pair
♥A, ♥A, ♦J, ♣Q, ♠K | pair
♥A, ♥A, ♦J, ♣Q, ♣J | two pairs
♥A, ♥A, ♦J, ♣Q, ♠6 | pair
♥A, ♥A, ♦J, ♣7, ♣6 | pair
♥A, ♥A, ♦J, ♣7, ♠4 | pair
♥A, ♥A, ♦J, ♣7, ♠K | pair
♥A, ♥A, ♦J, ♣7, ♣J | two pairs
♥A, ♥A, ♦J, ♣7, ♠6 | pair
♥A, ♥A, ♦J, ♣6, ♠4 | pair
♥A, ♥A, ♦J, ♣6, ♠K | pair
♥A, ♥A, ♦J, ♣6, ♣J | two pairs
♥A, ♥A, ♦J, ♣6, ♠6 | two pairs
♥A, ♥A, ♦J, ♠4, ♠K | pair
♥A, ♥A, ♦J, ♠4, ♣J | two pairs
♥A, ♥A, ♦J, ♠4, ♠6 | pair
♥A, ♥A, ♦J, ♠K, ♣J | two pairs
♥A, ♥A, ♦J, ♠K, ♠6 | pair
♥A, ♥A, ♦J, ♣J, ♠6 | two pairs
♥A, ♥A, ♣5, ♥3, ♦9 | pair
♥A, ♥A, ♣5, ♥3, ♣8 | pair
♥A, ♥A, ♣5, ♥3, ♣Q | pair
♥A, ♥A, ♣5, ♥3, ♣Q | pair
♥A, ♥A, ♣5, ♥3, ♣7 | pair
♥A, ♥A, ♣5, ♥3, ♣6 | pair
♥A, ♥A, ♣5, ♥3, ♠4 | pair
♥A, ♥A, ♣5, ♥3, ♠K | pair
♥A, ♥A, ♣5, ♥3, ♣J | pair
♥A, ♥A, ♣5, ♥3, ♠6 | pair
♥A, ♥A, ♣5, ♦9, ♣8 | pair
♥A, ♥A, ♣5, ♦9, ♣Q | pair
♥A, ♥A, ♣5, ♦9, ♣Q | pair
♥A, ♥A, ♣5, ♦9, ♣7 | pair
♥A, ♥A, ♣5, ♦9, ♣6 | pair
♥A, ♥A, ♣5, ♦9, ♠4 | pair
♥A, ♥A, ♣5, ♦9, ♠K | pair
♥A, ♥A, ♣5, ♦9, ♣J | pair
♥A, ♥A, ♣5, ♦9, ♠6 | pair
♥A, ♥A, ♣5, ♣8, ♣Q | pair
♥A, ♥A, ♣5, ♣8, ♣Q | pair
♥A, ♥A, ♣5, ♣8, ♣7 | pair
♥A, ♥A, ♣5, ♣8, ♣6 | pair
♥A, ♥A, ♣5, ♣8, ♠4 | pair
♥A, ♥A, ♣5, ♣8, ♠K | pair
♥A, ♥A, ♣5, ♣8, ♣J | pair
♥A, ♥A, ♣5, ♣8, ♠6 | pair
♥A, ♥A, ♣5, ♣Q, ♣Q | two pairs
♥A, ♥A, ♣5, ♣Q, ♣7 | pair
♥A, ♥A, ♣5, ♣Q, ♣6 | pair
♥A, ♥A, ♣5, ♣Q, ♠4 | pair
♥A, ♥A, ♣5, ♣Q, ♠K | pair
♥A, ♥A, ♣5, ♣Q, ♣J | pair
♥A, ♥A, ♣5, ♣Q, ♠6 | pair
♥A, ♥A, ♣5, ♣Q, ♣7 | pair
♥A, ♥A, ♣5, ♣Q, ♣6 | pair
♥A, ♥A, ♣5, ♣Q, ♠4 | pair
♥A, ♥A, ♣5, ♣Q, ♠K | pair
♥A, ♥A, ♣5, ♣Q, ♣J | pair
♥A, ♥A, ♣5, ♣Q, ♠6 | pair
♥A, ♥A, ♣5, ♣7, ♣6 | pair
♥A, ♥A, ♣5, ♣7, ♠4 | pair
♥A, ♥A, ♣5, ♣7, ♠K | pair
♥A, ♥A, ♣5, ♣7, ♣J | pair
♥A, ♥A, ♣5, ♣7, ♠6 | pair
♥A, ♥A, ♣5, ♣6, ♠4 | pair
♥A, ♥A, ♣5, ♣6, ♠K | pair
♥A, ♥A, ♣5, ♣6, ♣J | pair
♥A, ♥A, ♣5, ♣6, ♠6 | two pairs
♥A, ♥A, ♣5, ♠4, ♠K | pair
♥A, ♥A, ♣5, ♠4, ♣J | pair
♥A, ♥A, ♣5, ♠4, ♠6 | pair
♥A, ♥A, ♣5, ♠K, ♣J | pair
♥A, ♥A, ♣5, ♠K, ♠6 | pair
♥A, ♥A, ♣5, ♣J, ♠6 | pair
♥A, ♥A, ♥3, ♦9, ♣8 | pair
♥A, ♥A, ♥3, ♦9, ♣Q | pair
♥A, ♥A, ♥3, ♦9, ♣Q | pair
♥A, ♥A, ♥3, ♦9, ♣7 | pair
♥A, ♥A, ♥3, ♦9, ♣6 | pair
♥A, ♥A, ♥3, ♦9, ♠4 | pair
♥A, ♥A, ♥3, ♦9, ♠K | pair
♥A, ♥A, ♥3, ♦9, ♣J | pair
♥A, ♥A, ♥3, ♦9, ♠6 | pair
♥A, ♥A, ♥3, ♣8, ♣Q | pair
♥A, ♥A, ♥3, ♣8, ♣Q | pair
♥A, ♥A, ♥3, ♣8, ♣7 | pair
♥A, ♥A, ♥3, ♣8, ♣6 | pair
♥A, ♥A, ♥3, ♣8, ♠4 | pair
♥A, ♥A, ♥3, ♣8, ♠K | pair
♥A, ♥A, ♥3, ♣8, ♣J | pair
♥A, ♥A, ♥3, ♣8, ♠6 | pair
♥A, ♥A, ♥3, ♣Q, ♣Q | two pairs
♥A, ♥A, ♥3, ♣Q, ♣7 | pair
♥A, ♥A, ♥3, ♣Q, ♣6 | pair
♥A, ♥A, ♥3, ♣Q, ♠4 | pair
♥A, ♥A, ♥3, ♣Q, ♠K | pair
♥A, ♥A, ♥3, ♣Q, ♣J | pair
♥A, ♥A, ♥3, ♣Q, ♠6 | pair
♥A, ♥A, ♥3, ♣Q, ♣7 | pair
♥A, ♥A, ♥3, ♣Q, ♣6 | pair
♥A, ♥A, ♥3, ♣Q, ♠4 | pair
♥A, ♥A, ♥3, ♣Q, ♠K | pair
♥A, ♥A, ♥3, ♣Q, ♣J | pair
♥A, ♥A, ♥3, ♣Q, ♠6 | pair
♥A, ♥A, ♥3, ♣7, ♣6 | pair
♥A, ♥A, ♥3, ♣7, ♠4 | pair
♥A, ♥A, ♥3, ♣7, ♠K | pair
♥A, ♥A, ♥3, ♣7, ♣J | pair
♥A, ♥A, ♥3, ♣7, ♠6 | pair
♥A, ♥A, ♥3, ♣6, ♠4 | pair
♥A, ♥A, ♥3, ♣6, ♠K | pair
♥A, ♥A, ♥3, ♣6, ♣J | pair
♥A, ♥A, ♥3, ♣6, ♠6 | two pairs
♥A, ♥A, ♥3, ♠4, ♠K | pair
♥A, ♥A, ♥3, ♠4, ♣J | pair
♥A, ♥A, ♥3, ♠4, ♠6 | pair
♥A, ♥A, ♥3, ♠K, ♣J | pair
♥A, ♥A, ♥3, ♠K, ♠6 | pair
♥A, ♥A, ♥3, ♣J, ♠6 | pair
♥A, ♥A, ♦9, ♣8, ♣Q | pair
♥A, ♥A, ♦9, ♣8, ♣Q | pair
♥A, ♥A, ♦9, ♣8, ♣7 | pair
♥A, ♥A, ♦9, ♣8, ♣6 | pair
♥A, ♥A, ♦9, ♣8, ♠4 | pair
♥A, ♥A, ♦9, ♣8, ♠K | pair
♥A, ♥A, ♦9, ♣8, ♣J | pair
♥A, ♥A, ♦9, ♣8, ♠6 | pair
♥A, ♥A, ♦9, ♣Q, ♣Q | two pairs
♥A, ♥A, ♦9, ♣Q, ♣7 | pair
♥A, ♥A, ♦9, ♣Q, ♣6 | pair
♥A, ♥A, ♦9, ♣Q, ♠4 | pair
♥A, ♥A, ♦9, ♣Q, ♠K | pair
♥A, ♥A, ♦9, ♣Q, ♣J | pair
♥A, ♥A, ♦9, ♣Q, ♠6 | pair
♥A, ♥A, ♦9, ♣Q, ♣7 | pair
♥A, ♥A, ♦9, ♣Q, ♣6 | pair
♥A, ♥A, ♦9, ♣Q, ♠4 | pair
♥A, ♥A, ♦9, ♣Q, ♠K | pair
♥A, ♥A, ♦9, ♣Q, ♣J | pair
♥A, ♥A, ♦9, ♣Q, ♠6 | pair
♥A, ♥A, ♦9, ♣7, ♣6 | pair
♥A, ♥A, ♦9, ♣7, ♠4 | pair
♥A, ♥A, ♦9, ♣7, ♠K | pair
♥A, ♥A, ♦9, ♣7, ♣J | pair
♥A, ♥A, ♦9, ♣7, ♠6 | pair
♥A, ♥A, ♦9, ♣6, ♠4 | pair
♥A, ♥A, ♦9, ♣6, ♠K | pair
♥A, ♥A, ♦9, ♣6, ♣J | pair
♥A, ♥A, ♦9, ♣6, ♠6 | two pairs
♥A, ♥A, ♦9, ♠4, ♠K | pair
♥A, ♥A, ♦9, ♠4, ♣J | pair
♥A, ♥A, ♦9, ♠4, ♠6 | pair
♥A, ♥A, ♦9, ♠K, ♣J | pair
♥A, ♥A, ♦9, ♠K, ♠6 | pair
♥A, ♥A, ♦9, ♣J, ♠6 | pair
♥A, ♥A, ♣8, ♣Q, ♣Q | two pairs
♥A, ♥A, ♣8, ♣Q, ♣7 | pair
♥A, ♥A, ♣8, ♣Q, ♣6 | pair
♥A, ♥A, ♣8, ♣Q, ♠4 | pair
♥A, ♥A, ♣8, ♣Q, ♠K | pair
♥A, ♥A, ♣8, ♣Q, ♣J | pair
♥A, ♥A, ♣8, ♣Q, ♠6 | pair
♥A, ♥A, ♣8, ♣Q, ♣7 | pair
♥A, ♥A, ♣8, ♣Q, ♣6 | pair
♥A, ♥A, ♣8, ♣Q, ♠4 | pair
♥A, ♥A, ♣8, ♣Q, ♠K | pair
♥A, ♥A, ♣8, ♣Q, ♣J | pair
♥A, ♥A, ♣8, ♣Q, ♠6 | pair
♥A, ♥A, ♣8, ♣7, ♣6 | pair
♥A, ♥A, ♣8, ♣7, ♠4 | pair
♥A, ♥A, ♣8, ♣7, ♠K | pair
♥A, ♥A, ♣8, ♣7, ♣J | pair
♥A, ♥A, ♣8, ♣7, ♠6 | pair
♥A, ♥A, ♣8, ♣6, ♠4 | pair
♥A, ♥A, ♣8, ♣6, ♠K | pair
♥A, ♥A, ♣8, ♣6, ♣J | pair
♥A, ♥A, ♣8, ♣6, ♠6 | two pairs
♥A, ♥A, ♣8, ♠4, ♠K | pair
♥A, ♥A, ♣8, ♠4, ♣J | pair
♥A, ♥A, ♣8, ♠4, ♠6 | pair
♥A, ♥A, ♣8, ♠K, ♣J | pair
♥A, ♥A, ♣8, ♠K, ♠6 | pair
♥A, ♥A, ♣8, ♣J, ♠6 | pair
♥A, ♥A, ♣Q, ♣Q, ♣7 | two pairs
♥A, ♥A, ♣Q, ♣Q, ♣6 | two pairs
♥A, ♥A, ♣Q, ♣Q, ♠4 | two pairs
♥A, ♥A, ♣Q, ♣Q, ♠K | two pairs
♥A, ♥A, ♣Q, ♣Q, ♣J | two pairs
♥A, ♥A, ♣Q, ♣Q, ♠6 | two pairs
♥A, ♥A, ♣Q, ♣7, ♣6 | pair
♥A, ♥A, ♣Q, ♣7, ♠4 | pair
♥A, ♥A, ♣Q, ♣7, ♠K | pair
♥A, ♥A, ♣Q, ♣7, ♣J | pair
♥A, ♥A, ♣Q, ♣7, ♠6 | pair
♥A, ♥A, ♣Q, ♣6, ♠4 | pair
♥A, ♥A, ♣Q, ♣6, ♠K | pair
♥A, ♥A, ♣Q, ♣6, ♣J | pair
♥A, ♥A, ♣Q, ♣6, ♠6 | two pairs
♥A, ♥A, ♣Q, ♠4, ♠K | pair
♥A, ♥A, ♣Q, ♠4, ♣J | pair
♥A, ♥A, ♣Q, ♠4, ♠6 | pair
♥A, ♥A, ♣Q, ♠K, ♣J | pair
♥A, ♥A, ♣Q, ♠K, ♠6 | pair
♥A, ♥A, ♣Q, ♣J, ♠6 | pair
♥A, ♥A, ♣Q, ♣7, ♣6 | pair
♥A, ♥A, ♣Q, ♣7, ♠4 | pair
♥A, ♥A, ♣Q, ♣7, ♠K | pair
♥A, ♥A, ♣Q, ♣7, ♣J | pair
♥A, ♥A, ♣Q, ♣7, ♠6 | pair
♥A, ♥A, ♣Q, ♣6, ♠4 | pair
♥A, ♥A, ♣Q, ♣6, ♠K | pair
♥A, ♥A, ♣Q, ♣6, ♣J | pair
♥A, ♥A, ♣Q, ♣6, ♠6 | two pairs
♥A, ♥A, ♣Q, ♠4, ♠K | pair
♥A, ♥A, ♣Q, ♠4, ♣J | pair
♥A, ♥A, ♣Q, ♠4, ♠6 | pair
♥A, ♥A, ♣Q, ♠K, ♣J | pair
♥A, ♥A, ♣Q, ♠K, ♠6 | pair
♥A, ♥A, ♣Q, ♣J, ♠6 | pair
♥A, ♥A, ♣7, ♣6, ♠4 | pair
♥A, ♥A, ♣7, ♣6, ♠K | pair
♥A, ♥A, ♣7, ♣6, ♣J | pair
♥A, ♥A, ♣7, ♣6, ♠6 | two pairs
♥A, ♥A, ♣7, ♠4, ♠K | pair
♥A, ♥A, ♣7, ♠4, ♣J | pair
♥A, ♥A, ♣7, ♠4, ♠6 | pair
♥A, ♥A, ♣7, ♠K, ♣J | pair
♥A, ♥A, ♣7, ♠K, ♠6 | pair
♥A, ♥A, ♣7, ♣J, ♠6 | pair
♥A, ♥A, ♣6, ♠4, ♠K | pair
♥A, ♥A, ♣6, ♠4, ♣J | pair
♥A, ♥A, ♣6, ♠4, ♠6 | two pairs
♥A, ♥A, ♣6, ♠K, ♣J | pair
♥A, ♥A, ♣6, ♠K, ♠6 | two pairs
♥A, ♥A, ♣6, ♣J, ♠6 | two pairs
♥A, ♥A, ♠4, ♠K, ♣J | pair
♥A, ♥A, ♠4, ♠K, ♠6 | pair
♥A, ♥A, ♠4, ♣J, ♠6 | pair
♥A, ♥A, ♠K, ♣J, ♠6 | pair
♥A, ♠7, ♦J, ♣5, ♣7 | pair
♥A, ♠7, ♦J, ♣5, ♣J | pair
♥A, ♠7, ♦J, ♥3, ♣7 | pair
♥A, ♠7, ♦J, ♥3, ♣J | pair
♥A, ♠7, ♦J, ♦9, ♣7 | pair
♥A, ♠7, ♦J, ♦9, ♣J | pair
♥A, ♠7, ♦J, ♣8, ♣7 | pair
♥A, ♠7, ♦J, ♣8, ♣J | pair
♥A, ♠7, ♦J, ♣Q, ♣Q | pair
♥A, ♠7, ♦J, ♣Q, ♣7 | pair
♥A, ♠7, ♦J, ♣Q, ♣J | pair
♥A, ♠7, ♦J, ♣Q, ♣7 | pair
♥A, ♠7, ♦J, ♣Q, ♣J | pair
♥A, ♠7, ♦J, ♣7, ♣6 | pair
♥A, ♠7, ♦J, ♣7, ♠4 | pair
♥A, ♠7, ♦J, ♣7, ♠K | pair
♥A, ♠7, ♦J, ♣7, ♣J | two pairs
♥A, ♠7, ♦J, ♣7, ♠6 | pair
♥A, ♠7, ♦J, ♣6, ♣J | pair
♥A, ♠7, ♦J, ♣6, ♠6 | pair
♥A, ♠7, ♦J, ♠4, ♣J | pair
♥A, ♠7, ♦J, ♠K, ♣J | pair
♥A, ♠7, ♦J, ♣J, ♠6 | pair
♥A, ♠7, ♣5, ♥3, ♣7 | pair
♥A, ♠7, ♣5, ♦9, ♣7 | pair
♥A, ♠7, ♣5, ♣8, ♣7 | pair
♥A, ♠7, ♣5, ♣Q, ♣Q | pair
♥A, ♠7, ♣5, ♣Q, ♣7 | pair
♥A, ♠7, ♣5, ♣Q, ♣7 | pair
♥A, ♠7, ♣5, ♣7, ♣6 | pair
♥A, ♠7, ♣5, ♣7, ♠4 | pair
♥A, ♠7, ♣5, ♣7, ♠K | pair
♥A, ♠7, ♣5, ♣7, ♣J | pair
♥A, ♠7, ♣5, ♣7, ♠6 | pair
♥A, ♠7, ♣5, ♣6, ♠6 | pair
♥A, ♠7, ♥3, ♦9, ♣7 | pair
♥A, ♠7, ♥3, ♣8, ♣7 | pair
♥A, ♠7, ♥3, ♣Q, ♣Q | pair
♥A, ♠7, ♥3, ♣Q, ♣7 | pair
♥A, ♠7, ♥3, ♣Q, ♣7 | pair
♥A, ♠7, ♥3, ♣7, ♣6 | pair
♥A, ♠7, ♥3, ♣7, ♠4 | pair
♥A, ♠7, ♥3, ♣7, ♠K | pair
♥A, ♠7, ♥3, ♣7, ♣J | pair
♥A, ♠7, ♥3, ♣7, ♠6 | pair
♥A, ♠7, ♥3, ♣6, ♠6 | pair
♥A, ♠7, ♦9, ♣8, ♣7 | pair
♥A, ♠7, ♦9, ♣Q, ♣Q | pair
♥A, ♠7, ♦9, ♣Q, ♣7 | pair
♥A, ♠7, ♦9, ♣Q, ♣7 | pair
♥A, ♠7, ♦9, ♣7, ♣6 | pair
♥A, ♠7, ♦9, ♣7, ♠4 | pair
♥A, ♠7, ♦9, ♣7, ♠K | pair
♥A, ♠7, ♦9, ♣7, ♣J | pair
♥A, ♠7, ♦9, ♣7, ♠6 | pair
♥A, ♠7, ♦9, ♣6, ♠6 | pair
♥A, ♠7, ♣8, ♣Q, ♣Q | pair
♥A, ♠7, ♣8, ♣Q, ♣7 | pair
♥A, ♠7, ♣8, ♣Q, ♣7 | pair
♥A, ♠7, ♣8, ♣7, ♣6 | pair
♥A, ♠7, ♣8, ♣7, ♠4 | pair
♥A, ♠7, ♣8, ♣7, ♠K | pair
♥A, ♠7, ♣8, ♣7, ♣J | pair
♥A, ♠7, ♣8, ♣7, ♠6 | pair
♥A, ♠7, ♣8, ♣6, ♠6 | pair
♥A, ♠7, ♣Q, ♣Q, ♣7 | two pairs
♥A, ♠7, ♣Q, ♣Q, ♣6 | pair
♥A, ♠7, ♣Q, ♣Q, ♠4 | pair
♥A, ♠7, ♣Q, ♣Q, ♠K | pair
♥A, ♠7, ♣Q, ♣Q, ♣J | pair
♥A, ♠7, ♣Q, ♣Q, ♠6 | pair
♥A, ♠7, ♣Q, ♣7, ♣6 | pair
♥A, ♠7, ♣Q, ♣7, ♠4 | pair
♥A, ♠7, ♣Q, ♣7, ♠K | pair
♥A, ♠7, ♣Q, ♣7, ♣J | pair
♥A, ♠7, ♣Q, ♣7, ♠6 | pair
♥A, ♠7, ♣Q, ♣6, ♠6 | pair
♥A, ♠7, ♣Q, ♣7, ♣6 | pair
♥A, ♠7, ♣Q, ♣7, ♠4 | pair
♥A, ♠7, ♣Q, ♣7, ♠K | pair
♥A, ♠7, ♣Q, ♣7, ♣J | pair
♥A, ♠7, ♣Q, ♣7, ♠6 | pair
♥A, ♠7, ♣Q, ♣6, ♠6 | pair
♥A, ♠7, ♣7, ♣6, ♠4 | pair
♥A, ♠7, ♣7, ♣6, ♠K | pair
♥A, ♠7, ♣7, ♣6, ♣J | pair
♥A, ♠7, ♣7, ♣6, ♠6 | two pairs
♥A, ♠7, ♣7, ♠4, ♠K | pair
♥A, ♠7, ♣7, ♠4, ♣J | pair
♥A, ♠7, ♣7, ♠4, ♠6 | pair
♥A, ♠7, ♣7, ♠K, ♣J | pair
♥A, ♠7, ♣7, ♠K, ♠6 | pair
♥A, ♠7, ♣7, ♣J, ♠6 | pair
♥A, ♠7, ♣6, ♠4, ♠6 | pair
♥A, ♠7, ♣6, ♠K, ♠6 | pair
♥A, ♠7, ♣6, ♣J, ♠6 | pair
♥A, ♦J, ♣5, ♥3, ♣J | pair
♥A, ♦J, ♣5, ♦9, ♣J | pair
♥A, ♦J, ♣5, ♣8, ♣J | pair
♥A, ♦J, ♣5, ♣Q, ♣Q | pair
♥A, ♦J, ♣5, ♣Q, ♣J | pair
♥A, ♦J, ♣5, ♣Q, ♣J | pair
♥A, ♦J, ♣5, ♣7, ♣J | pair
♥A, ♦J, ♣5, ♣6, ♣J | pair
♥A, ♦J, ♣5, ♣6, ♠6 | pair
♥A, ♦J, ♣5, ♠4, ♣J | pair
♥A, ♦J, ♣5, ♠K, ♣J | pair
♥A, ♦J, ♣5, ♣J, ♠6 | pair
♥A, ♦J, ♥3, ♦9, ♣J | pair
♥A, ♦J, ♥3, ♣8, ♣J | pair
♥A, ♦J, ♥3, ♣Q, ♣Q | pair
♥A, ♦J, ♥3, ♣Q, ♣J | pair
♥A, ♦J, ♥3, ♣Q, ♣J | pair
♥A, ♦J, ♥3, ♣7, ♣J | pair
♥A, ♦J, ♥3, ♣6, ♣J | pair
♥A, ♦J, ♥3, ♣6, ♠6 | pair
♥A, ♦J, ♥3, ♠4, ♣J | pair
♥A, ♦J, ♥3, ♠K, ♣J | pair
♥A, ♦J, ♥3, ♣J, ♠6 | pair
♥A, ♦J, ♦9, ♣8, ♣J | pair
♥A, ♦J, ♦9, ♣Q, ♣Q | pair
♥A, ♦J, ♦9, ♣Q, ♣J | pair
♥A, ♦J, ♦9, ♣Q, ♣J | pair
♥A, ♦J, ♦9, ♣7, ♣J | pair
♥A, ♦J, ♦9, ♣6, ♣J | pair
♥A, ♦J, ♦9, ♣6, ♠6 | pair
♥A, ♦J, ♦9, ♠4, ♣J | pair
♥A, ♦J, ♦9, ♠K, ♣J | pair
♥A, ♦J, ♦9, ♣J, ♠6 | pair
♥A, ♦J, ♣8, ♣Q, ♣Q | pair
♥A, ♦J, ♣8, ♣Q, ♣J | pair
