♦7, ♣Q, ♠J, ♣3, ♥3 | pair
♦7, ♣Q, ♣3, ♦4, ♥4 | pair
♦7, ♣Q, ♥K, ♥3, ♣Q | pair
♦7, ♣Q, ♥K, ♥3, ♠K | pair
♦7, ♣Q, ♥K, ♥3, ♥K | pair
♦7, ♣Q, ♥K, ♣Q, ♠10 | pair
♦7, ♣Q, ♥K, ♣Q, ♠K | two pairs
♦7, ♣Q, ♥K, ♣Q, ♣A | pair
♦7, ♣Q, ♥K, ♣Q, ♥K | two pairs
♦7, ♣Q, ♥K, ♣Q, ♥J | pair
♦7, ♣Q, ♥K, ♣Q, ♦4 | pair
♦7, ♣Q, ♥K, ♣Q, ♥4 | pair
♦7, ♣Q, ♥K, ♣Q, ♥8 | pair
♦7, ♣Q, ♥K, ♠10, ♠K | pair
♦7, ♣Q, ♥K, ♠10, ♥K | pair
♦7, ♣Q, ♥K, ♠K, ♣A | pair
♦7, ♣Q, ♥K, ♠K, ♥K | three of a kind
♦7, ♣Q, ♥K, ♠K, ♥J | pair
♦7, ♣Q, ♥K, ♠K, ♦4 | pair
♦7, ♣Q, ♥K, ♠K, ♥4 | pair
♦7, ♣Q, ♥K, ♠K, ♥8 | pair
♦7, ♣Q, ♥K, ♣A, ♥K | pair
♦7, ♣Q, ♥K, ♥K, ♥J | pair
♦7, ♣Q, ♥K, ♥K, ♦4 | pair
♦7, ♣Q, ♥K, ♥K, ♥4 | pair
♦7, ♣Q, ♥K, ♥K, ♥8 | pair
♦7, ♣Q, ♥K, ♦4, ♥4 | pair
♦7, ♣Q, ♥3, ♣Q, ♠10 | pair
♦7, ♣Q, ♥3, ♣Q, ♠K | pair
♦7, ♣Q, ♥3, ♣Q, ♣A | pair
♦7, ♣Q, ♥3, ♣Q, ♥K | pair
♦7, ♣Q, ♥3, ♣Q, ♥J | pair
♦7, ♣Q, ♥3, ♣Q, ♦4 | pair
♦7, ♣Q, ♥3, ♣Q, ♥4 | pair
♦7, ♣Q, ♥3, ♣Q, ♥8 | pair
♦7, ♣Q, ♥3, ♠K, ♥K | pair
♦7, ♣Q, ♥3, ♦4, ♥4 | pair
♦7, ♣Q, ♣Q, ♠10, ♠K | pair
♦7, ♣Q, ♣Q, ♠10, ♣A | pair
♦7, ♣Q, ♣Q, ♠10, ♥K | pair
♦7, ♣Q, ♣Q, ♠10, ♥J | pair
♦7, ♣Q, ♣Q, ♠10, ♦4 | pair
♦7, ♣Q, ♣Q, ♠10, ♥4 | pair
♦7, ♣Q, ♣Q, ♠10, ♥8 | pair
♦7, ♣Q, ♣Q, ♠K, ♣A | pair
♦7, ♣Q, ♣Q, ♠K, ♥K | two pairs
♦7, ♣Q, ♣Q, ♠K, ♥J | pair
♦7, ♣Q, ♣Q, ♠K, ♦4 | pair
♦7, ♣Q, ♣Q, ♠K, ♥4 | pair
♦7, ♣Q, ♣Q, ♠K, ♥8 | pair
♦7, ♣Q, ♣Q, ♣A, ♥K | pair
♦7, ♣Q, ♣Q, ♣A, ♥J | pair
♦7, ♣Q, ♣Q, ♣A, ♦4 | pair
♦7, ♣Q, ♣Q, ♣A, ♥4 | pair
♦7, ♣Q, ♣Q, ♣A, ♥8 | pair
♦7, ♣Q, ♣Q, ♥K, ♥J | pair
♦7, ♣Q, ♣Q, ♥K, ♦4 | pair
♦7, ♣Q, ♣Q, ♥K, ♥4 | pair
♦7, ♣Q, ♣Q, ♥K, ♥8 | pair
♦7, ♣Q, ♣Q, ♥J, ♦4 | pair
♦7, ♣Q, ♣Q, ♥J, ♥4 | pair
♦7, ♣Q, ♣Q, ♥J, ♥8 | pair
♦7, ♣Q, ♣Q, ♦4, ♥4 | two pairs
♦7, ♣Q, ♣Q, ♦4, ♥8 | pair
♦7, ♣Q, ♣Q, ♥4, ♥8 | pair
♦7, ♣Q, ♠10, ♠K, ♥K | pair
♦7, ♣Q, ♠10, ♦4, ♥4 | pair
♦7, ♣Q, ♠K, ♣A, ♥K | pair
♦7, ♣Q, ♠K, ♥K, ♥J | pair
♦7, ♣Q, ♠K, ♥K, ♦4 | pair
♦7, ♣Q, ♠K, ♥K, ♥4 | pair
♦7, ♣Q, ♠K, ♥K, ♥8 | pair
♦7, ♣Q, ♠K, ♦4, ♥4 | pair
♦7, ♣Q, ♣A, ♦4, ♥4 | pair
♦7, ♣Q, ♥K, ♦4, ♥4 | pair
♦7, ♣Q, ♥J, ♦4, ♥4 | pair
♦7, ♣Q, ♦4, ♥4, ♥8 | pair
♦7, ♠J, ♣3, ♥K, ♥3 | pair
♦7, ♠J, ♣3, ♥K, ♠K | pair
♦7, ♠J, ♣3, ♥K, ♥K | pair
♦7, ♠J, ♣3, ♥K, ♥J | pair
♦7, ♠J, ♣3, ♥3, ♣Q | pair
♦7, ♠J, ♣3, ♥3, ♠10 | pair
♦7, ♠J, ♣3, ♥3, ♠K | pair
♦7, ♠J, ♣3, ♥3, ♣A | pair
♦7, ♠J, ♣3, ♥3, ♥K | pair
♦7, ♠J, ♣3, ♥3, ♥J | two pairs
♦7, ♠J, ♣3, ♥3, ♦4 | pair
♦7, ♠J, ♣3, ♥3, ♥4 | pair
♦7, ♠J, ♣3, ♥3, ♥8 | pair
♦7, ♠J, ♣3, ♣Q, ♥J | pair
♦7, ♠J, ♣3, ♠10, ♥J | pair
♦7, ♠J, ♣3, ♠K, ♥K | pair
♦7, ♠J, ♣3, ♠K, ♥J | pair
♦7, ♠J, ♣3, ♣A, ♥J | pair
♦7, ♠J, ♣3, ♥K, ♥J | pair
♦7, ♠J, ♣3, ♥J, ♦4 | pair
♦7, ♠J, ♣3, ♥J, ♥4 | pair
♦7, ♠J, ♣3, ♥J, ♥8 | pair
♦7, ♠J, ♣3, ♦4, ♥4 | pair
♦7, ♠J, ♥K, ♥3, ♠K | pair
♦7, ♠J, ♥K, ♥3, ♥K | pair
♦7, ♠J, ♥K, ♥3, ♥J | pair
♦7, ♠J, ♥K, ♣Q, ♠K | pair
♦7, ♠J, ♥K, ♣Q, ♥K | pair
♦7, ♠J, ♥K, ♣Q, ♥J | pair
♦7, ♠J, ♥K, ♠10, ♠K | pair
♦7, ♠J, ♥K, ♠10, ♥K | pair
♦7, ♠J, ♥K, ♠10, ♥J | pair
♦7, ♠J, ♥K, ♠K, ♣A | pair
♦7, ♠J, ♥K, ♠K, ♥K | three of a kind
♦7, ♠J, ♥K, ♠K, ♥J | two pairs
♦7, ♠J, ♥K, ♠K, ♦4 | pair
♦7, ♠J, ♥K, ♠K, ♥4 | pair
♦7, ♠J, ♥K, ♠K, ♥8 | pair
♦7, ♠J, ♥K, ♣A, ♥K | pair
♦7, ♠J, ♥K, ♣A, ♥J | pair
♦7, ♠J, ♥K, ♥K, ♥J | two pairs
♦7, ♠J, ♥K, ♥K, ♦4 | pair
♦7, ♠J, ♥K, ♥K, ♥4 | pair
♦7, ♠J, ♥K, ♥K, ♥8 | pair
♦7, ♠J, ♥K, ♥J, ♦4 | pair
♦7, ♠J, ♥K, ♥J, ♥4 | pair
♦7, ♠J, ♥K, ♥J, ♥8 | pair
♦7, ♠J, ♥K, ♦4, ♥4 | pair
♦7, ♠J, ♥3, ♣Q, ♥J | pair
♦7, ♠J, ♥3, ♠10, ♥J | pair
♦7, ♠J, ♥3, ♠K, ♥K | pair
♦7, ♠J, ♥3, ♠K, ♥J | pair
♦7, ♠J, ♥3, ♣A, ♥J | pair
♦7, ♠J, ♥3, ♥K, ♥J | pair
♦7, ♠J, ♥3, ♥J, ♦4 | pair
♦7, ♠J, ♥3, ♥J, ♥4 | pair
♦7, ♠J, ♥3, ♥J, ♥8 | pair
♦7, ♠J, ♥3, ♦4, ♥4 | pair
♦7, ♠J, ♣Q, ♠10, ♥J | pair
♦7, ♠J, ♣Q, ♠K, ♥K | pair
♦7, ♠J, ♣Q, ♠K, ♥J | pair
♦7, ♠J, ♣Q, ♣A, ♥J | pair
♦7, ♠J, ♣Q, ♥K, ♥J | pair
♦7, ♠J, ♣Q, ♥J, ♦4 | pair
♦7, ♠J, ♣Q, ♥J, ♥4 | pair
♦7, ♠J, ♣Q, ♥J, ♥8 | pair
♦7, ♠J, ♣Q, ♦4, ♥4 | pair
♦7, ♠J, ♠10, ♠K, ♥K | pair
♦7, ♠J, ♠10, ♠K, ♥J | pair
♦7, ♠J, ♠10, ♣A, ♥J | pair
♦7, ♠J, ♠10, ♥K, ♥J | pair
♦7, ♠J, ♠10, ♥J, ♦4 | pair
♦7, ♠J, ♠10, ♥J, ♥4 | pair
♦7, ♠J, ♠10, ♥J, ♥8 | pair
♦7, ♠J, ♠10, ♦4, ♥4 | pair
♦7, ♠J, ♠K, ♣A, ♥K | pair
♦7, ♠J, ♠K, ♣A, ♥J | pair
♦7, ♠J, ♠K, ♥K, ♥J | two pairs
♦7, ♠J, ♠K, ♥K, ♦4 | pair
♦7, ♠J, ♠K, ♥K, ♥4 | pair
♦7, ♠J, ♠K, ♥K, ♥8 | pair
♦7, ♠J, ♠K, ♥J, ♦4 | pair
♦7, ♠J, ♠K, ♥J, ♥4 | pair
♦7, ♠J, ♠K, ♥J, ♥8 | pair
♦7, ♠J, ♠K, ♦4, ♥4 | pair
♦7, ♠J, ♣A, ♥K, ♥J | pair
♦7, ♠J, ♣A, ♥J, ♦4 | pair
♦7, ♠J, ♣A, ♥J, ♥4 | pair
♦7, ♠J, ♣A, ♥J, ♥8 | pair
♦7, ♠J, ♣A, ♦4, ♥4 | pair
♦7, ♠J, ♥K, ♥J, ♦4 | pair
♦7, ♠J, ♥K, ♥J, ♥4 | pair
♦7, ♠J, ♥K, ♥J, ♥8 | pair
♦7, ♠J, ♥K, ♦4, ♥4 | pair
♦7, ♠J, ♥J, ♦4, ♥4 | two pairs
♦7, ♠J, ♥J, ♦4, ♥8 | pair
♦7, ♠J, ♥J, ♥4, ♥8 | pair
♦7, ♠J, ♦4, ♥4, ♥8 | pair
♦7, ♣3, ♥K, ♥3, ♣Q | pair
♦7, ♣3, ♥K, ♥3, ♠10 | pair
♦7, ♣3, ♥K, ♥3, ♠K | two pairs
♦7, ♣3, ♥K, ♥3, ♣A | pair
♦7, ♣3, ♥K, ♥3, ♥K | two pairs
♦7, ♣3, ♥K, ♥3, ♥J | pair
♦7, ♣3, ♥K, ♥3, ♦4 | pair
♦7, ♣3, ♥K, ♥3, ♥4 | pair
♦7, ♣3, ♥K, ♥3, ♥8 | pair
♦7, ♣3, ♥K, ♣Q, ♠K | pair
♦7, ♣3, ♥K, ♣Q, ♥K | pair
♦7, ♣3, ♥K, ♠10, ♠K | pair
♦7, ♣3, ♥K, ♠10, ♥K | pair
♦7, ♣3, ♥K, ♠K, ♣A | pair
♦7, ♣3, ♥K, ♠K, ♥K | three of a kind
♦7, ♣3, ♥K, ♠K, ♥J | pair
♦7, ♣3, ♥K, ♠K, ♦4 | pair
♦7, ♣3, ♥K, ♠K, ♥4 | pair
♦7, ♣3, ♥K, ♠K, ♥8 | pair
♦7, ♣3, ♥K, ♣A, ♥K | pair
♦7, ♣3, ♥K, ♥K, ♥J | pair
♦7, ♣3, ♥K, ♥K, ♦4 | pair
♦7, ♣3, ♥K, ♥K, ♥4 | pair
♦7, ♣3, ♥K, ♥K, ♥8 | pair
♦7, ♣3, ♥K, ♦4, ♥4 | pair
♦7, ♣3, ♥3, ♣Q, ♠10 | pair
♦7, ♣3, ♥3, ♣Q, ♠K | pair
♦7, ♣3, ♥3, ♣Q, ♣A | pair
♦7, ♣3, ♥3, ♣Q, ♥K | pair
♦7, ♣3, ♥3, ♣Q, ♥J | pair
♦7, ♣3, ♥3, ♣Q, ♦4 | pair
♦7, ♣3, ♥3, ♣Q, ♥4 | pair
♦7, ♣3, ♥3, ♣Q, ♥8 | pair
♦7, ♣3, ♥3, ♠10, ♠K | pair
♦7, ♣3, ♥3, ♠10, ♣A | pair
♦7, ♣3, ♥3, ♠10, ♥K | pair
♦7, ♣3, ♥3, ♠10, ♥J | pair
♦7, ♣3, ♥3, ♠10, ♦4 | pair
♦7, ♣3, ♥3, ♠10, ♥4 | pair
♦7, ♣3, ♥3, ♠10, ♥8 | pair
♦7, ♣3, ♥3, ♠K, ♣A | pair
♦7, ♣3, ♥3, ♠K, ♥K | two pairs
♦7, ♣3, ♥3, ♠K, ♥J | pair
♦7, ♣3, ♥3, ♠K, ♦4 | pair
♦7, ♣3, ♥3, ♠K, ♥4 | pair
♦7, ♣3, ♥3, ♠K, ♥8 | pair
♦7, ♣3, ♥3, ♣A, ♥K | pair
♦7, ♣3, ♥3, ♣A, ♥J | pair
♦7, ♣3, ♥3, ♣A, ♦4 | pair
♦7, ♣3, ♥3, ♣A, ♥4 | pair
♦7, ♣3, ♥3, ♣A, ♥8 | pair
♦7, ♣3, ♥3, ♥K, ♥J | pair
♦7, ♣3, ♥3, ♥K, ♦4 | pair
♦7, ♣3, ♥3, ♥K, ♥4 | pair
♦7, ♣3, ♥3, ♥K, ♥8 | pair
♦7, ♣3, ♥3, ♥J, ♦4 | pair
♦7, ♣3, ♥3, ♥J, ♥4 | pair
♦7, ♣3, ♥3, ♥J, ♥8 | pair
♦7, ♣3, ♥3, ♦4, ♥4 | two pairs
♦7, ♣3, ♥3, ♦4, ♥8 | pair
♦7, ♣3, ♥3, ♥4, ♥8 | pair
♦7, ♣3, ♣Q, ♠K, ♥K | pair
♦7, ♣3, ♣Q, ♦4, ♥4 | pair
♦7, ♣3, ♠10, ♠K, ♥K | pair
♦7, ♣3, ♠10, ♦4, ♥4 | pair
♦7, ♣3, ♠K, ♣A, ♥K | pair
♦7, ♣3, ♠K, ♥K, ♥J | pair
♦7, ♣3, ♠K, ♥K, ♦4 | pair
♦7, ♣3, ♠K, ♥K, ♥4 | pair
♦7, ♣3, ♠K, ♥K, ♥8 | pair
♦7, ♣3, ♠K, ♦4, ♥4 | pair
♦7, ♣3, ♣A, ♦4, ♥4 | pair
♦7, ♣3, ♥K, ♦4, ♥4 | pair
♦7, ♣3, ♥J, ♦4, ♥4 | pair
♦7, ♣3, ♦4, ♥4, ♥8 | pair
♦7, ♥K, ♥3, ♣Q, ♠K | pair
♦7, ♥K, ♥3, ♣Q, ♥K | pair
♦7, ♥K, ♥3, ♠10, ♠K | pair
♦7, ♥K, ♥3, ♠10, ♥K | pair
♦7, ♥K, ♥3, ♠K, ♣A | pair
♦7, ♥K, ♥3, ♠K, ♥K | three of a kind
♦7, ♥K, ♥3, ♠K, ♥J | pair
♦7, ♥K, ♥3, ♠K, ♦4 | pair
♦7, ♥K, ♥3, ♠K, ♥4 | pair
♦7, ♥K, ♥3, ♠K, ♥8 | pair
♦7, ♥K, ♥3, ♣A, ♥K | pair
♦7, ♥K, ♥3, ♥K, ♥J | pair
♦7, ♥K, ♥3, ♥K, ♦4 | pair
♦7, ♥K, ♥3, ♥K, ♥4 | pair
♦7, ♥K, ♥3, ♥K, ♥8 | pair
♦7, ♥K, ♥3, ♦4, ♥4 | pair
♦7, ♥K, ♣Q, ♠10, ♠K | pair
♦7, ♥K, ♣Q, ♠10, ♥K | pair
♦7, ♥K, ♣Q, ♠K, ♣A | pair
♦7, ♥K, ♣Q, ♠K, ♥K | three of a kind
♦7, ♥K, ♣Q, ♠K, ♥J | pair
♦7, ♥K, ♣Q, ♠K, ♦4 | pair
♦7, ♥K, ♣Q, ♠K, ♥4 | pair
♦7, ♥K, ♣Q, ♠K, ♥8 | pair
♦7, ♥K, ♣Q, ♣A, ♥K | pair
♦7, ♥K, ♣Q, ♥K, ♥J | pair
♦7, ♥K, ♣Q, ♥K, ♦4 | pair
♦7, ♥K, ♣Q, ♥K, ♥4 | pair
♦7, ♥K, ♣Q, ♥K, ♥8 | pair
♦7, ♥K, ♣Q, ♦4, ♥4 | pair
♦7, ♥K, ♠10, ♠K, ♣A | pair
♦7, ♥K, ♠10, ♠K, ♥K | three of a kind
♦7, ♥K, ♠10, ♠K, ♥J | pair
♦7, ♥K, ♠10, ♠K, ♦4 | pair
♦7, ♥K, ♠10, ♠K, ♥4 | pair
♦7, ♥K, ♠10, ♠K, ♥8 | pair
♦7, ♥K, ♠10, ♣A, ♥K | pair
♦7, ♥K, ♠10, ♥K, ♥J | pair
♦7, ♥K, ♠10, ♥K, ♦4 | pair
♦7, ♥K, ♠10, ♥K, ♥4 | pair
♦7, ♥K, ♠10, ♥K, ♥8 | pair
♦7, ♥K, ♠10, ♦4, ♥4 | pair
♦7, ♥K, ♠K, ♣A, ♥K | three of a kind
♦7, ♥K, ♠K, ♣A, ♥J | pair
♦7, ♥K, ♠K, ♣A, ♦4 | pair
♦7, ♥K, ♠K, ♣A, ♥4 | pair
♦7, ♥K, ♠K, ♣A, ♥8 | pair
♦7, ♥K, ♠K, ♥K, ♥J | three of a kind
♦7, ♥K, ♠K, ♥K, ♦4 | three of a kind
♦7, ♥K, ♠K, ♥K, ♥4 | three of a kind
♦7, ♥K, ♠K, ♥K, ♥8 | three of a kind
♦7, ♥K, ♠K, ♥J, ♦4 | pair
♦7, ♥K, ♠K, ♥J, ♥4 | pair
♦7, ♥K, ♠K, ♥J, ♥8 | pair
♦7, ♥K, ♠K, ♦4, ♥4 | two pairs
♦7, ♥K, ♠K, ♦4, ♥8 | pair
♦7, ♥K, ♠K, ♥4, ♥8 | pair
♦7, ♥K, ♣A, ♥K, ♥J | pair
♦7, ♥K, ♣A, ♥K, ♦4 | pair
♦7, ♥K, ♣A, ♥K, ♥4 | pair
♦7, ♥K, ♣A, ♥K, ♥8 | pair
♦7, ♥K, ♣A, ♦4, ♥4 | pair
♦7, ♥K, ♥K, ♥J, ♦4 | pair
♦7, ♥K, ♥K, ♥J, ♥4 | pair
♦7, ♥K, ♥K, ♥J, ♥8 | pair
♦7, ♥K, ♥K, ♦4, ♥4 | two pairs
♦7, ♥K, ♥K, ♦4, ♥8 | pair
♦7, ♥K, ♥K, ♥4, ♥8 | pair
♦7, ♥K, ♥J, ♦4, ♥4 | pair
♦7, ♥K, ♦4, ♥4, ♥8 | pair
♦7, ♥3, ♣Q, ♠K, ♥K | pair
♦7, ♥3, ♣Q, ♦4, ♥4 | pair
♦7, ♥3, ♠10, ♠K, ♥K | pair
♦7, ♥3, ♠10, ♦4, ♥4 | pair
♦7, ♥3, ♠K, ♣A, ♥K | pair
♦7, ♥3, ♠K, ♥K, ♥J | pair
♦7, ♥3, ♠K, ♥K, ♦4 | pair
♦7, ♥3, ♠K, ♥K, ♥4 | pair
♦7, ♥3, ♠K, ♥K, ♥8 | pair
♦7, ♥3, ♠K, ♦4, ♥4 | pair
♦7, ♥3, ♣A, ♦4, ♥4 | pair
♦7, ♥3, ♥K, ♦4, ♥4 | pair
♦7, ♥3, ♥J, ♦4, ♥4 | pair
♦7, ♥3, ♦4, ♥4, ♥8 | pair
♦7, ♣Q, ♠10, ♠K, ♥K | pair
♦7, ♣Q, ♠10, ♦4, ♥4 | pair
♦7, ♣Q, ♠K, ♣A, ♥K | pair
♦7, ♣Q, ♠K, ♥K, ♥J | pair
♦7, ♣Q, ♠K, ♥K, ♦4 | pair
♦7, ♣Q, ♠K, ♥K, ♥4 | pair
♦7, ♣Q, ♠K, ♥K, ♥8 | pair
♦7, ♣Q, ♠K, ♦4, ♥4 | pair
♦7, ♣Q, ♣A, ♦4, ♥4 | pair
♦7, ♣Q, ♥K, ♦4, ♥4 | pair
♦7, ♣Q, ♥J, ♦4, ♥4 | pair
♦7, ♣Q, ♦4, ♥4, ♥8 | pair
♦7, ♠10, ♠K, ♣A, ♥K | pair
♦7, ♠10, ♠K, ♥K, ♥J | pair
♦7, ♠10, ♠K, ♥K, ♦4 | pair
♦7, ♠10, ♠K, ♥K, ♥4 | pair
♦7, ♠10, ♠K, ♥K, ♥8 | pair
♦7, ♠10, ♠K, ♦4, ♥4 | pair
♦7, ♠10, ♣A, ♦4, ♥4 | pair
♦7, ♠10, ♥K, ♦4, ♥4 | pair
♦7, ♠10, ♥J, ♦4, ♥4 | pair
♦7, ♠10, ♦4, ♥4, ♥8 | pair
♦7, ♠K, ♣A, ♥K, ♥J | pair
♦7, ♠K, ♣A, ♥K, ♦4 | pair
♦7, ♠K, ♣A, ♥K, ♥4 | pair
♦7, ♠K, ♣A, ♥K, ♥8 | pair
♦7, ♠K, ♣A, ♦4, ♥4 | pair
♦7, ♠K, ♥K, ♥J, ♦4 | pair
♦7, ♠K, ♥K, ♥J, ♥4 | pair
♦7, ♠K, ♥K, ♥J, ♥8 | pair
♦7, ♠K, ♥K, ♦4, ♥4 | two pairs
♦7, ♠K, ♥K, ♦4, ♥8 | pair
♦7, ♠K, ♥K, ♥4, ♥8 | pair
♦7, ♠K, ♥J, ♦4, ♥4 | pair
♦7, ♠K, ♦4, ♥4, ♥8 | pair
♦7, ♣A, ♥K, ♦4, ♥4 | pair
♦7, ♣A, ♥J, ♦4, ♥4 | pair
♦7, ♣A, ♦4, ♥4, ♥8 | pair
♦7, ♥K, ♥J, ♦4, ♥4 | pair
♦7, ♥K, ♦4, ♥4, ♥8 | pair
♦7, ♥J, ♦4, ♥4, ♥8 | pair
♣Q, ♠J, ♣3, ♥K, ♥3 | pair
♣Q, ♠J, ♣3, ♥K, ♣Q | pair
♣Q, ♠J, ♣3, ♥K, ♠K | pair
♣Q, ♠J, ♣3, ♥K, ♥K | pair
♣Q, ♠J, ♣3, ♥K, ♥J | pair
♣Q, ♠J, ♣3, ♥3, ♣Q | two pairs
♣Q, ♠J, ♣3, ♥3, ♠10 | pair
♣Q, ♠J, ♣3, ♥3, ♠K | pair
♣Q, ♠J, ♣3, ♥3, ♣A | pair
♣Q, ♠J, ♣3, ♥3, ♥K | pair
♣Q, ♠J, ♣3, ♥3, ♥J | two pairs
♣Q, ♠J, ♣3, ♥3, ♦4 | pair
♣Q, ♠J, ♣3, ♥3, ♥4 | pair
♣Q, ♠J, ♣3, ♥3, ♥8 | pair
♣Q, ♠J, ♣3, ♣Q, ♠10 | pair
♣Q, ♠J, ♣3, ♣Q, ♠K | pair
♣Q, ♠J, ♣3, ♣Q, ♣A | pair
♣Q, ♠J, ♣3, ♣Q, ♥K | pair
♣Q, ♠J, ♣3, ♣Q, ♥J | two pairs
♣Q, ♠J, ♣3, ♣Q, ♦4 | pair
♣Q, ♠J, ♣3, ♣Q, ♥4 | pair
♣Q, ♠J, ♣3, ♣Q, ♥8 | pair
♣Q, ♠J, ♣3, ♠10, ♥J | pair
♣Q, ♠J, ♣3, ♠K, ♥K | pair
♣Q, ♠J, ♣3, ♠K, ♥J | pair
♣Q, ♠J, ♣3, ♣A, ♥J | pair
♣Q, ♠J, ♣3, ♥K, ♥J | pair
♣Q, ♠J, ♣3, ♥J, ♦4 | pair
♣Q, ♠J, ♣3, ♥J, ♥4 | pair
♣Q, ♠J, ♣3, ♥J, ♥8 | pair
♣Q, ♠J, ♣3, ♦4, ♥4 | pair
♣Q, ♠J, ♥K, ♥3, ♣Q | pair
♣Q, ♠J, ♥K, ♥3, ♠K | pair
♣Q, ♠J, ♥K, ♥3, ♥K | pair
♣Q, ♠J, ♥K, ♥3, ♥J | pair
♣Q, ♠J, ♥K, ♣Q, ♠10 | pair
♣Q, ♠J, ♥K, ♣Q, ♠K | two pairs
♣Q, ♠J, ♥K, ♣Q, ♣A | pair
♣Q, ♠J, ♥K, ♣Q, ♥K | two pairs
♣Q, ♠J, ♥K, ♣Q, ♥J | two pairs
♣Q, ♠J, ♥K, ♣Q, ♦4 | pair
♣Q, ♠J, ♥K, ♣Q, ♥4 | pair
♣Q, ♠J, ♥K, ♣Q, ♥8 | pair
♣Q, ♠J, ♥K, ♠10, ♠K | pair
♣Q, ♠J, ♥K, ♠10, ♣A | straight
♣Q, ♠J, ♥K, ♠10, ♥K | pair
♣Q, ♠J, ♥K, ♠10, ♥J | pair
♣Q, ♠J, ♥K, ♠K, ♣A | pair
♣Q, ♠J, ♥K, ♠K, ♥K | three of a kind
♣Q, ♠J, ♥K, ♠K, ♥J | two pairs
♣Q, ♠J, ♥K, ♠K, ♦4 | pair
♣Q, ♠J, ♥K, ♠K, ♥4 | pair
♣Q, ♠J, ♥K, ♠K, ♥8 | pair
♣Q, ♠J, ♥K, ♣A, ♥K | pair
♣Q, ♠J, ♥K, ♣A, ♥J | pair
♣Q, ♠J, ♥K, ♥K, ♥J | two pairs
♣Q, ♠J, ♥K, ♥K, ♦4 | pair
♣Q, ♠J, ♥K, ♥K, ♥4 | pair
♣Q, ♠J, ♥K, ♥K, ♥8 | pair
♣Q, ♠J, ♥K, ♥J, ♦4 | pair
♣Q, ♠J, ♥K, ♥J, ♥4 | pair
♣Q, ♠J, ♥K, ♥J, ♥8 | pair
♣Q, ♠J, ♥K, ♦4, ♥4 | pair
♣Q, ♠J, ♥3, ♣Q, ♠10 | pair
♣Q, ♠J, ♥3, ♣Q, ♠K | pair
♣Q, ♠J, ♥3, ♣Q, ♣A | pair
♣Q, ♠J, ♥3, ♣Q, ♥K | pair
♣Q, ♠J, ♥3, ♣Q, ♥J | two pairs
♣Q, ♠J, ♥3, ♣Q, ♦4 | pair
