♣J, ♦6, ♥2, ♣3, ♦J | pair
♣J, ♣3, ♦7, ♠6, ♣3 | pair
♣J, ♣3, ♦7, ♥2, ♣3 | pair
♣J, ♣3, ♦7, ♣A, ♣3 | pair
♣J, ♣3, ♦J, ♥7, ♠6 | pair
♣J, ♣3, ♦J, ♥7, ♥2 | pair
♣J, ♣3, ♦J, ♥7, ♣A | pair
♣J, ♣3, ♦J, ♥7, ♣3 | two pairs
♣J, ♣3, ♦J, ♠6, ♥2 | pair
♣J, ♣3, ♦J, ♠6, ♣A | pair
♣J, ♣3, ♦J, ♠6, ♣3 | two pairs
♣J, ♣3, ♦J, ♥2, ♣A | pair
♣J, ♣3, ♦J, ♥2, ♣3 | two pairs
♣J, ♣3, ♦J, ♣A, ♣3 | two pairs
♣J, ♣3, ♥7, ♠6, ♣3 | pair
♣J, ♣3, ♥7, ♥2, ♣3 | pair
♣J, ♣3, ♥7, ♣A, ♣3 | pair
♣J, ♣3, ♠6, ♥2, ♣3 | pair
♣J, ♣3, ♠6, ♣A, ♣3 | pair
♣J, ♣3, ♥2, ♣A, ♣3 | pair
♣J, ♦7, ♦J, ♥7, ♠6 | two pairs
♣J, ♦7, ♦J, ♥7, ♥2 | two pairs
♣J, ♦7, ♦J, ♥7, ♣A | two pairs
♣J, ♦7, ♦J, ♥7, ♣3 | two pairs
♣J, ♦7, ♦J, ♠6, ♥2 | pair
♣J, ♦7, ♦J, ♠6, ♣A | pair
♣J, ♦7, ♦J, ♠6, ♣3 | pair
♣J, ♦7, ♦J, ♥2, ♣A | pair
♣J, ♦7, ♦J, ♥2, ♣3 | pair
♣J, ♦7, ♦J, ♣A, ♣3 | pair
♣J, ♦7, ♥7, ♠6, ♥2 | pair
♣J, ♦7, ♥7, ♠6, ♣A | pair
♣J, ♦7, ♥7, ♠6, ♣3 | pair
♣J, ♦7, ♥7, ♥2, ♣A | pair
♣J, ♦7, ♥7, ♥2, ♣3 | pair
♣J, ♦7, ♥7, ♣A, ♣3 | pair
♣J, ♦J, ♥7, ♠6, ♥2 | pair
♣J, ♦J, ♥7, ♠6, ♣A | pair
♣J, ♦J, ♥7, ♠6, ♣3 | pair
♣J, ♦J, ♥7, ♥2, ♣A | pair
♣J, ♦J, ♥7, ♥2, ♣3 | pair
♣J, ♦J, ♥7, ♣A, ♣3 | pair
♣J, ♦J, ♠6, ♥2, ♣A | pair
♣J, ♦J, ♠6, ♥2, ♣3 | pair
♣J, ♦J, ♠6, ♣A, ♣3 | pair
♣J, ♦J, ♥2, ♣A, ♣3 | pair
♦6, ♥2, ♣3, ♦7, ♥7 | pair
♦6, ♥2, ♣3, ♦7, ♠6 | pair
♦6, ♥2, ♣3, ♦7, ♥2 | pair
♦6, ♥2, ♣3, ♦7, ♣3 | pair
♦6, ♥2, ♣3, ♦J, ♠6 | pair
♦6, ♥2, ♣3, ♦J, ♥2 | pair
♦6, ♥2, ♣3, ♦J, ♣3 | pair
♦6, ♥2, ♣3, ♥7, ♠6 | pair
♦6, ♥2, ♣3, ♥7, ♥2 | pair
♦6, ♥2, ♣3, ♥7, ♣3 | pair
♦6, ♥2, ♣3, ♠6, ♥2 | two pairs
♦6, ♥2, ♣3, ♠6, ♣A | pair
♦6, ♥2, ♣3, ♠6, ♣3 | two pairs
♦6, ♥2, ♣3, ♥2, ♣A | pair
♦6, ♥2, ♣3, ♥2, ♣3 | two pairs
♦6, ♥2, ♣3, ♣A, ♣3 | pair
♦6, ♥2, ♦7, ♦J, ♥7 | pair
♦6, ♥2, ♦7, ♦J, ♠6 | pair
♦6, ♥2, ♦7, ♦J, ♥2 | pair
♦6, ♥2, ♦7, ♥7, ♠6 | two pairs
♦6, ♥2, ♦7, ♥7, ♥2 | two pairs
♦6, ♥2, ♦7, ♥7, ♣A | pair
♦6, ♥2, ♦7, ♥7, ♣3 | pair
♦6, ♥2, ♦7, ♠6, ♥2 | two pairs
♦6, ♥2, ♦7, ♠6, ♣A | pair
♦6, ♥2, ♦7, ♠6, ♣3 | pair
♦6, ♥2, ♦7, ♥2, ♣A | pair
♦6, ♥2, ♦7, ♥2, ♣3 | pair
♦6, ♥2, ♦J, ♥7, ♠6 | pair
♦6, ♥2, ♦J, ♥7, ♥2 | pair
♦6, ♥2, ♦J, ♠6, ♥2 | two pairs
♦6, ♥2, ♦J, ♠6, ♣A | pair
♦6, ♥2, ♦J, ♠6, ♣3 | pair
♦6, ♥2, ♦J, ♥2, ♣A | pair
♦6, ♥2, ♦J, ♥2, ♣3 | pair
♦6, ♥2, ♥7, ♠6, ♥2 | two pairs
♦6, ♥2, ♥7, ♠6, ♣A | pair
♦6, ♥2, ♥7, ♠6, ♣3 | pair
♦6, ♥2, ♥7, ♥2, ♣A | pair
♦6, ♥2, ♥7, ♥2, ♣3 | pair
♦6, ♥2, ♠6, ♥2, ♣A | two pairs
♦6, ♥2, ♠6, ♥2, ♣3 | two pairs
♦6, ♥2, ♠6, ♣A, ♣3 | pair
♦6, ♥2, ♥2, ♣A, ♣3 | pair
♦6, ♣3, ♦7, ♦J, ♥7 | pair
♦6, ♣3, ♦7, ♦J, ♠6 | pair
♦6, ♣3, ♦7, ♦J, ♣3 | pair
♦6, ♣3, ♦7, ♥7, ♠6 | two pairs
♦6, ♣3, ♦7, ♥7, ♥2 | pair
♦6, ♣3, ♦7, ♥7, ♣A | pair
♦6, ♣3, ♦7, ♥7, ♣3 | two pairs
♦6, ♣3, ♦7, ♠6, ♥2 | pair
♦6, ♣3, ♦7, ♠6, ♣A | pair
♦6, ♣3, ♦7, ♠6, ♣3 | two pairs
♦6, ♣3, ♦7, ♥2, ♣3 | pair
♦6, ♣3, ♦7, ♣A, ♣3 | pair
♦6, ♣3, ♦J, ♥7, ♠6 | pair
♦6, ♣3, ♦J, ♥7, ♣3 | pair
♦6, ♣3, ♦J, ♠6, ♥2 | pair
♦6, ♣3, ♦J, ♠6, ♣A | pair
♦6, ♣3, ♦J, ♠6, ♣3 | two pairs
♦6, ♣3, ♦J, ♥2, ♣3 | pair
♦6, ♣3, ♦J, ♣A, ♣3 | pair
♦6, ♣3, ♥7, ♠6, ♥2 | pair
♦6, ♣3, ♥7, ♠6, ♣A | pair
♦6, ♣3, ♥7, ♠6, ♣3 | two pairs
♦6, ♣3, ♥7, ♥2, ♣3 | pair
♦6, ♣3, ♥7, ♣A, ♣3 | pair
♦6, ♣3, ♠6, ♥2, ♣A | pair
♦6, ♣3, ♠6, ♥2, ♣3 | two pairs
♦6, ♣3, ♠6, ♣A, ♣3 | two pairs
♦6, ♣3, ♥2, ♣A, ♣3 | pair
♦6, ♦7, ♦J, ♥7, ♠6 | two pairs
♦6, ♦7, ♦J, ♥7, ♥2 | pair
♦6, ♦7, ♦J, ♥7, ♣A | pair
♦6, ♦7, ♦J, ♥7, ♣3 | pair
♦6, ♦7, ♦J, ♠6, ♥2 | pair
♦6, ♦7, ♦J, ♠6, ♣A | pair
♦6, ♦7, ♦J, ♠6, ♣3 | pair
♦6, ♦7, ♥7, ♠6, ♥2 | two pairs
♦6, ♦7, ♥7, ♠6, ♣A | two pairs
♦6, ♦7, ♥7, ♠6, ♣3 | two pairs
♦6, ♦7, ♥7, ♥2, ♣A | pair
♦6, ♦7, ♥7, ♥2, ♣3 | pair
♦6, ♦7, ♥7, ♣A, ♣3 | pair
♦6, ♦7, ♠6, ♥2, ♣A | pair
♦6, ♦7, ♠6, ♥2, ♣3 | pair
♦6, ♦7, ♠6, ♣A, ♣3 | pair
♦6, ♦J, ♥7, ♠6, ♥2 | pair
♦6, ♦J, ♥7, ♠6, ♣A | pair
♦6, ♦J, ♥7, ♠6, ♣3 | pair
♦6, ♦J, ♠6, ♥2, ♣A | pair
♦6, ♦J, ♠6, ♥2, ♣3 | pair
♦6, ♦J, ♠6, ♣A, ♣3 | pair
♦6, ♥7, ♠6, ♥2, ♣A | pair
♦6, ♥7, ♠6, ♥2, ♣3 | pair
♦6, ♥7, ♠6, ♣A, ♣3 | pair
♦6, ♠6, ♥2, ♣A, ♣3 | pair
♥2, ♣3, ♦7, ♦J, ♥7 | pair
♥2, ♣3, ♦7, ♦J, ♥2 | pair
♥2, ♣3, ♦7, ♦J, ♣3 | pair
♥2, ♣3, ♦7, ♥7, ♠6 | pair
♥2, ♣3, ♦7, ♥7, ♥2 | two pairs
♥2, ♣3, ♦7, ♥7, ♣A | pair
♥2, ♣3, ♦7, ♥7, ♣3 | two pairs
♥2, ♣3, ♦7, ♠6, ♥2 | pair
♥2, ♣3, ♦7, ♠6, ♣3 | pair
♥2, ♣3, ♦7, ♥2, ♣A | pair
♥2, ♣3, ♦7, ♥2, ♣3 | two pairs
♥2, ♣3, ♦7, ♣A, ♣3 | pair
♥2, ♣3, ♦J, ♥7, ♥2 | pair
♥2, ♣3, ♦J, ♥7, ♣3 | pair
♥2, ♣3, ♦J, ♠6, ♥2 | pair
♥2, ♣3, ♦J, ♠6, ♣3 | pair
♥2, ♣3, ♦J, ♥2, ♣A | pair
♥2, ♣3, ♦J, ♥2, ♣3 | two pairs
♥2, ♣3, ♦J, ♣A, ♣3 | pair
♥2, ♣3, ♥7, ♠6, ♥2 | pair
♥2, ♣3, ♥7, ♠6, ♣3 | pair
♥2, ♣3, ♥7, ♥2, ♣A | pair
♥2, ♣3, ♥7, ♥2, ♣3 | two pairs
♥2, ♣3, ♥7, ♣A, ♣3 | pair
♥2, ♣3, ♠6, ♥2, ♣A | pair
♥2, ♣3, ♠6, ♥2, ♣3 | two pairs
♥2, ♣3, ♠6, ♣A, ♣3 | pair
♥2, ♣3, ♥2, ♣A, ♣3 | two pairs
♥2, ♦7, ♦J, ♥7, ♠6 | pair
♥2, ♦7, ♦J, ♥7, ♥2 | two pairs
♥2, ♦7, ♦J, ♥7, ♣A | pair
♥2, ♦7, ♦J, ♥7, ♣3 | pair
♥2, ♦7, ♦J, ♠6, ♥2 | pair
♥2, ♦7, ♦J, ♥2, ♣A | pair
♥2, ♦7, ♦J, ♥2, ♣3 | pair
♥2, ♦7, ♥7, ♠6, ♥2 | two pairs
♥2, ♦7, ♥7, ♠6, ♣A | pair
♥2, ♦7, ♥7, ♠6, ♣3 | pair
♥2, ♦7, ♥7, ♥2, ♣A | two pairs
♥2, ♦7, ♥7, ♥2, ♣3 | two pairs
♥2, ♦7, ♥7, ♣A, ♣3 | pair
♥2, ♦7, ♠6, ♥2, ♣A | pair
♥2, ♦7, ♠6, ♥2, ♣3 | pair
♥2, ♦7, ♥2, ♣A, ♣3 | pair
♥2, ♦J, ♥7, ♠6, ♥2 | pair
♥2, ♦J, ♥7, ♥2, ♣A | pair
♥2, ♦J, ♥7, ♥2, ♣3 | pair
♥2, ♦J, ♠6, ♥2, ♣A | pair
♥2, ♦J, ♠6, ♥2, ♣3 | pair
♥2, ♦J, ♥2, ♣A, ♣3 | pair
♥2, ♥7, ♠6, ♥2, ♣A | pair
♥2, ♥7, ♠6, ♥2, ♣3 | pair
♥2, ♥7, ♥2, ♣A, ♣3 | pair
♥2, ♠6, ♥2, ♣A, ♣3 | pair
♣3, ♦7, ♦J, ♥7, ♠6 | pair
♣3, ♦7, ♦J, ♥7, ♥2 | pair
♣3, ♦7, ♦J, ♥7, ♣A | pair
♣3, ♦7, ♦J, ♥7, ♣3 | two pairs
♣3, ♦7, ♦J, ♠6, ♣3 | pair
♣3, ♦7, ♦J, ♥2, ♣3 | pair
♣3, ♦7, ♦J, ♣A, ♣3 | pair
♣3, ♦7, ♥7, ♠6, ♥2 | pair
♣3, ♦7, ♥7, ♠6, ♣A | pair
♣3, ♦7, ♥7, ♠6, ♣3 | two pairs
♣3, ♦7, ♥7, ♥2, ♣A | pair
♣3, ♦7, ♥7, ♥2, ♣3 | two pairs
♣3, ♦7, ♥7, ♣A, ♣3 | two pairs
♣3, ♦7, ♠6, ♥2, ♣3 | pair
♣3, ♦7, ♠6, ♣A, ♣3 | pair
♣3, ♦7, ♥2, ♣A, ♣3 | pair
♣3, ♦J, ♥7, ♠6, ♣3 | pair
♣3, ♦J, ♥7, ♥2, ♣3 | pair
♣3, ♦J, ♥7, ♣A, ♣3 | pair
♣3, ♦J, ♠6, ♥2, ♣3 | pair
♣3, ♦J, ♠6, ♣A, ♣3 | pair
♣3, ♦J, ♥2, ♣A, ♣3 | pair
♣3, ♥7, ♠6, ♥2, ♣3 | pair
♣3, ♥7, ♠6, ♣A, ♣3 | pair
♣3, ♥7, ♥2, ♣A, ♣3 | pair
♣3, ♠6, ♥2, ♣A, ♣3 | pair
♦7, ♦J, ♥7, ♠6, ♥2 | pair
♦7, ♦J, ♥7, ♠6, ♣A | pair
♦7, ♦J, ♥7, ♠6, ♣3 | pair
♦7, ♦J, ♥7, ♥2, ♣A | pair
♦7, ♦J, ♥7, ♥2, ♣3 | pair
♦7, ♦J, ♥7, ♣A, ♣3 | pair
♦7, ♥7, ♠6, ♥2, ♣A | pair
♦7, ♥7, ♠6, ♥2, ♣3 | pair
♦7, ♥7, ♠6, ♣A, ♣3 | pair
♦7, ♥7, ♥2, ♣A, ♣3 | pair
