♣6, ♠A, ♦6, ♥Q, ♠9 | pair
♣6, ♦6, ♠2, ♥2, ♦2 | fullhouse
♣6, ♦6, ♠2, ♥2, ♥K | two pairs
♣6, ♦6, ♠2, ♥2, ♠8 | two pairs
♣6, ♦6, ♠2, ♥A, ♦2 | two pairs
♣6, ♦6, ♠2, ♥A, ♥K | pair
♣6, ♦6, ♠2, ♥A, ♠8 | pair
♣6, ♦6, ♠2, ♦2, ♥K | two pairs
♣6, ♦6, ♠2, ♦2, ♠8 | two pairs
♣6, ♦6, ♠2, ♥K, ♠8 | pair
♣6, ♦6, ♥2, ♥A, ♦2 | two pairs
♣6, ♦6, ♥2, ♥A, ♥K | pair
♣6, ♦6, ♥2, ♥A, ♠8 | pair
♣6, ♦6, ♥2, ♦2, ♥K | two pairs
♣6, ♦6, ♥2, ♦2, ♠8 | two pairs
♣6, ♦6, ♥2, ♥K, ♠8 | pair
♣6, ♦6, ♥A, ♦2, ♥K | pair
♣6, ♦6, ♥A, ♦2, ♠8 | pair
♣6, ♦6, ♥A, ♥K, ♠8 | pair
♣6, ♦6, ♦2, ♥K, ♠8 | pair
♣6, ♥Q, ♠9, ♦6, ♠2 | pair
♣6, ♥Q, ♠9, ♦6, ♥2 | pair
♣6, ♥Q, ♠9, ♦6, ♥A | pair
♣6, ♥Q, ♠9, ♦6, ♦2 | pair
♣6, ♥Q, ♠9, ♦6, ♥K | pair
♣6, ♥Q, ♠9, ♦6, ♠8 | pair
♣6, ♥Q, ♠9, ♠2, ♥2 | pair
♣6, ♥Q, ♠9, ♠2, ♦2 | pair
♣6, ♥Q, ♠9, ♥2, ♦2 | pair
♣6, ♥Q, ♦6, ♠2, ♥2 | two pairs
♣6, ♥Q, ♦6, ♠2, ♥A | pair
♣6, ♥Q, ♦6, ♠2, ♦2 | two pairs
♣6, ♥Q, ♦6, ♠2, ♥K | pair
♣6, ♥Q, ♦6, ♠2, ♠8 | pair
♣6, ♥Q, ♦6, ♥2, ♥A | pair
♣6, ♥Q, ♦6, ♥2, ♦2 | two pairs
♣6, ♥Q, ♦6, ♥2, ♥K | pair
♣6, ♥Q, ♦6, ♥2, ♠8 | pair
♣6, ♥Q, ♦6, ♥A, ♦2 | pair
♣6, ♥Q, ♦6, ♥A, ♥K | pair
♣6, ♥Q, ♦6, ♥A, ♠8 | pair
♣6, ♥Q, ♦6, ♦2, ♥K | pair
♣6, ♥Q, ♦6, ♦2, ♠8 | pair
♣6, ♥Q, ♦6, ♥K, ♠8 | pair
♣6, ♥Q, ♠2, ♥2, ♥A | pair
♣6, ♥Q, ♠2, ♥2, ♦2 | three of a kind
♣6, ♥Q, ♠2, ♥2, ♥K | pair
♣6, ♥Q, ♠2, ♥2, ♠8 | pair
♣6, ♥Q, ♠2, ♥A, ♦2 | pair
♣6, ♥Q, ♠2, ♦2, ♥K | pair
♣6, ♥Q, ♠2, ♦2, ♠8 | pair
♣6, ♥Q, ♥2, ♥A, ♦2 | pair
♣6, ♥Q, ♥2, ♦2, ♥K | pair
♣6, ♥Q, ♥2, ♦2, ♠8 | pair
♣6, ♠9, ♦6, ♠2, ♥2 | two pairs
♣6, ♠9, ♦6, ♠2, ♥A | pair
♣6, ♠9, ♦6, ♠2, ♦2 | two pairs
♣6, ♠9, ♦6, ♠2, ♥K | pair
♣6, ♠9, ♦6, ♠2, ♠8 | pair
♣6, ♠9, ♦6, ♥2, ♥A | pair
♣6, ♠9, ♦6, ♥2, ♦2 | two pairs
♣6, ♠9, ♦6, ♥2, ♥K | pair
♣6, ♠9, ♦6, ♥2, ♠8 | pair
♣6, ♠9, ♦6, ♥A, ♦2 | pair
♣6, ♠9, ♦6, ♥A, ♥K | pair
♣6, ♠9, ♦6, ♥A, ♠8 | pair
♣6, ♠9, ♦6, ♦2, ♥K | pair
♣6, ♠9, ♦6, ♦2, ♠8 | pair
♣6, ♠9, ♦6, ♥K, ♠8 | pair
♣6, ♠9, ♠2, ♥2, ♥A | pair
♣6, ♠9, ♠2, ♥2, ♦2 | three of a kind
♣6, ♠9, ♠2, ♥2, ♥K | pair
♣6, ♠9, ♠2, ♥2, ♠8 | pair
♣6, ♠9, ♠2, ♥A, ♦2 | pair
♣6, ♠9, ♠2, ♦2, ♥K | pair
♣6, ♠9, ♠2, ♦2, ♠8 | pair
♣6, ♠9, ♥2, ♥A, ♦2 | pair
♣6, ♠9, ♥2, ♦2, ♥K | pair
♣6, ♠9, ♥2, ♦2, ♠8 | pair
♣6, ♦6, ♠2, ♥2, ♥A | two pairs
♣6, ♦6, ♠2, ♥2, ♦2 | fullhouse
♣6, ♦6, ♠2, ♥2, ♥K | two pairs
♣6, ♦6, ♠2, ♥2, ♠8 | two pairs
♣6, ♦6, ♠2, ♥A, ♦2 | two pairs
♣6, ♦6, ♠2, ♥A, ♥K | pair
♣6, ♦6, ♠2, ♥A, ♠8 | pair
♣6, ♦6, ♠2, ♦2, ♥K | two pairs
♣6, ♦6, ♠2, ♦2, ♠8 | two pairs
♣6, ♦6, ♠2, ♥K, ♠8 | pair
♣6, ♦6, ♥2, ♥A, ♦2 | two pairs
♣6, ♦6, ♥2, ♥A, ♥K | pair
♣6, ♦6, ♥2, ♥A, ♠8 | pair
♣6, ♦6, ♥2, ♦2, ♥K | two pairs
♣6, ♦6, ♥2, ♦2, ♠8 | two pairs
♣6, ♦6, ♥2, ♥K, ♠8 | pair
♣6, ♦6, ♥A, ♦2, ♥K | pair
♣6, ♦6, ♥A, ♦2, ♠8 | pair
♣6, ♦6, ♥A, ♥K, ♠8 | pair
♣6, ♦6, ♦2, ♥K, ♠8 | pair
♣6, ♠2, ♥2, ♥A, ♦2 | three of a kind
♣6, ♠2, ♥2, ♥A, ♥K | pair
♣6, ♠2, ♥2, ♥A, ♠8 | pair
♣6, ♠2, ♥2, ♦2, ♥K | three of a kind
♣6, ♠2, ♥2, ♦2, ♠8 | three of a kind
♣6, ♠2, ♥2, ♥K, ♠8 | pair
♣6, ♠2, ♥A, ♦2, ♥K | pair
♣6, ♠2, ♥A, ♦2, ♠8 | pair
♣6, ♠2, ♦2, ♥K, ♠8 | pair
♣6, ♥2, ♥A, ♦2, ♥K | pair
♣6, ♥2, ♥A, ♦2, ♠8 | pair
♣6, ♥2, ♦2, ♥K, ♠8 | pair
♠A, ♦6, ♥Q, ♠9, ♦6 | pair
♠A, ♦6, ♥Q, ♠9, ♥A | pair
♠A, ♦6, ♥Q, ♦6, ♠2 | pair
♠A, ♦6, ♥Q, ♦6, ♥2 | pair
♠A, ♦6, ♥Q, ♦6, ♥A | two pairs
♠A, ♦6, ♥Q, ♦6, ♦2 | pair
♠A, ♦6, ♥Q, ♦6, ♥K | pair
♠A, ♦6, ♥Q, ♦6, ♠8 | pair
♠A, ♦6, ♥Q, ♠2, ♥2 | pair
♠A, ♦6, ♥Q, ♠2, ♥A | pair
♠A, ♦6, ♥Q, ♠2, ♦2 | pair
♠A, ♦6, ♥Q, ♥2, ♥A | pair
♠A, ♦6, ♥Q, ♥2, ♦2 | pair
♠A, ♦6, ♥Q, ♥A, ♦2 | pair
♠A, ♦6, ♥Q, ♥A, ♥K | pair
♠A, ♦6, ♥Q, ♥A, ♠8 | pair
♠A, ♦6, ♠9, ♦6, ♠2 | pair
♠A, ♦6, ♠9, ♦6, ♥2 | pair
♠A, ♦6, ♠9, ♦6, ♥A | two pairs
♠A, ♦6, ♠9, ♦6, ♦2 | pair
♠A, ♦6, ♠9, ♦6, ♥K | pair
♠A, ♦6, ♠9, ♦6, ♠8 | pair
♠A, ♦6, ♠9, ♠2, ♥2 | pair
♠A, ♦6, ♠9, ♠2, ♥A | pair
♠A, ♦6, ♠9, ♠2, ♦2 | pair
♠A, ♦6, ♠9, ♥2, ♥A | pair
♠A, ♦6, ♠9, ♥2, ♦2 | pair
♠A, ♦6, ♠9, ♥A, ♦2 | pair
♠A, ♦6, ♠9, ♥A, ♥K | pair
♠A, ♦6, ♠9, ♥A, ♠8 | pair
♠A, ♦6, ♦6, ♠2, ♥2 | two pairs
♠A, ♦6, ♦6, ♠2, ♥A | two pairs
♠A, ♦6, ♦6, ♠2, ♦2 | two pairs
♠A, ♦6, ♦6, ♠2, ♥K | pair
♠A, ♦6, ♦6, ♠2, ♠8 | pair
♠A, ♦6, ♦6, ♥2, ♥A | two pairs
♠A, ♦6, ♦6, ♥2, ♦2 | two pairs
♠A, ♦6, ♦6, ♥2, ♥K | pair
♠A, ♦6, ♦6, ♥2, ♠8 | pair
♠A, ♦6, ♦6, ♥A, ♦2 | two pairs
♠A, ♦6, ♦6, ♥A, ♥K | two pairs
♠A, ♦6, ♦6, ♥A, ♠8 | two pairs
♠A, ♦6, ♦6, ♦2, ♥K | pair
♠A, ♦6, ♦6, ♦2, ♠8 | pair
♠A, ♦6, ♦6, ♥K, ♠8 | pair
♠A, ♦6, ♠2, ♥2, ♥A | two pairs
♠A, ♦6, ♠2, ♥2, ♦2 | three of a kind
♠A, ♦6, ♠2, ♥2, ♥K | pair
♠A, ♦6, ♠2, ♥2, ♠8 | pair
♠A, ♦6, ♠2, ♥A, ♦2 | two pairs
♠A, ♦6, ♠2, ♥A, ♥K | pair
♠A, ♦6, ♠2, ♥A, ♠8 | pair
♠A, ♦6, ♠2, ♦2, ♥K | pair
♠A, ♦6, ♠2, ♦2, ♠8 | pair
♠A, ♦6, ♥2, ♥A, ♦2 | two pairs
♠A, ♦6, ♥2, ♥A, ♥K | pair
♠A, ♦6, ♥2, ♥A, ♠8 | pair
♠A, ♦6, ♥2, ♦2, ♥K | pair
♠A, ♦6, ♥2, ♦2, ♠8 | pair
♠A, ♦6, ♥A, ♦2, ♥K | pair
♠A, ♦6, ♥A, ♦2, ♠8 | pair
♠A, ♦6, ♥A, ♥K, ♠8 | pair
♠A, ♥Q, ♠9, ♦6, ♥A | pair
♠A, ♥Q, ♠9, ♠2, ♥2 | pair
♠A, ♥Q, ♠9, ♠2, ♥A | pair
♠A, ♥Q, ♠9, ♠2, ♦2 | pair
♠A, ♥Q, ♠9, ♥2, ♥A | pair
♠A, ♥Q, ♠9, ♥2, ♦2 | pair
♠A, ♥Q, ♠9, ♥A, ♦2 | pair
♠A, ♥Q, ♠9, ♥A, ♥K | pair
♠A, ♥Q, ♠9, ♥A, ♠8 | pair
♠A, ♥Q, ♦6, ♠2, ♥2 | pair
♠A, ♥Q, ♦6, ♠2, ♥A | pair
♠A, ♥Q, ♦6, ♠2, ♦2 | pair
♠A, ♥Q, ♦6, ♥2, ♥A | pair
♠A, ♥Q, ♦6, ♥2, ♦2 | pair
♠A, ♥Q, ♦6, ♥A, ♦2 | pair
♠A, ♥Q, ♦6, ♥A, ♥K | pair
♠A, ♥Q, ♦6, ♥A, ♠8 | pair
♠A, ♥Q, ♠2, ♥2, ♥A | two pairs
♠A, ♥Q, ♠2, ♥2, ♦2 | three of a kind
♠A, ♥Q, ♠2, ♥2, ♥K | pair
♠A, ♥Q, ♠2, ♥2, ♠8 | pair
♠A, ♥Q, ♠2, ♥A, ♦2 | two pairs
♠A, ♥Q, ♠2, ♥A, ♥K | pair
♠A, ♥Q, ♠2, ♥A, ♠8 | pair
♠A, ♥Q, ♠2, ♦2, ♥K | pair
♠A, ♥Q, ♠2, ♦2, ♠8 | pair
♠A, ♥Q, ♥2, ♥A, ♦2 | two pairs
♠A, ♥Q, ♥2, ♥A, ♥K | pair
♠A, ♥Q, ♥2, ♥A, ♠8 | pair
♠A, ♥Q, ♥2, ♦2, ♥K | pair
♠A, ♥Q, ♥2, ♦2, ♠8 | pair
♠A, ♥Q, ♥A, ♦2, ♥K | pair
♠A, ♥Q, ♥A, ♦2, ♠8 | pair
♠A, ♥Q, ♥A, ♥K, ♠8 | pair
♠A, ♠9, ♦6, ♠2, ♥2 | pair
♠A, ♠9, ♦6, ♠2, ♥A | pair
♠A, ♠9, ♦6, ♠2, ♦2 | pair
♠A, ♠9, ♦6, ♥2, ♥A | pair
♠A, ♠9, ♦6, ♥2, ♦2 | pair
♠A, ♠9, ♦6, ♥A, ♦2 | pair
♠A, ♠9, ♦6, ♥A, ♥K | pair
♠A, ♠9, ♦6, ♥A, ♠8 | pair
♠A, ♠9, ♠2, ♥2, ♥A | two pairs
♠A, ♠9, ♠2, ♥2, ♦2 | three of a kind
♠A, ♠9, ♠2, ♥2, ♥K | pair
♠A, ♠9, ♠2, ♥2, ♠8 | pair
♠A, ♠9, ♠2, ♥A, ♦2 | two pairs
♠A, ♠9, ♠2, ♥A, ♥K | pair
♠A, ♠9, ♠2, ♥A, ♠8 | pair
♠A, ♠9, ♠2, ♦2, ♥K | pair
♠A, ♠9, ♠2, ♦2, ♠8 | pair
♠A, ♠9, ♥2, ♥A, ♦2 | two pairs
♠A, ♠9, ♥2, ♥A, ♥K | pair
♠A, ♠9, ♥2, ♥A, ♠8 | pair
♠A, ♠9, ♥2, ♦2, ♥K | pair
♠A, ♠9, ♥2, ♦2, ♠8 | pair
♠A, ♠9, ♥A, ♦2, ♥K | pair
♠A, ♠9, ♥A, ♦2, ♠8 | pair
♠A, ♠9, ♥A, ♥K, ♠8 | pair
♠A, ♦6, ♠2, ♥2, ♥A | two pairs
♠A, ♦6, ♠2, ♥2, ♦2 | three of a kind
♠A, ♦6, ♠2, ♥2, ♥K | pair
♠A, ♦6, ♠2, ♥2, ♠8 | pair
♠A, ♦6, ♠2, ♥A, ♦2 | two pairs
♠A, ♦6, ♠2, ♥A, ♥K | pair
♠A, ♦6, ♠2, ♥A, ♠8 | pair
♠A, ♦6, ♠2, ♦2, ♥K | pair
♠A, ♦6, ♠2, ♦2, ♠8 | pair
♠A, ♦6, ♥2, ♥A, ♦2 | two pairs
♠A, ♦6, ♥2, ♥A, ♥K | pair
♠A, ♦6, ♥2, ♥A, ♠8 | pair
♠A, ♦6, ♥2, ♦2, ♥K | pair
♠A, ♦6, ♥2, ♦2, ♠8 | pair
♠A, ♦6, ♥A, ♦2, ♥K | pair
♠A, ♦6, ♥A, ♦2, ♠8 | pair
♠A, ♦6, ♥A, ♥K, ♠8 | pair
♠A, ♠2, ♥2, ♥A, ♦2 | fullhouse
♠A, ♠2, ♥2, ♥A, ♥K | two pairs
♠A, ♠2, ♥2, ♥A, ♠8 | two pairs
♠A, ♠2, ♥2, ♦2, ♥K | three of a kind
♠A, ♠2, ♥2, ♦2, ♠8 | three of a kind
♠A, ♠2, ♥2, ♥K, ♠8 | pair
♠A, ♠2, ♥A, ♦2, ♥K | two pairs
♠A, ♠2, ♥A, ♦2, ♠8 | two pairs
♠A, ♠2, ♥A, ♥K, ♠8 | pair
♠A, ♠2, ♦2, ♥K, ♠8 | pair
♠A, ♥2, ♥A, ♦2, ♥K | two pairs
♠A, ♥2, ♥A, ♦2, ♠8 | two pairs
♠A, ♥2, ♥A, ♥K, ♠8 | pair
♠A, ♥2, ♦2, ♥K, ♠8 | pair
♠A, ♥A, ♦2, ♥K, ♠8 | pair
♦6, ♥Q, ♠9, ♦6, ♠2 | pair
♦6, ♥Q, ♠9, ♦6, ♥2 | pair
♦6, ♥Q, ♠9, ♦6, ♥A | pair
♦6, ♥Q, ♠9, ♦6, ♦2 | pair
♦6, ♥Q, ♠9, ♦6, ♥K | pair
♦6, ♥Q, ♠9, ♦6, ♠8 | pair
♦6, ♥Q, ♠9, ♠2, ♥2 | pair
♦6, ♥Q, ♠9, ♠2, ♦2 | pair
♦6, ♥Q, ♠9, ♥2, ♦2 | pair
♦6, ♥Q, ♦6, ♠2, ♥2 | two pairs
♦6, ♥Q, ♦6, ♠2, ♥A | pair
♦6, ♥Q, ♦6, ♠2, ♦2 | two pairs
♦6, ♥Q, ♦6, ♠2, ♥K | pair
♦6, ♥Q, ♦6, ♠2, ♠8 | pair
♦6, ♥Q, ♦6, ♥2, ♥A | pair
♦6, ♥Q, ♦6, ♥2, ♦2 | two pairs
♦6, ♥Q, ♦6, ♥2, ♥K | pair
♦6, ♥Q, ♦6, ♥2, ♠8 | pair
♦6, ♥Q, ♦6, ♥A, ♦2 | pair
♦6, ♥Q, ♦6, ♥A, ♥K | pair
♦6, ♥Q, ♦6, ♥A, ♠8 | pair
♦6, ♥Q, ♦6, ♦2, ♥K | pair
♦6, ♥Q, ♦6, ♦2, ♠8 | pair
♦6, ♥Q, ♦6, ♥K, ♠8 | pair
♦6, ♥Q, ♠2, ♥2, ♥A | pair
♦6, ♥Q, ♠2, ♥2, ♦2 | three of a kind
♦6, ♥Q, ♠2, ♥2, ♥K | pair
♦6, ♥Q, ♠2, ♥2, ♠8 | pair
♦6, ♥Q, ♠2, ♥A, ♦2 | pair
♦6, ♥Q, ♠2, ♦2, ♥K | pair
♦6, ♥Q, ♠2, ♦2, ♠8 | pair
♦6, ♥Q, ♥2, ♥A, ♦2 | pair
♦6, ♥Q, ♥2, ♦2, ♥K | pair
♦6, ♥Q, ♥2, ♦2, ♠8 | pair
♦6, ♠9, ♦6, ♠2, ♥2 | two pairs
♦6, ♠9, ♦6, ♠2, ♥A | pair
♦6, ♠9, ♦6, ♠2, ♦2 | two pairs
♦6, ♠9, ♦6, ♠2, ♥K | pair
♦6, ♠9, ♦6, ♠2, ♠8 | pair
♦6, ♠9, ♦6, ♥2, ♥A | pair
♦6, ♠9, ♦6, ♥2, ♦2 | two pairs
♦6, ♠9, ♦6, ♥2, ♥K | pair
♦6, ♠9, ♦6, ♥2, ♠8 | pair
♦6, ♠9, ♦6, ♥A, ♦2 | pair
♦6, ♠9, ♦6, ♥A, ♥K | pair
♦6, ♠9, ♦6, ♥A, ♠8 | pair
♦6, ♠9, ♦6, ♦2, ♥K | pair
♦6, ♠9, ♦6, ♦2, ♠8 | pair
♦6, ♠9, ♦6, ♥K, ♠8 | pair
♦6, ♠9, ♠2, ♥2, ♥A | pair
♦6, ♠9, ♠2, ♥2, ♦2 | three of a kind
♦6, ♠9, ♠2, ♥2, ♥K | pair
♦6, ♠9, ♠2, ♥2, ♠8 | pair
♦6, ♠9, ♠2, ♥A, ♦2 | pair
♦6, ♠9, ♠2, ♦2, ♥K | pair
♦6, ♠9, ♠2, ♦2, ♠8 | pair
♦6, ♠9, ♥2, ♥A, ♦2 | pair
♦6, ♠9, ♥2, ♦2, ♥K | pair
♦6, ♠9, ♥2, ♦2, ♠8 | pair
♦6, ♦6, ♠2, ♥2, ♥A | two pairs
♦6, ♦6, ♠2, ♥2, ♦2 | fullhouse
