♥K, ♥A, ♣4, ♠K, ♦8 | pair
♥K, ♥A, ♦8, ♦2, ♦A | pair
♥K, ♥A, ♥7, ♦10, ♦A | pair
♥K, ♥A, ♥7, ♦10, ♣7 | pair
♥K, ♥A, ♥7, ♦10, ♦K | pair
♥K, ♥A, ♥7, ♦10, ♠K | pair
♥K, ♥A, ♥7, ♦10, ♠7 | pair
♥K, ♥A, ♥7, ♦10, ♥A | pair
♥K, ♥A, ♥7, ♦10, ♦A | pair
♥K, ♥A, ♥7, ♦A, ♣7 | two pairs
♥K, ♥A, ♥7, ♦A, ♦K | two pairs
♥K, ♥A, ♥7, ♦A, ♠K | two pairs
♥K, ♥A, ♥7, ♦A, ♠7 | two pairs
♥K, ♥A, ♥7, ♦A, ♥A | three of a kind
♥K, ♥A, ♥7, ♦A, ♦8 | pair
♥K, ♥A, ♥7, ♦A, ♦2 | pair
♥K, ♥A, ♥7, ♦A, ♦A | three of a kind
♥K, ♥A, ♥7, ♣7, ♦K | two pairs
♥K, ♥A, ♥7, ♣7, ♠K | two pairs
♥K, ♥A, ♥7, ♣7, ♠7 | three of a kind
♥K, ♥A, ♥7, ♣7, ♥A | two pairs
♥K, ♥A, ♥7, ♣7, ♦8 | pair
♥K, ♥A, ♥7, ♣7, ♦2 | pair
♥K, ♥A, ♥7, ♣7, ♦A | two pairs
♥K, ♥A, ♥7, ♦K, ♠K | three of a kind
♥K, ♥A, ♥7, ♦K, ♠7 | two pairs
♥K, ♥A, ♥7, ♦K, ♥A | two pairs
♥K, ♥A, ♥7, ♦K, ♦8 | pair
♥K, ♥A, ♥7, ♦K, ♦2 | pair
♥K, ♥A, ♥7, ♦K, ♦A | two pairs
♥K, ♥A, ♥7, ♠K, ♠7 | two pairs
♥K, ♥A, ♥7, ♠K, ♥A | two pairs
♥K, ♥A, ♥7, ♠K, ♦8 | pair
♥K, ♥A, ♥7, ♠K, ♦2 | pair
♥K, ♥A, ♥7, ♠K, ♦A | two pairs
♥K, ♥A, ♥7, ♠7, ♥A | two pairs
♥K, ♥A, ♥7, ♠7, ♦8 | pair
♥K, ♥A, ♥7, ♠7, ♦2 | pair
♥K, ♥A, ♥7, ♠7, ♦A | two pairs
♥K, ♥A, ♥7, ♥A, ♦8 | pair
♥K, ♥A, ♥7, ♥A, ♦2 | pair
♥K, ♥A, ♥7, ♥A, ♦A | three of a kind
♥K, ♥A, ♥7, ♦8, ♦A | pair
♥K, ♥A, ♥7, ♦2, ♦A | pair
♥K, ♥A, ♦10, ♦A, ♣7 | pair
♥K, ♥A, ♦10, ♦A, ♦K | two pairs
♥K, ♥A, ♦10, ♦A, ♠K | two pairs
♥K, ♥A, ♦10, ♦A, ♠7 | pair
♥K, ♥A, ♦10, ♦A, ♥A | three of a kind
♥K, ♥A, ♦10, ♦A, ♦8 | pair
♥K, ♥A, ♦10, ♦A, ♦2 | pair
♥K, ♥A, ♦10, ♦A, ♦A | three of a kind
♥K, ♥A, ♦10, ♣7, ♦K | pair
♥K, ♥A, ♦10, ♣7, ♠K | pair
♥K, ♥A, ♦10, ♣7, ♠7 | pair
♥K, ♥A, ♦10, ♣7, ♥A | pair
♥K, ♥A, ♦10, ♣7, ♦A | pair
♥K, ♥A, ♦10, ♦K, ♠K | three of a kind
♥K, ♥A, ♦10, ♦K, ♠7 | pair
♥K, ♥A, ♦10, ♦K, ♥A | two pairs
♥K, ♥A, ♦10, ♦K, ♦8 | pair
♥K, ♥A, ♦10, ♦K, ♦2 | pair
♥K, ♥A, ♦10, ♦K, ♦A | two pairs
♥K, ♥A, ♦10, ♠K, ♠7 | pair
♥K, ♥A, ♦10, ♠K, ♥A | two pairs
♥K, ♥A, ♦10, ♠K, ♦8 | pair
♥K, ♥A, ♦10, ♠K, ♦2 | pair
♥K, ♥A, ♦10, ♠K, ♦A | two pairs
♥K, ♥A, ♦10, ♠7, ♥A | pair
♥K, ♥A, ♦10, ♠7, ♦A | pair
♥K, ♥A, ♦10, ♥A, ♦8 | pair
♥K, ♥A, ♦10, ♥A, ♦2 | pair
♥K, ♥A, ♦10, ♥A, ♦A | three of a kind
♥K, ♥A, ♦10, ♦8, ♦A | pair
♥K, ♥A, ♦10, ♦2, ♦A | pair
♥K, ♥A, ♦A, ♣7, ♦K | two pairs
♥K, ♥A, ♦A, ♣7, ♠K | two pairs
♥K, ♥A, ♦A, ♣7, ♠7 | two pairs
♥K, ♥A, ♦A, ♣7, ♥A | three of a kind
♥K, ♥A, ♦A, ♣7, ♦8 | pair
♥K, ♥A, ♦A, ♣7, ♦2 | pair
♥K, ♥A, ♦A, ♣7, ♦A | three of a kind
♥K, ♥A, ♦A, ♦K, ♠K | fullhouse
♥K, ♥A, ♦A, ♦K, ♠7 | two pairs
♥K, ♥A, ♦A, ♦K, ♥A | fullhouse
♥K, ♥A, ♦A, ♦K, ♦8 | two pairs
♥K, ♥A, ♦A, ♦K, ♦2 | two pairs
♥K, ♥A, ♦A, ♦K, ♦A | fullhouse
♥K, ♥A, ♦A, ♠K, ♠7 | two pairs
♥K, ♥A, ♦A, ♠K, ♥A | fullhouse
♥K, ♥A, ♦A, ♠K, ♦8 | two pairs
♥K, ♥A, ♦A, ♠K, ♦2 | two pairs
♥K, ♥A, ♦A, ♠K, ♦A | fullhouse
♥K, ♥A, ♦A, ♠7, ♥A | three of a kind
♥K, ♥A, ♦A, ♠7, ♦8 | pair
♥K, ♥A, ♦A, ♠7, ♦2 | pair
♥K, ♥A, ♦A, ♠7, ♦A | three of a kind
♥K, ♥A, ♦A, ♥A, ♦8 | three of a kind
♥K, ♥A, ♦A, ♥A, ♦2 | three of a kind
♥K, ♥A, ♦A, ♥A, ♦A | four of a kind!
♥K, ♥A, ♦A, ♦8, ♦2 | pair
♥K, ♥A, ♦A, ♦8, ♦A | three of a kind
♥K, ♥A, ♦A, ♦2, ♦A | three of a kind
♥K, ♥A, ♣7, ♦K, ♠K | three of a kind
♥K, ♥A, ♣7, ♦K, ♠7 | two pairs
♥K, ♥A, ♣7, ♦K, ♥A | two pairs
♥K, ♥A, ♣7, ♦K, ♦8 | pair
♥K, ♥A, ♣7, ♦K, ♦2 | pair
♥K, ♥A, ♣7, ♦K, ♦A | two pairs
♥K, ♥A, ♣7, ♠K, ♠7 | two pairs
♥K, ♥A, ♣7, ♠K, ♥A | two pairs
♥K, ♥A, ♣7, ♠K, ♦8 | pair
♥K, ♥A, ♣7, ♠K, ♦2 | pair
♥K, ♥A, ♣7, ♠K, ♦A | two pairs
♥K, ♥A, ♣7, ♠7, ♥A | two pairs
♥K, ♥A, ♣7, ♠7, ♦8 | pair
♥K, ♥A, ♣7, ♠7, ♦2 | pair
♥K, ♥A, ♣7, ♠7, ♦A | two pairs
♥K, ♥A, ♣7, ♥A, ♦8 | pair
♥K, ♥A, ♣7, ♥A, ♦2 | pair
♥K, ♥A, ♣7, ♥A, ♦A | three of a kind
♥K, ♥A, ♣7, ♦8, ♦A | pair
♥K, ♥A, ♣7, ♦2, ♦A | pair
♥K, ♥A, ♦K, ♠K, ♠7 | three of a kind
♥K, ♥A, ♦K, ♠K, ♥A | fullhouse
♥K, ♥A, ♦K, ♠K, ♦8 | three of a kind
♥K, ♥A, ♦K, ♠K, ♦2 | three of a kind
♥K, ♥A, ♦K, ♠K, ♦A | fullhouse
♥K, ♥A, ♦K, ♠7, ♥A | two pairs
♥K, ♥A, ♦K, ♠7, ♦8 | pair
♥K, ♥A, ♦K, ♠7, ♦2 | pair
♥K, ♥A, ♦K, ♠7, ♦A | two pairs
♥K, ♥A, ♦K, ♥A, ♦8 | two pairs
♥K, ♥A, ♦K, ♥A, ♦2 | two pairs
♥K, ♥A, ♦K, ♥A, ♦A | fullhouse
♥K, ♥A, ♦K, ♦8, ♦2 | pair
♥K, ♥A, ♦K, ♦8, ♦A | two pairs
♥K, ♥A, ♦K, ♦2, ♦A | two pairs
♥K, ♥A, ♠K, ♠7, ♥A | two pairs
♥K, ♥A, ♠K, ♠7, ♦8 | pair
♥K, ♥A, ♠K, ♠7, ♦2 | pair
♥K, ♥A, ♠K, ♠7, ♦A | two pairs
♥K, ♥A, ♠K, ♥A, ♦8 | two pairs
♥K, ♥A, ♠K, ♥A, ♦2 | two pairs
♥K, ♥A, ♠K, ♥A, ♦A | fullhouse
♥K, ♥A, ♠K, ♦8, ♦2 | pair
♥K, ♥A, ♠K, ♦8, ♦A | two pairs
♥K, ♥A, ♠K, ♦2, ♦A | two pairs
♥K, ♥A, ♠7, ♥A, ♦8 | pair
♥K, ♥A, ♠7, ♥A, ♦2 | pair
♥K, ♥A, ♠7, ♥A, ♦A | three of a kind
♥K, ♥A, ♠7, ♦8, ♦A | pair
♥K, ♥A, ♠7, ♦2, ♦A | pair
♥K, ♥A, ♥A, ♦8, ♦2 | pair
♥K, ♥A, ♥A, ♦8, ♦A | three of a kind
♥K, ♥A, ♥A, ♦2, ♦A | three of a kind
♥K, ♥A, ♦8, ♦2, ♦A | pair
♥K, ♣4, ♠K, ♦8, ♥7 | pair
♥K, ♣4, ♠K, ♦8, ♦10 | pair
♥K, ♣4, ♠K, ♦8, ♦A | pair
♥K, ♣4, ♠K, ♦8, ♣7 | pair
♥K, ♣4, ♠K, ♦8, ♦K | three of a kind
♥K, ♣4, ♠K, ♦8, ♠K | three of a kind
♥K, ♣4, ♠K, ♦8, ♠7 | pair
♥K, ♣4, ♠K, ♦8, ♥A | pair
♥K, ♣4, ♠K, ♦8, ♦8 | two pairs
♥K, ♣4, ♠K, ♦8, ♦2 | pair
♥K, ♣4, ♠K, ♦8, ♦A | pair
♥K, ♣4, ♠K, ♥7, ♦10 | pair
♥K, ♣4, ♠K, ♥7, ♦A | pair
♥K, ♣4, ♠K, ♥7, ♣7 | two pairs
♥K, ♣4, ♠K, ♥7, ♦K | three of a kind
♥K, ♣4, ♠K, ♥7, ♠K | three of a kind
♥K, ♣4, ♠K, ♥7, ♠7 | two pairs
♥K, ♣4, ♠K, ♥7, ♥A | pair
♥K, ♣4, ♠K, ♥7, ♦8 | pair
♥K, ♣4, ♠K, ♥7, ♦2 | pair
♥K, ♣4, ♠K, ♥7, ♦A | pair
♥K, ♣4, ♠K, ♦10, ♦A | pair
♥K, ♣4, ♠K, ♦10, ♣7 | pair
♥K, ♣4, ♠K, ♦10, ♦K | three of a kind
♥K, ♣4, ♠K, ♦10, ♠K | three of a kind
♥K, ♣4, ♠K, ♦10, ♠7 | pair
♥K, ♣4, ♠K, ♦10, ♥A | pair
♥K, ♣4, ♠K, ♦10, ♦8 | pair
♥K, ♣4, ♠K, ♦10, ♦2 | pair
♥K, ♣4, ♠K, ♦10, ♦A | pair
♥K, ♣4, ♠K, ♦A, ♣7 | pair
♥K, ♣4, ♠K, ♦A, ♦K | three of a kind
♥K, ♣4, ♠K, ♦A, ♠K | three of a kind
♥K, ♣4, ♠K, ♦A, ♠7 | pair
♥K, ♣4, ♠K, ♦A, ♥A | two pairs
♥K, ♣4, ♠K, ♦A, ♦8 | pair
♥K, ♣4, ♠K, ♦A, ♦2 | pair
♥K, ♣4, ♠K, ♦A, ♦A | two pairs
♥K, ♣4, ♠K, ♣7, ♦K | three of a kind
♥K, ♣4, ♠K, ♣7, ♠K | three of a kind
♥K, ♣4, ♠K, ♣7, ♠7 | two pairs
♥K, ♣4, ♠K, ♣7, ♥A | pair
♥K, ♣4, ♠K, ♣7, ♦8 | pair
♥K, ♣4, ♠K, ♣7, ♦2 | pair
♥K, ♣4, ♠K, ♣7, ♦A | pair
♥K, ♣4, ♠K, ♦K, ♠K | four of a kind!
♥K, ♣4, ♠K, ♦K, ♠7 | three of a kind
♥K, ♣4, ♠K, ♦K, ♥A | three of a kind
♥K, ♣4, ♠K, ♦K, ♦8 | three of a kind
♥K, ♣4, ♠K, ♦K, ♦2 | three of a kind
♥K, ♣4, ♠K, ♦K, ♦A | three of a kind
♥K, ♣4, ♠K, ♠K, ♠7 | three of a kind
♥K, ♣4, ♠K, ♠K, ♥A | three of a kind
♥K, ♣4, ♠K, ♠K, ♦8 | three of a kind
♥K, ♣4, ♠K, ♠K, ♦2 | three of a kind
♥K, ♣4, ♠K, ♠K, ♦A | three of a kind
♥K, ♣4, ♠K, ♠7, ♥A | pair
♥K, ♣4, ♠K, ♠7, ♦8 | pair
♥K, ♣4, ♠K, ♠7, ♦2 | pair
♥K, ♣4, ♠K, ♠7, ♦A | pair
♥K, ♣4, ♠K, ♥A, ♦8 | pair
♥K, ♣4, ♠K, ♥A, ♦2 | pair
♥K, ♣4, ♠K, ♥A, ♦A | two pairs
♥K, ♣4, ♠K, ♦8, ♦2 | pair
♥K, ♣4, ♠K, ♦8, ♦A | pair
♥K, ♣4, ♠K, ♦2, ♦A | pair
♥K, ♣4, ♦8, ♥7, ♣7 | pair
♥K, ♣4, ♦8, ♥7, ♦K | pair
♥K, ♣4, ♦8, ♥7, ♠K | pair
♥K, ♣4, ♦8, ♥7, ♠7 | pair
♥K, ♣4, ♦8, ♥7, ♦8 | pair
♥K, ♣4, ♦8, ♦10, ♦K | pair
♥K, ♣4, ♦8, ♦10, ♠K | pair
♥K, ♣4, ♦8, ♦10, ♦8 | pair
♥K, ♣4, ♦8, ♦A, ♦K | pair
♥K, ♣4, ♦8, ♦A, ♠K | pair
♥K, ♣4, ♦8, ♦A, ♥A | pair
♥K, ♣4, ♦8, ♦A, ♦8 | pair
♥K, ♣4, ♦8, ♦A, ♦A | pair
♥K, ♣4, ♦8, ♣7, ♦K | pair
♥K, ♣4, ♦8, ♣7, ♠K | pair
♥K, ♣4, ♦8, ♣7, ♠7 | pair
♥K, ♣4, ♦8, ♣7, ♦8 | pair
♥K, ♣4, ♦8, ♦K, ♠K | three of a kind
♥K, ♣4, ♦8, ♦K, ♠7 | pair
♥K, ♣4, ♦8, ♦K, ♥A | pair
♥K, ♣4, ♦8, ♦K, ♦8 | two pairs
♥K, ♣4, ♦8, ♦K, ♦2 | pair
♥K, ♣4, ♦8, ♦K, ♦A | pair
♥K, ♣4, ♦8, ♠K, ♠7 | pair
♥K, ♣4, ♦8, ♠K, ♥A | pair
♥K, ♣4, ♦8, ♠K, ♦8 | two pairs
♥K, ♣4, ♦8, ♠K, ♦2 | pair
♥K, ♣4, ♦8, ♠K, ♦A | pair
♥K, ♣4, ♦8, ♠7, ♦8 | pair
♥K, ♣4, ♦8, ♥A, ♦8 | pair
♥K, ♣4, ♦8, ♥A, ♦A | pair
♥K, ♣4, ♦8, ♦8, ♦2 | pair
♥K, ♣4, ♦8, ♦8, ♦A | pair
♥K, ♣4, ♥7, ♦10, ♣7 | pair
♥K, ♣4, ♥7, ♦10, ♦K | pair
♥K, ♣4, ♥7, ♦10, ♠K | pair
♥K, ♣4, ♥7, ♦10, ♠7 | pair
♥K, ♣4, ♥7, ♦A, ♣7 | pair
♥K, ♣4, ♥7, ♦A, ♦K | pair
♥K, ♣4, ♥7, ♦A, ♠K | pair
♥K, ♣4, ♥7, ♦A, ♠7 | pair
♥K, ♣4, ♥7, ♦A, ♥A | pair
♥K, ♣4, ♥7, ♦A, ♦A | pair
♥K, ♣4, ♥7, ♣7, ♦K | two pairs
♥K, ♣4, ♥7, ♣7, ♠K | two pairs
♥K, ♣4, ♥7, ♣7, ♠7 | three of a kind
♥K, ♣4, ♥7, ♣7, ♥A | pair
♥K, ♣4, ♥7, ♣7, ♦8 | pair
♥K, ♣4, ♥7, ♣7, ♦2 | pair
♥K, ♣4, ♥7, ♣7, ♦A | pair
♥K, ♣4, ♥7, ♦K, ♠K | three of a kind
♥K, ♣4, ♥7, ♦K, ♠7 | two pairs
♥K, ♣4, ♥7, ♦K, ♥A | pair
♥K, ♣4, ♥7, ♦K, ♦8 | pair
♥K, ♣4, ♥7, ♦K, ♦2 | pair
♥K, ♣4, ♥7, ♦K, ♦A | pair
♥K, ♣4, ♥7, ♠K, ♠7 | two pairs
♥K, ♣4, ♥7, ♠K, ♥A | pair
♥K, ♣4, ♥7, ♠K, ♦8 | pair
♥K, ♣4, ♥7, ♠K, ♦2 | pair
♥K, ♣4, ♥7, ♠K, ♦A | pair
♥K, ♣4, ♥7, ♠7, ♥A | pair
♥K, ♣4, ♥7, ♠7, ♦8 | pair
♥K, ♣4, ♥7, ♠7, ♦2 | pair
♥K, ♣4, ♥7, ♠7, ♦A | pair
♥K, ♣4, ♥7, ♥A, ♦A | pair
♥K, ♣4, ♦10, ♦A, ♦K | pair
♥K, ♣4, ♦10, ♦A, ♠K | pair
♥K, ♣4, ♦10, ♦A, ♥A | pair
♥K, ♣4, ♦10, ♦A, ♦A | pair
♥K, ♣4, ♦10, ♣7, ♦K | pair
♥K, ♣4, ♦10, ♣7, ♠K | pair
♥K, ♣4, ♦10, ♣7, ♠7 | pair
♥K, ♣4, ♦10, ♦K, ♠K | three of a kind
♥K, ♣4, ♦10, ♦K, ♠7 | pair
♥K, ♣4, ♦10, ♦K, ♥A | pair
♥K, ♣4, ♦10, ♦K, ♦8 | pair
♥K, ♣4, ♦10, ♦K, ♦2 | pair
♥K, ♣4, ♦10, ♦K, ♦A | pair
♥K, ♣4, ♦10, ♠K, ♠7 | pair
♥K, ♣4, ♦10, ♠K, ♥A | pair
♥K, ♣4, ♦10, ♠K, ♦8 | pair
♥K, ♣4, ♦10, ♠K, ♦2 | pair
♥K, ♣4, ♦10, ♠K, ♦A | pair
♥K, ♣4, ♦10, ♥A, ♦A | pair
♥K, ♣4, ♦A, ♣7, ♦K | pair
♥K, ♣4, ♦A, ♣7, ♠K | pair
♥K, ♣4, ♦A, ♣7, ♠7 | pair
♥K, ♣4, ♦A, ♣7, ♥A | pair
♥K, ♣4, ♦A, ♣7, ♦A | pair
♥K, ♣4, ♦A, ♦K, ♠K | three of a kind
♥K, ♣4, ♦A, ♦K, ♠7 | pair
♥K, ♣4, ♦A, ♦K, ♥A | two pairs
♥K, ♣4, ♦A, ♦K, ♦8 | pair
