♣7, ♠4, ♠10, ♥3, ♣4 | pair
♠4, ♥3, ♣6, ♦A, ♥4 | pair
♠4, ♥3, ♥Q, ♦A, ♥4 | pair
♠4, ♣K, ♣9, ♣4, ♣6 | pair
♠4, ♣K, ♣9, ♣4, ♥Q | pair
♠4, ♣K, ♣9, ♣4, ♦A | pair
♠4, ♣K, ♣9, ♣4, ♥4 | three of a kind
♠4, ♣K, ♣9, ♣6, ♥4 | pair
♠4, ♣K, ♣9, ♥Q, ♥4 | pair
♠4, ♣K, ♣9, ♦A, ♥4 | pair
♠4, ♣K, ♣4, ♣6, ♥Q | pair
♠4, ♣K, ♣4, ♣6, ♦A | pair
♠4, ♣K, ♣4, ♣6, ♥4 | three of a kind
♠4, ♣K, ♣4, ♥Q, ♦A | pair
♠4, ♣K, ♣4, ♥Q, ♥4 | three of a kind
♠4, ♣K, ♣4, ♦A, ♥4 | three of a kind
♠4, ♣K, ♣6, ♥Q, ♥4 | pair
♠4, ♣K, ♣6, ♦A, ♥4 | pair
♠4, ♣K, ♥Q, ♦A, ♥4 | pair
♠4, ♣9, ♣4, ♣6, ♥Q | pair
♠4, ♣9, ♣4, ♣6, ♦A | pair
♠4, ♣9, ♣4, ♣6, ♥4 | three of a kind
♠4, ♣9, ♣4, ♥Q, ♦A | pair
♠4, ♣9, ♣4, ♥Q, ♥4 | three of a kind
♠4, ♣9, ♣4, ♦A, ♥4 | three of a kind
♠4, ♣9, ♣6, ♥Q, ♥4 | pair
♠4, ♣9, ♣6, ♦A, ♥4 | pair
♠4, ♣9, ♥Q, ♦A, ♥4 | pair
♠4, ♣4, ♣6, ♥Q, ♦A | pair
♠4, ♣4, ♣6, ♥Q, ♥4 | three of a kind
♠4, ♣4, ♣6, ♦A, ♥4 | three of a kind
♠4, ♣4, ♥Q, ♦A, ♥4 | three of a kind
♠4, ♣6, ♥Q, ♦A, ♥4 | pair
♠10, ♥3, ♣K, ♣4, ♥4 | pair
♠10, ♥3, ♣9, ♣4, ♥4 | pair
♠10, ♥3, ♣4, ♣6, ♥4 | pair
♠10, ♥3, ♣4, ♥Q, ♥4 | pair
♠10, ♥3, ♣4, ♦A, ♥4 | pair
♠10, ♣K, ♣9, ♣4, ♥4 | pair
♠10, ♣K, ♣4, ♣6, ♥4 | pair
♠10, ♣K, ♣4, ♥Q, ♥4 | pair
♠10, ♣K, ♣4, ♦A, ♥4 | pair
♠10, ♣9, ♣4, ♣6, ♥4 | pair
♠10, ♣9, ♣4, ♥Q, ♥4 | pair
♠10, ♣9, ♣4, ♦A, ♥4 | pair
♠10, ♣4, ♣6, ♥Q, ♥4 | pair
♠10, ♣4, ♣6, ♦A, ♥4 | pair
♠10, ♣4, ♥Q, ♦A, ♥4 | pair
♥3, ♣K, ♣9, ♣4, ♥4 | pair
♥3, ♣K, ♣4, ♣6, ♥4 | pair
♥3, ♣K, ♣4, ♥Q, ♥4 | pair
♥3, ♣K, ♣4, ♦A, ♥4 | pair
♥3, ♣9, ♣4, ♣6, ♥4 | pair
♥3, ♣9, ♣4, ♥Q, ♥4 | pair
♥3, ♣9, ♣4, ♦A, ♥4 | pair
♥3, ♣4, ♣6, ♥Q, ♥4 | pair
♥3, ♣4, ♣6, ♦A, ♥4 | pair
♥3, ♣4, ♥Q, ♦A, ♥4 | pair
♣K, ♣9, ♣4, ♣6, ♥4 | pair
♣K, ♣9, ♣4, ♥Q, ♥4 | pair
♣K, ♣9, ♣4, ♦A, ♥4 | pair
♣K, ♣4, ♣6, ♥Q, ♥4 | pair
♣K, ♣4, ♣6, ♦A, ♥4 | pair
♣K, ♣4, ♥Q, ♦A, ♥4 | pair
♣9, ♣4, ♣6, ♥Q, ♥4 | pair
♣9, ♣4, ♣6, ♦A, ♥4 | pair
♣9, ♣4, ♥Q, ♦A, ♥4 | pair
♣4, ♣6, ♥Q, ♦A, ♥4 | pair
