♦Q, ♦7, ♦A, ♠7, ♠2 | pair
♦Q, ♦7, ♠7, ♣A, ♣6 | pair
♦Q, ♦7, ♠7, ♣A, ♠J | pair
♦Q, ♦7, ♠7, ♣A, ♦K | pair
♦Q, ♦7, ♠7, ♣A, ♥A | two pairs
♦Q, ♦7, ♠7, ♣A, ♦2 | pair
♦Q, ♦7, ♠7, ♣A, ♥4 | pair
♦Q, ♦7, ♠7, ♣A, ♥3 | pair
♦Q, ♦7, ♠7, ♣A, ♦3 | pair
♦Q, ♦7, ♠7, ♣A, ♣5 | pair
♦Q, ♦7, ♠7, ♣6, ♠J | pair
♦Q, ♦7, ♠7, ♣6, ♦K | pair
♦Q, ♦7, ♠7, ♣6, ♥A | pair
♦Q, ♦7, ♠7, ♣6, ♦2 | pair
♦Q, ♦7, ♠7, ♣6, ♥4 | pair
♦Q, ♦7, ♠7, ♣6, ♥3 | pair
♦Q, ♦7, ♠7, ♣6, ♦3 | pair
♦Q, ♦7, ♠7, ♣6, ♣5 | pair
♦Q, ♦7, ♠7, ♠J, ♦K | pair
♦Q, ♦7, ♠7, ♠J, ♥A | pair
♦Q, ♦7, ♠7, ♠J, ♦2 | pair
♦Q, ♦7, ♠7, ♠J, ♥4 | pair
♦Q, ♦7, ♠7, ♠J, ♥3 | pair
♦Q, ♦7, ♠7, ♠J, ♦3 | pair
♦Q, ♦7, ♠7, ♠J, ♣5 | pair
♦Q, ♦7, ♠7, ♦K, ♥A | pair
♦Q, ♦7, ♠7, ♦K, ♦2 | pair
♦Q, ♦7, ♠7, ♦K, ♥4 | pair
♦Q, ♦7, ♠7, ♦K, ♥3 | pair
♦Q, ♦7, ♠7, ♦K, ♦3 | pair
♦Q, ♦7, ♠7, ♦K, ♣5 | pair
♦Q, ♦7, ♠7, ♥A, ♦2 | pair
♦Q, ♦7, ♠7, ♥A, ♥4 | pair
♦Q, ♦7, ♠7, ♥A, ♥3 | pair
♦Q, ♦7, ♠7, ♥A, ♦3 | pair
♦Q, ♦7, ♠7, ♥A, ♣5 | pair
♦Q, ♦7, ♠7, ♦2, ♥4 | pair
♦Q, ♦7, ♠7, ♦2, ♥3 | pair
♦Q, ♦7, ♠7, ♦2, ♦3 | pair
♦Q, ♦7, ♠7, ♦2, ♣5 | pair
♦Q, ♦7, ♠7, ♥4, ♥3 | pair
♦Q, ♦7, ♠7, ♥4, ♦3 | pair
♦Q, ♦7, ♠7, ♥4, ♣5 | pair
♦Q, ♦7, ♠7, ♥3, ♦3 | two pairs
♦Q, ♦7, ♠7, ♥3, ♣5 | pair
♦Q, ♦7, ♠7, ♦3, ♣5 | pair
♦Q, ♦7, ♠2, ♣A, ♥A | pair
♦Q, ♦7, ♠2, ♣A, ♦2 | pair
♦Q, ♦7, ♠2, ♣6, ♦2 | pair
♦Q, ♦7, ♠2, ♠J, ♦2 | pair
♦Q, ♦7, ♠2, ♦K, ♦2 | pair
♦Q, ♦7, ♠2, ♥A, ♦2 | pair
♦Q, ♦7, ♠2, ♦2, ♥4 | pair
♦Q, ♦7, ♠2, ♦2, ♥3 | pair
♦Q, ♦7, ♠2, ♦2, ♦3 | pair
♦Q, ♦7, ♠2, ♦2, ♣5 | pair
♦Q, ♦7, ♠2, ♥3, ♦3 | pair
♦Q, ♦7, ♣A, ♣6, ♥A | pair
♦Q, ♦7, ♣A, ♠J, ♥A | pair
♦Q, ♦7, ♣A, ♦K, ♥A | pair
♦Q, ♦7, ♣A, ♥A, ♦2 | pair
♦Q, ♦7, ♣A, ♥A, ♥4 | pair
♦Q, ♦7, ♣A, ♥A, ♥3 | pair
♦Q, ♦7, ♣A, ♥A, ♦3 | pair
♦Q, ♦7, ♣A, ♥A, ♣5 | pair
♦Q, ♦7, ♣A, ♥3, ♦3 | pair
♦Q, ♦7, ♣6, ♥3, ♦3 | pair
♦Q, ♦7, ♠J, ♥3, ♦3 | pair
♦Q, ♦7, ♦K, ♦2, ♦3 | flush
♦Q, ♦7, ♦K, ♥3, ♦3 | pair
♦Q, ♦7, ♥A, ♥3, ♦3 | pair
♦Q, ♦7, ♦2, ♥3, ♦3 | pair
♦Q, ♦7, ♥4, ♥3, ♦3 | pair
♦Q, ♦7, ♥3, ♦3, ♣5 | pair
♦Q, ♦A, ♠7, ♠2, ♣A | pair
♦Q, ♦A, ♠7, ♠2, ♥A | pair
♦Q, ♦A, ♠7, ♠2, ♦2 | pair
♦Q, ♦A, ♠7, ♣A, ♣6 | pair
♦Q, ♦A, ♠7, ♣A, ♠J | pair
♦Q, ♦A, ♠7, ♣A, ♦K | pair
♦Q, ♦A, ♠7, ♣A, ♥A | three of a kind
♦Q, ♦A, ♠7, ♣A, ♦2 | pair
♦Q, ♦A, ♠7, ♣A, ♥4 | pair
♦Q, ♦A, ♠7, ♣A, ♥3 | pair
♦Q, ♦A, ♠7, ♣A, ♦3 | pair
♦Q, ♦A, ♠7, ♣A, ♣5 | pair
♦Q, ♦A, ♠7, ♣6, ♥A | pair
♦Q, ♦A, ♠7, ♠J, ♥A | pair
♦Q, ♦A, ♠7, ♦K, ♥A | pair
♦Q, ♦A, ♠7, ♥A, ♦2 | pair
♦Q, ♦A, ♠7, ♥A, ♥4 | pair
♦Q, ♦A, ♠7, ♥A, ♥3 | pair
♦Q, ♦A, ♠7, ♥A, ♦3 | pair
♦Q, ♦A, ♠7, ♥A, ♣5 | pair
♦Q, ♦A, ♠7, ♥3, ♦3 | pair
♦Q, ♦A, ♠2, ♣A, ♣6 | pair
♦Q, ♦A, ♠2, ♣A, ♠J | pair
♦Q, ♦A, ♠2, ♣A, ♦K | pair
♦Q, ♦A, ♠2, ♣A, ♥A | three of a kind
♦Q, ♦A, ♠2, ♣A, ♦2 | two pairs
♦Q, ♦A, ♠2, ♣A, ♥4 | pair
♦Q, ♦A, ♠2, ♣A, ♥3 | pair
♦Q, ♦A, ♠2, ♣A, ♦3 | pair
♦Q, ♦A, ♠2, ♣A, ♣5 | pair
♦Q, ♦A, ♠2, ♣6, ♥A | pair
♦Q, ♦A, ♠2, ♣6, ♦2 | pair
♦Q, ♦A, ♠2, ♠J, ♥A | pair
♦Q, ♦A, ♠2, ♠J, ♦2 | pair
♦Q, ♦A, ♠2, ♦K, ♥A | pair
♦Q, ♦A, ♠2, ♦K, ♦2 | pair
♦Q, ♦A, ♠2, ♥A, ♦2 | two pairs
♦Q, ♦A, ♠2, ♥A, ♥4 | pair
♦Q, ♦A, ♠2, ♥A, ♥3 | pair
♦Q, ♦A, ♠2, ♥A, ♦3 | pair
♦Q, ♦A, ♠2, ♥A, ♣5 | pair
♦Q, ♦A, ♠2, ♦2, ♥4 | pair
♦Q, ♦A, ♠2, ♦2, ♥3 | pair
♦Q, ♦A, ♠2, ♦2, ♦3 | pair
♦Q, ♦A, ♠2, ♦2, ♣5 | pair
♦Q, ♦A, ♠2, ♥3, ♦3 | pair
♦Q, ♦A, ♣A, ♣6, ♠J | pair
♦Q, ♦A, ♣A, ♣6, ♦K | pair
♦Q, ♦A, ♣A, ♣6, ♥A | three of a kind
♦Q, ♦A, ♣A, ♣6, ♦2 | pair
♦Q, ♦A, ♣A, ♣6, ♥4 | pair
♦Q, ♦A, ♣A, ♣6, ♥3 | pair
♦Q, ♦A, ♣A, ♣6, ♦3 | pair
♦Q, ♦A, ♣A, ♣6, ♣5 | pair
♦Q, ♦A, ♣A, ♠J, ♦K | pair
♦Q, ♦A, ♣A, ♠J, ♥A | three of a kind
♦Q, ♦A, ♣A, ♠J, ♦2 | pair
♦Q, ♦A, ♣A, ♠J, ♥4 | pair
♦Q, ♦A, ♣A, ♠J, ♥3 | pair
♦Q, ♦A, ♣A, ♠J, ♦3 | pair
♦Q, ♦A, ♣A, ♠J, ♣5 | pair
♦Q, ♦A, ♣A, ♦K, ♥A | three of a kind
♦Q, ♦A, ♣A, ♦K, ♦2 | pair
♦Q, ♦A, ♣A, ♦K, ♥4 | pair
♦Q, ♦A, ♣A, ♦K, ♥3 | pair
♦Q, ♦A, ♣A, ♦K, ♦3 | pair
♦Q, ♦A, ♣A, ♦K, ♣5 | pair
♦Q, ♦A, ♣A, ♥A, ♦2 | three of a kind
♦Q, ♦A, ♣A, ♥A, ♥4 | three of a kind
♦Q, ♦A, ♣A, ♥A, ♥3 | three of a kind
♦Q, ♦A, ♣A, ♥A, ♦3 | three of a kind
♦Q, ♦A, ♣A, ♥A, ♣5 | three of a kind
♦Q, ♦A, ♣A, ♦2, ♥4 | pair
♦Q, ♦A, ♣A, ♦2, ♥3 | pair
♦Q, ♦A, ♣A, ♦2, ♦3 | pair
♦Q, ♦A, ♣A, ♦2, ♣5 | pair
♦Q, ♦A, ♣A, ♥4, ♥3 | pair
♦Q, ♦A, ♣A, ♥4, ♦3 | pair
♦Q, ♦A, ♣A, ♥4, ♣5 | pair
♦Q, ♦A, ♣A, ♥3, ♦3 | two pairs
♦Q, ♦A, ♣A, ♥3, ♣5 | pair
♦Q, ♦A, ♣A, ♦3, ♣5 | pair
♦Q, ♦A, ♣6, ♠J, ♥A | pair
♦Q, ♦A, ♣6, ♦K, ♥A | pair
♦Q, ♦A, ♣6, ♥A, ♦2 | pair
♦Q, ♦A, ♣6, ♥A, ♥4 | pair
♦Q, ♦A, ♣6, ♥A, ♥3 | pair
♦Q, ♦A, ♣6, ♥A, ♦3 | pair
♦Q, ♦A, ♣6, ♥A, ♣5 | pair
♦Q, ♦A, ♣6, ♥3, ♦3 | pair
♦Q, ♦A, ♠J, ♦K, ♥A | pair
♦Q, ♦A, ♠J, ♥A, ♦2 | pair
♦Q, ♦A, ♠J, ♥A, ♥4 | pair
♦Q, ♦A, ♠J, ♥A, ♥3 | pair
♦Q, ♦A, ♠J, ♥A, ♦3 | pair
♦Q, ♦A, ♠J, ♥A, ♣5 | pair
♦Q, ♦A, ♠J, ♥3, ♦3 | pair
♦Q, ♦A, ♦K, ♥A, ♦2 | pair
♦Q, ♦A, ♦K, ♥A, ♥4 | pair
♦Q, ♦A, ♦K, ♥A, ♥3 | pair
♦Q, ♦A, ♦K, ♥A, ♦3 | pair
♦Q, ♦A, ♦K, ♥A, ♣5 | pair
♦Q, ♦A, ♦K, ♦2, ♦3 | flush
♦Q, ♦A, ♦K, ♥3, ♦3 | pair
♦Q, ♦A, ♥A, ♦2, ♥4 | pair
♦Q, ♦A, ♥A, ♦2, ♥3 | pair
♦Q, ♦A, ♥A, ♦2, ♦3 | pair
♦Q, ♦A, ♥A, ♦2, ♣5 | pair
♦Q, ♦A, ♥A, ♥4, ♥3 | pair
♦Q, ♦A, ♥A, ♥4, ♦3 | pair
♦Q, ♦A, ♥A, ♥4, ♣5 | pair
♦Q, ♦A, ♥A, ♥3, ♦3 | two pairs
♦Q, ♦A, ♥A, ♥3, ♣5 | pair
♦Q, ♦A, ♥A, ♦3, ♣5 | pair
♦Q, ♦A, ♦2, ♥3, ♦3 | pair
♦Q, ♦A, ♥4, ♥3, ♦3 | pair
♦Q, ♦A, ♥3, ♦3, ♣5 | pair
♦Q, ♠7, ♠2, ♣A, ♥A | pair
♦Q, ♠7, ♠2, ♣A, ♦2 | pair
♦Q, ♠7, ♠2, ♣6, ♦2 | pair
♦Q, ♠7, ♠2, ♠J, ♦2 | pair
♦Q, ♠7, ♠2, ♦K, ♦2 | pair
♦Q, ♠7, ♠2, ♥A, ♦2 | pair
♦Q, ♠7, ♠2, ♦2, ♥4 | pair
♦Q, ♠7, ♠2, ♦2, ♥3 | pair
♦Q, ♠7, ♠2, ♦2, ♦3 | pair
♦Q, ♠7, ♠2, ♦2, ♣5 | pair
♦Q, ♠7, ♠2, ♥3, ♦3 | pair
♦Q, ♠7, ♣A, ♣6, ♥A | pair
♦Q, ♠7, ♣A, ♠J, ♥A | pair
♦Q, ♠7, ♣A, ♦K, ♥A | pair
♦Q, ♠7, ♣A, ♥A, ♦2 | pair
♦Q, ♠7, ♣A, ♥A, ♥4 | pair
♦Q, ♠7, ♣A, ♥A, ♥3 | pair
♦Q, ♠7, ♣A, ♥A, ♦3 | pair
♦Q, ♠7, ♣A, ♥A, ♣5 | pair
♦Q, ♠7, ♣A, ♥3, ♦3 | pair
♦Q, ♠7, ♣6, ♥3, ♦3 | pair
♦Q, ♠7, ♠J, ♥3, ♦3 | pair
♦Q, ♠7, ♦K, ♥3, ♦3 | pair
♦Q, ♠7, ♥A, ♥3, ♦3 | pair
♦Q, ♠7, ♦2, ♥3, ♦3 | pair
♦Q, ♠7, ♥4, ♥3, ♦3 | pair
♦Q, ♠7, ♥3, ♦3, ♣5 | pair
♦Q, ♠2, ♣A, ♣6, ♥A | pair
♦Q, ♠2, ♣A, ♣6, ♦2 | pair
♦Q, ♠2, ♣A, ♠J, ♥A | pair
♦Q, ♠2, ♣A, ♠J, ♦2 | pair
♦Q, ♠2, ♣A, ♦K, ♥A | pair
♦Q, ♠2, ♣A, ♦K, ♦2 | pair
♦Q, ♠2, ♣A, ♥A, ♦2 | two pairs
♦Q, ♠2, ♣A, ♥A, ♥4 | pair
♦Q, ♠2, ♣A, ♥A, ♥3 | pair
♦Q, ♠2, ♣A, ♥A, ♦3 | pair
♦Q, ♠2, ♣A, ♥A, ♣5 | pair
♦Q, ♠2, ♣A, ♦2, ♥4 | pair
♦Q, ♠2, ♣A, ♦2, ♥3 | pair
♦Q, ♠2, ♣A, ♦2, ♦3 | pair
♦Q, ♠2, ♣A, ♦2, ♣5 | pair
♦Q, ♠2, ♣A, ♥3, ♦3 | pair
♦Q, ♠2, ♣6, ♠J, ♦2 | pair
♦Q, ♠2, ♣6, ♦K, ♦2 | pair
♦Q, ♠2, ♣6, ♥A, ♦2 | pair
♦Q, ♠2, ♣6, ♦2, ♥4 | pair
♦Q, ♠2, ♣6, ♦2, ♥3 | pair
♦Q, ♠2, ♣6, ♦2, ♦3 | pair
♦Q, ♠2, ♣6, ♦2, ♣5 | pair
♦Q, ♠2, ♣6, ♥3, ♦3 | pair
♦Q, ♠2, ♠J, ♦K, ♦2 | pair
♦Q, ♠2, ♠J, ♥A, ♦2 | pair
♦Q, ♠2, ♠J, ♦2, ♥4 | pair
♦Q, ♠2, ♠J, ♦2, ♥3 | pair
♦Q, ♠2, ♠J, ♦2, ♦3 | pair
♦Q, ♠2, ♠J, ♦2, ♣5 | pair
♦Q, ♠2, ♠J, ♥3, ♦3 | pair
♦Q, ♠2, ♦K, ♥A, ♦2 | pair
♦Q, ♠2, ♦K, ♦2, ♥4 | pair
♦Q, ♠2, ♦K, ♦2, ♥3 | pair
♦Q, ♠2, ♦K, ♦2, ♦3 | pair
♦Q, ♠2, ♦K, ♦2, ♣5 | pair
♦Q, ♠2, ♦K, ♥3, ♦3 | pair
♦Q, ♠2, ♥A, ♦2, ♥4 | pair
♦Q, ♠2, ♥A, ♦2, ♥3 | pair
♦Q, ♠2, ♥A, ♦2, ♦3 | pair
♦Q, ♠2, ♥A, ♦2, ♣5 | pair
♦Q, ♠2, ♥A, ♥3, ♦3 | pair
♦Q, ♠2, ♦2, ♥4, ♥3 | pair
♦Q, ♠2, ♦2, ♥4, ♦3 | pair
♦Q, ♠2, ♦2, ♥4, ♣5 | pair
♦Q, ♠2, ♦2, ♥3, ♦3 | two pairs
♦Q, ♠2, ♦2, ♥3, ♣5 | pair
♦Q, ♠2, ♦2, ♦3, ♣5 | pair
♦Q, ♠2, ♥4, ♥3, ♦3 | pair
♦Q, ♠2, ♥3, ♦3, ♣5 | pair
♦Q, ♣A, ♣6, ♠J, ♥A | pair
♦Q, ♣A, ♣6, ♦K, ♥A | pair
♦Q, ♣A, ♣6, ♥A, ♦2 | pair
♦Q, ♣A, ♣6, ♥A, ♥4 | pair
♦Q, ♣A, ♣6, ♥A, ♥3 | pair
♦Q, ♣A, ♣6, ♥A, ♦3 | pair
♦Q, ♣A, ♣6, ♥A, ♣5 | pair
♦Q, ♣A, ♣6, ♥3, ♦3 | pair
♦Q, ♣A, ♠J, ♦K, ♥A | pair
♦Q, ♣A, ♠J, ♥A, ♦2 | pair
♦Q, ♣A, ♠J, ♥A, ♥4 | pair
♦Q, ♣A, ♠J, ♥A, ♥3 | pair
♦Q, ♣A, ♠J, ♥A, ♦3 | pair
♦Q, ♣A, ♠J, ♥A, ♣5 | pair
♦Q, ♣A, ♠J, ♥3, ♦3 | pair
♦Q, ♣A, ♦K, ♥A, ♦2 | pair
♦Q, ♣A, ♦K, ♥A, ♥4 | pair
♦Q, ♣A, ♦K, ♥A, ♥3 | pair
♦Q, ♣A, ♦K, ♥A, ♦3 | pair
♦Q, ♣A, ♦K, ♥A, ♣5 | pair
♦Q, ♣A, ♦K, ♥3, ♦3 | pair
♦Q, ♣A, ♥A, ♦2, ♥4 | pair
♦Q, ♣A, ♥A, ♦2, ♥3 | pair
♦Q, ♣A, ♥A, ♦2, ♦3 | pair
♦Q, ♣A, ♥A, ♦2, ♣5 | pair
♦Q, ♣A, ♥A, ♥4, ♥3 | pair
♦Q, ♣A, ♥A, ♥4, ♦3 | pair
♦Q, ♣A, ♥A, ♥4, ♣5 | pair
♦Q, ♣A, ♥A, ♥3, ♦3 | two pairs
♦Q, ♣A, ♥A, ♥3, ♣5 | pair
♦Q, ♣A, ♥A, ♦3, ♣5 | pair
♦Q, ♣A, ♦2, ♥3, ♦3 | pair
♦Q, ♣A, ♥4, ♥3, ♦3 | pair
♦Q, ♣A, ♥3, ♦3, ♣5 | pair
♦Q, ♣6, ♠J, ♥3, ♦3 | pair
♦Q, ♣6, ♦K, ♥3, ♦3 | pair
♦Q, ♣6, ♥A, ♥3, ♦3 | pair
♦Q, ♣6, ♦2, ♥3, ♦3 | pair
♦Q, ♣6, ♥4, ♥3, ♦3 | pair
♦Q, ♣6, ♥3, ♦3, ♣5 | pair
♦Q, ♠J, ♦K, ♥3, ♦3 | pair
♦Q, ♠J, ♥A, ♥3, ♦3 | pair
♦Q, ♠J, ♦2, ♥3, ♦3 | pair
♦Q, ♠J, ♥4, ♥3, ♦3 | pair
♦Q, ♠J, ♥3, ♦3, ♣5 | pair
♦Q, ♦K, ♥A, ♥3, ♦3 | pair
♦Q, ♦K, ♦2, ♥3, ♦3 | pair
♦Q, ♦K, ♥4, ♥3, ♦3 | pair
♦Q, ♦K, ♥3, ♦3, ♣5 | pair
♦Q, ♥A, ♦2, ♥3, ♦3 | pair
♦Q, ♥A, ♥4, ♥3, ♦3 | pair
♦Q, ♥A, ♥3, ♦3, ♣5 | pair
♦Q, ♦2, ♥4, ♥3, ♦3 | pair
♦Q, ♦2, ♥3, ♦3, ♣5 | pair
♦Q, ♥4, ♥3, ♦3, ♣5 | pair
♦7, ♦A, ♠7, ♠2, ♣A | two pairs
♦7, ♦A, ♠7, ♠2, ♣6 | pair
♦7, ♦A, ♠7, ♠2, ♠J | pair
♦7, ♦A, ♠7, ♠2, ♦K | pair
♦7, ♦A, ♠7, ♠2, ♥A | two pairs
♦7, ♦A, ♠7, ♠2, ♦2 | two pairs
♦7, ♦A, ♠7, ♠2, ♥4 | pair
♦7, ♦A, ♠7, ♠2, ♥3 | pair
♦7, ♦A, ♠7, ♠2, ♦3 | pair
♦7, ♦A, ♠7, ♠2, ♣5 | pair
♦7, ♦A, ♠7, ♣A, ♣6 | two pairs
♦7, ♦A, ♠7, ♣A, ♠J | two pairs
♦7, ♦A, ♠7, ♣A, ♦K | two pairs
♦7, ♦A, ♠7, ♣A, ♥A | fullhouse
♦7, ♦A, ♠7, ♣A, ♦2 | two pairs
♦7, ♦A, ♠7, ♣A, ♥4 | two pairs
♦7, ♦A, ♠7, ♣A, ♥3 | two pairs
♦7, ♦A, ♠7, ♣A, ♦3 | two pairs
♦7, ♦A, ♠7, ♣A, ♣5 | two pairs
♦7, ♦A, ♠7, ♣6, ♠J | pair
♦7, ♦A, ♠7, ♣6, ♦K | pair
♦7, ♦A, ♠7, ♣6, ♥A | two pairs
♦7, ♦A, ♠7, ♣6, ♦2 | pair
♦7, ♦A, ♠7, ♣6, ♥4 | pair
♦7, ♦A, ♠7, ♣6, ♥3 | pair
♦7, ♦A, ♠7, ♣6, ♦3 | pair
♦7, ♦A, ♠7, ♣6, ♣5 | pair
♦7, ♦A, ♠7, ♠J, ♦K | pair
♦7, ♦A, ♠7, ♠J, ♥A | two pairs
♦7, ♦A, ♠7, ♠J, ♦2 | pair
♦7, ♦A, ♠7, ♠J, ♥4 | pair
♦7, ♦A, ♠7, ♠J, ♥3 | pair
♦7, ♦A, ♠7, ♠J, ♦3 | pair
♦7, ♦A, ♠7, ♠J, ♣5 | pair
♦7, ♦A, ♠7, ♦K, ♥A | two pairs
♦7, ♦A, ♠7, ♦K, ♦2 | pair
♦7, ♦A, ♠7, ♦K, ♥4 | pair
♦7, ♦A, ♠7, ♦K, ♥3 | pair
♦7, ♦A, ♠7, ♦K, ♦3 | pair
♦7, ♦A, ♠7, ♦K, ♣5 | pair
♦7, ♦A, ♠7, ♥A, ♦2 | two pairs
♦7, ♦A, ♠7, ♥A, ♥4 | two pairs
♦7, ♦A, ♠7, ♥A, ♥3 | two pairs
♦7, ♦A, ♠7, ♥A, ♦3 | two pairs
♦7, ♦A, ♠7, ♥A, ♣5 | two pairs
♦7, ♦A, ♠7, ♦2, ♥4 | pair
♦7, ♦A, ♠7, ♦2, ♥3 | pair
♦7, ♦A, ♠7, ♦2, ♦3 | pair
♦7, ♦A, ♠7, ♦2, ♣5 | pair
♦7, ♦A, ♠7, ♥4, ♥3 | pair
♦7, ♦A, ♠7, ♥4, ♦3 | pair
♦7, ♦A, ♠7, ♥4, ♣5 | pair
♦7, ♦A, ♠7, ♥3, ♦3 | two pairs
♦7, ♦A, ♠7, ♥3, ♣5 | pair
♦7, ♦A, ♠7, ♦3, ♣5 | pair
♦7, ♦A, ♠2, ♣A, ♣6 | pair
♦7, ♦A, ♠2, ♣A, ♠J | pair
♦7, ♦A, ♠2, ♣A, ♦K | pair
♦7, ♦A, ♠2, ♣A, ♥A | three of a kind
♦7, ♦A, ♠2, ♣A, ♦2 | two pairs
♦7, ♦A, ♠2, ♣A, ♥4 | pair
♦7, ♦A, ♠2, ♣A, ♥3 | pair
♦7, ♦A, ♠2, ♣A, ♦3 | pair
♦7, ♦A, ♠2, ♣A, ♣5 | pair
♦7, ♦A, ♠2, ♣6, ♥A | pair
♦7, ♦A, ♠2, ♣6, ♦2 | pair
♦7, ♦A, ♠2, ♠J, ♥A | pair
♦7, ♦A, ♠2, ♠J, ♦2 | pair
♦7, ♦A, ♠2, ♦K, ♥A | pair
♦7, ♦A, ♠2, ♦K, ♦2 | pair
♦7, ♦A, ♠2, ♥A, ♦2 | two pairs
♦7, ♦A, ♠2, ♥A, ♥4 | pair
♦7, ♦A, ♠2, ♥A, ♥3 | pair
♦7, ♦A, ♠2, ♥A, ♦3 | pair
♦7, ♦A, ♠2, ♥A, ♣5 | pair
♦7, ♦A, ♠2, ♦2, ♥4 | pair
♦7, ♦A, ♠2, ♦2, ♥3 | pair
♦7, ♦A, ♠2, ♦2, ♦3 | pair
♦7, ♦A, ♠2, ♦2, ♣5 | pair
♦7, ♦A, ♠2, ♥3, ♦3 | pair
♦7, ♦A, ♣A, ♣6, ♠J | pair
♦7, ♦A, ♣A, ♣6, ♦K | pair
♦7, ♦A, ♣A, ♣6, ♥A | three of a kind
♦7, ♦A, ♣A, ♣6, ♦2 | pair
♦7, ♦A, ♣A, ♣6, ♥4 | pair
♦7, ♦A, ♣A, ♣6, ♥3 | pair
♦7, ♦A, ♣A, ♣6, ♦3 | pair
♦7, ♦A, ♣A, ♣6, ♣5 | pair
♦7, ♦A, ♣A, ♠J, ♦K | pair
♦7, ♦A, ♣A, ♠J, ♥A | three of a kind
♦7, ♦A, ♣A, ♠J, ♦2 | pair
♦7, ♦A, ♣A, ♠J, ♥4 | pair
♦7, ♦A, ♣A, ♠J, ♥3 | pair
♦7, ♦A, ♣A, ♠J, ♦3 | pair
♦7, ♦A, ♣A, ♠J, ♣5 | pair
♦7, ♦A, ♣A, ♦K, ♥A | three of a kind
♦7, ♦A, ♣A, ♦K, ♦2 | pair
♦7, ♦A, ♣A, ♦K, ♥4 | pair
♦7, ♦A, ♣A, ♦K, ♥3 | pair
♦7, ♦A, ♣A, ♦K, ♦3 | pair
♦7, ♦A, ♣A, ♦K, ♣5 | pair
♦7, ♦A, ♣A, ♥A, ♦2 | three of a kind
♦7, ♦A, ♣A, ♥A, ♥4 | three of a kind
♦7, ♦A, ♣A, ♥A, ♥3 | three of a kind
♦7, ♦A, ♣A, ♥A, ♦3 | three of a kind
♦7, ♦A, ♣A, ♥A, ♣5 | three of a kind
♦7, ♦A, ♣A, ♦2, ♥4 | pair
♦7, ♦A, ♣A, ♦2, ♥3 | pair
♦7, ♦A, ♣A, ♦2, ♦3 | pair
♦7, ♦A, ♣A, ♦2, ♣5 | pair
♦7, ♦A, ♣A, ♥4, ♥3 | pair
♦7, ♦A, ♣A, ♥4, ♦3 | pair
♦7, ♦A, ♣A, ♥4, ♣5 | pair
♦7, ♦A, ♣A, ♥3, ♦3 | two pairs
♦7, ♦A, ♣A, ♥3, ♣5 | pair
♦7, ♦A, ♣A, ♦3, ♣5 | pair
♦7, ♦A, ♣6, ♠J, ♥A | pair
