♠A, ♣2, ♥8, ♣Q, ♥2 | pair
♠A, ♣2, ♣5, ♥2, ♠4 | pair
♠A, ♣2, ♣5, ♥4, ♠4 | pair
♠A, ♣2, ♥6, ♥10, ♥2 | pair
♠A, ♣2, ♥6, ♣4, ♥2 | pair
♠A, ♣2, ♥6, ♣4, ♥4 | pair
♠A, ♣2, ♥6, ♣4, ♠4 | pair
♠A, ♣2, ♥6, ♥2, ♥K | pair
♠A, ♣2, ♥6, ♥2, ♠8 | pair
♠A, ♣2, ♥6, ♥2, ♥4 | pair
♠A, ♣2, ♥6, ♥2, ♠Q | pair
♠A, ♣2, ♥6, ♥2, ♠4 | pair
♠A, ♣2, ♥6, ♥4, ♠4 | pair
♠A, ♣2, ♥10, ♣4, ♥2 | pair
♠A, ♣2, ♥10, ♣4, ♥4 | pair
♠A, ♣2, ♥10, ♣4, ♠4 | pair
♠A, ♣2, ♥10, ♥2, ♥K | pair
♠A, ♣2, ♥10, ♥2, ♠8 | pair
♠A, ♣2, ♥10, ♥2, ♥4 | pair
♠A, ♣2, ♥10, ♥2, ♠Q | pair
♠A, ♣2, ♥10, ♥2, ♠4 | pair
♠A, ♣2, ♥10, ♥4, ♠4 | pair
♠A, ♣2, ♣4, ♥2, ♥K | pair
♠A, ♣2, ♣4, ♥2, ♠8 | pair
♠A, ♣2, ♣4, ♥2, ♥4 | two pairs
♠A, ♣2, ♣4, ♥2, ♠Q | pair
♠A, ♣2, ♣4, ♥2, ♠4 | two pairs
♠A, ♣2, ♣4, ♥K, ♥4 | pair
♠A, ♣2, ♣4, ♥K, ♠4 | pair
♠A, ♣2, ♣4, ♠8, ♥4 | pair
♠A, ♣2, ♣4, ♠8, ♠4 | pair
♠A, ♣2, ♣4, ♥4, ♠Q | pair
♠A, ♣2, ♣4, ♥4, ♠4 | three of a kind
♠A, ♣2, ♣4, ♠Q, ♠4 | pair
♠A, ♣2, ♥2, ♥K, ♠8 | pair
♠A, ♣2, ♥2, ♥K, ♥4 | pair
♠A, ♣2, ♥2, ♥K, ♠Q | pair
♠A, ♣2, ♥2, ♥K, ♠4 | pair
♠A, ♣2, ♥2, ♠8, ♥4 | pair
♠A, ♣2, ♥2, ♠8, ♠Q | pair
♠A, ♣2, ♥2, ♠8, ♠4 | pair
♠A, ♣2, ♥2, ♥4, ♠Q | pair
♠A, ♣2, ♥2, ♥4, ♠4 | two pairs
♠A, ♣2, ♥2, ♠Q, ♠4 | pair
♠A, ♣2, ♥K, ♥4, ♠4 | pair
♠A, ♣2, ♠8, ♥4, ♠4 | pair
♠A, ♣2, ♥4, ♠Q, ♠4 | pair
♠A, ♥8, ♣Q, ♦K, ♥K | pair
♠A, ♥8, ♣Q, ♦K, ♠8 | pair
♠A, ♥8, ♣Q, ♦K, ♠Q | pair
♠A, ♥8, ♣Q, ♣5, ♠8 | pair
♠A, ♥8, ♣Q, ♣5, ♠Q | pair
♠A, ♥8, ♣Q, ♥6, ♠8 | pair
♠A, ♥8, ♣Q, ♥6, ♠Q | pair
♠A, ♥8, ♣Q, ♥10, ♠8 | pair
♠A, ♥8, ♣Q, ♥10, ♠Q | pair
♠A, ♥8, ♣Q, ♣4, ♠8 | pair
♠A, ♥8, ♣Q, ♣4, ♥4 | pair
♠A, ♥8, ♣Q, ♣4, ♠Q | pair
♠A, ♥8, ♣Q, ♣4, ♠4 | pair
♠A, ♥8, ♣Q, ♥2, ♠8 | pair
♠A, ♥8, ♣Q, ♥2, ♠Q | pair
♠A, ♥8, ♣Q, ♥K, ♠8 | pair
♠A, ♥8, ♣Q, ♥K, ♠Q | pair
♠A, ♥8, ♣Q, ♠8, ♥4 | pair
♠A, ♥8, ♣Q, ♠8, ♠Q | two pairs
♠A, ♥8, ♣Q, ♠8, ♠4 | pair
♠A, ♥8, ♣Q, ♥4, ♠Q | pair
♠A, ♥8, ♣Q, ♥4, ♠4 | pair
♠A, ♥8, ♣Q, ♠Q, ♠4 | pair
♠A, ♥8, ♦K, ♣5, ♥K | pair
♠A, ♥8, ♦K, ♣5, ♠8 | pair
♠A, ♥8, ♦K, ♥6, ♥K | pair
♠A, ♥8, ♦K, ♥6, ♠8 | pair
♠A, ♥8, ♦K, ♥10, ♥K | pair
♠A, ♥8, ♦K, ♥10, ♠8 | pair
♠A, ♥8, ♦K, ♣4, ♥K | pair
♠A, ♥8, ♦K, ♣4, ♠8 | pair
♠A, ♥8, ♦K, ♣4, ♥4 | pair
♠A, ♥8, ♦K, ♣4, ♠4 | pair
♠A, ♥8, ♦K, ♥2, ♥K | pair
♠A, ♥8, ♦K, ♥2, ♠8 | pair
♠A, ♥8, ♦K, ♥K, ♠8 | two pairs
♠A, ♥8, ♦K, ♥K, ♥4 | pair
♠A, ♥8, ♦K, ♥K, ♠Q | pair
♠A, ♥8, ♦K, ♥K, ♠4 | pair
♠A, ♥8, ♦K, ♠8, ♥4 | pair
♠A, ♥8, ♦K, ♠8, ♠Q | pair
♠A, ♥8, ♦K, ♠8, ♠4 | pair
♠A, ♥8, ♦K, ♥4, ♠4 | pair
♠A, ♥8, ♣5, ♥6, ♠8 | pair
♠A, ♥8, ♣5, ♥10, ♠8 | pair
♠A, ♥8, ♣5, ♣4, ♠8 | pair
♠A, ♥8, ♣5, ♣4, ♥4 | pair
♠A, ♥8, ♣5, ♣4, ♠4 | pair
♠A, ♥8, ♣5, ♥2, ♠8 | pair
♠A, ♥8, ♣5, ♥K, ♠8 | pair
♠A, ♥8, ♣5, ♠8, ♥4 | pair
♠A, ♥8, ♣5, ♠8, ♠Q | pair
♠A, ♥8, ♣5, ♠8, ♠4 | pair
♠A, ♥8, ♣5, ♥4, ♠4 | pair
♠A, ♥8, ♥6, ♥10, ♠8 | pair
♠A, ♥8, ♥6, ♣4, ♠8 | pair
♠A, ♥8, ♥6, ♣4, ♥4 | pair
♠A, ♥8, ♥6, ♣4, ♠4 | pair
♠A, ♥8, ♥6, ♥2, ♠8 | pair
♠A, ♥8, ♥6, ♥K, ♠8 | pair
♠A, ♥8, ♥6, ♠8, ♥4 | pair
♠A, ♥8, ♥6, ♠8, ♠Q | pair
♠A, ♥8, ♥6, ♠8, ♠4 | pair
♠A, ♥8, ♥6, ♥4, ♠4 | pair
♠A, ♥8, ♥10, ♣4, ♠8 | pair
♠A, ♥8, ♥10, ♣4, ♥4 | pair
♠A, ♥8, ♥10, ♣4, ♠4 | pair
♠A, ♥8, ♥10, ♥2, ♠8 | pair
♠A, ♥8, ♥10, ♥K, ♠8 | pair
♠A, ♥8, ♥10, ♠8, ♥4 | pair
♠A, ♥8, ♥10, ♠8, ♠Q | pair
♠A, ♥8, ♥10, ♠8, ♠4 | pair
♠A, ♥8, ♥10, ♥4, ♠4 | pair
♠A, ♥8, ♣4, ♥2, ♠8 | pair
♠A, ♥8, ♣4, ♥2, ♥4 | pair
♠A, ♥8, ♣4, ♥2, ♠4 | pair
♠A, ♥8, ♣4, ♥K, ♠8 | pair
♠A, ♥8, ♣4, ♥K, ♥4 | pair
♠A, ♥8, ♣4, ♥K, ♠4 | pair
♠A, ♥8, ♣4, ♠8, ♥4 | two pairs
♠A, ♥8, ♣4, ♠8, ♠Q | pair
♠A, ♥8, ♣4, ♠8, ♠4 | two pairs
♠A, ♥8, ♣4, ♥4, ♠Q | pair
♠A, ♥8, ♣4, ♥4, ♠4 | three of a kind
♠A, ♥8, ♣4, ♠Q, ♠4 | pair
♠A, ♥8, ♥2, ♥K, ♠8 | pair
♠A, ♥8, ♥2, ♠8, ♥4 | pair
♠A, ♥8, ♥2, ♠8, ♠Q | pair
♠A, ♥8, ♥2, ♠8, ♠4 | pair
♠A, ♥8, ♥2, ♥4, ♠4 | pair
♠A, ♥8, ♥K, ♠8, ♥4 | pair
♠A, ♥8, ♥K, ♠8, ♠Q | pair
♠A, ♥8, ♥K, ♠8, ♠4 | pair
♠A, ♥8, ♥K, ♥4, ♠4 | pair
♠A, ♥8, ♠8, ♥4, ♠Q | pair
♠A, ♥8, ♠8, ♥4, ♠4 | two pairs
♠A, ♥8, ♠8, ♠Q, ♠4 | pair
♠A, ♥8, ♥4, ♠Q, ♠4 | pair
♠A, ♣Q, ♦K, ♣5, ♥K | pair
♠A, ♣Q, ♦K, ♣5, ♠Q | pair
♠A, ♣Q, ♦K, ♥6, ♥K | pair
♠A, ♣Q, ♦K, ♥6, ♠Q | pair
♠A, ♣Q, ♦K, ♥10, ♥K | pair
♠A, ♣Q, ♦K, ♥10, ♠Q | pair
♠A, ♣Q, ♦K, ♣4, ♥K | pair
♠A, ♣Q, ♦K, ♣4, ♥4 | pair
♠A, ♣Q, ♦K, ♣4, ♠Q | pair
♠A, ♣Q, ♦K, ♣4, ♠4 | pair
♠A, ♣Q, ♦K, ♥2, ♥K | pair
♠A, ♣Q, ♦K, ♥2, ♠Q | pair
♠A, ♣Q, ♦K, ♥K, ♠8 | pair
♠A, ♣Q, ♦K, ♥K, ♥4 | pair
♠A, ♣Q, ♦K, ♥K, ♠Q | two pairs
♠A, ♣Q, ♦K, ♥K, ♠4 | pair
♠A, ♣Q, ♦K, ♠8, ♠Q | pair
♠A, ♣Q, ♦K, ♥4, ♠Q | pair
♠A, ♣Q, ♦K, ♥4, ♠4 | pair
♠A, ♣Q, ♦K, ♠Q, ♠4 | pair
♠A, ♣Q, ♣5, ♥6, ♠Q | pair
♠A, ♣Q, ♣5, ♥10, ♠Q | pair
♠A, ♣Q, ♣5, ♣4, ♥4 | pair
♠A, ♣Q, ♣5, ♣4, ♠Q | pair
♠A, ♣Q, ♣5, ♣4, ♠4 | pair
♠A, ♣Q, ♣5, ♥2, ♠Q | pair
♠A, ♣Q, ♣5, ♥K, ♠Q | pair
♠A, ♣Q, ♣5, ♠8, ♠Q | pair
♠A, ♣Q, ♣5, ♥4, ♠Q | pair
♠A, ♣Q, ♣5, ♥4, ♠4 | pair
♠A, ♣Q, ♣5, ♠Q, ♠4 | pair
♠A, ♣Q, ♥6, ♥10, ♠Q | pair
♠A, ♣Q, ♥6, ♣4, ♥4 | pair
♠A, ♣Q, ♥6, ♣4, ♠Q | pair
♠A, ♣Q, ♥6, ♣4, ♠4 | pair
♠A, ♣Q, ♥6, ♥2, ♠Q | pair
♠A, ♣Q, ♥6, ♥K, ♠Q | pair
♠A, ♣Q, ♥6, ♠8, ♠Q | pair
♠A, ♣Q, ♥6, ♥4, ♠Q | pair
♠A, ♣Q, ♥6, ♥4, ♠4 | pair
♠A, ♣Q, ♥6, ♠Q, ♠4 | pair
♠A, ♣Q, ♥10, ♣4, ♥4 | pair
♠A, ♣Q, ♥10, ♣4, ♠Q | pair
♠A, ♣Q, ♥10, ♣4, ♠4 | pair
♠A, ♣Q, ♥10, ♥2, ♠Q | pair
♠A, ♣Q, ♥10, ♥K, ♠Q | pair
♠A, ♣Q, ♥10, ♠8, ♠Q | pair
♠A, ♣Q, ♥10, ♥4, ♠Q | pair
♠A, ♣Q, ♥10, ♥4, ♠4 | pair
♠A, ♣Q, ♥10, ♠Q, ♠4 | pair
♠A, ♣Q, ♣4, ♥2, ♥4 | pair
♠A, ♣Q, ♣4, ♥2, ♠Q | pair
♠A, ♣Q, ♣4, ♥2, ♠4 | pair
♠A, ♣Q, ♣4, ♥K, ♥4 | pair
♠A, ♣Q, ♣4, ♥K, ♠Q | pair
♠A, ♣Q, ♣4, ♥K, ♠4 | pair
♠A, ♣Q, ♣4, ♠8, ♥4 | pair
♠A, ♣Q, ♣4, ♠8, ♠Q | pair
♠A, ♣Q, ♣4, ♠8, ♠4 | pair
♠A, ♣Q, ♣4, ♥4, ♠Q | two pairs
♠A, ♣Q, ♣4, ♥4, ♠4 | three of a kind
♠A, ♣Q, ♣4, ♠Q, ♠4 | two pairs
♠A, ♣Q, ♥2, ♥K, ♠Q | pair
♠A, ♣Q, ♥2, ♠8, ♠Q | pair
♠A, ♣Q, ♥2, ♥4, ♠Q | pair
♠A, ♣Q, ♥2, ♥4, ♠4 | pair
♠A, ♣Q, ♥2, ♠Q, ♠4 | pair
♠A, ♣Q, ♥K, ♠8, ♠Q | pair
♠A, ♣Q, ♥K, ♥4, ♠Q | pair
♠A, ♣Q, ♥K, ♥4, ♠4 | pair
♠A, ♣Q, ♥K, ♠Q, ♠4 | pair
♠A, ♣Q, ♠8, ♥4, ♠Q | pair
♠A, ♣Q, ♠8, ♥4, ♠4 | pair
♠A, ♣Q, ♠8, ♠Q, ♠4 | pair
♠A, ♣Q, ♥4, ♠Q, ♠4 | two pairs
♠A, ♦K, ♣5, ♥6, ♥K | pair
♠A, ♦K, ♣5, ♥10, ♥K | pair
♠A, ♦K, ♣5, ♣4, ♥K | pair
♠A, ♦K, ♣5, ♣4, ♥4 | pair
♠A, ♦K, ♣5, ♣4, ♠4 | pair
♠A, ♦K, ♣5, ♥2, ♥K | pair
♠A, ♦K, ♣5, ♥K, ♠8 | pair
♠A, ♦K, ♣5, ♥K, ♥4 | pair
♠A, ♦K, ♣5, ♥K, ♠Q | pair
♠A, ♦K, ♣5, ♥K, ♠4 | pair
♠A, ♦K, ♣5, ♥4, ♠4 | pair
♠A, ♦K, ♥6, ♥10, ♥K | pair
♠A, ♦K, ♥6, ♣4, ♥K | pair
♠A, ♦K, ♥6, ♣4, ♥4 | pair
♠A, ♦K, ♥6, ♣4, ♠4 | pair
♠A, ♦K, ♥6, ♥2, ♥K | pair
♠A, ♦K, ♥6, ♥K, ♠8 | pair
♠A, ♦K, ♥6, ♥K, ♥4 | pair
♠A, ♦K, ♥6, ♥K, ♠Q | pair
♠A, ♦K, ♥6, ♥K, ♠4 | pair
♠A, ♦K, ♥6, ♥4, ♠4 | pair
♠A, ♦K, ♥10, ♣4, ♥K | pair
♠A, ♦K, ♥10, ♣4, ♥4 | pair
♠A, ♦K, ♥10, ♣4, ♠4 | pair
♠A, ♦K, ♥10, ♥2, ♥K | pair
♠A, ♦K, ♥10, ♥K, ♠8 | pair
♠A, ♦K, ♥10, ♥K, ♥4 | pair
♠A, ♦K, ♥10, ♥K, ♠Q | pair
♠A, ♦K, ♥10, ♥K, ♠4 | pair
♠A, ♦K, ♥10, ♥4, ♠4 | pair
♠A, ♦K, ♣4, ♥2, ♥K | pair
♠A, ♦K, ♣4, ♥2, ♥4 | pair
♠A, ♦K, ♣4, ♥2, ♠4 | pair
♠A, ♦K, ♣4, ♥K, ♠8 | pair
♠A, ♦K, ♣4, ♥K, ♥4 | two pairs
♠A, ♦K, ♣4, ♥K, ♠Q | pair
♠A, ♦K, ♣4, ♥K, ♠4 | two pairs
♠A, ♦K, ♣4, ♠8, ♥4 | pair
♠A, ♦K, ♣4, ♠8, ♠4 | pair
♠A, ♦K, ♣4, ♥4, ♠Q | pair
♠A, ♦K, ♣4, ♥4, ♠4 | three of a kind
♠A, ♦K, ♣4, ♠Q, ♠4 | pair
♠A, ♦K, ♥2, ♥K, ♠8 | pair
♠A, ♦K, ♥2, ♥K, ♥4 | pair
♠A, ♦K, ♥2, ♥K, ♠Q | pair
♠A, ♦K, ♥2, ♥K, ♠4 | pair
♠A, ♦K, ♥2, ♥4, ♠4 | pair
♠A, ♦K, ♥K, ♠8, ♥4 | pair
♠A, ♦K, ♥K, ♠8, ♠Q | pair
♠A, ♦K, ♥K, ♠8, ♠4 | pair
♠A, ♦K, ♥K, ♥4, ♠Q | pair
♠A, ♦K, ♥K, ♥4, ♠4 | two pairs
♠A, ♦K, ♥K, ♠Q, ♠4 | pair
♠A, ♦K, ♠8, ♥4, ♠4 | pair
♠A, ♦K, ♥4, ♠Q, ♠4 | pair
♠A, ♣5, ♥6, ♣4, ♥4 | pair
♠A, ♣5, ♥6, ♣4, ♠4 | pair
♠A, ♣5, ♥6, ♥4, ♠4 | pair
♠A, ♣5, ♥10, ♣4, ♥4 | pair
♠A, ♣5, ♥10, ♣4, ♠4 | pair
♠A, ♣5, ♥10, ♥4, ♠4 | pair
♠A, ♣5, ♣4, ♥2, ♥4 | pair
♠A, ♣5, ♣4, ♥2, ♠4 | pair
♠A, ♣5, ♣4, ♥K, ♥4 | pair
♠A, ♣5, ♣4, ♥K, ♠4 | pair
♠A, ♣5, ♣4, ♠8, ♥4 | pair
♠A, ♣5, ♣4, ♠8, ♠4 | pair
♠A, ♣5, ♣4, ♥4, ♠Q | pair
♠A, ♣5, ♣4, ♥4, ♠4 | three of a kind
♠A, ♣5, ♣4, ♠Q, ♠4 | pair
♠A, ♣5, ♥2, ♥4, ♠4 | pair
♠A, ♣5, ♥K, ♥4, ♠4 | pair
♠A, ♣5, ♠8, ♥4, ♠4 | pair
♠A, ♣5, ♥4, ♠Q, ♠4 | pair
♠A, ♥6, ♥10, ♣4, ♥4 | pair
♠A, ♥6, ♥10, ♣4, ♠4 | pair
♠A, ♥6, ♥10, ♥4, ♠4 | pair
♠A, ♥6, ♣4, ♥2, ♥4 | pair
♠A, ♥6, ♣4, ♥2, ♠4 | pair
♠A, ♥6, ♣4, ♥K, ♥4 | pair
♠A, ♥6, ♣4, ♥K, ♠4 | pair
♠A, ♥6, ♣4, ♠8, ♥4 | pair
♠A, ♥6, ♣4, ♠8, ♠4 | pair
♠A, ♥6, ♣4, ♥4, ♠Q | pair
♠A, ♥6, ♣4, ♥4, ♠4 | three of a kind
♠A, ♥6, ♣4, ♠Q, ♠4 | pair
♠A, ♥6, ♥2, ♥4, ♠4 | pair
♠A, ♥6, ♥K, ♥4, ♠4 | pair
♠A, ♥6, ♠8, ♥4, ♠4 | pair
♠A, ♥6, ♥4, ♠Q, ♠4 | pair
♠A, ♥10, ♣4, ♥2, ♥4 | pair
♠A, ♥10, ♣4, ♥2, ♠4 | pair
♠A, ♥10, ♣4, ♥K, ♥4 | pair
♠A, ♥10, ♣4, ♥K, ♠4 | pair
♠A, ♥10, ♣4, ♠8, ♥4 | pair
♠A, ♥10, ♣4, ♠8, ♠4 | pair
♠A, ♥10, ♣4, ♥4, ♠Q | pair
♠A, ♥10, ♣4, ♥4, ♠4 | three of a kind
♠A, ♥10, ♣4, ♠Q, ♠4 | pair
♠A, ♥10, ♥2, ♥4, ♠4 | pair
♠A, ♥10, ♥K, ♥4, ♠4 | pair
♠A, ♥10, ♠8, ♥4, ♠4 | pair
♠A, ♥10, ♥4, ♠Q, ♠4 | pair
♠A, ♣4, ♥2, ♥K, ♥4 | pair
♠A, ♣4, ♥2, ♥K, ♠4 | pair
♠A, ♣4, ♥2, ♠8, ♥4 | pair
♠A, ♣4, ♥2, ♠8, ♠4 | pair
♠A, ♣4, ♥2, ♥4, ♠Q | pair
♠A, ♣4, ♥2, ♥4, ♠4 | three of a kind
♠A, ♣4, ♥2, ♠Q, ♠4 | pair
♠A, ♣4, ♥K, ♠8, ♥4 | pair
♠A, ♣4, ♥K, ♠8, ♠4 | pair
♠A, ♣4, ♥K, ♥4, ♠Q | pair
♠A, ♣4, ♥K, ♥4, ♠4 | three of a kind
♠A, ♣4, ♥K, ♠Q, ♠4 | pair
♠A, ♣4, ♠8, ♥4, ♠Q | pair
♠A, ♣4, ♠8, ♥4, ♠4 | three of a kind
♠A, ♣4, ♠8, ♠Q, ♠4 | pair
♠A, ♣4, ♥4, ♠Q, ♠4 | three of a kind
♠A, ♥2, ♥K, ♥4, ♠4 | pair
♠A, ♥2, ♠8, ♥4, ♠4 | pair
♠A, ♥2, ♥4, ♠Q, ♠4 | pair
♠A, ♥K, ♠8, ♥4, ♠4 | pair
♠A, ♥K, ♥4, ♠Q, ♠4 | pair
♠A, ♠8, ♥4, ♠Q, ♠4 | pair
♣2, ♥8, ♣Q, ♦K, ♥2 | pair
♣2, ♥8, ♣Q, ♦K, ♥K | pair
♣2, ♥8, ♣Q, ♦K, ♠8 | pair
♣2, ♥8, ♣Q, ♦K, ♠Q | pair
♣2, ♥8, ♣Q, ♣5, ♥2 | pair
♣2, ♥8, ♣Q, ♣5, ♠8 | pair
♣2, ♥8, ♣Q, ♣5, ♠Q | pair
♣2, ♥8, ♣Q, ♥6, ♥2 | pair
♣2, ♥8, ♣Q, ♥6, ♠8 | pair
♣2, ♥8, ♣Q, ♥6, ♠Q | pair
♣2, ♥8, ♣Q, ♥10, ♥2 | pair
♣2, ♥8, ♣Q, ♥10, ♠8 | pair
♣2, ♥8, ♣Q, ♥10, ♠Q | pair
♣2, ♥8, ♣Q, ♣4, ♥2 | pair
♣2, ♥8, ♣Q, ♣4, ♠8 | pair
♣2, ♥8, ♣Q, ♣4, ♥4 | pair
♣2, ♥8, ♣Q, ♣4, ♠Q | pair
♣2, ♥8, ♣Q, ♣4, ♠4 | pair
♣2, ♥8, ♣Q, ♥2, ♥K | pair
♣2, ♥8, ♣Q, ♥2, ♠8 | two pairs
♣2, ♥8, ♣Q, ♥2, ♥4 | pair
♣2, ♥8, ♣Q, ♥2, ♠Q | two pairs
♣2, ♥8, ♣Q, ♥2, ♠4 | pair
♣2, ♥8, ♣Q, ♥K, ♠8 | pair
♣2, ♥8, ♣Q, ♥K, ♠Q | pair
♣2, ♥8, ♣Q, ♠8, ♥4 | pair
♣2, ♥8, ♣Q, ♠8, ♠Q | two pairs
♣2, ♥8, ♣Q, ♠8, ♠4 | pair
♣2, ♥8, ♣Q, ♥4, ♠Q | pair
♣2, ♥8, ♣Q, ♥4, ♠4 | pair
♣2, ♥8, ♣Q, ♠Q, ♠4 | pair
♣2, ♥8, ♦K, ♣5, ♥2 | pair
♣2, ♥8, ♦K, ♣5, ♥K | pair
♣2, ♥8, ♦K, ♣5, ♠8 | pair
♣2, ♥8, ♦K, ♥6, ♥2 | pair
♣2, ♥8, ♦K, ♥6, ♥K | pair
♣2, ♥8, ♦K, ♥6, ♠8 | pair
♣2, ♥8, ♦K, ♥10, ♥2 | pair
♣2, ♥8, ♦K, ♥10, ♥K | pair
♣2, ♥8, ♦K, ♥10, ♠8 | pair
♣2, ♥8, ♦K, ♣4, ♥2 | pair
♣2, ♥8, ♦K, ♣4, ♥K | pair
♣2, ♥8, ♦K, ♣4, ♠8 | pair
♣2, ♥8, ♦K, ♣4, ♥4 | pair
♣2, ♥8, ♦K, ♣4, ♠4 | pair
♣2, ♥8, ♦K, ♥2, ♥K | two pairs
♣2, ♥8, ♦K, ♥2, ♠8 | two pairs
♣2, ♥8, ♦K, ♥2, ♥4 | pair
♣2, ♥8, ♦K, ♥2, ♠Q | pair
♣2, ♥8, ♦K, ♥2, ♠4 | pair
♣2, ♥8, ♦K, ♥K, ♠8 | two pairs
♣2, ♥8, ♦K, ♥K, ♥4 | pair
♣2, ♥8, ♦K, ♥K, ♠Q | pair
♣2, ♥8, ♦K, ♥K, ♠4 | pair
♣2, ♥8, ♦K, ♠8, ♥4 | pair
♣2, ♥8, ♦K, ♠8, ♠Q | pair
♣2, ♥8, ♦K, ♠8, ♠4 | pair
♣2, ♥8, ♦K, ♥4, ♠4 | pair
♣2, ♥8, ♣5, ♥6, ♥2 | pair
♣2, ♥8, ♣5, ♥6, ♠8 | pair
♣2, ♥8, ♣5, ♥10, ♥2 | pair
♣2, ♥8, ♣5, ♥10, ♠8 | pair
♣2, ♥8, ♣5, ♣4, ♥2 | pair
♣2, ♥8, ♣5, ♣4, ♠8 | pair
♣2, ♥8, ♣5, ♣4, ♥4 | pair
♣2, ♥8, ♣5, ♣4, ♠4 | pair
♣2, ♥8, ♣5, ♥2, ♥K | pair
♣2, ♥8, ♣5, ♥2, ♠8 | two pairs
