♥6, ♥K, ♦6, ♥8, ♦10 | pair
♥6, ♥8, ♥Q, ♣9, ♦Q | pair
♥6, ♥8, ♥Q, ♣9, ♥9 | pair
♥6, ♥8, ♥Q, ♦4, ♦Q | pair
♥6, ♥8, ♥Q, ♦Q, ♥9 | pair
♥6, ♥8, ♣9, ♦4, ♥9 | pair
♥6, ♥8, ♣9, ♦Q, ♥9 | pair
♥6, ♦10, ♣J, ♠4, ♦4 | pair
♥6, ♦10, ♣J, ♥Q, ♦Q | pair
♥6, ♦10, ♣J, ♣9, ♥9 | pair
♥6, ♦10, ♠4, ♥Q, ♦4 | pair
♥6, ♦10, ♠4, ♥Q, ♦Q | pair
♥6, ♦10, ♠4, ♣9, ♦4 | pair
♥6, ♦10, ♠4, ♣9, ♥9 | pair
♥6, ♦10, ♠4, ♦4, ♦Q | pair
♥6, ♦10, ♠4, ♦4, ♥9 | pair
♥6, ♦10, ♥Q, ♣9, ♦Q | pair
♥6, ♦10, ♥Q, ♣9, ♥9 | pair
♥6, ♦10, ♥Q, ♦4, ♦Q | pair
♥6, ♦10, ♥Q, ♦Q, ♥9 | pair
♥6, ♦10, ♣9, ♦4, ♥9 | pair
♥6, ♦10, ♣9, ♦Q, ♥9 | pair
♥6, ♣J, ♠4, ♥Q, ♦4 | pair
♥6, ♣J, ♠4, ♥Q, ♦Q | pair
♥6, ♣J, ♠4, ♣9, ♦4 | pair
♥6, ♣J, ♠4, ♣9, ♥9 | pair
♥6, ♣J, ♠4, ♦4, ♦Q | pair
♥6, ♣J, ♠4, ♦4, ♥9 | pair
♥6, ♣J, ♥Q, ♣9, ♦Q | pair
♥6, ♣J, ♥Q, ♣9, ♥9 | pair
♥6, ♣J, ♥Q, ♦4, ♦Q | pair
♥6, ♣J, ♥Q, ♦Q, ♥9 | pair
♥6, ♣J, ♣9, ♦4, ♥9 | pair
♥6, ♣J, ♣9, ♦Q, ♥9 | pair
♥6, ♠4, ♥Q, ♣9, ♦4 | pair
♥6, ♠4, ♥Q, ♣9, ♦Q | pair
♥6, ♠4, ♥Q, ♣9, ♥9 | pair
♥6, ♠4, ♥Q, ♦4, ♦Q | two pairs
♥6, ♠4, ♥Q, ♦4, ♥9 | pair
♥6, ♠4, ♥Q, ♦Q, ♥9 | pair
♥6, ♠4, ♣9, ♦4, ♦Q | pair
♥6, ♠4, ♣9, ♦4, ♥9 | two pairs
♥6, ♠4, ♣9, ♦Q, ♥9 | pair
♥6, ♠4, ♦4, ♦Q, ♥9 | pair
♥6, ♥Q, ♣9, ♦4, ♦Q | pair
♥6, ♥Q, ♣9, ♦4, ♥9 | pair
♥6, ♥Q, ♣9, ♦Q, ♥9 | two pairs
♥6, ♥Q, ♦4, ♦Q, ♥9 | pair
♥6, ♣9, ♦4, ♦Q, ♥9 | pair
♥K, ♦6, ♥8, ♠4, ♦4 | pair
♥K, ♦6, ♥8, ♥Q, ♦Q | pair
♥K, ♦6, ♥8, ♣9, ♥9 | pair
♥K, ♦6, ♦10, ♠4, ♦4 | pair
♥K, ♦6, ♦10, ♥Q, ♦Q | pair
♥K, ♦6, ♦10, ♣9, ♥9 | pair
♥K, ♦6, ♣J, ♠4, ♦4 | pair
♥K, ♦6, ♣J, ♥Q, ♦Q | pair
♥K, ♦6, ♣J, ♣9, ♥9 | pair
♥K, ♦6, ♠4, ♥Q, ♦4 | pair
♥K, ♦6, ♠4, ♥Q, ♦Q | pair
♥K, ♦6, ♠4, ♣9, ♦4 | pair
♥K, ♦6, ♠4, ♣9, ♥9 | pair
♥K, ♦6, ♠4, ♦4, ♦Q | pair
♥K, ♦6, ♠4, ♦4, ♥9 | pair
♥K, ♦6, ♥Q, ♣9, ♦Q | pair
♥K, ♦6, ♥Q, ♣9, ♥9 | pair
♥K, ♦6, ♥Q, ♦4, ♦Q | pair
♥K, ♦6, ♥Q, ♦Q, ♥9 | pair
♥K, ♦6, ♣9, ♦4, ♥9 | pair
♥K, ♦6, ♣9, ♦Q, ♥9 | pair
♥K, ♥8, ♦10, ♠4, ♦4 | pair
♥K, ♥8, ♦10, ♥Q, ♦Q | pair
♥K, ♥8, ♦10, ♣9, ♥9 | pair
♥K, ♥8, ♣J, ♠4, ♦4 | pair
♥K, ♥8, ♣J, ♥Q, ♦Q | pair
♥K, ♥8, ♣J, ♣9, ♥9 | pair
♥K, ♥8, ♠4, ♥Q, ♦4 | pair
♥K, ♥8, ♠4, ♥Q, ♦Q | pair
♥K, ♥8, ♠4, ♣9, ♦4 | pair
♥K, ♥8, ♠4, ♣9, ♥9 | pair
♥K, ♥8, ♠4, ♦4, ♦Q | pair
♥K, ♥8, ♠4, ♦4, ♥9 | pair
♥K, ♥8, ♥Q, ♣9, ♦Q | pair
♥K, ♥8, ♥Q, ♣9, ♥9 | pair
♥K, ♥8, ♥Q, ♦4, ♦Q | pair
♥K, ♥8, ♥Q, ♦Q, ♥9 | pair
♥K, ♥8, ♣9, ♦4, ♥9 | pair
♥K, ♥8, ♣9, ♦Q, ♥9 | pair
♥K, ♦10, ♣J, ♠4, ♦4 | pair
♥K, ♦10, ♣J, ♥Q, ♣9 | straight
♥K, ♦10, ♣J, ♥Q, ♦Q | pair
♥K, ♦10, ♣J, ♥Q, ♥9 | straight
♥K, ♦10, ♣J, ♣9, ♦Q | straight
♥K, ♦10, ♣J, ♣9, ♥9 | pair
♥K, ♦10, ♣J, ♦Q, ♥9 | straight
♥K, ♦10, ♠4, ♥Q, ♦4 | pair
♥K, ♦10, ♠4, ♥Q, ♦Q | pair
♥K, ♦10, ♠4, ♣9, ♦4 | pair
♥K, ♦10, ♠4, ♣9, ♥9 | pair
♥K, ♦10, ♠4, ♦4, ♦Q | pair
♥K, ♦10, ♠4, ♦4, ♥9 | pair
♥K, ♦10, ♥Q, ♣9, ♦Q | pair
♥K, ♦10, ♥Q, ♣9, ♥9 | pair
♥K, ♦10, ♥Q, ♦4, ♦Q | pair
♥K, ♦10, ♥Q, ♦Q, ♥9 | pair
♥K, ♦10, ♣9, ♦4, ♥9 | pair
♥K, ♦10, ♣9, ♦Q, ♥9 | pair
♥K, ♣J, ♠4, ♥Q, ♦4 | pair
♥K, ♣J, ♠4, ♥Q, ♦Q | pair
♥K, ♣J, ♠4, ♣9, ♦4 | pair
♥K, ♣J, ♠4, ♣9, ♥9 | pair
♥K, ♣J, ♠4, ♦4, ♦Q | pair
♥K, ♣J, ♠4, ♦4, ♥9 | pair
♥K, ♣J, ♥Q, ♣9, ♦Q | pair
♥K, ♣J, ♥Q, ♣9, ♥9 | pair
♥K, ♣J, ♥Q, ♦4, ♦Q | pair
♥K, ♣J, ♥Q, ♦Q, ♥9 | pair
♥K, ♣J, ♣9, ♦4, ♥9 | pair
♥K, ♣J, ♣9, ♦Q, ♥9 | pair
♥K, ♠4, ♥Q, ♣9, ♦4 | pair
♥K, ♠4, ♥Q, ♣9, ♦Q | pair
♥K, ♠4, ♥Q, ♣9, ♥9 | pair
♥K, ♠4, ♥Q, ♦4, ♦Q | two pairs
♥K, ♠4, ♥Q, ♦4, ♥9 | pair
♥K, ♠4, ♥Q, ♦Q, ♥9 | pair
♥K, ♠4, ♣9, ♦4, ♦Q | pair
♥K, ♠4, ♣9, ♦4, ♥9 | two pairs
♥K, ♠4, ♣9, ♦Q, ♥9 | pair
♥K, ♠4, ♦4, ♦Q, ♥9 | pair
♥K, ♥Q, ♣9, ♦4, ♦Q | pair
♥K, ♥Q, ♣9, ♦4, ♥9 | pair
♥K, ♥Q, ♣9, ♦Q, ♥9 | two pairs
♥K, ♥Q, ♦4, ♦Q, ♥9 | pair
♥K, ♣9, ♦4, ♦Q, ♥9 | pair
♦6, ♥8, ♦10, ♠4, ♦4 | pair
♦6, ♥8, ♦10, ♥Q, ♦Q | pair
♦6, ♥8, ♦10, ♣9, ♥9 | pair
♦6, ♥8, ♣J, ♠4, ♦4 | pair
♦6, ♥8, ♣J, ♥Q, ♦Q | pair
♦6, ♥8, ♣J, ♣9, ♥9 | pair
♦6, ♥8, ♠4, ♥Q, ♦4 | pair
♦6, ♥8, ♠4, ♥Q, ♦Q | pair
♦6, ♥8, ♠4, ♣9, ♦4 | pair
♦6, ♥8, ♠4, ♣9, ♥9 | pair
♦6, ♥8, ♠4, ♦4, ♦Q | pair
♦6, ♥8, ♠4, ♦4, ♥9 | pair
♦6, ♥8, ♥Q, ♣9, ♦Q | pair
♦6, ♥8, ♥Q, ♣9, ♥9 | pair
♦6, ♥8, ♥Q, ♦4, ♦Q | pair
♦6, ♥8, ♥Q, ♦Q, ♥9 | pair
♦6, ♥8, ♣9, ♦4, ♥9 | pair
♦6, ♥8, ♣9, ♦Q, ♥9 | pair
♦6, ♦10, ♣J, ♠4, ♦4 | pair
♦6, ♦10, ♣J, ♥Q, ♦Q | pair
♦6, ♦10, ♣J, ♣9, ♥9 | pair
♦6, ♦10, ♠4, ♥Q, ♦4 | pair
♦6, ♦10, ♠4, ♥Q, ♦Q | pair
♦6, ♦10, ♠4, ♣9, ♦4 | pair
♦6, ♦10, ♠4, ♣9, ♥9 | pair
♦6, ♦10, ♠4, ♦4, ♦Q | pair
♦6, ♦10, ♠4, ♦4, ♥9 | pair
♦6, ♦10, ♥Q, ♣9, ♦Q | pair
♦6, ♦10, ♥Q, ♣9, ♥9 | pair
♦6, ♦10, ♥Q, ♦4, ♦Q | pair
♦6, ♦10, ♥Q, ♦Q, ♥9 | pair
♦6, ♦10, ♣9, ♦4, ♥9 | pair
♦6, ♦10, ♣9, ♦Q, ♥9 | pair
♦6, ♣J, ♠4, ♥Q, ♦4 | pair
♦6, ♣J, ♠4, ♥Q, ♦Q | pair
♦6, ♣J, ♠4, ♣9, ♦4 | pair
♦6, ♣J, ♠4, ♣9, ♥9 | pair
♦6, ♣J, ♠4, ♦4, ♦Q | pair
♦6, ♣J, ♠4, ♦4, ♥9 | pair
♦6, ♣J, ♥Q, ♣9, ♦Q | pair
♦6, ♣J, ♥Q, ♣9, ♥9 | pair
♦6, ♣J, ♥Q, ♦4, ♦Q | pair
♦6, ♣J, ♥Q, ♦Q, ♥9 | pair
♦6, ♣J, ♣9, ♦4, ♥9 | pair
♦6, ♣J, ♣9, ♦Q, ♥9 | pair
♦6, ♠4, ♥Q, ♣9, ♦4 | pair
♦6, ♠4, ♥Q, ♣9, ♦Q | pair
♦6, ♠4, ♥Q, ♣9, ♥9 | pair
♦6, ♠4, ♥Q, ♦4, ♦Q | two pairs
♦6, ♠4, ♥Q, ♦4, ♥9 | pair
♦6, ♠4, ♥Q, ♦Q, ♥9 | pair
♦6, ♠4, ♣9, ♦4, ♦Q | pair
♦6, ♠4, ♣9, ♦4, ♥9 | two pairs
♦6, ♠4, ♣9, ♦Q, ♥9 | pair
♦6, ♠4, ♦4, ♦Q, ♥9 | pair
♦6, ♥Q, ♣9, ♦4, ♦Q | pair
♦6, ♥Q, ♣9, ♦4, ♥9 | pair
♦6, ♥Q, ♣9, ♦Q, ♥9 | two pairs
♦6, ♥Q, ♦4, ♦Q, ♥9 | pair
♦6, ♣9, ♦4, ♦Q, ♥9 | pair
♥8, ♦10, ♣J, ♠4, ♦4 | pair
♥8, ♦10, ♣J, ♥Q, ♣9 | straight
♥8, ♦10, ♣J, ♥Q, ♦Q | pair
♥8, ♦10, ♣J, ♥Q, ♥9 | straight
♥8, ♦10, ♣J, ♣9, ♦Q | straight
♥8, ♦10, ♣J, ♣9, ♥9 | pair
♥8, ♦10, ♣J, ♦Q, ♥9 | straight
♥8, ♦10, ♠4, ♥Q, ♦4 | pair
♥8, ♦10, ♠4, ♥Q, ♦Q | pair
♥8, ♦10, ♠4, ♣9, ♦4 | pair
♥8, ♦10, ♠4, ♣9, ♥9 | pair
♥8, ♦10, ♠4, ♦4, ♦Q | pair
♥8, ♦10, ♠4, ♦4, ♥9 | pair
♥8, ♦10, ♥Q, ♣9, ♦Q | pair
♥8, ♦10, ♥Q, ♣9, ♥9 | pair
♥8, ♦10, ♥Q, ♦4, ♦Q | pair
♥8, ♦10, ♥Q, ♦Q, ♥9 | pair
♥8, ♦10, ♣9, ♦4, ♥9 | pair
♥8, ♦10, ♣9, ♦Q, ♥9 | pair
♥8, ♣J, ♠4, ♥Q, ♦4 | pair
♥8, ♣J, ♠4, ♥Q, ♦Q | pair
♥8, ♣J, ♠4, ♣9, ♦4 | pair
♥8, ♣J, ♠4, ♣9, ♥9 | pair
♥8, ♣J, ♠4, ♦4, ♦Q | pair
♥8, ♣J, ♠4, ♦4, ♥9 | pair
♥8, ♣J, ♥Q, ♣9, ♦Q | pair
♥8, ♣J, ♥Q, ♣9, ♥9 | pair
♥8, ♣J, ♥Q, ♦4, ♦Q | pair
♥8, ♣J, ♥Q, ♦Q, ♥9 | pair
♥8, ♣J, ♣9, ♦4, ♥9 | pair
♥8, ♣J, ♣9, ♦Q, ♥9 | pair
♥8, ♠4, ♥Q, ♣9, ♦4 | pair
♥8, ♠4, ♥Q, ♣9, ♦Q | pair
♥8, ♠4, ♥Q, ♣9, ♥9 | pair
♥8, ♠4, ♥Q, ♦4, ♦Q | two pairs
♥8, ♠4, ♥Q, ♦4, ♥9 | pair
♥8, ♠4, ♥Q, ♦Q, ♥9 | pair
♥8, ♠4, ♣9, ♦4, ♦Q | pair
♥8, ♠4, ♣9, ♦4, ♥9 | two pairs
♥8, ♠4, ♣9, ♦Q, ♥9 | pair
♥8, ♠4, ♦4, ♦Q, ♥9 | pair
♥8, ♥Q, ♣9, ♦4, ♦Q | pair
♥8, ♥Q, ♣9, ♦4, ♥9 | pair
♥8, ♥Q, ♣9, ♦Q, ♥9 | two pairs
♥8, ♥Q, ♦4, ♦Q, ♥9 | pair
♥8, ♣9, ♦4, ♦Q, ♥9 | pair
♦10, ♣J, ♠4, ♥Q, ♦4 | pair
♦10, ♣J, ♠4, ♥Q, ♦Q | pair
♦10, ♣J, ♠4, ♣9, ♦4 | pair
♦10, ♣J, ♠4, ♣9, ♥9 | pair
♦10, ♣J, ♠4, ♦4, ♦Q | pair
♦10, ♣J, ♠4, ♦4, ♥9 | pair
♦10, ♣J, ♥Q, ♣9, ♦Q | pair
♦10, ♣J, ♥Q, ♣9, ♥9 | pair
♦10, ♣J, ♥Q, ♦4, ♦Q | pair
♦10, ♣J, ♥Q, ♦Q, ♥9 | pair
♦10, ♣J, ♣9, ♦4, ♥9 | pair
♦10, ♣J, ♣9, ♦Q, ♥9 | pair
♦10, ♠4, ♥Q, ♣9, ♦4 | pair
♦10, ♠4, ♥Q, ♣9, ♦Q | pair
♦10, ♠4, ♥Q, ♣9, ♥9 | pair
♦10, ♠4, ♥Q, ♦4, ♦Q | two pairs
♦10, ♠4, ♥Q, ♦4, ♥9 | pair
♦10, ♠4, ♥Q, ♦Q, ♥9 | pair
♦10, ♠4, ♣9, ♦4, ♦Q | pair
♦10, ♠4, ♣9, ♦4, ♥9 | two pairs
♦10, ♠4, ♣9, ♦Q, ♥9 | pair
♦10, ♠4, ♦4, ♦Q, ♥9 | pair
♦10, ♥Q, ♣9, ♦4, ♦Q | pair
♦10, ♥Q, ♣9, ♦4, ♥9 | pair
♦10, ♥Q, ♣9, ♦Q, ♥9 | two pairs
♦10, ♥Q, ♦4, ♦Q, ♥9 | pair
♦10, ♣9, ♦4, ♦Q, ♥9 | pair
♣J, ♠4, ♥Q, ♣9, ♦4 | pair
♣J, ♠4, ♥Q, ♣9, ♦Q | pair
♣J, ♠4, ♥Q, ♣9, ♥9 | pair
♣J, ♠4, ♥Q, ♦4, ♦Q | two pairs
♣J, ♠4, ♥Q, ♦4, ♥9 | pair
♣J, ♠4, ♥Q, ♦Q, ♥9 | pair
♣J, ♠4, ♣9, ♦4, ♦Q | pair
♣J, ♠4, ♣9, ♦4, ♥9 | two pairs
♣J, ♠4, ♣9, ♦Q, ♥9 | pair
♣J, ♠4, ♦4, ♦Q, ♥9 | pair
♣J, ♥Q, ♣9, ♦4, ♦Q | pair
♣J, ♥Q, ♣9, ♦4, ♥9 | pair
♣J, ♥Q, ♣9, ♦Q, ♥9 | two pairs
♣J, ♥Q, ♦4, ♦Q, ♥9 | pair
♣J, ♣9, ♦4, ♦Q, ♥9 | pair
♠4, ♥Q, ♣9, ♦4, ♦Q | two pairs
♠4, ♥Q, ♣9, ♦4, ♥9 | two pairs
♠4, ♥Q, ♣9, ♦Q, ♥9 | two pairs
♠4, ♥Q, ♦4, ♦Q, ♥9 | two pairs
♠4, ♣9, ♦4, ♦Q, ♥9 | two pairs
♥Q, ♣9, ♦4, ♦Q, ♥9 | two pairs
