♣J, ♠J, ♠A, ♠10, ♦8 | pair
♣J, ♠J, ♠A, ♥J, ♥3 | three of a kind
♣J, ♠J, ♠A, ♥J, ♣4 | three of a kind
♣J, ♠J, ♠A, ♥J, ♦5 | three of a kind
♣J, ♠J, ♠A, ♥J, ♣8 | three of a kind
♣J, ♠J, ♠A, ♥Q, ♦2 | pair
♣J, ♠J, ♠A, ♥Q, ♥3 | pair
♣J, ♠J, ♠A, ♥Q, ♥3 | pair
♣J, ♠J, ♠A, ♥Q, ♣4 | pair
♣J, ♠J, ♠A, ♥Q, ♦5 | pair
♣J, ♠J, ♠A, ♥Q, ♣8 | pair
♣J, ♠J, ♠A, ♦2, ♥3 | pair
♣J, ♠J, ♠A, ♦2, ♥3 | pair
♣J, ♠J, ♠A, ♦2, ♣4 | pair
♣J, ♠J, ♠A, ♦2, ♦5 | pair
♣J, ♠J, ♠A, ♦2, ♣8 | pair
♣J, ♠J, ♠A, ♥3, ♥3 | two pairs
♣J, ♠J, ♠A, ♥3, ♣4 | pair
♣J, ♠J, ♠A, ♥3, ♦5 | pair
♣J, ♠J, ♠A, ♥3, ♣8 | pair
♣J, ♠J, ♠A, ♥3, ♣4 | pair
♣J, ♠J, ♠A, ♥3, ♦5 | pair
♣J, ♠J, ♠A, ♥3, ♣8 | pair
♣J, ♠J, ♠A, ♣4, ♦5 | pair
♣J, ♠J, ♠A, ♣4, ♣8 | pair
♣J, ♠J, ♠A, ♦5, ♣8 | pair
♣J, ♠J, ♠10, ♦8, ♣2 | pair
♣J, ♠J, ♠10, ♦8, ♠8 | two pairs
♣J, ♠J, ♠10, ♦8, ♥J | three of a kind
♣J, ♠J, ♠10, ♦8, ♥Q | pair
♣J, ♠J, ♠10, ♦8, ♦2 | pair
♣J, ♠J, ♠10, ♦8, ♥3 | pair
♣J, ♠J, ♠10, ♦8, ♥3 | pair
♣J, ♠J, ♠10, ♦8, ♣4 | pair
♣J, ♠J, ♠10, ♦8, ♦5 | pair
♣J, ♠J, ♠10, ♦8, ♣8 | two pairs
♣J, ♠J, ♠10, ♣2, ♠8 | pair
♣J, ♠J, ♠10, ♣2, ♥J | three of a kind
♣J, ♠J, ♠10, ♣2, ♥Q | pair
♣J, ♠J, ♠10, ♣2, ♦2 | two pairs
♣J, ♠J, ♠10, ♣2, ♥3 | pair
♣J, ♠J, ♠10, ♣2, ♥3 | pair
♣J, ♠J, ♠10, ♣2, ♣4 | pair
♣J, ♠J, ♠10, ♣2, ♦5 | pair
♣J, ♠J, ♠10, ♣2, ♣8 | pair
♣J, ♠J, ♠10, ♠8, ♥J | three of a kind
♣J, ♠J, ♠10, ♠8, ♥Q | pair
♣J, ♠J, ♠10, ♠8, ♦2 | pair
♣J, ♠J, ♠10, ♠8, ♥3 | pair
♣J, ♠J, ♠10, ♠8, ♥3 | pair
♣J, ♠J, ♠10, ♠8, ♣4 | pair
♣J, ♠J, ♠10, ♠8, ♦5 | pair
♣J, ♠J, ♠10, ♠8, ♣8 | two pairs
♣J, ♠J, ♠10, ♥J, ♥Q | three of a kind
♣J, ♠J, ♠10, ♥J, ♦2 | three of a kind
♣J, ♠J, ♠10, ♥J, ♥3 | three of a kind
♣J, ♠J, ♠10, ♥J, ♥3 | three of a kind
♣J, ♠J, ♠10, ♥J, ♣4 | three of a kind
♣J, ♠J, ♠10, ♥J, ♦5 | three of a kind
♣J, ♠J, ♠10, ♥J, ♣8 | three of a kind
♣J, ♠J, ♠10, ♥Q, ♦2 | pair
♣J, ♠J, ♠10, ♥Q, ♥3 | pair
♣J, ♠J, ♠10, ♥Q, ♥3 | pair
♣J, ♠J, ♠10, ♥Q, ♣4 | pair
♣J, ♠J, ♠10, ♥Q, ♦5 | pair
♣J, ♠J, ♠10, ♥Q, ♣8 | pair
♣J, ♠J, ♠10, ♦2, ♥3 | pair
♣J, ♠J, ♠10, ♦2, ♥3 | pair
♣J, ♠J, ♠10, ♦2, ♣4 | pair
♣J, ♠J, ♠10, ♦2, ♦5 | pair
♣J, ♠J, ♠10, ♦2, ♣8 | pair
♣J, ♠J, ♠10, ♥3, ♥3 | two pairs
♣J, ♠J, ♠10, ♥3, ♣4 | pair
♣J, ♠J, ♠10, ♥3, ♦5 | pair
♣J, ♠J, ♠10, ♥3, ♣8 | pair
♣J, ♠J, ♠10, ♥3, ♣4 | pair
♣J, ♠J, ♠10, ♥3, ♦5 | pair
♣J, ♠J, ♠10, ♥3, ♣8 | pair
♣J, ♠J, ♠10, ♣4, ♦5 | pair
♣J, ♠J, ♠10, ♣4, ♣8 | pair
♣J, ♠J, ♠10, ♦5, ♣8 | pair
♣J, ♠J, ♦8, ♣2, ♠8 | two pairs
♣J, ♠J, ♦8, ♣2, ♥J | three of a kind
♣J, ♠J, ♦8, ♣2, ♥Q | pair
♣J, ♠J, ♦8, ♣2, ♦2 | two pairs
♣J, ♠J, ♦8, ♣2, ♥3 | pair
♣J, ♠J, ♦8, ♣2, ♥3 | pair
♣J, ♠J, ♦8, ♣2, ♣4 | pair
♣J, ♠J, ♦8, ♣2, ♦5 | pair
♣J, ♠J, ♦8, ♣2, ♣8 | two pairs
♣J, ♠J, ♦8, ♠8, ♥J | fullhouse
♣J, ♠J, ♦8, ♠8, ♥Q | two pairs
♣J, ♠J, ♦8, ♠8, ♦2 | two pairs
♣J, ♠J, ♦8, ♠8, ♥3 | two pairs
♣J, ♠J, ♦8, ♠8, ♥3 | two pairs
♣J, ♠J, ♦8, ♠8, ♣4 | two pairs
♣J, ♠J, ♦8, ♠8, ♦5 | two pairs
♣J, ♠J, ♦8, ♠8, ♣8 | fullhouse
♣J, ♠J, ♦8, ♥J, ♥Q | three of a kind
♣J, ♠J, ♦8, ♥J, ♦2 | three of a kind
♣J, ♠J, ♦8, ♥J, ♥3 | three of a kind
♣J, ♠J, ♦8, ♥J, ♥3 | three of a kind
♣J, ♠J, ♦8, ♥J, ♣4 | three of a kind
♣J, ♠J, ♦8, ♥J, ♦5 | three of a kind
♣J, ♠J, ♦8, ♥J, ♣8 | fullhouse
♣J, ♠J, ♦8, ♥Q, ♦2 | pair
♣J, ♠J, ♦8, ♥Q, ♥3 | pair
♣J, ♠J, ♦8, ♥Q, ♥3 | pair
♣J, ♠J, ♦8, ♥Q, ♣4 | pair
♣J, ♠J, ♦8, ♥Q, ♦5 | pair
♣J, ♠J, ♦8, ♥Q, ♣8 | two pairs
♣J, ♠J, ♦8, ♦2, ♥3 | pair
♣J, ♠J, ♦8, ♦2, ♥3 | pair
♣J, ♠J, ♦8, ♦2, ♣4 | pair
♣J, ♠J, ♦8, ♦2, ♦5 | pair
♣J, ♠J, ♦8, ♦2, ♣8 | two pairs
♣J, ♠J, ♦8, ♥3, ♥3 | two pairs
♣J, ♠J, ♦8, ♥3, ♣4 | pair
♣J, ♠J, ♦8, ♥3, ♦5 | pair
♣J, ♠J, ♦8, ♥3, ♣8 | two pairs
♣J, ♠J, ♦8, ♥3, ♣4 | pair
♣J, ♠J, ♦8, ♥3, ♦5 | pair
♣J, ♠J, ♦8, ♥3, ♣8 | two pairs
♣J, ♠J, ♦8, ♣4, ♦5 | pair
♣J, ♠J, ♦8, ♣4, ♣8 | two pairs
♣J, ♠J, ♦8, ♦5, ♣8 | two pairs
♣J, ♠J, ♣2, ♠8, ♥J | three of a kind
♣J, ♠J, ♣2, ♠8, ♥Q | pair
♣J, ♠J, ♣2, ♠8, ♦2 | two pairs
♣J, ♠J, ♣2, ♠8, ♥3 | pair
♣J, ♠J, ♣2, ♠8, ♥3 | pair
♣J, ♠J, ♣2, ♠8, ♣4 | pair
♣J, ♠J, ♣2, ♠8, ♦5 | pair
♣J, ♠J, ♣2, ♠8, ♣8 | two pairs
♣J, ♠J, ♣2, ♥J, ♥Q | three of a kind
♣J, ♠J, ♣2, ♥J, ♦2 | fullhouse
♣J, ♠J, ♣2, ♥J, ♥3 | three of a kind
♣J, ♠J, ♣2, ♥J, ♥3 | three of a kind
♣J, ♠J, ♣2, ♥J, ♣4 | three of a kind
♣J, ♠J, ♣2, ♥J, ♦5 | three of a kind
♣J, ♠J, ♣2, ♥J, ♣8 | three of a kind
♣J, ♠J, ♣2, ♥Q, ♦2 | two pairs
♣J, ♠J, ♣2, ♥Q, ♥3 | pair
♣J, ♠J, ♣2, ♥Q, ♥3 | pair
♣J, ♠J, ♣2, ♥Q, ♣4 | pair
♣J, ♠J, ♣2, ♥Q, ♦5 | pair
♣J, ♠J, ♣2, ♥Q, ♣8 | pair
♣J, ♠J, ♣2, ♦2, ♥3 | two pairs
♣J, ♠J, ♣2, ♦2, ♥3 | two pairs
♣J, ♠J, ♣2, ♦2, ♣4 | two pairs
♣J, ♠J, ♣2, ♦2, ♦5 | two pairs
♣J, ♠J, ♣2, ♦2, ♣8 | two pairs
♣J, ♠J, ♣2, ♥3, ♥3 | two pairs
♣J, ♠J, ♣2, ♥3, ♣4 | pair
♣J, ♠J, ♣2, ♥3, ♦5 | pair
♣J, ♠J, ♣2, ♥3, ♣8 | pair
♣J, ♠J, ♣2, ♥3, ♣4 | pair
♣J, ♠J, ♣2, ♥3, ♦5 | pair
♣J, ♠J, ♣2, ♥3, ♣8 | pair
♣J, ♠J, ♣2, ♣4, ♦5 | pair
♣J, ♠J, ♣2, ♣4, ♣8 | pair
♣J, ♠J, ♣2, ♦5, ♣8 | pair
♣J, ♠J, ♠8, ♥J, ♥Q | three of a kind
♣J, ♠J, ♠8, ♥J, ♦2 | three of a kind
♣J, ♠J, ♠8, ♥J, ♥3 | three of a kind
♣J, ♠J, ♠8, ♥J, ♥3 | three of a kind
♣J, ♠J, ♠8, ♥J, ♣4 | three of a kind
♣J, ♠J, ♠8, ♥J, ♦5 | three of a kind
♣J, ♠J, ♠8, ♥J, ♣8 | fullhouse
♣J, ♠J, ♠8, ♥Q, ♦2 | pair
♣J, ♠J, ♠8, ♥Q, ♥3 | pair
♣J, ♠J, ♠8, ♥Q, ♥3 | pair
♣J, ♠J, ♠8, ♥Q, ♣4 | pair
♣J, ♠J, ♠8, ♥Q, ♦5 | pair
♣J, ♠J, ♠8, ♥Q, ♣8 | two pairs
♣J, ♠J, ♠8, ♦2, ♥3 | pair
♣J, ♠J, ♠8, ♦2, ♥3 | pair
♣J, ♠J, ♠8, ♦2, ♣4 | pair
♣J, ♠J, ♠8, ♦2, ♦5 | pair
♣J, ♠J, ♠8, ♦2, ♣8 | two pairs
♣J, ♠J, ♠8, ♥3, ♥3 | two pairs
♣J, ♠J, ♠8, ♥3, ♣4 | pair
♣J, ♠J, ♠8, ♥3, ♦5 | pair
♣J, ♠J, ♠8, ♥3, ♣8 | two pairs
♣J, ♠J, ♠8, ♥3, ♣4 | pair
♣J, ♠J, ♠8, ♥3, ♦5 | pair
♣J, ♠J, ♠8, ♥3, ♣8 | two pairs
♣J, ♠J, ♠8, ♣4, ♦5 | pair
♣J, ♠J, ♠8, ♣4, ♣8 | two pairs
♣J, ♠J, ♠8, ♦5, ♣8 | two pairs
♣J, ♠J, ♥J, ♥Q, ♦2 | three of a kind
♣J, ♠J, ♥J, ♥Q, ♥3 | three of a kind
♣J, ♠J, ♥J, ♥Q, ♥3 | three of a kind
♣J, ♠J, ♥J, ♥Q, ♣4 | three of a kind
♣J, ♠J, ♥J, ♥Q, ♦5 | three of a kind
♣J, ♠J, ♥J, ♥Q, ♣8 | three of a kind
♣J, ♠J, ♥J, ♦2, ♥3 | three of a kind
♣J, ♠J, ♥J, ♦2, ♥3 | three of a kind
♣J, ♠J, ♥J, ♦2, ♣4 | three of a kind
♣J, ♠J, ♥J, ♦2, ♦5 | three of a kind
♣J, ♠J, ♥J, ♦2, ♣8 | three of a kind
♣J, ♠J, ♥J, ♥3, ♥3 | fullhouse
♣J, ♠J, ♥J, ♥3, ♣4 | three of a kind
♣J, ♠J, ♥J, ♥3, ♦5 | three of a kind
♣J, ♠J, ♥J, ♥3, ♣8 | three of a kind
♣J, ♠J, ♥J, ♥3, ♣4 | three of a kind
♣J, ♠J, ♥J, ♥3, ♦5 | three of a kind
♣J, ♠J, ♥J, ♥3, ♣8 | three of a kind
♣J, ♠J, ♥J, ♣4, ♦5 | three of a kind
♣J, ♠J, ♥J, ♣4, ♣8 | three of a kind
♣J, ♠J, ♥J, ♦5, ♣8 | three of a kind
♣J, ♠J, ♥Q, ♦2, ♥3 | pair
♣J, ♠J, ♥Q, ♦2, ♥3 | pair
♣J, ♠J, ♥Q, ♦2, ♣4 | pair
♣J, ♠J, ♥Q, ♦2, ♦5 | pair
♣J, ♠J, ♥Q, ♦2, ♣8 | pair
♣J, ♠J, ♥Q, ♥3, ♥3 | two pairs
♣J, ♠J, ♥Q, ♥3, ♣4 | pair
♣J, ♠J, ♥Q, ♥3, ♦5 | pair
♣J, ♠J, ♥Q, ♥3, ♣8 | pair
♣J, ♠J, ♥Q, ♥3, ♣4 | pair
♣J, ♠J, ♥Q, ♥3, ♦5 | pair
♣J, ♠J, ♥Q, ♥3, ♣8 | pair
♣J, ♠J, ♥Q, ♣4, ♦5 | pair
♣J, ♠J, ♥Q, ♣4, ♣8 | pair
♣J, ♠J, ♥Q, ♦5, ♣8 | pair
♣J, ♠J, ♦2, ♥3, ♥3 | two pairs
♣J, ♠J, ♦2, ♥3, ♣4 | pair
♣J, ♠J, ♦2, ♥3, ♦5 | pair
♣J, ♠J, ♦2, ♥3, ♣8 | pair
♣J, ♠J, ♦2, ♥3, ♣4 | pair
♣J, ♠J, ♦2, ♥3, ♦5 | pair
♣J, ♠J, ♦2, ♥3, ♣8 | pair
♣J, ♠J, ♦2, ♣4, ♦5 | pair
♣J, ♠J, ♦2, ♣4, ♣8 | pair
♣J, ♠J, ♦2, ♦5, ♣8 | pair
♣J, ♠J, ♥3, ♥3, ♣4 | two pairs
♣J, ♠J, ♥3, ♥3, ♦5 | two pairs
♣J, ♠J, ♥3, ♥3, ♣8 | two pairs
♣J, ♠J, ♥3, ♣4, ♦5 | pair
♣J, ♠J, ♥3, ♣4, ♣8 | pair
♣J, ♠J, ♥3, ♦5, ♣8 | pair
♣J, ♠J, ♥3, ♣4, ♦5 | pair
♣J, ♠J, ♥3, ♣4, ♣8 | pair
♣J, ♠J, ♥3, ♦5, ♣8 | pair
♣J, ♠J, ♣4, ♦5, ♣8 | pair
♣J, ♠A, ♠10, ♦8, ♠8 | pair
♣J, ♠A, ♠10, ♦8, ♥J | pair
♣J, ♠A, ♠10, ♦8, ♣8 | pair
♣J, ♠A, ♠10, ♣2, ♥J | pair
♣J, ♠A, ♠10, ♣2, ♦2 | pair
♣J, ♠A, ♠10, ♠8, ♥J | pair
♣J, ♠A, ♠10, ♠8, ♣8 | pair
♣J, ♠A, ♠10, ♥J, ♥Q | pair
♣J, ♠A, ♠10, ♥J, ♦2 | pair
♣J, ♠A, ♠10, ♥J, ♥3 | pair
♣J, ♠A, ♠10, ♥J, ♥3 | pair
♣J, ♠A, ♠10, ♥J, ♣4 | pair
♣J, ♠A, ♠10, ♥J, ♦5 | pair
♣J, ♠A, ♠10, ♥J, ♣8 | pair
♣J, ♠A, ♠10, ♥3, ♥3 | pair
♣J, ♠A, ♦8, ♣2, ♠8 | pair
♣J, ♠A, ♦8, ♣2, ♥J | pair
♣J, ♠A, ♦8, ♣2, ♦2 | pair
♣J, ♠A, ♦8, ♣2, ♣8 | pair
♣J, ♠A, ♦8, ♠8, ♥J | two pairs
♣J, ♠A, ♦8, ♠8, ♥Q | pair
♣J, ♠A, ♦8, ♠8, ♦2 | pair
♣J, ♠A, ♦8, ♠8, ♥3 | pair
♣J, ♠A, ♦8, ♠8, ♥3 | pair
♣J, ♠A, ♦8, ♠8, ♣4 | pair
♣J, ♠A, ♦8, ♠8, ♦5 | pair
♣J, ♠A, ♦8, ♠8, ♣8 | three of a kind
♣J, ♠A, ♦8, ♥J, ♥Q | pair
♣J, ♠A, ♦8, ♥J, ♦2 | pair
♣J, ♠A, ♦8, ♥J, ♥3 | pair
♣J, ♠A, ♦8, ♥J, ♥3 | pair
♣J, ♠A, ♦8, ♥J, ♣4 | pair
♣J, ♠A, ♦8, ♥J, ♦5 | pair
♣J, ♠A, ♦8, ♥J, ♣8 | two pairs
♣J, ♠A, ♦8, ♥Q, ♣8 | pair
♣J, ♠A, ♦8, ♦2, ♣8 | pair
♣J, ♠A, ♦8, ♥3, ♥3 | pair
♣J, ♠A, ♦8, ♥3, ♣8 | pair
♣J, ♠A, ♦8, ♥3, ♣8 | pair
♣J, ♠A, ♦8, ♣4, ♣8 | pair
♣J, ♠A, ♦8, ♦5, ♣8 | pair
♣J, ♠A, ♣2, ♠8, ♥J | pair
♣J, ♠A, ♣2, ♠8, ♦2 | pair
♣J, ♠A, ♣2, ♠8, ♣8 | pair
♣J, ♠A, ♣2, ♥J, ♥Q | pair
♣J, ♠A, ♣2, ♥J, ♦2 | two pairs
♣J, ♠A, ♣2, ♥J, ♥3 | pair
♣J, ♠A, ♣2, ♥J, ♥3 | pair
♣J, ♠A, ♣2, ♥J, ♣4 | pair
♣J, ♠A, ♣2, ♥J, ♦5 | pair
♣J, ♠A, ♣2, ♥J, ♣8 | pair
♣J, ♠A, ♣2, ♥Q, ♦2 | pair
♣J, ♠A, ♣2, ♦2, ♥3 | pair
♣J, ♠A, ♣2, ♦2, ♥3 | pair
♣J, ♠A, ♣2, ♦2, ♣4 | pair
♣J, ♠A, ♣2, ♦2, ♦5 | pair
♣J, ♠A, ♣2, ♦2, ♣8 | pair
♣J, ♠A, ♣2, ♥3, ♥3 | pair
♣J, ♠A, ♠8, ♥J, ♥Q | pair
♣J, ♠A, ♠8, ♥J, ♦2 | pair
♣J, ♠A, ♠8, ♥J, ♥3 | pair
♣J, ♠A, ♠8, ♥J, ♥3 | pair
♣J, ♠A, ♠8, ♥J, ♣4 | pair
♣J, ♠A, ♠8, ♥J, ♦5 | pair
♣J, ♠A, ♠8, ♥J, ♣8 | two pairs
♣J, ♠A, ♠8, ♥Q, ♣8 | pair
♣J, ♠A, ♠8, ♦2, ♣8 | pair
♣J, ♠A, ♠8, ♥3, ♥3 | pair
♣J, ♠A, ♠8, ♥3, ♣8 | pair
♣J, ♠A, ♠8, ♥3, ♣8 | pair
♣J, ♠A, ♠8, ♣4, ♣8 | pair
♣J, ♠A, ♠8, ♦5, ♣8 | pair
♣J, ♠A, ♥J, ♥Q, ♦2 | pair
♣J, ♠A, ♥J, ♥Q, ♥3 | pair
♣J, ♠A, ♥J, ♥Q, ♥3 | pair
♣J, ♠A, ♥J, ♥Q, ♣4 | pair
♣J, ♠A, ♥J, ♥Q, ♦5 | pair
♣J, ♠A, ♥J, ♥Q, ♣8 | pair
♣J, ♠A, ♥J, ♦2, ♥3 | pair
♣J, ♠A, ♥J, ♦2, ♥3 | pair
♣J, ♠A, ♥J, ♦2, ♣4 | pair
♣J, ♠A, ♥J, ♦2, ♦5 | pair
♣J, ♠A, ♥J, ♦2, ♣8 | pair
♣J, ♠A, ♥J, ♥3, ♥3 | two pairs
♣J, ♠A, ♥J, ♥3, ♣4 | pair
♣J, ♠A, ♥J, ♥3, ♦5 | pair
♣J, ♠A, ♥J, ♥3, ♣8 | pair
♣J, ♠A, ♥J, ♥3, ♣4 | pair
♣J, ♠A, ♥J, ♥3, ♦5 | pair
♣J, ♠A, ♥J, ♥3, ♣8 | pair
♣J, ♠A, ♥J, ♣4, ♦5 | pair
♣J, ♠A, ♥J, ♣4, ♣8 | pair
♣J, ♠A, ♥J, ♦5, ♣8 | pair
♣J, ♠A, ♥Q, ♥3, ♥3 | pair
♣J, ♠A, ♦2, ♥3, ♥3 | pair
♣J, ♠A, ♥3, ♥3, ♣4 | pair
♣J, ♠A, ♥3, ♥3, ♦5 | pair
♣J, ♠A, ♥3, ♥3, ♣8 | pair
♣J, ♠10, ♦8, ♣2, ♠8 | pair
♣J, ♠10, ♦8, ♣2, ♥J | pair
♣J, ♠10, ♦8, ♣2, ♦2 | pair
♣J, ♠10, ♦8, ♣2, ♣8 | pair
♣J, ♠10, ♦8, ♠8, ♥J | two pairs
♣J, ♠10, ♦8, ♠8, ♥Q | pair
♣J, ♠10, ♦8, ♠8, ♦2 | pair
♣J, ♠10, ♦8, ♠8, ♥3 | pair
♣J, ♠10, ♦8, ♠8, ♥3 | pair
♣J, ♠10, ♦8, ♠8, ♣4 | pair
♣J, ♠10, ♦8, ♠8, ♦5 | pair
♣J, ♠10, ♦8, ♠8, ♣8 | three of a kind
♣J, ♠10, ♦8, ♥J, ♥Q | pair
♣J, ♠10, ♦8, ♥J, ♦2 | pair
♣J, ♠10, ♦8, ♥J, ♥3 | pair
♣J, ♠10, ♦8, ♥J, ♥3 | pair
♣J, ♠10, ♦8, ♥J, ♣4 | pair
♣J, ♠10, ♦8, ♥J, ♦5 | pair
♣J, ♠10, ♦8, ♥J, ♣8 | two pairs
♣J, ♠10, ♦8, ♥Q, ♣8 | pair
♣J, ♠10, ♦8, ♦2, ♣8 | pair
♣J, ♠10, ♦8, ♥3, ♥3 | pair
♣J, ♠10, ♦8, ♥3, ♣8 | pair
♣J, ♠10, ♦8, ♥3, ♣8 | pair
♣J, ♠10, ♦8, ♣4, ♣8 | pair
♣J, ♠10, ♦8, ♦5, ♣8 | pair
♣J, ♠10, ♣2, ♠8, ♥J | pair
♣J, ♠10, ♣2, ♠8, ♦2 | pair
♣J, ♠10, ♣2, ♠8, ♣8 | pair
♣J, ♠10, ♣2, ♥J, ♥Q | pair
♣J, ♠10, ♣2, ♥J, ♦2 | two pairs
♣J, ♠10, ♣2, ♥J, ♥3 | pair
♣J, ♠10, ♣2, ♥J, ♥3 | pair
♣J, ♠10, ♣2, ♥J, ♣4 | pair
♣J, ♠10, ♣2, ♥J, ♦5 | pair
♣J, ♠10, ♣2, ♥J, ♣8 | pair
♣J, ♠10, ♣2, ♥Q, ♦2 | pair
♣J, ♠10, ♣2, ♦2, ♥3 | pair
♣J, ♠10, ♣2, ♦2, ♥3 | pair
♣J, ♠10, ♣2, ♦2, ♣4 | pair
♣J, ♠10, ♣2, ♦2, ♦5 | pair
♣J, ♠10, ♣2, ♦2, ♣8 | pair
♣J, ♠10, ♣2, ♥3, ♥3 | pair
♣J, ♠10, ♠8, ♥J, ♥Q | pair
♣J, ♠10, ♠8, ♥J, ♦2 | pair
♣J, ♠10, ♠8, ♥J, ♥3 | pair
♣J, ♠10, ♠8, ♥J, ♥3 | pair
♣J, ♠10, ♠8, ♥J, ♣4 | pair
♣J, ♠10, ♠8, ♥J, ♦5 | pair
♣J, ♠10, ♠8, ♥J, ♣8 | two pairs
♣J, ♠10, ♠8, ♥Q, ♣8 | pair
♣J, ♠10, ♠8, ♦2, ♣8 | pair
♣J, ♠10, ♠8, ♥3, ♥3 | pair
♣J, ♠10, ♠8, ♥3, ♣8 | pair
♣J, ♠10, ♠8, ♥3, ♣8 | pair
♣J, ♠10, ♠8, ♣4, ♣8 | pair
♣J, ♠10, ♠8, ♦5, ♣8 | pair
♣J, ♠10, ♥J, ♥Q, ♦2 | pair
♣J, ♠10, ♥J, ♥Q, ♥3 | pair
♣J, ♠10, ♥J, ♥Q, ♥3 | pair
♣J, ♠10, ♥J, ♥Q, ♣4 | pair
♣J, ♠10, ♥J, ♥Q, ♦5 | pair
♣J, ♠10, ♥J, ♥Q, ♣8 | pair
♣J, ♠10, ♥J, ♦2, ♥3 | pair
♣J, ♠10, ♥J, ♦2, ♥3 | pair
♣J, ♠10, ♥J, ♦2, ♣4 | pair
♣J, ♠10, ♥J, ♦2, ♦5 | pair
♣J, ♠10, ♥J, ♦2, ♣8 | pair
♣J, ♠10, ♥J, ♥3, ♥3 | two pairs
♣J, ♠10, ♥J, ♥3, ♣4 | pair
♣J, ♠10, ♥J, ♥3, ♦5 | pair
♣J, ♠10, ♥J, ♥3, ♣8 | pair
♣J, ♠10, ♥J, ♥3, ♣4 | pair
♣J, ♠10, ♥J, ♥3, ♦5 | pair
♣J, ♠10, ♥J, ♥3, ♣8 | pair
♣J, ♠10, ♥J, ♣4, ♦5 | pair
♣J, ♠10, ♥J, ♣4, ♣8 | pair
♣J, ♠10, ♥J, ♦5, ♣8 | pair
♣J, ♠10, ♥Q, ♥3, ♥3 | pair
♣J, ♠10, ♦2, ♥3, ♥3 | pair
♣J, ♠10, ♥3, ♥3, ♣4 | pair
♣J, ♠10, ♥3, ♥3, ♦5 | pair
♣J, ♠10, ♥3, ♥3, ♣8 | pair
♣J, ♦8, ♣2, ♠8, ♥J | two pairs
♣J, ♦8, ♣2, ♠8, ♥Q | pair
♣J, ♦8, ♣2, ♠8, ♦2 | two pairs
♣J, ♦8, ♣2, ♠8, ♥3 | pair
♣J, ♦8, ♣2, ♠8, ♥3 | pair
♣J, ♦8, ♣2, ♠8, ♣4 | pair
♣J, ♦8, ♣2, ♠8, ♦5 | pair
♣J, ♦8, ♣2, ♠8, ♣8 | three of a kind
♣J, ♦8, ♣2, ♥J, ♥Q | pair
♣J, ♦8, ♣2, ♥J, ♦2 | two pairs
♣J, ♦8, ♣2, ♥J, ♥3 | pair
♣J, ♦8, ♣2, ♥J, ♥3 | pair
♣J, ♦8, ♣2, ♥J, ♣4 | pair
♣J, ♦8, ♣2, ♥J, ♦5 | pair
♣J, ♦8, ♣2, ♥J, ♣8 | two pairs
♣J, ♦8, ♣2, ♥Q, ♦2 | pair
♣J, ♦8, ♣2, ♥Q, ♣8 | pair
♣J, ♦8, ♣2, ♦2, ♥3 | pair
