♥10, ♣3, ♦4, ♥9, ♦10 | pair
♥10, ♥9, ♣9, ♣2, ♣8 | pair
♥10, ♥9, ♣9, ♣2, ♣K | pair
♥10, ♥9, ♣9, ♣2, ♣Q | pair
♥10, ♥9, ♣9, ♣8, ♣K | pair
♥10, ♥9, ♣9, ♣8, ♣Q | pair
♥10, ♥9, ♣9, ♣K, ♣Q | pair
♥10, ♥9, ♠9, ♣2, ♣8 | pair
♥10, ♥9, ♠9, ♣2, ♣K | pair
♥10, ♥9, ♠9, ♣2, ♣Q | pair
♥10, ♥9, ♠9, ♣8, ♣K | pair
♥10, ♥9, ♠9, ♣8, ♣Q | pair
♥10, ♥9, ♠9, ♣K, ♣Q | pair
♥10, ♦10, ♣9, ♠9, ♣2 | two pairs
♥10, ♦10, ♣9, ♠9, ♣8 | two pairs
♥10, ♦10, ♣9, ♠9, ♣K | two pairs
♥10, ♦10, ♣9, ♠9, ♣Q | two pairs
♥10, ♦10, ♣9, ♣2, ♣8 | pair
♥10, ♦10, ♣9, ♣2, ♣K | pair
♥10, ♦10, ♣9, ♣2, ♣Q | pair
♥10, ♦10, ♣9, ♣8, ♣K | pair
♥10, ♦10, ♣9, ♣8, ♣Q | pair
♥10, ♦10, ♣9, ♣K, ♣Q | pair
♥10, ♦10, ♠9, ♣2, ♣8 | pair
♥10, ♦10, ♠9, ♣2, ♣K | pair
♥10, ♦10, ♠9, ♣2, ♣Q | pair
♥10, ♦10, ♠9, ♣8, ♣K | pair
♥10, ♦10, ♠9, ♣8, ♣Q | pair
♥10, ♦10, ♠9, ♣K, ♣Q | pair
♥10, ♦10, ♣2, ♣8, ♣K | pair
♥10, ♦10, ♣2, ♣8, ♣Q | pair
♥10, ♦10, ♣2, ♣K, ♣Q | pair
♥10, ♦10, ♣8, ♣K, ♣Q | pair
♥10, ♣9, ♠9, ♣2, ♣8 | pair
♥10, ♣9, ♠9, ♣2, ♣K | pair
♥10, ♣9, ♠9, ♣2, ♣Q | pair
♥10, ♣9, ♠9, ♣8, ♣K | pair
♥10, ♣9, ♠9, ♣8, ♣Q | pair
♥10, ♣9, ♠9, ♣K, ♣Q | pair
♣3, ♦4, ♥9, ♦10, ♣9 | pair
♣3, ♦4, ♥9, ♦10, ♠9 | pair
♣3, ♦4, ♥9, ♣9, ♠9 | three of a kind
♣3, ♦4, ♥9, ♣9, ♣2 | pair
♣3, ♦4, ♥9, ♣9, ♣8 | pair
♣3, ♦4, ♥9, ♣9, ♣K | pair
♣3, ♦4, ♥9, ♣9, ♣Q | pair
♣3, ♦4, ♥9, ♠9, ♣2 | pair
♣3, ♦4, ♥9, ♠9, ♣8 | pair
♣3, ♦4, ♥9, ♠9, ♣K | pair
♣3, ♦4, ♥9, ♠9, ♣Q | pair
♣3, ♦4, ♦10, ♣9, ♠9 | pair
♣3, ♦4, ♣9, ♠9, ♣2 | pair
♣3, ♦4, ♣9, ♠9, ♣8 | pair
♣3, ♦4, ♣9, ♠9, ♣K | pair
♣3, ♦4, ♣9, ♠9, ♣Q | pair
♣3, ♥9, ♦10, ♣9, ♠9 | three of a kind
♣3, ♥9, ♦10, ♣9, ♣2 | pair
♣3, ♥9, ♦10, ♣9, ♣8 | pair
♣3, ♥9, ♦10, ♣9, ♣K | pair
♣3, ♥9, ♦10, ♣9, ♣Q | pair
♣3, ♥9, ♦10, ♠9, ♣2 | pair
♣3, ♥9, ♦10, ♠9, ♣8 | pair
♣3, ♥9, ♦10, ♠9, ♣K | pair
♣3, ♥9, ♦10, ♠9, ♣Q | pair
♣3, ♥9, ♣9, ♠9, ♣2 | three of a kind
♣3, ♥9, ♣9, ♠9, ♣8 | three of a kind
♣3, ♥9, ♣9, ♠9, ♣K | three of a kind
♣3, ♥9, ♣9, ♠9, ♣Q | three of a kind
♣3, ♥9, ♣9, ♣2, ♣8 | pair
♣3, ♥9, ♣9, ♣2, ♣K | pair
♣3, ♥9, ♣9, ♣2, ♣Q | pair
♣3, ♥9, ♣9, ♣8, ♣K | pair
♣3, ♥9, ♣9, ♣8, ♣Q | pair
♣3, ♥9, ♣9, ♣K, ♣Q | pair
♣3, ♥9, ♠9, ♣2, ♣8 | pair
♣3, ♥9, ♠9, ♣2, ♣K | pair
♣3, ♥9, ♠9, ♣2, ♣Q | pair
♣3, ♥9, ♠9, ♣8, ♣K | pair
♣3, ♥9, ♠9, ♣8, ♣Q | pair
♣3, ♥9, ♠9, ♣K, ♣Q | pair
♣3, ♦10, ♣9, ♠9, ♣2 | pair
♣3, ♦10, ♣9, ♠9, ♣8 | pair
♣3, ♦10, ♣9, ♠9, ♣K | pair
♣3, ♦10, ♣9, ♠9, ♣Q | pair
♣3, ♣9, ♠9, ♣2, ♣8 | pair
♣3, ♣9, ♠9, ♣2, ♣K | pair
♣3, ♣9, ♠9, ♣2, ♣Q | pair
♣3, ♣9, ♠9, ♣8, ♣K | pair
♣3, ♣9, ♠9, ♣8, ♣Q | pair
♣3, ♣9, ♠9, ♣K, ♣Q | pair
♣3, ♣9, ♣2, ♣8, ♣K | flush
♣3, ♣9, ♣2, ♣8, ♣Q | flush
♣3, ♣9, ♣2, ♣K, ♣Q | flush
♣3, ♣9, ♣8, ♣K, ♣Q | flush
♣3, ♣2, ♣8, ♣K, ♣Q | flush
♦4, ♥9, ♦10, ♣9, ♠9 | three of a kind
♦4, ♥9, ♦10, ♣9, ♣2 | pair
♦4, ♥9, ♦10, ♣9, ♣8 | pair
♦4, ♥9, ♦10, ♣9, ♣K | pair
♦4, ♥9, ♦10, ♣9, ♣Q | pair
♦4, ♥9, ♦10, ♠9, ♣2 | pair
♦4, ♥9, ♦10, ♠9, ♣8 | pair
♦4, ♥9, ♦10, ♠9, ♣K | pair
♦4, ♥9, ♦10, ♠9, ♣Q | pair
♦4, ♥9, ♣9, ♠9, ♣2 | three of a kind
♦4, ♥9, ♣9, ♠9, ♣8 | three of a kind
♦4, ♥9, ♣9, ♠9, ♣K | three of a kind
♦4, ♥9, ♣9, ♠9, ♣Q | three of a kind
♦4, ♥9, ♣9, ♣2, ♣8 | pair
♦4, ♥9, ♣9, ♣2, ♣K | pair
♦4, ♥9, ♣9, ♣2, ♣Q | pair
♦4, ♥9, ♣9, ♣8, ♣K | pair
♦4, ♥9, ♣9, ♣8, ♣Q | pair
♦4, ♥9, ♣9, ♣K, ♣Q | pair
♦4, ♥9, ♠9, ♣2, ♣8 | pair
♦4, ♥9, ♠9, ♣2, ♣K | pair
♦4, ♥9, ♠9, ♣2, ♣Q | pair
♦4, ♥9, ♠9, ♣8, ♣K | pair
♦4, ♥9, ♠9, ♣8, ♣Q | pair
♦4, ♥9, ♠9, ♣K, ♣Q | pair
♦4, ♦10, ♣9, ♠9, ♣2 | pair
♦4, ♦10, ♣9, ♠9, ♣8 | pair
♦4, ♦10, ♣9, ♠9, ♣K | pair
♦4, ♦10, ♣9, ♠9, ♣Q | pair
♦4, ♣9, ♠9, ♣2, ♣8 | pair
♦4, ♣9, ♠9, ♣2, ♣K | pair
♦4, ♣9, ♠9, ♣2, ♣Q | pair
♦4, ♣9, ♠9, ♣8, ♣K | pair
♦4, ♣9, ♠9, ♣8, ♣Q | pair
♦4, ♣9, ♠9, ♣K, ♣Q | pair
♥9, ♦10, ♣9, ♠9, ♣2 | three of a kind
♥9, ♦10, ♣9, ♠9, ♣8 | three of a kind
♥9, ♦10, ♣9, ♠9, ♣K | three of a kind
♥9, ♦10, ♣9, ♠9, ♣Q | three of a kind
♥9, ♦10, ♣9, ♣2, ♣8 | pair
♥9, ♦10, ♣9, ♣2, ♣K | pair
♥9, ♦10, ♣9, ♣2, ♣Q | pair
♥9, ♦10, ♣9, ♣8, ♣K | pair
♥9, ♦10, ♣9, ♣8, ♣Q | pair
♥9, ♦10, ♣9, ♣K, ♣Q | pair
♥9, ♦10, ♠9, ♣2, ♣8 | pair
♥9, ♦10, ♠9, ♣2, ♣K | pair
♥9, ♦10, ♠9, ♣2, ♣Q | pair
♥9, ♦10, ♠9, ♣8, ♣K | pair
♥9, ♦10, ♠9, ♣8, ♣Q | pair
♥9, ♦10, ♠9, ♣K, ♣Q | pair
♥9, ♣9, ♠9, ♣2, ♣8 | three of a kind
♥9, ♣9, ♠9, ♣2, ♣K | three of a kind
♥9, ♣9, ♠9, ♣2, ♣Q | three of a kind
♥9, ♣9, ♠9, ♣8, ♣K | three of a kind
♥9, ♣9, ♠9, ♣8, ♣Q | three of a kind
♥9, ♣9, ♠9, ♣K, ♣Q | three of a kind
♥9, ♣9, ♣2, ♣8, ♣K | pair
♥9, ♣9, ♣2, ♣8, ♣Q | pair
♥9, ♣9, ♣2, ♣K, ♣Q | pair
♥9, ♣9, ♣8, ♣K, ♣Q | pair
♥9, ♠9, ♣2, ♣8, ♣K | pair
♥9, ♠9, ♣2, ♣8, ♣Q | pair
♥9, ♠9, ♣2, ♣K, ♣Q | pair
♥9, ♠9, ♣8, ♣K, ♣Q | pair
♦10, ♣9, ♠9, ♣2, ♣8 | pair
♦10, ♣9, ♠9, ♣2, ♣K | pair
♦10, ♣9, ♠9, ♣2, ♣Q | pair
♦10, ♣9, ♠9, ♣8, ♣K | pair
♦10, ♣9, ♠9, ♣8, ♣Q | pair
♦10, ♣9, ♠9, ♣K, ♣Q | pair
♣9, ♠9, ♣2, ♣8, ♣K | pair
♣9, ♠9, ♣2, ♣8, ♣Q | pair
♣9, ♠9, ♣2, ♣K, ♣Q | pair
♣9, ♠9, ♣8, ♣K, ♣Q | pair
♣9, ♣2, ♣8, ♣K, ♣Q | flush
