♠8, ♣4, ♥9, ♣J, ♠J | pair
♠8, ♣J, ♠3, ♠5, ♠J | pair
♠8, ♣J, ♠3, ♣3, ♠J | two pairs
♠8, ♣J, ♠3, ♣3, ♣10 | pair
♠8, ♣J, ♠3, ♠J, ♣10 | pair
♠8, ♣J, ♦10, ♣6, ♦6 | pair
♠8, ♣J, ♦10, ♣6, ♠J | pair
♠8, ♣J, ♦10, ♣6, ♣10 | pair
♠8, ♣J, ♦10, ♠Q, ♠J | pair
♠8, ♣J, ♦10, ♠Q, ♣10 | pair
♠8, ♣J, ♦10, ♦6, ♠J | pair
♠8, ♣J, ♦10, ♦6, ♣10 | pair
♠8, ♣J, ♦10, ♠5, ♠J | pair
♠8, ♣J, ♦10, ♠5, ♣10 | pair
♠8, ♣J, ♦10, ♣3, ♠J | pair
♠8, ♣J, ♦10, ♣3, ♣10 | pair
♠8, ♣J, ♦10, ♠J, ♣10 | two pairs
♠8, ♣J, ♣6, ♠Q, ♦6 | pair
♠8, ♣J, ♣6, ♠Q, ♠J | pair
♠8, ♣J, ♣6, ♦6, ♠5 | pair
♠8, ♣J, ♣6, ♦6, ♣3 | pair
♠8, ♣J, ♣6, ♦6, ♠J | two pairs
♠8, ♣J, ♣6, ♦6, ♣10 | pair
♠8, ♣J, ♣6, ♠5, ♠J | pair
♠8, ♣J, ♣6, ♣3, ♠J | pair
♠8, ♣J, ♣6, ♠J, ♣10 | pair
♠8, ♣J, ♠Q, ♦6, ♠J | pair
♠8, ♣J, ♠Q, ♠5, ♠J | pair
♠8, ♣J, ♠Q, ♣3, ♠J | pair
♠8, ♣J, ♠Q, ♠J, ♣10 | pair
♠8, ♣J, ♦6, ♠5, ♠J | pair
♠8, ♣J, ♦6, ♣3, ♠J | pair
♠8, ♣J, ♦6, ♠J, ♣10 | pair
♠8, ♣J, ♠5, ♣3, ♠J | pair
♠8, ♣J, ♠5, ♠J, ♣10 | pair
♠8, ♣J, ♣3, ♠J, ♣10 | pair
♠8, ♠3, ♦10, ♣6, ♦6 | pair
♠8, ♠3, ♦10, ♣6, ♣3 | pair
♠8, ♠3, ♦10, ♣6, ♣10 | pair
♠8, ♠3, ♦10, ♠Q, ♣3 | pair
♠8, ♠3, ♦10, ♠Q, ♣10 | pair
♠8, ♠3, ♦10, ♦6, ♣3 | pair
♠8, ♠3, ♦10, ♦6, ♣10 | pair
♠8, ♠3, ♦10, ♠5, ♣3 | pair
♠8, ♠3, ♦10, ♠5, ♣10 | pair
♠8, ♠3, ♦10, ♣3, ♠J | pair
♠8, ♠3, ♦10, ♣3, ♣10 | two pairs
♠8, ♠3, ♦10, ♠J, ♣10 | pair
♠8, ♠3, ♣6, ♠Q, ♦6 | pair
♠8, ♠3, ♣6, ♠Q, ♣3 | pair
♠8, ♠3, ♣6, ♦6, ♠5 | pair
♠8, ♠3, ♣6, ♦6, ♣3 | two pairs
♠8, ♠3, ♣6, ♦6, ♠J | pair
♠8, ♠3, ♣6, ♦6, ♣10 | pair
♠8, ♠3, ♣6, ♠5, ♣3 | pair
♠8, ♠3, ♣6, ♣3, ♠J | pair
♠8, ♠3, ♣6, ♣3, ♣10 | pair
♠8, ♠3, ♠Q, ♦6, ♣3 | pair
♠8, ♠3, ♠Q, ♠5, ♣3 | pair
♠8, ♠3, ♠Q, ♠5, ♠J | flush
♠8, ♠3, ♠Q, ♣3, ♠J | pair
♠8, ♠3, ♠Q, ♣3, ♣10 | pair
♠8, ♠3, ♦6, ♠5, ♣3 | pair
♠8, ♠3, ♦6, ♣3, ♠J | pair
♠8, ♠3, ♦6, ♣3, ♣10 | pair
♠8, ♠3, ♠5, ♣3, ♠J | pair
♠8, ♠3, ♠5, ♣3, ♣10 | pair
♠8, ♠3, ♣3, ♠J, ♣10 | pair
♠8, ♦10, ♣6, ♠Q, ♦6 | pair
♠8, ♦10, ♣6, ♠Q, ♣10 | pair
♠8, ♦10, ♣6, ♦6, ♠5 | pair
♠8, ♦10, ♣6, ♦6, ♣3 | pair
♠8, ♦10, ♣6, ♦6, ♠J | pair
♠8, ♦10, ♣6, ♦6, ♣10 | two pairs
♠8, ♦10, ♣6, ♠5, ♣10 | pair
♠8, ♦10, ♣6, ♣3, ♣10 | pair
♠8, ♦10, ♣6, ♠J, ♣10 | pair
♠8, ♦10, ♠Q, ♦6, ♣10 | pair
♠8, ♦10, ♠Q, ♠5, ♣10 | pair
♠8, ♦10, ♠Q, ♣3, ♣10 | pair
♠8, ♦10, ♠Q, ♠J, ♣10 | pair
♠8, ♦10, ♦6, ♠5, ♣10 | pair
♠8, ♦10, ♦6, ♣3, ♣10 | pair
♠8, ♦10, ♦6, ♠J, ♣10 | pair
♠8, ♦10, ♠5, ♣3, ♣10 | pair
♠8, ♦10, ♠5, ♠J, ♣10 | pair
♠8, ♦10, ♣3, ♠J, ♣10 | pair
♠8, ♣6, ♠Q, ♦6, ♠5 | pair
♠8, ♣6, ♠Q, ♦6, ♣3 | pair
♠8, ♣6, ♠Q, ♦6, ♠J | pair
♠8, ♣6, ♠Q, ♦6, ♣10 | pair
♠8, ♣6, ♦6, ♠5, ♣3 | pair
♠8, ♣6, ♦6, ♠5, ♠J | pair
♠8, ♣6, ♦6, ♠5, ♣10 | pair
♠8, ♣6, ♦6, ♣3, ♠J | pair
♠8, ♣6, ♦6, ♣3, ♣10 | pair
♠8, ♣6, ♦6, ♠J, ♣10 | pair
♣4, ♥9, ♣J, ♠3, ♣3 | pair
♣4, ♥9, ♣J, ♠3, ♠J | pair
♣4, ♥9, ♣J, ♦10, ♠J | pair
♣4, ♥9, ♣J, ♦10, ♣10 | pair
♣4, ♥9, ♣J, ♣6, ♦6 | pair
♣4, ♥9, ♣J, ♣6, ♠J | pair
♣4, ♥9, ♣J, ♠Q, ♠J | pair
♣4, ♥9, ♣J, ♦6, ♠J | pair
♣4, ♥9, ♣J, ♠5, ♠J | pair
♣4, ♥9, ♣J, ♣3, ♠J | pair
♣4, ♥9, ♣J, ♠J, ♣10 | pair
♣4, ♥9, ♠3, ♦10, ♣3 | pair
♣4, ♥9, ♠3, ♦10, ♣10 | pair
♣4, ♥9, ♠3, ♣6, ♦6 | pair
♣4, ♥9, ♠3, ♣6, ♣3 | pair
♣4, ♥9, ♠3, ♠Q, ♣3 | pair
♣4, ♥9, ♠3, ♦6, ♣3 | pair
♣4, ♥9, ♠3, ♠5, ♣3 | pair
♣4, ♥9, ♠3, ♣3, ♠J | pair
♣4, ♥9, ♠3, ♣3, ♣10 | pair
♣4, ♥9, ♦10, ♣6, ♦6 | pair
♣4, ♥9, ♦10, ♣6, ♣10 | pair
♣4, ♥9, ♦10, ♠Q, ♣10 | pair
♣4, ♥9, ♦10, ♦6, ♣10 | pair
♣4, ♥9, ♦10, ♠5, ♣10 | pair
♣4, ♥9, ♦10, ♣3, ♣10 | pair
♣4, ♥9, ♦10, ♠J, ♣10 | pair
♣4, ♥9, ♣6, ♠Q, ♦6 | pair
♣4, ♥9, ♣6, ♦6, ♠5 | pair
♣4, ♥9, ♣6, ♦6, ♣3 | pair
♣4, ♥9, ♣6, ♦6, ♠J | pair
♣4, ♥9, ♣6, ♦6, ♣10 | pair
♣4, ♣J, ♠3, ♦10, ♣3 | pair
♣4, ♣J, ♠3, ♦10, ♠J | pair
♣4, ♣J, ♠3, ♦10, ♣10 | pair
♣4, ♣J, ♠3, ♣6, ♦6 | pair
♣4, ♣J, ♠3, ♣6, ♣3 | pair
♣4, ♣J, ♠3, ♣6, ♠J | pair
♣4, ♣J, ♠3, ♠Q, ♣3 | pair
♣4, ♣J, ♠3, ♠Q, ♠J | pair
♣4, ♣J, ♠3, ♦6, ♣3 | pair
♣4, ♣J, ♠3, ♦6, ♠J | pair
♣4, ♣J, ♠3, ♠5, ♣3 | pair
♣4, ♣J, ♠3, ♠5, ♠J | pair
♣4, ♣J, ♠3, ♣3, ♠J | two pairs
♣4, ♣J, ♠3, ♣3, ♣10 | pair
♣4, ♣J, ♠3, ♠J, ♣10 | pair
♣4, ♣J, ♦10, ♣6, ♦6 | pair
♣4, ♣J, ♦10, ♣6, ♠J | pair
♣4, ♣J, ♦10, ♣6, ♣10 | pair
♣4, ♣J, ♦10, ♠Q, ♠J | pair
♣4, ♣J, ♦10, ♠Q, ♣10 | pair
♣4, ♣J, ♦10, ♦6, ♠J | pair
♣4, ♣J, ♦10, ♦6, ♣10 | pair
♣4, ♣J, ♦10, ♠5, ♠J | pair
♣4, ♣J, ♦10, ♠5, ♣10 | pair
♣4, ♣J, ♦10, ♣3, ♠J | pair
♣4, ♣J, ♦10, ♣3, ♣10 | pair
♣4, ♣J, ♦10, ♠J, ♣10 | two pairs
♣4, ♣J, ♣6, ♠Q, ♦6 | pair
♣4, ♣J, ♣6, ♠Q, ♠J | pair
♣4, ♣J, ♣6, ♦6, ♠5 | pair
♣4, ♣J, ♣6, ♦6, ♣3 | pair
♣4, ♣J, ♣6, ♦6, ♠J | two pairs
♣4, ♣J, ♣6, ♦6, ♣10 | pair
♣4, ♣J, ♣6, ♠5, ♠J | pair
♣4, ♣J, ♣6, ♣3, ♠J | pair
♣4, ♣J, ♣6, ♣3, ♣10 | flush
♣4, ♣J, ♣6, ♠J, ♣10 | pair
♣4, ♣J, ♠Q, ♦6, ♠J | pair
♣4, ♣J, ♠Q, ♠5, ♠J | pair
♣4, ♣J, ♠Q, ♣3, ♠J | pair
♣4, ♣J, ♠Q, ♠J, ♣10 | pair
♣4, ♣J, ♦6, ♠5, ♠J | pair
♣4, ♣J, ♦6, ♣3, ♠J | pair
♣4, ♣J, ♦6, ♠J, ♣10 | pair
♣4, ♣J, ♠5, ♣3, ♠J | pair
♣4, ♣J, ♠5, ♠J, ♣10 | pair
♣4, ♣J, ♣3, ♠J, ♣10 | pair
♣4, ♠3, ♦10, ♣6, ♦6 | pair
♣4, ♠3, ♦10, ♣6, ♣3 | pair
♣4, ♠3, ♦10, ♣6, ♣10 | pair
♣4, ♠3, ♦10, ♠Q, ♣3 | pair
♣4, ♠3, ♦10, ♠Q, ♣10 | pair
♣4, ♠3, ♦10, ♦6, ♣3 | pair
♣4, ♠3, ♦10, ♦6, ♣10 | pair
♣4, ♠3, ♦10, ♠5, ♣3 | pair
♣4, ♠3, ♦10, ♠5, ♣10 | pair
♣4, ♠3, ♦10, ♣3, ♠J | pair
♣4, ♠3, ♦10, ♣3, ♣10 | two pairs
♣4, ♠3, ♦10, ♠J, ♣10 | pair
♣4, ♠3, ♣6, ♠Q, ♦6 | pair
♣4, ♠3, ♣6, ♠Q, ♣3 | pair
♣4, ♠3, ♣6, ♦6, ♠5 | pair
♣4, ♠3, ♣6, ♦6, ♣3 | two pairs
♣4, ♠3, ♣6, ♦6, ♠J | pair
♣4, ♠3, ♣6, ♦6, ♣10 | pair
♣4, ♠3, ♣6, ♠5, ♣3 | pair
♣4, ♠3, ♣6, ♣3, ♠J | pair
♣4, ♠3, ♣6, ♣3, ♣10 | pair
♣4, ♠3, ♠Q, ♦6, ♣3 | pair
♣4, ♠3, ♠Q, ♠5, ♣3 | pair
♣4, ♠3, ♠Q, ♣3, ♠J | pair
♣4, ♠3, ♠Q, ♣3, ♣10 | pair
♣4, ♠3, ♦6, ♠5, ♣3 | pair
♣4, ♠3, ♦6, ♣3, ♠J | pair
♣4, ♠3, ♦6, ♣3, ♣10 | pair
♣4, ♠3, ♠5, ♣3, ♠J | pair
♣4, ♠3, ♠5, ♣3, ♣10 | pair
♣4, ♠3, ♣3, ♠J, ♣10 | pair
♣4, ♦10, ♣6, ♠Q, ♦6 | pair
♣4, ♦10, ♣6, ♠Q, ♣10 | pair
♣4, ♦10, ♣6, ♦6, ♠5 | pair
♣4, ♦10, ♣6, ♦6, ♣3 | pair
♣4, ♦10, ♣6, ♦6, ♠J | pair
♣4, ♦10, ♣6, ♦6, ♣10 | two pairs
♣4, ♦10, ♣6, ♠5, ♣10 | pair
♣4, ♦10, ♣6, ♣3, ♣10 | pair
♣4, ♦10, ♣6, ♠J, ♣10 | pair
♣4, ♦10, ♠Q, ♦6, ♣10 | pair
♣4, ♦10, ♠Q, ♠5, ♣10 | pair
♣4, ♦10, ♠Q, ♣3, ♣10 | pair
♣4, ♦10, ♠Q, ♠J, ♣10 | pair
♣4, ♦10, ♦6, ♠5, ♣10 | pair
♣4, ♦10, ♦6, ♣3, ♣10 | pair
♣4, ♦10, ♦6, ♠J, ♣10 | pair
♣4, ♦10, ♠5, ♣3, ♣10 | pair
♣4, ♦10, ♠5, ♠J, ♣10 | pair
♣4, ♦10, ♣3, ♠J, ♣10 | pair
♣4, ♣6, ♠Q, ♦6, ♠5 | pair
♣4, ♣6, ♠Q, ♦6, ♣3 | pair
♣4, ♣6, ♠Q, ♦6, ♠J | pair
♣4, ♣6, ♠Q, ♦6, ♣10 | pair
♣4, ♣6, ♦6, ♠5, ♣3 | pair
♣4, ♣6, ♦6, ♠5, ♠J | pair
♣4, ♣6, ♦6, ♠5, ♣10 | pair
♣4, ♣6, ♦6, ♣3, ♠J | pair
♣4, ♣6, ♦6, ♣3, ♣10 | pair
♣4, ♣6, ♦6, ♠J, ♣10 | pair
♥9, ♣J, ♠3, ♦10, ♣3 | pair
♥9, ♣J, ♠3, ♦10, ♠J | pair
♥9, ♣J, ♠3, ♦10, ♣10 | pair
♥9, ♣J, ♠3, ♣6, ♦6 | pair
♥9, ♣J, ♠3, ♣6, ♣3 | pair
♥9, ♣J, ♠3, ♣6, ♠J | pair
♥9, ♣J, ♠3, ♠Q, ♣3 | pair
♥9, ♣J, ♠3, ♠Q, ♠J | pair
♥9, ♣J, ♠3, ♦6, ♣3 | pair
♥9, ♣J, ♠3, ♦6, ♠J | pair
♥9, ♣J, ♠3, ♠5, ♣3 | pair
♥9, ♣J, ♠3, ♠5, ♠J | pair
♥9, ♣J, ♠3, ♣3, ♠J | two pairs
♥9, ♣J, ♠3, ♣3, ♣10 | pair
♥9, ♣J, ♠3, ♠J, ♣10 | pair
♥9, ♣J, ♦10, ♣6, ♦6 | pair
♥9, ♣J, ♦10, ♣6, ♠J | pair
♥9, ♣J, ♦10, ♣6, ♣10 | pair
♥9, ♣J, ♦10, ♠Q, ♠J | pair
♥9, ♣J, ♦10, ♠Q, ♣10 | pair
♥9, ♣J, ♦10, ♦6, ♠J | pair
♥9, ♣J, ♦10, ♦6, ♣10 | pair
♥9, ♣J, ♦10, ♠5, ♠J | pair
♥9, ♣J, ♦10, ♠5, ♣10 | pair
♥9, ♣J, ♦10, ♣3, ♠J | pair
♥9, ♣J, ♦10, ♣3, ♣10 | pair
♥9, ♣J, ♦10, ♠J, ♣10 | two pairs
♥9, ♣J, ♣6, ♠Q, ♦6 | pair
♥9, ♣J, ♣6, ♠Q, ♠J | pair
♥9, ♣J, ♣6, ♦6, ♠5 | pair
♥9, ♣J, ♣6, ♦6, ♣3 | pair
♥9, ♣J, ♣6, ♦6, ♠J | two pairs
♥9, ♣J, ♣6, ♦6, ♣10 | pair
♥9, ♣J, ♣6, ♠5, ♠J | pair
♥9, ♣J, ♣6, ♣3, ♠J | pair
♥9, ♣J, ♣6, ♠J, ♣10 | pair
♥9, ♣J, ♠Q, ♦6, ♠J | pair
♥9, ♣J, ♠Q, ♠5, ♠J | pair
♥9, ♣J, ♠Q, ♣3, ♠J | pair
♥9, ♣J, ♠Q, ♠J, ♣10 | pair
♥9, ♣J, ♦6, ♠5, ♠J | pair
♥9, ♣J, ♦6, ♣3, ♠J | pair
♥9, ♣J, ♦6, ♠J, ♣10 | pair
♥9, ♣J, ♠5, ♣3, ♠J | pair
♥9, ♣J, ♠5, ♠J, ♣10 | pair
♥9, ♣J, ♣3, ♠J, ♣10 | pair
♥9, ♠3, ♦10, ♣6, ♦6 | pair
♥9, ♠3, ♦10, ♣6, ♣3 | pair
♥9, ♠3, ♦10, ♣6, ♣10 | pair
♥9, ♠3, ♦10, ♠Q, ♣3 | pair
♥9, ♠3, ♦10, ♠Q, ♣10 | pair
♥9, ♠3, ♦10, ♦6, ♣3 | pair
♥9, ♠3, ♦10, ♦6, ♣10 | pair
♥9, ♠3, ♦10, ♠5, ♣3 | pair
♥9, ♠3, ♦10, ♠5, ♣10 | pair
♥9, ♠3, ♦10, ♣3, ♠J | pair
♥9, ♠3, ♦10, ♣3, ♣10 | two pairs
♥9, ♠3, ♦10, ♠J, ♣10 | pair
♥9, ♠3, ♣6, ♠Q, ♦6 | pair
♥9, ♠3, ♣6, ♠Q, ♣3 | pair
♥9, ♠3, ♣6, ♦6, ♠5 | pair
♥9, ♠3, ♣6, ♦6, ♣3 | two pairs
♥9, ♠3, ♣6, ♦6, ♠J | pair
♥9, ♠3, ♣6, ♦6, ♣10 | pair
♥9, ♠3, ♣6, ♠5, ♣3 | pair
♥9, ♠3, ♣6, ♣3, ♠J | pair
♥9, ♠3, ♣6, ♣3, ♣10 | pair
♥9, ♠3, ♠Q, ♦6, ♣3 | pair
♥9, ♠3, ♠Q, ♠5, ♣3 | pair
♥9, ♠3, ♠Q, ♣3, ♠J | pair
♥9, ♠3, ♠Q, ♣3, ♣10 | pair
♥9, ♠3, ♦6, ♠5, ♣3 | pair
♥9, ♠3, ♦6, ♣3, ♠J | pair
♥9, ♠3, ♦6, ♣3, ♣10 | pair
♥9, ♠3, ♠5, ♣3, ♠J | pair
♥9, ♠3, ♠5, ♣3, ♣10 | pair
♥9, ♠3, ♣3, ♠J, ♣10 | pair
♥9, ♦10, ♣6, ♠Q, ♦6 | pair
♥9, ♦10, ♣6, ♠Q, ♣10 | pair
♥9, ♦10, ♣6, ♦6, ♠5 | pair
♥9, ♦10, ♣6, ♦6, ♣3 | pair
♥9, ♦10, ♣6, ♦6, ♠J | pair
♥9, ♦10, ♣6, ♦6, ♣10 | two pairs
♥9, ♦10, ♣6, ♠5, ♣10 | pair
♥9, ♦10, ♣6, ♣3, ♣10 | pair
♥9, ♦10, ♣6, ♠J, ♣10 | pair
♥9, ♦10, ♠Q, ♦6, ♣10 | pair
♥9, ♦10, ♠Q, ♠5, ♣10 | pair
♥9, ♦10, ♠Q, ♣3, ♣10 | pair
♥9, ♦10, ♠Q, ♠J, ♣10 | pair
♥9, ♦10, ♦6, ♠5, ♣10 | pair
♥9, ♦10, ♦6, ♣3, ♣10 | pair
♥9, ♦10, ♦6, ♠J, ♣10 | pair
♥9, ♦10, ♠5, ♣3, ♣10 | pair
♥9, ♦10, ♠5, ♠J, ♣10 | pair
♥9, ♦10, ♣3, ♠J, ♣10 | pair
♥9, ♣6, ♠Q, ♦6, ♠5 | pair
♥9, ♣6, ♠Q, ♦6, ♣3 | pair
♥9, ♣6, ♠Q, ♦6, ♠J | pair
♥9, ♣6, ♠Q, ♦6, ♣10 | pair
♥9, ♣6, ♦6, ♠5, ♣3 | pair
♥9, ♣6, ♦6, ♠5, ♠J | pair
♥9, ♣6, ♦6, ♠5, ♣10 | pair
♥9, ♣6, ♦6, ♣3, ♠J | pair
♥9, ♣6, ♦6, ♣3, ♣10 | pair
♥9, ♣6, ♦6, ♠J, ♣10 | pair
♣J, ♠3, ♦10, ♣6, ♦6 | pair
♣J, ♠3, ♦10, ♣6, ♣3 | pair
♣J, ♠3, ♦10, ♣6, ♠J | pair
♣J, ♠3, ♦10, ♣6, ♣10 | pair
♣J, ♠3, ♦10, ♠Q, ♣3 | pair
♣J, ♠3, ♦10, ♠Q, ♠J | pair
♣J, ♠3, ♦10, ♠Q, ♣10 | pair
♣J, ♠3, ♦10, ♦6, ♣3 | pair
♣J, ♠3, ♦10, ♦6, ♠J | pair
♣J, ♠3, ♦10, ♦6, ♣10 | pair
♣J, ♠3, ♦10, ♠5, ♣3 | pair
♣J, ♠3, ♦10, ♠5, ♠J | pair
♣J, ♠3, ♦10, ♠5, ♣10 | pair
♣J, ♠3, ♦10, ♣3, ♠J | two pairs
♣J, ♠3, ♦10, ♣3, ♣10 | two pairs
♣J, ♠3, ♦10, ♠J, ♣10 | two pairs
♣J, ♠3, ♣6, ♠Q, ♦6 | pair
♣J, ♠3, ♣6, ♠Q, ♣3 | pair
♣J, ♠3, ♣6, ♠Q, ♠J | pair
♣J, ♠3, ♣6, ♦6, ♠5 | pair
♣J, ♠3, ♣6, ♦6, ♣3 | two pairs
♣J, ♠3, ♣6, ♦6, ♠J | two pairs
♣J, ♠3, ♣6, ♦6, ♣10 | pair
♣J, ♠3, ♣6, ♠5, ♣3 | pair
♣J, ♠3, ♣6, ♠5, ♠J | pair
♣J, ♠3, ♣6, ♣3, ♠J | two pairs
♣J, ♠3, ♣6, ♣3, ♣10 | pair
♣J, ♠3, ♣6, ♠J, ♣10 | pair
♣J, ♠3, ♠Q, ♦6, ♣3 | pair
♣J, ♠3, ♠Q, ♦6, ♠J | pair
♣J, ♠3, ♠Q, ♠5, ♣3 | pair
♣J, ♠3, ♠Q, ♠5, ♠J | pair
♣J, ♠3, ♠Q, ♣3, ♠J | two pairs
♣J, ♠3, ♠Q, ♣3, ♣10 | pair
♣J, ♠3, ♠Q, ♠J, ♣10 | pair
♣J, ♠3, ♦6, ♠5, ♣3 | pair
♣J, ♠3, ♦6, ♠5, ♠J | pair
♣J, ♠3, ♦6, ♣3, ♠J | two pairs
♣J, ♠3, ♦6, ♣3, ♣10 | pair
♣J, ♠3, ♦6, ♠J, ♣10 | pair
♣J, ♠3, ♠5, ♣3, ♠J | two pairs
♣J, ♠3, ♠5, ♣3, ♣10 | pair
♣J, ♠3, ♠5, ♠J, ♣10 | pair
♣J, ♠3, ♣3, ♠J, ♣10 | two pairs
♣J, ♦10, ♣6, ♠Q, ♦6 | pair
♣J, ♦10, ♣6, ♠Q, ♠J | pair
♣J, ♦10, ♣6, ♠Q, ♣10 | pair
♣J, ♦10, ♣6, ♦6, ♠5 | pair
♣J, ♦10, ♣6, ♦6, ♣3 | pair
♣J, ♦10, ♣6, ♦6, ♠J | two pairs
♣J, ♦10, ♣6, ♦6, ♣10 | two pairs
♣J, ♦10, ♣6, ♠5, ♠J | pair
♣J, ♦10, ♣6, ♠5, ♣10 | pair
♣J, ♦10, ♣6, ♣3, ♠J | pair
♣J, ♦10, ♣6, ♣3, ♣10 | pair
♣J, ♦10, ♣6, ♠J, ♣10 | two pairs
♣J, ♦10, ♠Q, ♦6, ♠J | pair
♣J, ♦10, ♠Q, ♦6, ♣10 | pair
♣J, ♦10, ♠Q, ♠5, ♠J | pair
♣J, ♦10, ♠Q, ♠5, ♣10 | pair
♣J, ♦10, ♠Q, ♣3, ♠J | pair
♣J, ♦10, ♠Q, ♣3, ♣10 | pair
♣J, ♦10, ♠Q, ♠J, ♣10 | two pairs
♣J, ♦10, ♦6, ♠5, ♠J | pair
♣J, ♦10, ♦6, ♠5, ♣10 | pair
♣J, ♦10, ♦6, ♣3, ♠J | pair
♣J, ♦10, ♦6, ♣3, ♣10 | pair
♣J, ♦10, ♦6, ♠J, ♣10 | two pairs
♣J, ♦10, ♠5, ♣3, ♠J | pair
♣J, ♦10, ♠5, ♣3, ♣10 | pair
♣J, ♦10, ♠5, ♠J, ♣10 | two pairs
♣J, ♦10, ♣3, ♠J, ♣10 | two pairs
♣J, ♣6, ♠Q, ♦6, ♠5 | pair
