♠A, ♥J, ♦5, ♦7, ♦A | pair
♠A, ♥J, ♦7, ♥7, ♣10 | pair
♠A, ♥J, ♦7, ♥7, ♠A | two pairs
♠A, ♥J, ♦7, ♥7, ♣10 | pair
♠A, ♥J, ♦7, ♣10, ♠A | pair
♠A, ♥J, ♦7, ♣10, ♣10 | pair
♠A, ♥J, ♦7, ♠A, ♣10 | pair
♠A, ♥J, ♦A, ♥K, ♦9 | pair
♠A, ♥J, ♦A, ♥K, ♦10 | pair
♠A, ♥J, ♦A, ♥K, ♦10 | pair
♠A, ♥J, ♦A, ♥K, ♥7 | pair
♠A, ♥J, ♦A, ♥K, ♣10 | pair
♠A, ♥J, ♦A, ♥K, ♠A | three of a kind
♠A, ♥J, ♦A, ♥K, ♣10 | pair
♠A, ♥J, ♦A, ♦9, ♦10 | pair
♠A, ♥J, ♦A, ♦9, ♦10 | pair
♠A, ♥J, ♦A, ♦9, ♥7 | pair
♠A, ♥J, ♦A, ♦9, ♣10 | pair
♠A, ♥J, ♦A, ♦9, ♠A | three of a kind
♠A, ♥J, ♦A, ♦9, ♣10 | pair
♠A, ♥J, ♦A, ♦10, ♦10 | two pairs
♠A, ♥J, ♦A, ♦10, ♥7 | pair
♠A, ♥J, ♦A, ♦10, ♣10 | two pairs
♠A, ♥J, ♦A, ♦10, ♠A | three of a kind
♠A, ♥J, ♦A, ♦10, ♣10 | two pairs
♠A, ♥J, ♦A, ♦10, ♥7 | pair
♠A, ♥J, ♦A, ♦10, ♣10 | two pairs
♠A, ♥J, ♦A, ♦10, ♠A | three of a kind
♠A, ♥J, ♦A, ♦10, ♣10 | two pairs
♠A, ♥J, ♦A, ♥7, ♣10 | pair
♠A, ♥J, ♦A, ♥7, ♠A | three of a kind
♠A, ♥J, ♦A, ♥7, ♣10 | pair
♠A, ♥J, ♦A, ♣10, ♠A | three of a kind
♠A, ♥J, ♦A, ♣10, ♣10 | two pairs
♠A, ♥J, ♦A, ♠A, ♣10 | three of a kind
♠A, ♥J, ♥K, ♦9, ♠A | pair
♠A, ♥J, ♥K, ♦10, ♦10 | pair
♠A, ♥J, ♥K, ♦10, ♣10 | pair
♠A, ♥J, ♥K, ♦10, ♠A | pair
♠A, ♥J, ♥K, ♦10, ♣10 | pair
♠A, ♥J, ♥K, ♦10, ♣10 | pair
♠A, ♥J, ♥K, ♦10, ♠A | pair
♠A, ♥J, ♥K, ♦10, ♣10 | pair
♠A, ♥J, ♥K, ♥7, ♠A | pair
♠A, ♥J, ♥K, ♣10, ♠A | pair
♠A, ♥J, ♥K, ♣10, ♣10 | pair
♠A, ♥J, ♥K, ♠A, ♣10 | pair
♠A, ♥J, ♦9, ♦10, ♦10 | pair
♠A, ♥J, ♦9, ♦10, ♣10 | pair
♠A, ♥J, ♦9, ♦10, ♠A | pair
♠A, ♥J, ♦9, ♦10, ♣10 | pair
♠A, ♥J, ♦9, ♦10, ♣10 | pair
♠A, ♥J, ♦9, ♦10, ♠A | pair
♠A, ♥J, ♦9, ♦10, ♣10 | pair
♠A, ♥J, ♦9, ♥7, ♠A | pair
♠A, ♥J, ♦9, ♣10, ♠A | pair
♠A, ♥J, ♦9, ♣10, ♣10 | pair
♠A, ♥J, ♦9, ♠A, ♣10 | pair
♠A, ♥J, ♦10, ♦10, ♥7 | pair
♠A, ♥J, ♦10, ♦10, ♣10 | three of a kind
♠A, ♥J, ♦10, ♦10, ♠A | two pairs
♠A, ♥J, ♦10, ♦10, ♣10 | three of a kind
♠A, ♥J, ♦10, ♥7, ♣10 | pair
♠A, ♥J, ♦10, ♥7, ♠A | pair
♠A, ♥J, ♦10, ♥7, ♣10 | pair
♠A, ♥J, ♦10, ♣10, ♠A | two pairs
♠A, ♥J, ♦10, ♣10, ♣10 | three of a kind
♠A, ♥J, ♦10, ♠A, ♣10 | two pairs
♠A, ♥J, ♦10, ♥7, ♣10 | pair
♠A, ♥J, ♦10, ♥7, ♠A | pair
♠A, ♥J, ♦10, ♥7, ♣10 | pair
♠A, ♥J, ♦10, ♣10, ♠A | two pairs
♠A, ♥J, ♦10, ♣10, ♣10 | three of a kind
♠A, ♥J, ♦10, ♠A, ♣10 | two pairs
♠A, ♥J, ♥7, ♣10, ♠A | pair
♠A, ♥J, ♥7, ♣10, ♣10 | pair
♠A, ♥J, ♥7, ♠A, ♣10 | pair
♠A, ♥J, ♣10, ♠A, ♣10 | two pairs
♠A, ♦5, ♦7, ♦A, ♥K | pair
♠A, ♦5, ♦7, ♦A, ♦9 | pair
♠A, ♦5, ♦7, ♦A, ♦10 | pair
♠A, ♦5, ♦7, ♦A, ♦10 | pair
♠A, ♦5, ♦7, ♦A, ♥7 | two pairs
♠A, ♦5, ♦7, ♦A, ♣10 | pair
♠A, ♦5, ♦7, ♦A, ♠A | three of a kind
♠A, ♦5, ♦7, ♦A, ♣10 | pair
♠A, ♦5, ♦7, ♥K, ♥7 | pair
♠A, ♦5, ♦7, ♥K, ♠A | pair
♠A, ♦5, ♦7, ♦9, ♥7 | pair
♠A, ♦5, ♦7, ♦9, ♠A | pair
♠A, ♦5, ♦7, ♦10, ♦10 | pair
♠A, ♦5, ♦7, ♦10, ♥7 | pair
♠A, ♦5, ♦7, ♦10, ♣10 | pair
♠A, ♦5, ♦7, ♦10, ♠A | pair
♠A, ♦5, ♦7, ♦10, ♣10 | pair
♠A, ♦5, ♦7, ♦10, ♥7 | pair
♠A, ♦5, ♦7, ♦10, ♣10 | pair
♠A, ♦5, ♦7, ♦10, ♠A | pair
♠A, ♦5, ♦7, ♦10, ♣10 | pair
♠A, ♦5, ♦7, ♥7, ♣10 | pair
♠A, ♦5, ♦7, ♥7, ♠A | two pairs
♠A, ♦5, ♦7, ♥7, ♣10 | pair
♠A, ♦5, ♦7, ♣10, ♠A | pair
♠A, ♦5, ♦7, ♣10, ♣10 | pair
♠A, ♦5, ♦7, ♠A, ♣10 | pair
♠A, ♦5, ♦A, ♥K, ♦9 | pair
♠A, ♦5, ♦A, ♥K, ♦10 | pair
♠A, ♦5, ♦A, ♥K, ♦10 | pair
♠A, ♦5, ♦A, ♥K, ♥7 | pair
♠A, ♦5, ♦A, ♥K, ♣10 | pair
♠A, ♦5, ♦A, ♥K, ♠A | three of a kind
♠A, ♦5, ♦A, ♥K, ♣10 | pair
♠A, ♦5, ♦A, ♦9, ♦10 | pair
♠A, ♦5, ♦A, ♦9, ♦10 | pair
♠A, ♦5, ♦A, ♦9, ♥7 | pair
♠A, ♦5, ♦A, ♦9, ♣10 | pair
♠A, ♦5, ♦A, ♦9, ♠A | three of a kind
♠A, ♦5, ♦A, ♦9, ♣10 | pair
♠A, ♦5, ♦A, ♦10, ♦10 | two pairs
♠A, ♦5, ♦A, ♦10, ♥7 | pair
♠A, ♦5, ♦A, ♦10, ♣10 | two pairs
♠A, ♦5, ♦A, ♦10, ♠A | three of a kind
♠A, ♦5, ♦A, ♦10, ♣10 | two pairs
♠A, ♦5, ♦A, ♦10, ♥7 | pair
♠A, ♦5, ♦A, ♦10, ♣10 | two pairs
♠A, ♦5, ♦A, ♦10, ♠A | three of a kind
♠A, ♦5, ♦A, ♦10, ♣10 | two pairs
♠A, ♦5, ♦A, ♥7, ♣10 | pair
♠A, ♦5, ♦A, ♥7, ♠A | three of a kind
♠A, ♦5, ♦A, ♥7, ♣10 | pair
♠A, ♦5, ♦A, ♣10, ♠A | three of a kind
♠A, ♦5, ♦A, ♣10, ♣10 | two pairs
♠A, ♦5, ♦A, ♠A, ♣10 | three of a kind
♠A, ♦5, ♥K, ♦9, ♠A | pair
♠A, ♦5, ♥K, ♦10, ♦10 | pair
♠A, ♦5, ♥K, ♦10, ♣10 | pair
♠A, ♦5, ♥K, ♦10, ♠A | pair
♠A, ♦5, ♥K, ♦10, ♣10 | pair
♠A, ♦5, ♥K, ♦10, ♣10 | pair
♠A, ♦5, ♥K, ♦10, ♠A | pair
♠A, ♦5, ♥K, ♦10, ♣10 | pair
♠A, ♦5, ♥K, ♥7, ♠A | pair
♠A, ♦5, ♥K, ♣10, ♠A | pair
♠A, ♦5, ♥K, ♣10, ♣10 | pair
♠A, ♦5, ♥K, ♠A, ♣10 | pair
♠A, ♦5, ♦9, ♦10, ♦10 | pair
♠A, ♦5, ♦9, ♦10, ♣10 | pair
♠A, ♦5, ♦9, ♦10, ♠A | pair
♠A, ♦5, ♦9, ♦10, ♣10 | pair
♠A, ♦5, ♦9, ♦10, ♣10 | pair
♠A, ♦5, ♦9, ♦10, ♠A | pair
♠A, ♦5, ♦9, ♦10, ♣10 | pair
♠A, ♦5, ♦9, ♥7, ♠A | pair
♠A, ♦5, ♦9, ♣10, ♠A | pair
♠A, ♦5, ♦9, ♣10, ♣10 | pair
♠A, ♦5, ♦9, ♠A, ♣10 | pair
♠A, ♦5, ♦10, ♦10, ♥7 | pair
♠A, ♦5, ♦10, ♦10, ♣10 | three of a kind
♠A, ♦5, ♦10, ♦10, ♠A | two pairs
♠A, ♦5, ♦10, ♦10, ♣10 | three of a kind
♠A, ♦5, ♦10, ♥7, ♣10 | pair
♠A, ♦5, ♦10, ♥7, ♠A | pair
♠A, ♦5, ♦10, ♥7, ♣10 | pair
♠A, ♦5, ♦10, ♣10, ♠A | two pairs
♠A, ♦5, ♦10, ♣10, ♣10 | three of a kind
♠A, ♦5, ♦10, ♠A, ♣10 | two pairs
♠A, ♦5, ♦10, ♥7, ♣10 | pair
♠A, ♦5, ♦10, ♥7, ♠A | pair
♠A, ♦5, ♦10, ♥7, ♣10 | pair
♠A, ♦5, ♦10, ♣10, ♠A | two pairs
♠A, ♦5, ♦10, ♣10, ♣10 | three of a kind
♠A, ♦5, ♦10, ♠A, ♣10 | two pairs
♠A, ♦5, ♥7, ♣10, ♠A | pair
♠A, ♦5, ♥7, ♣10, ♣10 | pair
♠A, ♦5, ♥7, ♠A, ♣10 | pair
♠A, ♦5, ♣10, ♠A, ♣10 | two pairs
♠A, ♦7, ♦A, ♥K, ♦9 | pair
♠A, ♦7, ♦A, ♥K, ♦10 | pair
♠A, ♦7, ♦A, ♥K, ♦10 | pair
♠A, ♦7, ♦A, ♥K, ♥7 | two pairs
♠A, ♦7, ♦A, ♥K, ♣10 | pair
♠A, ♦7, ♦A, ♥K, ♠A | three of a kind
♠A, ♦7, ♦A, ♥K, ♣10 | pair
♠A, ♦7, ♦A, ♦9, ♦10 | pair
♠A, ♦7, ♦A, ♦9, ♦10 | pair
♠A, ♦7, ♦A, ♦9, ♥7 | two pairs
♠A, ♦7, ♦A, ♦9, ♣10 | pair
♠A, ♦7, ♦A, ♦9, ♠A | three of a kind
♠A, ♦7, ♦A, ♦9, ♣10 | pair
♠A, ♦7, ♦A, ♦10, ♦10 | two pairs
♠A, ♦7, ♦A, ♦10, ♥7 | two pairs
♠A, ♦7, ♦A, ♦10, ♣10 | two pairs
♠A, ♦7, ♦A, ♦10, ♠A | three of a kind
♠A, ♦7, ♦A, ♦10, ♣10 | two pairs
♠A, ♦7, ♦A, ♦10, ♥7 | two pairs
♠A, ♦7, ♦A, ♦10, ♣10 | two pairs
♠A, ♦7, ♦A, ♦10, ♠A | three of a kind
♠A, ♦7, ♦A, ♦10, ♣10 | two pairs
♠A, ♦7, ♦A, ♥7, ♣10 | two pairs
♠A, ♦7, ♦A, ♥7, ♠A | fullhouse
♠A, ♦7, ♦A, ♥7, ♣10 | two pairs
♠A, ♦7, ♦A, ♣10, ♠A | three of a kind
♠A, ♦7, ♦A, ♣10, ♣10 | two pairs
♠A, ♦7, ♦A, ♠A, ♣10 | three of a kind
♠A, ♦7, ♥K, ♦9, ♥7 | pair
♠A, ♦7, ♥K, ♦9, ♠A | pair
♠A, ♦7, ♥K, ♦10, ♦10 | pair
♠A, ♦7, ♥K, ♦10, ♥7 | pair
♠A, ♦7, ♥K, ♦10, ♣10 | pair
♠A, ♦7, ♥K, ♦10, ♠A | pair
♠A, ♦7, ♥K, ♦10, ♣10 | pair
♠A, ♦7, ♥K, ♦10, ♥7 | pair
♠A, ♦7, ♥K, ♦10, ♣10 | pair
♠A, ♦7, ♥K, ♦10, ♠A | pair
♠A, ♦7, ♥K, ♦10, ♣10 | pair
♠A, ♦7, ♥K, ♥7, ♣10 | pair
♠A, ♦7, ♥K, ♥7, ♠A | two pairs
♠A, ♦7, ♥K, ♥7, ♣10 | pair
♠A, ♦7, ♥K, ♣10, ♠A | pair
♠A, ♦7, ♥K, ♣10, ♣10 | pair
♠A, ♦7, ♥K, ♠A, ♣10 | pair
♠A, ♦7, ♦9, ♦10, ♦10 | pair
♠A, ♦7, ♦9, ♦10, ♥7 | pair
♠A, ♦7, ♦9, ♦10, ♣10 | pair
♠A, ♦7, ♦9, ♦10, ♠A | pair
♠A, ♦7, ♦9, ♦10, ♣10 | pair
♠A, ♦7, ♦9, ♦10, ♥7 | pair
♠A, ♦7, ♦9, ♦10, ♣10 | pair
♠A, ♦7, ♦9, ♦10, ♠A | pair
♠A, ♦7, ♦9, ♦10, ♣10 | pair
♠A, ♦7, ♦9, ♥7, ♣10 | pair
♠A, ♦7, ♦9, ♥7, ♠A | two pairs
♠A, ♦7, ♦9, ♥7, ♣10 | pair
♠A, ♦7, ♦9, ♣10, ♠A | pair
♠A, ♦7, ♦9, ♣10, ♣10 | pair
♠A, ♦7, ♦9, ♠A, ♣10 | pair
♠A, ♦7, ♦10, ♦10, ♥7 | two pairs
♠A, ♦7, ♦10, ♦10, ♣10 | three of a kind
♠A, ♦7, ♦10, ♦10, ♠A | two pairs
♠A, ♦7, ♦10, ♦10, ♣10 | three of a kind
♠A, ♦7, ♦10, ♥7, ♣10 | two pairs
♠A, ♦7, ♦10, ♥7, ♠A | two pairs
♠A, ♦7, ♦10, ♥7, ♣10 | two pairs
♠A, ♦7, ♦10, ♣10, ♠A | two pairs
♠A, ♦7, ♦10, ♣10, ♣10 | three of a kind
♠A, ♦7, ♦10, ♠A, ♣10 | two pairs
♠A, ♦7, ♦10, ♥7, ♣10 | two pairs
♠A, ♦7, ♦10, ♥7, ♠A | two pairs
♠A, ♦7, ♦10, ♥7, ♣10 | two pairs
♠A, ♦7, ♦10, ♣10, ♠A | two pairs
♠A, ♦7, ♦10, ♣10, ♣10 | three of a kind
♠A, ♦7, ♦10, ♠A, ♣10 | two pairs
♠A, ♦7, ♥7, ♣10, ♠A | two pairs
♠A, ♦7, ♥7, ♣10, ♣10 | two pairs
♠A, ♦7, ♥7, ♠A, ♣10 | two pairs
♠A, ♦7, ♣10, ♠A, ♣10 | two pairs
♠A, ♦A, ♥K, ♦9, ♦10 | pair
♠A, ♦A, ♥K, ♦9, ♦10 | pair
♠A, ♦A, ♥K, ♦9, ♥7 | pair
♠A, ♦A, ♥K, ♦9, ♣10 | pair
♠A, ♦A, ♥K, ♦9, ♠A | three of a kind
♠A, ♦A, ♥K, ♦9, ♣10 | pair
♠A, ♦A, ♥K, ♦10, ♦10 | two pairs
♠A, ♦A, ♥K, ♦10, ♥7 | pair
♠A, ♦A, ♥K, ♦10, ♣10 | two pairs
♠A, ♦A, ♥K, ♦10, ♠A | three of a kind
♠A, ♦A, ♥K, ♦10, ♣10 | two pairs
♠A, ♦A, ♥K, ♦10, ♥7 | pair
♠A, ♦A, ♥K, ♦10, ♣10 | two pairs
♠A, ♦A, ♥K, ♦10, ♠A | three of a kind
♠A, ♦A, ♥K, ♦10, ♣10 | two pairs
♠A, ♦A, ♥K, ♥7, ♣10 | pair
♠A, ♦A, ♥K, ♥7, ♠A | three of a kind
♠A, ♦A, ♥K, ♥7, ♣10 | pair
♠A, ♦A, ♥K, ♣10, ♠A | three of a kind
♠A, ♦A, ♥K, ♣10, ♣10 | two pairs
♠A, ♦A, ♥K, ♠A, ♣10 | three of a kind
♠A, ♦A, ♦9, ♦10, ♦10 | two pairs
♠A, ♦A, ♦9, ♦10, ♥7 | pair
♠A, ♦A, ♦9, ♦10, ♣10 | two pairs
♠A, ♦A, ♦9, ♦10, ♠A | three of a kind
♠A, ♦A, ♦9, ♦10, ♣10 | two pairs
♠A, ♦A, ♦9, ♦10, ♥7 | pair
♠A, ♦A, ♦9, ♦10, ♣10 | two pairs
♠A, ♦A, ♦9, ♦10, ♠A | three of a kind
♠A, ♦A, ♦9, ♦10, ♣10 | two pairs
♠A, ♦A, ♦9, ♥7, ♣10 | pair
♠A, ♦A, ♦9, ♥7, ♠A | three of a kind
♠A, ♦A, ♦9, ♥7, ♣10 | pair
♠A, ♦A, ♦9, ♣10, ♠A | three of a kind
♠A, ♦A, ♦9, ♣10, ♣10 | two pairs
♠A, ♦A, ♦9, ♠A, ♣10 | three of a kind
♠A, ♦A, ♦10, ♦10, ♥7 | two pairs
♠A, ♦A, ♦10, ♦10, ♣10 | fullhouse
♠A, ♦A, ♦10, ♦10, ♠A | fullhouse
♠A, ♦A, ♦10, ♦10, ♣10 | fullhouse
♠A, ♦A, ♦10, ♥7, ♣10 | two pairs
♠A, ♦A, ♦10, ♥7, ♠A | three of a kind
♠A, ♦A, ♦10, ♥7, ♣10 | two pairs
♠A, ♦A, ♦10, ♣10, ♠A | fullhouse
♠A, ♦A, ♦10, ♣10, ♣10 | fullhouse
♠A, ♦A, ♦10, ♠A, ♣10 | fullhouse
♠A, ♦A, ♦10, ♥7, ♣10 | two pairs
♠A, ♦A, ♦10, ♥7, ♠A | three of a kind
♠A, ♦A, ♦10, ♥7, ♣10 | two pairs
♠A, ♦A, ♦10, ♣10, ♠A | fullhouse
♠A, ♦A, ♦10, ♣10, ♣10 | fullhouse
♠A, ♦A, ♦10, ♠A, ♣10 | fullhouse
♠A, ♦A, ♥7, ♣10, ♠A | three of a kind
♠A, ♦A, ♥7, ♣10, ♣10 | two pairs
♠A, ♦A, ♥7, ♠A, ♣10 | three of a kind
♠A, ♦A, ♣10, ♠A, ♣10 | fullhouse
♠A, ♥K, ♦9, ♦10, ♦10 | pair
♠A, ♥K, ♦9, ♦10, ♣10 | pair
♠A, ♥K, ♦9, ♦10, ♠A | pair
♠A, ♥K, ♦9, ♦10, ♣10 | pair
♠A, ♥K, ♦9, ♦10, ♣10 | pair
♠A, ♥K, ♦9, ♦10, ♠A | pair
♠A, ♥K, ♦9, ♦10, ♣10 | pair
♠A, ♥K, ♦9, ♥7, ♠A | pair
♠A, ♥K, ♦9, ♣10, ♠A | pair
♠A, ♥K, ♦9, ♣10, ♣10 | pair
♠A, ♥K, ♦9, ♠A, ♣10 | pair
♠A, ♥K, ♦10, ♦10, ♥7 | pair
♠A, ♥K, ♦10, ♦10, ♣10 | three of a kind
♠A, ♥K, ♦10, ♦10, ♠A | two pairs
♠A, ♥K, ♦10, ♦10, ♣10 | three of a kind
♠A, ♥K, ♦10, ♥7, ♣10 | pair
♠A, ♥K, ♦10, ♥7, ♠A | pair
♠A, ♥K, ♦10, ♥7, ♣10 | pair
♠A, ♥K, ♦10, ♣10, ♠A | two pairs
♠A, ♥K, ♦10, ♣10, ♣10 | three of a kind
♠A, ♥K, ♦10, ♠A, ♣10 | two pairs
♠A, ♥K, ♦10, ♥7, ♣10 | pair
♠A, ♥K, ♦10, ♥7, ♠A | pair
♠A, ♥K, ♦10, ♥7, ♣10 | pair
♠A, ♥K, ♦10, ♣10, ♠A | two pairs
♠A, ♥K, ♦10, ♣10, ♣10 | three of a kind
♠A, ♥K, ♦10, ♠A, ♣10 | two pairs
♠A, ♥K, ♥7, ♣10, ♠A | pair
♠A, ♥K, ♥7, ♣10, ♣10 | pair
♠A, ♥K, ♥7, ♠A, ♣10 | pair
♠A, ♥K, ♣10, ♠A, ♣10 | two pairs
♠A, ♦9, ♦10, ♦10, ♥7 | pair
♠A, ♦9, ♦10, ♦10, ♣10 | three of a kind
♠A, ♦9, ♦10, ♦10, ♠A | two pairs
♠A, ♦9, ♦10, ♦10, ♣10 | three of a kind
♠A, ♦9, ♦10, ♥7, ♣10 | pair
♠A, ♦9, ♦10, ♥7, ♠A | pair
♠A, ♦9, ♦10, ♥7, ♣10 | pair
♠A, ♦9, ♦10, ♣10, ♠A | two pairs
♠A, ♦9, ♦10, ♣10, ♣10 | three of a kind
♠A, ♦9, ♦10, ♠A, ♣10 | two pairs
♠A, ♦9, ♦10, ♥7, ♣10 | pair
♠A, ♦9, ♦10, ♥7, ♠A | pair
♠A, ♦9, ♦10, ♥7, ♣10 | pair
♠A, ♦9, ♦10, ♣10, ♠A | two pairs
♠A, ♦9, ♦10, ♣10, ♣10 | three of a kind
♠A, ♦9, ♦10, ♠A, ♣10 | two pairs
♠A, ♦9, ♥7, ♣10, ♠A | pair
♠A, ♦9, ♥7, ♣10, ♣10 | pair
♠A, ♦9, ♥7, ♠A, ♣10 | pair
♠A, ♦9, ♣10, ♠A, ♣10 | two pairs
♠A, ♦10, ♦10, ♥7, ♣10 | three of a kind
♠A, ♦10, ♦10, ♥7, ♠A | two pairs
♠A, ♦10, ♦10, ♥7, ♣10 | three of a kind
♠A, ♦10, ♦10, ♣10, ♠A | fullhouse
♠A, ♦10, ♦10, ♣10, ♣10 | four of a kind!
♠A, ♦10, ♦10, ♠A, ♣10 | fullhouse
♠A, ♦10, ♥7, ♣10, ♠A | two pairs
♠A, ♦10, ♥7, ♣10, ♣10 | three of a kind
♠A, ♦10, ♥7, ♠A, ♣10 | two pairs
♠A, ♦10, ♣10, ♠A, ♣10 | fullhouse
♠A, ♦10, ♥7, ♣10, ♠A | two pairs
♠A, ♦10, ♥7, ♣10, ♣10 | three of a kind
♠A, ♦10, ♥7, ♠A, ♣10 | two pairs
♠A, ♦10, ♣10, ♠A, ♣10 | fullhouse
♠A, ♥7, ♣10, ♠A, ♣10 | two pairs
♥J, ♦5, ♦7, ♦A, ♥7 | pair
♥J, ♦5, ♦7, ♦A, ♠A | pair
♥J, ♦5, ♦7, ♥K, ♥7 | pair
♥J, ♦5, ♦7, ♦9, ♥7 | pair
♥J, ♦5, ♦7, ♦10, ♦10 | pair
♥J, ♦5, ♦7, ♦10, ♥7 | pair
♥J, ♦5, ♦7, ♦10, ♣10 | pair
♥J, ♦5, ♦7, ♦10, ♣10 | pair
♥J, ♦5, ♦7, ♦10, ♥7 | pair
♥J, ♦5, ♦7, ♦10, ♣10 | pair
♥J, ♦5, ♦7, ♦10, ♣10 | pair
♥J, ♦5, ♦7, ♥7, ♣10 | pair
♥J, ♦5, ♦7, ♥7, ♠A | pair
♥J, ♦5, ♦7, ♥7, ♣10 | pair
♥J, ♦5, ♦7, ♣10, ♣10 | pair
♥J, ♦5, ♦A, ♥K, ♠A | pair
♥J, ♦5, ♦A, ♦9, ♠A | pair
♥J, ♦5, ♦A, ♦10, ♦10 | pair
♥J, ♦5, ♦A, ♦10, ♣10 | pair
♥J, ♦5, ♦A, ♦10, ♠A | pair
♥J, ♦5, ♦A, ♦10, ♣10 | pair
♥J, ♦5, ♦A, ♦10, ♣10 | pair
♥J, ♦5, ♦A, ♦10, ♠A | pair
♥J, ♦5, ♦A, ♦10, ♣10 | pair
♥J, ♦5, ♦A, ♥7, ♠A | pair
♥J, ♦5, ♦A, ♣10, ♠A | pair
♥J, ♦5, ♦A, ♣10, ♣10 | pair
♥J, ♦5, ♦A, ♠A, ♣10 | pair
♥J, ♦5, ♥K, ♦10, ♦10 | pair
♥J, ♦5, ♥K, ♦10, ♣10 | pair
♥J, ♦5, ♥K, ♦10, ♣10 | pair
♥J, ♦5, ♥K, ♦10, ♣10 | pair
♥J, ♦5, ♥K, ♦10, ♣10 | pair
♥J, ♦5, ♥K, ♣10, ♣10 | pair
♥J, ♦5, ♦9, ♦10, ♦10 | pair
♥J, ♦5, ♦9, ♦10, ♣10 | pair
♥J, ♦5, ♦9, ♦10, ♣10 | pair
♥J, ♦5, ♦9, ♦10, ♣10 | pair
♥J, ♦5, ♦9, ♦10, ♣10 | pair
♥J, ♦5, ♦9, ♣10, ♣10 | pair
♥J, ♦5, ♦10, ♦10, ♥7 | pair
♥J, ♦5, ♦10, ♦10, ♣10 | three of a kind
♥J, ♦5, ♦10, ♦10, ♠A | pair
♥J, ♦5, ♦10, ♦10, ♣10 | three of a kind
♥J, ♦5, ♦10, ♥7, ♣10 | pair
♥J, ♦5, ♦10, ♥7, ♣10 | pair
♥J, ♦5, ♦10, ♣10, ♠A | pair
♥J, ♦5, ♦10, ♣10, ♣10 | three of a kind
♥J, ♦5, ♦10, ♠A, ♣10 | pair
♥J, ♦5, ♦10, ♥7, ♣10 | pair
♥J, ♦5, ♦10, ♥7, ♣10 | pair
♥J, ♦5, ♦10, ♣10, ♠A | pair
♥J, ♦5, ♦10, ♣10, ♣10 | three of a kind
♥J, ♦5, ♦10, ♠A, ♣10 | pair
♥J, ♦5, ♥7, ♣10, ♣10 | pair
♥J, ♦5, ♣10, ♠A, ♣10 | pair
♥J, ♦7, ♦A, ♥K, ♥7 | pair
♥J, ♦7, ♦A, ♥K, ♠A | pair
♥J, ♦7, ♦A, ♦9, ♥7 | pair
♥J, ♦7, ♦A, ♦9, ♠A | pair
♥J, ♦7, ♦A, ♦10, ♦10 | pair
♥J, ♦7, ♦A, ♦10, ♥7 | pair
♥J, ♦7, ♦A, ♦10, ♣10 | pair
♥J, ♦7, ♦A, ♦10, ♠A | pair
♥J, ♦7, ♦A, ♦10, ♣10 | pair
♥J, ♦7, ♦A, ♦10, ♥7 | pair
