♠A, ♥J, ♣10, ♣4, ♥10 | pair
♠A, ♥5, ♥5, ♠9, ♥Q | pair
♠A, ♥5, ♥5, ♠9, ♥10 | pair
♠A, ♥5, ♥5, ♥Q, ♥10 | pair
♥J, ♣10, ♣4, ♥5, ♥5 | pair
♥J, ♣10, ♣4, ♥5, ♥10 | pair
♥J, ♣10, ♣4, ♥5, ♥10 | pair
♥J, ♣10, ♣4, ♥7, ♥10 | pair
♥J, ♣10, ♣4, ♠9, ♥10 | pair
♥J, ♣10, ♣4, ♥Q, ♥10 | pair
♥J, ♣10, ♥5, ♥5, ♥7 | pair
♥J, ♣10, ♥5, ♥5, ♠9 | pair
♥J, ♣10, ♥5, ♥5, ♥Q | pair
♥J, ♣10, ♥5, ♥5, ♥10 | two pairs
♥J, ♣10, ♥5, ♥7, ♥10 | pair
♥J, ♣10, ♥5, ♠9, ♥10 | pair
♥J, ♣10, ♥5, ♥Q, ♥10 | pair
♥J, ♣10, ♥5, ♥7, ♥10 | pair
♥J, ♣10, ♥5, ♠9, ♥10 | pair
♥J, ♣10, ♥5, ♥Q, ♥10 | pair
♥J, ♣10, ♥7, ♠9, ♥10 | pair
♥J, ♣10, ♥7, ♥Q, ♥10 | pair
♥J, ♣10, ♠9, ♥Q, ♥10 | pair
♥J, ♣4, ♥5, ♥5, ♥7 | pair
♥J, ♣4, ♥5, ♥5, ♠9 | pair
♥J, ♣4, ♥5, ♥5, ♥Q | pair
♥J, ♣4, ♥5, ♥5, ♥10 | pair
♥J, ♥5, ♥5, ♥7, ♠9 | pair
♥J, ♥5, ♥5, ♥7, ♥Q | flush
♥J, ♥5, ♥5, ♥7, ♥10 | flush
♥J, ♥5, ♥5, ♠9, ♥Q | pair
♥J, ♥5, ♥5, ♠9, ♥10 | pair
♥J, ♥5, ♥5, ♥Q, ♥10 | flush
♥J, ♥5, ♥7, ♥Q, ♥10 | flush
♥J, ♥5, ♥7, ♥Q, ♥10 | flush
♣10, ♣4, ♥5, ♥5, ♥7 | pair
♣10, ♣4, ♥5, ♥5, ♠9 | pair
♣10, ♣4, ♥5, ♥5, ♥Q | pair
♣10, ♣4, ♥5, ♥5, ♥10 | two pairs
♣10, ♣4, ♥5, ♥7, ♥10 | pair
♣10, ♣4, ♥5, ♠9, ♥10 | pair
♣10, ♣4, ♥5, ♥Q, ♥10 | pair
♣10, ♣4, ♥5, ♥7, ♥10 | pair
♣10, ♣4, ♥5, ♠9, ♥10 | pair
♣10, ♣4, ♥5, ♥Q, ♥10 | pair
♣10, ♣4, ♥7, ♠9, ♥10 | pair
♣10, ♣4, ♥7, ♥Q, ♥10 | pair
♣10, ♣4, ♠9, ♥Q, ♥10 | pair
♣10, ♥5, ♥5, ♥7, ♠9 | pair
♣10, ♥5, ♥5, ♥7, ♥Q | pair
♣10, ♥5, ♥5, ♥7, ♥10 | two pairs
♣10, ♥5, ♥5, ♠9, ♥Q | pair
♣10, ♥5, ♥5, ♠9, ♥10 | two pairs
♣10, ♥5, ♥5, ♥Q, ♥10 | two pairs
♣10, ♥5, ♥7, ♠9, ♥10 | pair
♣10, ♥5, ♥7, ♥Q, ♥10 | pair
♣10, ♥5, ♠9, ♥Q, ♥10 | pair
♣10, ♥5, ♥7, ♠9, ♥10 | pair
♣10, ♥5, ♥7, ♥Q, ♥10 | pair
♣10, ♥5, ♠9, ♥Q, ♥10 | pair
♣10, ♥7, ♠9, ♥Q, ♥10 | pair
♣4, ♥5, ♥5, ♥7, ♠9 | pair
♣4, ♥5, ♥5, ♥7, ♥Q | pair
♣4, ♥5, ♥5, ♥7, ♥10 | pair
♣4, ♥5, ♥5, ♠9, ♥Q | pair
♣4, ♥5, ♥5, ♠9, ♥10 | pair
♣4, ♥5, ♥5, ♥Q, ♥10 | pair
♥5, ♥5, ♥7, ♠9, ♥Q | pair
♥5, ♥5, ♥7, ♠9, ♥10 | pair
♥5, ♥5, ♥7, ♥Q, ♥10 | flush
♥5, ♥5, ♠9, ♥Q, ♥10 | pair
