♠8, ♠2, ♥10, ♦9, ♦8 | pair
♠8, ♥10, ♣4, ♦8, ♠7 | pair
♠8, ♥10, ♣4, ♥A, ♥4 | pair
♠8, ♥10, ♣4, ♥4, ♥J | pair
♠8, ♥10, ♣4, ♥4, ♠7 | pair
♠8, ♥10, ♦8, ♥A, ♥4 | pair
♠8, ♥10, ♦8, ♥A, ♥J | pair
♠8, ♥10, ♦8, ♥A, ♠7 | pair
♠8, ♥10, ♦8, ♥4, ♥J | pair
♠8, ♥10, ♦8, ♥4, ♠7 | pair
♠8, ♥10, ♦8, ♥J, ♠7 | pair
♠8, ♦9, ♠7, ♥J, ♦8 | pair
♠8, ♦9, ♠7, ♥J, ♥J | pair
♠8, ♦9, ♠7, ♥J, ♠7 | pair
♠8, ♦9, ♠7, ♦K, ♦8 | pair
♠8, ♦9, ♠7, ♦K, ♠7 | pair
♠8, ♦9, ♠7, ♣4, ♦8 | pair
♠8, ♦9, ♠7, ♣4, ♥4 | pair
♠8, ♦9, ♠7, ♣4, ♠7 | pair
♠8, ♦9, ♠7, ♦8, ♥A | pair
♠8, ♦9, ♠7, ♦8, ♥4 | pair
♠8, ♦9, ♠7, ♦8, ♥J | pair
♠8, ♦9, ♠7, ♦8, ♠7 | two pairs
♠8, ♦9, ♠7, ♥A, ♠7 | pair
♠8, ♦9, ♠7, ♥4, ♠7 | pair
♠8, ♦9, ♠7, ♥J, ♠7 | pair
♠8, ♦9, ♥J, ♦K, ♦8 | pair
♠8, ♦9, ♥J, ♦K, ♥J | pair
♠8, ♦9, ♥J, ♣4, ♦8 | pair
♠8, ♦9, ♥J, ♣4, ♥4 | pair
♠8, ♦9, ♥J, ♣4, ♥J | pair
♠8, ♦9, ♥J, ♦8, ♥A | pair
♠8, ♦9, ♥J, ♦8, ♥4 | pair
♠8, ♦9, ♥J, ♦8, ♥J | two pairs
♠8, ♦9, ♥J, ♦8, ♠7 | pair
♠8, ♦9, ♥J, ♥A, ♥J | pair
♠8, ♦9, ♥J, ♥4, ♥J | pair
♠8, ♦9, ♥J, ♥J, ♠7 | pair
♠8, ♦9, ♦K, ♣4, ♦8 | pair
♠8, ♦9, ♦K, ♣4, ♥4 | pair
♠8, ♦9, ♦K, ♦8, ♥A | pair
♠8, ♦9, ♦K, ♦8, ♥4 | pair
♠8, ♦9, ♦K, ♦8, ♥J | pair
♠8, ♦9, ♦K, ♦8, ♠7 | pair
♠8, ♦9, ♣4, ♦8, ♥A | pair
♠8, ♦9, ♣4, ♦8, ♥4 | two pairs
♠8, ♦9, ♣4, ♦8, ♥J | pair
♠8, ♦9, ♣4, ♦8, ♠7 | pair
♠8, ♦9, ♣4, ♥A, ♥4 | pair
♠8, ♦9, ♣4, ♥4, ♥J | pair
♠8, ♦9, ♣4, ♥4, ♠7 | pair
♠8, ♦9, ♦8, ♥A, ♥4 | pair
♠8, ♦9, ♦8, ♥A, ♥J | pair
♠8, ♦9, ♦8, ♥A, ♠7 | pair
♠8, ♦9, ♦8, ♥4, ♥J | pair
♠8, ♦9, ♦8, ♥4, ♠7 | pair
♠8, ♦9, ♦8, ♥J, ♠7 | pair
♠8, ♠7, ♥J, ♦K, ♦8 | pair
♠8, ♠7, ♥J, ♦K, ♥J | pair
♠8, ♠7, ♥J, ♦K, ♠7 | pair
♠8, ♠7, ♥J, ♣4, ♦8 | pair
♠8, ♠7, ♥J, ♣4, ♥4 | pair
♠8, ♠7, ♥J, ♣4, ♥J | pair
♠8, ♠7, ♥J, ♣4, ♠7 | pair
♠8, ♠7, ♥J, ♦8, ♥A | pair
♠8, ♠7, ♥J, ♦8, ♥4 | pair
♠8, ♠7, ♥J, ♦8, ♥J | two pairs
♠8, ♠7, ♥J, ♦8, ♠7 | two pairs
♠8, ♠7, ♥J, ♥A, ♥J | pair
♠8, ♠7, ♥J, ♥A, ♠7 | pair
♠8, ♠7, ♥J, ♥4, ♥J | pair
♠8, ♠7, ♥J, ♥4, ♠7 | pair
♠8, ♠7, ♥J, ♥J, ♠7 | two pairs
♠8, ♠7, ♦K, ♣4, ♦8 | pair
♠8, ♠7, ♦K, ♣4, ♥4 | pair
♠8, ♠7, ♦K, ♣4, ♠7 | pair
♠8, ♠7, ♦K, ♦8, ♥A | pair
♠8, ♠7, ♦K, ♦8, ♥4 | pair
♠8, ♠7, ♦K, ♦8, ♥J | pair
♠8, ♠7, ♦K, ♦8, ♠7 | two pairs
♠8, ♠7, ♦K, ♥A, ♠7 | pair
♠8, ♠7, ♦K, ♥4, ♠7 | pair
♠8, ♠7, ♦K, ♥J, ♠7 | pair
♠8, ♠7, ♣4, ♦8, ♥A | pair
♠8, ♠7, ♣4, ♦8, ♥4 | two pairs
♠8, ♠7, ♣4, ♦8, ♥J | pair
♠8, ♠7, ♣4, ♦8, ♠7 | two pairs
♠8, ♠7, ♣4, ♥A, ♥4 | pair
♠8, ♠7, ♣4, ♥A, ♠7 | pair
♠8, ♠7, ♣4, ♥4, ♥J | pair
♠8, ♠7, ♣4, ♥4, ♠7 | two pairs
♠8, ♠7, ♣4, ♥J, ♠7 | pair
♠8, ♠7, ♦8, ♥A, ♥4 | pair
♠8, ♠7, ♦8, ♥A, ♥J | pair
♠8, ♠7, ♦8, ♥A, ♠7 | two pairs
♠8, ♠7, ♦8, ♥4, ♥J | pair
♠8, ♠7, ♦8, ♥4, ♠7 | two pairs
♠8, ♠7, ♦8, ♥J, ♠7 | two pairs
♠8, ♠7, ♥A, ♥4, ♠7 | pair
♠8, ♠7, ♥A, ♥J, ♠7 | pair
♠8, ♠7, ♥4, ♥J, ♠7 | pair
♠8, ♥J, ♦K, ♣4, ♦8 | pair
♠8, ♥J, ♦K, ♣4, ♥4 | pair
♠8, ♥J, ♦K, ♣4, ♥J | pair
♠8, ♥J, ♦K, ♦8, ♥A | pair
♠8, ♥J, ♦K, ♦8, ♥4 | pair
♠8, ♥J, ♦K, ♦8, ♥J | two pairs
♠8, ♥J, ♦K, ♦8, ♠7 | pair
♠8, ♥J, ♦K, ♥A, ♥J | pair
♠8, ♥J, ♦K, ♥4, ♥J | pair
♠8, ♥J, ♦K, ♥J, ♠7 | pair
♠8, ♥J, ♣4, ♦8, ♥A | pair
♠8, ♥J, ♣4, ♦8, ♥4 | two pairs
♠8, ♥J, ♣4, ♦8, ♥J | two pairs
♠8, ♥J, ♣4, ♦8, ♠7 | pair
♠8, ♥J, ♣4, ♥A, ♥4 | pair
♠8, ♥J, ♣4, ♥A, ♥J | pair
♠8, ♥J, ♣4, ♥4, ♥J | two pairs
♠8, ♥J, ♣4, ♥4, ♠7 | pair
♠8, ♥J, ♣4, ♥J, ♠7 | pair
♠8, ♥J, ♦8, ♥A, ♥4 | pair
♠8, ♥J, ♦8, ♥A, ♥J | two pairs
♠8, ♥J, ♦8, ♥A, ♠7 | pair
♠8, ♥J, ♦8, ♥4, ♥J | two pairs
♠8, ♥J, ♦8, ♥4, ♠7 | pair
♠8, ♥J, ♦8, ♥J, ♠7 | two pairs
♠8, ♥J, ♥A, ♥4, ♥J | pair
♠8, ♥J, ♥A, ♥J, ♠7 | pair
♠8, ♥J, ♥4, ♥J, ♠7 | pair
♠8, ♦K, ♣4, ♦8, ♥A | pair
♠8, ♦K, ♣4, ♦8, ♥4 | two pairs
♠8, ♦K, ♣4, ♦8, ♥J | pair
♠8, ♦K, ♣4, ♦8, ♠7 | pair
♠8, ♦K, ♣4, ♥A, ♥4 | pair
♠8, ♦K, ♣4, ♥4, ♥J | pair
♠8, ♦K, ♣4, ♥4, ♠7 | pair
♠8, ♦K, ♦8, ♥A, ♥4 | pair
♠8, ♦K, ♦8, ♥A, ♥J | pair
♠8, ♦K, ♦8, ♥A, ♠7 | pair
♠8, ♦K, ♦8, ♥4, ♥J | pair
♠8, ♦K, ♦8, ♥4, ♠7 | pair
♠8, ♦K, ♦8, ♥J, ♠7 | pair
♠8, ♣4, ♦8, ♥A, ♥4 | two pairs
♠8, ♣4, ♦8, ♥A, ♥J | pair
♠8, ♣4, ♦8, ♥A, ♠7 | pair
♠8, ♣4, ♦8, ♥4, ♥J | two pairs
♠8, ♣4, ♦8, ♥4, ♠7 | two pairs
♠8, ♣4, ♦8, ♥J, ♠7 | pair
♠8, ♣4, ♥A, ♥4, ♥J | pair
♠8, ♣4, ♥A, ♥4, ♠7 | pair
♠8, ♣4, ♥4, ♥J, ♠7 | pair
♠8, ♦8, ♥A, ♥4, ♥J | pair
♠8, ♦8, ♥A, ♥4, ♠7 | pair
♠8, ♦8, ♥A, ♥J, ♠7 | pair
♠8, ♦8, ♥4, ♥J, ♠7 | pair
♠2, ♥10, ♦9, ♠7, ♠7 | pair
♠2, ♥10, ♦9, ♥J, ♥J | pair
♠2, ♥10, ♦9, ♣4, ♥4 | pair
♠2, ♥10, ♠7, ♥J, ♥J | pair
♠2, ♥10, ♠7, ♥J, ♠7 | pair
♠2, ♥10, ♠7, ♦K, ♠7 | pair
♠2, ♥10, ♠7, ♣4, ♥4 | pair
♠2, ♥10, ♠7, ♣4, ♠7 | pair
♠2, ♥10, ♠7, ♦8, ♠7 | pair
♠2, ♥10, ♠7, ♥A, ♠7 | pair
♠2, ♥10, ♠7, ♥4, ♠7 | pair
♠2, ♥10, ♠7, ♥J, ♠7 | pair
♠2, ♥10, ♥J, ♦K, ♥J | pair
♠2, ♥10, ♥J, ♣4, ♥4 | pair
♠2, ♥10, ♥J, ♣4, ♥J | pair
♠2, ♥10, ♥J, ♦8, ♥J | pair
♠2, ♥10, ♥J, ♥A, ♥J | pair
♠2, ♥10, ♥J, ♥4, ♥J | pair
♠2, ♥10, ♥J, ♥J, ♠7 | pair
♠2, ♥10, ♦K, ♣4, ♥4 | pair
♠2, ♥10, ♣4, ♦8, ♥4 | pair
♠2, ♥10, ♣4, ♥A, ♥4 | pair
♠2, ♥10, ♣4, ♥4, ♥J | pair
♠2, ♥10, ♣4, ♥4, ♠7 | pair
♠2, ♦9, ♠7, ♥J, ♥J | pair
♠2, ♦9, ♠7, ♥J, ♠7 | pair
♠2, ♦9, ♠7, ♦K, ♠7 | pair
♠2, ♦9, ♠7, ♣4, ♥4 | pair
♠2, ♦9, ♠7, ♣4, ♠7 | pair
♠2, ♦9, ♠7, ♦8, ♠7 | pair
♠2, ♦9, ♠7, ♥A, ♠7 | pair
♠2, ♦9, ♠7, ♥4, ♠7 | pair
♠2, ♦9, ♠7, ♥J, ♠7 | pair
♠2, ♦9, ♥J, ♦K, ♥J | pair
♠2, ♦9, ♥J, ♣4, ♥4 | pair
♠2, ♦9, ♥J, ♣4, ♥J | pair
♠2, ♦9, ♥J, ♦8, ♥J | pair
♠2, ♦9, ♥J, ♥A, ♥J | pair
♠2, ♦9, ♥J, ♥4, ♥J | pair
♠2, ♦9, ♥J, ♥J, ♠7 | pair
♠2, ♦9, ♦K, ♣4, ♥4 | pair
♠2, ♦9, ♣4, ♦8, ♥4 | pair
♠2, ♦9, ♣4, ♥A, ♥4 | pair
♠2, ♦9, ♣4, ♥4, ♥J | pair
♠2, ♦9, ♣4, ♥4, ♠7 | pair
♠2, ♠7, ♥J, ♦K, ♥J | pair
♠2, ♠7, ♥J, ♦K, ♠7 | pair
♠2, ♠7, ♥J, ♣4, ♥4 | pair
♠2, ♠7, ♥J, ♣4, ♥J | pair
♠2, ♠7, ♥J, ♣4, ♠7 | pair
♠2, ♠7, ♥J, ♦8, ♥J | pair
♠2, ♠7, ♥J, ♦8, ♠7 | pair
♠2, ♠7, ♥J, ♥A, ♥J | pair
♠2, ♠7, ♥J, ♥A, ♠7 | pair
♠2, ♠7, ♥J, ♥4, ♥J | pair
♠2, ♠7, ♥J, ♥4, ♠7 | pair
♠2, ♠7, ♥J, ♥J, ♠7 | two pairs
♠2, ♠7, ♦K, ♣4, ♥4 | pair
♠2, ♠7, ♦K, ♣4, ♠7 | pair
♠2, ♠7, ♦K, ♦8, ♠7 | pair
♠2, ♠7, ♦K, ♥A, ♠7 | pair
♠2, ♠7, ♦K, ♥4, ♠7 | pair
♠2, ♠7, ♦K, ♥J, ♠7 | pair
♠2, ♠7, ♣4, ♦8, ♥4 | pair
♠2, ♠7, ♣4, ♦8, ♠7 | pair
♠2, ♠7, ♣4, ♥A, ♥4 | pair
♠2, ♠7, ♣4, ♥A, ♠7 | pair
♠2, ♠7, ♣4, ♥4, ♥J | pair
♠2, ♠7, ♣4, ♥4, ♠7 | two pairs
♠2, ♠7, ♣4, ♥J, ♠7 | pair
♠2, ♠7, ♦8, ♥A, ♠7 | pair
♠2, ♠7, ♦8, ♥4, ♠7 | pair
♠2, ♠7, ♦8, ♥J, ♠7 | pair
♠2, ♠7, ♥A, ♥4, ♠7 | pair
♠2, ♠7, ♥A, ♥J, ♠7 | pair
♠2, ♠7, ♥4, ♥J, ♠7 | pair
♠2, ♥J, ♦K, ♣4, ♥4 | pair
♠2, ♥J, ♦K, ♣4, ♥J | pair
♠2, ♥J, ♦K, ♦8, ♥J | pair
♠2, ♥J, ♦K, ♥A, ♥J | pair
♠2, ♥J, ♦K, ♥4, ♥J | pair
♠2, ♥J, ♦K, ♥J, ♠7 | pair
♠2, ♥J, ♣4, ♦8, ♥4 | pair
♠2, ♥J, ♣4, ♦8, ♥J | pair
♠2, ♥J, ♣4, ♥A, ♥4 | pair
♠2, ♥J, ♣4, ♥A, ♥J | pair
♠2, ♥J, ♣4, ♥4, ♥J | two pairs
♠2, ♥J, ♣4, ♥4, ♠7 | pair
♠2, ♥J, ♣4, ♥J, ♠7 | pair
♠2, ♥J, ♦8, ♥A, ♥J | pair
♠2, ♥J, ♦8, ♥4, ♥J | pair
♠2, ♥J, ♦8, ♥J, ♠7 | pair
♠2, ♥J, ♥A, ♥4, ♥J | pair
♠2, ♥J, ♥A, ♥J, ♠7 | pair
♠2, ♥J, ♥4, ♥J, ♠7 | pair
♠2, ♦K, ♣4, ♦8, ♥4 | pair
♠2, ♦K, ♣4, ♥A, ♥4 | pair
♠2, ♦K, ♣4, ♥4, ♥J | pair
♠2, ♦K, ♣4, ♥4, ♠7 | pair
♠2, ♣4, ♦8, ♥A, ♥4 | pair
♠2, ♣4, ♦8, ♥4, ♥J | pair
♠2, ♣4, ♦8, ♥4, ♠7 | pair
♠2, ♣4, ♥A, ♥4, ♥J | pair
♠2, ♣4, ♥A, ♥4, ♠7 | pair
♠2, ♣4, ♥4, ♥J, ♠7 | pair
♥10, ♦9, ♠7, ♥J, ♦8 | straight
♥10, ♦9, ♠7, ♥J, ♥J | pair
♥10, ♦9, ♠7, ♥J, ♠7 | pair
♥10, ♦9, ♠7, ♦K, ♠7 | pair
♥10, ♦9, ♠7, ♣4, ♥4 | pair
♥10, ♦9, ♠7, ♣4, ♠7 | pair
♥10, ♦9, ♠7, ♦8, ♥J | straight
♥10, ♦9, ♠7, ♦8, ♠7 | pair
♥10, ♦9, ♠7, ♥A, ♠7 | pair
♥10, ♦9, ♠7, ♥4, ♠7 | pair
♥10, ♦9, ♠7, ♥J, ♠7 | pair
♥10, ♦9, ♥J, ♦K, ♥J | pair
♥10, ♦9, ♥J, ♣4, ♥4 | pair
♥10, ♦9, ♥J, ♣4, ♥J | pair
♥10, ♦9, ♥J, ♦8, ♥J | pair
♥10, ♦9, ♥J, ♦8, ♠7 | straight
♥10, ♦9, ♥J, ♥A, ♥J | pair
♥10, ♦9, ♥J, ♥4, ♥J | pair
♥10, ♦9, ♥J, ♥J, ♠7 | pair
♥10, ♦9, ♦K, ♣4, ♥4 | pair
♥10, ♦9, ♣4, ♦8, ♥4 | pair
♥10, ♦9, ♣4, ♥A, ♥4 | pair
♥10, ♦9, ♣4, ♥4, ♥J | pair
♥10, ♦9, ♣4, ♥4, ♠7 | pair
♥10, ♦9, ♦8, ♥J, ♠7 | straight
♥10, ♠7, ♥J, ♦K, ♥J | pair
♥10, ♠7, ♥J, ♦K, ♠7 | pair
♥10, ♠7, ♥J, ♣4, ♥4 | pair
♥10, ♠7, ♥J, ♣4, ♥J | pair
♥10, ♠7, ♥J, ♣4, ♠7 | pair
♥10, ♠7, ♥J, ♦8, ♥J | pair
♥10, ♠7, ♥J, ♦8, ♠7 | pair
♥10, ♠7, ♥J, ♥A, ♥J | pair
♥10, ♠7, ♥J, ♥A, ♠7 | pair
♥10, ♠7, ♥J, ♥4, ♥J | pair
♥10, ♠7, ♥J, ♥4, ♠7 | pair
♥10, ♠7, ♥J, ♥J, ♠7 | two pairs
♥10, ♠7, ♦K, ♣4, ♥4 | pair
♥10, ♠7, ♦K, ♣4, ♠7 | pair
♥10, ♠7, ♦K, ♦8, ♠7 | pair
♥10, ♠7, ♦K, ♥A, ♠7 | pair
♥10, ♠7, ♦K, ♥4, ♠7 | pair
♥10, ♠7, ♦K, ♥J, ♠7 | pair
♥10, ♠7, ♣4, ♦8, ♥4 | pair
♥10, ♠7, ♣4, ♦8, ♠7 | pair
♥10, ♠7, ♣4, ♥A, ♥4 | pair
♥10, ♠7, ♣4, ♥A, ♠7 | pair
♥10, ♠7, ♣4, ♥4, ♥J | pair
♥10, ♠7, ♣4, ♥4, ♠7 | two pairs
♥10, ♠7, ♣4, ♥J, ♠7 | pair
♥10, ♠7, ♦8, ♥A, ♠7 | pair
♥10, ♠7, ♦8, ♥4, ♠7 | pair
♥10, ♠7, ♦8, ♥J, ♠7 | pair
♥10, ♠7, ♥A, ♥4, ♠7 | pair
♥10, ♠7, ♥A, ♥J, ♠7 | pair
♥10, ♠7, ♥4, ♥J, ♠7 | pair
♥10, ♥J, ♦K, ♣4, ♥4 | pair
♥10, ♥J, ♦K, ♣4, ♥J | pair
♥10, ♥J, ♦K, ♦8, ♥J | pair
♥10, ♥J, ♦K, ♥A, ♥J | pair
♥10, ♥J, ♦K, ♥4, ♥J | pair
♥10, ♥J, ♦K, ♥J, ♠7 | pair
♥10, ♥J, ♣4, ♦8, ♥4 | pair
♥10, ♥J, ♣4, ♦8, ♥J | pair
♥10, ♥J, ♣4, ♥A, ♥4 | pair
♥10, ♥J, ♣4, ♥A, ♥J | pair
♥10, ♥J, ♣4, ♥4, ♥J | two pairs
♥10, ♥J, ♣4, ♥4, ♠7 | pair
♥10, ♥J, ♣4, ♥J, ♠7 | pair
♥10, ♥J, ♦8, ♥A, ♥J | pair
♥10, ♥J, ♦8, ♥4, ♥J | pair
♥10, ♥J, ♦8, ♥J, ♠7 | pair
♥10, ♥J, ♥A, ♥4, ♥J | flush
♥10, ♥J, ♥A, ♥J, ♠7 | pair
♥10, ♥J, ♥4, ♥J, ♠7 | pair
♥10, ♦K, ♣4, ♦8, ♥4 | pair
♥10, ♦K, ♣4, ♥A, ♥4 | pair
♥10, ♦K, ♣4, ♥4, ♥J | pair
♥10, ♦K, ♣4, ♥4, ♠7 | pair
♥10, ♣4, ♦8, ♥A, ♥4 | pair
♥10, ♣4, ♦8, ♥4, ♥J | pair
♥10, ♣4, ♦8, ♥4, ♠7 | pair
♥10, ♣4, ♥A, ♥4, ♥J | pair
♥10, ♣4, ♥A, ♥4, ♠7 | pair
♥10, ♣4, ♥4, ♥J, ♠7 | pair
♦9, ♠7, ♥J, ♦K, ♥J | pair
♦9, ♠7, ♥J, ♦K, ♠7 | pair
♦9, ♠7, ♥J, ♣4, ♥4 | pair
♦9, ♠7, ♥J, ♣4, ♥J | pair
♦9, ♠7, ♥J, ♣4, ♠7 | pair
♦9, ♠7, ♥J, ♦8, ♥J | pair
♦9, ♠7, ♥J, ♦8, ♠7 | pair
♦9, ♠7, ♥J, ♥A, ♥J | pair
♦9, ♠7, ♥J, ♥A, ♠7 | pair
♦9, ♠7, ♥J, ♥4, ♥J | pair
♦9, ♠7, ♥J, ♥4, ♠7 | pair
♦9, ♠7, ♥J, ♥J, ♠7 | two pairs
♦9, ♠7, ♦K, ♣4, ♥4 | pair
♦9, ♠7, ♦K, ♣4, ♠7 | pair
♦9, ♠7, ♦K, ♦8, ♠7 | pair
♦9, ♠7, ♦K, ♥A, ♠7 | pair
♦9, ♠7, ♦K, ♥4, ♠7 | pair
♦9, ♠7, ♦K, ♥J, ♠7 | pair
♦9, ♠7, ♣4, ♦8, ♥4 | pair
♦9, ♠7, ♣4, ♦8, ♠7 | pair
♦9, ♠7, ♣4, ♥A, ♥4 | pair
♦9, ♠7, ♣4, ♥A, ♠7 | pair
♦9, ♠7, ♣4, ♥4, ♥J | pair
♦9, ♠7, ♣4, ♥4, ♠7 | two pairs
♦9, ♠7, ♣4, ♥J, ♠7 | pair
♦9, ♠7, ♦8, ♥A, ♠7 | pair
♦9, ♠7, ♦8, ♥4, ♠7 | pair
♦9, ♠7, ♦8, ♥J, ♠7 | pair
♦9, ♠7, ♥A, ♥4, ♠7 | pair
♦9, ♠7, ♥A, ♥J, ♠7 | pair
♦9, ♠7, ♥4, ♥J, ♠7 | pair
♦9, ♥J, ♦K, ♣4, ♥4 | pair
♦9, ♥J, ♦K, ♣4, ♥J | pair
♦9, ♥J, ♦K, ♦8, ♥J | pair
♦9, ♥J, ♦K, ♥A, ♥J | pair
♦9, ♥J, ♦K, ♥4, ♥J | pair
♦9, ♥J, ♦K, ♥J, ♠7 | pair
♦9, ♥J, ♣4, ♦8, ♥4 | pair
