♣J, ♣9, ♦2, ♣9, ♠6 | pair
♣9, ♦2, ♣9, ♣Q, ♥6 | pair
♣9, ♦2, ♣9, ♥6, ♥6 | two pairs
♣9, ♦2, ♠6, ♠3, ♦2 | pair
♣9, ♦2, ♠6, ♠3, ♥6 | pair
♣9, ♦2, ♠6, ♠3, ♥6 | pair
♣9, ♦2, ♠6, ♣4, ♦2 | pair
♣9, ♦2, ♠6, ♣4, ♥6 | pair
♣9, ♦2, ♠6, ♣4, ♥6 | pair
♣9, ♦2, ♠6, ♦2, ♣Q | pair
♣9, ♦2, ♠6, ♦2, ♥6 | two pairs
♣9, ♦2, ♠6, ♦2, ♥6 | two pairs
♣9, ♦2, ♠6, ♣Q, ♥6 | pair
♣9, ♦2, ♠6, ♣Q, ♥6 | pair
♣9, ♦2, ♠6, ♥6, ♥6 | three of a kind
♣9, ♦2, ♠3, ♣4, ♦2 | pair
♣9, ♦2, ♠3, ♦2, ♣Q | pair
♣9, ♦2, ♠3, ♦2, ♥6 | pair
♣9, ♦2, ♠3, ♦2, ♥6 | pair
♣9, ♦2, ♠3, ♥6, ♥6 | pair
♣9, ♦2, ♣4, ♦2, ♣Q | pair
♣9, ♦2, ♣4, ♦2, ♥6 | pair
♣9, ♦2, ♣4, ♦2, ♥6 | pair
♣9, ♦2, ♣4, ♥6, ♥6 | pair
♣9, ♦2, ♦2, ♣Q, ♥6 | pair
♣9, ♦2, ♦2, ♣Q, ♥6 | pair
♣9, ♦2, ♦2, ♥6, ♥6 | two pairs
♣9, ♦2, ♣Q, ♥6, ♥6 | pair
♣9, ♣9, ♠6, ♠3, ♣4 | pair
♣9, ♣9, ♠6, ♠3, ♦2 | pair
♣9, ♣9, ♠6, ♠3, ♣Q | pair
♣9, ♣9, ♠6, ♠3, ♥6 | two pairs
♣9, ♣9, ♠6, ♠3, ♥6 | two pairs
♣9, ♣9, ♠6, ♣4, ♦2 | pair
♣9, ♣9, ♠6, ♣4, ♣Q | pair
♣9, ♣9, ♠6, ♣4, ♥6 | two pairs
♣9, ♣9, ♠6, ♣4, ♥6 | two pairs
♣9, ♣9, ♠6, ♦2, ♣Q | pair
♣9, ♣9, ♠6, ♦2, ♥6 | two pairs
♣9, ♣9, ♠6, ♦2, ♥6 | two pairs
♣9, ♣9, ♠6, ♣Q, ♥6 | two pairs
♣9, ♣9, ♠6, ♣Q, ♥6 | two pairs
♣9, ♣9, ♠6, ♥6, ♥6 | fullhouse
♣9, ♣9, ♠3, ♣4, ♦2 | pair
♣9, ♣9, ♠3, ♣4, ♣Q | pair
♣9, ♣9, ♠3, ♣4, ♥6 | pair
♣9, ♣9, ♠3, ♣4, ♥6 | pair
♣9, ♣9, ♠3, ♦2, ♣Q | pair
♣9, ♣9, ♠3, ♦2, ♥6 | pair
♣9, ♣9, ♠3, ♦2, ♥6 | pair
♣9, ♣9, ♠3, ♣Q, ♥6 | pair
♣9, ♣9, ♠3, ♣Q, ♥6 | pair
♣9, ♣9, ♠3, ♥6, ♥6 | two pairs
♣9, ♣9, ♣4, ♦2, ♣Q | pair
♣9, ♣9, ♣4, ♦2, ♥6 | pair
♣9, ♣9, ♣4, ♦2, ♥6 | pair
♣9, ♣9, ♣4, ♣Q, ♥6 | pair
♣9, ♣9, ♣4, ♣Q, ♥6 | pair
♣9, ♣9, ♣4, ♥6, ♥6 | two pairs
♣9, ♣9, ♦2, ♣Q, ♥6 | pair
♣9, ♣9, ♦2, ♣Q, ♥6 | pair
♣9, ♣9, ♦2, ♥6, ♥6 | two pairs
♣9, ♣9, ♣Q, ♥6, ♥6 | two pairs
♣9, ♠6, ♠3, ♣4, ♥6 | pair
♣9, ♠6, ♠3, ♣4, ♥6 | pair
♣9, ♠6, ♠3, ♦2, ♥6 | pair
♣9, ♠6, ♠3, ♦2, ♥6 | pair
♣9, ♠6, ♠3, ♣Q, ♥6 | pair
♣9, ♠6, ♠3, ♣Q, ♥6 | pair
♣9, ♠6, ♠3, ♥6, ♥6 | three of a kind
♣9, ♠6, ♣4, ♦2, ♥6 | pair
♣9, ♠6, ♣4, ♦2, ♥6 | pair
♣9, ♠6, ♣4, ♣Q, ♥6 | pair
♣9, ♠6, ♣4, ♣Q, ♥6 | pair
♣9, ♠6, ♣4, ♥6, ♥6 | three of a kind
♣9, ♠6, ♦2, ♣Q, ♥6 | pair
♣9, ♠6, ♦2, ♣Q, ♥6 | pair
♣9, ♠6, ♦2, ♥6, ♥6 | three of a kind
♣9, ♠6, ♣Q, ♥6, ♥6 | three of a kind
♣9, ♠3, ♣4, ♥6, ♥6 | pair
♣9, ♠3, ♦2, ♥6, ♥6 | pair
♣9, ♠3, ♣Q, ♥6, ♥6 | pair
♣9, ♣4, ♦2, ♥6, ♥6 | pair
♣9, ♣4, ♣Q, ♥6, ♥6 | pair
♣9, ♦2, ♣Q, ♥6, ♥6 | pair
♦2, ♣9, ♠6, ♠3, ♦2 | pair
♦2, ♣9, ♠6, ♠3, ♥6 | pair
♦2, ♣9, ♠6, ♠3, ♥6 | pair
♦2, ♣9, ♠6, ♣4, ♦2 | pair
♦2, ♣9, ♠6, ♣4, ♥6 | pair
♦2, ♣9, ♠6, ♣4, ♥6 | pair
♦2, ♣9, ♠6, ♦2, ♣Q | pair
♦2, ♣9, ♠6, ♦2, ♥6 | two pairs
♦2, ♣9, ♠6, ♦2, ♥6 | two pairs
♦2, ♣9, ♠6, ♣Q, ♥6 | pair
♦2, ♣9, ♠6, ♣Q, ♥6 | pair
♦2, ♣9, ♠6, ♥6, ♥6 | three of a kind
♦2, ♣9, ♠3, ♣4, ♦2 | pair
♦2, ♣9, ♠3, ♦2, ♣Q | pair
♦2, ♣9, ♠3, ♦2, ♥6 | pair
♦2, ♣9, ♠3, ♦2, ♥6 | pair
♦2, ♣9, ♠3, ♥6, ♥6 | pair
♦2, ♣9, ♣4, ♦2, ♣Q | pair
♦2, ♣9, ♣4, ♦2, ♥6 | pair
♦2, ♣9, ♣4, ♦2, ♥6 | pair
♦2, ♣9, ♣4, ♥6, ♥6 | pair
♦2, ♣9, ♦2, ♣Q, ♥6 | pair
♦2, ♣9, ♦2, ♣Q, ♥6 | pair
♦2, ♣9, ♦2, ♥6, ♥6 | two pairs
♦2, ♣9, ♣Q, ♥6, ♥6 | pair
♦2, ♠6, ♠3, ♣4, ♦2 | pair
♦2, ♠6, ♠3, ♣4, ♥6 | pair
♦2, ♠6, ♠3, ♣4, ♥6 | pair
♦2, ♠6, ♠3, ♦2, ♣Q | pair
♦2, ♠6, ♠3, ♦2, ♥6 | two pairs
♦2, ♠6, ♠3, ♦2, ♥6 | two pairs
♦2, ♠6, ♠3, ♣Q, ♥6 | pair
♦2, ♠6, ♠3, ♣Q, ♥6 | pair
♦2, ♠6, ♠3, ♥6, ♥6 | three of a kind
♦2, ♠6, ♣4, ♦2, ♣Q | pair
♦2, ♠6, ♣4, ♦2, ♥6 | two pairs
♦2, ♠6, ♣4, ♦2, ♥6 | two pairs
♦2, ♠6, ♣4, ♣Q, ♥6 | pair
♦2, ♠6, ♣4, ♣Q, ♥6 | pair
♦2, ♠6, ♣4, ♥6, ♥6 | three of a kind
♦2, ♠6, ♦2, ♣Q, ♥6 | two pairs
♦2, ♠6, ♦2, ♣Q, ♥6 | two pairs
♦2, ♠6, ♦2, ♥6, ♥6 | fullhouse
♦2, ♠6, ♣Q, ♥6, ♥6 | three of a kind
♦2, ♠3, ♣4, ♦2, ♣Q | pair
♦2, ♠3, ♣4, ♦2, ♥6 | pair
♦2, ♠3, ♣4, ♦2, ♥6 | pair
♦2, ♠3, ♣4, ♥6, ♥6 | pair
♦2, ♠3, ♦2, ♣Q, ♥6 | pair
♦2, ♠3, ♦2, ♣Q, ♥6 | pair
♦2, ♠3, ♦2, ♥6, ♥6 | two pairs
♦2, ♠3, ♣Q, ♥6, ♥6 | pair
♦2, ♣4, ♦2, ♣Q, ♥6 | pair
♦2, ♣4, ♦2, ♣Q, ♥6 | pair
♦2, ♣4, ♦2, ♥6, ♥6 | two pairs
♦2, ♣4, ♣Q, ♥6, ♥6 | pair
♦2, ♦2, ♣Q, ♥6, ♥6 | two pairs
♣9, ♠6, ♠3, ♣4, ♥6 | pair
♣9, ♠6, ♠3, ♣4, ♥6 | pair
♣9, ♠6, ♠3, ♦2, ♥6 | pair
♣9, ♠6, ♠3, ♦2, ♥6 | pair
♣9, ♠6, ♠3, ♣Q, ♥6 | pair
♣9, ♠6, ♠3, ♣Q, ♥6 | pair
♣9, ♠6, ♠3, ♥6, ♥6 | three of a kind
♣9, ♠6, ♣4, ♦2, ♥6 | pair
♣9, ♠6, ♣4, ♦2, ♥6 | pair
♣9, ♠6, ♣4, ♣Q, ♥6 | pair
♣9, ♠6, ♣4, ♣Q, ♥6 | pair
♣9, ♠6, ♣4, ♥6, ♥6 | three of a kind
♣9, ♠6, ♦2, ♣Q, ♥6 | pair
♣9, ♠6, ♦2, ♣Q, ♥6 | pair
♣9, ♠6, ♦2, ♥6, ♥6 | three of a kind
♣9, ♠6, ♣Q, ♥6, ♥6 | three of a kind
♣9, ♠3, ♣4, ♥6, ♥6 | pair
♣9, ♠3, ♦2, ♥6, ♥6 | pair
♣9, ♠3, ♣Q, ♥6, ♥6 | pair
♣9, ♣4, ♦2, ♥6, ♥6 | pair
♣9, ♣4, ♣Q, ♥6, ♥6 | pair
♣9, ♦2, ♣Q, ♥6, ♥6 | pair
♠6, ♠3, ♣4, ♦2, ♥6 | pair
♠6, ♠3, ♣4, ♦2, ♥6 | pair
♠6, ♠3, ♣4, ♣Q, ♥6 | pair
♠6, ♠3, ♣4, ♣Q, ♥6 | pair
♠6, ♠3, ♣4, ♥6, ♥6 | three of a kind
♠6, ♠3, ♦2, ♣Q, ♥6 | pair
♠6, ♠3, ♦2, ♣Q, ♥6 | pair
♠6, ♠3, ♦2, ♥6, ♥6 | three of a kind
♠6, ♠3, ♣Q, ♥6, ♥6 | three of a kind
♠6, ♣4, ♦2, ♣Q, ♥6 | pair
♠6, ♣4, ♦2, ♣Q, ♥6 | pair
♠6, ♣4, ♦2, ♥6, ♥6 | three of a kind
♠6, ♣4, ♣Q, ♥6, ♥6 | three of a kind
♠6, ♦2, ♣Q, ♥6, ♥6 | three of a kind
♠3, ♣4, ♦2, ♥6, ♥6 | pair
♠3, ♣4, ♣Q, ♥6, ♥6 | pair
♠3, ♦2, ♣Q, ♥6, ♥6 | pair
♣4, ♦2, ♣Q, ♥6, ♥6 | pair
