♥2, ♥7, ♣9, ♥8, ♠2 | pair
♥2, ♥7, ♥8, ♥4, ♦4 | pair
♥2, ♥7, ♥8, ♥4, ♠4 | pair
♥2, ♥7, ♥8, ♣A, ♣A | pair
♥2, ♥7, ♥8, ♦4, ♠4 | pair
♥2, ♥7, ♣J, ♥4, ♠2 | pair
♥2, ♥7, ♣J, ♥4, ♥7 | pair
♥2, ♥7, ♣J, ♥4, ♥4 | pair
♥2, ♥7, ♣J, ♥4, ♦4 | pair
♥2, ♥7, ♣J, ♥4, ♠4 | pair
♥2, ♥7, ♣J, ♠2, ♠5 | pair
♥2, ♥7, ♣J, ♠2, ♥10 | pair
♥2, ♥7, ♣J, ♠2, ♥7 | two pairs
♥2, ♥7, ♣J, ♠2, ♥4 | pair
♥2, ♥7, ♣J, ♠2, ♣A | pair
♥2, ♥7, ♣J, ♠2, ♠K | pair
♥2, ♥7, ♣J, ♠2, ♣A | pair
♥2, ♥7, ♣J, ♠2, ♦4 | pair
♥2, ♥7, ♣J, ♠2, ♠4 | pair
♥2, ♥7, ♣J, ♠5, ♥7 | pair
♥2, ♥7, ♣J, ♥10, ♥7 | pair
♥2, ♥7, ♣J, ♥7, ♥4 | pair
♥2, ♥7, ♣J, ♥7, ♣A | pair
♥2, ♥7, ♣J, ♥7, ♠K | pair
♥2, ♥7, ♣J, ♥7, ♣A | pair
♥2, ♥7, ♣J, ♥7, ♦4 | pair
♥2, ♥7, ♣J, ♥7, ♠4 | pair
♥2, ♥7, ♣J, ♥4, ♦4 | pair
♥2, ♥7, ♣J, ♥4, ♠4 | pair
♥2, ♥7, ♣J, ♣A, ♣A | pair
♥2, ♥7, ♣J, ♦4, ♠4 | pair
♥2, ♥7, ♥4, ♠2, ♠5 | pair
♥2, ♥7, ♥4, ♠2, ♥10 | pair
♥2, ♥7, ♥4, ♠2, ♥7 | two pairs
♥2, ♥7, ♥4, ♠2, ♥4 | two pairs
♥2, ♥7, ♥4, ♠2, ♣A | pair
♥2, ♥7, ♥4, ♠2, ♠K | pair
♥2, ♥7, ♥4, ♠2, ♣A | pair
♥2, ♥7, ♥4, ♠2, ♦4 | two pairs
♥2, ♥7, ♥4, ♠2, ♠4 | two pairs
♥2, ♥7, ♥4, ♠5, ♥7 | pair
♥2, ♥7, ♥4, ♠5, ♥4 | pair
♥2, ♥7, ♥4, ♠5, ♦4 | pair
♥2, ♥7, ♥4, ♠5, ♠4 | pair
♥2, ♥7, ♥4, ♥10, ♥7 | flush
♥2, ♥7, ♥4, ♥10, ♥4 | flush
♥2, ♥7, ♥4, ♥10, ♦4 | pair
♥2, ♥7, ♥4, ♥10, ♠4 | pair
♥2, ♥7, ♥4, ♥7, ♥4 | flush
♥2, ♥7, ♥4, ♥7, ♣A | pair
♥2, ♥7, ♥4, ♥7, ♠K | pair
♥2, ♥7, ♥4, ♥7, ♣A | pair
♥2, ♥7, ♥4, ♥7, ♦4 | two pairs
♥2, ♥7, ♥4, ♥7, ♠4 | two pairs
♥2, ♥7, ♥4, ♥4, ♣A | pair
♥2, ♥7, ♥4, ♥4, ♠K | pair
♥2, ♥7, ♥4, ♥4, ♣A | pair
♥2, ♥7, ♥4, ♥4, ♦4 | three of a kind
♥2, ♥7, ♥4, ♥4, ♠4 | three of a kind
♥2, ♥7, ♥4, ♣A, ♣A | pair
♥2, ♥7, ♥4, ♣A, ♦4 | pair
♥2, ♥7, ♥4, ♣A, ♠4 | pair
♥2, ♥7, ♥4, ♠K, ♦4 | pair
♥2, ♥7, ♥4, ♠K, ♠4 | pair
♥2, ♥7, ♥4, ♣A, ♦4 | pair
♥2, ♥7, ♥4, ♣A, ♠4 | pair
♥2, ♥7, ♥4, ♦4, ♠4 | three of a kind
♥2, ♥7, ♠2, ♠5, ♥10 | pair
♥2, ♥7, ♠2, ♠5, ♥7 | two pairs
♥2, ♥7, ♠2, ♠5, ♥4 | pair
♥2, ♥7, ♠2, ♠5, ♣A | pair
♥2, ♥7, ♠2, ♠5, ♠K | pair
♥2, ♥7, ♠2, ♠5, ♣A | pair
♥2, ♥7, ♠2, ♠5, ♦4 | pair
♥2, ♥7, ♠2, ♠5, ♠4 | pair
♥2, ♥7, ♠2, ♥10, ♥7 | two pairs
♥2, ♥7, ♠2, ♥10, ♥4 | pair
♥2, ♥7, ♠2, ♥10, ♣A | pair
♥2, ♥7, ♠2, ♥10, ♠K | pair
♥2, ♥7, ♠2, ♥10, ♣A | pair
♥2, ♥7, ♠2, ♥10, ♦4 | pair
♥2, ♥7, ♠2, ♥10, ♠4 | pair
♥2, ♥7, ♠2, ♥7, ♥4 | two pairs
♥2, ♥7, ♠2, ♥7, ♣A | two pairs
♥2, ♥7, ♠2, ♥7, ♠K | two pairs
♥2, ♥7, ♠2, ♥7, ♣A | two pairs
♥2, ♥7, ♠2, ♥7, ♦4 | two pairs
♥2, ♥7, ♠2, ♥7, ♠4 | two pairs
♥2, ♥7, ♠2, ♥4, ♣A | pair
♥2, ♥7, ♠2, ♥4, ♠K | pair
♥2, ♥7, ♠2, ♥4, ♣A | pair
♥2, ♥7, ♠2, ♥4, ♦4 | two pairs
♥2, ♥7, ♠2, ♥4, ♠4 | two pairs
♥2, ♥7, ♠2, ♣A, ♠K | pair
♥2, ♥7, ♠2, ♣A, ♣A | two pairs
♥2, ♥7, ♠2, ♣A, ♦4 | pair
♥2, ♥7, ♠2, ♣A, ♠4 | pair
♥2, ♥7, ♠2, ♠K, ♣A | pair
♥2, ♥7, ♠2, ♠K, ♦4 | pair
♥2, ♥7, ♠2, ♠K, ♠4 | pair
♥2, ♥7, ♠2, ♣A, ♦4 | pair
♥2, ♥7, ♠2, ♣A, ♠4 | pair
♥2, ♥7, ♠2, ♦4, ♠4 | two pairs
♥2, ♥7, ♠5, ♥10, ♥7 | pair
♥2, ♥7, ♠5, ♥7, ♥4 | pair
♥2, ♥7, ♠5, ♥7, ♣A | pair
♥2, ♥7, ♠5, ♥7, ♠K | pair
♥2, ♥7, ♠5, ♥7, ♣A | pair
♥2, ♥7, ♠5, ♥7, ♦4 | pair
♥2, ♥7, ♠5, ♥7, ♠4 | pair
♥2, ♥7, ♠5, ♥4, ♦4 | pair
♥2, ♥7, ♠5, ♥4, ♠4 | pair
♥2, ♥7, ♠5, ♣A, ♣A | pair
♥2, ♥7, ♠5, ♦4, ♠4 | pair
♥2, ♥7, ♥10, ♥7, ♥4 | flush
♥2, ♥7, ♥10, ♥7, ♣A | pair
♥2, ♥7, ♥10, ♥7, ♠K | pair
♥2, ♥7, ♥10, ♥7, ♣A | pair
♥2, ♥7, ♥10, ♥7, ♦4 | pair
♥2, ♥7, ♥10, ♥7, ♠4 | pair
♥2, ♥7, ♥10, ♥4, ♦4 | pair
♥2, ♥7, ♥10, ♥4, ♠4 | pair
♥2, ♥7, ♥10, ♣A, ♣A | pair
♥2, ♥7, ♥10, ♦4, ♠4 | pair
♥2, ♥7, ♥7, ♥4, ♣A | pair
♥2, ♥7, ♥7, ♥4, ♠K | pair
♥2, ♥7, ♥7, ♥4, ♣A | pair
♥2, ♥7, ♥7, ♥4, ♦4 | two pairs
♥2, ♥7, ♥7, ♥4, ♠4 | two pairs
♥2, ♥7, ♥7, ♣A, ♠K | pair
♥2, ♥7, ♥7, ♣A, ♣A | two pairs
♥2, ♥7, ♥7, ♣A, ♦4 | pair
♥2, ♥7, ♥7, ♣A, ♠4 | pair
♥2, ♥7, ♥7, ♠K, ♣A | pair
♥2, ♥7, ♥7, ♠K, ♦4 | pair
♥2, ♥7, ♥7, ♠K, ♠4 | pair
♥2, ♥7, ♥7, ♣A, ♦4 | pair
♥2, ♥7, ♥7, ♣A, ♠4 | pair
♥2, ♥7, ♥7, ♦4, ♠4 | two pairs
♥2, ♥7, ♥4, ♣A, ♣A | pair
♥2, ♥7, ♥4, ♣A, ♦4 | pair
♥2, ♥7, ♥4, ♣A, ♠4 | pair
♥2, ♥7, ♥4, ♠K, ♦4 | pair
♥2, ♥7, ♥4, ♠K, ♠4 | pair
♥2, ♥7, ♥4, ♣A, ♦4 | pair
♥2, ♥7, ♥4, ♣A, ♠4 | pair
♥2, ♥7, ♥4, ♦4, ♠4 | three of a kind
♥2, ♥7, ♣A, ♠K, ♣A | pair
♥2, ♥7, ♣A, ♣A, ♦4 | pair
♥2, ♥7, ♣A, ♣A, ♠4 | pair
♥2, ♥7, ♣A, ♦4, ♠4 | pair
♥2, ♥7, ♠K, ♦4, ♠4 | pair
♥2, ♥7, ♣A, ♦4, ♠4 | pair
♥2, ♣9, ♥8, ♣J, ♠2 | pair
♥2, ♣9, ♥8, ♥4, ♠2 | pair
♥2, ♣9, ♥8, ♥4, ♥4 | pair
♥2, ♣9, ♥8, ♥4, ♦4 | pair
♥2, ♣9, ♥8, ♥4, ♠4 | pair
♥2, ♣9, ♥8, ♠2, ♠5 | pair
♥2, ♣9, ♥8, ♠2, ♥10 | pair
♥2, ♣9, ♥8, ♠2, ♥7 | pair
♥2, ♣9, ♥8, ♠2, ♥4 | pair
♥2, ♣9, ♥8, ♠2, ♣A | pair
♥2, ♣9, ♥8, ♠2, ♠K | pair
♥2, ♣9, ♥8, ♠2, ♣A | pair
♥2, ♣9, ♥8, ♠2, ♦4 | pair
♥2, ♣9, ♥8, ♠2, ♠4 | pair
♥2, ♣9, ♥8, ♥4, ♦4 | pair
♥2, ♣9, ♥8, ♥4, ♠4 | pair
♥2, ♣9, ♥8, ♣A, ♣A | pair
♥2, ♣9, ♥8, ♦4, ♠4 | pair
♥2, ♣9, ♣J, ♥4, ♠2 | pair
♥2, ♣9, ♣J, ♥4, ♥4 | pair
♥2, ♣9, ♣J, ♥4, ♦4 | pair
♥2, ♣9, ♣J, ♥4, ♠4 | pair
♥2, ♣9, ♣J, ♠2, ♠5 | pair
♥2, ♣9, ♣J, ♠2, ♥10 | pair
♥2, ♣9, ♣J, ♠2, ♥7 | pair
♥2, ♣9, ♣J, ♠2, ♥4 | pair
♥2, ♣9, ♣J, ♠2, ♣A | pair
♥2, ♣9, ♣J, ♠2, ♠K | pair
♥2, ♣9, ♣J, ♠2, ♣A | pair
♥2, ♣9, ♣J, ♠2, ♦4 | pair
♥2, ♣9, ♣J, ♠2, ♠4 | pair
♥2, ♣9, ♣J, ♥4, ♦4 | pair
♥2, ♣9, ♣J, ♥4, ♠4 | pair
♥2, ♣9, ♣J, ♣A, ♣A | pair
♥2, ♣9, ♣J, ♦4, ♠4 | pair
♥2, ♣9, ♥4, ♠2, ♠5 | pair
♥2, ♣9, ♥4, ♠2, ♥10 | pair
♥2, ♣9, ♥4, ♠2, ♥7 | pair
♥2, ♣9, ♥4, ♠2, ♥4 | two pairs
♥2, ♣9, ♥4, ♠2, ♣A | pair
♥2, ♣9, ♥4, ♠2, ♠K | pair
♥2, ♣9, ♥4, ♠2, ♣A | pair
♥2, ♣9, ♥4, ♠2, ♦4 | two pairs
♥2, ♣9, ♥4, ♠2, ♠4 | two pairs
♥2, ♣9, ♥4, ♠5, ♥4 | pair
♥2, ♣9, ♥4, ♠5, ♦4 | pair
♥2, ♣9, ♥4, ♠5, ♠4 | pair
♥2, ♣9, ♥4, ♥10, ♥4 | pair
♥2, ♣9, ♥4, ♥10, ♦4 | pair
♥2, ♣9, ♥4, ♥10, ♠4 | pair
♥2, ♣9, ♥4, ♥7, ♥4 | pair
♥2, ♣9, ♥4, ♥7, ♦4 | pair
♥2, ♣9, ♥4, ♥7, ♠4 | pair
♥2, ♣9, ♥4, ♥4, ♣A | pair
♥2, ♣9, ♥4, ♥4, ♠K | pair
♥2, ♣9, ♥4, ♥4, ♣A | pair
♥2, ♣9, ♥4, ♥4, ♦4 | three of a kind
♥2, ♣9, ♥4, ♥4, ♠4 | three of a kind
♥2, ♣9, ♥4, ♣A, ♣A | pair
♥2, ♣9, ♥4, ♣A, ♦4 | pair
♥2, ♣9, ♥4, ♣A, ♠4 | pair
♥2, ♣9, ♥4, ♠K, ♦4 | pair
♥2, ♣9, ♥4, ♠K, ♠4 | pair
♥2, ♣9, ♥4, ♣A, ♦4 | pair
♥2, ♣9, ♥4, ♣A, ♠4 | pair
♥2, ♣9, ♥4, ♦4, ♠4 | three of a kind
♥2, ♣9, ♠2, ♠5, ♥10 | pair
♥2, ♣9, ♠2, ♠5, ♥7 | pair
♥2, ♣9, ♠2, ♠5, ♥4 | pair
♥2, ♣9, ♠2, ♠5, ♣A | pair
♥2, ♣9, ♠2, ♠5, ♠K | pair
♥2, ♣9, ♠2, ♠5, ♣A | pair
♥2, ♣9, ♠2, ♠5, ♦4 | pair
♥2, ♣9, ♠2, ♠5, ♠4 | pair
♥2, ♣9, ♠2, ♥10, ♥7 | pair
♥2, ♣9, ♠2, ♥10, ♥4 | pair
♥2, ♣9, ♠2, ♥10, ♣A | pair
♥2, ♣9, ♠2, ♥10, ♠K | pair
♥2, ♣9, ♠2, ♥10, ♣A | pair
♥2, ♣9, ♠2, ♥10, ♦4 | pair
♥2, ♣9, ♠2, ♥10, ♠4 | pair
♥2, ♣9, ♠2, ♥7, ♥4 | pair
♥2, ♣9, ♠2, ♥7, ♣A | pair
♥2, ♣9, ♠2, ♥7, ♠K | pair
♥2, ♣9, ♠2, ♥7, ♣A | pair
♥2, ♣9, ♠2, ♥7, ♦4 | pair
♥2, ♣9, ♠2, ♥7, ♠4 | pair
♥2, ♣9, ♠2, ♥4, ♣A | pair
♥2, ♣9, ♠2, ♥4, ♠K | pair
♥2, ♣9, ♠2, ♥4, ♣A | pair
♥2, ♣9, ♠2, ♥4, ♦4 | two pairs
♥2, ♣9, ♠2, ♥4, ♠4 | two pairs
♥2, ♣9, ♠2, ♣A, ♠K | pair
♥2, ♣9, ♠2, ♣A, ♣A | two pairs
♥2, ♣9, ♠2, ♣A, ♦4 | pair
♥2, ♣9, ♠2, ♣A, ♠4 | pair
♥2, ♣9, ♠2, ♠K, ♣A | pair
♥2, ♣9, ♠2, ♠K, ♦4 | pair
♥2, ♣9, ♠2, ♠K, ♠4 | pair
♥2, ♣9, ♠2, ♣A, ♦4 | pair
♥2, ♣9, ♠2, ♣A, ♠4 | pair
♥2, ♣9, ♠2, ♦4, ♠4 | two pairs
♥2, ♣9, ♠5, ♥4, ♦4 | pair
♥2, ♣9, ♠5, ♥4, ♠4 | pair
♥2, ♣9, ♠5, ♣A, ♣A | pair
♥2, ♣9, ♠5, ♦4, ♠4 | pair
♥2, ♣9, ♥10, ♥4, ♦4 | pair
♥2, ♣9, ♥10, ♥4, ♠4 | pair
♥2, ♣9, ♥10, ♣A, ♣A | pair
♥2, ♣9, ♥10, ♦4, ♠4 | pair
♥2, ♣9, ♥7, ♥4, ♦4 | pair
♥2, ♣9, ♥7, ♥4, ♠4 | pair
♥2, ♣9, ♥7, ♣A, ♣A | pair
♥2, ♣9, ♥7, ♦4, ♠4 | pair
♥2, ♣9, ♥4, ♣A, ♣A | pair
♥2, ♣9, ♥4, ♣A, ♦4 | pair
♥2, ♣9, ♥4, ♣A, ♠4 | pair
♥2, ♣9, ♥4, ♠K, ♦4 | pair
♥2, ♣9, ♥4, ♠K, ♠4 | pair
♥2, ♣9, ♥4, ♣A, ♦4 | pair
♥2, ♣9, ♥4, ♣A, ♠4 | pair
♥2, ♣9, ♥4, ♦4, ♠4 | three of a kind
♥2, ♣9, ♣A, ♠K, ♣A | pair
♥2, ♣9, ♣A, ♣A, ♦4 | pair
♥2, ♣9, ♣A, ♣A, ♠4 | pair
♥2, ♣9, ♣A, ♦4, ♠4 | pair
♥2, ♣9, ♠K, ♦4, ♠4 | pair
♥2, ♣9, ♣A, ♦4, ♠4 | pair
♥2, ♥8, ♣J, ♥4, ♠2 | pair
♥2, ♥8, ♣J, ♥4, ♥4 | pair
♥2, ♥8, ♣J, ♥4, ♦4 | pair
♥2, ♥8, ♣J, ♥4, ♠4 | pair
♥2, ♥8, ♣J, ♠2, ♠5 | pair
♥2, ♥8, ♣J, ♠2, ♥10 | pair
♥2, ♥8, ♣J, ♠2, ♥7 | pair
♥2, ♥8, ♣J, ♠2, ♥4 | pair
♥2, ♥8, ♣J, ♠2, ♣A | pair
♥2, ♥8, ♣J, ♠2, ♠K | pair
♥2, ♥8, ♣J, ♠2, ♣A | pair
♥2, ♥8, ♣J, ♠2, ♦4 | pair
♥2, ♥8, ♣J, ♠2, ♠4 | pair
♥2, ♥8, ♣J, ♥4, ♦4 | pair
♥2, ♥8, ♣J, ♥4, ♠4 | pair
♥2, ♥8, ♣J, ♣A, ♣A | pair
♥2, ♥8, ♣J, ♦4, ♠4 | pair
♥2, ♥8, ♥4, ♠2, ♠5 | pair
♥2, ♥8, ♥4, ♠2, ♥10 | pair
♥2, ♥8, ♥4, ♠2, ♥7 | pair
♥2, ♥8, ♥4, ♠2, ♥4 | two pairs
♥2, ♥8, ♥4, ♠2, ♣A | pair
♥2, ♥8, ♥4, ♠2, ♠K | pair
♥2, ♥8, ♥4, ♠2, ♣A | pair
♥2, ♥8, ♥4, ♠2, ♦4 | two pairs
♥2, ♥8, ♥4, ♠2, ♠4 | two pairs
♥2, ♥8, ♥4, ♠5, ♥4 | pair
♥2, ♥8, ♥4, ♠5, ♦4 | pair
♥2, ♥8, ♥4, ♠5, ♠4 | pair
♥2, ♥8, ♥4, ♥10, ♥7 | flush
♥2, ♥8, ♥4, ♥10, ♥4 | flush
♥2, ♥8, ♥4, ♥10, ♦4 | pair
♥2, ♥8, ♥4, ♥10, ♠4 | pair
♥2, ♥8, ♥4, ♥7, ♥4 | flush
♥2, ♥8, ♥4, ♥7, ♦4 | pair
♥2, ♥8, ♥4, ♥7, ♠4 | pair
♥2, ♥8, ♥4, ♥4, ♣A | pair
♥2, ♥8, ♥4, ♥4, ♠K | pair
♥2, ♥8, ♥4, ♥4, ♣A | pair
♥2, ♥8, ♥4, ♥4, ♦4 | three of a kind
♥2, ♥8, ♥4, ♥4, ♠4 | three of a kind
♥2, ♥8, ♥4, ♣A, ♣A | pair
♥2, ♥8, ♥4, ♣A, ♦4 | pair
♥2, ♥8, ♥4, ♣A, ♠4 | pair
♥2, ♥8, ♥4, ♠K, ♦4 | pair
♥2, ♥8, ♥4, ♠K, ♠4 | pair
♥2, ♥8, ♥4, ♣A, ♦4 | pair
♥2, ♥8, ♥4, ♣A, ♠4 | pair
♥2, ♥8, ♥4, ♦4, ♠4 | three of a kind
♥2, ♥8, ♠2, ♠5, ♥10 | pair
♥2, ♥8, ♠2, ♠5, ♥7 | pair
♥2, ♥8, ♠2, ♠5, ♥4 | pair
♥2, ♥8, ♠2, ♠5, ♣A | pair
♥2, ♥8, ♠2, ♠5, ♠K | pair
♥2, ♥8, ♠2, ♠5, ♣A | pair
♥2, ♥8, ♠2, ♠5, ♦4 | pair
♥2, ♥8, ♠2, ♠5, ♠4 | pair
♥2, ♥8, ♠2, ♥10, ♥7 | pair
♥2, ♥8, ♠2, ♥10, ♥4 | pair
♥2, ♥8, ♠2, ♥10, ♣A | pair
♥2, ♥8, ♠2, ♥10, ♠K | pair
♥2, ♥8, ♠2, ♥10, ♣A | pair
♥2, ♥8, ♠2, ♥10, ♦4 | pair
♥2, ♥8, ♠2, ♥10, ♠4 | pair
♥2, ♥8, ♠2, ♥7, ♥4 | pair
♥2, ♥8, ♠2, ♥7, ♣A | pair
♥2, ♥8, ♠2, ♥7, ♠K | pair
♥2, ♥8, ♠2, ♥7, ♣A | pair
♥2, ♥8, ♠2, ♥7, ♦4 | pair
♥2, ♥8, ♠2, ♥7, ♠4 | pair
♥2, ♥8, ♠2, ♥4, ♣A | pair
♥2, ♥8, ♠2, ♥4, ♠K | pair
♥2, ♥8, ♠2, ♥4, ♣A | pair
♥2, ♥8, ♠2, ♥4, ♦4 | two pairs
♥2, ♥8, ♠2, ♥4, ♠4 | two pairs
♥2, ♥8, ♠2, ♣A, ♠K | pair
♥2, ♥8, ♠2, ♣A, ♣A | two pairs
♥2, ♥8, ♠2, ♣A, ♦4 | pair
♥2, ♥8, ♠2, ♣A, ♠4 | pair
♥2, ♥8, ♠2, ♠K, ♣A | pair
♥2, ♥8, ♠2, ♠K, ♦4 | pair
♥2, ♥8, ♠2, ♠K, ♠4 | pair
♥2, ♥8, ♠2, ♣A, ♦4 | pair
♥2, ♥8, ♠2, ♣A, ♠4 | pair
♥2, ♥8, ♠2, ♦4, ♠4 | two pairs
♥2, ♥8, ♠5, ♥4, ♦4 | pair
♥2, ♥8, ♠5, ♥4, ♠4 | pair
♥2, ♥8, ♠5, ♣A, ♣A | pair
♥2, ♥8, ♠5, ♦4, ♠4 | pair
♥2, ♥8, ♥10, ♥7, ♥4 | flush
♥2, ♥8, ♥10, ♥4, ♦4 | pair
♥2, ♥8, ♥10, ♥4, ♠4 | pair
♥2, ♥8, ♥10, ♣A, ♣A | pair
♥2, ♥8, ♥10, ♦4, ♠4 | pair
♥2, ♥8, ♥7, ♥4, ♦4 | pair
♥2, ♥8, ♥7, ♥4, ♠4 | pair
♥2, ♥8, ♥7, ♣A, ♣A | pair
♥2, ♥8, ♥7, ♦4, ♠4 | pair
♥2, ♥8, ♥4, ♣A, ♣A | pair
♥2, ♥8, ♥4, ♣A, ♦4 | pair
♥2, ♥8, ♥4, ♣A, ♠4 | pair
♥2, ♥8, ♥4, ♠K, ♦4 | pair
♥2, ♥8, ♥4, ♠K, ♠4 | pair
♥2, ♥8, ♥4, ♣A, ♦4 | pair
♥2, ♥8, ♥4, ♣A, ♠4 | pair
♥2, ♥8, ♥4, ♦4, ♠4 | three of a kind
♥2, ♥8, ♣A, ♠K, ♣A | pair
♥2, ♥8, ♣A, ♣A, ♦4 | pair
♥2, ♥8, ♣A, ♣A, ♠4 | pair
♥2, ♥8, ♣A, ♦4, ♠4 | pair
♥2, ♥8, ♠K, ♦4, ♠4 | pair
♥2, ♥8, ♣A, ♦4, ♠4 | pair
♥2, ♣J, ♥4, ♠2, ♠5 | pair
♥2, ♣J, ♥4, ♠2, ♥10 | pair
♥2, ♣J, ♥4, ♠2, ♥7 | pair
♥2, ♣J, ♥4, ♠2, ♥4 | two pairs
♥2, ♣J, ♥4, ♠2, ♣A | pair
♥2, ♣J, ♥4, ♠2, ♠K | pair
♥2, ♣J, ♥4, ♠2, ♣A | pair
♥2, ♣J, ♥4, ♠2, ♦4 | two pairs
♥2, ♣J, ♥4, ♠2, ♠4 | two pairs
♥2, ♣J, ♥4, ♠5, ♥4 | pair
♥2, ♣J, ♥4, ♠5, ♦4 | pair
♥2, ♣J, ♥4, ♠5, ♠4 | pair
♥2, ♣J, ♥4, ♥10, ♥4 | pair
♥2, ♣J, ♥4, ♥10, ♦4 | pair
♥2, ♣J, ♥4, ♥10, ♠4 | pair
♥2, ♣J, ♥4, ♥7, ♥4 | pair
♥2, ♣J, ♥4, ♥7, ♦4 | pair
♥2, ♣J, ♥4, ♥7, ♠4 | pair
♥2, ♣J, ♥4, ♥4, ♣A | pair
♥2, ♣J, ♥4, ♥4, ♠K | pair
♥2, ♣J, ♥4, ♥4, ♣A | pair
♥2, ♣J, ♥4, ♥4, ♦4 | three of a kind
♥2, ♣J, ♥4, ♥4, ♠4 | three of a kind
♥2, ♣J, ♥4, ♣A, ♣A | pair
♥2, ♣J, ♥4, ♣A, ♦4 | pair
♥2, ♣J, ♥4, ♣A, ♠4 | pair
♥2, ♣J, ♥4, ♠K, ♦4 | pair
♥2, ♣J, ♥4, ♠K, ♠4 | pair
♥2, ♣J, ♥4, ♣A, ♦4 | pair
♥2, ♣J, ♥4, ♣A, ♠4 | pair
♥2, ♣J, ♥4, ♦4, ♠4 | three of a kind
♥2, ♣J, ♠2, ♠5, ♥10 | pair
♥2, ♣J, ♠2, ♠5, ♥7 | pair
♥2, ♣J, ♠2, ♠5, ♥4 | pair
♥2, ♣J, ♠2, ♠5, ♣A | pair
♥2, ♣J, ♠2, ♠5, ♠K | pair
♥2, ♣J, ♠2, ♠5, ♣A | pair
♥2, ♣J, ♠2, ♠5, ♦4 | pair
♥2, ♣J, ♠2, ♠5, ♠4 | pair
♥2, ♣J, ♠2, ♥10, ♥7 | pair
♥2, ♣J, ♠2, ♥10, ♥4 | pair
♥2, ♣J, ♠2, ♥10, ♣A | pair
♥2, ♣J, ♠2, ♥10, ♠K | pair
♥2, ♣J, ♠2, ♥10, ♣A | pair
♥2, ♣J, ♠2, ♥10, ♦4 | pair
♥2, ♣J, ♠2, ♥10, ♠4 | pair
♥2, ♣J, ♠2, ♥7, ♥4 | pair
♥2, ♣J, ♠2, ♥7, ♣A | pair
♥2, ♣J, ♠2, ♥7, ♠K | pair
♥2, ♣J, ♠2, ♥7, ♣A | pair
♥2, ♣J, ♠2, ♥7, ♦4 | pair
