♣A, ♣9, ♦8, ♠7, ♥A | pair
♣A, ♦8, ♥A, ♣3, ♣9 | pair
♣A, ♦8, ♥A, ♣2, ♠8 | two pairs
♣A, ♦8, ♥A, ♣2, ♣9 | pair
♣A, ♦8, ♥A, ♠8, ♣9 | two pairs
♣A, ♦8, ♦5, ♠9, ♠8 | pair
♣A, ♦8, ♦5, ♠9, ♣9 | pair
♣A, ♦8, ♦5, ♣3, ♠8 | pair
♣A, ♦8, ♦5, ♣2, ♠8 | pair
♣A, ♦8, ♦5, ♠8, ♣9 | pair
♣A, ♦8, ♠9, ♣3, ♠8 | pair
♣A, ♦8, ♠9, ♣3, ♣9 | pair
♣A, ♦8, ♠9, ♣2, ♠8 | pair
♣A, ♦8, ♠9, ♣2, ♣9 | pair
♣A, ♦8, ♠9, ♠8, ♣9 | two pairs
♣A, ♦8, ♣3, ♣2, ♠8 | pair
♣A, ♦8, ♣3, ♠8, ♣9 | pair
♣A, ♦8, ♣2, ♠8, ♣9 | pair
♣A, ♠7, ♥A, ♦5, ♠9 | pair
♣A, ♠7, ♥A, ♦5, ♣3 | pair
♣A, ♠7, ♥A, ♦5, ♣2 | pair
♣A, ♠7, ♥A, ♦5, ♠8 | pair
♣A, ♠7, ♥A, ♦5, ♣9 | pair
♣A, ♠7, ♥A, ♠9, ♣3 | pair
♣A, ♠7, ♥A, ♠9, ♣2 | pair
♣A, ♠7, ♥A, ♠9, ♠8 | pair
♣A, ♠7, ♥A, ♠9, ♣9 | two pairs
♣A, ♠7, ♥A, ♣3, ♣2 | pair
♣A, ♠7, ♥A, ♣3, ♠8 | pair
♣A, ♠7, ♥A, ♣3, ♣9 | pair
♣A, ♠7, ♥A, ♣2, ♠8 | pair
♣A, ♠7, ♥A, ♣2, ♣9 | pair
♣A, ♠7, ♥A, ♠8, ♣9 | pair
♣A, ♠7, ♦5, ♠9, ♣9 | pair
♣A, ♠7, ♠9, ♣3, ♣9 | pair
♣A, ♠7, ♠9, ♣2, ♣9 | pair
♣A, ♠7, ♠9, ♠8, ♣9 | pair
♣A, ♥A, ♦5, ♠9, ♣3 | pair
♣A, ♥A, ♦5, ♠9, ♣2 | pair
♣A, ♥A, ♦5, ♠9, ♠8 | pair
♣A, ♥A, ♦5, ♠9, ♣9 | two pairs
♣A, ♥A, ♦5, ♣3, ♣2 | pair
♣A, ♥A, ♦5, ♣3, ♠8 | pair
♣A, ♥A, ♦5, ♣3, ♣9 | pair
♣A, ♥A, ♦5, ♣2, ♠8 | pair
♣A, ♥A, ♦5, ♣2, ♣9 | pair
♣A, ♥A, ♦5, ♠8, ♣9 | pair
♣A, ♥A, ♠9, ♣3, ♣2 | pair
♣A, ♥A, ♠9, ♣3, ♠8 | pair
♣A, ♥A, ♠9, ♣3, ♣9 | two pairs
♣A, ♥A, ♠9, ♣2, ♠8 | pair
♣A, ♥A, ♠9, ♣2, ♣9 | two pairs
♣A, ♥A, ♠9, ♠8, ♣9 | two pairs
♣A, ♥A, ♣3, ♣2, ♠8 | pair
♣A, ♥A, ♣3, ♣2, ♣9 | pair
♣A, ♥A, ♣3, ♠8, ♣9 | pair
♣A, ♥A, ♣2, ♠8, ♣9 | pair
♣A, ♦5, ♠9, ♣3, ♣9 | pair
♣A, ♦5, ♠9, ♣2, ♣9 | pair
♣A, ♦5, ♠9, ♠8, ♣9 | pair
♣A, ♠9, ♣3, ♣2, ♣9 | pair
♣A, ♠9, ♣3, ♠8, ♣9 | pair
♣A, ♠9, ♣2, ♠8, ♣9 | pair
♣9, ♦8, ♠7, ♥A, ♠9 | pair
♣9, ♦8, ♠7, ♥A, ♠8 | pair
♣9, ♦8, ♠7, ♥A, ♣9 | pair
♣9, ♦8, ♠7, ♦5, ♠9 | pair
♣9, ♦8, ♠7, ♦5, ♠8 | pair
♣9, ♦8, ♠7, ♦5, ♣9 | pair
♣9, ♦8, ♠7, ♠9, ♣3 | pair
♣9, ♦8, ♠7, ♠9, ♣2 | pair
♣9, ♦8, ♠7, ♠9, ♠8 | two pairs
♣9, ♦8, ♠7, ♠9, ♣9 | three of a kind
♣9, ♦8, ♠7, ♣3, ♠8 | pair
♣9, ♦8, ♠7, ♣3, ♣9 | pair
♣9, ♦8, ♠7, ♣2, ♠8 | pair
♣9, ♦8, ♠7, ♣2, ♣9 | pair
♣9, ♦8, ♠7, ♠8, ♣9 | two pairs
♣9, ♦8, ♥A, ♦5, ♠9 | pair
♣9, ♦8, ♥A, ♦5, ♠8 | pair
♣9, ♦8, ♥A, ♦5, ♣9 | pair
♣9, ♦8, ♥A, ♠9, ♣3 | pair
♣9, ♦8, ♥A, ♠9, ♣2 | pair
♣9, ♦8, ♥A, ♠9, ♠8 | two pairs
♣9, ♦8, ♥A, ♠9, ♣9 | three of a kind
♣9, ♦8, ♥A, ♣3, ♠8 | pair
♣9, ♦8, ♥A, ♣3, ♣9 | pair
♣9, ♦8, ♥A, ♣2, ♠8 | pair
♣9, ♦8, ♥A, ♣2, ♣9 | pair
♣9, ♦8, ♥A, ♠8, ♣9 | two pairs
♣9, ♦8, ♦5, ♠9, ♣3 | pair
♣9, ♦8, ♦5, ♠9, ♣2 | pair
♣9, ♦8, ♦5, ♠9, ♠8 | two pairs
♣9, ♦8, ♦5, ♠9, ♣9 | three of a kind
♣9, ♦8, ♦5, ♣3, ♠8 | pair
♣9, ♦8, ♦5, ♣3, ♣9 | pair
♣9, ♦8, ♦5, ♣2, ♠8 | pair
♣9, ♦8, ♦5, ♣2, ♣9 | pair
♣9, ♦8, ♦5, ♠8, ♣9 | two pairs
♣9, ♦8, ♠9, ♣3, ♣2 | pair
♣9, ♦8, ♠9, ♣3, ♠8 | two pairs
♣9, ♦8, ♠9, ♣3, ♣9 | three of a kind
♣9, ♦8, ♠9, ♣2, ♠8 | two pairs
♣9, ♦8, ♠9, ♣2, ♣9 | three of a kind
♣9, ♦8, ♠9, ♠8, ♣9 | fullhouse
♣9, ♦8, ♣3, ♣2, ♠8 | pair
♣9, ♦8, ♣3, ♣2, ♣9 | pair
♣9, ♦8, ♣3, ♠8, ♣9 | two pairs
♣9, ♦8, ♣2, ♠8, ♣9 | two pairs
♣9, ♠7, ♥A, ♦5, ♠9 | pair
♣9, ♠7, ♥A, ♦5, ♣9 | pair
♣9, ♠7, ♥A, ♠9, ♣3 | pair
♣9, ♠7, ♥A, ♠9, ♣2 | pair
♣9, ♠7, ♥A, ♠9, ♠8 | pair
♣9, ♠7, ♥A, ♠9, ♣9 | three of a kind
♣9, ♠7, ♥A, ♣3, ♣9 | pair
♣9, ♠7, ♥A, ♣2, ♣9 | pair
♣9, ♠7, ♥A, ♠8, ♣9 | pair
♣9, ♠7, ♦5, ♠9, ♣3 | pair
♣9, ♠7, ♦5, ♠9, ♣2 | pair
♣9, ♠7, ♦5, ♠9, ♠8 | pair
♣9, ♠7, ♦5, ♠9, ♣9 | three of a kind
♣9, ♠7, ♦5, ♣3, ♣9 | pair
♣9, ♠7, ♦5, ♣2, ♣9 | pair
♣9, ♠7, ♦5, ♠8, ♣9 | pair
♣9, ♠7, ♠9, ♣3, ♣2 | pair
♣9, ♠7, ♠9, ♣3, ♠8 | pair
♣9, ♠7, ♠9, ♣3, ♣9 | three of a kind
♣9, ♠7, ♠9, ♣2, ♠8 | pair
♣9, ♠7, ♠9, ♣2, ♣9 | three of a kind
♣9, ♠7, ♠9, ♠8, ♣9 | three of a kind
♣9, ♠7, ♣3, ♣2, ♣9 | pair
♣9, ♠7, ♣3, ♠8, ♣9 | pair
♣9, ♠7, ♣2, ♠8, ♣9 | pair
♣9, ♥A, ♦5, ♠9, ♣3 | pair
♣9, ♥A, ♦5, ♠9, ♣2 | pair
♣9, ♥A, ♦5, ♠9, ♠8 | pair
♣9, ♥A, ♦5, ♠9, ♣9 | three of a kind
♣9, ♥A, ♦5, ♣3, ♣9 | pair
♣9, ♥A, ♦5, ♣2, ♣9 | pair
♣9, ♥A, ♦5, ♠8, ♣9 | pair
♣9, ♥A, ♠9, ♣3, ♣2 | pair
♣9, ♥A, ♠9, ♣3, ♠8 | pair
♣9, ♥A, ♠9, ♣3, ♣9 | three of a kind
♣9, ♥A, ♠9, ♣2, ♠8 | pair
♣9, ♥A, ♠9, ♣2, ♣9 | three of a kind
♣9, ♥A, ♠9, ♠8, ♣9 | three of a kind
♣9, ♥A, ♣3, ♣2, ♣9 | pair
♣9, ♥A, ♣3, ♠8, ♣9 | pair
♣9, ♥A, ♣2, ♠8, ♣9 | pair
♣9, ♦5, ♠9, ♣3, ♣2 | pair
♣9, ♦5, ♠9, ♣3, ♠8 | pair
♣9, ♦5, ♠9, ♣3, ♣9 | three of a kind
♣9, ♦5, ♠9, ♣2, ♠8 | pair
♣9, ♦5, ♠9, ♣2, ♣9 | three of a kind
♣9, ♦5, ♠9, ♠8, ♣9 | three of a kind
♣9, ♦5, ♣3, ♣2, ♣9 | pair
♣9, ♦5, ♣3, ♠8, ♣9 | pair
♣9, ♦5, ♣2, ♠8, ♣9 | pair
♣9, ♠9, ♣3, ♣2, ♠8 | pair
♣9, ♠9, ♣3, ♣2, ♣9 | three of a kind
♣9, ♠9, ♣3, ♠8, ♣9 | three of a kind
♣9, ♠9, ♣2, ♠8, ♣9 | three of a kind
♣9, ♣3, ♣2, ♠8, ♣9 | pair
♦8, ♠7, ♥A, ♦5, ♠8 | pair
♦8, ♠7, ♥A, ♠9, ♠8 | pair
♦8, ♠7, ♥A, ♠9, ♣9 | pair
♦8, ♠7, ♥A, ♣3, ♠8 | pair
♦8, ♠7, ♥A, ♣2, ♠8 | pair
♦8, ♠7, ♥A, ♠8, ♣9 | pair
♦8, ♠7, ♦5, ♠9, ♠8 | pair
♦8, ♠7, ♦5, ♠9, ♣9 | pair
♦8, ♠7, ♦5, ♣3, ♠8 | pair
♦8, ♠7, ♦5, ♣2, ♠8 | pair
♦8, ♠7, ♦5, ♠8, ♣9 | pair
♦8, ♠7, ♠9, ♣3, ♠8 | pair
♦8, ♠7, ♠9, ♣3, ♣9 | pair
♦8, ♠7, ♠9, ♣2, ♠8 | pair
♦8, ♠7, ♠9, ♣2, ♣9 | pair
♦8, ♠7, ♠9, ♠8, ♣9 | two pairs
♦8, ♠7, ♣3, ♣2, ♠8 | pair
♦8, ♠7, ♣3, ♠8, ♣9 | pair
♦8, ♠7, ♣2, ♠8, ♣9 | pair
♦8, ♥A, ♦5, ♠9, ♠8 | pair
♦8, ♥A, ♦5, ♠9, ♣9 | pair
♦8, ♥A, ♦5, ♣3, ♠8 | pair
♦8, ♥A, ♦5, ♣2, ♠8 | pair
♦8, ♥A, ♦5, ♠8, ♣9 | pair
♦8, ♥A, ♠9, ♣3, ♠8 | pair
♦8, ♥A, ♠9, ♣3, ♣9 | pair
♦8, ♥A, ♠9, ♣2, ♠8 | pair
♦8, ♥A, ♠9, ♣2, ♣9 | pair
♦8, ♥A, ♠9, ♠8, ♣9 | two pairs
♦8, ♥A, ♣3, ♣2, ♠8 | pair
♦8, ♥A, ♣3, ♠8, ♣9 | pair
♦8, ♥A, ♣2, ♠8, ♣9 | pair
♦8, ♦5, ♠9, ♣3, ♠8 | pair
♦8, ♦5, ♠9, ♣3, ♣9 | pair
♦8, ♦5, ♠9, ♣2, ♠8 | pair
♦8, ♦5, ♠9, ♣2, ♣9 | pair
♦8, ♦5, ♠9, ♠8, ♣9 | two pairs
♦8, ♦5, ♣3, ♣2, ♠8 | pair
♦8, ♦5, ♣3, ♠8, ♣9 | pair
♦8, ♦5, ♣2, ♠8, ♣9 | pair
♦8, ♠9, ♣3, ♣2, ♠8 | pair
♦8, ♠9, ♣3, ♣2, ♣9 | pair
♦8, ♠9, ♣3, ♠8, ♣9 | two pairs
♦8, ♠9, ♣2, ♠8, ♣9 | two pairs
♦8, ♣3, ♣2, ♠8, ♣9 | pair
♠7, ♥A, ♦5, ♠9, ♣9 | pair
♠7, ♥A, ♠9, ♣3, ♣9 | pair
♠7, ♥A, ♠9, ♣2, ♣9 | pair
♠7, ♥A, ♠9, ♠8, ♣9 | pair
♠7, ♦5, ♠9, ♣3, ♣9 | pair
♠7, ♦5, ♠9, ♣2, ♣9 | pair
♠7, ♦5, ♠9, ♠8, ♣9 | pair
♠7, ♠9, ♣3, ♣2, ♣9 | pair
♠7, ♠9, ♣3, ♠8, ♣9 | pair
♠7, ♠9, ♣2, ♠8, ♣9 | pair
♥A, ♦5, ♠9, ♣3, ♣9 | pair
♥A, ♦5, ♠9, ♣2, ♣9 | pair
♥A, ♦5, ♠9, ♠8, ♣9 | pair
♥A, ♠9, ♣3, ♣2, ♣9 | pair
♥A, ♠9, ♣3, ♠8, ♣9 | pair
♥A, ♠9, ♣2, ♠8, ♣9 | pair
♦5, ♠9, ♣3, ♣2, ♣9 | pair
♦5, ♠9, ♣3, ♠8, ♣9 | pair
♦5, ♠9, ♣2, ♠8, ♣9 | pair
♠9, ♣3, ♣2, ♠8, ♣9 | pair
