♣Q, ♣4, ♥10, ♥3, ♦3 | pair
♣Q, ♥3, ♥9, ♦J, ♦3 | pair
♣Q, ♥3, ♥9, ♣K, ♦3 | pair
♣Q, ♥3, ♥9, ♦3, ♠5 | pair
♣Q, ♥3, ♥9, ♦3, ♥6 | pair
♣Q, ♥3, ♣2, ♦J, ♦3 | pair
♣Q, ♥3, ♣2, ♣K, ♦3 | pair
♣Q, ♥3, ♣2, ♦3, ♠5 | pair
♣Q, ♥3, ♣2, ♦3, ♥6 | pair
♣Q, ♥3, ♦J, ♣K, ♦3 | pair
♣Q, ♥3, ♦J, ♦3, ♠5 | pair
♣Q, ♥3, ♦J, ♦3, ♥6 | pair
♣Q, ♥3, ♣K, ♦3, ♠5 | pair
♣Q, ♥3, ♣K, ♦3, ♥6 | pair
♣Q, ♥3, ♦3, ♠5, ♥6 | pair
♣Q, ♥J, ♥9, ♣2, ♦J | pair
♣Q, ♥J, ♥9, ♦J, ♣K | pair
♣Q, ♥J, ♥9, ♦J, ♦3 | pair
♣Q, ♥J, ♥9, ♦J, ♠5 | pair
♣Q, ♥J, ♥9, ♦J, ♥6 | pair
♣Q, ♥J, ♣2, ♦J, ♣K | pair
♣Q, ♥J, ♣2, ♦J, ♦3 | pair
♣Q, ♥J, ♣2, ♦J, ♠5 | pair
♣Q, ♥J, ♣2, ♦J, ♥6 | pair
♣Q, ♥J, ♦J, ♣K, ♦3 | pair
♣Q, ♥J, ♦J, ♣K, ♠5 | pair
♣Q, ♥J, ♦J, ♣K, ♥6 | pair
♣Q, ♥J, ♦J, ♦3, ♠5 | pair
♣Q, ♥J, ♦J, ♦3, ♥6 | pair
♣Q, ♥J, ♦J, ♠5, ♥6 | pair
♣4, ♥10, ♥3, ♥J, ♦J | pair
♣4, ♥10, ♥3, ♥J, ♦3 | pair
♣4, ♥10, ♥3, ♥9, ♦3 | pair
♣4, ♥10, ♥3, ♣2, ♦3 | pair
♣4, ♥10, ♥3, ♦J, ♦3 | pair
♣4, ♥10, ♥3, ♣K, ♦3 | pair
♣4, ♥10, ♥3, ♦3, ♠5 | pair
♣4, ♥10, ♥3, ♦3, ♥6 | pair
♣4, ♥10, ♥J, ♥9, ♦J | pair
♣4, ♥10, ♥J, ♣2, ♦J | pair
♣4, ♥10, ♥J, ♦J, ♣K | pair
♣4, ♥10, ♥J, ♦J, ♦3 | pair
♣4, ♥10, ♥J, ♦J, ♠5 | pair
♣4, ♥10, ♥J, ♦J, ♥6 | pair
♣4, ♥3, ♥J, ♥9, ♦J | pair
♣4, ♥3, ♥J, ♥9, ♦3 | pair
♣4, ♥3, ♥J, ♣2, ♦J | pair
♣4, ♥3, ♥J, ♣2, ♦3 | pair
♣4, ♥3, ♥J, ♦J, ♣K | pair
♣4, ♥3, ♥J, ♦J, ♦3 | two pairs
♣4, ♥3, ♥J, ♦J, ♠5 | pair
♣4, ♥3, ♥J, ♦J, ♥6 | pair
♣4, ♥3, ♥J, ♣K, ♦3 | pair
♣4, ♥3, ♥J, ♦3, ♠5 | pair
♣4, ♥3, ♥J, ♦3, ♥6 | pair
♣4, ♥3, ♥9, ♣2, ♦3 | pair
♣4, ♥3, ♥9, ♦J, ♦3 | pair
♣4, ♥3, ♥9, ♣K, ♦3 | pair
♣4, ♥3, ♥9, ♦3, ♠5 | pair
♣4, ♥3, ♥9, ♦3, ♥6 | pair
♣4, ♥3, ♣2, ♦J, ♦3 | pair
♣4, ♥3, ♣2, ♣K, ♦3 | pair
♣4, ♥3, ♣2, ♦3, ♠5 | pair
♣4, ♥3, ♣2, ♦3, ♥6 | pair
♣4, ♥3, ♣2, ♠5, ♥6 | straight
♣4, ♥3, ♦J, ♣K, ♦3 | pair
♣4, ♥3, ♦J, ♦3, ♠5 | pair
♣4, ♥3, ♦J, ♦3, ♥6 | pair
♣4, ♥3, ♣K, ♦3, ♠5 | pair
♣4, ♥3, ♣K, ♦3, ♥6 | pair
♣4, ♥3, ♦3, ♠5, ♥6 | pair
♣4, ♥J, ♥9, ♣2, ♦J | pair
♣4, ♥J, ♥9, ♦J, ♣K | pair
♣4, ♥J, ♥9, ♦J, ♦3 | pair
♣4, ♥J, ♥9, ♦J, ♠5 | pair
♣4, ♥J, ♥9, ♦J, ♥6 | pair
♣4, ♥J, ♣2, ♦J, ♣K | pair
♣4, ♥J, ♣2, ♦J, ♦3 | pair
♣4, ♥J, ♣2, ♦J, ♠5 | pair
♣4, ♥J, ♣2, ♦J, ♥6 | pair
♣4, ♥J, ♦J, ♣K, ♦3 | pair
♣4, ♥J, ♦J, ♣K, ♠5 | pair
♣4, ♥J, ♦J, ♣K, ♥6 | pair
♣4, ♥J, ♦J, ♦3, ♠5 | pair
♣4, ♥J, ♦J, ♦3, ♥6 | pair
♣4, ♥J, ♦J, ♠5, ♥6 | pair
♣4, ♣2, ♦3, ♠5, ♥6 | straight
♥10, ♥3, ♥J, ♥9, ♦J | pair
♥10, ♥3, ♥J, ♥9, ♦3 | pair
♥10, ♥3, ♥J, ♥9, ♥6 | flush
♥10, ♥3, ♥J, ♣2, ♦J | pair
♥10, ♥3, ♥J, ♣2, ♦3 | pair
♥10, ♥3, ♥J, ♦J, ♣K | pair
♥10, ♥3, ♥J, ♦J, ♦3 | two pairs
♥10, ♥3, ♥J, ♦J, ♠5 | pair
♥10, ♥3, ♥J, ♦J, ♥6 | pair
♥10, ♥3, ♥J, ♣K, ♦3 | pair
♥10, ♥3, ♥J, ♦3, ♠5 | pair
♥10, ♥3, ♥J, ♦3, ♥6 | pair
♥10, ♥3, ♥9, ♣2, ♦3 | pair
♥10, ♥3, ♥9, ♦J, ♦3 | pair
♥10, ♥3, ♥9, ♣K, ♦3 | pair
♥10, ♥3, ♥9, ♦3, ♠5 | pair
♥10, ♥3, ♥9, ♦3, ♥6 | pair
♥10, ♥3, ♣2, ♦J, ♦3 | pair
♥10, ♥3, ♣2, ♣K, ♦3 | pair
♥10, ♥3, ♣2, ♦3, ♠5 | pair
♥10, ♥3, ♣2, ♦3, ♥6 | pair
♥10, ♥3, ♦J, ♣K, ♦3 | pair
♥10, ♥3, ♦J, ♦3, ♠5 | pair
♥10, ♥3, ♦J, ♦3, ♥6 | pair
♥10, ♥3, ♣K, ♦3, ♠5 | pair
♥10, ♥3, ♣K, ♦3, ♥6 | pair
♥10, ♥3, ♦3, ♠5, ♥6 | pair
♥10, ♥J, ♥9, ♣2, ♦J | pair
♥10, ♥J, ♥9, ♦J, ♣K | pair
♥10, ♥J, ♥9, ♦J, ♦3 | pair
♥10, ♥J, ♥9, ♦J, ♠5 | pair
♥10, ♥J, ♥9, ♦J, ♥6 | pair
♥10, ♥J, ♣2, ♦J, ♣K | pair
♥10, ♥J, ♣2, ♦J, ♦3 | pair
♥10, ♥J, ♣2, ♦J, ♠5 | pair
♥10, ♥J, ♣2, ♦J, ♥6 | pair
♥10, ♥J, ♦J, ♣K, ♦3 | pair
♥10, ♥J, ♦J, ♣K, ♠5 | pair
♥10, ♥J, ♦J, ♣K, ♥6 | pair
♥10, ♥J, ♦J, ♦3, ♠5 | pair
♥10, ♥J, ♦J, ♦3, ♥6 | pair
♥10, ♥J, ♦J, ♠5, ♥6 | pair
♥3, ♥J, ♥9, ♣2, ♦J | pair
♥3, ♥J, ♥9, ♣2, ♦3 | pair
♥3, ♥J, ♥9, ♦J, ♣K | pair
♥3, ♥J, ♥9, ♦J, ♦3 | two pairs
♥3, ♥J, ♥9, ♦J, ♠5 | pair
♥3, ♥J, ♥9, ♦J, ♥6 | pair
♥3, ♥J, ♥9, ♣K, ♦3 | pair
♥3, ♥J, ♥9, ♦3, ♠5 | pair
♥3, ♥J, ♥9, ♦3, ♥6 | pair
♥3, ♥J, ♣2, ♦J, ♣K | pair
♥3, ♥J, ♣2, ♦J, ♦3 | two pairs
♥3, ♥J, ♣2, ♦J, ♠5 | pair
♥3, ♥J, ♣2, ♦J, ♥6 | pair
♥3, ♥J, ♣2, ♣K, ♦3 | pair
♥3, ♥J, ♣2, ♦3, ♠5 | pair
♥3, ♥J, ♣2, ♦3, ♥6 | pair
♥3, ♥J, ♦J, ♣K, ♦3 | two pairs
♥3, ♥J, ♦J, ♣K, ♠5 | pair
♥3, ♥J, ♦J, ♣K, ♥6 | pair
♥3, ♥J, ♦J, ♦3, ♠5 | two pairs
♥3, ♥J, ♦J, ♦3, ♥6 | two pairs
♥3, ♥J, ♦J, ♠5, ♥6 | pair
♥3, ♥J, ♣K, ♦3, ♠5 | pair
♥3, ♥J, ♣K, ♦3, ♥6 | pair
♥3, ♥J, ♦3, ♠5, ♥6 | pair
♥3, ♥9, ♣2, ♦J, ♦3 | pair
♥3, ♥9, ♣2, ♣K, ♦3 | pair
♥3, ♥9, ♣2, ♦3, ♠5 | pair
♥3, ♥9, ♣2, ♦3, ♥6 | pair
♥3, ♥9, ♦J, ♣K, ♦3 | pair
♥3, ♥9, ♦J, ♦3, ♠5 | pair
♥3, ♥9, ♦J, ♦3, ♥6 | pair
♥3, ♥9, ♣K, ♦3, ♠5 | pair
♥3, ♥9, ♣K, ♦3, ♥6 | pair
♥3, ♥9, ♦3, ♠5, ♥6 | pair
♥3, ♣2, ♦J, ♣K, ♦3 | pair
♥3, ♣2, ♦J, ♦3, ♠5 | pair
♥3, ♣2, ♦J, ♦3, ♥6 | pair
♥3, ♣2, ♣K, ♦3, ♠5 | pair
♥3, ♣2, ♣K, ♦3, ♥6 | pair
♥3, ♣2, ♦3, ♠5, ♥6 | pair
♥3, ♦J, ♣K, ♦3, ♠5 | pair
♥3, ♦J, ♣K, ♦3, ♥6 | pair
♥3, ♦J, ♦3, ♠5, ♥6 | pair
♥3, ♣K, ♦3, ♠5, ♥6 | pair
♥J, ♥9, ♣2, ♦J, ♣K | pair
♥J, ♥9, ♣2, ♦J, ♦3 | pair
♥J, ♥9, ♣2, ♦J, ♠5 | pair
♥J, ♥9, ♣2, ♦J, ♥6 | pair
♥J, ♥9, ♦J, ♣K, ♦3 | pair
♥J, ♥9, ♦J, ♣K, ♠5 | pair
♥J, ♥9, ♦J, ♣K, ♥6 | pair
♥J, ♥9, ♦J, ♦3, ♠5 | pair
♥J, ♥9, ♦J, ♦3, ♥6 | pair
♥J, ♥9, ♦J, ♠5, ♥6 | pair
♥J, ♣2, ♦J, ♣K, ♦3 | pair
♥J, ♣2, ♦J, ♣K, ♠5 | pair
♥J, ♣2, ♦J, ♣K, ♥6 | pair
♥J, ♣2, ♦J, ♦3, ♠5 | pair
♥J, ♣2, ♦J, ♦3, ♥6 | pair
♥J, ♣2, ♦J, ♠5, ♥6 | pair
♥J, ♦J, ♣K, ♦3, ♠5 | pair
♥J, ♦J, ♣K, ♦3, ♥6 | pair
♥J, ♦J, ♣K, ♠5, ♥6 | pair
♥J, ♦J, ♦3, ♠5, ♥6 | pair
