♦2, ♥Q, ♣9, ♦5, ♠2 | pair
♥Q, ♣9, ♣2, ♥6, ♣9 | pair
♥Q, ♣9, ♣2, ♥7, ♣9 | pair
♥Q, ♣9, ♣2, ♣4, ♣9 | pair
♥Q, ♣9, ♥6, ♥7, ♣9 | pair
♥Q, ♣9, ♥6, ♣4, ♣9 | pair
♥Q, ♣9, ♥7, ♣4, ♣9 | pair
♥Q, ♦5, ♠2, ♣2, ♥6 | pair
♥Q, ♦5, ♠2, ♣2, ♥7 | pair
♥Q, ♦5, ♠2, ♣2, ♣4 | pair
♥Q, ♦5, ♠2, ♣2, ♣9 | pair
♥Q, ♠2, ♣2, ♥6, ♥7 | pair
♥Q, ♠2, ♣2, ♥6, ♣4 | pair
♥Q, ♠2, ♣2, ♥6, ♣9 | pair
♥Q, ♠2, ♣2, ♥7, ♣4 | pair
♥Q, ♠2, ♣2, ♥7, ♣9 | pair
♥Q, ♠2, ♣2, ♣4, ♣9 | pair
♣9, ♦5, ♠2, ♣2, ♥6 | pair
♣9, ♦5, ♠2, ♣2, ♥7 | pair
♣9, ♦5, ♠2, ♣2, ♣4 | pair
♣9, ♦5, ♠2, ♣2, ♣9 | two pairs
♣9, ♦5, ♠2, ♥6, ♣9 | pair
♣9, ♦5, ♠2, ♥7, ♣9 | pair
♣9, ♦5, ♠2, ♣4, ♣9 | pair
♣9, ♦5, ♣2, ♥6, ♣9 | pair
♣9, ♦5, ♣2, ♥7, ♣9 | pair
♣9, ♦5, ♣2, ♣4, ♣9 | pair
♣9, ♦5, ♥6, ♥7, ♣9 | pair
♣9, ♦5, ♥6, ♣4, ♣9 | pair
♣9, ♦5, ♥7, ♣4, ♣9 | pair
♣9, ♠2, ♣2, ♥6, ♥7 | pair
♣9, ♠2, ♣2, ♥6, ♣4 | pair
♣9, ♠2, ♣2, ♥6, ♣9 | two pairs
♣9, ♠2, ♣2, ♥7, ♣4 | pair
♣9, ♠2, ♣2, ♥7, ♣9 | two pairs
♣9, ♠2, ♣2, ♣4, ♣9 | two pairs
♣9, ♠2, ♥6, ♥7, ♣9 | pair
♣9, ♠2, ♥6, ♣4, ♣9 | pair
♣9, ♠2, ♥7, ♣4, ♣9 | pair
♣9, ♣2, ♥6, ♥7, ♣9 | pair
♣9, ♣2, ♥6, ♣4, ♣9 | pair
♣9, ♣2, ♥7, ♣4, ♣9 | pair
♣9, ♥6, ♥7, ♣4, ♣9 | pair
♦5, ♠2, ♣2, ♥6, ♥7 | pair
♦5, ♠2, ♣2, ♥6, ♣4 | pair
♦5, ♠2, ♣2, ♥6, ♣9 | pair
♦5, ♠2, ♣2, ♥7, ♣4 | pair
♦5, ♠2, ♣2, ♥7, ♣9 | pair
♦5, ♠2, ♣2, ♣4, ♣9 | pair
♠2, ♣2, ♥6, ♥7, ♣4 | pair
♠2, ♣2, ♥6, ♥7, ♣9 | pair
♠2, ♣2, ♥6, ♣4, ♣9 | pair
♠2, ♣2, ♥7, ♣4, ♣9 | pair
