♦8, ♣4, ♦2, ♠7, ♦2 | pair
♦8, ♦2, ♦2, ♥10, ♠J | pair
♦8, ♦2, ♦2, ♥10, ♣4 | pair
♦8, ♦2, ♦2, ♠J, ♣4 | pair
♦8, ♠7, ♦3, ♦A, ♥3 | pair
♦8, ♠7, ♦3, ♦A, ♦A | pair
♦8, ♠7, ♦3, ♥3, ♦2 | pair
♦8, ♠7, ♦3, ♥3, ♦A | pair
♦8, ♠7, ♦3, ♥3, ♥10 | pair
♦8, ♠7, ♦3, ♥3, ♠J | pair
♦8, ♠7, ♦3, ♥3, ♣4 | pair
♦8, ♠7, ♦A, ♥3, ♦A | pair
♦8, ♠7, ♦A, ♦2, ♦A | pair
♦8, ♠7, ♦A, ♦A, ♥10 | pair
♦8, ♠7, ♦A, ♦A, ♠J | pair
♦8, ♠7, ♦A, ♦A, ♣4 | pair
♦8, ♦3, ♦A, ♥3, ♦2 | pair
♦8, ♦3, ♦A, ♥3, ♦A | two pairs
♦8, ♦3, ♦A, ♥3, ♥10 | pair
♦8, ♦3, ♦A, ♥3, ♠J | pair
♦8, ♦3, ♦A, ♥3, ♣4 | pair
♦8, ♦3, ♦A, ♦2, ♦A | flush
♦8, ♦3, ♦A, ♦A, ♥10 | pair
♦8, ♦3, ♦A, ♦A, ♠J | pair
♦8, ♦3, ♦A, ♦A, ♣4 | pair
♦8, ♦3, ♥3, ♦2, ♦A | pair
♦8, ♦3, ♥3, ♦2, ♥10 | pair
♦8, ♦3, ♥3, ♦2, ♠J | pair
♦8, ♦3, ♥3, ♦2, ♣4 | pair
♦8, ♦3, ♥3, ♦A, ♥10 | pair
♦8, ♦3, ♥3, ♦A, ♠J | pair
♦8, ♦3, ♥3, ♦A, ♣4 | pair
♦8, ♦3, ♥3, ♥10, ♠J | pair
♦8, ♦3, ♥3, ♥10, ♣4 | pair
♦8, ♦3, ♥3, ♠J, ♣4 | pair
♦8, ♦A, ♥3, ♦2, ♦A | pair
♦8, ♦A, ♥3, ♦A, ♥10 | pair
♦8, ♦A, ♥3, ♦A, ♠J | pair
♦8, ♦A, ♥3, ♦A, ♣4 | pair
♦8, ♦A, ♦2, ♦A, ♥10 | pair
♦8, ♦A, ♦2, ♦A, ♠J | pair
♦8, ♦A, ♦2, ♦A, ♣4 | pair
♦8, ♦A, ♦A, ♥10, ♠J | pair
♦8, ♦A, ♦A, ♥10, ♣4 | pair
♦8, ♦A, ♦A, ♠J, ♣4 | pair
♣4, ♦2, ♠7, ♦3, ♥3 | pair
♣4, ♦2, ♠7, ♦3, ♦2 | pair
♣4, ♦2, ♠7, ♦3, ♣4 | pair
♣4, ♦2, ♠7, ♦A, ♦2 | pair
♣4, ♦2, ♠7, ♦A, ♦A | pair
♣4, ♦2, ♠7, ♦A, ♣4 | pair
♣4, ♦2, ♠7, ♥3, ♦2 | pair
♣4, ♦2, ♠7, ♥3, ♣4 | pair
♣4, ♦2, ♠7, ♦2, ♦A | pair
♣4, ♦2, ♠7, ♦2, ♥10 | pair
♣4, ♦2, ♠7, ♦2, ♠J | pair
♣4, ♦2, ♠7, ♦2, ♣4 | two pairs
♣4, ♦2, ♠7, ♦A, ♣4 | pair
♣4, ♦2, ♠7, ♥10, ♣4 | pair
♣4, ♦2, ♠7, ♠J, ♣4 | pair
♣4, ♦2, ♦3, ♦A, ♥3 | pair
♣4, ♦2, ♦3, ♦A, ♦2 | pair
♣4, ♦2, ♦3, ♦A, ♦A | pair
♣4, ♦2, ♦3, ♦A, ♣4 | pair
♣4, ♦2, ♦3, ♥3, ♦2 | two pairs
♣4, ♦2, ♦3, ♥3, ♦A | pair
♣4, ♦2, ♦3, ♥3, ♥10 | pair
♣4, ♦2, ♦3, ♥3, ♠J | pair
♣4, ♦2, ♦3, ♥3, ♣4 | two pairs
♣4, ♦2, ♦3, ♦2, ♦A | pair
♣4, ♦2, ♦3, ♦2, ♥10 | pair
♣4, ♦2, ♦3, ♦2, ♠J | pair
♣4, ♦2, ♦3, ♦2, ♣4 | two pairs
♣4, ♦2, ♦3, ♦A, ♣4 | pair
♣4, ♦2, ♦3, ♥10, ♣4 | pair
♣4, ♦2, ♦3, ♠J, ♣4 | pair
♣4, ♦2, ♦A, ♥3, ♦2 | pair
♣4, ♦2, ♦A, ♥3, ♦A | pair
♣4, ♦2, ♦A, ♥3, ♣4 | pair
♣4, ♦2, ♦A, ♦2, ♦A | two pairs
♣4, ♦2, ♦A, ♦2, ♥10 | pair
♣4, ♦2, ♦A, ♦2, ♠J | pair
♣4, ♦2, ♦A, ♦2, ♣4 | two pairs
♣4, ♦2, ♦A, ♦A, ♥10 | pair
♣4, ♦2, ♦A, ♦A, ♠J | pair
♣4, ♦2, ♦A, ♦A, ♣4 | two pairs
♣4, ♦2, ♦A, ♥10, ♣4 | pair
♣4, ♦2, ♦A, ♠J, ♣4 | pair
♣4, ♦2, ♥3, ♦2, ♦A | pair
♣4, ♦2, ♥3, ♦2, ♥10 | pair
♣4, ♦2, ♥3, ♦2, ♠J | pair
♣4, ♦2, ♥3, ♦2, ♣4 | two pairs
♣4, ♦2, ♥3, ♦A, ♣4 | pair
♣4, ♦2, ♥3, ♥10, ♣4 | pair
♣4, ♦2, ♥3, ♠J, ♣4 | pair
♣4, ♦2, ♦2, ♦A, ♥10 | pair
♣4, ♦2, ♦2, ♦A, ♠J | pair
♣4, ♦2, ♦2, ♦A, ♣4 | two pairs
♣4, ♦2, ♦2, ♥10, ♠J | pair
♣4, ♦2, ♦2, ♥10, ♣4 | two pairs
♣4, ♦2, ♦2, ♠J, ♣4 | two pairs
♣4, ♦2, ♦A, ♥10, ♣4 | pair
♣4, ♦2, ♦A, ♠J, ♣4 | pair
♣4, ♦2, ♥10, ♠J, ♣4 | pair
♣4, ♠7, ♦3, ♦A, ♥3 | pair
♣4, ♠7, ♦3, ♦A, ♦A | pair
♣4, ♠7, ♦3, ♦A, ♣4 | pair
♣4, ♠7, ♦3, ♥3, ♦2 | pair
♣4, ♠7, ♦3, ♥3, ♦A | pair
♣4, ♠7, ♦3, ♥3, ♥10 | pair
♣4, ♠7, ♦3, ♥3, ♠J | pair
♣4, ♠7, ♦3, ♥3, ♣4 | two pairs
♣4, ♠7, ♦3, ♦2, ♣4 | pair
♣4, ♠7, ♦3, ♦A, ♣4 | pair
♣4, ♠7, ♦3, ♥10, ♣4 | pair
♣4, ♠7, ♦3, ♠J, ♣4 | pair
♣4, ♠7, ♦A, ♥3, ♦A | pair
♣4, ♠7, ♦A, ♥3, ♣4 | pair
♣4, ♠7, ♦A, ♦2, ♦A | pair
♣4, ♠7, ♦A, ♦2, ♣4 | pair
♣4, ♠7, ♦A, ♦A, ♥10 | pair
♣4, ♠7, ♦A, ♦A, ♠J | pair
♣4, ♠7, ♦A, ♦A, ♣4 | two pairs
♣4, ♠7, ♦A, ♥10, ♣4 | pair
♣4, ♠7, ♦A, ♠J, ♣4 | pair
♣4, ♠7, ♥3, ♦2, ♣4 | pair
♣4, ♠7, ♥3, ♦A, ♣4 | pair
♣4, ♠7, ♥3, ♥10, ♣4 | pair
♣4, ♠7, ♥3, ♠J, ♣4 | pair
♣4, ♠7, ♦2, ♦A, ♣4 | pair
♣4, ♠7, ♦2, ♥10, ♣4 | pair
♣4, ♠7, ♦2, ♠J, ♣4 | pair
♣4, ♠7, ♦A, ♥10, ♣4 | pair
♣4, ♠7, ♦A, ♠J, ♣4 | pair
♣4, ♠7, ♥10, ♠J, ♣4 | pair
♣4, ♦3, ♦A, ♥3, ♦2 | pair
♣4, ♦3, ♦A, ♥3, ♦A | two pairs
♣4, ♦3, ♦A, ♥3, ♥10 | pair
♣4, ♦3, ♦A, ♥3, ♠J | pair
♣4, ♦3, ♦A, ♥3, ♣4 | two pairs
♣4, ♦3, ♦A, ♦2, ♦A | pair
♣4, ♦3, ♦A, ♦2, ♣4 | pair
♣4, ♦3, ♦A, ♦A, ♥10 | pair
♣4, ♦3, ♦A, ♦A, ♠J | pair
♣4, ♦3, ♦A, ♦A, ♣4 | two pairs
♣4, ♦3, ♦A, ♥10, ♣4 | pair
♣4, ♦3, ♦A, ♠J, ♣4 | pair
♣4, ♦3, ♥3, ♦2, ♦A | pair
♣4, ♦3, ♥3, ♦2, ♥10 | pair
♣4, ♦3, ♥3, ♦2, ♠J | pair
♣4, ♦3, ♥3, ♦2, ♣4 | two pairs
♣4, ♦3, ♥3, ♦A, ♥10 | pair
♣4, ♦3, ♥3, ♦A, ♠J | pair
♣4, ♦3, ♥3, ♦A, ♣4 | two pairs
♣4, ♦3, ♥3, ♥10, ♠J | pair
♣4, ♦3, ♥3, ♥10, ♣4 | two pairs
♣4, ♦3, ♥3, ♠J, ♣4 | two pairs
♣4, ♦3, ♦2, ♦A, ♣4 | pair
♣4, ♦3, ♦2, ♥10, ♣4 | pair
♣4, ♦3, ♦2, ♠J, ♣4 | pair
♣4, ♦3, ♦A, ♥10, ♣4 | pair
♣4, ♦3, ♦A, ♠J, ♣4 | pair
♣4, ♦3, ♥10, ♠J, ♣4 | pair
♣4, ♦A, ♥3, ♦2, ♦A | pair
♣4, ♦A, ♥3, ♦2, ♣4 | pair
♣4, ♦A, ♥3, ♦A, ♥10 | pair
♣4, ♦A, ♥3, ♦A, ♠J | pair
♣4, ♦A, ♥3, ♦A, ♣4 | two pairs
♣4, ♦A, ♥3, ♥10, ♣4 | pair
♣4, ♦A, ♥3, ♠J, ♣4 | pair
♣4, ♦A, ♦2, ♦A, ♥10 | pair
♣4, ♦A, ♦2, ♦A, ♠J | pair
♣4, ♦A, ♦2, ♦A, ♣4 | two pairs
♣4, ♦A, ♦2, ♥10, ♣4 | pair
♣4, ♦A, ♦2, ♠J, ♣4 | pair
♣4, ♦A, ♦A, ♥10, ♠J | pair
♣4, ♦A, ♦A, ♥10, ♣4 | two pairs
♣4, ♦A, ♦A, ♠J, ♣4 | two pairs
♣4, ♦A, ♥10, ♠J, ♣4 | pair
♣4, ♥3, ♦2, ♦A, ♣4 | pair
♣4, ♥3, ♦2, ♥10, ♣4 | pair
♣4, ♥3, ♦2, ♠J, ♣4 | pair
♣4, ♥3, ♦A, ♥10, ♣4 | pair
♣4, ♥3, ♦A, ♠J, ♣4 | pair
♣4, ♥3, ♥10, ♠J, ♣4 | pair
♣4, ♦2, ♦A, ♥10, ♣4 | pair
♣4, ♦2, ♦A, ♠J, ♣4 | pair
♣4, ♦2, ♥10, ♠J, ♣4 | pair
♣4, ♦A, ♥10, ♠J, ♣4 | pair
♦2, ♠7, ♦3, ♦A, ♥3 | pair
♦2, ♠7, ♦3, ♦A, ♦2 | pair
♦2, ♠7, ♦3, ♦A, ♦A | pair
♦2, ♠7, ♦3, ♥3, ♦2 | two pairs
♦2, ♠7, ♦3, ♥3, ♦A | pair
♦2, ♠7, ♦3, ♥3, ♥10 | pair
♦2, ♠7, ♦3, ♥3, ♠J | pair
♦2, ♠7, ♦3, ♥3, ♣4 | pair
♦2, ♠7, ♦3, ♦2, ♦A | pair
♦2, ♠7, ♦3, ♦2, ♥10 | pair
♦2, ♠7, ♦3, ♦2, ♠J | pair
♦2, ♠7, ♦3, ♦2, ♣4 | pair
♦2, ♠7, ♦A, ♥3, ♦2 | pair
♦2, ♠7, ♦A, ♥3, ♦A | pair
♦2, ♠7, ♦A, ♦2, ♦A | two pairs
♦2, ♠7, ♦A, ♦2, ♥10 | pair
♦2, ♠7, ♦A, ♦2, ♠J | pair
♦2, ♠7, ♦A, ♦2, ♣4 | pair
♦2, ♠7, ♦A, ♦A, ♥10 | pair
♦2, ♠7, ♦A, ♦A, ♠J | pair
♦2, ♠7, ♦A, ♦A, ♣4 | pair
♦2, ♠7, ♥3, ♦2, ♦A | pair
♦2, ♠7, ♥3, ♦2, ♥10 | pair
♦2, ♠7, ♥3, ♦2, ♠J | pair
♦2, ♠7, ♥3, ♦2, ♣4 | pair
♦2, ♠7, ♦2, ♦A, ♥10 | pair
♦2, ♠7, ♦2, ♦A, ♠J | pair
♦2, ♠7, ♦2, ♦A, ♣4 | pair
♦2, ♠7, ♦2, ♥10, ♠J | pair
♦2, ♠7, ♦2, ♥10, ♣4 | pair
♦2, ♠7, ♦2, ♠J, ♣4 | pair
♦2, ♦3, ♦A, ♥3, ♦2 | two pairs
♦2, ♦3, ♦A, ♥3, ♦A | two pairs
♦2, ♦3, ♦A, ♥3, ♥10 | pair
♦2, ♦3, ♦A, ♥3, ♠J | pair
♦2, ♦3, ♦A, ♥3, ♣4 | pair
♦2, ♦3, ♦A, ♦2, ♦A | flush
♦2, ♦3, ♦A, ♦2, ♥10 | pair
♦2, ♦3, ♦A, ♦2, ♠J | pair
♦2, ♦3, ♦A, ♦2, ♣4 | pair
♦2, ♦3, ♦A, ♦A, ♥10 | pair
♦2, ♦3, ♦A, ♦A, ♠J | pair
♦2, ♦3, ♦A, ♦A, ♣4 | pair
♦2, ♦3, ♥3, ♦2, ♦A | two pairs
♦2, ♦3, ♥3, ♦2, ♥10 | two pairs
♦2, ♦3, ♥3, ♦2, ♠J | two pairs
♦2, ♦3, ♥3, ♦2, ♣4 | two pairs
♦2, ♦3, ♥3, ♦A, ♥10 | pair
♦2, ♦3, ♥3, ♦A, ♠J | pair
♦2, ♦3, ♥3, ♦A, ♣4 | pair
♦2, ♦3, ♥3, ♥10, ♠J | pair
♦2, ♦3, ♥3, ♥10, ♣4 | pair
♦2, ♦3, ♥3, ♠J, ♣4 | pair
♦2, ♦3, ♦2, ♦A, ♥10 | pair
♦2, ♦3, ♦2, ♦A, ♠J | pair
♦2, ♦3, ♦2, ♦A, ♣4 | pair
♦2, ♦3, ♦2, ♥10, ♠J | pair
♦2, ♦3, ♦2, ♥10, ♣4 | pair
♦2, ♦3, ♦2, ♠J, ♣4 | pair
♦2, ♦A, ♥3, ♦2, ♦A | two pairs
♦2, ♦A, ♥3, ♦2, ♥10 | pair
♦2, ♦A, ♥3, ♦2, ♠J | pair
♦2, ♦A, ♥3, ♦2, ♣4 | pair
♦2, ♦A, ♥3, ♦A, ♥10 | pair
♦2, ♦A, ♥3, ♦A, ♠J | pair
♦2, ♦A, ♥3, ♦A, ♣4 | pair
♦2, ♦A, ♦2, ♦A, ♥10 | two pairs
♦2, ♦A, ♦2, ♦A, ♠J | two pairs
♦2, ♦A, ♦2, ♦A, ♣4 | two pairs
♦2, ♦A, ♦2, ♥10, ♠J | pair
♦2, ♦A, ♦2, ♥10, ♣4 | pair
♦2, ♦A, ♦2, ♠J, ♣4 | pair
♦2, ♦A, ♦A, ♥10, ♠J | pair
♦2, ♦A, ♦A, ♥10, ♣4 | pair
♦2, ♦A, ♦A, ♠J, ♣4 | pair
♦2, ♥3, ♦2, ♦A, ♥10 | pair
♦2, ♥3, ♦2, ♦A, ♠J | pair
♦2, ♥3, ♦2, ♦A, ♣4 | pair
♦2, ♥3, ♦2, ♥10, ♠J | pair
♦2, ♥3, ♦2, ♥10, ♣4 | pair
♦2, ♥3, ♦2, ♠J, ♣4 | pair
♦2, ♦2, ♦A, ♥10, ♠J | pair
♦2, ♦2, ♦A, ♥10, ♣4 | pair
♦2, ♦2, ♦A, ♠J, ♣4 | pair
♦2, ♦2, ♥10, ♠J, ♣4 | pair
♠7, ♦3, ♦A, ♥3, ♦2 | pair
♠7, ♦3, ♦A, ♥3, ♦A | two pairs
♠7, ♦3, ♦A, ♥3, ♥10 | pair
♠7, ♦3, ♦A, ♥3, ♠J | pair
♠7, ♦3, ♦A, ♥3, ♣4 | pair
♠7, ♦3, ♦A, ♦2, ♦A | pair
♠7, ♦3, ♦A, ♦A, ♥10 | pair
♠7, ♦3, ♦A, ♦A, ♠J | pair
♠7, ♦3, ♦A, ♦A, ♣4 | pair
♠7, ♦3, ♥3, ♦2, ♦A | pair
♠7, ♦3, ♥3, ♦2, ♥10 | pair
♠7, ♦3, ♥3, ♦2, ♠J | pair
♠7, ♦3, ♥3, ♦2, ♣4 | pair
♠7, ♦3, ♥3, ♦A, ♥10 | pair
♠7, ♦3, ♥3, ♦A, ♠J | pair
♠7, ♦3, ♥3, ♦A, ♣4 | pair
♠7, ♦3, ♥3, ♥10, ♠J | pair
♠7, ♦3, ♥3, ♥10, ♣4 | pair
♠7, ♦3, ♥3, ♠J, ♣4 | pair
♠7, ♦A, ♥3, ♦2, ♦A | pair
♠7, ♦A, ♥3, ♦A, ♥10 | pair
♠7, ♦A, ♥3, ♦A, ♠J | pair
♠7, ♦A, ♥3, ♦A, ♣4 | pair
♠7, ♦A, ♦2, ♦A, ♥10 | pair
♠7, ♦A, ♦2, ♦A, ♠J | pair
♠7, ♦A, ♦2, ♦A, ♣4 | pair
♠7, ♦A, ♦A, ♥10, ♠J | pair
♠7, ♦A, ♦A, ♥10, ♣4 | pair
♠7, ♦A, ♦A, ♠J, ♣4 | pair
♦3, ♦A, ♥3, ♦2, ♦A | two pairs
♦3, ♦A, ♥3, ♦2, ♥10 | pair
♦3, ♦A, ♥3, ♦2, ♠J | pair
♦3, ♦A, ♥3, ♦2, ♣4 | pair
♦3, ♦A, ♥3, ♦A, ♥10 | two pairs
♦3, ♦A, ♥3, ♦A, ♠J | two pairs
♦3, ♦A, ♥3, ♦A, ♣4 | two pairs
♦3, ♦A, ♥3, ♥10, ♠J | pair
♦3, ♦A, ♥3, ♥10, ♣4 | pair
♦3, ♦A, ♥3, ♠J, ♣4 | pair
♦3, ♦A, ♦2, ♦A, ♥10 | pair
♦3, ♦A, ♦2, ♦A, ♠J | pair
♦3, ♦A, ♦2, ♦A, ♣4 | pair
♦3, ♦A, ♦A, ♥10, ♠J | pair
♦3, ♦A, ♦A, ♥10, ♣4 | pair
♦3, ♦A, ♦A, ♠J, ♣4 | pair
♦3, ♥3, ♦2, ♦A, ♥10 | pair
♦3, ♥3, ♦2, ♦A, ♠J | pair
♦3, ♥3, ♦2, ♦A, ♣4 | pair
♦3, ♥3, ♦2, ♥10, ♠J | pair
♦3, ♥3, ♦2, ♥10, ♣4 | pair
♦3, ♥3, ♦2, ♠J, ♣4 | pair
♦3, ♥3, ♦A, ♥10, ♠J | pair
♦3, ♥3, ♦A, ♥10, ♣4 | pair
♦3, ♥3, ♦A, ♠J, ♣4 | pair
♦3, ♥3, ♥10, ♠J, ♣4 | pair
♦A, ♥3, ♦2, ♦A, ♥10 | pair
♦A, ♥3, ♦2, ♦A, ♠J | pair
♦A, ♥3, ♦2, ♦A, ♣4 | pair
♦A, ♥3, ♦A, ♥10, ♠J | pair
♦A, ♥3, ♦A, ♥10, ♣4 | pair
♦A, ♥3, ♦A, ♠J, ♣4 | pair
♦A, ♦2, ♦A, ♥10, ♠J | pair
♦A, ♦2, ♦A, ♥10, ♣4 | pair
♦A, ♦2, ♦A, ♠J, ♣4 | pair
♦A, ♦A, ♥10, ♠J, ♣4 | pair
