♥A, ♥K, ♠K, ♠7, ♦4 | pair
♥A, ♦4, ♦7, ♥8, ♦7 | pair
♥A, ♦4, ♦7, ♦7, ♦K | pair
♥A, ♦4, ♦7, ♥8, ♦7 | pair
♥A, ♦4, ♦7, ♦7, ♦K | pair
♥A, ♦10, ♦5, ♦7, ♦7 | pair
♥A, ♦10, ♦5, ♦7, ♦7 | pair
♥A, ♦10, ♦5, ♦7, ♦7 | pair
♥A, ♦10, ♦7, ♦7, ♥8 | pair
♥A, ♦10, ♦7, ♦7, ♦7 | three of a kind
♥A, ♦10, ♦7, ♦7, ♦K | pair
♥A, ♦10, ♦7, ♥8, ♦7 | pair
♥A, ♦10, ♦7, ♦7, ♦K | pair
♥A, ♦10, ♦7, ♥8, ♦7 | pair
♥A, ♦10, ♦7, ♦7, ♦K | pair
♥A, ♦5, ♦7, ♦7, ♥8 | pair
♥A, ♦5, ♦7, ♦7, ♦7 | three of a kind
♥A, ♦5, ♦7, ♦7, ♦K | pair
♥A, ♦5, ♦7, ♥8, ♦7 | pair
♥A, ♦5, ♦7, ♦7, ♦K | pair
♥A, ♦5, ♦7, ♥8, ♦7 | pair
♥A, ♦5, ♦7, ♦7, ♦K | pair
♥A, ♦7, ♦7, ♥8, ♦7 | three of a kind
♥A, ♦7, ♦7, ♥8, ♦K | pair
♥A, ♦7, ♦7, ♦7, ♦K | three of a kind
♥A, ♦7, ♥8, ♦7, ♦K | pair
♥A, ♦7, ♥8, ♦7, ♦K | pair
♥K, ♠K, ♠7, ♦4, ♦10 | pair
♥K, ♠K, ♠7, ♦4, ♦5 | pair
♥K, ♠K, ♠7, ♦4, ♦7 | two pairs
♥K, ♠K, ♠7, ♦4, ♦7 | two pairs
♥K, ♠K, ♠7, ♦4, ♥8 | pair
♥K, ♠K, ♠7, ♦4, ♦7 | two pairs
♥K, ♠K, ♠7, ♦4, ♦K | three of a kind
♥K, ♠K, ♠7, ♦10, ♦5 | pair
♥K, ♠K, ♠7, ♦10, ♦7 | two pairs
♥K, ♠K, ♠7, ♦10, ♦7 | two pairs
♥K, ♠K, ♠7, ♦10, ♥8 | pair
♥K, ♠K, ♠7, ♦10, ♦7 | two pairs
♥K, ♠K, ♠7, ♦10, ♦K | three of a kind
♥K, ♠K, ♠7, ♦5, ♦7 | two pairs
♥K, ♠K, ♠7, ♦5, ♦7 | two pairs
♥K, ♠K, ♠7, ♦5, ♥8 | pair
♥K, ♠K, ♠7, ♦5, ♦7 | two pairs
♥K, ♠K, ♠7, ♦5, ♦K | three of a kind
♥K, ♠K, ♠7, ♦7, ♦7 | fullhouse
♥K, ♠K, ♠7, ♦7, ♥8 | two pairs
♥K, ♠K, ♠7, ♦7, ♦7 | fullhouse
♥K, ♠K, ♠7, ♦7, ♦K | fullhouse
♥K, ♠K, ♠7, ♦7, ♥8 | two pairs
♥K, ♠K, ♠7, ♦7, ♦7 | fullhouse
♥K, ♠K, ♠7, ♦7, ♦K | fullhouse
♥K, ♠K, ♠7, ♥8, ♦7 | two pairs
♥K, ♠K, ♠7, ♥8, ♦K | three of a kind
♥K, ♠K, ♠7, ♦7, ♦K | fullhouse
♥K, ♠K, ♦4, ♦10, ♦5 | pair
♥K, ♠K, ♦4, ♦10, ♦7 | pair
♥K, ♠K, ♦4, ♦10, ♦7 | pair
♥K, ♠K, ♦4, ♦10, ♥8 | pair
♥K, ♠K, ♦4, ♦10, ♦7 | pair
♥K, ♠K, ♦4, ♦10, ♦K | three of a kind
♥K, ♠K, ♦4, ♦5, ♦7 | pair
♥K, ♠K, ♦4, ♦5, ♦7 | pair
♥K, ♠K, ♦4, ♦5, ♥8 | pair
♥K, ♠K, ♦4, ♦5, ♦7 | pair
♥K, ♠K, ♦4, ♦5, ♦K | three of a kind
♥K, ♠K, ♦4, ♦7, ♦7 | two pairs
♥K, ♠K, ♦4, ♦7, ♥8 | pair
♥K, ♠K, ♦4, ♦7, ♦7 | two pairs
♥K, ♠K, ♦4, ♦7, ♦K | three of a kind
♥K, ♠K, ♦4, ♦7, ♥8 | pair
♥K, ♠K, ♦4, ♦7, ♦7 | two pairs
♥K, ♠K, ♦4, ♦7, ♦K | three of a kind
♥K, ♠K, ♦4, ♥8, ♦7 | pair
♥K, ♠K, ♦4, ♥8, ♦K | three of a kind
♥K, ♠K, ♦4, ♦7, ♦K | three of a kind
♥K, ♠K, ♦10, ♦5, ♦7 | pair
♥K, ♠K, ♦10, ♦5, ♦7 | pair
♥K, ♠K, ♦10, ♦5, ♥8 | pair
♥K, ♠K, ♦10, ♦5, ♦7 | pair
♥K, ♠K, ♦10, ♦5, ♦K | three of a kind
♥K, ♠K, ♦10, ♦7, ♦7 | two pairs
♥K, ♠K, ♦10, ♦7, ♥8 | pair
♥K, ♠K, ♦10, ♦7, ♦7 | two pairs
♥K, ♠K, ♦10, ♦7, ♦K | three of a kind
♥K, ♠K, ♦10, ♦7, ♥8 | pair
♥K, ♠K, ♦10, ♦7, ♦7 | two pairs
♥K, ♠K, ♦10, ♦7, ♦K | three of a kind
♥K, ♠K, ♦10, ♥8, ♦7 | pair
♥K, ♠K, ♦10, ♥8, ♦K | three of a kind
♥K, ♠K, ♦10, ♦7, ♦K | three of a kind
♥K, ♠K, ♦5, ♦7, ♦7 | two pairs
♥K, ♠K, ♦5, ♦7, ♥8 | pair
♥K, ♠K, ♦5, ♦7, ♦7 | two pairs
♥K, ♠K, ♦5, ♦7, ♦K | three of a kind
♥K, ♠K, ♦5, ♦7, ♥8 | pair
♥K, ♠K, ♦5, ♦7, ♦7 | two pairs
♥K, ♠K, ♦5, ♦7, ♦K | three of a kind
♥K, ♠K, ♦5, ♥8, ♦7 | pair
♥K, ♠K, ♦5, ♥8, ♦K | three of a kind
♥K, ♠K, ♦5, ♦7, ♦K | three of a kind
♥K, ♠K, ♦7, ♦7, ♥8 | two pairs
♥K, ♠K, ♦7, ♦7, ♦7 | fullhouse
♥K, ♠K, ♦7, ♦7, ♦K | fullhouse
♥K, ♠K, ♦7, ♥8, ♦7 | two pairs
♥K, ♠K, ♦7, ♥8, ♦K | three of a kind
♥K, ♠K, ♦7, ♦7, ♦K | fullhouse
♥K, ♠K, ♦7, ♥8, ♦7 | two pairs
♥K, ♠K, ♦7, ♥8, ♦K | three of a kind
♥K, ♠K, ♦7, ♦7, ♦K | fullhouse
♥K, ♠K, ♥8, ♦7, ♦K | three of a kind
♥K, ♠7, ♦4, ♦10, ♦7 | pair
♥K, ♠7, ♦4, ♦10, ♦7 | pair
♥K, ♠7, ♦4, ♦10, ♦7 | pair
♥K, ♠7, ♦4, ♦10, ♦K | pair
♥K, ♠7, ♦4, ♦5, ♦7 | pair
♥K, ♠7, ♦4, ♦5, ♦7 | pair
♥K, ♠7, ♦4, ♦5, ♦7 | pair
♥K, ♠7, ♦4, ♦5, ♦K | pair
♥K, ♠7, ♦4, ♦7, ♦7 | three of a kind
♥K, ♠7, ♦4, ♦7, ♥8 | pair
♥K, ♠7, ♦4, ♦7, ♦7 | three of a kind
♥K, ♠7, ♦4, ♦7, ♦K | two pairs
♥K, ♠7, ♦4, ♦7, ♥8 | pair
♥K, ♠7, ♦4, ♦7, ♦7 | three of a kind
♥K, ♠7, ♦4, ♦7, ♦K | two pairs
♥K, ♠7, ♦4, ♥8, ♦7 | pair
♥K, ♠7, ♦4, ♥8, ♦K | pair
♥K, ♠7, ♦4, ♦7, ♦K | two pairs
♥K, ♠7, ♦10, ♦5, ♦7 | pair
♥K, ♠7, ♦10, ♦5, ♦7 | pair
♥K, ♠7, ♦10, ♦5, ♦7 | pair
♥K, ♠7, ♦10, ♦5, ♦K | pair
♥K, ♠7, ♦10, ♦7, ♦7 | three of a kind
♥K, ♠7, ♦10, ♦7, ♥8 | pair
♥K, ♠7, ♦10, ♦7, ♦7 | three of a kind
♥K, ♠7, ♦10, ♦7, ♦K | two pairs
♥K, ♠7, ♦10, ♦7, ♥8 | pair
♥K, ♠7, ♦10, ♦7, ♦7 | three of a kind
♥K, ♠7, ♦10, ♦7, ♦K | two pairs
♥K, ♠7, ♦10, ♥8, ♦7 | pair
♥K, ♠7, ♦10, ♥8, ♦K | pair
♥K, ♠7, ♦10, ♦7, ♦K | two pairs
♥K, ♠7, ♦5, ♦7, ♦7 | three of a kind
♥K, ♠7, ♦5, ♦7, ♥8 | pair
♥K, ♠7, ♦5, ♦7, ♦7 | three of a kind
♥K, ♠7, ♦5, ♦7, ♦K | two pairs
♥K, ♠7, ♦5, ♦7, ♥8 | pair
♥K, ♠7, ♦5, ♦7, ♦7 | three of a kind
♥K, ♠7, ♦5, ♦7, ♦K | two pairs
♥K, ♠7, ♦5, ♥8, ♦7 | pair
♥K, ♠7, ♦5, ♥8, ♦K | pair
♥K, ♠7, ♦5, ♦7, ♦K | two pairs
♥K, ♠7, ♦7, ♦7, ♥8 | three of a kind
♥K, ♠7, ♦7, ♦7, ♦7 | four of a kind!
♥K, ♠7, ♦7, ♦7, ♦K | fullhouse
♥K, ♠7, ♦7, ♥8, ♦7 | three of a kind
♥K, ♠7, ♦7, ♥8, ♦K | two pairs
♥K, ♠7, ♦7, ♦7, ♦K | fullhouse
♥K, ♠7, ♦7, ♥8, ♦7 | three of a kind
♥K, ♠7, ♦7, ♥8, ♦K | two pairs
♥K, ♠7, ♦7, ♦7, ♦K | fullhouse
♥K, ♠7, ♥8, ♦7, ♦K | two pairs
♥K, ♦4, ♦10, ♦5, ♦K | pair
♥K, ♦4, ♦10, ♦7, ♦7 | pair
♥K, ♦4, ♦10, ♦7, ♦7 | pair
♥K, ♦4, ♦10, ♦7, ♦K | pair
♥K, ♦4, ♦10, ♦7, ♦7 | pair
♥K, ♦4, ♦10, ♦7, ♦K | pair
♥K, ♦4, ♦10, ♥8, ♦K | pair
♥K, ♦4, ♦10, ♦7, ♦K | pair
♥K, ♦4, ♦5, ♦7, ♦7 | pair
♥K, ♦4, ♦5, ♦7, ♦7 | pair
♥K, ♦4, ♦5, ♦7, ♦K | pair
♥K, ♦4, ♦5, ♦7, ♦7 | pair
♥K, ♦4, ♦5, ♦7, ♦K | pair
♥K, ♦4, ♦5, ♥8, ♦K | pair
♥K, ♦4, ♦5, ♦7, ♦K | pair
♥K, ♦4, ♦7, ♦7, ♥8 | pair
♥K, ♦4, ♦7, ♦7, ♦7 | three of a kind
♥K, ♦4, ♦7, ♦7, ♦K | two pairs
♥K, ♦4, ♦7, ♥8, ♦7 | pair
♥K, ♦4, ♦7, ♥8, ♦K | pair
♥K, ♦4, ♦7, ♦7, ♦K | two pairs
♥K, ♦4, ♦7, ♥8, ♦7 | pair
♥K, ♦4, ♦7, ♥8, ♦K | pair
♥K, ♦4, ♦7, ♦7, ♦K | two pairs
♥K, ♦4, ♥8, ♦7, ♦K | pair
♥K, ♦10, ♦5, ♦7, ♦7 | pair
♥K, ♦10, ♦5, ♦7, ♦7 | pair
♥K, ♦10, ♦5, ♦7, ♦K | pair
♥K, ♦10, ♦5, ♦7, ♦7 | pair
♥K, ♦10, ♦5, ♦7, ♦K | pair
♥K, ♦10, ♦5, ♥8, ♦K | pair
♥K, ♦10, ♦5, ♦7, ♦K | pair
♥K, ♦10, ♦7, ♦7, ♥8 | pair
♥K, ♦10, ♦7, ♦7, ♦7 | three of a kind
♥K, ♦10, ♦7, ♦7, ♦K | two pairs
♥K, ♦10, ♦7, ♥8, ♦7 | pair
♥K, ♦10, ♦7, ♥8, ♦K | pair
♥K, ♦10, ♦7, ♦7, ♦K | two pairs
♥K, ♦10, ♦7, ♥8, ♦7 | pair
♥K, ♦10, ♦7, ♥8, ♦K | pair
♥K, ♦10, ♦7, ♦7, ♦K | two pairs
♥K, ♦10, ♥8, ♦7, ♦K | pair
♥K, ♦5, ♦7, ♦7, ♥8 | pair
♥K, ♦5, ♦7, ♦7, ♦7 | three of a kind
♥K, ♦5, ♦7, ♦7, ♦K | two pairs
♥K, ♦5, ♦7, ♥8, ♦7 | pair
♥K, ♦5, ♦7, ♥8, ♦K | pair
♥K, ♦5, ♦7, ♦7, ♦K | two pairs
♥K, ♦5, ♦7, ♥8, ♦7 | pair
♥K, ♦5, ♦7, ♥8, ♦K | pair
♥K, ♦5, ♦7, ♦7, ♦K | two pairs
♥K, ♦5, ♥8, ♦7, ♦K | pair
♥K, ♦7, ♦7, ♥8, ♦7 | three of a kind
♥K, ♦7, ♦7, ♥8, ♦K | two pairs
♥K, ♦7, ♦7, ♦7, ♦K | fullhouse
♥K, ♦7, ♥8, ♦7, ♦K | two pairs
♥K, ♦7, ♥8, ♦7, ♦K | two pairs
♠K, ♠7, ♦4, ♦10, ♦7 | pair
♠K, ♠7, ♦4, ♦10, ♦7 | pair
♠K, ♠7, ♦4, ♦10, ♦7 | pair
♠K, ♠7, ♦4, ♦10, ♦K | pair
♠K, ♠7, ♦4, ♦5, ♦7 | pair
♠K, ♠7, ♦4, ♦5, ♦7 | pair
♠K, ♠7, ♦4, ♦5, ♦7 | pair
♠K, ♠7, ♦4, ♦5, ♦K | pair
♠K, ♠7, ♦4, ♦7, ♦7 | three of a kind
♠K, ♠7, ♦4, ♦7, ♥8 | pair
♠K, ♠7, ♦4, ♦7, ♦7 | three of a kind
♠K, ♠7, ♦4, ♦7, ♦K | two pairs
♠K, ♠7, ♦4, ♦7, ♥8 | pair
♠K, ♠7, ♦4, ♦7, ♦7 | three of a kind
♠K, ♠7, ♦4, ♦7, ♦K | two pairs
♠K, ♠7, ♦4, ♥8, ♦7 | pair
♠K, ♠7, ♦4, ♥8, ♦K | pair
♠K, ♠7, ♦4, ♦7, ♦K | two pairs
♠K, ♠7, ♦10, ♦5, ♦7 | pair
♠K, ♠7, ♦10, ♦5, ♦7 | pair
♠K, ♠7, ♦10, ♦5, ♦7 | pair
♠K, ♠7, ♦10, ♦5, ♦K | pair
♠K, ♠7, ♦10, ♦7, ♦7 | three of a kind
♠K, ♠7, ♦10, ♦7, ♥8 | pair
♠K, ♠7, ♦10, ♦7, ♦7 | three of a kind
♠K, ♠7, ♦10, ♦7, ♦K | two pairs
♠K, ♠7, ♦10, ♦7, ♥8 | pair
♠K, ♠7, ♦10, ♦7, ♦7 | three of a kind
♠K, ♠7, ♦10, ♦7, ♦K | two pairs
♠K, ♠7, ♦10, ♥8, ♦7 | pair
♠K, ♠7, ♦10, ♥8, ♦K | pair
♠K, ♠7, ♦10, ♦7, ♦K | two pairs
♠K, ♠7, ♦5, ♦7, ♦7 | three of a kind
♠K, ♠7, ♦5, ♦7, ♥8 | pair
♠K, ♠7, ♦5, ♦7, ♦7 | three of a kind
♠K, ♠7, ♦5, ♦7, ♦K | two pairs
♠K, ♠7, ♦5, ♦7, ♥8 | pair
♠K, ♠7, ♦5, ♦7, ♦7 | three of a kind
♠K, ♠7, ♦5, ♦7, ♦K | two pairs
♠K, ♠7, ♦5, ♥8, ♦7 | pair
♠K, ♠7, ♦5, ♥8, ♦K | pair
♠K, ♠7, ♦5, ♦7, ♦K | two pairs
♠K, ♠7, ♦7, ♦7, ♥8 | three of a kind
♠K, ♠7, ♦7, ♦7, ♦7 | four of a kind!
♠K, ♠7, ♦7, ♦7, ♦K | fullhouse
♠K, ♠7, ♦7, ♥8, ♦7 | three of a kind
♠K, ♠7, ♦7, ♥8, ♦K | two pairs
♠K, ♠7, ♦7, ♦7, ♦K | fullhouse
♠K, ♠7, ♦7, ♥8, ♦7 | three of a kind
♠K, ♠7, ♦7, ♥8, ♦K | two pairs
♠K, ♠7, ♦7, ♦7, ♦K | fullhouse
♠K, ♠7, ♥8, ♦7, ♦K | two pairs
♠K, ♦4, ♦10, ♦5, ♦K | pair
♠K, ♦4, ♦10, ♦7, ♦7 | pair
♠K, ♦4, ♦10, ♦7, ♦7 | pair
♠K, ♦4, ♦10, ♦7, ♦K | pair
♠K, ♦4, ♦10, ♦7, ♦7 | pair
♠K, ♦4, ♦10, ♦7, ♦K | pair
♠K, ♦4, ♦10, ♥8, ♦K | pair
♠K, ♦4, ♦10, ♦7, ♦K | pair
♠K, ♦4, ♦5, ♦7, ♦7 | pair
♠K, ♦4, ♦5, ♦7, ♦7 | pair
♠K, ♦4, ♦5, ♦7, ♦K | pair
♠K, ♦4, ♦5, ♦7, ♦7 | pair
♠K, ♦4, ♦5, ♦7, ♦K | pair
♠K, ♦4, ♦5, ♥8, ♦K | pair
♠K, ♦4, ♦5, ♦7, ♦K | pair
