♣8, ♦4, ♥A, ♦3, ♦4 | pair
♣8, ♦4, ♠6, ♦9, ♥6 | pair
♣8, ♦4, ♠6, ♠2, ♦2 | pair
♣8, ♦4, ♠6, ♠2, ♥6 | pair
♣8, ♦4, ♠6, ♦2, ♥6 | pair
♣8, ♦4, ♠6, ♦3, ♥6 | pair
♣8, ♦4, ♠2, ♠9, ♦4 | pair
♣8, ♦4, ♠2, ♠9, ♦9 | pair
♣8, ♦4, ♠2, ♠9, ♠2 | pair
♣8, ♦4, ♠2, ♠9, ♦2 | pair
♣8, ♦4, ♠2, ♦4, ♠A | pair
♣8, ♦4, ♠2, ♦4, ♦9 | pair
♣8, ♦4, ♠2, ♦4, ♠2 | two pairs
♣8, ♦4, ♠2, ♦4, ♦2 | two pairs
♣8, ♦4, ♠2, ♦4, ♦3 | pair
♣8, ♦4, ♠2, ♦4, ♥6 | pair
♣8, ♦4, ♠2, ♠A, ♠2 | pair
♣8, ♦4, ♠2, ♠A, ♦2 | pair
♣8, ♦4, ♠2, ♦9, ♠2 | pair
♣8, ♦4, ♠2, ♦9, ♦2 | pair
♣8, ♦4, ♠2, ♠2, ♦2 | three of a kind
♣8, ♦4, ♠2, ♠2, ♦3 | pair
♣8, ♦4, ♠2, ♠2, ♥6 | pair
♣8, ♦4, ♠2, ♦2, ♦3 | pair
♣8, ♦4, ♠2, ♦2, ♥6 | pair
♣8, ♦4, ♠9, ♦4, ♠A | pair
♣8, ♦4, ♠9, ♦4, ♦9 | two pairs
♣8, ♦4, ♠9, ♦4, ♠2 | pair
♣8, ♦4, ♠9, ♦4, ♦2 | pair
♣8, ♦4, ♠9, ♦4, ♦3 | pair
♣8, ♦4, ♠9, ♦4, ♥6 | pair
♣8, ♦4, ♠9, ♠A, ♦9 | pair
♣8, ♦4, ♠9, ♦9, ♠2 | pair
♣8, ♦4, ♠9, ♦9, ♦2 | pair
♣8, ♦4, ♠9, ♦9, ♦3 | pair
♣8, ♦4, ♠9, ♦9, ♥6 | pair
♣8, ♦4, ♠9, ♠2, ♦2 | pair
♣8, ♦4, ♦4, ♠A, ♦9 | pair
♣8, ♦4, ♦4, ♠A, ♠2 | pair
♣8, ♦4, ♦4, ♠A, ♦2 | pair
♣8, ♦4, ♦4, ♠A, ♦3 | pair
♣8, ♦4, ♦4, ♠A, ♥6 | pair
♣8, ♦4, ♦4, ♦9, ♠2 | pair
♣8, ♦4, ♦4, ♦9, ♦2 | pair
♣8, ♦4, ♦4, ♦9, ♦3 | pair
♣8, ♦4, ♦4, ♦9, ♥6 | pair
♣8, ♦4, ♦4, ♠2, ♦2 | two pairs
♣8, ♦4, ♦4, ♠2, ♦3 | pair
♣8, ♦4, ♦4, ♠2, ♥6 | pair
♣8, ♦4, ♦4, ♦2, ♦3 | pair
♣8, ♦4, ♦4, ♦2, ♥6 | pair
♣8, ♦4, ♦4, ♦3, ♥6 | pair
♣8, ♦4, ♠A, ♠2, ♦2 | pair
♣8, ♦4, ♦9, ♠2, ♦2 | pair
♣8, ♦4, ♠2, ♦2, ♦3 | pair
♣8, ♦4, ♠2, ♦2, ♥6 | pair
♣8, ♥A, ♦3, ♠6, ♠A | pair
♣8, ♥A, ♦3, ♠6, ♦3 | pair
♣8, ♥A, ♦3, ♠6, ♥6 | pair
♣8, ♥A, ♦3, ♠2, ♠A | pair
♣8, ♥A, ♦3, ♠2, ♠2 | pair
♣8, ♥A, ♦3, ♠2, ♦2 | pair
♣8, ♥A, ♦3, ♠2, ♦3 | pair
♣8, ♥A, ♦3, ♠9, ♠A | pair
♣8, ♥A, ♦3, ♠9, ♦9 | pair
♣8, ♥A, ♦3, ♠9, ♦3 | pair
♣8, ♥A, ♦3, ♦4, ♠A | pair
♣8, ♥A, ♦3, ♦4, ♦3 | pair
♣8, ♥A, ♦3, ♠A, ♦9 | pair
♣8, ♥A, ♦3, ♠A, ♠2 | pair
♣8, ♥A, ♦3, ♠A, ♦2 | pair
♣8, ♥A, ♦3, ♠A, ♦3 | two pairs
♣8, ♥A, ♦3, ♠A, ♥6 | pair
♣8, ♥A, ♦3, ♦9, ♦3 | pair
♣8, ♥A, ♦3, ♠2, ♦2 | pair
♣8, ♥A, ♦3, ♠2, ♦3 | pair
♣8, ♥A, ♦3, ♦2, ♦3 | pair
♣8, ♥A, ♦3, ♦3, ♥6 | pair
♣8, ♥A, ♠6, ♠2, ♠A | pair
♣8, ♥A, ♠6, ♠2, ♠2 | pair
♣8, ♥A, ♠6, ♠2, ♦2 | pair
♣8, ♥A, ♠6, ♠2, ♥6 | pair
♣8, ♥A, ♠6, ♠9, ♠A | pair
♣8, ♥A, ♠6, ♠9, ♦9 | pair
♣8, ♥A, ♠6, ♠9, ♥6 | pair
♣8, ♥A, ♠6, ♦4, ♠A | pair
♣8, ♥A, ♠6, ♦4, ♥6 | pair
♣8, ♥A, ♠6, ♠A, ♦9 | pair
♣8, ♥A, ♠6, ♠A, ♠2 | pair
♣8, ♥A, ♠6, ♠A, ♦2 | pair
♣8, ♥A, ♠6, ♠A, ♦3 | pair
♣8, ♥A, ♠6, ♠A, ♥6 | two pairs
♣8, ♥A, ♠6, ♦9, ♥6 | pair
♣8, ♥A, ♠6, ♠2, ♦2 | pair
♣8, ♥A, ♠6, ♠2, ♥6 | pair
♣8, ♥A, ♠6, ♦2, ♥6 | pair
♣8, ♥A, ♠6, ♦3, ♥6 | pair
♣8, ♥A, ♠2, ♠9, ♠A | pair
♣8, ♥A, ♠2, ♠9, ♦9 | pair
♣8, ♥A, ♠2, ♠9, ♠2 | pair
♣8, ♥A, ♠2, ♠9, ♦2 | pair
♣8, ♥A, ♠2, ♦4, ♠A | pair
♣8, ♥A, ♠2, ♦4, ♠2 | pair
♣8, ♥A, ♠2, ♦4, ♦2 | pair
♣8, ♥A, ♠2, ♠A, ♦9 | pair
♣8, ♥A, ♠2, ♠A, ♠2 | two pairs
♣8, ♥A, ♠2, ♠A, ♦2 | two pairs
♣8, ♥A, ♠2, ♠A, ♦3 | pair
♣8, ♥A, ♠2, ♠A, ♥6 | pair
♣8, ♥A, ♠2, ♦9, ♠2 | pair
♣8, ♥A, ♠2, ♦9, ♦2 | pair
♣8, ♥A, ♠2, ♠2, ♦2 | three of a kind
♣8, ♥A, ♠2, ♠2, ♦3 | pair
♣8, ♥A, ♠2, ♠2, ♥6 | pair
♣8, ♥A, ♠2, ♦2, ♦3 | pair
♣8, ♥A, ♠2, ♦2, ♥6 | pair
♣8, ♥A, ♠9, ♦4, ♠A | pair
♣8, ♥A, ♠9, ♦4, ♦9 | pair
♣8, ♥A, ♠9, ♠A, ♦9 | two pairs
♣8, ♥A, ♠9, ♠A, ♠2 | pair
♣8, ♥A, ♠9, ♠A, ♦2 | pair
♣8, ♥A, ♠9, ♠A, ♦3 | pair
♣8, ♥A, ♠9, ♠A, ♥6 | pair
♣8, ♥A, ♠9, ♦9, ♠2 | pair
♣8, ♥A, ♠9, ♦9, ♦2 | pair
♣8, ♥A, ♠9, ♦9, ♦3 | pair
♣8, ♥A, ♠9, ♦9, ♥6 | pair
♣8, ♥A, ♠9, ♠2, ♦2 | pair
♣8, ♥A, ♦4, ♠A, ♦9 | pair
♣8, ♥A, ♦4, ♠A, ♠2 | pair
♣8, ♥A, ♦4, ♠A, ♦2 | pair
♣8, ♥A, ♦4, ♠A, ♦3 | pair
♣8, ♥A, ♦4, ♠A, ♥6 | pair
♣8, ♥A, ♦4, ♠2, ♦2 | pair
♣8, ♥A, ♠A, ♦9, ♠2 | pair
♣8, ♥A, ♠A, ♦9, ♦2 | pair
♣8, ♥A, ♠A, ♦9, ♦3 | pair
♣8, ♥A, ♠A, ♦9, ♥6 | pair
♣8, ♥A, ♠A, ♠2, ♦2 | two pairs
♣8, ♥A, ♠A, ♠2, ♦3 | pair
♣8, ♥A, ♠A, ♠2, ♥6 | pair
♣8, ♥A, ♠A, ♦2, ♦3 | pair
♣8, ♥A, ♠A, ♦2, ♥6 | pair
♣8, ♥A, ♠A, ♦3, ♥6 | pair
♣8, ♥A, ♦9, ♠2, ♦2 | pair
♣8, ♥A, ♠2, ♦2, ♦3 | pair
♣8, ♥A, ♠2, ♦2, ♥6 | pair
♣8, ♦3, ♠6, ♠2, ♠2 | pair
♣8, ♦3, ♠6, ♠2, ♦2 | pair
♣8, ♦3, ♠6, ♠2, ♦3 | pair
♣8, ♦3, ♠6, ♠2, ♥6 | pair
♣8, ♦3, ♠6, ♠9, ♦9 | pair
♣8, ♦3, ♠6, ♠9, ♦3 | pair
♣8, ♦3, ♠6, ♠9, ♥6 | pair
♣8, ♦3, ♠6, ♦4, ♦3 | pair
♣8, ♦3, ♠6, ♦4, ♥6 | pair
♣8, ♦3, ♠6, ♠A, ♦3 | pair
♣8, ♦3, ♠6, ♠A, ♥6 | pair
♣8, ♦3, ♠6, ♦9, ♦3 | pair
♣8, ♦3, ♠6, ♦9, ♥6 | pair
♣8, ♦3, ♠6, ♠2, ♦2 | pair
♣8, ♦3, ♠6, ♠2, ♦3 | pair
♣8, ♦3, ♠6, ♠2, ♥6 | pair
♣8, ♦3, ♠6, ♦2, ♦3 | pair
♣8, ♦3, ♠6, ♦2, ♥6 | pair
♣8, ♦3, ♠6, ♦3, ♥6 | two pairs
♣8, ♦3, ♠2, ♠9, ♦9 | pair
♣8, ♦3, ♠2, ♠9, ♠2 | pair
♣8, ♦3, ♠2, ♠9, ♦2 | pair
♣8, ♦3, ♠2, ♠9, ♦3 | pair
♣8, ♦3, ♠2, ♦4, ♠2 | pair
♣8, ♦3, ♠2, ♦4, ♦2 | pair
♣8, ♦3, ♠2, ♦4, ♦3 | pair
♣8, ♦3, ♠2, ♠A, ♠2 | pair
♣8, ♦3, ♠2, ♠A, ♦2 | pair
♣8, ♦3, ♠2, ♠A, ♦3 | pair
♣8, ♦3, ♠2, ♦9, ♠2 | pair
♣8, ♦3, ♠2, ♦9, ♦2 | pair
♣8, ♦3, ♠2, ♦9, ♦3 | pair
♣8, ♦3, ♠2, ♠2, ♦2 | three of a kind
♣8, ♦3, ♠2, ♠2, ♦3 | two pairs
♣8, ♦3, ♠2, ♠2, ♥6 | pair
♣8, ♦3, ♠2, ♦2, ♦3 | two pairs
♣8, ♦3, ♠2, ♦2, ♥6 | pair
♣8, ♦3, ♠2, ♦3, ♥6 | pair
♣8, ♦3, ♠9, ♦4, ♦9 | pair
♣8, ♦3, ♠9, ♦4, ♦3 | pair
♣8, ♦3, ♠9, ♠A, ♦9 | pair
♣8, ♦3, ♠9, ♠A, ♦3 | pair
♣8, ♦3, ♠9, ♦9, ♠2 | pair
♣8, ♦3, ♠9, ♦9, ♦2 | pair
♣8, ♦3, ♠9, ♦9, ♦3 | two pairs
♣8, ♦3, ♠9, ♦9, ♥6 | pair
♣8, ♦3, ♠9, ♠2, ♦2 | pair
♣8, ♦3, ♠9, ♠2, ♦3 | pair
♣8, ♦3, ♠9, ♦2, ♦3 | pair
♣8, ♦3, ♠9, ♦3, ♥6 | pair
♣8, ♦3, ♦4, ♠A, ♦3 | pair
♣8, ♦3, ♦4, ♦9, ♦3 | pair
♣8, ♦3, ♦4, ♠2, ♦2 | pair
♣8, ♦3, ♦4, ♠2, ♦3 | pair
♣8, ♦3, ♦4, ♦2, ♦3 | pair
♣8, ♦3, ♦4, ♦3, ♥6 | pair
♣8, ♦3, ♠A, ♦9, ♦3 | pair
♣8, ♦3, ♠A, ♠2, ♦2 | pair
♣8, ♦3, ♠A, ♠2, ♦3 | pair
♣8, ♦3, ♠A, ♦2, ♦3 | pair
♣8, ♦3, ♠A, ♦3, ♥6 | pair
♣8, ♦3, ♦9, ♠2, ♦2 | pair
♣8, ♦3, ♦9, ♠2, ♦3 | pair
♣8, ♦3, ♦9, ♦2, ♦3 | pair
♣8, ♦3, ♦9, ♦3, ♥6 | pair
♣8, ♦3, ♠2, ♦2, ♦3 | two pairs
♣8, ♦3, ♠2, ♦2, ♥6 | pair
♣8, ♦3, ♠2, ♦3, ♥6 | pair
♣8, ♦3, ♦2, ♦3, ♥6 | pair
♣8, ♠6, ♠2, ♠9, ♦9 | pair
♣8, ♠6, ♠2, ♠9, ♠2 | pair
♣8, ♠6, ♠2, ♠9, ♦2 | pair
♣8, ♠6, ♠2, ♠9, ♥6 | pair
♣8, ♠6, ♠2, ♦4, ♠2 | pair
♣8, ♠6, ♠2, ♦4, ♦2 | pair
♣8, ♠6, ♠2, ♦4, ♥6 | pair
♣8, ♠6, ♠2, ♠A, ♠2 | pair
♣8, ♠6, ♠2, ♠A, ♦2 | pair
♣8, ♠6, ♠2, ♠A, ♥6 | pair
♣8, ♠6, ♠2, ♦9, ♠2 | pair
♣8, ♠6, ♠2, ♦9, ♦2 | pair
♣8, ♠6, ♠2, ♦9, ♥6 | pair
♣8, ♠6, ♠2, ♠2, ♦2 | three of a kind
♣8, ♠6, ♠2, ♠2, ♦3 | pair
♣8, ♠6, ♠2, ♠2, ♥6 | two pairs
♣8, ♠6, ♠2, ♦2, ♦3 | pair
♣8, ♠6, ♠2, ♦2, ♥6 | two pairs
♣8, ♠6, ♠2, ♦3, ♥6 | pair
♣8, ♠6, ♠9, ♦4, ♦9 | pair
♣8, ♠6, ♠9, ♦4, ♥6 | pair
♣8, ♠6, ♠9, ♠A, ♦9 | pair
♣8, ♠6, ♠9, ♠A, ♥6 | pair
♣8, ♠6, ♠9, ♦9, ♠2 | pair
♣8, ♠6, ♠9, ♦9, ♦2 | pair
♣8, ♠6, ♠9, ♦9, ♦3 | pair
♣8, ♠6, ♠9, ♦9, ♥6 | two pairs
♣8, ♠6, ♠9, ♠2, ♦2 | pair
♣8, ♠6, ♠9, ♠2, ♥6 | pair
♣8, ♠6, ♠9, ♦2, ♥6 | pair
♣8, ♠6, ♠9, ♦3, ♥6 | pair
♣8, ♠6, ♦4, ♠A, ♥6 | pair
♣8, ♠6, ♦4, ♦9, ♥6 | pair
♣8, ♠6, ♦4, ♠2, ♦2 | pair
♣8, ♠6, ♦4, ♠2, ♥6 | pair
♣8, ♠6, ♦4, ♦2, ♥6 | pair
♣8, ♠6, ♦4, ♦3, ♥6 | pair
♣8, ♠6, ♠A, ♦9, ♥6 | pair
♣8, ♠6, ♠A, ♠2, ♦2 | pair
♣8, ♠6, ♠A, ♠2, ♥6 | pair
♣8, ♠6, ♠A, ♦2, ♥6 | pair
♣8, ♠6, ♠A, ♦3, ♥6 | pair
♣8, ♠6, ♦9, ♠2, ♦2 | pair
♣8, ♠6, ♦9, ♠2, ♥6 | pair
♣8, ♠6, ♦9, ♦2, ♥6 | pair
♣8, ♠6, ♦9, ♦3, ♥6 | pair
♣8, ♠6, ♠2, ♦2, ♦3 | pair
♣8, ♠6, ♠2, ♦2, ♥6 | two pairs
♣8, ♠6, ♠2, ♦3, ♥6 | pair
♣8, ♠6, ♦2, ♦3, ♥6 | pair
♣8, ♠2, ♠9, ♦4, ♦9 | pair
♣8, ♠2, ♠9, ♦4, ♠2 | pair
♣8, ♠2, ♠9, ♦4, ♦2 | pair
♣8, ♠2, ♠9, ♠A, ♦9 | pair
♣8, ♠2, ♠9, ♠A, ♠2 | pair
♣8, ♠2, ♠9, ♠A, ♦2 | pair
♣8, ♠2, ♠9, ♦9, ♠2 | two pairs
♣8, ♠2, ♠9, ♦9, ♦2 | two pairs
♣8, ♠2, ♠9, ♦9, ♦3 | pair
♣8, ♠2, ♠9, ♦9, ♥6 | pair
♣8, ♠2, ♠9, ♠2, ♦2 | three of a kind
♣8, ♠2, ♠9, ♠2, ♦3 | pair
♣8, ♠2, ♠9, ♠2, ♥6 | pair
♣8, ♠2, ♠9, ♦2, ♦3 | pair
♣8, ♠2, ♠9, ♦2, ♥6 | pair
♣8, ♠2, ♦4, ♠A, ♠2 | pair
♣8, ♠2, ♦4, ♠A, ♦2 | pair
♣8, ♠2, ♦4, ♦9, ♠2 | pair
♣8, ♠2, ♦4, ♦9, ♦2 | pair
♣8, ♠2, ♦4, ♠2, ♦2 | three of a kind
♣8, ♠2, ♦4, ♠2, ♦3 | pair
♣8, ♠2, ♦4, ♠2, ♥6 | pair
♣8, ♠2, ♦4, ♦2, ♦3 | pair
♣8, ♠2, ♦4, ♦2, ♥6 | pair
♣8, ♠2, ♠A, ♦9, ♠2 | pair
♣8, ♠2, ♠A, ♦9, ♦2 | pair
♣8, ♠2, ♠A, ♠2, ♦2 | three of a kind
♣8, ♠2, ♠A, ♠2, ♦3 | pair
♣8, ♠2, ♠A, ♠2, ♥6 | pair
♣8, ♠2, ♠A, ♦2, ♦3 | pair
♣8, ♠2, ♠A, ♦2, ♥6 | pair
♣8, ♠2, ♦9, ♠2, ♦2 | three of a kind
♣8, ♠2, ♦9, ♠2, ♦3 | pair
♣8, ♠2, ♦9, ♠2, ♥6 | pair
♣8, ♠2, ♦9, ♦2, ♦3 | pair
♣8, ♠2, ♦9, ♦2, ♥6 | pair
♣8, ♠2, ♠2, ♦2, ♦3 | three of a kind
♣8, ♠2, ♠2, ♦2, ♥6 | three of a kind
♣8, ♠2, ♠2, ♦3, ♥6 | pair
♣8, ♠2, ♦2, ♦3, ♥6 | pair
♣8, ♠9, ♦4, ♠A, ♦9 | pair
♣8, ♠9, ♦4, ♦9, ♠2 | pair
♣8, ♠9, ♦4, ♦9, ♦2 | pair
♣8, ♠9, ♦4, ♦9, ♦3 | pair
♣8, ♠9, ♦4, ♦9, ♥6 | pair
♣8, ♠9, ♦4, ♠2, ♦2 | pair
♣8, ♠9, ♠A, ♦9, ♠2 | pair
♣8, ♠9, ♠A, ♦9, ♦2 | pair
♣8, ♠9, ♠A, ♦9, ♦3 | pair
♣8, ♠9, ♠A, ♦9, ♥6 | pair
♣8, ♠9, ♠A, ♠2, ♦2 | pair
♣8, ♠9, ♦9, ♠2, ♦2 | two pairs
♣8, ♠9, ♦9, ♠2, ♦3 | pair
♣8, ♠9, ♦9, ♠2, ♥6 | pair
♣8, ♠9, ♦9, ♦2, ♦3 | pair
♣8, ♠9, ♦9, ♦2, ♥6 | pair
♣8, ♠9, ♦9, ♦3, ♥6 | pair
♣8, ♠9, ♠2, ♦2, ♦3 | pair
♣8, ♠9, ♠2, ♦2, ♥6 | pair
♣8, ♦4, ♠A, ♠2, ♦2 | pair
♣8, ♦4, ♦9, ♠2, ♦2 | pair
♣8, ♦4, ♠2, ♦2, ♦3 | pair
♣8, ♦4, ♠2, ♦2, ♥6 | pair
♣8, ♠A, ♦9, ♠2, ♦2 | pair
♣8, ♠A, ♠2, ♦2, ♦3 | pair
♣8, ♠A, ♠2, ♦2, ♥6 | pair
♣8, ♦9, ♠2, ♦2, ♦3 | pair
♣8, ♦9, ♠2, ♦2, ♥6 | pair
♣8, ♠2, ♦2, ♦3, ♥6 | pair
♦4, ♥A, ♦3, ♠6, ♦4 | pair
♦4, ♥A, ♦3, ♠6, ♠A | pair
♦4, ♥A, ♦3, ♠6, ♦3 | pair
♦4, ♥A, ♦3, ♠6, ♥6 | pair
♦4, ♥A, ♦3, ♠2, ♦4 | pair
♦4, ♥A, ♦3, ♠2, ♠A | pair
♦4, ♥A, ♦3, ♠2, ♠2 | pair
♦4, ♥A, ♦3, ♠2, ♦2 | pair
♦4, ♥A, ♦3, ♠2, ♦3 | pair
♦4, ♥A, ♦3, ♠9, ♦4 | pair
♦4, ♥A, ♦3, ♠9, ♠A | pair
♦4, ♥A, ♦3, ♠9, ♦9 | pair
♦4, ♥A, ♦3, ♠9, ♦3 | pair
♦4, ♥A, ♦3, ♦4, ♠A | two pairs
♦4, ♥A, ♦3, ♦4, ♦9 | pair
♦4, ♥A, ♦3, ♦4, ♠2 | pair
♦4, ♥A, ♦3, ♦4, ♦2 | pair
♦4, ♥A, ♦3, ♦4, ♦3 | two pairs
♦4, ♥A, ♦3, ♦4, ♥6 | pair
♦4, ♥A, ♦3, ♠A, ♦9 | pair
♦4, ♥A, ♦3, ♠A, ♠2 | pair
♦4, ♥A, ♦3, ♠A, ♦2 | pair
♦4, ♥A, ♦3, ♠A, ♦3 | two pairs
♦4, ♥A, ♦3, ♠A, ♥6 | pair
♦4, ♥A, ♦3, ♦9, ♦3 | pair
♦4, ♥A, ♦3, ♠2, ♦2 | pair
♦4, ♥A, ♦3, ♠2, ♦3 | pair
♦4, ♥A, ♦3, ♦2, ♦3 | pair
♦4, ♥A, ♦3, ♦3, ♥6 | pair
♦4, ♥A, ♠6, ♠2, ♦4 | pair
♦4, ♥A, ♠6, ♠2, ♠A | pair
♦4, ♥A, ♠6, ♠2, ♠2 | pair
♦4, ♥A, ♠6, ♠2, ♦2 | pair
♦4, ♥A, ♠6, ♠2, ♥6 | pair
♦4, ♥A, ♠6, ♠9, ♦4 | pair
♦4, ♥A, ♠6, ♠9, ♠A | pair
♦4, ♥A, ♠6, ♠9, ♦9 | pair
♦4, ♥A, ♠6, ♠9, ♥6 | pair
♦4, ♥A, ♠6, ♦4, ♠A | two pairs
♦4, ♥A, ♠6, ♦4, ♦9 | pair
♦4, ♥A, ♠6, ♦4, ♠2 | pair
♦4, ♥A, ♠6, ♦4, ♦2 | pair
♦4, ♥A, ♠6, ♦4, ♦3 | pair
♦4, ♥A, ♠6, ♦4, ♥6 | two pairs
♦4, ♥A, ♠6, ♠A, ♦9 | pair
♦4, ♥A, ♠6, ♠A, ♠2 | pair
♦4, ♥A, ♠6, ♠A, ♦2 | pair
♦4, ♥A, ♠6, ♠A, ♦3 | pair
♦4, ♥A, ♠6, ♠A, ♥6 | two pairs
♦4, ♥A, ♠6, ♦9, ♥6 | pair
♦4, ♥A, ♠6, ♠2, ♦2 | pair
♦4, ♥A, ♠6, ♠2, ♥6 | pair
♦4, ♥A, ♠6, ♦2, ♥6 | pair
♦4, ♥A, ♠6, ♦3, ♥6 | pair
♦4, ♥A, ♠2, ♠9, ♦4 | pair
♦4, ♥A, ♠2, ♠9, ♠A | pair
♦4, ♥A, ♠2, ♠9, ♦9 | pair
♦4, ♥A, ♠2, ♠9, ♠2 | pair
♦4, ♥A, ♠2, ♠9, ♦2 | pair
♦4, ♥A, ♠2, ♦4, ♠A | two pairs
♦4, ♥A, ♠2, ♦4, ♦9 | pair
♦4, ♥A, ♠2, ♦4, ♠2 | two pairs
♦4, ♥A, ♠2, ♦4, ♦2 | two pairs
♦4, ♥A, ♠2, ♦4, ♦3 | pair
♦4, ♥A, ♠2, ♦4, ♥6 | pair
♦4, ♥A, ♠2, ♠A, ♦9 | pair
♦4, ♥A, ♠2, ♠A, ♠2 | two pairs
♦4, ♥A, ♠2, ♠A, ♦2 | two pairs
♦4, ♥A, ♠2, ♠A, ♦3 | pair
♦4, ♥A, ♠2, ♠A, ♥6 | pair
♦4, ♥A, ♠2, ♦9, ♠2 | pair
♦4, ♥A, ♠2, ♦9, ♦2 | pair
♦4, ♥A, ♠2, ♠2, ♦2 | three of a kind
♦4, ♥A, ♠2, ♠2, ♦3 | pair
♦4, ♥A, ♠2, ♠2, ♥6 | pair
♦4, ♥A, ♠2, ♦2, ♦3 | pair
♦4, ♥A, ♠2, ♦2, ♥6 | pair
♦4, ♥A, ♠9, ♦4, ♠A | two pairs
♦4, ♥A, ♠9, ♦4, ♦9 | two pairs
♦4, ♥A, ♠9, ♦4, ♠2 | pair
♦4, ♥A, ♠9, ♦4, ♦2 | pair
♦4, ♥A, ♠9, ♦4, ♦3 | pair
♦4, ♥A, ♠9, ♦4, ♥6 | pair
♦4, ♥A, ♠9, ♠A, ♦9 | two pairs
♦4, ♥A, ♠9, ♠A, ♠2 | pair
♦4, ♥A, ♠9, ♠A, ♦2 | pair
♦4, ♥A, ♠9, ♠A, ♦3 | pair
♦4, ♥A, ♠9, ♠A, ♥6 | pair
♦4, ♥A, ♠9, ♦9, ♠2 | pair
♦4, ♥A, ♠9, ♦9, ♦2 | pair
♦4, ♥A, ♠9, ♦9, ♦3 | pair
♦4, ♥A, ♠9, ♦9, ♥6 | pair
♦4, ♥A, ♠9, ♠2, ♦2 | pair
♦4, ♥A, ♦4, ♠A, ♦9 | two pairs
♦4, ♥A, ♦4, ♠A, ♠2 | two pairs
♦4, ♥A, ♦4, ♠A, ♦2 | two pairs
♦4, ♥A, ♦4, ♠A, ♦3 | two pairs
♦4, ♥A, ♦4, ♠A, ♥6 | two pairs
♦4, ♥A, ♦4, ♦9, ♠2 | pair
♦4, ♥A, ♦4, ♦9, ♦2 | pair
