♣10, ♥A, ♠7, ♥J, ♦7 | pair
♣10, ♥A, ♣5, ♣9, ♥10 | pair
♣10, ♥A, ♣5, ♣9, ♦9 | pair
♣10, ♥A, ♣5, ♣9, ♠9 | pair
♣10, ♥A, ♣5, ♦7, ♣7 | pair
♣10, ♥A, ♣5, ♦7, ♥10 | pair
♣10, ♥A, ♣5, ♦K, ♥10 | pair
♣10, ♥A, ♣5, ♣3, ♦3 | pair
♣10, ♥A, ♣5, ♣3, ♥10 | pair
♣10, ♥A, ♣5, ♣7, ♥10 | pair
♣10, ♥A, ♣5, ♥Q, ♥10 | pair
♣10, ♥A, ♣5, ♦3, ♥10 | pair
♣10, ♥A, ♣5, ♥10, ♦9 | pair
♣10, ♥A, ♣5, ♥10, ♠9 | pair
♣10, ♥A, ♣5, ♥10, ♠6 | pair
♣10, ♥A, ♣5, ♦9, ♠9 | pair
♣10, ♥A, ♣9, ♦7, ♣7 | pair
♣10, ♥A, ♣9, ♦7, ♥10 | pair
♣10, ♥A, ♣9, ♦7, ♦9 | pair
♣10, ♥A, ♣9, ♦7, ♠9 | pair
♣10, ♥A, ♣9, ♦K, ♥10 | pair
♣10, ♥A, ♣9, ♦K, ♦9 | pair
♣10, ♥A, ♣9, ♦K, ♠9 | pair
♣10, ♥A, ♣9, ♣3, ♦3 | pair
♣10, ♥A, ♣9, ♣3, ♥10 | pair
♣10, ♥A, ♣9, ♣3, ♦9 | pair
♣10, ♥A, ♣9, ♣3, ♠9 | pair
♣10, ♥A, ♣9, ♣7, ♥10 | pair
♣10, ♥A, ♣9, ♣7, ♦9 | pair
♣10, ♥A, ♣9, ♣7, ♠9 | pair
♣10, ♥A, ♣9, ♥Q, ♥10 | pair
♣10, ♥A, ♣9, ♥Q, ♦9 | pair
♣10, ♥A, ♣9, ♥Q, ♠9 | pair
♣10, ♥A, ♣9, ♦3, ♥10 | pair
♣10, ♥A, ♣9, ♦3, ♦9 | pair
♣10, ♥A, ♣9, ♦3, ♠9 | pair
♣10, ♥A, ♣9, ♥10, ♦9 | two pairs
♣10, ♥A, ♣9, ♥10, ♠9 | two pairs
♣10, ♥A, ♣9, ♥10, ♠6 | pair
♣10, ♥A, ♣9, ♦9, ♠9 | three of a kind
♣10, ♥A, ♣9, ♦9, ♠6 | pair
♣10, ♥A, ♣9, ♠9, ♠6 | pair
♣10, ♥A, ♦7, ♦K, ♣7 | pair
♣10, ♥A, ♦7, ♦K, ♥10 | pair
♣10, ♥A, ♦7, ♣3, ♣7 | pair
♣10, ♥A, ♦7, ♣3, ♦3 | pair
♣10, ♥A, ♦7, ♣3, ♥10 | pair
♣10, ♥A, ♦7, ♣7, ♥Q | pair
♣10, ♥A, ♦7, ♣7, ♦3 | pair
♣10, ♥A, ♦7, ♣7, ♥10 | two pairs
♣10, ♥A, ♦7, ♣7, ♦9 | pair
♣10, ♥A, ♦7, ♣7, ♠9 | pair
♣10, ♥A, ♦7, ♣7, ♠6 | pair
♣10, ♥A, ♦7, ♥Q, ♥10 | pair
♣10, ♥A, ♦7, ♦3, ♥10 | pair
♣10, ♥A, ♦7, ♥10, ♦9 | pair
♣10, ♥A, ♦7, ♥10, ♠9 | pair
♣10, ♥A, ♦7, ♥10, ♠6 | pair
♣10, ♥A, ♦7, ♦9, ♠9 | pair
♣10, ♥A, ♦K, ♣3, ♦3 | pair
♣10, ♥A, ♦K, ♣3, ♥10 | pair
♣10, ♥A, ♦K, ♣7, ♥10 | pair
♣10, ♥A, ♦K, ♥Q, ♥10 | pair
♣10, ♥A, ♦K, ♦3, ♥10 | pair
♣10, ♥A, ♦K, ♥10, ♦9 | pair
♣10, ♥A, ♦K, ♥10, ♠9 | pair
♣10, ♥A, ♦K, ♥10, ♠6 | pair
♣10, ♥A, ♦K, ♦9, ♠9 | pair
♣10, ♥A, ♣3, ♣7, ♦3 | pair
♣10, ♥A, ♣3, ♣7, ♥10 | pair
♣10, ♥A, ♣3, ♥Q, ♦3 | pair
♣10, ♥A, ♣3, ♥Q, ♥10 | pair
♣10, ♥A, ♣3, ♦3, ♥10 | two pairs
♣10, ♥A, ♣3, ♦3, ♦9 | pair
♣10, ♥A, ♣3, ♦3, ♠9 | pair
♣10, ♥A, ♣3, ♦3, ♠6 | pair
♣10, ♥A, ♣3, ♥10, ♦9 | pair
♣10, ♥A, ♣3, ♥10, ♠9 | pair
♣10, ♥A, ♣3, ♥10, ♠6 | pair
♣10, ♥A, ♣3, ♦9, ♠9 | pair
♣10, ♥A, ♣7, ♥Q, ♥10 | pair
♣10, ♥A, ♣7, ♦3, ♥10 | pair
♣10, ♥A, ♣7, ♥10, ♦9 | pair
♣10, ♥A, ♣7, ♥10, ♠9 | pair
♣10, ♥A, ♣7, ♥10, ♠6 | pair
♣10, ♥A, ♣7, ♦9, ♠9 | pair
♣10, ♥A, ♥Q, ♦3, ♥10 | pair
♣10, ♥A, ♥Q, ♥10, ♦9 | pair
♣10, ♥A, ♥Q, ♥10, ♠9 | pair
♣10, ♥A, ♥Q, ♥10, ♠6 | pair
♣10, ♥A, ♥Q, ♦9, ♠9 | pair
♣10, ♥A, ♦3, ♥10, ♦9 | pair
♣10, ♥A, ♦3, ♥10, ♠9 | pair
♣10, ♥A, ♦3, ♥10, ♠6 | pair
♣10, ♥A, ♦3, ♦9, ♠9 | pair
♣10, ♥A, ♥10, ♦9, ♠9 | two pairs
♣10, ♥A, ♥10, ♦9, ♠6 | pair
♣10, ♥A, ♥10, ♠9, ♠6 | pair
♣10, ♥A, ♦9, ♠9, ♠6 | pair
♣10, ♠7, ♥J, ♣5, ♦7 | pair
♣10, ♠7, ♥J, ♣5, ♣7 | pair
♣10, ♠7, ♥J, ♣5, ♥10 | pair
♣10, ♠7, ♥J, ♣9, ♦7 | pair
♣10, ♠7, ♥J, ♣9, ♣7 | pair
♣10, ♠7, ♥J, ♣9, ♥10 | pair
♣10, ♠7, ♥J, ♣9, ♦9 | pair
♣10, ♠7, ♥J, ♣9, ♠9 | pair
♣10, ♠7, ♥J, ♦7, ♦K | pair
♣10, ♠7, ♥J, ♦7, ♣3 | pair
♣10, ♠7, ♥J, ♦7, ♣7 | three of a kind
♣10, ♠7, ♥J, ♦7, ♥Q | pair
♣10, ♠7, ♥J, ♦7, ♦3 | pair
♣10, ♠7, ♥J, ♦7, ♥10 | two pairs
♣10, ♠7, ♥J, ♦7, ♦9 | pair
♣10, ♠7, ♥J, ♦7, ♠9 | pair
♣10, ♠7, ♥J, ♦7, ♠6 | pair
♣10, ♠7, ♥J, ♦K, ♣7 | pair
♣10, ♠7, ♥J, ♦K, ♥10 | pair
♣10, ♠7, ♥J, ♣3, ♣7 | pair
♣10, ♠7, ♥J, ♣3, ♦3 | pair
♣10, ♠7, ♥J, ♣3, ♥10 | pair
♣10, ♠7, ♥J, ♣7, ♥Q | pair
♣10, ♠7, ♥J, ♣7, ♦3 | pair
♣10, ♠7, ♥J, ♣7, ♥10 | two pairs
♣10, ♠7, ♥J, ♣7, ♦9 | pair
♣10, ♠7, ♥J, ♣7, ♠9 | pair
♣10, ♠7, ♥J, ♣7, ♠6 | pair
♣10, ♠7, ♥J, ♥Q, ♥10 | pair
♣10, ♠7, ♥J, ♦3, ♥10 | pair
♣10, ♠7, ♥J, ♥10, ♦9 | pair
♣10, ♠7, ♥J, ♥10, ♠9 | pair
♣10, ♠7, ♥J, ♥10, ♠6 | pair
♣10, ♠7, ♥J, ♦9, ♠9 | pair
♣10, ♠7, ♣5, ♣9, ♦7 | pair
♣10, ♠7, ♣5, ♣9, ♣7 | pair
♣10, ♠7, ♣5, ♣9, ♥10 | pair
♣10, ♠7, ♣5, ♣9, ♦9 | pair
♣10, ♠7, ♣5, ♣9, ♠9 | pair
♣10, ♠7, ♣5, ♦7, ♦K | pair
♣10, ♠7, ♣5, ♦7, ♣3 | pair
♣10, ♠7, ♣5, ♦7, ♣7 | three of a kind
♣10, ♠7, ♣5, ♦7, ♥Q | pair
♣10, ♠7, ♣5, ♦7, ♦3 | pair
♣10, ♠7, ♣5, ♦7, ♥10 | two pairs
♣10, ♠7, ♣5, ♦7, ♦9 | pair
♣10, ♠7, ♣5, ♦7, ♠9 | pair
♣10, ♠7, ♣5, ♦7, ♠6 | pair
♣10, ♠7, ♣5, ♦K, ♣7 | pair
♣10, ♠7, ♣5, ♦K, ♥10 | pair
♣10, ♠7, ♣5, ♣3, ♣7 | pair
♣10, ♠7, ♣5, ♣3, ♦3 | pair
♣10, ♠7, ♣5, ♣3, ♥10 | pair
♣10, ♠7, ♣5, ♣7, ♥Q | pair
♣10, ♠7, ♣5, ♣7, ♦3 | pair
♣10, ♠7, ♣5, ♣7, ♥10 | two pairs
♣10, ♠7, ♣5, ♣7, ♦9 | pair
♣10, ♠7, ♣5, ♣7, ♠9 | pair
♣10, ♠7, ♣5, ♣7, ♠6 | pair
♣10, ♠7, ♣5, ♥Q, ♥10 | pair
♣10, ♠7, ♣5, ♦3, ♥10 | pair
♣10, ♠7, ♣5, ♥10, ♦9 | pair
♣10, ♠7, ♣5, ♥10, ♠9 | pair
♣10, ♠7, ♣5, ♥10, ♠6 | pair
♣10, ♠7, ♣5, ♦9, ♠9 | pair
♣10, ♠7, ♣9, ♦7, ♦K | pair
♣10, ♠7, ♣9, ♦7, ♣3 | pair
♣10, ♠7, ♣9, ♦7, ♣7 | three of a kind
♣10, ♠7, ♣9, ♦7, ♥Q | pair
♣10, ♠7, ♣9, ♦7, ♦3 | pair
♣10, ♠7, ♣9, ♦7, ♥10 | two pairs
♣10, ♠7, ♣9, ♦7, ♦9 | two pairs
♣10, ♠7, ♣9, ♦7, ♠9 | two pairs
♣10, ♠7, ♣9, ♦7, ♠6 | pair
♣10, ♠7, ♣9, ♦K, ♣7 | pair
♣10, ♠7, ♣9, ♦K, ♥10 | pair
♣10, ♠7, ♣9, ♦K, ♦9 | pair
♣10, ♠7, ♣9, ♦K, ♠9 | pair
♣10, ♠7, ♣9, ♣3, ♣7 | pair
♣10, ♠7, ♣9, ♣3, ♦3 | pair
♣10, ♠7, ♣9, ♣3, ♥10 | pair
♣10, ♠7, ♣9, ♣3, ♦9 | pair
♣10, ♠7, ♣9, ♣3, ♠9 | pair
♣10, ♠7, ♣9, ♣7, ♥Q | pair
♣10, ♠7, ♣9, ♣7, ♦3 | pair
♣10, ♠7, ♣9, ♣7, ♥10 | two pairs
♣10, ♠7, ♣9, ♣7, ♦9 | two pairs
♣10, ♠7, ♣9, ♣7, ♠9 | two pairs
♣10, ♠7, ♣9, ♣7, ♠6 | pair
♣10, ♠7, ♣9, ♥Q, ♥10 | pair
♣10, ♠7, ♣9, ♥Q, ♦9 | pair
♣10, ♠7, ♣9, ♥Q, ♠9 | pair
♣10, ♠7, ♣9, ♦3, ♥10 | pair
♣10, ♠7, ♣9, ♦3, ♦9 | pair
♣10, ♠7, ♣9, ♦3, ♠9 | pair
♣10, ♠7, ♣9, ♥10, ♦9 | two pairs
♣10, ♠7, ♣9, ♥10, ♠9 | two pairs
♣10, ♠7, ♣9, ♥10, ♠6 | pair
♣10, ♠7, ♣9, ♦9, ♠9 | three of a kind
♣10, ♠7, ♣9, ♦9, ♠6 | pair
♣10, ♠7, ♣9, ♠9, ♠6 | pair
♣10, ♠7, ♦7, ♦K, ♣3 | pair
♣10, ♠7, ♦7, ♦K, ♣7 | three of a kind
♣10, ♠7, ♦7, ♦K, ♥Q | pair
♣10, ♠7, ♦7, ♦K, ♦3 | pair
♣10, ♠7, ♦7, ♦K, ♥10 | two pairs
♣10, ♠7, ♦7, ♦K, ♦9 | pair
♣10, ♠7, ♦7, ♦K, ♠9 | pair
♣10, ♠7, ♦7, ♦K, ♠6 | pair
♣10, ♠7, ♦7, ♣3, ♣7 | three of a kind
♣10, ♠7, ♦7, ♣3, ♥Q | pair
♣10, ♠7, ♦7, ♣3, ♦3 | two pairs
♣10, ♠7, ♦7, ♣3, ♥10 | two pairs
♣10, ♠7, ♦7, ♣3, ♦9 | pair
♣10, ♠7, ♦7, ♣3, ♠9 | pair
♣10, ♠7, ♦7, ♣3, ♠6 | pair
♣10, ♠7, ♦7, ♣7, ♥Q | three of a kind
♣10, ♠7, ♦7, ♣7, ♦3 | three of a kind
♣10, ♠7, ♦7, ♣7, ♥10 | fullhouse
♣10, ♠7, ♦7, ♣7, ♦9 | three of a kind
♣10, ♠7, ♦7, ♣7, ♠9 | three of a kind
♣10, ♠7, ♦7, ♣7, ♠6 | three of a kind
♣10, ♠7, ♦7, ♥Q, ♦3 | pair
♣10, ♠7, ♦7, ♥Q, ♥10 | two pairs
♣10, ♠7, ♦7, ♥Q, ♦9 | pair
♣10, ♠7, ♦7, ♥Q, ♠9 | pair
♣10, ♠7, ♦7, ♥Q, ♠6 | pair
♣10, ♠7, ♦7, ♦3, ♥10 | two pairs
♣10, ♠7, ♦7, ♦3, ♦9 | pair
♣10, ♠7, ♦7, ♦3, ♠9 | pair
♣10, ♠7, ♦7, ♦3, ♠6 | pair
♣10, ♠7, ♦7, ♥10, ♦9 | two pairs
♣10, ♠7, ♦7, ♥10, ♠9 | two pairs
♣10, ♠7, ♦7, ♥10, ♠6 | two pairs
♣10, ♠7, ♦7, ♦9, ♠9 | two pairs
♣10, ♠7, ♦7, ♦9, ♠6 | pair
♣10, ♠7, ♦7, ♠9, ♠6 | pair
♣10, ♠7, ♦K, ♣3, ♣7 | pair
♣10, ♠7, ♦K, ♣3, ♦3 | pair
♣10, ♠7, ♦K, ♣3, ♥10 | pair
♣10, ♠7, ♦K, ♣7, ♥Q | pair
♣10, ♠7, ♦K, ♣7, ♦3 | pair
♣10, ♠7, ♦K, ♣7, ♥10 | two pairs
♣10, ♠7, ♦K, ♣7, ♦9 | pair
♣10, ♠7, ♦K, ♣7, ♠9 | pair
♣10, ♠7, ♦K, ♣7, ♠6 | pair
♣10, ♠7, ♦K, ♥Q, ♥10 | pair
♣10, ♠7, ♦K, ♦3, ♥10 | pair
♣10, ♠7, ♦K, ♥10, ♦9 | pair
♣10, ♠7, ♦K, ♥10, ♠9 | pair
♣10, ♠7, ♦K, ♥10, ♠6 | pair
♣10, ♠7, ♦K, ♦9, ♠9 | pair
♣10, ♠7, ♣3, ♣7, ♥Q | pair
♣10, ♠7, ♣3, ♣7, ♦3 | two pairs
♣10, ♠7, ♣3, ♣7, ♥10 | two pairs
♣10, ♠7, ♣3, ♣7, ♦9 | pair
♣10, ♠7, ♣3, ♣7, ♠9 | pair
♣10, ♠7, ♣3, ♣7, ♠6 | pair
♣10, ♠7, ♣3, ♥Q, ♦3 | pair
♣10, ♠7, ♣3, ♥Q, ♥10 | pair
♣10, ♠7, ♣3, ♦3, ♥10 | two pairs
♣10, ♠7, ♣3, ♦3, ♦9 | pair
♣10, ♠7, ♣3, ♦3, ♠9 | pair
♣10, ♠7, ♣3, ♦3, ♠6 | pair
♣10, ♠7, ♣3, ♥10, ♦9 | pair
♣10, ♠7, ♣3, ♥10, ♠9 | pair
♣10, ♠7, ♣3, ♥10, ♠6 | pair
♣10, ♠7, ♣3, ♦9, ♠9 | pair
♣10, ♠7, ♣7, ♥Q, ♦3 | pair
♣10, ♠7, ♣7, ♥Q, ♥10 | two pairs
♣10, ♠7, ♣7, ♥Q, ♦9 | pair
♣10, ♠7, ♣7, ♥Q, ♠9 | pair
♣10, ♠7, ♣7, ♥Q, ♠6 | pair
♣10, ♠7, ♣7, ♦3, ♥10 | two pairs
♣10, ♠7, ♣7, ♦3, ♦9 | pair
♣10, ♠7, ♣7, ♦3, ♠9 | pair
♣10, ♠7, ♣7, ♦3, ♠6 | pair
♣10, ♠7, ♣7, ♥10, ♦9 | two pairs
♣10, ♠7, ♣7, ♥10, ♠9 | two pairs
♣10, ♠7, ♣7, ♥10, ♠6 | two pairs
♣10, ♠7, ♣7, ♦9, ♠9 | two pairs
♣10, ♠7, ♣7, ♦9, ♠6 | pair
♣10, ♠7, ♣7, ♠9, ♠6 | pair
♣10, ♠7, ♥Q, ♦3, ♥10 | pair
♣10, ♠7, ♥Q, ♥10, ♦9 | pair
♣10, ♠7, ♥Q, ♥10, ♠9 | pair
♣10, ♠7, ♥Q, ♥10, ♠6 | pair
♣10, ♠7, ♥Q, ♦9, ♠9 | pair
♣10, ♠7, ♦3, ♥10, ♦9 | pair
♣10, ♠7, ♦3, ♥10, ♠9 | pair
♣10, ♠7, ♦3, ♥10, ♠6 | pair
♣10, ♠7, ♦3, ♦9, ♠9 | pair
♣10, ♠7, ♥10, ♦9, ♠9 | two pairs
♣10, ♠7, ♥10, ♦9, ♠6 | pair
♣10, ♠7, ♥10, ♠9, ♠6 | pair
♣10, ♠7, ♦9, ♠9, ♠6 | pair
♣10, ♥J, ♣5, ♣9, ♥10 | pair
♣10, ♥J, ♣5, ♣9, ♦9 | pair
♣10, ♥J, ♣5, ♣9, ♠9 | pair
♣10, ♥J, ♣5, ♦7, ♣7 | pair
♣10, ♥J, ♣5, ♦7, ♥10 | pair
♣10, ♥J, ♣5, ♦K, ♥10 | pair
♣10, ♥J, ♣5, ♣3, ♦3 | pair
♣10, ♥J, ♣5, ♣3, ♥10 | pair
♣10, ♥J, ♣5, ♣7, ♥10 | pair
♣10, ♥J, ♣5, ♥Q, ♥10 | pair
♣10, ♥J, ♣5, ♦3, ♥10 | pair
♣10, ♥J, ♣5, ♥10, ♦9 | pair
♣10, ♥J, ♣5, ♥10, ♠9 | pair
♣10, ♥J, ♣5, ♥10, ♠6 | pair
♣10, ♥J, ♣5, ♦9, ♠9 | pair
♣10, ♥J, ♣9, ♦7, ♣7 | pair
♣10, ♥J, ♣9, ♦7, ♥10 | pair
♣10, ♥J, ♣9, ♦7, ♦9 | pair
♣10, ♥J, ♣9, ♦7, ♠9 | pair
♣10, ♥J, ♣9, ♦K, ♥Q | straight
♣10, ♥J, ♣9, ♦K, ♥10 | pair
♣10, ♥J, ♣9, ♦K, ♦9 | pair
♣10, ♥J, ♣9, ♦K, ♠9 | pair
♣10, ♥J, ♣9, ♣3, ♦3 | pair
♣10, ♥J, ♣9, ♣3, ♥10 | pair
♣10, ♥J, ♣9, ♣3, ♦9 | pair
♣10, ♥J, ♣9, ♣3, ♠9 | pair
♣10, ♥J, ♣9, ♣7, ♥10 | pair
♣10, ♥J, ♣9, ♣7, ♦9 | pair
♣10, ♥J, ♣9, ♣7, ♠9 | pair
♣10, ♥J, ♣9, ♥Q, ♥10 | pair
♣10, ♥J, ♣9, ♥Q, ♦9 | pair
♣10, ♥J, ♣9, ♥Q, ♠9 | pair
♣10, ♥J, ♣9, ♦3, ♥10 | pair
♣10, ♥J, ♣9, ♦3, ♦9 | pair
♣10, ♥J, ♣9, ♦3, ♠9 | pair
♣10, ♥J, ♣9, ♥10, ♦9 | two pairs
♣10, ♥J, ♣9, ♥10, ♠9 | two pairs
♣10, ♥J, ♣9, ♥10, ♠6 | pair
♣10, ♥J, ♣9, ♦9, ♠9 | three of a kind
♣10, ♥J, ♣9, ♦9, ♠6 | pair
♣10, ♥J, ♣9, ♠9, ♠6 | pair
♣10, ♥J, ♦7, ♦K, ♣7 | pair
♣10, ♥J, ♦7, ♦K, ♥10 | pair
♣10, ♥J, ♦7, ♣3, ♣7 | pair
♣10, ♥J, ♦7, ♣3, ♦3 | pair
♣10, ♥J, ♦7, ♣3, ♥10 | pair
♣10, ♥J, ♦7, ♣7, ♥Q | pair
♣10, ♥J, ♦7, ♣7, ♦3 | pair
♣10, ♥J, ♦7, ♣7, ♥10 | two pairs
♣10, ♥J, ♦7, ♣7, ♦9 | pair
♣10, ♥J, ♦7, ♣7, ♠9 | pair
♣10, ♥J, ♦7, ♣7, ♠6 | pair
♣10, ♥J, ♦7, ♥Q, ♥10 | pair
♣10, ♥J, ♦7, ♦3, ♥10 | pair
♣10, ♥J, ♦7, ♥10, ♦9 | pair
♣10, ♥J, ♦7, ♥10, ♠9 | pair
♣10, ♥J, ♦7, ♥10, ♠6 | pair
♣10, ♥J, ♦7, ♦9, ♠9 | pair
♣10, ♥J, ♦K, ♣3, ♦3 | pair
♣10, ♥J, ♦K, ♣3, ♥10 | pair
♣10, ♥J, ♦K, ♣7, ♥10 | pair
♣10, ♥J, ♦K, ♥Q, ♥10 | pair
♣10, ♥J, ♦K, ♥Q, ♦9 | straight
♣10, ♥J, ♦K, ♥Q, ♠9 | straight
♣10, ♥J, ♦K, ♦3, ♥10 | pair
♣10, ♥J, ♦K, ♥10, ♦9 | pair
♣10, ♥J, ♦K, ♥10, ♠9 | pair
♣10, ♥J, ♦K, ♥10, ♠6 | pair
♣10, ♥J, ♦K, ♦9, ♠9 | pair
♣10, ♥J, ♣3, ♣7, ♦3 | pair
♣10, ♥J, ♣3, ♣7, ♥10 | pair
♣10, ♥J, ♣3, ♥Q, ♦3 | pair
♣10, ♥J, ♣3, ♥Q, ♥10 | pair
♣10, ♥J, ♣3, ♦3, ♥10 | two pairs
♣10, ♥J, ♣3, ♦3, ♦9 | pair
♣10, ♥J, ♣3, ♦3, ♠9 | pair
♣10, ♥J, ♣3, ♦3, ♠6 | pair
♣10, ♥J, ♣3, ♥10, ♦9 | pair
♣10, ♥J, ♣3, ♥10, ♠9 | pair
♣10, ♥J, ♣3, ♥10, ♠6 | pair
♣10, ♥J, ♣3, ♦9, ♠9 | pair
♣10, ♥J, ♣7, ♥Q, ♥10 | pair
♣10, ♥J, ♣7, ♦3, ♥10 | pair
♣10, ♥J, ♣7, ♥10, ♦9 | pair
♣10, ♥J, ♣7, ♥10, ♠9 | pair
♣10, ♥J, ♣7, ♥10, ♠6 | pair
♣10, ♥J, ♣7, ♦9, ♠9 | pair
♣10, ♥J, ♥Q, ♦3, ♥10 | pair
♣10, ♥J, ♥Q, ♥10, ♦9 | pair
♣10, ♥J, ♥Q, ♥10, ♠9 | pair
♣10, ♥J, ♥Q, ♥10, ♠6 | pair
♣10, ♥J, ♥Q, ♦9, ♠9 | pair
♣10, ♥J, ♦3, ♥10, ♦9 | pair
♣10, ♥J, ♦3, ♥10, ♠9 | pair
♣10, ♥J, ♦3, ♥10, ♠6 | pair
♣10, ♥J, ♦3, ♦9, ♠9 | pair
♣10, ♥J, ♥10, ♦9, ♠9 | two pairs
♣10, ♥J, ♥10, ♦9, ♠6 | pair
♣10, ♥J, ♥10, ♠9, ♠6 | pair
♣10, ♥J, ♦9, ♠9, ♠6 | pair
♣10, ♣5, ♣9, ♦7, ♣7 | pair
♣10, ♣5, ♣9, ♦7, ♥10 | pair
♣10, ♣5, ♣9, ♦7, ♦9 | pair
♣10, ♣5, ♣9, ♦7, ♠9 | pair
♣10, ♣5, ♣9, ♦K, ♥10 | pair
♣10, ♣5, ♣9, ♦K, ♦9 | pair
♣10, ♣5, ♣9, ♦K, ♠9 | pair
♣10, ♣5, ♣9, ♣3, ♣7 | flush
♣10, ♣5, ♣9, ♣3, ♦3 | pair
♣10, ♣5, ♣9, ♣3, ♥10 | pair
♣10, ♣5, ♣9, ♣3, ♦9 | pair
♣10, ♣5, ♣9, ♣3, ♠9 | pair
♣10, ♣5, ♣9, ♣7, ♥10 | pair
♣10, ♣5, ♣9, ♣7, ♦9 | pair
♣10, ♣5, ♣9, ♣7, ♠9 | pair
♣10, ♣5, ♣9, ♥Q, ♥10 | pair
♣10, ♣5, ♣9, ♥Q, ♦9 | pair
♣10, ♣5, ♣9, ♥Q, ♠9 | pair
♣10, ♣5, ♣9, ♦3, ♥10 | pair
♣10, ♣5, ♣9, ♦3, ♦9 | pair
♣10, ♣5, ♣9, ♦3, ♠9 | pair
♣10, ♣5, ♣9, ♥10, ♦9 | two pairs
♣10, ♣5, ♣9, ♥10, ♠9 | two pairs
♣10, ♣5, ♣9, ♥10, ♠6 | pair
♣10, ♣5, ♣9, ♦9, ♠9 | three of a kind
♣10, ♣5, ♣9, ♦9, ♠6 | pair
♣10, ♣5, ♣9, ♠9, ♠6 | pair
♣10, ♣5, ♦7, ♦K, ♣7 | pair
♣10, ♣5, ♦7, ♦K, ♥10 | pair
♣10, ♣5, ♦7, ♣3, ♣7 | pair
♣10, ♣5, ♦7, ♣3, ♦3 | pair
♣10, ♣5, ♦7, ♣3, ♥10 | pair
♣10, ♣5, ♦7, ♣7, ♥Q | pair
♣10, ♣5, ♦7, ♣7, ♦3 | pair
♣10, ♣5, ♦7, ♣7, ♥10 | two pairs
♣10, ♣5, ♦7, ♣7, ♦9 | pair
♣10, ♣5, ♦7, ♣7, ♠9 | pair
♣10, ♣5, ♦7, ♣7, ♠6 | pair
♣10, ♣5, ♦7, ♥Q, ♥10 | pair
♣10, ♣5, ♦7, ♦3, ♥10 | pair
♣10, ♣5, ♦7, ♥10, ♦9 | pair
♣10, ♣5, ♦7, ♥10, ♠9 | pair
