♥6, ♠A, ♠3, ♣A, ♣4 | pair
♠A, ♣A, ♥9, ♥6, ♦10 | pair
♠A, ♣A, ♥4, ♣6, ♥6 | two pairs
♠A, ♣A, ♥4, ♣6, ♦10 | pair
♠A, ♣A, ♥4, ♥6, ♦10 | pair
♠A, ♣A, ♣6, ♥6, ♦10 | two pairs
♠A, ♣4, ♥6, ♥9, ♥4 | pair
♠A, ♣4, ♥6, ♥9, ♣6 | pair
♠A, ♣4, ♥6, ♥9, ♥6 | pair
♠A, ♣4, ♥6, ♥4, ♣6 | two pairs
♠A, ♣4, ♥6, ♥4, ♥6 | two pairs
♠A, ♣4, ♥6, ♥4, ♦10 | pair
♠A, ♣4, ♥6, ♣6, ♥6 | three of a kind
♠A, ♣4, ♥6, ♣6, ♦10 | pair
♠A, ♣4, ♥6, ♥6, ♦10 | pair
♠A, ♣4, ♥9, ♥4, ♣6 | pair
♠A, ♣4, ♥9, ♥4, ♥6 | pair
♠A, ♣4, ♥9, ♥4, ♦10 | pair
♠A, ♣4, ♥9, ♣6, ♥6 | pair
♠A, ♣4, ♥4, ♣6, ♥6 | two pairs
♠A, ♣4, ♥4, ♣6, ♦10 | pair
♠A, ♣4, ♥4, ♥6, ♦10 | pair
♠A, ♣4, ♣6, ♥6, ♦10 | pair
♠A, ♥6, ♥9, ♥4, ♣6 | pair
♠A, ♥6, ♥9, ♥4, ♥6 | pair
♠A, ♥6, ♥9, ♣6, ♥6 | three of a kind
♠A, ♥6, ♥9, ♣6, ♦10 | pair
♠A, ♥6, ♥9, ♥6, ♦10 | pair
♠A, ♥6, ♥4, ♣6, ♥6 | three of a kind
♠A, ♥6, ♥4, ♣6, ♦10 | pair
♠A, ♥6, ♥4, ♥6, ♦10 | pair
♠A, ♥6, ♣6, ♥6, ♦10 | three of a kind
♠A, ♥9, ♥4, ♣6, ♥6 | pair
♠A, ♥9, ♣6, ♥6, ♦10 | pair
♠A, ♥4, ♣6, ♥6, ♦10 | pair
♠3, ♣A, ♣4, ♥6, ♥4 | pair
♠3, ♣A, ♣4, ♥6, ♣6 | pair
♠3, ♣A, ♣4, ♥6, ♥6 | pair
♠3, ♣A, ♣4, ♥9, ♥4 | pair
♠3, ♣A, ♣4, ♥4, ♣6 | pair
♠3, ♣A, ♣4, ♥4, ♥6 | pair
♠3, ♣A, ♣4, ♥4, ♦10 | pair
♠3, ♣A, ♣4, ♣6, ♥6 | pair
♠3, ♣A, ♥6, ♥9, ♣6 | pair
♠3, ♣A, ♥6, ♥9, ♥6 | pair
♠3, ♣A, ♥6, ♥4, ♣6 | pair
♠3, ♣A, ♥6, ♥4, ♥6 | pair
♠3, ♣A, ♥6, ♣6, ♥6 | three of a kind
♠3, ♣A, ♥6, ♣6, ♦10 | pair
♠3, ♣A, ♥6, ♥6, ♦10 | pair
♠3, ♣A, ♥9, ♣6, ♥6 | pair
♠3, ♣A, ♥4, ♣6, ♥6 | pair
♠3, ♣A, ♣6, ♥6, ♦10 | pair
♠3, ♣4, ♥6, ♥9, ♥4 | pair
♠3, ♣4, ♥6, ♥9, ♣6 | pair
♠3, ♣4, ♥6, ♥9, ♥6 | pair
♠3, ♣4, ♥6, ♥4, ♣6 | two pairs
♠3, ♣4, ♥6, ♥4, ♥6 | two pairs
♠3, ♣4, ♥6, ♥4, ♦10 | pair
♠3, ♣4, ♥6, ♣6, ♥6 | three of a kind
♠3, ♣4, ♥6, ♣6, ♦10 | pair
♠3, ♣4, ♥6, ♥6, ♦10 | pair
♠3, ♣4, ♥9, ♥4, ♣6 | pair
♠3, ♣4, ♥9, ♥4, ♥6 | pair
♠3, ♣4, ♥9, ♥4, ♦10 | pair
♠3, ♣4, ♥9, ♣6, ♥6 | pair
♠3, ♣4, ♥4, ♣6, ♥6 | two pairs
♠3, ♣4, ♥4, ♣6, ♦10 | pair
♠3, ♣4, ♥4, ♥6, ♦10 | pair
♠3, ♣4, ♣6, ♥6, ♦10 | pair
♠3, ♥6, ♥9, ♥4, ♣6 | pair
♠3, ♥6, ♥9, ♥4, ♥6 | pair
♠3, ♥6, ♥9, ♣6, ♥6 | three of a kind
♠3, ♥6, ♥9, ♣6, ♦10 | pair
♠3, ♥6, ♥9, ♥6, ♦10 | pair
♠3, ♥6, ♥4, ♣6, ♥6 | three of a kind
♠3, ♥6, ♥4, ♣6, ♦10 | pair
♠3, ♥6, ♥4, ♥6, ♦10 | pair
♠3, ♥6, ♣6, ♥6, ♦10 | three of a kind
♠3, ♥9, ♥4, ♣6, ♥6 | pair
♠3, ♥9, ♣6, ♥6, ♦10 | pair
♠3, ♥4, ♣6, ♥6, ♦10 | pair
♣A, ♣4, ♥6, ♥9, ♥4 | pair
♣A, ♣4, ♥6, ♥9, ♣6 | pair
♣A, ♣4, ♥6, ♥9, ♥6 | pair
♣A, ♣4, ♥6, ♥4, ♣6 | two pairs
♣A, ♣4, ♥6, ♥4, ♥6 | two pairs
♣A, ♣4, ♥6, ♥4, ♦10 | pair
♣A, ♣4, ♥6, ♣6, ♥6 | three of a kind
♣A, ♣4, ♥6, ♣6, ♦10 | pair
♣A, ♣4, ♥6, ♥6, ♦10 | pair
♣A, ♣4, ♥9, ♥4, ♣6 | pair
♣A, ♣4, ♥9, ♥4, ♥6 | pair
♣A, ♣4, ♥9, ♥4, ♦10 | pair
♣A, ♣4, ♥9, ♣6, ♥6 | pair
♣A, ♣4, ♥4, ♣6, ♥6 | two pairs
♣A, ♣4, ♥4, ♣6, ♦10 | pair
♣A, ♣4, ♥4, ♥6, ♦10 | pair
♣A, ♣4, ♣6, ♥6, ♦10 | pair
♣A, ♥6, ♥9, ♥4, ♣6 | pair
♣A, ♥6, ♥9, ♥4, ♥6 | pair
♣A, ♥6, ♥9, ♣6, ♥6 | three of a kind
♣A, ♥6, ♥9, ♣6, ♦10 | pair
♣A, ♥6, ♥9, ♥6, ♦10 | pair
♣A, ♥6, ♥4, ♣6, ♥6 | three of a kind
♣A, ♥6, ♥4, ♣6, ♦10 | pair
♣A, ♥6, ♥4, ♥6, ♦10 | pair
♣A, ♥6, ♣6, ♥6, ♦10 | three of a kind
♣A, ♥9, ♥4, ♣6, ♥6 | pair
♣A, ♥9, ♣6, ♥6, ♦10 | pair
♣A, ♥4, ♣6, ♥6, ♦10 | pair
♣4, ♥6, ♥9, ♥4, ♣6 | two pairs
♣4, ♥6, ♥9, ♥4, ♥6 | two pairs
♣4, ♥6, ♥9, ♥4, ♦10 | pair
♣4, ♥6, ♥9, ♣6, ♥6 | three of a kind
♣4, ♥6, ♥9, ♣6, ♦10 | pair
♣4, ♥6, ♥9, ♥6, ♦10 | pair
♣4, ♥6, ♥4, ♣6, ♥6 | fullhouse
♣4, ♥6, ♥4, ♣6, ♦10 | two pairs
♣4, ♥6, ♥4, ♥6, ♦10 | two pairs
♣4, ♥6, ♣6, ♥6, ♦10 | three of a kind
♣4, ♥9, ♥4, ♣6, ♥6 | two pairs
♣4, ♥9, ♥4, ♣6, ♦10 | pair
♣4, ♥9, ♥4, ♥6, ♦10 | pair
♣4, ♥9, ♣6, ♥6, ♦10 | pair
♣4, ♥4, ♣6, ♥6, ♦10 | two pairs
♥6, ♥9, ♥4, ♣6, ♥6 | three of a kind
♥6, ♥9, ♥4, ♣6, ♦10 | pair
♥6, ♥9, ♥4, ♥6, ♦10 | pair
♥6, ♥9, ♣6, ♥6, ♦10 | three of a kind
♥6, ♥4, ♣6, ♥6, ♦10 | three of a kind
♥9, ♥4, ♣6, ♥6, ♦10 | pair
