♣6, ♠K, ♦5, ♥7, ♠K | pair
♣6, ♣9, ♥J, ♥9, ♥3 | pair
♣6, ♣9, ♥J, ♥9, ♣4 | pair
♣6, ♣9, ♥9, ♥3, ♣4 | pair
♠K, ♦5, ♥7, ♠K, ♣9 | pair
♠K, ♦5, ♥7, ♠K, ♥J | pair
♠K, ♦5, ♥7, ♠K, ♥9 | pair
♠K, ♦5, ♥7, ♠K, ♥3 | pair
♠K, ♦5, ♥7, ♠K, ♣4 | pair
♠K, ♦5, ♥7, ♣9, ♥9 | pair
♠K, ♦5, ♠K, ♣9, ♥J | pair
♠K, ♦5, ♠K, ♣9, ♥9 | two pairs
♠K, ♦5, ♠K, ♣9, ♥3 | pair
♠K, ♦5, ♠K, ♣9, ♣4 | pair
♠K, ♦5, ♠K, ♥J, ♥9 | pair
♠K, ♦5, ♠K, ♥J, ♥3 | pair
♠K, ♦5, ♠K, ♥J, ♣4 | pair
♠K, ♦5, ♠K, ♥9, ♥3 | pair
♠K, ♦5, ♠K, ♥9, ♣4 | pair
♠K, ♦5, ♠K, ♥3, ♣4 | pair
♠K, ♦5, ♣9, ♥J, ♥9 | pair
♠K, ♦5, ♣9, ♥9, ♥3 | pair
♠K, ♦5, ♣9, ♥9, ♣4 | pair
♠K, ♥7, ♠K, ♣9, ♥J | pair
♠K, ♥7, ♠K, ♣9, ♥9 | two pairs
♠K, ♥7, ♠K, ♣9, ♥3 | pair
♠K, ♥7, ♠K, ♣9, ♣4 | pair
♠K, ♥7, ♠K, ♥J, ♥9 | pair
♠K, ♥7, ♠K, ♥J, ♥3 | pair
♠K, ♥7, ♠K, ♥J, ♣4 | pair
♠K, ♥7, ♠K, ♥9, ♥3 | pair
♠K, ♥7, ♠K, ♥9, ♣4 | pair
♠K, ♥7, ♠K, ♥3, ♣4 | pair
♠K, ♥7, ♣9, ♥J, ♥9 | pair
♠K, ♥7, ♣9, ♥9, ♥3 | pair
♠K, ♥7, ♣9, ♥9, ♣4 | pair
♠K, ♠K, ♣9, ♥J, ♥9 | two pairs
♠K, ♠K, ♣9, ♥J, ♥3 | pair
♠K, ♠K, ♣9, ♥J, ♣4 | pair
♠K, ♠K, ♣9, ♥9, ♥3 | two pairs
♠K, ♠K, ♣9, ♥9, ♣4 | two pairs
♠K, ♠K, ♣9, ♥3, ♣4 | pair
♠K, ♠K, ♥J, ♥9, ♥3 | pair
♠K, ♠K, ♥J, ♥9, ♣4 | pair
♠K, ♠K, ♥J, ♥3, ♣4 | pair
♠K, ♠K, ♥9, ♥3, ♣4 | pair
♠K, ♣9, ♥J, ♥9, ♥3 | pair
♠K, ♣9, ♥J, ♥9, ♣4 | pair
♠K, ♣9, ♥9, ♥3, ♣4 | pair
♦5, ♥7, ♠K, ♣9, ♥9 | pair
♦5, ♥7, ♣9, ♥J, ♥9 | pair
♦5, ♥7, ♣9, ♥9, ♥3 | pair
♦5, ♥7, ♣9, ♥9, ♣4 | pair
♦5, ♠K, ♣9, ♥J, ♥9 | pair
♦5, ♠K, ♣9, ♥9, ♥3 | pair
♦5, ♠K, ♣9, ♥9, ♣4 | pair
♦5, ♣9, ♥J, ♥9, ♥3 | pair
♦5, ♣9, ♥J, ♥9, ♣4 | pair
♦5, ♣9, ♥9, ♥3, ♣4 | pair
♥7, ♠K, ♣9, ♥J, ♥9 | pair
♥7, ♠K, ♣9, ♥9, ♥3 | pair
♥7, ♠K, ♣9, ♥9, ♣4 | pair
♥7, ♣9, ♥J, ♥9, ♥3 | pair
♥7, ♣9, ♥J, ♥9, ♣4 | pair
♥7, ♣9, ♥9, ♥3, ♣4 | pair
♠K, ♣9, ♥J, ♥9, ♥3 | pair
♠K, ♣9, ♥J, ♥9, ♣4 | pair
♠K, ♣9, ♥9, ♥3, ♣4 | pair
♣9, ♥J, ♥9, ♥3, ♣4 | pair
