♠7, ♣10, ♦5, ♥A, ♠10 | pair
♠7, ♣10, ♣6, ♠10, ♥4 | pair
♠7, ♣10, ♣6, ♥8, ♦8 | pair
♠7, ♣10, ♦2, ♣4, ♠10 | pair
♠7, ♣10, ♦2, ♣4, ♥4 | pair
♠7, ♣10, ♦2, ♠10, ♥8 | pair
♠7, ♣10, ♦2, ♠10, ♥A | pair
♠7, ♣10, ♦2, ♠10, ♦8 | pair
♠7, ♣10, ♦2, ♠10, ♥4 | pair
♠7, ♣10, ♦2, ♥8, ♦8 | pair
♠7, ♣10, ♣4, ♠10, ♥8 | pair
♠7, ♣10, ♣4, ♠10, ♥A | pair
♠7, ♣10, ♣4, ♠10, ♦8 | pair
♠7, ♣10, ♣4, ♠10, ♥4 | two pairs
♠7, ♣10, ♣4, ♥8, ♦8 | pair
♠7, ♣10, ♣4, ♥8, ♥4 | pair
♠7, ♣10, ♣4, ♥A, ♥4 | pair
♠7, ♣10, ♣4, ♦8, ♥4 | pair
♠7, ♣10, ♠10, ♥8, ♥A | pair
♠7, ♣10, ♠10, ♥8, ♦8 | two pairs
♠7, ♣10, ♠10, ♥8, ♥4 | pair
♠7, ♣10, ♠10, ♥A, ♦8 | pair
♠7, ♣10, ♠10, ♥A, ♥4 | pair
♠7, ♣10, ♠10, ♦8, ♥4 | pair
♠7, ♣10, ♥8, ♥A, ♦8 | pair
♠7, ♣10, ♥8, ♦8, ♥4 | pair
♠7, ♦5, ♥A, ♣3, ♥A | pair
♠7, ♦5, ♥A, ♦2, ♦2 | pair
♠7, ♦5, ♥A, ♦2, ♥A | pair
♠7, ♦5, ♥A, ♣6, ♥A | pair
♠7, ♦5, ♥A, ♦2, ♥A | pair
♠7, ♦5, ♥A, ♣4, ♥A | pair
♠7, ♦5, ♥A, ♣4, ♥4 | pair
♠7, ♦5, ♥A, ♠10, ♥A | pair
♠7, ♦5, ♥A, ♥8, ♥A | pair
♠7, ♦5, ♥A, ♥8, ♦8 | pair
♠7, ♦5, ♥A, ♥A, ♦8 | pair
♠7, ♦5, ♥A, ♥A, ♥4 | pair
♠7, ♦5, ♣3, ♦2, ♦2 | pair
♠7, ♦5, ♣3, ♣6, ♣4 | straight
♠7, ♦5, ♣3, ♣6, ♥4 | straight
♠7, ♦5, ♣3, ♣4, ♥4 | pair
♠7, ♦5, ♣3, ♥8, ♦8 | pair
♠7, ♦5, ♦2, ♣6, ♦2 | pair
♠7, ♦5, ♦2, ♦2, ♣4 | pair
♠7, ♦5, ♦2, ♦2, ♠10 | pair
♠7, ♦5, ♦2, ♦2, ♥8 | pair
♠7, ♦5, ♦2, ♦2, ♥A | pair
♠7, ♦5, ♦2, ♦2, ♦8 | pair
♠7, ♦5, ♦2, ♦2, ♥4 | pair
♠7, ♦5, ♦2, ♣4, ♥4 | pair
♠7, ♦5, ♦2, ♥8, ♦8 | pair
♠7, ♦5, ♣6, ♣4, ♥8 | straight
♠7, ♦5, ♣6, ♣4, ♦8 | straight
♠7, ♦5, ♣6, ♣4, ♥4 | pair
♠7, ♦5, ♣6, ♥8, ♦8 | pair
♠7, ♦5, ♣6, ♥8, ♥4 | straight
♠7, ♦5, ♣6, ♦8, ♥4 | straight
♠7, ♦5, ♦2, ♣4, ♥4 | pair
♠7, ♦5, ♦2, ♥8, ♦8 | pair
♠7, ♦5, ♣4, ♠10, ♥4 | pair
♠7, ♦5, ♣4, ♥8, ♦8 | pair
♠7, ♦5, ♣4, ♥8, ♥4 | pair
♠7, ♦5, ♣4, ♥A, ♥4 | pair
♠7, ♦5, ♣4, ♦8, ♥4 | pair
♠7, ♦5, ♠10, ♥8, ♦8 | pair
♠7, ♦5, ♥8, ♥A, ♦8 | pair
♠7, ♦5, ♥8, ♦8, ♥4 | pair
♠7, ♥A, ♣3, ♦2, ♦2 | pair
♠7, ♥A, ♣3, ♦2, ♥A | pair
♠7, ♥A, ♣3, ♣6, ♥A | pair
♠7, ♥A, ♣3, ♦2, ♥A | pair
♠7, ♥A, ♣3, ♣4, ♥A | pair
♠7, ♥A, ♣3, ♣4, ♥4 | pair
♠7, ♥A, ♣3, ♠10, ♥A | pair
♠7, ♥A, ♣3, ♥8, ♥A | pair
♠7, ♥A, ♣3, ♥8, ♦8 | pair
♠7, ♥A, ♣3, ♥A, ♦8 | pair
♠7, ♥A, ♣3, ♥A, ♥4 | pair
♠7, ♥A, ♦2, ♣6, ♦2 | pair
♠7, ♥A, ♦2, ♣6, ♥A | pair
♠7, ♥A, ♦2, ♦2, ♣4 | pair
♠7, ♥A, ♦2, ♦2, ♠10 | pair
♠7, ♥A, ♦2, ♦2, ♥8 | pair
♠7, ♥A, ♦2, ♦2, ♥A | two pairs
♠7, ♥A, ♦2, ♦2, ♦8 | pair
♠7, ♥A, ♦2, ♦2, ♥4 | pair
♠7, ♥A, ♦2, ♣4, ♥A | pair
♠7, ♥A, ♦2, ♣4, ♥4 | pair
♠7, ♥A, ♦2, ♠10, ♥A | pair
♠7, ♥A, ♦2, ♥8, ♥A | pair
♠7, ♥A, ♦2, ♥8, ♦8 | pair
♠7, ♥A, ♦2, ♥A, ♦8 | pair
♠7, ♥A, ♦2, ♥A, ♥4 | pair
♠7, ♥A, ♣6, ♦2, ♥A | pair
♠7, ♥A, ♣6, ♣4, ♥A | pair
♠7, ♥A, ♣6, ♣4, ♥4 | pair
♠7, ♥A, ♣6, ♠10, ♥A | pair
♠7, ♥A, ♣6, ♥8, ♥A | pair
♠7, ♥A, ♣6, ♥8, ♦8 | pair
♠7, ♥A, ♣6, ♥A, ♦8 | pair
♠7, ♥A, ♣6, ♥A, ♥4 | pair
♠7, ♥A, ♦2, ♣4, ♥A | pair
♠7, ♥A, ♦2, ♣4, ♥4 | pair
♠7, ♥A, ♦2, ♠10, ♥A | pair
♠7, ♥A, ♦2, ♥8, ♥A | pair
♠7, ♥A, ♦2, ♥8, ♦8 | pair
♠7, ♥A, ♦2, ♥A, ♦8 | pair
♠7, ♥A, ♦2, ♥A, ♥4 | pair
♠7, ♥A, ♣4, ♠10, ♥A | pair
♠7, ♥A, ♣4, ♠10, ♥4 | pair
♠7, ♥A, ♣4, ♥8, ♥A | pair
♠7, ♥A, ♣4, ♥8, ♦8 | pair
♠7, ♥A, ♣4, ♥8, ♥4 | pair
♠7, ♥A, ♣4, ♥A, ♦8 | pair
♠7, ♥A, ♣4, ♥A, ♥4 | two pairs
♠7, ♥A, ♣4, ♦8, ♥4 | pair
♠7, ♥A, ♠10, ♥8, ♥A | pair
♠7, ♥A, ♠10, ♥8, ♦8 | pair
♠7, ♥A, ♠10, ♥A, ♦8 | pair
♠7, ♥A, ♠10, ♥A, ♥4 | pair
♠7, ♥A, ♥8, ♥A, ♦8 | two pairs
♠7, ♥A, ♥8, ♥A, ♥4 | pair
♠7, ♥A, ♥8, ♦8, ♥4 | pair
♠7, ♥A, ♥A, ♦8, ♥4 | pair
♠7, ♣3, ♦2, ♣6, ♦2 | pair
♠7, ♣3, ♦2, ♦2, ♣4 | pair
♠7, ♣3, ♦2, ♦2, ♠10 | pair
♠7, ♣3, ♦2, ♦2, ♥8 | pair
♠7, ♣3, ♦2, ♦2, ♥A | pair
♠7, ♣3, ♦2, ♦2, ♦8 | pair
♠7, ♣3, ♦2, ♦2, ♥4 | pair
♠7, ♣3, ♦2, ♣4, ♥4 | pair
♠7, ♣3, ♦2, ♥8, ♦8 | pair
♠7, ♣3, ♣6, ♣4, ♥4 | pair
♠7, ♣3, ♣6, ♥8, ♦8 | pair
♠7, ♣3, ♦2, ♣4, ♥4 | pair
♠7, ♣3, ♦2, ♥8, ♦8 | pair
♠7, ♣3, ♣4, ♠10, ♥4 | pair
♠7, ♣3, ♣4, ♥8, ♦8 | pair
♠7, ♣3, ♣4, ♥8, ♥4 | pair
♠7, ♣3, ♣4, ♥A, ♥4 | pair
♠7, ♣3, ♣4, ♦8, ♥4 | pair
♠7, ♣3, ♠10, ♥8, ♦8 | pair
♠7, ♣3, ♥8, ♥A, ♦8 | pair
♠7, ♣3, ♥8, ♦8, ♥4 | pair
♠7, ♦2, ♣6, ♦2, ♣4 | pair
♠7, ♦2, ♣6, ♦2, ♠10 | pair
♠7, ♦2, ♣6, ♦2, ♥8 | pair
♠7, ♦2, ♣6, ♦2, ♥A | pair
♠7, ♦2, ♣6, ♦2, ♦8 | pair
♠7, ♦2, ♣6, ♦2, ♥4 | pair
♠7, ♦2, ♣6, ♣4, ♥4 | pair
♠7, ♦2, ♣6, ♥8, ♦8 | pair
♠7, ♦2, ♦2, ♣4, ♠10 | pair
♠7, ♦2, ♦2, ♣4, ♥8 | pair
♠7, ♦2, ♦2, ♣4, ♥A | pair
♠7, ♦2, ♦2, ♣4, ♦8 | pair
♠7, ♦2, ♦2, ♣4, ♥4 | two pairs
♠7, ♦2, ♦2, ♠10, ♥8 | pair
♠7, ♦2, ♦2, ♠10, ♥A | pair
♠7, ♦2, ♦2, ♠10, ♦8 | pair
♠7, ♦2, ♦2, ♠10, ♥4 | pair
♠7, ♦2, ♦2, ♥8, ♥A | pair
♠7, ♦2, ♦2, ♥8, ♦8 | two pairs
♠7, ♦2, ♦2, ♥8, ♥4 | pair
♠7, ♦2, ♦2, ♥A, ♦8 | pair
♠7, ♦2, ♦2, ♥A, ♥4 | pair
♠7, ♦2, ♦2, ♦8, ♥4 | pair
♠7, ♦2, ♣4, ♠10, ♥4 | pair
♠7, ♦2, ♣4, ♥8, ♦8 | pair
♠7, ♦2, ♣4, ♥8, ♥4 | pair
♠7, ♦2, ♣4, ♥A, ♥4 | pair
♠7, ♦2, ♣4, ♦8, ♥4 | pair
♠7, ♦2, ♠10, ♥8, ♦8 | pair
♠7, ♦2, ♥8, ♥A, ♦8 | pair
♠7, ♦2, ♥8, ♦8, ♥4 | pair
♠7, ♣6, ♦2, ♣4, ♥4 | pair
♠7, ♣6, ♦2, ♥8, ♦8 | pair
♠7, ♣6, ♣4, ♠10, ♥4 | pair
♠7, ♣6, ♣4, ♥8, ♦8 | pair
♠7, ♣6, ♣4, ♥8, ♥4 | pair
♠7, ♣6, ♣4, ♥A, ♥4 | pair
♠7, ♣6, ♣4, ♦8, ♥4 | pair
♠7, ♣6, ♠10, ♥8, ♦8 | pair
♠7, ♣6, ♥8, ♥A, ♦8 | pair
♠7, ♣6, ♥8, ♦8, ♥4 | pair
♠7, ♦2, ♣4, ♠10, ♥4 | pair
♠7, ♦2, ♣4, ♥8, ♦8 | pair
♠7, ♦2, ♣4, ♥8, ♥4 | pair
♠7, ♦2, ♣4, ♥A, ♥4 | pair
♠7, ♦2, ♣4, ♦8, ♥4 | pair
♠7, ♦2, ♠10, ♥8, ♦8 | pair
♠7, ♦2, ♥8, ♥A, ♦8 | pair
♠7, ♦2, ♥8, ♦8, ♥4 | pair
♠7, ♣4, ♠10, ♥8, ♦8 | pair
♠7, ♣4, ♠10, ♥8, ♥4 | pair
♠7, ♣4, ♠10, ♥A, ♥4 | pair
♠7, ♣4, ♠10, ♦8, ♥4 | pair
♠7, ♣4, ♥8, ♥A, ♦8 | pair
♠7, ♣4, ♥8, ♥A, ♥4 | pair
♠7, ♣4, ♥8, ♦8, ♥4 | two pairs
♠7, ♣4, ♥A, ♦8, ♥4 | pair
♠7, ♠10, ♥8, ♥A, ♦8 | pair
♠7, ♠10, ♥8, ♦8, ♥4 | pair
♠7, ♥8, ♥A, ♦8, ♥4 | pair
♣10, ♦5, ♥A, ♣3, ♠10 | pair
♣10, ♦5, ♥A, ♣3, ♥A | pair
♣10, ♦5, ♥A, ♦2, ♦2 | pair
♣10, ♦5, ♥A, ♦2, ♠10 | pair
♣10, ♦5, ♥A, ♦2, ♥A | pair
♣10, ♦5, ♥A, ♣6, ♠10 | pair
♣10, ♦5, ♥A, ♣6, ♥A | pair
♣10, ♦5, ♥A, ♦2, ♠10 | pair
♣10, ♦5, ♥A, ♦2, ♥A | pair
♣10, ♦5, ♥A, ♣4, ♠10 | pair
♣10, ♦5, ♥A, ♣4, ♥A | pair
♣10, ♦5, ♥A, ♣4, ♥4 | pair
♣10, ♦5, ♥A, ♠10, ♥8 | pair
♣10, ♦5, ♥A, ♠10, ♥A | two pairs
♣10, ♦5, ♥A, ♠10, ♦8 | pair
♣10, ♦5, ♥A, ♠10, ♥4 | pair
♣10, ♦5, ♥A, ♥8, ♥A | pair
♣10, ♦5, ♥A, ♥8, ♦8 | pair
♣10, ♦5, ♥A, ♥A, ♦8 | pair
♣10, ♦5, ♥A, ♥A, ♥4 | pair
♣10, ♦5, ♣3, ♦2, ♦2 | pair
♣10, ♦5, ♣3, ♦2, ♠10 | pair
♣10, ♦5, ♣3, ♣6, ♠10 | pair
♣10, ♦5, ♣3, ♦2, ♠10 | pair
♣10, ♦5, ♣3, ♣4, ♠10 | pair
♣10, ♦5, ♣3, ♣4, ♥4 | pair
♣10, ♦5, ♣3, ♠10, ♥8 | pair
♣10, ♦5, ♣3, ♠10, ♥A | pair
♣10, ♦5, ♣3, ♠10, ♦8 | pair
♣10, ♦5, ♣3, ♠10, ♥4 | pair
♣10, ♦5, ♣3, ♥8, ♦8 | pair
♣10, ♦5, ♦2, ♣6, ♦2 | pair
♣10, ♦5, ♦2, ♣6, ♠10 | pair
♣10, ♦5, ♦2, ♦2, ♣4 | pair
♣10, ♦5, ♦2, ♦2, ♠10 | two pairs
♣10, ♦5, ♦2, ♦2, ♥8 | pair
♣10, ♦5, ♦2, ♦2, ♥A | pair
♣10, ♦5, ♦2, ♦2, ♦8 | pair
♣10, ♦5, ♦2, ♦2, ♥4 | pair
♣10, ♦5, ♦2, ♣4, ♠10 | pair
♣10, ♦5, ♦2, ♣4, ♥4 | pair
♣10, ♦5, ♦2, ♠10, ♥8 | pair
♣10, ♦5, ♦2, ♠10, ♥A | pair
♣10, ♦5, ♦2, ♠10, ♦8 | pair
♣10, ♦5, ♦2, ♠10, ♥4 | pair
♣10, ♦5, ♦2, ♥8, ♦8 | pair
♣10, ♦5, ♣6, ♦2, ♠10 | pair
♣10, ♦5, ♣6, ♣4, ♠10 | pair
♣10, ♦5, ♣6, ♣4, ♥4 | pair
♣10, ♦5, ♣6, ♠10, ♥8 | pair
♣10, ♦5, ♣6, ♠10, ♥A | pair
♣10, ♦5, ♣6, ♠10, ♦8 | pair
♣10, ♦5, ♣6, ♠10, ♥4 | pair
♣10, ♦5, ♣6, ♥8, ♦8 | pair
♣10, ♦5, ♦2, ♣4, ♠10 | pair
♣10, ♦5, ♦2, ♣4, ♥4 | pair
♣10, ♦5, ♦2, ♠10, ♥8 | pair
♣10, ♦5, ♦2, ♠10, ♥A | pair
♣10, ♦5, ♦2, ♠10, ♦8 | pair
♣10, ♦5, ♦2, ♠10, ♥4 | pair
♣10, ♦5, ♦2, ♥8, ♦8 | pair
♣10, ♦5, ♣4, ♠10, ♥8 | pair
♣10, ♦5, ♣4, ♠10, ♥A | pair
♣10, ♦5, ♣4, ♠10, ♦8 | pair
♣10, ♦5, ♣4, ♠10, ♥4 | two pairs
♣10, ♦5, ♣4, ♥8, ♦8 | pair
♣10, ♦5, ♣4, ♥8, ♥4 | pair
♣10, ♦5, ♣4, ♥A, ♥4 | pair
♣10, ♦5, ♣4, ♦8, ♥4 | pair
♣10, ♦5, ♠10, ♥8, ♥A | pair
♣10, ♦5, ♠10, ♥8, ♦8 | two pairs
♣10, ♦5, ♠10, ♥8, ♥4 | pair
♣10, ♦5, ♠10, ♥A, ♦8 | pair
♣10, ♦5, ♠10, ♥A, ♥4 | pair
♣10, ♦5, ♠10, ♦8, ♥4 | pair
♣10, ♦5, ♥8, ♥A, ♦8 | pair
♣10, ♦5, ♥8, ♦8, ♥4 | pair
♣10, ♥A, ♣3, ♦2, ♦2 | pair
♣10, ♥A, ♣3, ♦2, ♠10 | pair
♣10, ♥A, ♣3, ♦2, ♥A | pair
♣10, ♥A, ♣3, ♣6, ♠10 | pair
♣10, ♥A, ♣3, ♣6, ♥A | pair
♣10, ♥A, ♣3, ♦2, ♠10 | pair
♣10, ♥A, ♣3, ♦2, ♥A | pair
♣10, ♥A, ♣3, ♣4, ♠10 | pair
♣10, ♥A, ♣3, ♣4, ♥A | pair
♣10, ♥A, ♣3, ♣4, ♥4 | pair
♣10, ♥A, ♣3, ♠10, ♥8 | pair
♣10, ♥A, ♣3, ♠10, ♥A | two pairs
♣10, ♥A, ♣3, ♠10, ♦8 | pair
♣10, ♥A, ♣3, ♠10, ♥4 | pair
♣10, ♥A, ♣3, ♥8, ♥A | pair
♣10, ♥A, ♣3, ♥8, ♦8 | pair
♣10, ♥A, ♣3, ♥A, ♦8 | pair
♣10, ♥A, ♣3, ♥A, ♥4 | pair
♣10, ♥A, ♦2, ♣6, ♦2 | pair
♣10, ♥A, ♦2, ♣6, ♠10 | pair
♣10, ♥A, ♦2, ♣6, ♥A | pair
♣10, ♥A, ♦2, ♦2, ♣4 | pair
♣10, ♥A, ♦2, ♦2, ♠10 | two pairs
♣10, ♥A, ♦2, ♦2, ♥8 | pair
♣10, ♥A, ♦2, ♦2, ♥A | two pairs
♣10, ♥A, ♦2, ♦2, ♦8 | pair
♣10, ♥A, ♦2, ♦2, ♥4 | pair
♣10, ♥A, ♦2, ♣4, ♠10 | pair
♣10, ♥A, ♦2, ♣4, ♥A | pair
♣10, ♥A, ♦2, ♣4, ♥4 | pair
♣10, ♥A, ♦2, ♠10, ♥8 | pair
♣10, ♥A, ♦2, ♠10, ♥A | two pairs
♣10, ♥A, ♦2, ♠10, ♦8 | pair
♣10, ♥A, ♦2, ♠10, ♥4 | pair
♣10, ♥A, ♦2, ♥8, ♥A | pair
♣10, ♥A, ♦2, ♥8, ♦8 | pair
♣10, ♥A, ♦2, ♥A, ♦8 | pair
♣10, ♥A, ♦2, ♥A, ♥4 | pair
♣10, ♥A, ♣6, ♦2, ♠10 | pair
♣10, ♥A, ♣6, ♦2, ♥A | pair
♣10, ♥A, ♣6, ♣4, ♠10 | pair
♣10, ♥A, ♣6, ♣4, ♥A | pair
♣10, ♥A, ♣6, ♣4, ♥4 | pair
♣10, ♥A, ♣6, ♠10, ♥8 | pair
♣10, ♥A, ♣6, ♠10, ♥A | two pairs
♣10, ♥A, ♣6, ♠10, ♦8 | pair
♣10, ♥A, ♣6, ♠10, ♥4 | pair
♣10, ♥A, ♣6, ♥8, ♥A | pair
♣10, ♥A, ♣6, ♥8, ♦8 | pair
♣10, ♥A, ♣6, ♥A, ♦8 | pair
♣10, ♥A, ♣6, ♥A, ♥4 | pair
♣10, ♥A, ♦2, ♣4, ♠10 | pair
♣10, ♥A, ♦2, ♣4, ♥A | pair
♣10, ♥A, ♦2, ♣4, ♥4 | pair
♣10, ♥A, ♦2, ♠10, ♥8 | pair
♣10, ♥A, ♦2, ♠10, ♥A | two pairs
♣10, ♥A, ♦2, ♠10, ♦8 | pair
♣10, ♥A, ♦2, ♠10, ♥4 | pair
♣10, ♥A, ♦2, ♥8, ♥A | pair
♣10, ♥A, ♦2, ♥8, ♦8 | pair
♣10, ♥A, ♦2, ♥A, ♦8 | pair
♣10, ♥A, ♦2, ♥A, ♥4 | pair
♣10, ♥A, ♣4, ♠10, ♥8 | pair
♣10, ♥A, ♣4, ♠10, ♥A | two pairs
♣10, ♥A, ♣4, ♠10, ♦8 | pair
♣10, ♥A, ♣4, ♠10, ♥4 | two pairs
♣10, ♥A, ♣4, ♥8, ♥A | pair
♣10, ♥A, ♣4, ♥8, ♦8 | pair
♣10, ♥A, ♣4, ♥8, ♥4 | pair
♣10, ♥A, ♣4, ♥A, ♦8 | pair
♣10, ♥A, ♣4, ♥A, ♥4 | two pairs
♣10, ♥A, ♣4, ♦8, ♥4 | pair
♣10, ♥A, ♠10, ♥8, ♥A | two pairs
♣10, ♥A, ♠10, ♥8, ♦8 | two pairs
♣10, ♥A, ♠10, ♥8, ♥4 | pair
♣10, ♥A, ♠10, ♥A, ♦8 | two pairs
♣10, ♥A, ♠10, ♥A, ♥4 | two pairs
♣10, ♥A, ♠10, ♦8, ♥4 | pair
♣10, ♥A, ♥8, ♥A, ♦8 | two pairs
♣10, ♥A, ♥8, ♥A, ♥4 | pair
♣10, ♥A, ♥8, ♦8, ♥4 | pair
♣10, ♥A, ♥A, ♦8, ♥4 | pair
♣10, ♣3, ♦2, ♣6, ♦2 | pair
♣10, ♣3, ♦2, ♣6, ♠10 | pair
♣10, ♣3, ♦2, ♦2, ♣4 | pair
♣10, ♣3, ♦2, ♦2, ♠10 | two pairs
♣10, ♣3, ♦2, ♦2, ♥8 | pair
♣10, ♣3, ♦2, ♦2, ♥A | pair
♣10, ♣3, ♦2, ♦2, ♦8 | pair
♣10, ♣3, ♦2, ♦2, ♥4 | pair
♣10, ♣3, ♦2, ♣4, ♠10 | pair
♣10, ♣3, ♦2, ♣4, ♥4 | pair
♣10, ♣3, ♦2, ♠10, ♥8 | pair
♣10, ♣3, ♦2, ♠10, ♥A | pair
♣10, ♣3, ♦2, ♠10, ♦8 | pair
♣10, ♣3, ♦2, ♠10, ♥4 | pair
♣10, ♣3, ♦2, ♥8, ♦8 | pair
♣10, ♣3, ♣6, ♦2, ♠10 | pair
♣10, ♣3, ♣6, ♣4, ♠10 | pair
♣10, ♣3, ♣6, ♣4, ♥4 | pair
♣10, ♣3, ♣6, ♠10, ♥8 | pair
♣10, ♣3, ♣6, ♠10, ♥A | pair
♣10, ♣3, ♣6, ♠10, ♦8 | pair
♣10, ♣3, ♣6, ♠10, ♥4 | pair
♣10, ♣3, ♣6, ♥8, ♦8 | pair
♣10, ♣3, ♦2, ♣4, ♠10 | pair
♣10, ♣3, ♦2, ♣4, ♥4 | pair
♣10, ♣3, ♦2, ♠10, ♥8 | pair
♣10, ♣3, ♦2, ♠10, ♥A | pair
♣10, ♣3, ♦2, ♠10, ♦8 | pair
♣10, ♣3, ♦2, ♠10, ♥4 | pair
♣10, ♣3, ♦2, ♥8, ♦8 | pair
♣10, ♣3, ♣4, ♠10, ♥8 | pair
♣10, ♣3, ♣4, ♠10, ♥A | pair
♣10, ♣3, ♣4, ♠10, ♦8 | pair
♣10, ♣3, ♣4, ♠10, ♥4 | two pairs
♣10, ♣3, ♣4, ♥8, ♦8 | pair
♣10, ♣3, ♣4, ♥8, ♥4 | pair
♣10, ♣3, ♣4, ♥A, ♥4 | pair
♣10, ♣3, ♣4, ♦8, ♥4 | pair
♣10, ♣3, ♠10, ♥8, ♥A | pair
♣10, ♣3, ♠10, ♥8, ♦8 | two pairs
♣10, ♣3, ♠10, ♥8, ♥4 | pair
♣10, ♣3, ♠10, ♥A, ♦8 | pair
♣10, ♣3, ♠10, ♥A, ♥4 | pair
♣10, ♣3, ♠10, ♦8, ♥4 | pair
♣10, ♣3, ♥8, ♥A, ♦8 | pair
♣10, ♣3, ♥8, ♦8, ♥4 | pair
♣10, ♦2, ♣6, ♦2, ♣4 | pair
♣10, ♦2, ♣6, ♦2, ♠10 | two pairs
♣10, ♦2, ♣6, ♦2, ♥8 | pair
♣10, ♦2, ♣6, ♦2, ♥A | pair
♣10, ♦2, ♣6, ♦2, ♦8 | pair
♣10, ♦2, ♣6, ♦2, ♥4 | pair
♣10, ♦2, ♣6, ♣4, ♠10 | pair
♣10, ♦2, ♣6, ♣4, ♥4 | pair
♣10, ♦2, ♣6, ♠10, ♥8 | pair
♣10, ♦2, ♣6, ♠10, ♥A | pair
♣10, ♦2, ♣6, ♠10, ♦8 | pair
♣10, ♦2, ♣6, ♠10, ♥4 | pair
♣10, ♦2, ♣6, ♥8, ♦8 | pair
♣10, ♦2, ♦2, ♣4, ♠10 | two pairs
♣10, ♦2, ♦2, ♣4, ♥8 | pair
♣10, ♦2, ♦2, ♣4, ♥A | pair
♣10, ♦2, ♦2, ♣4, ♦8 | pair
♣10, ♦2, ♦2, ♣4, ♥4 | two pairs
♣10, ♦2, ♦2, ♠10, ♥8 | two pairs
♣10, ♦2, ♦2, ♠10, ♥A | two pairs
♣10, ♦2, ♦2, ♠10, ♦8 | two pairs
♣10, ♦2, ♦2, ♠10, ♥4 | two pairs
♣10, ♦2, ♦2, ♥8, ♥A | pair
