♠Q, ♥A, ♦8, ♣J, ♥8 | pair
♠Q, ♥A, ♦8, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♦8, ♥Q, ♠7 | pair
♠Q, ♥A, ♦8, ♥Q, ♦K | pair
♠Q, ♥A, ♦8, ♥Q, ♥2 | pair
♠Q, ♥A, ♦8, ♥Q, ♥5 | pair
♠Q, ♥A, ♦8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♦8, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♦8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♦8, ♥Q, ♠7 | pair
♠Q, ♥A, ♦8, ♥Q, ♦K | pair
♠Q, ♥A, ♦8, ♥Q, ♥2 | pair
♠Q, ♥A, ♦8, ♥Q, ♥5 | pair
♠Q, ♥A, ♦8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♦8, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♦8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♦8, ♠7, ♦8 | pair
♠Q, ♥A, ♦8, ♠7, ♥Q | pair
♠Q, ♥A, ♦8, ♠7, ♦8 | pair
♠Q, ♥A, ♦8, ♦K, ♦8 | pair
♠Q, ♥A, ♦8, ♦K, ♥Q | pair
♠Q, ♥A, ♦8, ♦K, ♦8 | pair
♠Q, ♥A, ♦8, ♥2, ♦8 | pair
♠Q, ♥A, ♦8, ♥2, ♥Q | pair
♠Q, ♥A, ♦8, ♥2, ♦8 | pair
♠Q, ♥A, ♦8, ♥5, ♦8 | pair
♠Q, ♥A, ♦8, ♥5, ♥Q | pair
♠Q, ♥A, ♦8, ♥5, ♦8 | pair
♠Q, ♥A, ♦8, ♦8, ♥Q | two pairs
♠Q, ♥A, ♦8, ♦8, ♦8 | three of a kind
♠Q, ♥A, ♦8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♣J, ♥8, ♣8 | pair
♠Q, ♥A, ♣J, ♥8, ♥Q | pair
♠Q, ♥A, ♣J, ♥8, ♥Q | pair
♠Q, ♥A, ♣J, ♥8, ♦8 | pair
♠Q, ♥A, ♣J, ♥8, ♥Q | pair
♠Q, ♥A, ♣J, ♥8, ♦8 | pair
♠Q, ♥A, ♣J, ♣8, ♥Q | pair
♠Q, ♥A, ♣J, ♣8, ♥Q | pair
♠Q, ♥A, ♣J, ♣8, ♦8 | pair
♠Q, ♥A, ♣J, ♣8, ♥Q | pair
♠Q, ♥A, ♣J, ♣8, ♦8 | pair
♠Q, ♥A, ♣J, ♥5, ♥Q | pair
♠Q, ♥A, ♣J, ♥5, ♥Q | pair
♠Q, ♥A, ♣J, ♥5, ♥5 | pair
♠Q, ♥A, ♣J, ♥5, ♥Q | pair
♠Q, ♥A, ♣J, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♣J, ♥Q, ♠7 | pair
♠Q, ♥A, ♣J, ♥Q, ♦K | pair
♠Q, ♥A, ♣J, ♥Q, ♥2 | pair
♠Q, ♥A, ♣J, ♥Q, ♥5 | pair
♠Q, ♥A, ♣J, ♥Q, ♦8 | pair
♠Q, ♥A, ♣J, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♣J, ♥Q, ♦8 | pair
♠Q, ♥A, ♣J, ♥Q, ♠7 | pair
♠Q, ♥A, ♣J, ♥Q, ♦K | pair
♠Q, ♥A, ♣J, ♥Q, ♥2 | pair
♠Q, ♥A, ♣J, ♥Q, ♥5 | pair
♠Q, ♥A, ♣J, ♥Q, ♦8 | pair
♠Q, ♥A, ♣J, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♣J, ♥Q, ♦8 | pair
♠Q, ♥A, ♣J, ♠7, ♥Q | pair
♠Q, ♥A, ♣J, ♦K, ♥Q | pair
♠Q, ♥A, ♣J, ♥2, ♥Q | pair
♠Q, ♥A, ♣J, ♥5, ♥Q | pair
♠Q, ♥A, ♣J, ♦8, ♥Q | pair
♠Q, ♥A, ♣J, ♦8, ♦8 | pair
♠Q, ♥A, ♣J, ♥Q, ♦8 | pair
♠Q, ♥A, ♥8, ♣8, ♥5 | pair
♠Q, ♥A, ♥8, ♣8, ♥Q | two pairs
♠Q, ♥A, ♥8, ♣8, ♥Q | two pairs
♠Q, ♥A, ♥8, ♣8, ♠7 | pair
♠Q, ♥A, ♥8, ♣8, ♦K | pair
♠Q, ♥A, ♥8, ♣8, ♥2 | pair
♠Q, ♥A, ♥8, ♣8, ♥5 | pair
♠Q, ♥A, ♥8, ♣8, ♦8 | three of a kind
♠Q, ♥A, ♥8, ♣8, ♥Q | two pairs
♠Q, ♥A, ♥8, ♣8, ♦8 | three of a kind
♠Q, ♥A, ♥8, ♥5, ♥Q | pair
♠Q, ♥A, ♥8, ♥5, ♥Q | pair
♠Q, ♥A, ♥8, ♥5, ♥5 | pair
♠Q, ♥A, ♥8, ♥5, ♦8 | pair
♠Q, ♥A, ♥8, ♥5, ♥Q | pair
♠Q, ♥A, ♥8, ♥5, ♦8 | pair
♠Q, ♥A, ♥8, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♥8, ♥Q, ♠7 | pair
♠Q, ♥A, ♥8, ♥Q, ♦K | pair
♠Q, ♥A, ♥8, ♥Q, ♥2 | pair
♠Q, ♥A, ♥8, ♥Q, ♥5 | pair
♠Q, ♥A, ♥8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♥8, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♥8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♥8, ♥Q, ♠7 | pair
♠Q, ♥A, ♥8, ♥Q, ♦K | pair
♠Q, ♥A, ♥8, ♥Q, ♥2 | pair
♠Q, ♥A, ♥8, ♥Q, ♥5 | pair
♠Q, ♥A, ♥8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♥8, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♥8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♥8, ♠7, ♦8 | pair
♠Q, ♥A, ♥8, ♠7, ♥Q | pair
♠Q, ♥A, ♥8, ♠7, ♦8 | pair
♠Q, ♥A, ♥8, ♦K, ♦8 | pair
♠Q, ♥A, ♥8, ♦K, ♥Q | pair
♠Q, ♥A, ♥8, ♦K, ♦8 | pair
♠Q, ♥A, ♥8, ♥2, ♦8 | pair
♠Q, ♥A, ♥8, ♥2, ♥Q | pair
♠Q, ♥A, ♥8, ♥2, ♦8 | pair
♠Q, ♥A, ♥8, ♥5, ♦8 | pair
♠Q, ♥A, ♥8, ♥5, ♥Q | pair
♠Q, ♥A, ♥8, ♥5, ♦8 | pair
♠Q, ♥A, ♥8, ♦8, ♥Q | two pairs
♠Q, ♥A, ♥8, ♦8, ♦8 | three of a kind
♠Q, ♥A, ♥8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♣8, ♥5, ♥Q | pair
♠Q, ♥A, ♣8, ♥5, ♥Q | pair
♠Q, ♥A, ♣8, ♥5, ♥5 | pair
♠Q, ♥A, ♣8, ♥5, ♦8 | pair
♠Q, ♥A, ♣8, ♥5, ♥Q | pair
♠Q, ♥A, ♣8, ♥5, ♦8 | pair
♠Q, ♥A, ♣8, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♣8, ♥Q, ♠7 | pair
♠Q, ♥A, ♣8, ♥Q, ♦K | pair
♠Q, ♥A, ♣8, ♥Q, ♥2 | pair
♠Q, ♥A, ♣8, ♥Q, ♥5 | pair
♠Q, ♥A, ♣8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♣8, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♣8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♣8, ♥Q, ♠7 | pair
♠Q, ♥A, ♣8, ♥Q, ♦K | pair
♠Q, ♥A, ♣8, ♥Q, ♥2 | pair
♠Q, ♥A, ♣8, ♥Q, ♥5 | pair
♠Q, ♥A, ♣8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♣8, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♣8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♣8, ♠7, ♦8 | pair
♠Q, ♥A, ♣8, ♠7, ♥Q | pair
♠Q, ♥A, ♣8, ♠7, ♦8 | pair
♠Q, ♥A, ♣8, ♦K, ♦8 | pair
♠Q, ♥A, ♣8, ♦K, ♥Q | pair
♠Q, ♥A, ♣8, ♦K, ♦8 | pair
♠Q, ♥A, ♣8, ♥2, ♦8 | pair
♠Q, ♥A, ♣8, ♥2, ♥Q | pair
♠Q, ♥A, ♣8, ♥2, ♦8 | pair
♠Q, ♥A, ♣8, ♥5, ♦8 | pair
♠Q, ♥A, ♣8, ♥5, ♥Q | pair
♠Q, ♥A, ♣8, ♥5, ♦8 | pair
♠Q, ♥A, ♣8, ♦8, ♥Q | two pairs
♠Q, ♥A, ♣8, ♦8, ♦8 | three of a kind
♠Q, ♥A, ♣8, ♥Q, ♦8 | two pairs
♠Q, ♥A, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♥5, ♥Q, ♠7 | pair
♠Q, ♥A, ♥5, ♥Q, ♦K | pair
♠Q, ♥A, ♥5, ♥Q, ♥2 | pair
♠Q, ♥A, ♥5, ♥Q, ♥5 | two pairs
♠Q, ♥A, ♥5, ♥Q, ♦8 | pair
♠Q, ♥A, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♥5, ♥Q, ♦8 | pair
♠Q, ♥A, ♥5, ♥Q, ♠7 | pair
♠Q, ♥A, ♥5, ♥Q, ♦K | pair
♠Q, ♥A, ♥5, ♥Q, ♥2 | pair
♠Q, ♥A, ♥5, ♥Q, ♥5 | two pairs
♠Q, ♥A, ♥5, ♥Q, ♦8 | pair
♠Q, ♥A, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♥A, ♥5, ♥Q, ♦8 | pair
♠Q, ♥A, ♥5, ♠7, ♥5 | pair
♠Q, ♥A, ♥5, ♠7, ♥Q | pair
♠Q, ♥A, ♥5, ♦K, ♥5 | pair
♠Q, ♥A, ♥5, ♦K, ♥Q | pair
♠Q, ♥A, ♥5, ♥2, ♥5 | pair
♠Q, ♥A, ♥5, ♥2, ♥Q | pair
♠Q, ♥A, ♥5, ♥5, ♦8 | pair
♠Q, ♥A, ♥5, ♥5, ♥Q | two pairs
♠Q, ♥A, ♥5, ♥5, ♦8 | pair
♠Q, ♥A, ♥5, ♦8, ♥Q | pair
♠Q, ♥A, ♥5, ♦8, ♦8 | pair
♠Q, ♥A, ♥5, ♥Q, ♦8 | pair
♠Q, ♥A, ♥Q, ♥Q, ♠7 | three of a kind
♠Q, ♥A, ♥Q, ♥Q, ♦K | three of a kind
♠Q, ♥A, ♥Q, ♥Q, ♥2 | three of a kind
♠Q, ♥A, ♥Q, ♥Q, ♥5 | three of a kind
♠Q, ♥A, ♥Q, ♥Q, ♦8 | three of a kind
♠Q, ♥A, ♥Q, ♥Q, ♥Q | four of a kind!
♠Q, ♥A, ♥Q, ♥Q, ♦8 | three of a kind
♠Q, ♥A, ♥Q, ♠7, ♦K | pair
♠Q, ♥A, ♥Q, ♠7, ♥2 | pair
♠Q, ♥A, ♥Q, ♠7, ♥5 | pair
♠Q, ♥A, ♥Q, ♠7, ♦8 | pair
♠Q, ♥A, ♥Q, ♠7, ♥Q | three of a kind
♠Q, ♥A, ♥Q, ♠7, ♦8 | pair
♠Q, ♥A, ♥Q, ♦K, ♥2 | pair
♠Q, ♥A, ♥Q, ♦K, ♥5 | pair
♠Q, ♥A, ♥Q, ♦K, ♦8 | pair
♠Q, ♥A, ♥Q, ♦K, ♥Q | three of a kind
♠Q, ♥A, ♥Q, ♦K, ♦8 | pair
♠Q, ♥A, ♥Q, ♥2, ♥5 | pair
♠Q, ♥A, ♥Q, ♥2, ♦8 | pair
♠Q, ♥A, ♥Q, ♥2, ♥Q | three of a kind
♠Q, ♥A, ♥Q, ♥2, ♦8 | pair
♠Q, ♥A, ♥Q, ♥5, ♦8 | pair
♠Q, ♥A, ♥Q, ♥5, ♥Q | three of a kind
♠Q, ♥A, ♥Q, ♥5, ♦8 | pair
♠Q, ♥A, ♥Q, ♦8, ♥Q | three of a kind
♠Q, ♥A, ♥Q, ♦8, ♦8 | two pairs
♠Q, ♥A, ♥Q, ♥Q, ♦8 | three of a kind
♠Q, ♥A, ♥Q, ♠7, ♦K | pair
♠Q, ♥A, ♥Q, ♠7, ♥2 | pair
♠Q, ♥A, ♥Q, ♠7, ♥5 | pair
♠Q, ♥A, ♥Q, ♠7, ♦8 | pair
♠Q, ♥A, ♥Q, ♠7, ♥Q | three of a kind
♠Q, ♥A, ♥Q, ♠7, ♦8 | pair
♠Q, ♥A, ♥Q, ♦K, ♥2 | pair
♠Q, ♥A, ♥Q, ♦K, ♥5 | pair
♠Q, ♥A, ♥Q, ♦K, ♦8 | pair
♠Q, ♥A, ♥Q, ♦K, ♥Q | three of a kind
♠Q, ♥A, ♥Q, ♦K, ♦8 | pair
♠Q, ♥A, ♥Q, ♥2, ♥5 | pair
♠Q, ♥A, ♥Q, ♥2, ♦8 | pair
♠Q, ♥A, ♥Q, ♥2, ♥Q | three of a kind
♠Q, ♥A, ♥Q, ♥2, ♦8 | pair
♠Q, ♥A, ♥Q, ♥5, ♦8 | pair
♠Q, ♥A, ♥Q, ♥5, ♥Q | three of a kind
♠Q, ♥A, ♥Q, ♥5, ♦8 | pair
♠Q, ♥A, ♥Q, ♦8, ♥Q | three of a kind
♠Q, ♥A, ♥Q, ♦8, ♦8 | two pairs
♠Q, ♥A, ♥Q, ♥Q, ♦8 | three of a kind
♠Q, ♥A, ♠7, ♦K, ♥Q | pair
♠Q, ♥A, ♠7, ♥2, ♥Q | pair
♠Q, ♥A, ♠7, ♥5, ♥Q | pair
♠Q, ♥A, ♠7, ♦8, ♥Q | pair
♠Q, ♥A, ♠7, ♦8, ♦8 | pair
♠Q, ♥A, ♠7, ♥Q, ♦8 | pair
♠Q, ♥A, ♦K, ♥2, ♥Q | pair
♠Q, ♥A, ♦K, ♥5, ♥Q | pair
♠Q, ♥A, ♦K, ♦8, ♥Q | pair
♠Q, ♥A, ♦K, ♦8, ♦8 | pair
♠Q, ♥A, ♦K, ♥Q, ♦8 | pair
♠Q, ♥A, ♥2, ♥5, ♥Q | pair
♠Q, ♥A, ♥2, ♦8, ♥Q | pair
♠Q, ♥A, ♥2, ♦8, ♦8 | pair
♠Q, ♥A, ♥2, ♥Q, ♦8 | pair
♠Q, ♥A, ♥5, ♦8, ♥Q | pair
♠Q, ♥A, ♥5, ♦8, ♦8 | pair
♠Q, ♥A, ♥5, ♥Q, ♦8 | pair
♠Q, ♥A, ♦8, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♣J, ♥8, ♣8 | three of a kind
♠Q, ♦8, ♣J, ♥8, ♥5 | pair
♠Q, ♦8, ♣J, ♥8, ♥Q | two pairs
♠Q, ♦8, ♣J, ♥8, ♥Q | two pairs
♠Q, ♦8, ♣J, ♥8, ♠7 | pair
♠Q, ♦8, ♣J, ♥8, ♦K | pair
♠Q, ♦8, ♣J, ♥8, ♥2 | pair
♠Q, ♦8, ♣J, ♥8, ♥5 | pair
♠Q, ♦8, ♣J, ♥8, ♦8 | three of a kind
♠Q, ♦8, ♣J, ♥8, ♥Q | two pairs
♠Q, ♦8, ♣J, ♥8, ♦8 | three of a kind
♠Q, ♦8, ♣J, ♣8, ♥5 | pair
♠Q, ♦8, ♣J, ♣8, ♥Q | two pairs
♠Q, ♦8, ♣J, ♣8, ♥Q | two pairs
♠Q, ♦8, ♣J, ♣8, ♠7 | pair
♠Q, ♦8, ♣J, ♣8, ♦K | pair
♠Q, ♦8, ♣J, ♣8, ♥2 | pair
♠Q, ♦8, ♣J, ♣8, ♥5 | pair
♠Q, ♦8, ♣J, ♣8, ♦8 | three of a kind
♠Q, ♦8, ♣J, ♣8, ♥Q | two pairs
♠Q, ♦8, ♣J, ♣8, ♦8 | three of a kind
♠Q, ♦8, ♣J, ♥5, ♥Q | pair
♠Q, ♦8, ♣J, ♥5, ♥Q | pair
♠Q, ♦8, ♣J, ♥5, ♥5 | pair
♠Q, ♦8, ♣J, ♥5, ♦8 | pair
♠Q, ♦8, ♣J, ♥5, ♥Q | pair
♠Q, ♦8, ♣J, ♥5, ♦8 | pair
♠Q, ♦8, ♣J, ♥Q, ♥Q | three of a kind
♠Q, ♦8, ♣J, ♥Q, ♠7 | pair
♠Q, ♦8, ♣J, ♥Q, ♦K | pair
♠Q, ♦8, ♣J, ♥Q, ♥2 | pair
♠Q, ♦8, ♣J, ♥Q, ♥5 | pair
♠Q, ♦8, ♣J, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♣J, ♥Q, ♥Q | three of a kind
♠Q, ♦8, ♣J, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♣J, ♥Q, ♠7 | pair
♠Q, ♦8, ♣J, ♥Q, ♦K | pair
♠Q, ♦8, ♣J, ♥Q, ♥2 | pair
♠Q, ♦8, ♣J, ♥Q, ♥5 | pair
♠Q, ♦8, ♣J, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♣J, ♥Q, ♥Q | three of a kind
♠Q, ♦8, ♣J, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♣J, ♠7, ♦8 | pair
♠Q, ♦8, ♣J, ♠7, ♥Q | pair
♠Q, ♦8, ♣J, ♠7, ♦8 | pair
♠Q, ♦8, ♣J, ♦K, ♦8 | pair
♠Q, ♦8, ♣J, ♦K, ♥Q | pair
♠Q, ♦8, ♣J, ♦K, ♦8 | pair
♠Q, ♦8, ♣J, ♥2, ♦8 | pair
♠Q, ♦8, ♣J, ♥2, ♥Q | pair
♠Q, ♦8, ♣J, ♥2, ♦8 | pair
♠Q, ♦8, ♣J, ♥5, ♦8 | pair
♠Q, ♦8, ♣J, ♥5, ♥Q | pair
♠Q, ♦8, ♣J, ♥5, ♦8 | pair
♠Q, ♦8, ♣J, ♦8, ♥Q | two pairs
♠Q, ♦8, ♣J, ♦8, ♦8 | three of a kind
♠Q, ♦8, ♣J, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♥8, ♣8, ♥5 | three of a kind
♠Q, ♦8, ♥8, ♣8, ♥Q | fullhouse
♠Q, ♦8, ♥8, ♣8, ♥Q | fullhouse
♠Q, ♦8, ♥8, ♣8, ♠7 | three of a kind
♠Q, ♦8, ♥8, ♣8, ♦K | three of a kind
♠Q, ♦8, ♥8, ♣8, ♥2 | three of a kind
♠Q, ♦8, ♥8, ♣8, ♥5 | three of a kind
♠Q, ♦8, ♥8, ♣8, ♦8 | four of a kind!
♠Q, ♦8, ♥8, ♣8, ♥Q | fullhouse
♠Q, ♦8, ♥8, ♣8, ♦8 | four of a kind!
♠Q, ♦8, ♥8, ♥5, ♥Q | two pairs
♠Q, ♦8, ♥8, ♥5, ♥Q | two pairs
♠Q, ♦8, ♥8, ♥5, ♠7 | pair
♠Q, ♦8, ♥8, ♥5, ♦K | pair
♠Q, ♦8, ♥8, ♥5, ♥2 | pair
♠Q, ♦8, ♥8, ♥5, ♥5 | two pairs
♠Q, ♦8, ♥8, ♥5, ♦8 | three of a kind
♠Q, ♦8, ♥8, ♥5, ♥Q | two pairs
♠Q, ♦8, ♥8, ♥5, ♦8 | three of a kind
♠Q, ♦8, ♥8, ♥Q, ♥Q | fullhouse
♠Q, ♦8, ♥8, ♥Q, ♠7 | two pairs
♠Q, ♦8, ♥8, ♥Q, ♦K | two pairs
♠Q, ♦8, ♥8, ♥Q, ♥2 | two pairs
♠Q, ♦8, ♥8, ♥Q, ♥5 | two pairs
♠Q, ♦8, ♥8, ♥Q, ♦8 | fullhouse
♠Q, ♦8, ♥8, ♥Q, ♥Q | fullhouse
♠Q, ♦8, ♥8, ♥Q, ♦8 | fullhouse
♠Q, ♦8, ♥8, ♥Q, ♠7 | two pairs
♠Q, ♦8, ♥8, ♥Q, ♦K | two pairs
♠Q, ♦8, ♥8, ♥Q, ♥2 | two pairs
♠Q, ♦8, ♥8, ♥Q, ♥5 | two pairs
♠Q, ♦8, ♥8, ♥Q, ♦8 | fullhouse
♠Q, ♦8, ♥8, ♥Q, ♥Q | fullhouse
♠Q, ♦8, ♥8, ♥Q, ♦8 | fullhouse
♠Q, ♦8, ♥8, ♠7, ♦K | pair
♠Q, ♦8, ♥8, ♠7, ♥2 | pair
♠Q, ♦8, ♥8, ♠7, ♥5 | pair
♠Q, ♦8, ♥8, ♠7, ♦8 | three of a kind
♠Q, ♦8, ♥8, ♠7, ♥Q | two pairs
♠Q, ♦8, ♥8, ♠7, ♦8 | three of a kind
♠Q, ♦8, ♥8, ♦K, ♥2 | pair
♠Q, ♦8, ♥8, ♦K, ♥5 | pair
♠Q, ♦8, ♥8, ♦K, ♦8 | three of a kind
♠Q, ♦8, ♥8, ♦K, ♥Q | two pairs
♠Q, ♦8, ♥8, ♦K, ♦8 | three of a kind
♠Q, ♦8, ♥8, ♥2, ♥5 | pair
♠Q, ♦8, ♥8, ♥2, ♦8 | three of a kind
♠Q, ♦8, ♥8, ♥2, ♥Q | two pairs
♠Q, ♦8, ♥8, ♥2, ♦8 | three of a kind
♠Q, ♦8, ♥8, ♥5, ♦8 | three of a kind
♠Q, ♦8, ♥8, ♥5, ♥Q | two pairs
♠Q, ♦8, ♥8, ♥5, ♦8 | three of a kind
♠Q, ♦8, ♥8, ♦8, ♥Q | fullhouse
♠Q, ♦8, ♥8, ♦8, ♦8 | four of a kind!
♠Q, ♦8, ♥8, ♥Q, ♦8 | fullhouse
♠Q, ♦8, ♣8, ♥5, ♥Q | two pairs
♠Q, ♦8, ♣8, ♥5, ♥Q | two pairs
♠Q, ♦8, ♣8, ♥5, ♠7 | pair
♠Q, ♦8, ♣8, ♥5, ♦K | pair
♠Q, ♦8, ♣8, ♥5, ♥2 | pair
♠Q, ♦8, ♣8, ♥5, ♥5 | two pairs
♠Q, ♦8, ♣8, ♥5, ♦8 | three of a kind
♠Q, ♦8, ♣8, ♥5, ♥Q | two pairs
♠Q, ♦8, ♣8, ♥5, ♦8 | three of a kind
♠Q, ♦8, ♣8, ♥Q, ♥Q | fullhouse
♠Q, ♦8, ♣8, ♥Q, ♠7 | two pairs
♠Q, ♦8, ♣8, ♥Q, ♦K | two pairs
♠Q, ♦8, ♣8, ♥Q, ♥2 | two pairs
♠Q, ♦8, ♣8, ♥Q, ♥5 | two pairs
♠Q, ♦8, ♣8, ♥Q, ♦8 | fullhouse
♠Q, ♦8, ♣8, ♥Q, ♥Q | fullhouse
♠Q, ♦8, ♣8, ♥Q, ♦8 | fullhouse
♠Q, ♦8, ♣8, ♥Q, ♠7 | two pairs
♠Q, ♦8, ♣8, ♥Q, ♦K | two pairs
♠Q, ♦8, ♣8, ♥Q, ♥2 | two pairs
♠Q, ♦8, ♣8, ♥Q, ♥5 | two pairs
♠Q, ♦8, ♣8, ♥Q, ♦8 | fullhouse
♠Q, ♦8, ♣8, ♥Q, ♥Q | fullhouse
♠Q, ♦8, ♣8, ♥Q, ♦8 | fullhouse
♠Q, ♦8, ♣8, ♠7, ♦K | pair
♠Q, ♦8, ♣8, ♠7, ♥2 | pair
♠Q, ♦8, ♣8, ♠7, ♥5 | pair
♠Q, ♦8, ♣8, ♠7, ♦8 | three of a kind
♠Q, ♦8, ♣8, ♠7, ♥Q | two pairs
♠Q, ♦8, ♣8, ♠7, ♦8 | three of a kind
♠Q, ♦8, ♣8, ♦K, ♥2 | pair
♠Q, ♦8, ♣8, ♦K, ♥5 | pair
♠Q, ♦8, ♣8, ♦K, ♦8 | three of a kind
♠Q, ♦8, ♣8, ♦K, ♥Q | two pairs
♠Q, ♦8, ♣8, ♦K, ♦8 | three of a kind
♠Q, ♦8, ♣8, ♥2, ♥5 | pair
♠Q, ♦8, ♣8, ♥2, ♦8 | three of a kind
♠Q, ♦8, ♣8, ♥2, ♥Q | two pairs
♠Q, ♦8, ♣8, ♥2, ♦8 | three of a kind
♠Q, ♦8, ♣8, ♥5, ♦8 | three of a kind
♠Q, ♦8, ♣8, ♥5, ♥Q | two pairs
♠Q, ♦8, ♣8, ♥5, ♦8 | three of a kind
♠Q, ♦8, ♣8, ♦8, ♥Q | fullhouse
♠Q, ♦8, ♣8, ♦8, ♦8 | four of a kind!
♠Q, ♦8, ♣8, ♥Q, ♦8 | fullhouse
♠Q, ♦8, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♦8, ♥5, ♥Q, ♠7 | pair
♠Q, ♦8, ♥5, ♥Q, ♦K | pair
♠Q, ♦8, ♥5, ♥Q, ♥2 | pair
♠Q, ♦8, ♥5, ♥Q, ♥5 | two pairs
♠Q, ♦8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♦8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♥5, ♥Q, ♠7 | pair
♠Q, ♦8, ♥5, ♥Q, ♦K | pair
♠Q, ♦8, ♥5, ♥Q, ♥2 | pair
♠Q, ♦8, ♥5, ♥Q, ♥5 | two pairs
♠Q, ♦8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♥5, ♥Q, ♥Q | three of a kind
♠Q, ♦8, ♥5, ♥Q, ♦8 | two pairs
♠Q, ♦8, ♥5, ♠7, ♥5 | pair
♠Q, ♦8, ♥5, ♠7, ♦8 | pair
♠Q, ♦8, ♥5, ♠7, ♥Q | pair
♠Q, ♦8, ♥5, ♠7, ♦8 | pair
♠Q, ♦8, ♥5, ♦K, ♥5 | pair
♠Q, ♦8, ♥5, ♦K, ♦8 | pair
♠Q, ♦8, ♥5, ♦K, ♥Q | pair
♠Q, ♦8, ♥5, ♦K, ♦8 | pair
