♣Q, ♥4, ♣4, ♠J, ♥10 | pair
♣Q, ♥4, ♠J, ♣J, ♣4 | two pairs
♣Q, ♥4, ♠J, ♣J, ♥2 | pair
♣Q, ♥4, ♠J, ♣J, ♣J | three of a kind
♣Q, ♥4, ♠J, ♣J, ♦10 | pair
♣Q, ♥4, ♠J, ♣J, ♣4 | two pairs
♣Q, ♥4, ♠J, ♣J, ♥2 | pair
♣Q, ♥4, ♠J, ♣J, ♦10 | pair
♣Q, ♥4, ♠J, ♣J, ♣4 | two pairs
♣Q, ♥4, ♠J, ♣J, ♥2 | pair
♣Q, ♥4, ♠J, ♦10, ♣4 | pair
♣Q, ♥4, ♠J, ♣4, ♥2 | pair
♣Q, ♥4, ♥10, ♠8, ♦8 | pair
♣Q, ♥4, ♥10, ♠8, ♦10 | pair
♣Q, ♥4, ♥10, ♠8, ♣4 | pair
♣Q, ♥4, ♥10, ♣K, ♦10 | pair
♣Q, ♥4, ♥10, ♣K, ♣4 | pair
♣Q, ♥4, ♥10, ♥6, ♠6 | pair
♣Q, ♥4, ♥10, ♥6, ♦10 | pair
♣Q, ♥4, ♥10, ♥6, ♣4 | pair
♣Q, ♥4, ♥10, ♠6, ♦10 | pair
♣Q, ♥4, ♥10, ♠6, ♣4 | pair
♣Q, ♥4, ♥10, ♦8, ♦10 | pair
♣Q, ♥4, ♥10, ♦8, ♣4 | pair
♣Q, ♥4, ♥10, ♣J, ♣J | pair
♣Q, ♥4, ♥10, ♣J, ♣J | pair
♣Q, ♥4, ♥10, ♣J, ♦10 | pair
♣Q, ♥4, ♥10, ♣J, ♣4 | pair
♣Q, ♥4, ♥10, ♣J, ♣J | pair
♣Q, ♥4, ♥10, ♣J, ♦10 | pair
♣Q, ♥4, ♥10, ♣J, ♣4 | pair
♣Q, ♥4, ♥10, ♣J, ♦10 | pair
♣Q, ♥4, ♥10, ♣J, ♣4 | pair
♣Q, ♥4, ♥10, ♦10, ♣4 | two pairs
♣Q, ♥4, ♥10, ♦10, ♥2 | pair
♣Q, ♥4, ♥10, ♣4, ♥2 | pair
♣Q, ♥4, ♠8, ♣K, ♦8 | pair
♣Q, ♥4, ♠8, ♣K, ♣4 | pair
♣Q, ♥4, ♠8, ♥6, ♠6 | pair
♣Q, ♥4, ♠8, ♥6, ♦8 | pair
♣Q, ♥4, ♠8, ♥6, ♣4 | pair
♣Q, ♥4, ♠8, ♠6, ♦8 | pair
♣Q, ♥4, ♠8, ♠6, ♣4 | pair
♣Q, ♥4, ♠8, ♦8, ♣J | pair
♣Q, ♥4, ♠8, ♦8, ♣J | pair
♣Q, ♥4, ♠8, ♦8, ♣J | pair
♣Q, ♥4, ♠8, ♦8, ♦10 | pair
♣Q, ♥4, ♠8, ♦8, ♣4 | two pairs
♣Q, ♥4, ♠8, ♦8, ♥2 | pair
♣Q, ♥4, ♠8, ♣J, ♣J | pair
♣Q, ♥4, ♠8, ♣J, ♣J | pair
♣Q, ♥4, ♠8, ♣J, ♣4 | pair
♣Q, ♥4, ♠8, ♣J, ♣J | pair
♣Q, ♥4, ♠8, ♣J, ♣4 | pair
♣Q, ♥4, ♠8, ♣J, ♣4 | pair
♣Q, ♥4, ♠8, ♦10, ♣4 | pair
♣Q, ♥4, ♠8, ♣4, ♥2 | pair
♣Q, ♥4, ♣K, ♥6, ♠6 | pair
♣Q, ♥4, ♣K, ♥6, ♣4 | pair
♣Q, ♥4, ♣K, ♠6, ♣4 | pair
♣Q, ♥4, ♣K, ♦8, ♣4 | pair
♣Q, ♥4, ♣K, ♣J, ♣J | pair
♣Q, ♥4, ♣K, ♣J, ♣J | pair
♣Q, ♥4, ♣K, ♣J, ♣4 | pair
♣Q, ♥4, ♣K, ♣J, ♣J | pair
♣Q, ♥4, ♣K, ♣J, ♣4 | pair
♣Q, ♥4, ♣K, ♣J, ♣4 | pair
♣Q, ♥4, ♣K, ♦10, ♣4 | pair
♣Q, ♥4, ♣K, ♣4, ♥2 | pair
♣Q, ♥4, ♥6, ♠6, ♦8 | pair
♣Q, ♥4, ♥6, ♠6, ♣J | pair
♣Q, ♥4, ♥6, ♠6, ♣J | pair
♣Q, ♥4, ♥6, ♠6, ♣J | pair
♣Q, ♥4, ♥6, ♠6, ♦10 | pair
♣Q, ♥4, ♥6, ♠6, ♣4 | two pairs
♣Q, ♥4, ♥6, ♠6, ♥2 | pair
♣Q, ♥4, ♥6, ♦8, ♣4 | pair
♣Q, ♥4, ♥6, ♣J, ♣J | pair
♣Q, ♥4, ♥6, ♣J, ♣J | pair
♣Q, ♥4, ♥6, ♣J, ♣4 | pair
♣Q, ♥4, ♥6, ♣J, ♣J | pair
♣Q, ♥4, ♥6, ♣J, ♣4 | pair
♣Q, ♥4, ♥6, ♣J, ♣4 | pair
♣Q, ♥4, ♥6, ♦10, ♣4 | pair
♣Q, ♥4, ♥6, ♣4, ♥2 | pair
♣Q, ♥4, ♠6, ♦8, ♣4 | pair
♣Q, ♥4, ♠6, ♣J, ♣J | pair
♣Q, ♥4, ♠6, ♣J, ♣J | pair
♣Q, ♥4, ♠6, ♣J, ♣4 | pair
♣Q, ♥4, ♠6, ♣J, ♣J | pair
♣Q, ♥4, ♠6, ♣J, ♣4 | pair
♣Q, ♥4, ♠6, ♣J, ♣4 | pair
♣Q, ♥4, ♠6, ♦10, ♣4 | pair
♣Q, ♥4, ♠6, ♣4, ♥2 | pair
♣Q, ♥4, ♦8, ♣J, ♣J | pair
♣Q, ♥4, ♦8, ♣J, ♣J | pair
♣Q, ♥4, ♦8, ♣J, ♣4 | pair
♣Q, ♥4, ♦8, ♣J, ♣J | pair
♣Q, ♥4, ♦8, ♣J, ♣4 | pair
♣Q, ♥4, ♦8, ♣J, ♣4 | pair
♣Q, ♥4, ♦8, ♦10, ♣4 | pair
♣Q, ♥4, ♦8, ♣4, ♥2 | pair
♣Q, ♥4, ♣J, ♣J, ♣J | three of a kind
♣Q, ♥4, ♣J, ♣J, ♦10 | pair
♣Q, ♥4, ♣J, ♣J, ♣4 | two pairs
♣Q, ♥4, ♣J, ♣J, ♥2 | pair
♣Q, ♥4, ♣J, ♣J, ♦10 | pair
♣Q, ♥4, ♣J, ♣J, ♣4 | two pairs
♣Q, ♥4, ♣J, ♣J, ♥2 | pair
♣Q, ♥4, ♣J, ♦10, ♣4 | pair
♣Q, ♥4, ♣J, ♣4, ♥2 | pair
♣Q, ♥4, ♣J, ♣J, ♦10 | pair
♣Q, ♥4, ♣J, ♣J, ♣4 | two pairs
♣Q, ♥4, ♣J, ♣J, ♥2 | pair
♣Q, ♥4, ♣J, ♦10, ♣4 | pair
♣Q, ♥4, ♣J, ♣4, ♥2 | pair
♣Q, ♥4, ♣J, ♦10, ♣4 | pair
♣Q, ♥4, ♣J, ♣4, ♥2 | pair
♣Q, ♥4, ♦10, ♣4, ♥2 | pair
♣Q, ♣4, ♠J, ♥10, ♣J | pair
♣Q, ♣4, ♠J, ♥10, ♣J | pair
♣Q, ♣4, ♠J, ♥10, ♣J | pair
♣Q, ♣4, ♠J, ♥10, ♦10 | pair
♣Q, ♣4, ♠J, ♥10, ♣4 | pair
♣Q, ♣4, ♠J, ♠8, ♦8 | pair
♣Q, ♣4, ♠J, ♠8, ♣J | pair
♣Q, ♣4, ♠J, ♠8, ♣J | pair
♣Q, ♣4, ♠J, ♠8, ♣J | pair
♣Q, ♣4, ♠J, ♠8, ♣4 | pair
♣Q, ♣4, ♠J, ♣K, ♣J | pair
♣Q, ♣4, ♠J, ♣K, ♣J | pair
♣Q, ♣4, ♠J, ♣K, ♣J | pair
♣Q, ♣4, ♠J, ♣K, ♣4 | pair
♣Q, ♣4, ♠J, ♥6, ♠6 | pair
♣Q, ♣4, ♠J, ♥6, ♣J | pair
♣Q, ♣4, ♠J, ♥6, ♣J | pair
♣Q, ♣4, ♠J, ♥6, ♣J | pair
♣Q, ♣4, ♠J, ♥6, ♣4 | pair
♣Q, ♣4, ♠J, ♠6, ♣J | pair
♣Q, ♣4, ♠J, ♠6, ♣J | pair
♣Q, ♣4, ♠J, ♠6, ♣J | pair
♣Q, ♣4, ♠J, ♠6, ♣4 | pair
♣Q, ♣4, ♠J, ♦8, ♣J | pair
♣Q, ♣4, ♠J, ♦8, ♣J | pair
♣Q, ♣4, ♠J, ♦8, ♣J | pair
♣Q, ♣4, ♠J, ♦8, ♣4 | pair
♣Q, ♣4, ♠J, ♣J, ♣J | three of a kind
♣Q, ♣4, ♠J, ♣J, ♣J | three of a kind
♣Q, ♣4, ♠J, ♣J, ♦10 | pair
♣Q, ♣4, ♠J, ♣J, ♣4 | two pairs
♣Q, ♣4, ♠J, ♣J, ♥2 | pair
♣Q, ♣4, ♠J, ♣J, ♣J | three of a kind
♣Q, ♣4, ♠J, ♣J, ♦10 | pair
♣Q, ♣4, ♠J, ♣J, ♣4 | two pairs
♣Q, ♣4, ♠J, ♣J, ♥2 | pair
♣Q, ♣4, ♠J, ♣J, ♦10 | pair
♣Q, ♣4, ♠J, ♣J, ♣4 | two pairs
♣Q, ♣4, ♠J, ♣J, ♥2 | pair
♣Q, ♣4, ♠J, ♦10, ♣4 | pair
♣Q, ♣4, ♠J, ♣4, ♥2 | pair
♣Q, ♣4, ♥10, ♠8, ♦8 | pair
♣Q, ♣4, ♥10, ♠8, ♦10 | pair
♣Q, ♣4, ♥10, ♠8, ♣4 | pair
♣Q, ♣4, ♥10, ♣K, ♦10 | pair
♣Q, ♣4, ♥10, ♣K, ♣4 | pair
♣Q, ♣4, ♥10, ♥6, ♠6 | pair
♣Q, ♣4, ♥10, ♥6, ♦10 | pair
♣Q, ♣4, ♥10, ♥6, ♣4 | pair
♣Q, ♣4, ♥10, ♠6, ♦10 | pair
♣Q, ♣4, ♥10, ♠6, ♣4 | pair
♣Q, ♣4, ♥10, ♦8, ♦10 | pair
♣Q, ♣4, ♥10, ♦8, ♣4 | pair
♣Q, ♣4, ♥10, ♣J, ♣J | pair
♣Q, ♣4, ♥10, ♣J, ♣J | pair
♣Q, ♣4, ♥10, ♣J, ♦10 | pair
♣Q, ♣4, ♥10, ♣J, ♣4 | pair
♣Q, ♣4, ♥10, ♣J, ♣J | pair
♣Q, ♣4, ♥10, ♣J, ♦10 | pair
♣Q, ♣4, ♥10, ♣J, ♣4 | pair
♣Q, ♣4, ♥10, ♣J, ♦10 | pair
♣Q, ♣4, ♥10, ♣J, ♣4 | pair
♣Q, ♣4, ♥10, ♦10, ♣4 | two pairs
♣Q, ♣4, ♥10, ♦10, ♥2 | pair
♣Q, ♣4, ♥10, ♣4, ♥2 | pair
♣Q, ♣4, ♠8, ♣K, ♦8 | pair
♣Q, ♣4, ♠8, ♣K, ♣4 | pair
♣Q, ♣4, ♠8, ♥6, ♠6 | pair
♣Q, ♣4, ♠8, ♥6, ♦8 | pair
♣Q, ♣4, ♠8, ♥6, ♣4 | pair
♣Q, ♣4, ♠8, ♠6, ♦8 | pair
♣Q, ♣4, ♠8, ♠6, ♣4 | pair
♣Q, ♣4, ♠8, ♦8, ♣J | pair
♣Q, ♣4, ♠8, ♦8, ♣J | pair
♣Q, ♣4, ♠8, ♦8, ♣J | pair
♣Q, ♣4, ♠8, ♦8, ♦10 | pair
♣Q, ♣4, ♠8, ♦8, ♣4 | two pairs
♣Q, ♣4, ♠8, ♦8, ♥2 | pair
♣Q, ♣4, ♠8, ♣J, ♣J | pair
♣Q, ♣4, ♠8, ♣J, ♣J | pair
♣Q, ♣4, ♠8, ♣J, ♣4 | pair
♣Q, ♣4, ♠8, ♣J, ♣J | pair
♣Q, ♣4, ♠8, ♣J, ♣4 | pair
♣Q, ♣4, ♠8, ♣J, ♣4 | pair
♣Q, ♣4, ♠8, ♦10, ♣4 | pair
♣Q, ♣4, ♠8, ♣4, ♥2 | pair
♣Q, ♣4, ♣K, ♥6, ♠6 | pair
♣Q, ♣4, ♣K, ♥6, ♣4 | pair
♣Q, ♣4, ♣K, ♠6, ♣4 | pair
♣Q, ♣4, ♣K, ♦8, ♣4 | pair
♣Q, ♣4, ♣K, ♣J, ♣J | flush
♣Q, ♣4, ♣K, ♣J, ♣J | flush
♣Q, ♣4, ♣K, ♣J, ♣4 | flush
♣Q, ♣4, ♣K, ♣J, ♣J | flush
♣Q, ♣4, ♣K, ♣J, ♣4 | flush
♣Q, ♣4, ♣K, ♣J, ♣4 | flush
♣Q, ♣4, ♣K, ♦10, ♣4 | pair
♣Q, ♣4, ♣K, ♣4, ♥2 | pair
♣Q, ♣4, ♥6, ♠6, ♦8 | pair
♣Q, ♣4, ♥6, ♠6, ♣J | pair
♣Q, ♣4, ♥6, ♠6, ♣J | pair
♣Q, ♣4, ♥6, ♠6, ♣J | pair
♣Q, ♣4, ♥6, ♠6, ♦10 | pair
♣Q, ♣4, ♥6, ♠6, ♣4 | two pairs
♣Q, ♣4, ♥6, ♠6, ♥2 | pair
♣Q, ♣4, ♥6, ♦8, ♣4 | pair
♣Q, ♣4, ♥6, ♣J, ♣J | pair
♣Q, ♣4, ♥6, ♣J, ♣J | pair
♣Q, ♣4, ♥6, ♣J, ♣4 | pair
♣Q, ♣4, ♥6, ♣J, ♣J | pair
♣Q, ♣4, ♥6, ♣J, ♣4 | pair
♣Q, ♣4, ♥6, ♣J, ♣4 | pair
♣Q, ♣4, ♥6, ♦10, ♣4 | pair
♣Q, ♣4, ♥6, ♣4, ♥2 | pair
♣Q, ♣4, ♠6, ♦8, ♣4 | pair
♣Q, ♣4, ♠6, ♣J, ♣J | pair
♣Q, ♣4, ♠6, ♣J, ♣J | pair
♣Q, ♣4, ♠6, ♣J, ♣4 | pair
♣Q, ♣4, ♠6, ♣J, ♣J | pair
♣Q, ♣4, ♠6, ♣J, ♣4 | pair
♣Q, ♣4, ♠6, ♣J, ♣4 | pair
♣Q, ♣4, ♠6, ♦10, ♣4 | pair
♣Q, ♣4, ♠6, ♣4, ♥2 | pair
♣Q, ♣4, ♦8, ♣J, ♣J | pair
♣Q, ♣4, ♦8, ♣J, ♣J | pair
♣Q, ♣4, ♦8, ♣J, ♣4 | pair
♣Q, ♣4, ♦8, ♣J, ♣J | pair
♣Q, ♣4, ♦8, ♣J, ♣4 | pair
♣Q, ♣4, ♦8, ♣J, ♣4 | pair
♣Q, ♣4, ♦8, ♦10, ♣4 | pair
♣Q, ♣4, ♦8, ♣4, ♥2 | pair
♣Q, ♣4, ♣J, ♣J, ♣J | flush
♣Q, ♣4, ♣J, ♣J, ♦10 | pair
♣Q, ♣4, ♣J, ♣J, ♣4 | flush
♣Q, ♣4, ♣J, ♣J, ♥2 | pair
♣Q, ♣4, ♣J, ♣J, ♦10 | pair
♣Q, ♣4, ♣J, ♣J, ♣4 | flush
♣Q, ♣4, ♣J, ♣J, ♥2 | pair
♣Q, ♣4, ♣J, ♦10, ♣4 | pair
♣Q, ♣4, ♣J, ♣4, ♥2 | pair
♣Q, ♣4, ♣J, ♣J, ♦10 | pair
♣Q, ♣4, ♣J, ♣J, ♣4 | flush
♣Q, ♣4, ♣J, ♣J, ♥2 | pair
♣Q, ♣4, ♣J, ♦10, ♣4 | pair
♣Q, ♣4, ♣J, ♣4, ♥2 | pair
♣Q, ♣4, ♣J, ♦10, ♣4 | pair
♣Q, ♣4, ♣J, ♣4, ♥2 | pair
♣Q, ♣4, ♦10, ♣4, ♥2 | pair
♣Q, ♠J, ♥10, ♠8, ♦8 | pair
♣Q, ♠J, ♥10, ♠8, ♣J | pair
♣Q, ♠J, ♥10, ♠8, ♣J | pair
♣Q, ♠J, ♥10, ♠8, ♣J | pair
♣Q, ♠J, ♥10, ♠8, ♦10 | pair
♣Q, ♠J, ♥10, ♣K, ♣J | pair
♣Q, ♠J, ♥10, ♣K, ♣J | pair
♣Q, ♠J, ♥10, ♣K, ♣J | pair
♣Q, ♠J, ♥10, ♣K, ♦10 | pair
♣Q, ♠J, ♥10, ♥6, ♠6 | pair
♣Q, ♠J, ♥10, ♥6, ♣J | pair
♣Q, ♠J, ♥10, ♥6, ♣J | pair
♣Q, ♠J, ♥10, ♥6, ♣J | pair
♣Q, ♠J, ♥10, ♥6, ♦10 | pair
♣Q, ♠J, ♥10, ♠6, ♣J | pair
♣Q, ♠J, ♥10, ♠6, ♣J | pair
♣Q, ♠J, ♥10, ♠6, ♣J | pair
♣Q, ♠J, ♥10, ♠6, ♦10 | pair
♣Q, ♠J, ♥10, ♦8, ♣J | pair
♣Q, ♠J, ♥10, ♦8, ♣J | pair
♣Q, ♠J, ♥10, ♦8, ♣J | pair
♣Q, ♠J, ♥10, ♦8, ♦10 | pair
♣Q, ♠J, ♥10, ♣J, ♣J | three of a kind
♣Q, ♠J, ♥10, ♣J, ♣J | three of a kind
♣Q, ♠J, ♥10, ♣J, ♦10 | two pairs
♣Q, ♠J, ♥10, ♣J, ♣4 | pair
♣Q, ♠J, ♥10, ♣J, ♥2 | pair
♣Q, ♠J, ♥10, ♣J, ♣J | three of a kind
♣Q, ♠J, ♥10, ♣J, ♦10 | two pairs
♣Q, ♠J, ♥10, ♣J, ♣4 | pair
♣Q, ♠J, ♥10, ♣J, ♥2 | pair
♣Q, ♠J, ♥10, ♣J, ♦10 | two pairs
♣Q, ♠J, ♥10, ♣J, ♣4 | pair
♣Q, ♠J, ♥10, ♣J, ♥2 | pair
♣Q, ♠J, ♥10, ♦10, ♣4 | pair
♣Q, ♠J, ♥10, ♦10, ♥2 | pair
♣Q, ♠J, ♠8, ♣K, ♦8 | pair
♣Q, ♠J, ♠8, ♣K, ♣J | pair
♣Q, ♠J, ♠8, ♣K, ♣J | pair
♣Q, ♠J, ♠8, ♣K, ♣J | pair
♣Q, ♠J, ♠8, ♥6, ♠6 | pair
♣Q, ♠J, ♠8, ♥6, ♦8 | pair
♣Q, ♠J, ♠8, ♥6, ♣J | pair
♣Q, ♠J, ♠8, ♥6, ♣J | pair
♣Q, ♠J, ♠8, ♥6, ♣J | pair
♣Q, ♠J, ♠8, ♠6, ♦8 | pair
♣Q, ♠J, ♠8, ♠6, ♣J | pair
♣Q, ♠J, ♠8, ♠6, ♣J | pair
♣Q, ♠J, ♠8, ♠6, ♣J | pair
♣Q, ♠J, ♠8, ♦8, ♣J | two pairs
♣Q, ♠J, ♠8, ♦8, ♣J | two pairs
♣Q, ♠J, ♠8, ♦8, ♣J | two pairs
♣Q, ♠J, ♠8, ♦8, ♦10 | pair
♣Q, ♠J, ♠8, ♦8, ♣4 | pair
♣Q, ♠J, ♠8, ♦8, ♥2 | pair
♣Q, ♠J, ♠8, ♣J, ♣J | three of a kind
♣Q, ♠J, ♠8, ♣J, ♣J | three of a kind
♣Q, ♠J, ♠8, ♣J, ♦10 | pair
♣Q, ♠J, ♠8, ♣J, ♣4 | pair
♣Q, ♠J, ♠8, ♣J, ♥2 | pair
♣Q, ♠J, ♠8, ♣J, ♣J | three of a kind
♣Q, ♠J, ♠8, ♣J, ♦10 | pair
♣Q, ♠J, ♠8, ♣J, ♣4 | pair
♣Q, ♠J, ♠8, ♣J, ♥2 | pair
♣Q, ♠J, ♠8, ♣J, ♦10 | pair
♣Q, ♠J, ♠8, ♣J, ♣4 | pair
♣Q, ♠J, ♠8, ♣J, ♥2 | pair
♣Q, ♠J, ♣K, ♥6, ♠6 | pair
♣Q, ♠J, ♣K, ♥6, ♣J | pair
♣Q, ♠J, ♣K, ♥6, ♣J | pair
♣Q, ♠J, ♣K, ♥6, ♣J | pair
♣Q, ♠J, ♣K, ♠6, ♣J | pair
♣Q, ♠J, ♣K, ♠6, ♣J | pair
♣Q, ♠J, ♣K, ♠6, ♣J | pair
♣Q, ♠J, ♣K, ♦8, ♣J | pair
♣Q, ♠J, ♣K, ♦8, ♣J | pair
♣Q, ♠J, ♣K, ♦8, ♣J | pair
♣Q, ♠J, ♣K, ♣J, ♣J | three of a kind
♣Q, ♠J, ♣K, ♣J, ♣J | three of a kind
♣Q, ♠J, ♣K, ♣J, ♦10 | pair
♣Q, ♠J, ♣K, ♣J, ♣4 | pair
♣Q, ♠J, ♣K, ♣J, ♥2 | pair
♣Q, ♠J, ♣K, ♣J, ♣J | three of a kind
♣Q, ♠J, ♣K, ♣J, ♦10 | pair
♣Q, ♠J, ♣K, ♣J, ♣4 | pair
♣Q, ♠J, ♣K, ♣J, ♥2 | pair
♣Q, ♠J, ♣K, ♣J, ♦10 | pair
♣Q, ♠J, ♣K, ♣J, ♣4 | pair
♣Q, ♠J, ♣K, ♣J, ♥2 | pair
♣Q, ♠J, ♥6, ♠6, ♦8 | pair
♣Q, ♠J, ♥6, ♠6, ♣J | two pairs
♣Q, ♠J, ♥6, ♠6, ♣J | two pairs
♣Q, ♠J, ♥6, ♠6, ♣J | two pairs
♣Q, ♠J, ♥6, ♠6, ♦10 | pair
♣Q, ♠J, ♥6, ♠6, ♣4 | pair
♣Q, ♠J, ♥6, ♠6, ♥2 | pair
♣Q, ♠J, ♥6, ♦8, ♣J | pair
♣Q, ♠J, ♥6, ♦8, ♣J | pair
♣Q, ♠J, ♥6, ♦8, ♣J | pair
♣Q, ♠J, ♥6, ♣J, ♣J | three of a kind
♣Q, ♠J, ♥6, ♣J, ♣J | three of a kind
♣Q, ♠J, ♥6, ♣J, ♦10 | pair
♣Q, ♠J, ♥6, ♣J, ♣4 | pair
♣Q, ♠J, ♥6, ♣J, ♥2 | pair
♣Q, ♠J, ♥6, ♣J, ♣J | three of a kind
♣Q, ♠J, ♥6, ♣J, ♦10 | pair
♣Q, ♠J, ♥6, ♣J, ♣4 | pair
♣Q, ♠J, ♥6, ♣J, ♥2 | pair
