♦6, ♣3, ♦Q, ♣10, ♥6 | pair
♦6, ♣3, ♥6, ♥A, ♠7 | pair
♦6, ♣3, ♣7, ♦2, ♠7 | pair
♦6, ♣3, ♣7, ♦J, ♠7 | pair
♦6, ♣3, ♣7, ♦K, ♠7 | pair
♦6, ♣3, ♣7, ♥A, ♠7 | pair
♦6, ♦Q, ♣10, ♦4, ♥6 | pair
♦6, ♦Q, ♣10, ♥6, ♣7 | pair
♦6, ♦Q, ♣10, ♥6, ♦2 | pair
♦6, ♦Q, ♣10, ♥6, ♦J | pair
♦6, ♦Q, ♣10, ♥6, ♦K | pair
♦6, ♦Q, ♣10, ♥6, ♥A | pair
♦6, ♦Q, ♣10, ♥6, ♠7 | pair
♦6, ♦Q, ♣10, ♣7, ♠7 | pair
♦6, ♦Q, ♦4, ♥6, ♣7 | pair
♦6, ♦Q, ♦4, ♥6, ♦2 | pair
♦6, ♦Q, ♦4, ♥6, ♦J | pair
♦6, ♦Q, ♦4, ♥6, ♦K | pair
♦6, ♦Q, ♦4, ♥6, ♥A | pair
♦6, ♦Q, ♦4, ♥6, ♠7 | pair
♦6, ♦Q, ♦4, ♣7, ♠7 | pair
♦6, ♦Q, ♦4, ♦2, ♦J | flush
♦6, ♦Q, ♦4, ♦2, ♦K | flush
♦6, ♦Q, ♦4, ♦J, ♦K | flush
♦6, ♦Q, ♥6, ♣7, ♦2 | pair
♦6, ♦Q, ♥6, ♣7, ♦J | pair
♦6, ♦Q, ♥6, ♣7, ♦K | pair
♦6, ♦Q, ♥6, ♣7, ♥A | pair
♦6, ♦Q, ♥6, ♣7, ♠7 | two pairs
♦6, ♦Q, ♥6, ♦2, ♦J | pair
♦6, ♦Q, ♥6, ♦2, ♦K | pair
♦6, ♦Q, ♥6, ♦2, ♥A | pair
♦6, ♦Q, ♥6, ♦2, ♠7 | pair
♦6, ♦Q, ♥6, ♦J, ♦K | pair
♦6, ♦Q, ♥6, ♦J, ♥A | pair
♦6, ♦Q, ♥6, ♦J, ♠7 | pair
♦6, ♦Q, ♥6, ♦K, ♥A | pair
♦6, ♦Q, ♥6, ♦K, ♠7 | pair
♦6, ♦Q, ♥6, ♥A, ♠7 | pair
♦6, ♦Q, ♣7, ♦2, ♠7 | pair
♦6, ♦Q, ♣7, ♦J, ♠7 | pair
♦6, ♦Q, ♣7, ♦K, ♠7 | pair
♦6, ♦Q, ♣7, ♥A, ♠7 | pair
♦6, ♦Q, ♦2, ♦J, ♦K | flush
♦6, ♣10, ♦4, ♥6, ♣7 | pair
♦6, ♣10, ♦4, ♥6, ♦2 | pair
♦6, ♣10, ♦4, ♥6, ♦J | pair
♦6, ♣10, ♦4, ♥6, ♦K | pair
♦6, ♣10, ♦4, ♥6, ♥A | pair
♦6, ♣10, ♦4, ♥6, ♠7 | pair
♦6, ♣10, ♦4, ♣7, ♠7 | pair
♦6, ♣10, ♥6, ♣7, ♦2 | pair
♦6, ♣10, ♥6, ♣7, ♦J | pair
♦6, ♣10, ♥6, ♣7, ♦K | pair
♦6, ♣10, ♥6, ♣7, ♥A | pair
♦6, ♣10, ♥6, ♣7, ♠7 | two pairs
♦6, ♣10, ♥6, ♦2, ♦J | pair
♦6, ♣10, ♥6, ♦2, ♦K | pair
♦6, ♣10, ♥6, ♦2, ♥A | pair
♦6, ♣10, ♥6, ♦2, ♠7 | pair
♦6, ♣10, ♥6, ♦J, ♦K | pair
♦6, ♣10, ♥6, ♦J, ♥A | pair
♦6, ♣10, ♥6, ♦J, ♠7 | pair
♦6, ♣10, ♥6, ♦K, ♥A | pair
♦6, ♣10, ♥6, ♦K, ♠7 | pair
♦6, ♣10, ♥6, ♥A, ♠7 | pair
♦6, ♣10, ♣7, ♦2, ♠7 | pair
♦6, ♣10, ♣7, ♦J, ♠7 | pair
♦6, ♣10, ♣7, ♦K, ♠7 | pair
♦6, ♣10, ♣7, ♥A, ♠7 | pair
♦6, ♦4, ♥6, ♣7, ♦2 | pair
♦6, ♦4, ♥6, ♣7, ♦J | pair
♦6, ♦4, ♥6, ♣7, ♦K | pair
♦6, ♦4, ♥6, ♣7, ♥A | pair
♦6, ♦4, ♥6, ♣7, ♠7 | two pairs
♦6, ♦4, ♥6, ♦2, ♦J | pair
♦6, ♦4, ♥6, ♦2, ♦K | pair
♦6, ♦4, ♥6, ♦2, ♥A | pair
♦6, ♦4, ♥6, ♦2, ♠7 | pair
♦6, ♦4, ♥6, ♦J, ♦K | pair
♦6, ♦4, ♥6, ♦J, ♥A | pair
♦6, ♦4, ♥6, ♦J, ♠7 | pair
♦6, ♦4, ♥6, ♦K, ♥A | pair
♦6, ♦4, ♥6, ♦K, ♠7 | pair
♦6, ♦4, ♥6, ♥A, ♠7 | pair
♦6, ♦4, ♣7, ♦2, ♠7 | pair
♦6, ♦4, ♣7, ♦J, ♠7 | pair
♦6, ♦4, ♣7, ♦K, ♠7 | pair
♦6, ♦4, ♣7, ♥A, ♠7 | pair
♦6, ♦4, ♦2, ♦J, ♦K | flush
♦6, ♥6, ♣7, ♦2, ♦J | pair
♦6, ♥6, ♣7, ♦2, ♦K | pair
♦6, ♥6, ♣7, ♦2, ♥A | pair
♦6, ♥6, ♣7, ♦2, ♠7 | two pairs
♦6, ♥6, ♣7, ♦J, ♦K | pair
♦6, ♥6, ♣7, ♦J, ♥A | pair
♦6, ♥6, ♣7, ♦J, ♠7 | two pairs
♦6, ♥6, ♣7, ♦K, ♥A | pair
♦6, ♥6, ♣7, ♦K, ♠7 | two pairs
♦6, ♥6, ♣7, ♥A, ♠7 | two pairs
♦6, ♥6, ♦2, ♦J, ♦K | pair
♦6, ♥6, ♦2, ♦J, ♥A | pair
♦6, ♥6, ♦2, ♦J, ♠7 | pair
♦6, ♥6, ♦2, ♦K, ♥A | pair
♦6, ♥6, ♦2, ♦K, ♠7 | pair
♦6, ♥6, ♦2, ♥A, ♠7 | pair
♦6, ♥6, ♦J, ♦K, ♥A | pair
♦6, ♥6, ♦J, ♦K, ♠7 | pair
♦6, ♥6, ♦J, ♥A, ♠7 | pair
♦6, ♥6, ♦K, ♥A, ♠7 | pair
♦6, ♣7, ♦2, ♦J, ♠7 | pair
♦6, ♣7, ♦2, ♦K, ♠7 | pair
♦6, ♣7, ♦2, ♥A, ♠7 | pair
♦6, ♣7, ♦J, ♦K, ♠7 | pair
♦6, ♣7, ♦J, ♥A, ♠7 | pair
♦6, ♣7, ♦K, ♥A, ♠7 | pair
♣3, ♦Q, ♣10, ♣7, ♠7 | pair
♣3, ♦Q, ♦4, ♣7, ♠7 | pair
♣3, ♦Q, ♥6, ♣7, ♠7 | pair
♣3, ♦Q, ♣7, ♦2, ♠7 | pair
♣3, ♦Q, ♣7, ♦J, ♠7 | pair
♣3, ♦Q, ♣7, ♦K, ♠7 | pair
♣3, ♦Q, ♣7, ♥A, ♠7 | pair
♣3, ♣10, ♦4, ♣7, ♠7 | pair
♣3, ♣10, ♥6, ♣7, ♠7 | pair
♣3, ♣10, ♣7, ♦2, ♠7 | pair
♣3, ♣10, ♣7, ♦J, ♠7 | pair
♣3, ♣10, ♣7, ♦K, ♠7 | pair
♣3, ♣10, ♣7, ♥A, ♠7 | pair
♣3, ♦4, ♥6, ♣7, ♠7 | pair
♣3, ♦4, ♣7, ♦2, ♠7 | pair
♣3, ♦4, ♣7, ♦J, ♠7 | pair
♣3, ♦4, ♣7, ♦K, ♠7 | pair
♣3, ♦4, ♣7, ♥A, ♠7 | pair
♣3, ♥6, ♣7, ♦2, ♠7 | pair
♣3, ♥6, ♣7, ♦J, ♠7 | pair
♣3, ♥6, ♣7, ♦K, ♠7 | pair
♣3, ♥6, ♣7, ♥A, ♠7 | pair
♣3, ♣7, ♦2, ♦J, ♠7 | pair
♣3, ♣7, ♦2, ♦K, ♠7 | pair
♣3, ♣7, ♦2, ♥A, ♠7 | pair
♣3, ♣7, ♦J, ♦K, ♠7 | pair
♣3, ♣7, ♦J, ♥A, ♠7 | pair
♣3, ♣7, ♦K, ♥A, ♠7 | pair
♦Q, ♣10, ♦4, ♣7, ♠7 | pair
♦Q, ♣10, ♥6, ♣7, ♠7 | pair
♦Q, ♣10, ♣7, ♦2, ♠7 | pair
♦Q, ♣10, ♣7, ♦J, ♠7 | pair
♦Q, ♣10, ♣7, ♦K, ♠7 | pair
♦Q, ♣10, ♣7, ♥A, ♠7 | pair
♦Q, ♣10, ♦J, ♦K, ♥A | straight
♦Q, ♦4, ♥6, ♣7, ♠7 | pair
♦Q, ♦4, ♣7, ♦2, ♠7 | pair
♦Q, ♦4, ♣7, ♦J, ♠7 | pair
♦Q, ♦4, ♣7, ♦K, ♠7 | pair
♦Q, ♦4, ♣7, ♥A, ♠7 | pair
♦Q, ♦4, ♦2, ♦J, ♦K | flush
♦Q, ♥6, ♣7, ♦2, ♠7 | pair
♦Q, ♥6, ♣7, ♦J, ♠7 | pair
♦Q, ♥6, ♣7, ♦K, ♠7 | pair
♦Q, ♥6, ♣7, ♥A, ♠7 | pair
♦Q, ♣7, ♦2, ♦J, ♠7 | pair
♦Q, ♣7, ♦2, ♦K, ♠7 | pair
♦Q, ♣7, ♦2, ♥A, ♠7 | pair
♦Q, ♣7, ♦J, ♦K, ♠7 | pair
♦Q, ♣7, ♦J, ♥A, ♠7 | pair
♦Q, ♣7, ♦K, ♥A, ♠7 | pair
♣10, ♦4, ♥6, ♣7, ♠7 | pair
♣10, ♦4, ♣7, ♦2, ♠7 | pair
♣10, ♦4, ♣7, ♦J, ♠7 | pair
♣10, ♦4, ♣7, ♦K, ♠7 | pair
♣10, ♦4, ♣7, ♥A, ♠7 | pair
♣10, ♥6, ♣7, ♦2, ♠7 | pair
♣10, ♥6, ♣7, ♦J, ♠7 | pair
♣10, ♥6, ♣7, ♦K, ♠7 | pair
♣10, ♥6, ♣7, ♥A, ♠7 | pair
♣10, ♣7, ♦2, ♦J, ♠7 | pair
♣10, ♣7, ♦2, ♦K, ♠7 | pair
♣10, ♣7, ♦2, ♥A, ♠7 | pair
♣10, ♣7, ♦J, ♦K, ♠7 | pair
♣10, ♣7, ♦J, ♥A, ♠7 | pair
♣10, ♣7, ♦K, ♥A, ♠7 | pair
♦4, ♥6, ♣7, ♦2, ♠7 | pair
♦4, ♥6, ♣7, ♦J, ♠7 | pair
♦4, ♥6, ♣7, ♦K, ♠7 | pair
♦4, ♥6, ♣7, ♥A, ♠7 | pair
♦4, ♣7, ♦2, ♦J, ♠7 | pair
♦4, ♣7, ♦2, ♦K, ♠7 | pair
♦4, ♣7, ♦2, ♥A, ♠7 | pair
♦4, ♣7, ♦J, ♦K, ♠7 | pair
♦4, ♣7, ♦J, ♥A, ♠7 | pair
♦4, ♣7, ♦K, ♥A, ♠7 | pair
♥6, ♣7, ♦2, ♦J, ♠7 | pair
♥6, ♣7, ♦2, ♦K, ♠7 | pair
♥6, ♣7, ♦2, ♥A, ♠7 | pair
♥6, ♣7, ♦J, ♦K, ♠7 | pair
♥6, ♣7, ♦J, ♥A, ♠7 | pair
♥6, ♣7, ♦K, ♥A, ♠7 | pair
♣7, ♦2, ♦J, ♦K, ♠7 | pair
♣7, ♦2, ♦J, ♥A, ♠7 | pair
♣7, ♦2, ♦K, ♥A, ♠7 | pair
♣7, ♦J, ♦K, ♥A, ♠7 | pair
