♦2, ♣Q, ♦4, ♣A, ♣Q | pair
♦4, ♣J, ♦3, ♠5, ♣4 | pair
♦4, ♣J, ♦3, ♠5, ♣J | pair
♦4, ♣J, ♦3, ♣Q, ♣4 | pair
♦4, ♣J, ♦3, ♣Q, ♣J | pair
♦4, ♣J, ♦3, ♣4, ♣J | two pairs
♦4, ♣J, ♠5, ♣Q, ♣4 | pair
♦4, ♣J, ♠5, ♣Q, ♣J | pair
♦4, ♣J, ♠5, ♣4, ♣J | two pairs
♦4, ♣J, ♣Q, ♣4, ♣J | two pairs
♦4, ♦3, ♠5, ♣Q, ♣4 | pair
♦4, ♦3, ♠5, ♣4, ♣J | pair
♦4, ♦3, ♣Q, ♣4, ♣J | pair
♦4, ♠5, ♣Q, ♣4, ♣J | pair
♣A, ♣Q, ♣J, ♦3, ♣Q | pair
♣A, ♣Q, ♣J, ♦3, ♣J | pair
♣A, ♣Q, ♣J, ♠5, ♣Q | pair
♣A, ♣Q, ♣J, ♠5, ♣J | pair
♣A, ♣Q, ♣J, ♣Q, ♣4 | flush
♣A, ♣Q, ♣J, ♣Q, ♣J | flush
♣A, ♣Q, ♣J, ♣4, ♣J | flush
♣A, ♣Q, ♦3, ♠5, ♣Q | pair
♣A, ♣Q, ♦3, ♣Q, ♣4 | pair
♣A, ♣Q, ♦3, ♣Q, ♣J | pair
♣A, ♣Q, ♠5, ♣Q, ♣4 | pair
♣A, ♣Q, ♠5, ♣Q, ♣J | pair
♣A, ♣Q, ♣Q, ♣4, ♣J | flush
♣A, ♣J, ♦3, ♠5, ♣J | pair
♣A, ♣J, ♦3, ♣Q, ♣J | pair
♣A, ♣J, ♦3, ♣4, ♣J | pair
♣A, ♣J, ♠5, ♣Q, ♣J | pair
♣A, ♣J, ♠5, ♣4, ♣J | pair
♣A, ♣J, ♣Q, ♣4, ♣J | flush
♣Q, ♣J, ♦3, ♠5, ♣Q | pair
♣Q, ♣J, ♦3, ♠5, ♣J | pair
♣Q, ♣J, ♦3, ♣Q, ♣4 | pair
♣Q, ♣J, ♦3, ♣Q, ♣J | two pairs
♣Q, ♣J, ♦3, ♣4, ♣J | pair
♣Q, ♣J, ♠5, ♣Q, ♣4 | pair
♣Q, ♣J, ♠5, ♣Q, ♣J | two pairs
♣Q, ♣J, ♠5, ♣4, ♣J | pair
♣Q, ♣J, ♣Q, ♣4, ♣J | flush
♣Q, ♦3, ♠5, ♣Q, ♣4 | pair
♣Q, ♦3, ♠5, ♣Q, ♣J | pair
♣Q, ♦3, ♣Q, ♣4, ♣J | pair
♣Q, ♠5, ♣Q, ♣4, ♣J | pair
♣J, ♦3, ♠5, ♣Q, ♣J | pair
♣J, ♦3, ♠5, ♣4, ♣J | pair
♣J, ♦3, ♣Q, ♣4, ♣J | pair
♣J, ♠5, ♣Q, ♣4, ♣J | pair
