♠J, ♥7, ♣10, ♣2, ♠J | pair
♠J, ♣10, ♠J, ♠5, ♠Q | pair
♠J, ♣10, ♠J, ♠5, ♠3 | pair
♠J, ♣10, ♠J, ♠5, ♣J | three of a kind
♠J, ♣10, ♠J, ♠5, ♠10 | two pairs
♠J, ♣10, ♠J, ♠5, ♥3 | pair
♠J, ♣10, ♠J, ♠5, ♠6 | pair
♠J, ♣10, ♠J, ♠5, ♦8 | pair
♠J, ♣10, ♠J, ♠5, ♣4 | pair
♠J, ♣10, ♠J, ♥8, ♠Q | pair
♠J, ♣10, ♠J, ♥8, ♠3 | pair
♠J, ♣10, ♠J, ♥8, ♣J | three of a kind
♠J, ♣10, ♠J, ♥8, ♠10 | two pairs
♠J, ♣10, ♠J, ♥8, ♥3 | pair
♠J, ♣10, ♠J, ♥8, ♠6 | pair
♠J, ♣10, ♠J, ♥8, ♦8 | two pairs
♠J, ♣10, ♠J, ♥8, ♣4 | pair
♠J, ♣10, ♠J, ♠Q, ♠3 | pair
♠J, ♣10, ♠J, ♠Q, ♣J | three of a kind
♠J, ♣10, ♠J, ♠Q, ♠10 | two pairs
♠J, ♣10, ♠J, ♠Q, ♥3 | pair
♠J, ♣10, ♠J, ♠Q, ♠6 | pair
♠J, ♣10, ♠J, ♠Q, ♦8 | pair
♠J, ♣10, ♠J, ♠Q, ♣4 | pair
♠J, ♣10, ♠J, ♠3, ♣J | three of a kind
♠J, ♣10, ♠J, ♠3, ♠10 | two pairs
♠J, ♣10, ♠J, ♠3, ♥3 | two pairs
♠J, ♣10, ♠J, ♠3, ♠6 | pair
♠J, ♣10, ♠J, ♠3, ♦8 | pair
♠J, ♣10, ♠J, ♠3, ♣4 | pair
♠J, ♣10, ♠J, ♣J, ♠10 | fullhouse
♠J, ♣10, ♠J, ♣J, ♥3 | three of a kind
♠J, ♣10, ♠J, ♣J, ♠6 | three of a kind
♠J, ♣10, ♠J, ♣J, ♦8 | three of a kind
♠J, ♣10, ♠J, ♣J, ♣4 | three of a kind
♠J, ♣10, ♠J, ♠10, ♥3 | two pairs
♠J, ♣10, ♠J, ♠10, ♠6 | two pairs
♠J, ♣10, ♠J, ♠10, ♦8 | two pairs
♠J, ♣10, ♠J, ♠10, ♣4 | two pairs
♠J, ♣10, ♠J, ♥3, ♠6 | pair
♠J, ♣10, ♠J, ♥3, ♦8 | pair
♠J, ♣10, ♠J, ♥3, ♣4 | pair
♠J, ♣10, ♠J, ♠6, ♦8 | pair
♠J, ♣10, ♠J, ♠6, ♣4 | pair
♠J, ♣10, ♠J, ♦8, ♣4 | pair
♠J, ♣10, ♠5, ♥8, ♣J | pair
♠J, ♣10, ♠5, ♥8, ♠10 | pair
♠J, ♣10, ♠5, ♥8, ♦8 | pair
♠J, ♣10, ♠5, ♠Q, ♣J | pair
♠J, ♣10, ♠5, ♠Q, ♠10 | pair
♠J, ♣10, ♠5, ♠3, ♣J | pair
♠J, ♣10, ♠5, ♠3, ♠10 | pair
♠J, ♣10, ♠5, ♠3, ♥3 | pair
♠J, ♣10, ♠5, ♣J, ♠10 | two pairs
♠J, ♣10, ♠5, ♣J, ♥3 | pair
♠J, ♣10, ♠5, ♣J, ♠6 | pair
♠J, ♣10, ♠5, ♣J, ♦8 | pair
♠J, ♣10, ♠5, ♣J, ♣4 | pair
♠J, ♣10, ♠5, ♠10, ♥3 | pair
♠J, ♣10, ♠5, ♠10, ♠6 | pair
♠J, ♣10, ♠5, ♠10, ♦8 | pair
♠J, ♣10, ♠5, ♠10, ♣4 | pair
♠J, ♣10, ♥8, ♠Q, ♣J | pair
♠J, ♣10, ♥8, ♠Q, ♠10 | pair
♠J, ♣10, ♥8, ♠Q, ♦8 | pair
♠J, ♣10, ♥8, ♠3, ♣J | pair
♠J, ♣10, ♥8, ♠3, ♠10 | pair
♠J, ♣10, ♥8, ♠3, ♥3 | pair
♠J, ♣10, ♥8, ♠3, ♦8 | pair
♠J, ♣10, ♥8, ♣J, ♠10 | two pairs
♠J, ♣10, ♥8, ♣J, ♥3 | pair
♠J, ♣10, ♥8, ♣J, ♠6 | pair
♠J, ♣10, ♥8, ♣J, ♦8 | two pairs
♠J, ♣10, ♥8, ♣J, ♣4 | pair
♠J, ♣10, ♥8, ♠10, ♥3 | pair
♠J, ♣10, ♥8, ♠10, ♠6 | pair
♠J, ♣10, ♥8, ♠10, ♦8 | two pairs
♠J, ♣10, ♥8, ♠10, ♣4 | pair
♠J, ♣10, ♥8, ♥3, ♦8 | pair
♠J, ♣10, ♥8, ♠6, ♦8 | pair
♠J, ♣10, ♥8, ♦8, ♣4 | pair
♠J, ♣10, ♠Q, ♠3, ♣J | pair
♠J, ♣10, ♠Q, ♠3, ♠10 | pair
♠J, ♣10, ♠Q, ♠3, ♥3 | pair
♠J, ♣10, ♠Q, ♣J, ♠10 | two pairs
♠J, ♣10, ♠Q, ♣J, ♥3 | pair
♠J, ♣10, ♠Q, ♣J, ♠6 | pair
♠J, ♣10, ♠Q, ♣J, ♦8 | pair
♠J, ♣10, ♠Q, ♣J, ♣4 | pair
♠J, ♣10, ♠Q, ♠10, ♥3 | pair
♠J, ♣10, ♠Q, ♠10, ♠6 | pair
♠J, ♣10, ♠Q, ♠10, ♦8 | pair
♠J, ♣10, ♠Q, ♠10, ♣4 | pair
♠J, ♣10, ♠3, ♣J, ♠10 | two pairs
♠J, ♣10, ♠3, ♣J, ♥3 | two pairs
♠J, ♣10, ♠3, ♣J, ♠6 | pair
♠J, ♣10, ♠3, ♣J, ♦8 | pair
♠J, ♣10, ♠3, ♣J, ♣4 | pair
♠J, ♣10, ♠3, ♠10, ♥3 | two pairs
♠J, ♣10, ♠3, ♠10, ♠6 | pair
♠J, ♣10, ♠3, ♠10, ♦8 | pair
♠J, ♣10, ♠3, ♠10, ♣4 | pair
♠J, ♣10, ♠3, ♥3, ♠6 | pair
♠J, ♣10, ♠3, ♥3, ♦8 | pair
♠J, ♣10, ♠3, ♥3, ♣4 | pair
♠J, ♣10, ♣J, ♠10, ♥3 | two pairs
♠J, ♣10, ♣J, ♠10, ♠6 | two pairs
♠J, ♣10, ♣J, ♠10, ♦8 | two pairs
♠J, ♣10, ♣J, ♠10, ♣4 | two pairs
♠J, ♣10, ♣J, ♥3, ♠6 | pair
♠J, ♣10, ♣J, ♥3, ♦8 | pair
♠J, ♣10, ♣J, ♥3, ♣4 | pair
♠J, ♣10, ♣J, ♠6, ♦8 | pair
♠J, ♣10, ♣J, ♠6, ♣4 | pair
♠J, ♣10, ♣J, ♦8, ♣4 | pair
♠J, ♣10, ♠10, ♥3, ♠6 | pair
♠J, ♣10, ♠10, ♥3, ♦8 | pair
♠J, ♣10, ♠10, ♥3, ♣4 | pair
♠J, ♣10, ♠10, ♠6, ♦8 | pair
♠J, ♣10, ♠10, ♠6, ♣4 | pair
♠J, ♣10, ♠10, ♦8, ♣4 | pair
♠J, ♣2, ♣Q, ♠J, ♠5 | pair
♠J, ♣2, ♣Q, ♠J, ♥8 | pair
♠J, ♣2, ♣Q, ♠J, ♠Q | two pairs
♠J, ♣2, ♣Q, ♠J, ♠3 | pair
♠J, ♣2, ♣Q, ♠J, ♣J | three of a kind
♠J, ♣2, ♣Q, ♠J, ♠10 | pair
♠J, ♣2, ♣Q, ♠J, ♥3 | pair
♠J, ♣2, ♣Q, ♠J, ♠6 | pair
♠J, ♣2, ♣Q, ♠J, ♦8 | pair
♠J, ♣2, ♣Q, ♠J, ♣4 | pair
♠J, ♣2, ♣Q, ♠5, ♠Q | pair
♠J, ♣2, ♣Q, ♠5, ♣J | pair
♠J, ♣2, ♣Q, ♥8, ♠Q | pair
♠J, ♣2, ♣Q, ♥8, ♣J | pair
♠J, ♣2, ♣Q, ♥8, ♦8 | pair
♠J, ♣2, ♣Q, ♠Q, ♠3 | pair
♠J, ♣2, ♣Q, ♠Q, ♣J | two pairs
♠J, ♣2, ♣Q, ♠Q, ♠10 | pair
♠J, ♣2, ♣Q, ♠Q, ♥3 | pair
♠J, ♣2, ♣Q, ♠Q, ♠6 | pair
♠J, ♣2, ♣Q, ♠Q, ♦8 | pair
♠J, ♣2, ♣Q, ♠Q, ♣4 | pair
♠J, ♣2, ♣Q, ♠3, ♣J | pair
♠J, ♣2, ♣Q, ♠3, ♥3 | pair
♠J, ♣2, ♣Q, ♣J, ♠10 | pair
♠J, ♣2, ♣Q, ♣J, ♥3 | pair
♠J, ♣2, ♣Q, ♣J, ♠6 | pair
♠J, ♣2, ♣Q, ♣J, ♦8 | pair
♠J, ♣2, ♣Q, ♣J, ♣4 | pair
♠J, ♣2, ♠J, ♠5, ♥8 | pair
♠J, ♣2, ♠J, ♠5, ♠Q | pair
♠J, ♣2, ♠J, ♠5, ♠3 | pair
♠J, ♣2, ♠J, ♠5, ♣J | three of a kind
♠J, ♣2, ♠J, ♠5, ♠10 | pair
♠J, ♣2, ♠J, ♠5, ♥3 | pair
♠J, ♣2, ♠J, ♠5, ♠6 | pair
♠J, ♣2, ♠J, ♠5, ♦8 | pair
♠J, ♣2, ♠J, ♠5, ♣4 | pair
♠J, ♣2, ♠J, ♥8, ♠Q | pair
♠J, ♣2, ♠J, ♥8, ♠3 | pair
♠J, ♣2, ♠J, ♥8, ♣J | three of a kind
♠J, ♣2, ♠J, ♥8, ♠10 | pair
♠J, ♣2, ♠J, ♥8, ♥3 | pair
♠J, ♣2, ♠J, ♥8, ♠6 | pair
♠J, ♣2, ♠J, ♥8, ♦8 | two pairs
♠J, ♣2, ♠J, ♥8, ♣4 | pair
♠J, ♣2, ♠J, ♠Q, ♠3 | pair
♠J, ♣2, ♠J, ♠Q, ♣J | three of a kind
♠J, ♣2, ♠J, ♠Q, ♠10 | pair
♠J, ♣2, ♠J, ♠Q, ♥3 | pair
♠J, ♣2, ♠J, ♠Q, ♠6 | pair
♠J, ♣2, ♠J, ♠Q, ♦8 | pair
♠J, ♣2, ♠J, ♠Q, ♣4 | pair
♠J, ♣2, ♠J, ♠3, ♣J | three of a kind
♠J, ♣2, ♠J, ♠3, ♠10 | pair
♠J, ♣2, ♠J, ♠3, ♥3 | two pairs
♠J, ♣2, ♠J, ♠3, ♠6 | pair
♠J, ♣2, ♠J, ♠3, ♦8 | pair
♠J, ♣2, ♠J, ♠3, ♣4 | pair
♠J, ♣2, ♠J, ♣J, ♠10 | three of a kind
♠J, ♣2, ♠J, ♣J, ♥3 | three of a kind
♠J, ♣2, ♠J, ♣J, ♠6 | three of a kind
♠J, ♣2, ♠J, ♣J, ♦8 | three of a kind
♠J, ♣2, ♠J, ♣J, ♣4 | three of a kind
♠J, ♣2, ♠J, ♠10, ♥3 | pair
♠J, ♣2, ♠J, ♠10, ♠6 | pair
♠J, ♣2, ♠J, ♠10, ♦8 | pair
♠J, ♣2, ♠J, ♠10, ♣4 | pair
♠J, ♣2, ♠J, ♥3, ♠6 | pair
♠J, ♣2, ♠J, ♥3, ♦8 | pair
♠J, ♣2, ♠J, ♥3, ♣4 | pair
♠J, ♣2, ♠J, ♠6, ♦8 | pair
♠J, ♣2, ♠J, ♠6, ♣4 | pair
♠J, ♣2, ♠J, ♦8, ♣4 | pair
♠J, ♣2, ♠5, ♥8, ♣J | pair
♠J, ♣2, ♠5, ♥8, ♦8 | pair
♠J, ♣2, ♠5, ♠Q, ♣J | pair
♠J, ♣2, ♠5, ♠3, ♣J | pair
♠J, ♣2, ♠5, ♠3, ♥3 | pair
♠J, ♣2, ♠5, ♣J, ♠10 | pair
♠J, ♣2, ♠5, ♣J, ♥3 | pair
♠J, ♣2, ♠5, ♣J, ♠6 | pair
♠J, ♣2, ♠5, ♣J, ♦8 | pair
♠J, ♣2, ♠5, ♣J, ♣4 | pair
♠J, ♣2, ♥8, ♠Q, ♣J | pair
♠J, ♣2, ♥8, ♠Q, ♦8 | pair
♠J, ♣2, ♥8, ♠3, ♣J | pair
♠J, ♣2, ♥8, ♠3, ♥3 | pair
♠J, ♣2, ♥8, ♠3, ♦8 | pair
♠J, ♣2, ♥8, ♣J, ♠10 | pair
♠J, ♣2, ♥8, ♣J, ♥3 | pair
♠J, ♣2, ♥8, ♣J, ♠6 | pair
♠J, ♣2, ♥8, ♣J, ♦8 | two pairs
♠J, ♣2, ♥8, ♣J, ♣4 | pair
♠J, ♣2, ♥8, ♠10, ♦8 | pair
♠J, ♣2, ♥8, ♥3, ♦8 | pair
♠J, ♣2, ♥8, ♠6, ♦8 | pair
♠J, ♣2, ♥8, ♦8, ♣4 | pair
♠J, ♣2, ♠Q, ♠3, ♣J | pair
♠J, ♣2, ♠Q, ♠3, ♥3 | pair
♠J, ♣2, ♠Q, ♣J, ♠10 | pair
♠J, ♣2, ♠Q, ♣J, ♥3 | pair
♠J, ♣2, ♠Q, ♣J, ♠6 | pair
♠J, ♣2, ♠Q, ♣J, ♦8 | pair
♠J, ♣2, ♠Q, ♣J, ♣4 | pair
♠J, ♣2, ♠3, ♣J, ♠10 | pair
♠J, ♣2, ♠3, ♣J, ♥3 | two pairs
♠J, ♣2, ♠3, ♣J, ♠6 | pair
♠J, ♣2, ♠3, ♣J, ♦8 | pair
♠J, ♣2, ♠3, ♣J, ♣4 | pair
♠J, ♣2, ♠3, ♠10, ♥3 | pair
♠J, ♣2, ♠3, ♥3, ♠6 | pair
♠J, ♣2, ♠3, ♥3, ♦8 | pair
♠J, ♣2, ♠3, ♥3, ♣4 | pair
