♦8, ♣4, ♣5, ♠4, ♦Q | pair
♦8, ♣4, ♠4, ♠3, ♣2 | pair
♦8, ♣4, ♦Q, ♣10, ♣4 | pair
♦8, ♣4, ♦Q, ♣10, ♣10 | pair
♦8, ♣4, ♦Q, ♠5, ♣4 | pair
♦8, ♣4, ♦Q, ♣4, ♣10 | pair
♦8, ♣4, ♦Q, ♣4, ♠3 | pair
♦8, ♣4, ♦Q, ♣4, ♣2 | pair
♦8, ♣4, ♣10, ♠5, ♣4 | pair
♦8, ♣4, ♣10, ♠5, ♣10 | pair
♦8, ♣4, ♣10, ♣4, ♣10 | two pairs
♦8, ♣4, ♣10, ♣4, ♠3 | pair
♦8, ♣4, ♣10, ♣4, ♣2 | pair
♦8, ♣4, ♣10, ♣10, ♠3 | pair
♦8, ♣4, ♣10, ♣10, ♣2 | pair
♦8, ♣4, ♠5, ♣4, ♣10 | pair
♦8, ♣4, ♠5, ♣4, ♠3 | pair
♦8, ♣4, ♠5, ♣4, ♣2 | pair
♦8, ♣4, ♣4, ♣10, ♠3 | pair
♦8, ♣4, ♣4, ♣10, ♣2 | pair
♦8, ♣4, ♣4, ♠3, ♣2 | pair
♦8, ♣5, ♠4, ♦Q, ♠5 | pair
♦8, ♣5, ♠4, ♦Q, ♣4 | pair
♦8, ♣5, ♠4, ♣10, ♠5 | pair
♦8, ♣5, ♠4, ♣10, ♣4 | pair
♦8, ♣5, ♠4, ♣10, ♣10 | pair
♦8, ♣5, ♠4, ♠5, ♣4 | two pairs
♦8, ♣5, ♠4, ♠5, ♣10 | pair
♦8, ♣5, ♠4, ♠5, ♠3 | pair
♦8, ♣5, ♠4, ♠5, ♣2 | pair
♦8, ♣5, ♠4, ♣4, ♣10 | pair
♦8, ♣5, ♠4, ♣4, ♠3 | pair
♦8, ♣5, ♠4, ♣4, ♣2 | pair
♦8, ♣5, ♦Q, ♣10, ♠5 | pair
♦8, ♣5, ♦Q, ♣10, ♣10 | pair
♦8, ♣5, ♦Q, ♠5, ♣4 | pair
♦8, ♣5, ♦Q, ♠5, ♣10 | pair
♦8, ♣5, ♦Q, ♠5, ♠3 | pair
♦8, ♣5, ♦Q, ♠5, ♣2 | pair
♦8, ♣5, ♣10, ♠5, ♣4 | pair
♦8, ♣5, ♣10, ♠5, ♣10 | two pairs
♦8, ♣5, ♣10, ♠5, ♠3 | pair
♦8, ♣5, ♣10, ♠5, ♣2 | pair
♦8, ♣5, ♣10, ♣4, ♣10 | pair
♦8, ♣5, ♣10, ♣10, ♠3 | pair
♦8, ♣5, ♣10, ♣10, ♣2 | pair
♦8, ♣5, ♠5, ♣4, ♣10 | pair
♦8, ♣5, ♠5, ♣4, ♠3 | pair
♦8, ♣5, ♠5, ♣4, ♣2 | pair
♦8, ♣5, ♠5, ♣10, ♠3 | pair
♦8, ♣5, ♠5, ♣10, ♣2 | pair
♦8, ♣5, ♠5, ♠3, ♣2 | pair
♦8, ♠4, ♦Q, ♣10, ♣4 | pair
♦8, ♠4, ♦Q, ♣10, ♣10 | pair
♦8, ♠4, ♦Q, ♠5, ♣4 | pair
♦8, ♠4, ♦Q, ♣4, ♣10 | pair
♦8, ♠4, ♦Q, ♣4, ♠3 | pair
♦8, ♠4, ♦Q, ♣4, ♣2 | pair
♦8, ♠4, ♣10, ♠5, ♣4 | pair
♦8, ♠4, ♣10, ♠5, ♣10 | pair
♦8, ♠4, ♣10, ♣4, ♣10 | two pairs
♦8, ♠4, ♣10, ♣4, ♠3 | pair
♦8, ♠4, ♣10, ♣4, ♣2 | pair
♦8, ♠4, ♣10, ♣10, ♠3 | pair
♦8, ♠4, ♣10, ♣10, ♣2 | pair
♦8, ♠4, ♠5, ♣4, ♣10 | pair
♦8, ♠4, ♠5, ♣4, ♠3 | pair
♦8, ♠4, ♠5, ♣4, ♣2 | pair
♦8, ♠4, ♣4, ♣10, ♠3 | pair
♦8, ♠4, ♣4, ♣10, ♣2 | pair
♦8, ♠4, ♣4, ♠3, ♣2 | pair
♦8, ♦Q, ♣10, ♠5, ♣10 | pair
♦8, ♦Q, ♣10, ♣4, ♣10 | pair
♦8, ♦Q, ♣10, ♣10, ♠3 | pair
♦8, ♦Q, ♣10, ♣10, ♣2 | pair
♦8, ♣10, ♠5, ♣4, ♣10 | pair
♦8, ♣10, ♠5, ♣10, ♠3 | pair
♦8, ♣10, ♠5, ♣10, ♣2 | pair
♦8, ♣10, ♣4, ♣10, ♠3 | pair
♦8, ♣10, ♣4, ♣10, ♣2 | pair
♦8, ♣10, ♣10, ♠3, ♣2 | pair
♣4, ♣5, ♠4, ♦Q, ♣10 | pair
♣4, ♣5, ♠4, ♦Q, ♠5 | two pairs
♣4, ♣5, ♠4, ♦Q, ♣4 | three of a kind
♣4, ♣5, ♠4, ♦Q, ♣10 | pair
♣4, ♣5, ♠4, ♦Q, ♠3 | pair
♣4, ♣5, ♠4, ♦Q, ♣2 | pair
♣4, ♣5, ♠4, ♣10, ♠5 | two pairs
♣4, ♣5, ♠4, ♣10, ♣4 | three of a kind
♣4, ♣5, ♠4, ♣10, ♣10 | two pairs
♣4, ♣5, ♠4, ♣10, ♠3 | pair
♣4, ♣5, ♠4, ♣10, ♣2 | pair
♣4, ♣5, ♠4, ♠5, ♣4 | fullhouse
♣4, ♣5, ♠4, ♠5, ♣10 | two pairs
♣4, ♣5, ♠4, ♠5, ♠3 | two pairs
♣4, ♣5, ♠4, ♠5, ♣2 | two pairs
♣4, ♣5, ♠4, ♣4, ♣10 | three of a kind
♣4, ♣5, ♠4, ♣4, ♠3 | three of a kind
♣4, ♣5, ♠4, ♣4, ♣2 | three of a kind
♣4, ♣5, ♠4, ♣10, ♠3 | pair
♣4, ♣5, ♠4, ♣10, ♣2 | pair
♣4, ♣5, ♠4, ♠3, ♣2 | pair
♣4, ♣5, ♦Q, ♣10, ♠5 | pair
♣4, ♣5, ♦Q, ♣10, ♣4 | pair
♣4, ♣5, ♦Q, ♣10, ♣10 | pair
♣4, ♣5, ♦Q, ♠5, ♣4 | two pairs
♣4, ♣5, ♦Q, ♠5, ♣10 | pair
♣4, ♣5, ♦Q, ♠5, ♠3 | pair
♣4, ♣5, ♦Q, ♠5, ♣2 | pair
♣4, ♣5, ♦Q, ♣4, ♣10 | pair
♣4, ♣5, ♦Q, ♣4, ♠3 | pair
♣4, ♣5, ♦Q, ♣4, ♣2 | pair
♣4, ♣5, ♣10, ♠5, ♣4 | two pairs
♣4, ♣5, ♣10, ♠5, ♣10 | two pairs
♣4, ♣5, ♣10, ♠5, ♠3 | pair
♣4, ♣5, ♣10, ♠5, ♣2 | pair
♣4, ♣5, ♣10, ♣4, ♣10 | flush
♣4, ♣5, ♣10, ♣4, ♠3 | pair
♣4, ♣5, ♣10, ♣4, ♣2 | flush
♣4, ♣5, ♣10, ♣10, ♠3 | pair
♣4, ♣5, ♣10, ♣10, ♣2 | flush
♣4, ♣5, ♠5, ♣4, ♣10 | two pairs
♣4, ♣5, ♠5, ♣4, ♠3 | two pairs
♣4, ♣5, ♠5, ♣4, ♣2 | two pairs
♣4, ♣5, ♠5, ♣10, ♠3 | pair
♣4, ♣5, ♠5, ♣10, ♣2 | pair
♣4, ♣5, ♠5, ♠3, ♣2 | pair
♣4, ♣5, ♣4, ♣10, ♠3 | pair
♣4, ♣5, ♣4, ♣10, ♣2 | flush
♣4, ♣5, ♣4, ♠3, ♣2 | pair
♣4, ♠4, ♦Q, ♣10, ♠5 | pair
♣4, ♠4, ♦Q, ♣10, ♣4 | three of a kind
♣4, ♠4, ♦Q, ♣10, ♣10 | two pairs
♣4, ♠4, ♦Q, ♣10, ♠3 | pair
♣4, ♠4, ♦Q, ♣10, ♣2 | pair
♣4, ♠4, ♦Q, ♠5, ♣4 | three of a kind
♣4, ♠4, ♦Q, ♠5, ♣10 | pair
♣4, ♠4, ♦Q, ♠5, ♠3 | pair
♣4, ♠4, ♦Q, ♠5, ♣2 | pair
♣4, ♠4, ♦Q, ♣4, ♣10 | three of a kind
♣4, ♠4, ♦Q, ♣4, ♠3 | three of a kind
♣4, ♠4, ♦Q, ♣4, ♣2 | three of a kind
♣4, ♠4, ♦Q, ♣10, ♠3 | pair
♣4, ♠4, ♦Q, ♣10, ♣2 | pair
♣4, ♠4, ♦Q, ♠3, ♣2 | pair
♣4, ♠4, ♣10, ♠5, ♣4 | three of a kind
♣4, ♠4, ♣10, ♠5, ♣10 | two pairs
♣4, ♠4, ♣10, ♠5, ♠3 | pair
♣4, ♠4, ♣10, ♠5, ♣2 | pair
♣4, ♠4, ♣10, ♣4, ♣10 | fullhouse
♣4, ♠4, ♣10, ♣4, ♠3 | three of a kind
♣4, ♠4, ♣10, ♣4, ♣2 | three of a kind
♣4, ♠4, ♣10, ♣10, ♠3 | two pairs
♣4, ♠4, ♣10, ♣10, ♣2 | two pairs
♣4, ♠4, ♣10, ♠3, ♣2 | pair
♣4, ♠4, ♠5, ♣4, ♣10 | three of a kind
♣4, ♠4, ♠5, ♣4, ♠3 | three of a kind
♣4, ♠4, ♠5, ♣4, ♣2 | three of a kind
♣4, ♠4, ♠5, ♣10, ♠3 | pair
♣4, ♠4, ♠5, ♣10, ♣2 | pair
♣4, ♠4, ♠5, ♠3, ♣2 | pair
♣4, ♠4, ♣4, ♣10, ♠3 | three of a kind
♣4, ♠4, ♣4, ♣10, ♣2 | three of a kind
♣4, ♠4, ♣4, ♠3, ♣2 | three of a kind
♣4, ♠4, ♣10, ♠3, ♣2 | pair
♣4, ♦Q, ♣10, ♠5, ♣4 | pair
♣4, ♦Q, ♣10, ♠5, ♣10 | pair
♣4, ♦Q, ♣10, ♣4, ♣10 | two pairs
♣4, ♦Q, ♣10, ♣4, ♠3 | pair
♣4, ♦Q, ♣10, ♣4, ♣2 | pair
♣4, ♦Q, ♣10, ♣10, ♠3 | pair
♣4, ♦Q, ♣10, ♣10, ♣2 | pair
♣4, ♦Q, ♠5, ♣4, ♣10 | pair
♣4, ♦Q, ♠5, ♣4, ♠3 | pair
♣4, ♦Q, ♠5, ♣4, ♣2 | pair
♣4, ♦Q, ♣4, ♣10, ♠3 | pair
♣4, ♦Q, ♣4, ♣10, ♣2 | pair
♣4, ♦Q, ♣4, ♠3, ♣2 | pair
♣4, ♣10, ♠5, ♣4, ♣10 | two pairs
♣4, ♣10, ♠5, ♣4, ♠3 | pair
♣4, ♣10, ♠5, ♣4, ♣2 | pair
♣4, ♣10, ♠5, ♣10, ♠3 | pair
♣4, ♣10, ♠5, ♣10, ♣2 | pair
♣4, ♣10, ♣4, ♣10, ♠3 | two pairs
♣4, ♣10, ♣4, ♣10, ♣2 | flush
♣4, ♣10, ♣4, ♠3, ♣2 | pair
♣4, ♣10, ♣10, ♠3, ♣2 | pair
♣4, ♠5, ♣4, ♣10, ♠3 | pair
♣4, ♠5, ♣4, ♣10, ♣2 | pair
♣4, ♠5, ♣4, ♠3, ♣2 | pair
♣4, ♣4, ♣10, ♠3, ♣2 | pair
♣5, ♠4, ♦Q, ♣10, ♠5 | pair
♣5, ♠4, ♦Q, ♣10, ♣4 | pair
♣5, ♠4, ♦Q, ♣10, ♣10 | pair
♣5, ♠4, ♦Q, ♠5, ♣4 | two pairs
♣5, ♠4, ♦Q, ♠5, ♣10 | pair
♣5, ♠4, ♦Q, ♠5, ♠3 | pair
♣5, ♠4, ♦Q, ♠5, ♣2 | pair
♣5, ♠4, ♦Q, ♣4, ♣10 | pair
♣5, ♠4, ♦Q, ♣4, ♠3 | pair
♣5, ♠4, ♦Q, ♣4, ♣2 | pair
♣5, ♠4, ♣10, ♠5, ♣4 | two pairs
♣5, ♠4, ♣10, ♠5, ♣10 | two pairs
♣5, ♠4, ♣10, ♠5, ♠3 | pair
♣5, ♠4, ♣10, ♠5, ♣2 | pair
♣5, ♠4, ♣10, ♣4, ♣10 | two pairs
♣5, ♠4, ♣10, ♣4, ♠3 | pair
♣5, ♠4, ♣10, ♣4, ♣2 | pair
♣5, ♠4, ♣10, ♣10, ♠3 | pair
♣5, ♠4, ♣10, ♣10, ♣2 | pair
♣5, ♠4, ♠5, ♣4, ♣10 | two pairs
♣5, ♠4, ♠5, ♣4, ♠3 | two pairs
♣5, ♠4, ♠5, ♣4, ♣2 | two pairs
♣5, ♠4, ♠5, ♣10, ♠3 | pair
♣5, ♠4, ♠5, ♣10, ♣2 | pair
♣5, ♠4, ♠5, ♠3, ♣2 | pair
♣5, ♠4, ♣4, ♣10, ♠3 | pair
♣5, ♠4, ♣4, ♣10, ♣2 | pair
♣5, ♠4, ♣4, ♠3, ♣2 | pair
♣5, ♦Q, ♣10, ♠5, ♣4 | pair
♣5, ♦Q, ♣10, ♠5, ♣10 | two pairs
♣5, ♦Q, ♣10, ♠5, ♠3 | pair
♣5, ♦Q, ♣10, ♠5, ♣2 | pair
♣5, ♦Q, ♣10, ♣4, ♣10 | pair
♣5, ♦Q, ♣10, ♣10, ♠3 | pair
♣5, ♦Q, ♣10, ♣10, ♣2 | pair
♣5, ♦Q, ♠5, ♣4, ♣10 | pair
♣5, ♦Q, ♠5, ♣4, ♠3 | pair
♣5, ♦Q, ♠5, ♣4, ♣2 | pair
♣5, ♦Q, ♠5, ♣10, ♠3 | pair
♣5, ♦Q, ♠5, ♣10, ♣2 | pair
♣5, ♦Q, ♠5, ♠3, ♣2 | pair
♣5, ♣10, ♠5, ♣4, ♣10 | two pairs
♣5, ♣10, ♠5, ♣4, ♠3 | pair
♣5, ♣10, ♠5, ♣4, ♣2 | pair
♣5, ♣10, ♠5, ♣10, ♠3 | two pairs
♣5, ♣10, ♠5, ♣10, ♣2 | two pairs
♣5, ♣10, ♠5, ♠3, ♣2 | pair
♣5, ♣10, ♣4, ♣10, ♠3 | pair
♣5, ♣10, ♣4, ♣10, ♣2 | flush
♣5, ♣10, ♣10, ♠3, ♣2 | pair
♣5, ♠5, ♣4, ♣10, ♠3 | pair
♣5, ♠5, ♣4, ♣10, ♣2 | pair
♣5, ♠5, ♣4, ♠3, ♣2 | pair
♣5, ♠5, ♣10, ♠3, ♣2 | pair
♠4, ♦Q, ♣10, ♠5, ♣4 | pair
♠4, ♦Q, ♣10, ♠5, ♣10 | pair
♠4, ♦Q, ♣10, ♣4, ♣10 | two pairs
♠4, ♦Q, ♣10, ♣4, ♠3 | pair
♠4, ♦Q, ♣10, ♣4, ♣2 | pair
♠4, ♦Q, ♣10, ♣10, ♠3 | pair
♠4, ♦Q, ♣10, ♣10, ♣2 | pair
♠4, ♦Q, ♠5, ♣4, ♣10 | pair
♠4, ♦Q, ♠5, ♣4, ♠3 | pair
♠4, ♦Q, ♠5, ♣4, ♣2 | pair
♠4, ♦Q, ♣4, ♣10, ♠3 | pair
♠4, ♦Q, ♣4, ♣10, ♣2 | pair
♠4, ♦Q, ♣4, ♠3, ♣2 | pair
♠4, ♣10, ♠5, ♣4, ♣10 | two pairs
♠4, ♣10, ♠5, ♣4, ♠3 | pair
♠4, ♣10, ♠5, ♣4, ♣2 | pair
♠4, ♣10, ♠5, ♣10, ♠3 | pair
♠4, ♣10, ♠5, ♣10, ♣2 | pair
♠4, ♣10, ♣4, ♣10, ♠3 | two pairs
♠4, ♣10, ♣4, ♣10, ♣2 | two pairs
♠4, ♣10, ♣4, ♠3, ♣2 | pair
♠4, ♣10, ♣10, ♠3, ♣2 | pair
♠4, ♠5, ♣4, ♣10, ♠3 | pair
♠4, ♠5, ♣4, ♣10, ♣2 | pair
♠4, ♠5, ♣4, ♠3, ♣2 | pair
♠4, ♣4, ♣10, ♠3, ♣2 | pair
♦Q, ♣10, ♠5, ♣4, ♣10 | pair
♦Q, ♣10, ♠5, ♣10, ♠3 | pair
♦Q, ♣10, ♠5, ♣10, ♣2 | pair
♦Q, ♣10, ♣4, ♣10, ♠3 | pair
♦Q, ♣10, ♣4, ♣10, ♣2 | pair
♦Q, ♣10, ♣10, ♠3, ♣2 | pair
♣10, ♠5, ♣4, ♣10, ♠3 | pair
♣10, ♠5, ♣4, ♣10, ♣2 | pair
♣10, ♠5, ♣10, ♠3, ♣2 | pair
♣10, ♣4, ♣10, ♠3, ♣2 | pair
