♥A, ♠3, ♣3, ♥J, ♥2 | pair
♥A, ♠3, ♥2, ♥A, ♦9 | pair
♥A, ♠3, ♥2, ♥A, ♦A | three of a kind
♥A, ♠3, ♥2, ♦9, ♣3 | pair
♥A, ♠3, ♥2, ♦9, ♥2 | pair
♥A, ♠3, ♥2, ♦9, ♣A | pair
♥A, ♠3, ♥2, ♦9, ♥A | pair
♥A, ♠3, ♥2, ♦9, ♦9 | pair
♥A, ♠3, ♥2, ♦9, ♦A | pair
♥A, ♠3, ♥2, ♣3, ♥2 | two pairs
♥A, ♠3, ♥2, ♣3, ♠7 | pair
♥A, ♠3, ♥2, ♣3, ♥7 | pair
♥A, ♠3, ♥2, ♣3, ♣A | two pairs
♥A, ♠3, ♥2, ♣3, ♥A | two pairs
♥A, ♠3, ♥2, ♣3, ♦9 | pair
♥A, ♠3, ♥2, ♣3, ♦A | two pairs
♥A, ♠3, ♥2, ♥2, ♠7 | pair
♥A, ♠3, ♥2, ♥2, ♥7 | pair
♥A, ♠3, ♥2, ♥2, ♣A | two pairs
♥A, ♠3, ♥2, ♥2, ♥A | two pairs
♥A, ♠3, ♥2, ♥2, ♦9 | pair
♥A, ♠3, ♥2, ♥2, ♦A | two pairs
♥A, ♠3, ♥2, ♠7, ♥7 | pair
♥A, ♠3, ♥2, ♠7, ♣A | pair
♥A, ♠3, ♥2, ♠7, ♥A | pair
♥A, ♠3, ♥2, ♠7, ♦A | pair
♥A, ♠3, ♥2, ♥7, ♣A | pair
♥A, ♠3, ♥2, ♥7, ♥A | pair
♥A, ♠3, ♥2, ♥7, ♦A | pair
♥A, ♠3, ♥2, ♣A, ♥A | three of a kind
♥A, ♠3, ♥2, ♣A, ♦9 | pair
♥A, ♠3, ♥2, ♣A, ♦A | three of a kind
♥A, ♠3, ♥2, ♥A, ♦9 | pair
♥A, ♠3, ♥2, ♥A, ♦A | three of a kind
♥A, ♠3, ♥2, ♦9, ♦A | pair
♥A, ♠3, ♠10, ♥A, ♦9 | pair
♥A, ♠3, ♠10, ♥A, ♣3 | two pairs
♥A, ♠3, ♠10, ♥A, ♥2 | pair
♥A, ♠3, ♠10, ♥A, ♠7 | pair
♥A, ♠3, ♠10, ♥A, ♥7 | pair
♥A, ♠3, ♠10, ♥A, ♣A | three of a kind
♥A, ♠3, ♠10, ♥A, ♥A | three of a kind
♥A, ♠3, ♠10, ♥A, ♦9 | pair
♥A, ♠3, ♠10, ♥A, ♦A | three of a kind
♥A, ♠3, ♠10, ♦9, ♣3 | pair
♥A, ♠3, ♠10, ♦9, ♣A | pair
♥A, ♠3, ♠10, ♦9, ♥A | pair
♥A, ♠3, ♠10, ♦9, ♦9 | pair
♥A, ♠3, ♠10, ♦9, ♦A | pair
♥A, ♠3, ♠10, ♣3, ♥2 | pair
♥A, ♠3, ♠10, ♣3, ♠7 | pair
♥A, ♠3, ♠10, ♣3, ♥7 | pair
♥A, ♠3, ♠10, ♣3, ♣A | two pairs
♥A, ♠3, ♠10, ♣3, ♥A | two pairs
♥A, ♠3, ♠10, ♣3, ♦9 | pair
♥A, ♠3, ♠10, ♣3, ♦A | two pairs
♥A, ♠3, ♠10, ♥2, ♣A | pair
♥A, ♠3, ♠10, ♥2, ♥A | pair
♥A, ♠3, ♠10, ♥2, ♦A | pair
♥A, ♠3, ♠10, ♠7, ♥7 | pair
♥A, ♠3, ♠10, ♠7, ♣A | pair
♥A, ♠3, ♠10, ♠7, ♥A | pair
♥A, ♠3, ♠10, ♠7, ♦A | pair
♥A, ♠3, ♠10, ♥7, ♣A | pair
♥A, ♠3, ♠10, ♥7, ♥A | pair
♥A, ♠3, ♠10, ♥7, ♦A | pair
♥A, ♠3, ♠10, ♣A, ♥A | three of a kind
♥A, ♠3, ♠10, ♣A, ♦9 | pair
♥A, ♠3, ♠10, ♣A, ♦A | three of a kind
♥A, ♠3, ♠10, ♥A, ♦9 | pair
♥A, ♠3, ♠10, ♥A, ♦A | three of a kind
♥A, ♠3, ♠10, ♦9, ♦A | pair
♥A, ♠3, ♥A, ♦9, ♣3 | two pairs
♥A, ♠3, ♥A, ♦9, ♥2 | pair
♥A, ♠3, ♥A, ♦9, ♠7 | pair
♥A, ♠3, ♥A, ♦9, ♥7 | pair
♥A, ♠3, ♥A, ♦9, ♣A | three of a kind
♥A, ♠3, ♥A, ♦9, ♥A | three of a kind
♥A, ♠3, ♥A, ♦9, ♦9 | two pairs
♥A, ♠3, ♥A, ♦9, ♦A | three of a kind
♥A, ♠3, ♥A, ♣3, ♥2 | two pairs
♥A, ♠3, ♥A, ♣3, ♠7 | two pairs
♥A, ♠3, ♥A, ♣3, ♥7 | two pairs
♥A, ♠3, ♥A, ♣3, ♣A | fullhouse
♥A, ♠3, ♥A, ♣3, ♥A | fullhouse
♥A, ♠3, ♥A, ♣3, ♦9 | two pairs
♥A, ♠3, ♥A, ♣3, ♦A | fullhouse
♥A, ♠3, ♥A, ♥2, ♠7 | pair
♥A, ♠3, ♥A, ♥2, ♥7 | pair
♥A, ♠3, ♥A, ♥2, ♣A | three of a kind
♥A, ♠3, ♥A, ♥2, ♥A | three of a kind
♥A, ♠3, ♥A, ♥2, ♦9 | pair
♥A, ♠3, ♥A, ♥2, ♦A | three of a kind
♥A, ♠3, ♥A, ♠7, ♥7 | two pairs
♥A, ♠3, ♥A, ♠7, ♣A | three of a kind
♥A, ♠3, ♥A, ♠7, ♥A | three of a kind
♥A, ♠3, ♥A, ♠7, ♦9 | pair
♥A, ♠3, ♥A, ♠7, ♦A | three of a kind
♥A, ♠3, ♥A, ♥7, ♣A | three of a kind
♥A, ♠3, ♥A, ♥7, ♥A | three of a kind
♥A, ♠3, ♥A, ♥7, ♦9 | pair
♥A, ♠3, ♥A, ♥7, ♦A | three of a kind
♥A, ♠3, ♥A, ♣A, ♥A | four of a kind!
♥A, ♠3, ♥A, ♣A, ♦9 | three of a kind
♥A, ♠3, ♥A, ♣A, ♦A | four of a kind!
♥A, ♠3, ♥A, ♥A, ♦9 | three of a kind
♥A, ♠3, ♥A, ♥A, ♦A | four of a kind!
♥A, ♠3, ♥A, ♦9, ♦A | three of a kind
♥A, ♠3, ♦9, ♣3, ♥2 | pair
♥A, ♠3, ♦9, ♣3, ♠7 | pair
♥A, ♠3, ♦9, ♣3, ♥7 | pair
♥A, ♠3, ♦9, ♣3, ♣A | two pairs
♥A, ♠3, ♦9, ♣3, ♥A | two pairs
♥A, ♠3, ♦9, ♣3, ♦9 | two pairs
♥A, ♠3, ♦9, ♣3, ♦A | two pairs
♥A, ♠3, ♦9, ♥2, ♣A | pair
♥A, ♠3, ♦9, ♥2, ♥A | pair
♥A, ♠3, ♦9, ♥2, ♦9 | pair
♥A, ♠3, ♦9, ♥2, ♦A | pair
♥A, ♠3, ♦9, ♠7, ♥7 | pair
♥A, ♠3, ♦9, ♠7, ♣A | pair
♥A, ♠3, ♦9, ♠7, ♥A | pair
♥A, ♠3, ♦9, ♠7, ♦9 | pair
♥A, ♠3, ♦9, ♠7, ♦A | pair
♥A, ♠3, ♦9, ♥7, ♣A | pair
♥A, ♠3, ♦9, ♥7, ♥A | pair
♥A, ♠3, ♦9, ♥7, ♦9 | pair
♥A, ♠3, ♦9, ♥7, ♦A | pair
♥A, ♠3, ♦9, ♣A, ♥A | three of a kind
♥A, ♠3, ♦9, ♣A, ♦9 | two pairs
♥A, ♠3, ♦9, ♣A, ♦A | three of a kind
♥A, ♠3, ♦9, ♥A, ♦9 | two pairs
♥A, ♠3, ♦9, ♥A, ♦A | three of a kind
♥A, ♠3, ♦9, ♦9, ♦A | two pairs
♥A, ♠3, ♣3, ♥2, ♠7 | pair
♥A, ♠3, ♣3, ♥2, ♥7 | pair
♥A, ♠3, ♣3, ♥2, ♣A | two pairs
♥A, ♠3, ♣3, ♥2, ♥A | two pairs
♥A, ♠3, ♣3, ♥2, ♦9 | pair
♥A, ♠3, ♣3, ♥2, ♦A | two pairs
♥A, ♠3, ♣3, ♠7, ♥7 | two pairs
♥A, ♠3, ♣3, ♠7, ♣A | two pairs
♥A, ♠3, ♣3, ♠7, ♥A | two pairs
♥A, ♠3, ♣3, ♠7, ♦9 | pair
♥A, ♠3, ♣3, ♠7, ♦A | two pairs
♥A, ♠3, ♣3, ♥7, ♣A | two pairs
♥A, ♠3, ♣3, ♥7, ♥A | two pairs
♥A, ♠3, ♣3, ♥7, ♦9 | pair
♥A, ♠3, ♣3, ♥7, ♦A | two pairs
♥A, ♠3, ♣3, ♣A, ♥A | fullhouse
♥A, ♠3, ♣3, ♣A, ♦9 | two pairs
♥A, ♠3, ♣3, ♣A, ♦A | fullhouse
♥A, ♠3, ♣3, ♥A, ♦9 | two pairs
♥A, ♠3, ♣3, ♥A, ♦A | fullhouse
♥A, ♠3, ♣3, ♦9, ♦A | two pairs
♥A, ♠3, ♥2, ♠7, ♥7 | pair
♥A, ♠3, ♥2, ♠7, ♣A | pair
♥A, ♠3, ♥2, ♠7, ♥A | pair
♥A, ♠3, ♥2, ♠7, ♦A | pair
♥A, ♠3, ♥2, ♥7, ♣A | pair
♥A, ♠3, ♥2, ♥7, ♥A | pair
♥A, ♠3, ♥2, ♥7, ♦A | pair
♥A, ♠3, ♥2, ♣A, ♥A | three of a kind
♥A, ♠3, ♥2, ♣A, ♦9 | pair
♥A, ♠3, ♥2, ♣A, ♦A | three of a kind
♥A, ♠3, ♥2, ♥A, ♦9 | pair
♥A, ♠3, ♥2, ♥A, ♦A | three of a kind
♥A, ♠3, ♥2, ♦9, ♦A | pair
♥A, ♠3, ♠7, ♥7, ♣A | two pairs
♥A, ♠3, ♠7, ♥7, ♥A | two pairs
♥A, ♠3, ♠7, ♥7, ♦9 | pair
♥A, ♠3, ♠7, ♥7, ♦A | two pairs
♥A, ♠3, ♠7, ♣A, ♥A | three of a kind
♥A, ♠3, ♠7, ♣A, ♦9 | pair
♥A, ♠3, ♠7, ♣A, ♦A | three of a kind
♥A, ♠3, ♠7, ♥A, ♦9 | pair
♥A, ♠3, ♠7, ♥A, ♦A | three of a kind
♥A, ♠3, ♠7, ♦9, ♦A | pair
♥A, ♠3, ♥7, ♣A, ♥A | three of a kind
♥A, ♠3, ♥7, ♣A, ♦9 | pair
♥A, ♠3, ♥7, ♣A, ♦A | three of a kind
♥A, ♠3, ♥7, ♥A, ♦9 | pair
♥A, ♠3, ♥7, ♥A, ♦A | three of a kind
♥A, ♠3, ♥7, ♦9, ♦A | pair
♥A, ♠3, ♣A, ♥A, ♦9 | three of a kind
♥A, ♠3, ♣A, ♥A, ♦A | four of a kind!
♥A, ♠3, ♣A, ♦9, ♦A | three of a kind
♥A, ♠3, ♥A, ♦9, ♦A | three of a kind
♥A, ♣3, ♥J, ♥2, ♥A | pair
♥A, ♣3, ♥J, ♥2, ♣3 | pair
♥A, ♣3, ♥J, ♥2, ♥2 | pair
♥A, ♣3, ♥J, ♥2, ♣A | pair
♥A, ♣3, ♥J, ♥2, ♥A | pair
♥A, ♣3, ♥J, ♥2, ♦A | pair
♥A, ♣3, ♥J, ♠10, ♥A | pair
♥A, ♣3, ♥J, ♠10, ♣3 | pair
♥A, ♣3, ♥J, ♠10, ♣A | pair
♥A, ♣3, ♥J, ♠10, ♥A | pair
♥A, ♣3, ♥J, ♠10, ♦A | pair
♥A, ♣3, ♥J, ♥A, ♦9 | pair
♥A, ♣3, ♥J, ♥A, ♣3 | two pairs
♥A, ♣3, ♥J, ♥A, ♥2 | pair
♥A, ♣3, ♥J, ♥A, ♠7 | pair
♥A, ♣3, ♥J, ♥A, ♥7 | pair
♥A, ♣3, ♥J, ♥A, ♣A | three of a kind
♥A, ♣3, ♥J, ♥A, ♥A | three of a kind
♥A, ♣3, ♥J, ♥A, ♦9 | pair
♥A, ♣3, ♥J, ♥A, ♦A | three of a kind
♥A, ♣3, ♥J, ♦9, ♣3 | pair
♥A, ♣3, ♥J, ♦9, ♣A | pair
♥A, ♣3, ♥J, ♦9, ♥A | pair
♥A, ♣3, ♥J, ♦9, ♦9 | pair
♥A, ♣3, ♥J, ♦9, ♦A | pair
♥A, ♣3, ♥J, ♣3, ♥2 | pair
♥A, ♣3, ♥J, ♣3, ♠7 | pair
♥A, ♣3, ♥J, ♣3, ♥7 | pair
♥A, ♣3, ♥J, ♣3, ♣A | two pairs
♥A, ♣3, ♥J, ♣3, ♥A | two pairs
♥A, ♣3, ♥J, ♣3, ♦9 | pair
♥A, ♣3, ♥J, ♣3, ♦A | two pairs
♥A, ♣3, ♥J, ♥2, ♣A | pair
♥A, ♣3, ♥J, ♥2, ♥A | pair
♥A, ♣3, ♥J, ♥2, ♦A | pair
♥A, ♣3, ♥J, ♠7, ♥7 | pair
♥A, ♣3, ♥J, ♠7, ♣A | pair
♥A, ♣3, ♥J, ♠7, ♥A | pair
♥A, ♣3, ♥J, ♠7, ♦A | pair
♥A, ♣3, ♥J, ♥7, ♣A | pair
♥A, ♣3, ♥J, ♥7, ♥A | pair
♥A, ♣3, ♥J, ♥7, ♦A | pair
♥A, ♣3, ♥J, ♣A, ♥A | three of a kind
♥A, ♣3, ♥J, ♣A, ♦9 | pair
♥A, ♣3, ♥J, ♣A, ♦A | three of a kind
♥A, ♣3, ♥J, ♥A, ♦9 | pair
♥A, ♣3, ♥J, ♥A, ♦A | three of a kind
♥A, ♣3, ♥J, ♦9, ♦A | pair
♥A, ♣3, ♥2, ♠10, ♥A | pair
♥A, ♣3, ♥2, ♠10, ♣3 | pair
♥A, ♣3, ♥2, ♠10, ♥2 | pair
♥A, ♣3, ♥2, ♠10, ♣A | pair
♥A, ♣3, ♥2, ♠10, ♥A | pair
♥A, ♣3, ♥2, ♠10, ♦A | pair
♥A, ♣3, ♥2, ♥A, ♦9 | pair
♥A, ♣3, ♥2, ♥A, ♣3 | two pairs
♥A, ♣3, ♥2, ♥A, ♥2 | two pairs
♥A, ♣3, ♥2, ♥A, ♠7 | pair
♥A, ♣3, ♥2, ♥A, ♥7 | pair
♥A, ♣3, ♥2, ♥A, ♣A | three of a kind
♥A, ♣3, ♥2, ♥A, ♥A | three of a kind
♥A, ♣3, ♥2, ♥A, ♦9 | pair
♥A, ♣3, ♥2, ♥A, ♦A | three of a kind
♥A, ♣3, ♥2, ♦9, ♣3 | pair
♥A, ♣3, ♥2, ♦9, ♥2 | pair
♥A, ♣3, ♥2, ♦9, ♣A | pair
♥A, ♣3, ♥2, ♦9, ♥A | pair
♥A, ♣3, ♥2, ♦9, ♦9 | pair
♥A, ♣3, ♥2, ♦9, ♦A | pair
♥A, ♣3, ♥2, ♣3, ♥2 | two pairs
♥A, ♣3, ♥2, ♣3, ♠7 | pair
♥A, ♣3, ♥2, ♣3, ♥7 | pair
♥A, ♣3, ♥2, ♣3, ♣A | two pairs
♥A, ♣3, ♥2, ♣3, ♥A | two pairs
♥A, ♣3, ♥2, ♣3, ♦9 | pair
♥A, ♣3, ♥2, ♣3, ♦A | two pairs
♥A, ♣3, ♥2, ♥2, ♠7 | pair
♥A, ♣3, ♥2, ♥2, ♥7 | pair
♥A, ♣3, ♥2, ♥2, ♣A | two pairs
♥A, ♣3, ♥2, ♥2, ♥A | two pairs
♥A, ♣3, ♥2, ♥2, ♦9 | pair
♥A, ♣3, ♥2, ♥2, ♦A | two pairs
♥A, ♣3, ♥2, ♠7, ♥7 | pair
♥A, ♣3, ♥2, ♠7, ♣A | pair
♥A, ♣3, ♥2, ♠7, ♥A | pair
♥A, ♣3, ♥2, ♠7, ♦A | pair
♥A, ♣3, ♥2, ♥7, ♣A | pair
♥A, ♣3, ♥2, ♥7, ♥A | pair
♥A, ♣3, ♥2, ♥7, ♦A | pair
♥A, ♣3, ♥2, ♣A, ♥A | three of a kind
♥A, ♣3, ♥2, ♣A, ♦9 | pair
♥A, ♣3, ♥2, ♣A, ♦A | three of a kind
♥A, ♣3, ♥2, ♥A, ♦9 | pair
♥A, ♣3, ♥2, ♥A, ♦A | three of a kind
♥A, ♣3, ♥2, ♦9, ♦A | pair
♥A, ♣3, ♠10, ♥A, ♦9 | pair
♥A, ♣3, ♠10, ♥A, ♣3 | two pairs
♥A, ♣3, ♠10, ♥A, ♥2 | pair
♥A, ♣3, ♠10, ♥A, ♠7 | pair
♥A, ♣3, ♠10, ♥A, ♥7 | pair
♥A, ♣3, ♠10, ♥A, ♣A | three of a kind
♥A, ♣3, ♠10, ♥A, ♥A | three of a kind
♥A, ♣3, ♠10, ♥A, ♦9 | pair
♥A, ♣3, ♠10, ♥A, ♦A | three of a kind
♥A, ♣3, ♠10, ♦9, ♣3 | pair
♥A, ♣3, ♠10, ♦9, ♣A | pair
♥A, ♣3, ♠10, ♦9, ♥A | pair
♥A, ♣3, ♠10, ♦9, ♦9 | pair
♥A, ♣3, ♠10, ♦9, ♦A | pair
♥A, ♣3, ♠10, ♣3, ♥2 | pair
♥A, ♣3, ♠10, ♣3, ♠7 | pair
♥A, ♣3, ♠10, ♣3, ♥7 | pair
♥A, ♣3, ♠10, ♣3, ♣A | two pairs
♥A, ♣3, ♠10, ♣3, ♥A | two pairs
♥A, ♣3, ♠10, ♣3, ♦9 | pair
♥A, ♣3, ♠10, ♣3, ♦A | two pairs
♥A, ♣3, ♠10, ♥2, ♣A | pair
♥A, ♣3, ♠10, ♥2, ♥A | pair
♥A, ♣3, ♠10, ♥2, ♦A | pair
♥A, ♣3, ♠10, ♠7, ♥7 | pair
♥A, ♣3, ♠10, ♠7, ♣A | pair
♥A, ♣3, ♠10, ♠7, ♥A | pair
♥A, ♣3, ♠10, ♠7, ♦A | pair
♥A, ♣3, ♠10, ♥7, ♣A | pair
♥A, ♣3, ♠10, ♥7, ♥A | pair
♥A, ♣3, ♠10, ♥7, ♦A | pair
♥A, ♣3, ♠10, ♣A, ♥A | three of a kind
♥A, ♣3, ♠10, ♣A, ♦9 | pair
♥A, ♣3, ♠10, ♣A, ♦A | three of a kind
♥A, ♣3, ♠10, ♥A, ♦9 | pair
♥A, ♣3, ♠10, ♥A, ♦A | three of a kind
♥A, ♣3, ♠10, ♦9, ♦A | pair
♥A, ♣3, ♥A, ♦9, ♣3 | two pairs
♥A, ♣3, ♥A, ♦9, ♥2 | pair
♥A, ♣3, ♥A, ♦9, ♠7 | pair
♥A, ♣3, ♥A, ♦9, ♥7 | pair
♥A, ♣3, ♥A, ♦9, ♣A | three of a kind
♥A, ♣3, ♥A, ♦9, ♥A | three of a kind
♥A, ♣3, ♥A, ♦9, ♦9 | two pairs
♥A, ♣3, ♥A, ♦9, ♦A | three of a kind
♥A, ♣3, ♥A, ♣3, ♥2 | two pairs
♥A, ♣3, ♥A, ♣3, ♠7 | two pairs
♥A, ♣3, ♥A, ♣3, ♥7 | two pairs
♥A, ♣3, ♥A, ♣3, ♣A | fullhouse
♥A, ♣3, ♥A, ♣3, ♥A | fullhouse
♥A, ♣3, ♥A, ♣3, ♦9 | two pairs
♥A, ♣3, ♥A, ♣3, ♦A | fullhouse
♥A, ♣3, ♥A, ♥2, ♠7 | pair
♥A, ♣3, ♥A, ♥2, ♥7 | pair
♥A, ♣3, ♥A, ♥2, ♣A | three of a kind
♥A, ♣3, ♥A, ♥2, ♥A | three of a kind
♥A, ♣3, ♥A, ♥2, ♦9 | pair
♥A, ♣3, ♥A, ♥2, ♦A | three of a kind
♥A, ♣3, ♥A, ♠7, ♥7 | two pairs
♥A, ♣3, ♥A, ♠7, ♣A | three of a kind
♥A, ♣3, ♥A, ♠7, ♥A | three of a kind
♥A, ♣3, ♥A, ♠7, ♦9 | pair
♥A, ♣3, ♥A, ♠7, ♦A | three of a kind
♥A, ♣3, ♥A, ♥7, ♣A | three of a kind
♥A, ♣3, ♥A, ♥7, ♥A | three of a kind
♥A, ♣3, ♥A, ♥7, ♦9 | pair
♥A, ♣3, ♥A, ♥7, ♦A | three of a kind
♥A, ♣3, ♥A, ♣A, ♥A | four of a kind!
