♣J, ♦5, ♠Q, ♦6, ♦5 | pair
♣J, ♦6, ♣2, ♣6, ♣7 | pair
♣J, ♦6, ♣2, ♣7, ♥J | pair
♣J, ♦6, ♣2, ♣7, ♣7 | pair
♣J, ♦6, ♣2, ♥J, ♣7 | pair
♣J, ♦6, ♦5, ♣6, ♣7 | pair
♣J, ♦6, ♦5, ♣6, ♥J | two pairs
♣J, ♦6, ♦5, ♣6, ♣7 | pair
♣J, ♦6, ♦5, ♣7, ♥J | pair
♣J, ♦6, ♦5, ♣7, ♣7 | pair
♣J, ♦6, ♦5, ♥J, ♣7 | pair
♣J, ♦6, ♣6, ♣7, ♥J | two pairs
♣J, ♦6, ♣6, ♣7, ♣7 | two pairs
♣J, ♦6, ♣6, ♥J, ♣7 | two pairs
♣J, ♦6, ♣7, ♥J, ♣7 | two pairs
♣J, ♦8, ♣2, ♦5, ♥J | pair
♣J, ♦8, ♣2, ♣6, ♥J | pair
♣J, ♦8, ♣2, ♣7, ♥J | pair
♣J, ♦8, ♣2, ♣7, ♣7 | pair
♣J, ♦8, ♣2, ♥J, ♣7 | pair
♣J, ♦8, ♦5, ♣6, ♥J | pair
♣J, ♦8, ♦5, ♣7, ♥J | pair
♣J, ♦8, ♦5, ♣7, ♣7 | pair
♣J, ♦8, ♦5, ♥J, ♣7 | pair
♣J, ♦8, ♣6, ♣7, ♥J | pair
♣J, ♦8, ♣6, ♣7, ♣7 | pair
♣J, ♦8, ♣6, ♥J, ♣7 | pair
♣J, ♦8, ♣7, ♥J, ♣7 | two pairs
♣J, ♣2, ♦5, ♣6, ♥J | pair
♣J, ♣2, ♦5, ♣7, ♥J | pair
♣J, ♣2, ♦5, ♣7, ♣7 | pair
♣J, ♣2, ♦5, ♥J, ♣7 | pair
♣J, ♣2, ♣6, ♣7, ♥J | pair
♣J, ♣2, ♣6, ♣7, ♣7 | flush
♣J, ♣2, ♣6, ♥J, ♣7 | pair
♣J, ♣2, ♣7, ♥J, ♣7 | two pairs
♣J, ♦5, ♣6, ♣7, ♥J | pair
♣J, ♦5, ♣6, ♣7, ♣7 | pair
♣J, ♦5, ♣6, ♥J, ♣7 | pair
♣J, ♦5, ♣7, ♥J, ♣7 | two pairs
♣J, ♣6, ♣7, ♥J, ♣7 | two pairs
♦5, ♠Q, ♦6, ♦8, ♦5 | pair
♦5, ♠Q, ♦6, ♦8, ♣6 | pair
♦5, ♠Q, ♦6, ♣2, ♦5 | pair
♦5, ♠Q, ♦6, ♣2, ♣6 | pair
♦5, ♠Q, ♦6, ♦5, ♣6 | two pairs
♦5, ♠Q, ♦6, ♦5, ♣7 | pair
♦5, ♠Q, ♦6, ♦5, ♥J | pair
♦5, ♠Q, ♦6, ♦5, ♣7 | pair
♦5, ♠Q, ♦6, ♣6, ♣7 | pair
♦5, ♠Q, ♦6, ♣6, ♥J | pair
♦5, ♠Q, ♦6, ♣6, ♣7 | pair
♦5, ♠Q, ♦6, ♣7, ♣7 | pair
♦5, ♠Q, ♦8, ♣2, ♦5 | pair
♦5, ♠Q, ♦8, ♦5, ♣6 | pair
♦5, ♠Q, ♦8, ♦5, ♣7 | pair
♦5, ♠Q, ♦8, ♦5, ♥J | pair
♦5, ♠Q, ♦8, ♦5, ♣7 | pair
♦5, ♠Q, ♦8, ♣7, ♣7 | pair
♦5, ♠Q, ♣2, ♦5, ♣6 | pair
♦5, ♠Q, ♣2, ♦5, ♣7 | pair
♦5, ♠Q, ♣2, ♦5, ♥J | pair
♦5, ♠Q, ♣2, ♦5, ♣7 | pair
♦5, ♠Q, ♣2, ♣7, ♣7 | pair
♦5, ♠Q, ♦5, ♣6, ♣7 | pair
♦5, ♠Q, ♦5, ♣6, ♥J | pair
♦5, ♠Q, ♦5, ♣6, ♣7 | pair
♦5, ♠Q, ♦5, ♣7, ♥J | pair
♦5, ♠Q, ♦5, ♣7, ♣7 | two pairs
♦5, ♠Q, ♦5, ♥J, ♣7 | pair
♦5, ♠Q, ♣6, ♣7, ♣7 | pair
♦5, ♠Q, ♣7, ♥J, ♣7 | pair
♦5, ♦6, ♦8, ♣2, ♦5 | pair
♦5, ♦6, ♦8, ♣2, ♣6 | pair
♦5, ♦6, ♦8, ♦5, ♣6 | two pairs
♦5, ♦6, ♦8, ♦5, ♣7 | pair
♦5, ♦6, ♦8, ♦5, ♥J | pair
♦5, ♦6, ♦8, ♦5, ♣7 | pair
♦5, ♦6, ♦8, ♣6, ♣7 | pair
♦5, ♦6, ♦8, ♣6, ♥J | pair
♦5, ♦6, ♦8, ♣6, ♣7 | pair
♦5, ♦6, ♦8, ♣7, ♣7 | pair
♦5, ♦6, ♣2, ♦5, ♣6 | two pairs
♦5, ♦6, ♣2, ♦5, ♣7 | pair
♦5, ♦6, ♣2, ♦5, ♥J | pair
♦5, ♦6, ♣2, ♦5, ♣7 | pair
♦5, ♦6, ♣2, ♣6, ♣7 | pair
♦5, ♦6, ♣2, ♣6, ♥J | pair
♦5, ♦6, ♣2, ♣6, ♣7 | pair
♦5, ♦6, ♣2, ♣7, ♣7 | pair
♦5, ♦6, ♦5, ♣6, ♣7 | two pairs
♦5, ♦6, ♦5, ♣6, ♥J | two pairs
♦5, ♦6, ♦5, ♣6, ♣7 | two pairs
♦5, ♦6, ♦5, ♣7, ♥J | pair
♦5, ♦6, ♦5, ♣7, ♣7 | two pairs
♦5, ♦6, ♦5, ♥J, ♣7 | pair
♦5, ♦6, ♣6, ♣7, ♥J | pair
♦5, ♦6, ♣6, ♣7, ♣7 | two pairs
♦5, ♦6, ♣6, ♥J, ♣7 | pair
♦5, ♦6, ♣7, ♥J, ♣7 | pair
♦5, ♦8, ♣2, ♦5, ♣6 | pair
♦5, ♦8, ♣2, ♦5, ♣7 | pair
♦5, ♦8, ♣2, ♦5, ♥J | pair
♦5, ♦8, ♣2, ♦5, ♣7 | pair
♦5, ♦8, ♣2, ♣7, ♣7 | pair
♦5, ♦8, ♦5, ♣6, ♣7 | pair
♦5, ♦8, ♦5, ♣6, ♥J | pair
♦5, ♦8, ♦5, ♣6, ♣7 | pair
♦5, ♦8, ♦5, ♣7, ♥J | pair
♦5, ♦8, ♦5, ♣7, ♣7 | two pairs
♦5, ♦8, ♦5, ♥J, ♣7 | pair
♦5, ♦8, ♣6, ♣7, ♣7 | pair
♦5, ♦8, ♣7, ♥J, ♣7 | pair
♦5, ♣2, ♦5, ♣6, ♣7 | pair
♦5, ♣2, ♦5, ♣6, ♥J | pair
♦5, ♣2, ♦5, ♣6, ♣7 | pair
♦5, ♣2, ♦5, ♣7, ♥J | pair
♦5, ♣2, ♦5, ♣7, ♣7 | two pairs
♦5, ♣2, ♦5, ♥J, ♣7 | pair
♦5, ♣2, ♣6, ♣7, ♣7 | pair
♦5, ♣2, ♣7, ♥J, ♣7 | pair
♦5, ♦5, ♣6, ♣7, ♥J | pair
♦5, ♦5, ♣6, ♣7, ♣7 | two pairs
♦5, ♦5, ♣6, ♥J, ♣7 | pair
♦5, ♦5, ♣7, ♥J, ♣7 | two pairs
♦5, ♣6, ♣7, ♥J, ♣7 | pair
♠Q, ♦6, ♦8, ♣2, ♣6 | pair
♠Q, ♦6, ♦8, ♦5, ♣6 | pair
♠Q, ♦6, ♦8, ♣6, ♣7 | pair
♠Q, ♦6, ♦8, ♣6, ♥J | pair
♠Q, ♦6, ♦8, ♣6, ♣7 | pair
♠Q, ♦6, ♦8, ♣7, ♣7 | pair
♠Q, ♦6, ♣2, ♦5, ♣6 | pair
♠Q, ♦6, ♣2, ♣6, ♣7 | pair
♠Q, ♦6, ♣2, ♣6, ♥J | pair
♠Q, ♦6, ♣2, ♣6, ♣7 | pair
♠Q, ♦6, ♣2, ♣7, ♣7 | pair
♠Q, ♦6, ♦5, ♣6, ♣7 | pair
♠Q, ♦6, ♦5, ♣6, ♥J | pair
♠Q, ♦6, ♦5, ♣6, ♣7 | pair
♠Q, ♦6, ♦5, ♣7, ♣7 | pair
♠Q, ♦6, ♣6, ♣7, ♥J | pair
♠Q, ♦6, ♣6, ♣7, ♣7 | two pairs
♠Q, ♦6, ♣6, ♥J, ♣7 | pair
♠Q, ♦6, ♣7, ♥J, ♣7 | pair
♠Q, ♦8, ♣2, ♣7, ♣7 | pair
♠Q, ♦8, ♦5, ♣7, ♣7 | pair
♠Q, ♦8, ♣6, ♣7, ♣7 | pair
♠Q, ♦8, ♣7, ♥J, ♣7 | pair
♠Q, ♣2, ♦5, ♣7, ♣7 | pair
♠Q, ♣2, ♣6, ♣7, ♣7 | pair
♠Q, ♣2, ♣7, ♥J, ♣7 | pair
♠Q, ♦5, ♣6, ♣7, ♣7 | pair
♠Q, ♦5, ♣7, ♥J, ♣7 | pair
♠Q, ♣6, ♣7, ♥J, ♣7 | pair
♦6, ♦8, ♣2, ♦5, ♣6 | pair
♦6, ♦8, ♣2, ♣6, ♣7 | pair
♦6, ♦8, ♣2, ♣6, ♥J | pair
♦6, ♦8, ♣2, ♣6, ♣7 | pair
♦6, ♦8, ♣2, ♣7, ♣7 | pair
♦6, ♦8, ♦5, ♣6, ♣7 | pair
♦6, ♦8, ♦5, ♣6, ♥J | pair
♦6, ♦8, ♦5, ♣6, ♣7 | pair
♦6, ♦8, ♦5, ♣7, ♣7 | pair
♦6, ♦8, ♣6, ♣7, ♥J | pair
♦6, ♦8, ♣6, ♣7, ♣7 | two pairs
♦6, ♦8, ♣6, ♥J, ♣7 | pair
♦6, ♦8, ♣7, ♥J, ♣7 | pair
♦6, ♣2, ♦5, ♣6, ♣7 | pair
♦6, ♣2, ♦5, ♣6, ♥J | pair
♦6, ♣2, ♦5, ♣6, ♣7 | pair
♦6, ♣2, ♦5, ♣7, ♣7 | pair
♦6, ♣2, ♣6, ♣7, ♥J | pair
♦6, ♣2, ♣6, ♣7, ♣7 | two pairs
♦6, ♣2, ♣6, ♥J, ♣7 | pair
♦6, ♣2, ♣7, ♥J, ♣7 | pair
♦6, ♦5, ♣6, ♣7, ♥J | pair
♦6, ♦5, ♣6, ♣7, ♣7 | two pairs
♦6, ♦5, ♣6, ♥J, ♣7 | pair
♦6, ♦5, ♣7, ♥J, ♣7 | pair
♦6, ♣6, ♣7, ♥J, ♣7 | two pairs
♦8, ♣2, ♦5, ♣7, ♣7 | pair
♦8, ♣2, ♣6, ♣7, ♣7 | pair
♦8, ♣2, ♣7, ♥J, ♣7 | pair
♦8, ♦5, ♣6, ♣7, ♣7 | pair
♦8, ♦5, ♣7, ♥J, ♣7 | pair
♦8, ♣6, ♣7, ♥J, ♣7 | pair
♣2, ♦5, ♣6, ♣7, ♣7 | pair
♣2, ♦5, ♣7, ♥J, ♣7 | pair
♣2, ♣6, ♣7, ♥J, ♣7 | pair
♦5, ♣6, ♣7, ♥J, ♣7 | pair
