♣2, ♣6, ♦5, ♦6, ♥A | pair
♣2, ♦6, ♥A, ♠J, ♣J | pair
♣2, ♦6, ♣J, ♥K, ♣2 | pair
♣2, ♦6, ♣J, ♥K, ♠J | pair
♣2, ♦6, ♣J, ♥K, ♣J | pair
♣2, ♦6, ♣J, ♥4, ♣2 | pair
♣2, ♦6, ♣J, ♥4, ♠J | pair
♣2, ♦6, ♣J, ♥4, ♣J | pair
♣2, ♦6, ♣J, ♣2, ♠J | two pairs
♣2, ♦6, ♣J, ♣2, ♣J | two pairs
♣2, ♦6, ♣J, ♣2, ♣Q | pair
♣2, ♦6, ♣J, ♠J, ♣J | three of a kind
♣2, ♦6, ♣J, ♠J, ♣Q | pair
♣2, ♦6, ♣J, ♣J, ♣Q | pair
♣2, ♦6, ♥K, ♥4, ♣2 | pair
♣2, ♦6, ♥K, ♣2, ♠J | pair
♣2, ♦6, ♥K, ♣2, ♣J | pair
♣2, ♦6, ♥K, ♣2, ♣Q | pair
♣2, ♦6, ♥K, ♠J, ♣J | pair
♣2, ♦6, ♥4, ♣2, ♠J | pair
♣2, ♦6, ♥4, ♣2, ♣J | pair
♣2, ♦6, ♥4, ♣2, ♣Q | pair
♣2, ♦6, ♥4, ♠J, ♣J | pair
♣2, ♦6, ♣2, ♠J, ♣J | two pairs
♣2, ♦6, ♣2, ♠J, ♣Q | pair
♣2, ♦6, ♣2, ♣J, ♣Q | pair
♣2, ♦6, ♠J, ♣J, ♣Q | pair
♣2, ♥A, ♣J, ♥K, ♣2 | pair
♣2, ♥A, ♣J, ♥K, ♠J | pair
♣2, ♥A, ♣J, ♥K, ♣J | pair
♣2, ♥A, ♣J, ♥4, ♣2 | pair
♣2, ♥A, ♣J, ♥4, ♠J | pair
♣2, ♥A, ♣J, ♥4, ♣J | pair
♣2, ♥A, ♣J, ♣2, ♠J | two pairs
♣2, ♥A, ♣J, ♣2, ♣J | two pairs
♣2, ♥A, ♣J, ♣2, ♣Q | pair
♣2, ♥A, ♣J, ♠J, ♣J | three of a kind
♣2, ♥A, ♣J, ♠J, ♣Q | pair
♣2, ♥A, ♣J, ♣J, ♣Q | pair
♣2, ♥A, ♥K, ♥4, ♣2 | pair
♣2, ♥A, ♥K, ♣2, ♠J | pair
♣2, ♥A, ♥K, ♣2, ♣J | pair
♣2, ♥A, ♥K, ♣2, ♣Q | pair
♣2, ♥A, ♥K, ♠J, ♣J | pair
♣2, ♥A, ♥4, ♣2, ♠J | pair
♣2, ♥A, ♥4, ♣2, ♣J | pair
♣2, ♥A, ♥4, ♣2, ♣Q | pair
♣2, ♥A, ♥4, ♠J, ♣J | pair
♣2, ♥A, ♣2, ♠J, ♣J | two pairs
♣2, ♥A, ♣2, ♠J, ♣Q | pair
♣2, ♥A, ♣2, ♣J, ♣Q | pair
♣2, ♥A, ♠J, ♣J, ♣Q | pair
♣2, ♣J, ♥K, ♥4, ♣2 | pair
♣2, ♣J, ♥K, ♥4, ♠J | pair
♣2, ♣J, ♥K, ♥4, ♣J | pair
♣2, ♣J, ♥K, ♣2, ♠J | two pairs
♣2, ♣J, ♥K, ♣2, ♣J | two pairs
♣2, ♣J, ♥K, ♣2, ♣Q | pair
♣2, ♣J, ♥K, ♠J, ♣J | three of a kind
♣2, ♣J, ♥K, ♠J, ♣Q | pair
♣2, ♣J, ♥K, ♣J, ♣Q | pair
♣2, ♣J, ♥4, ♣2, ♠J | two pairs
♣2, ♣J, ♥4, ♣2, ♣J | two pairs
♣2, ♣J, ♥4, ♣2, ♣Q | pair
♣2, ♣J, ♥4, ♠J, ♣J | three of a kind
♣2, ♣J, ♥4, ♠J, ♣Q | pair
♣2, ♣J, ♥4, ♣J, ♣Q | pair
♣2, ♣J, ♣2, ♠J, ♣J | fullhouse
♣2, ♣J, ♣2, ♠J, ♣Q | two pairs
♣2, ♣J, ♣2, ♣J, ♣Q | flush
♣2, ♣J, ♠J, ♣J, ♣Q | three of a kind
♣2, ♥K, ♥4, ♣2, ♠J | pair
♣2, ♥K, ♥4, ♣2, ♣J | pair
♣2, ♥K, ♥4, ♣2, ♣Q | pair
♣2, ♥K, ♥4, ♠J, ♣J | pair
♣2, ♥K, ♣2, ♠J, ♣J | two pairs
♣2, ♥K, ♣2, ♠J, ♣Q | pair
♣2, ♥K, ♣2, ♣J, ♣Q | pair
♣2, ♥K, ♠J, ♣J, ♣Q | pair
♣2, ♥4, ♣2, ♠J, ♣J | two pairs
♣2, ♥4, ♣2, ♠J, ♣Q | pair
♣2, ♥4, ♣2, ♣J, ♣Q | pair
♣2, ♥4, ♠J, ♣J, ♣Q | pair
♣2, ♣2, ♠J, ♣J, ♣Q | two pairs
♣6, ♦5, ♦6, ♥A, ♣J | pair
♣6, ♦5, ♦6, ♥A, ♥K | pair
♣6, ♦5, ♦6, ♥A, ♥4 | pair
♣6, ♦5, ♦6, ♥A, ♣2 | pair
♣6, ♦5, ♦6, ♥A, ♠J | pair
♣6, ♦5, ♦6, ♥A, ♣J | pair
♣6, ♦5, ♦6, ♥A, ♣Q | pair
♣6, ♦5, ♦6, ♣J, ♥K | pair
♣6, ♦5, ♦6, ♣J, ♥4 | pair
♣6, ♦5, ♦6, ♣J, ♣2 | pair
♣6, ♦5, ♦6, ♣J, ♠J | two pairs
♣6, ♦5, ♦6, ♣J, ♣J | two pairs
♣6, ♦5, ♦6, ♣J, ♣Q | pair
♣6, ♦5, ♦6, ♥K, ♥4 | pair
♣6, ♦5, ♦6, ♥K, ♣2 | pair
♣6, ♦5, ♦6, ♥K, ♠J | pair
♣6, ♦5, ♦6, ♥K, ♣J | pair
♣6, ♦5, ♦6, ♥K, ♣Q | pair
♣6, ♦5, ♦6, ♥4, ♣2 | pair
♣6, ♦5, ♦6, ♥4, ♠J | pair
♣6, ♦5, ♦6, ♥4, ♣J | pair
♣6, ♦5, ♦6, ♥4, ♣Q | pair
♣6, ♦5, ♦6, ♣2, ♠J | pair
♣6, ♦5, ♦6, ♣2, ♣J | pair
♣6, ♦5, ♦6, ♣2, ♣Q | pair
♣6, ♦5, ♦6, ♠J, ♣J | two pairs
♣6, ♦5, ♦6, ♠J, ♣Q | pair
♣6, ♦5, ♦6, ♣J, ♣Q | pair
♣6, ♦5, ♥A, ♣J, ♠J | pair
♣6, ♦5, ♥A, ♣J, ♣J | pair
♣6, ♦5, ♥A, ♠J, ♣J | pair
♣6, ♦5, ♣J, ♥K, ♠J | pair
♣6, ♦5, ♣J, ♥K, ♣J | pair
♣6, ♦5, ♣J, ♥4, ♠J | pair
♣6, ♦5, ♣J, ♥4, ♣J | pair
♣6, ♦5, ♣J, ♣2, ♠J | pair
♣6, ♦5, ♣J, ♣2, ♣J | pair
♣6, ♦5, ♣J, ♠J, ♣J | three of a kind
♣6, ♦5, ♣J, ♠J, ♣Q | pair
♣6, ♦5, ♣J, ♣J, ♣Q | pair
♣6, ♦5, ♥K, ♠J, ♣J | pair
♣6, ♦5, ♥4, ♠J, ♣J | pair
♣6, ♦5, ♣2, ♠J, ♣J | pair
♣6, ♦5, ♠J, ♣J, ♣Q | pair
♣6, ♦6, ♥A, ♣J, ♥K | pair
♣6, ♦6, ♥A, ♣J, ♥4 | pair
♣6, ♦6, ♥A, ♣J, ♣2 | pair
♣6, ♦6, ♥A, ♣J, ♠J | two pairs
♣6, ♦6, ♥A, ♣J, ♣J | two pairs
♣6, ♦6, ♥A, ♣J, ♣Q | pair
♣6, ♦6, ♥A, ♥K, ♥4 | pair
♣6, ♦6, ♥A, ♥K, ♣2 | pair
♣6, ♦6, ♥A, ♥K, ♠J | pair
♣6, ♦6, ♥A, ♥K, ♣J | pair
♣6, ♦6, ♥A, ♥K, ♣Q | pair
♣6, ♦6, ♥A, ♥4, ♣2 | pair
♣6, ♦6, ♥A, ♥4, ♠J | pair
♣6, ♦6, ♥A, ♥4, ♣J | pair
♣6, ♦6, ♥A, ♥4, ♣Q | pair
♣6, ♦6, ♥A, ♣2, ♠J | pair
♣6, ♦6, ♥A, ♣2, ♣J | pair
♣6, ♦6, ♥A, ♣2, ♣Q | pair
♣6, ♦6, ♥A, ♠J, ♣J | two pairs
♣6, ♦6, ♥A, ♠J, ♣Q | pair
♣6, ♦6, ♥A, ♣J, ♣Q | pair
♣6, ♦6, ♣J, ♥K, ♥4 | pair
♣6, ♦6, ♣J, ♥K, ♣2 | pair
♣6, ♦6, ♣J, ♥K, ♠J | two pairs
♣6, ♦6, ♣J, ♥K, ♣J | two pairs
♣6, ♦6, ♣J, ♥K, ♣Q | pair
♣6, ♦6, ♣J, ♥4, ♣2 | pair
♣6, ♦6, ♣J, ♥4, ♠J | two pairs
♣6, ♦6, ♣J, ♥4, ♣J | two pairs
♣6, ♦6, ♣J, ♥4, ♣Q | pair
♣6, ♦6, ♣J, ♣2, ♠J | two pairs
♣6, ♦6, ♣J, ♣2, ♣J | two pairs
♣6, ♦6, ♣J, ♣2, ♣Q | pair
♣6, ♦6, ♣J, ♠J, ♣J | fullhouse
♣6, ♦6, ♣J, ♠J, ♣Q | two pairs
♣6, ♦6, ♣J, ♣J, ♣Q | two pairs
♣6, ♦6, ♥K, ♥4, ♣2 | pair
♣6, ♦6, ♥K, ♥4, ♠J | pair
♣6, ♦6, ♥K, ♥4, ♣J | pair
♣6, ♦6, ♥K, ♥4, ♣Q | pair
♣6, ♦6, ♥K, ♣2, ♠J | pair
♣6, ♦6, ♥K, ♣2, ♣J | pair
♣6, ♦6, ♥K, ♣2, ♣Q | pair
♣6, ♦6, ♥K, ♠J, ♣J | two pairs
♣6, ♦6, ♥K, ♠J, ♣Q | pair
♣6, ♦6, ♥K, ♣J, ♣Q | pair
♣6, ♦6, ♥4, ♣2, ♠J | pair
♣6, ♦6, ♥4, ♣2, ♣J | pair
♣6, ♦6, ♥4, ♣2, ♣Q | pair
♣6, ♦6, ♥4, ♠J, ♣J | two pairs
♣6, ♦6, ♥4, ♠J, ♣Q | pair
♣6, ♦6, ♥4, ♣J, ♣Q | pair
♣6, ♦6, ♣2, ♠J, ♣J | two pairs
♣6, ♦6, ♣2, ♠J, ♣Q | pair
♣6, ♦6, ♣2, ♣J, ♣Q | pair
♣6, ♦6, ♠J, ♣J, ♣Q | two pairs
♣6, ♥A, ♣J, ♥K, ♠J | pair
♣6, ♥A, ♣J, ♥K, ♣J | pair
♣6, ♥A, ♣J, ♥4, ♠J | pair
♣6, ♥A, ♣J, ♥4, ♣J | pair
♣6, ♥A, ♣J, ♣2, ♠J | pair
♣6, ♥A, ♣J, ♣2, ♣J | pair
♣6, ♥A, ♣J, ♠J, ♣J | three of a kind
♣6, ♥A, ♣J, ♠J, ♣Q | pair
♣6, ♥A, ♣J, ♣J, ♣Q | pair
♣6, ♥A, ♥K, ♠J, ♣J | pair
♣6, ♥A, ♥4, ♠J, ♣J | pair
♣6, ♥A, ♣2, ♠J, ♣J | pair
♣6, ♥A, ♠J, ♣J, ♣Q | pair
♣6, ♣J, ♥K, ♥4, ♠J | pair
♣6, ♣J, ♥K, ♥4, ♣J | pair
♣6, ♣J, ♥K, ♣2, ♠J | pair
♣6, ♣J, ♥K, ♣2, ♣J | pair
♣6, ♣J, ♥K, ♠J, ♣J | three of a kind
♣6, ♣J, ♥K, ♠J, ♣Q | pair
♣6, ♣J, ♥K, ♣J, ♣Q | pair
♣6, ♣J, ♥4, ♣2, ♠J | pair
♣6, ♣J, ♥4, ♣2, ♣J | pair
♣6, ♣J, ♥4, ♠J, ♣J | three of a kind
♣6, ♣J, ♥4, ♠J, ♣Q | pair
♣6, ♣J, ♥4, ♣J, ♣Q | pair
♣6, ♣J, ♣2, ♠J, ♣J | three of a kind
♣6, ♣J, ♣2, ♠J, ♣Q | pair
♣6, ♣J, ♣2, ♣J, ♣Q | flush
♣6, ♣J, ♠J, ♣J, ♣Q | three of a kind
♣6, ♥K, ♥4, ♠J, ♣J | pair
♣6, ♥K, ♣2, ♠J, ♣J | pair
♣6, ♥K, ♠J, ♣J, ♣Q | pair
♣6, ♥4, ♣2, ♠J, ♣J | pair
♣6, ♥4, ♠J, ♣J, ♣Q | pair
♣6, ♣2, ♠J, ♣J, ♣Q | pair
♦5, ♦6, ♥A, ♣J, ♠J | pair
♦5, ♦6, ♥A, ♣J, ♣J | pair
♦5, ♦6, ♥A, ♠J, ♣J | pair
♦5, ♦6, ♣J, ♥K, ♠J | pair
♦5, ♦6, ♣J, ♥K, ♣J | pair
♦5, ♦6, ♣J, ♥4, ♠J | pair
♦5, ♦6, ♣J, ♥4, ♣J | pair
♦5, ♦6, ♣J, ♣2, ♠J | pair
♦5, ♦6, ♣J, ♣2, ♣J | pair
♦5, ♦6, ♣J, ♠J, ♣J | three of a kind
♦5, ♦6, ♣J, ♠J, ♣Q | pair
♦5, ♦6, ♣J, ♣J, ♣Q | pair
♦5, ♦6, ♥K, ♠J, ♣J | pair
♦5, ♦6, ♥4, ♠J, ♣J | pair
♦5, ♦6, ♣2, ♠J, ♣J | pair
♦5, ♦6, ♠J, ♣J, ♣Q | pair
♦5, ♥A, ♣J, ♥K, ♠J | pair
♦5, ♥A, ♣J, ♥K, ♣J | pair
♦5, ♥A, ♣J, ♥4, ♠J | pair
♦5, ♥A, ♣J, ♥4, ♣J | pair
♦5, ♥A, ♣J, ♣2, ♠J | pair
♦5, ♥A, ♣J, ♣2, ♣J | pair
♦5, ♥A, ♣J, ♠J, ♣J | three of a kind
♦5, ♥A, ♣J, ♠J, ♣Q | pair
♦5, ♥A, ♣J, ♣J, ♣Q | pair
♦5, ♥A, ♥K, ♠J, ♣J | pair
♦5, ♥A, ♥4, ♠J, ♣J | pair
♦5, ♥A, ♣2, ♠J, ♣J | pair
♦5, ♥A, ♠J, ♣J, ♣Q | pair
♦5, ♣J, ♥K, ♥4, ♠J | pair
♦5, ♣J, ♥K, ♥4, ♣J | pair
♦5, ♣J, ♥K, ♣2, ♠J | pair
♦5, ♣J, ♥K, ♣2, ♣J | pair
♦5, ♣J, ♥K, ♠J, ♣J | three of a kind
♦5, ♣J, ♥K, ♠J, ♣Q | pair
♦5, ♣J, ♥K, ♣J, ♣Q | pair
♦5, ♣J, ♥4, ♣2, ♠J | pair
♦5, ♣J, ♥4, ♣2, ♣J | pair
♦5, ♣J, ♥4, ♠J, ♣J | three of a kind
♦5, ♣J, ♥4, ♠J, ♣Q | pair
♦5, ♣J, ♥4, ♣J, ♣Q | pair
♦5, ♣J, ♣2, ♠J, ♣J | three of a kind
♦5, ♣J, ♣2, ♠J, ♣Q | pair
♦5, ♣J, ♣2, ♣J, ♣Q | pair
♦5, ♣J, ♠J, ♣J, ♣Q | three of a kind
♦5, ♥K, ♥4, ♠J, ♣J | pair
♦5, ♥K, ♣2, ♠J, ♣J | pair
♦5, ♥K, ♠J, ♣J, ♣Q | pair
♦5, ♥4, ♣2, ♠J, ♣J | pair
♦5, ♥4, ♠J, ♣J, ♣Q | pair
♦5, ♣2, ♠J, ♣J, ♣Q | pair
♦6, ♥A, ♣J, ♥K, ♠J | pair
♦6, ♥A, ♣J, ♥K, ♣J | pair
♦6, ♥A, ♣J, ♥4, ♠J | pair
♦6, ♥A, ♣J, ♥4, ♣J | pair
♦6, ♥A, ♣J, ♣2, ♠J | pair
♦6, ♥A, ♣J, ♣2, ♣J | pair
♦6, ♥A, ♣J, ♠J, ♣J | three of a kind
♦6, ♥A, ♣J, ♠J, ♣Q | pair
♦6, ♥A, ♣J, ♣J, ♣Q | pair
♦6, ♥A, ♥K, ♠J, ♣J | pair
♦6, ♥A, ♥4, ♠J, ♣J | pair
♦6, ♥A, ♣2, ♠J, ♣J | pair
♦6, ♥A, ♠J, ♣J, ♣Q | pair
♦6, ♣J, ♥K, ♥4, ♠J | pair
♦6, ♣J, ♥K, ♥4, ♣J | pair
♦6, ♣J, ♥K, ♣2, ♠J | pair
♦6, ♣J, ♥K, ♣2, ♣J | pair
♦6, ♣J, ♥K, ♠J, ♣J | three of a kind
♦6, ♣J, ♥K, ♠J, ♣Q | pair
♦6, ♣J, ♥K, ♣J, ♣Q | pair
♦6, ♣J, ♥4, ♣2, ♠J | pair
♦6, ♣J, ♥4, ♣2, ♣J | pair
♦6, ♣J, ♥4, ♠J, ♣J | three of a kind
♦6, ♣J, ♥4, ♠J, ♣Q | pair
♦6, ♣J, ♥4, ♣J, ♣Q | pair
♦6, ♣J, ♣2, ♠J, ♣J | three of a kind
♦6, ♣J, ♣2, ♠J, ♣Q | pair
♦6, ♣J, ♣2, ♣J, ♣Q | pair
♦6, ♣J, ♠J, ♣J, ♣Q | three of a kind
♦6, ♥K, ♥4, ♠J, ♣J | pair
♦6, ♥K, ♣2, ♠J, ♣J | pair
♦6, ♥K, ♠J, ♣J, ♣Q | pair
♦6, ♥4, ♣2, ♠J, ♣J | pair
♦6, ♥4, ♠J, ♣J, ♣Q | pair
♦6, ♣2, ♠J, ♣J, ♣Q | pair
♥A, ♣J, ♥K, ♥4, ♠J | pair
♥A, ♣J, ♥K, ♥4, ♣J | pair
♥A, ♣J, ♥K, ♣2, ♠J | pair
♥A, ♣J, ♥K, ♣2, ♣J | pair
♥A, ♣J, ♥K, ♠J, ♣J | three of a kind
♥A, ♣J, ♥K, ♠J, ♣Q | pair
♥A, ♣J, ♥K, ♣J, ♣Q | pair
♥A, ♣J, ♥4, ♣2, ♠J | pair
♥A, ♣J, ♥4, ♣2, ♣J | pair
♥A, ♣J, ♥4, ♠J, ♣J | three of a kind
♥A, ♣J, ♥4, ♠J, ♣Q | pair
♥A, ♣J, ♥4, ♣J, ♣Q | pair
♥A, ♣J, ♣2, ♠J, ♣J | three of a kind
♥A, ♣J, ♣2, ♠J, ♣Q | pair
♥A, ♣J, ♣2, ♣J, ♣Q | pair
♥A, ♣J, ♠J, ♣J, ♣Q | three of a kind
♥A, ♥K, ♥4, ♠J, ♣J | pair
♥A, ♥K, ♣2, ♠J, ♣J | pair
♥A, ♥K, ♠J, ♣J, ♣Q | pair
♥A, ♥4, ♣2, ♠J, ♣J | pair
♥A, ♥4, ♠J, ♣J, ♣Q | pair
♥A, ♣2, ♠J, ♣J, ♣Q | pair
♣J, ♥K, ♥4, ♣2, ♠J | pair
♣J, ♥K, ♥4, ♣2, ♣J | pair
♣J, ♥K, ♥4, ♠J, ♣J | three of a kind
♣J, ♥K, ♥4, ♠J, ♣Q | pair
♣J, ♥K, ♥4, ♣J, ♣Q | pair
♣J, ♥K, ♣2, ♠J, ♣J | three of a kind
♣J, ♥K, ♣2, ♠J, ♣Q | pair
♣J, ♥K, ♣2, ♣J, ♣Q | pair
♣J, ♥K, ♠J, ♣J, ♣Q | three of a kind
♣J, ♥4, ♣2, ♠J, ♣J | three of a kind
♣J, ♥4, ♣2, ♠J, ♣Q | pair
♣J, ♥4, ♣2, ♣J, ♣Q | pair
♣J, ♥4, ♠J, ♣J, ♣Q | three of a kind
♣J, ♣2, ♠J, ♣J, ♣Q | three of a kind
♥K, ♥4, ♣2, ♠J, ♣J | pair
♥K, ♥4, ♠J, ♣J, ♣Q | pair
♥K, ♣2, ♠J, ♣J, ♣Q | pair
♥4, ♣2, ♠J, ♣J, ♣Q | pair
