♥3, ♠8, ♦J, ♥6, ♥3 | pair
♥3, ♦J, ♥Q, ♥3, ♠K | pair
♥3, ♦J, ♥Q, ♥3, ♦7 | pair
♥3, ♦J, ♥Q, ♥3, ♥Q | two pairs
♥3, ♦J, ♥Q, ♥3, ♦K | pair
♥3, ♦J, ♥Q, ♥3, ♥Q | two pairs
♥3, ♦J, ♥Q, ♠K, ♥Q | pair
♥3, ♦J, ♥Q, ♠K, ♦K | pair
♥3, ♦J, ♥Q, ♠K, ♥Q | pair
♥3, ♦J, ♥Q, ♦7, ♥Q | pair
♥3, ♦J, ♥Q, ♦7, ♥Q | pair
♥3, ♦J, ♥Q, ♥Q, ♦K | pair
♥3, ♦J, ♥Q, ♥Q, ♥Q | three of a kind
♥3, ♦J, ♥Q, ♦K, ♥Q | pair
♥3, ♦J, ♥3, ♠K, ♦7 | pair
♥3, ♦J, ♥3, ♠K, ♥Q | pair
♥3, ♦J, ♥3, ♠K, ♦K | two pairs
♥3, ♦J, ♥3, ♠K, ♥Q | pair
♥3, ♦J, ♥3, ♦7, ♥Q | pair
♥3, ♦J, ♥3, ♦7, ♦K | pair
♥3, ♦J, ♥3, ♦7, ♥Q | pair
♥3, ♦J, ♥3, ♥Q, ♦K | pair
♥3, ♦J, ♥3, ♥Q, ♥Q | two pairs
♥3, ♦J, ♥3, ♦K, ♥Q | pair
♥3, ♦J, ♠K, ♦7, ♦K | pair
♥3, ♦J, ♠K, ♥Q, ♦K | pair
♥3, ♦J, ♠K, ♥Q, ♥Q | pair
♥3, ♦J, ♠K, ♦K, ♥Q | pair
♥3, ♦J, ♦7, ♥Q, ♥Q | pair
♥3, ♦J, ♥Q, ♦K, ♥Q | pair
♥3, ♥6, ♥7, ♥4, ♥Q | flush
♥3, ♥6, ♥7, ♥4, ♥3 | flush
♥3, ♥6, ♥7, ♥4, ♦7 | pair
♥3, ♥6, ♥7, ♥4, ♥Q | flush
♥3, ♥6, ♥7, ♥4, ♥Q | flush
♥3, ♥6, ♥7, ♥Q, ♥3 | flush
♥3, ♥6, ♥7, ♥Q, ♦7 | pair
♥3, ♥6, ♥7, ♥Q, ♥Q | flush
♥3, ♥6, ♥7, ♥Q, ♥Q | flush
♥3, ♥6, ♥7, ♥3, ♠K | pair
♥3, ♥6, ♥7, ♥3, ♦7 | two pairs
♥3, ♥6, ♥7, ♥3, ♥Q | flush
♥3, ♥6, ♥7, ♥3, ♦K | pair
♥3, ♥6, ♥7, ♥3, ♥Q | flush
♥3, ♥6, ♥7, ♠K, ♦7 | pair
♥3, ♥6, ♥7, ♠K, ♦K | pair
♥3, ♥6, ♥7, ♦7, ♥Q | pair
♥3, ♥6, ♥7, ♦7, ♦K | pair
♥3, ♥6, ♥7, ♦7, ♥Q | pair
♥3, ♥6, ♥7, ♥Q, ♥Q | flush
♥3, ♥6, ♥4, ♥Q, ♥3 | flush
♥3, ♥6, ♥4, ♥Q, ♥Q | flush
♥3, ♥6, ♥4, ♥Q, ♥Q | flush
♥3, ♥6, ♥4, ♥3, ♠K | pair
♥3, ♥6, ♥4, ♥3, ♦7 | pair
♥3, ♥6, ♥4, ♥3, ♥Q | flush
♥3, ♥6, ♥4, ♥3, ♦K | pair
♥3, ♥6, ♥4, ♥3, ♥Q | flush
♥3, ♥6, ♥4, ♠K, ♦K | pair
♥3, ♥6, ♥4, ♥Q, ♥Q | flush
♥3, ♥6, ♥Q, ♥3, ♠K | pair
♥3, ♥6, ♥Q, ♥3, ♦7 | pair
♥3, ♥6, ♥Q, ♥3, ♥Q | flush
♥3, ♥6, ♥Q, ♥3, ♦K | pair
♥3, ♥6, ♥Q, ♥3, ♥Q | flush
♥3, ♥6, ♥Q, ♠K, ♥Q | pair
♥3, ♥6, ♥Q, ♠K, ♦K | pair
♥3, ♥6, ♥Q, ♠K, ♥Q | pair
♥3, ♥6, ♥Q, ♦7, ♥Q | pair
♥3, ♥6, ♥Q, ♦7, ♥Q | pair
♥3, ♥6, ♥Q, ♥Q, ♦K | pair
♥3, ♥6, ♥Q, ♥Q, ♥Q | flush
♥3, ♥6, ♥Q, ♦K, ♥Q | pair
♥3, ♥6, ♥3, ♠K, ♦7 | pair
♥3, ♥6, ♥3, ♠K, ♥Q | pair
♥3, ♥6, ♥3, ♠K, ♦K | two pairs
♥3, ♥6, ♥3, ♠K, ♥Q | pair
♥3, ♥6, ♥3, ♦7, ♥Q | pair
♥3, ♥6, ♥3, ♦7, ♦K | pair
♥3, ♥6, ♥3, ♦7, ♥Q | pair
♥3, ♥6, ♥3, ♥Q, ♦K | pair
♥3, ♥6, ♥3, ♥Q, ♥Q | flush
♥3, ♥6, ♥3, ♦K, ♥Q | pair
♥3, ♥6, ♠K, ♦7, ♦K | pair
♥3, ♥6, ♠K, ♥Q, ♦K | pair
♥3, ♥6, ♠K, ♥Q, ♥Q | pair
♥3, ♥6, ♠K, ♦K, ♥Q | pair
♥3, ♥6, ♦7, ♥Q, ♥Q | pair
♥3, ♥6, ♥Q, ♦K, ♥Q | pair
♥3, ♥7, ♥4, ♥Q, ♥3 | flush
♥3, ♥7, ♥4, ♥Q, ♦7 | pair
♥3, ♥7, ♥4, ♥Q, ♥Q | flush
♥3, ♥7, ♥4, ♥Q, ♥Q | flush
♥3, ♥7, ♥4, ♥3, ♠K | pair
♥3, ♥7, ♥4, ♥3, ♦7 | two pairs
♥3, ♥7, ♥4, ♥3, ♥Q | flush
♥3, ♥7, ♥4, ♥3, ♦K | pair
♥3, ♥7, ♥4, ♥3, ♥Q | flush
♥3, ♥7, ♥4, ♠K, ♦7 | pair
♥3, ♥7, ♥4, ♠K, ♦K | pair
♥3, ♥7, ♥4, ♦7, ♥Q | pair
♥3, ♥7, ♥4, ♦7, ♦K | pair
♥3, ♥7, ♥4, ♦7, ♥Q | pair
♥3, ♥7, ♥4, ♥Q, ♥Q | flush
♥3, ♥7, ♥Q, ♥3, ♠K | pair
♥3, ♥7, ♥Q, ♥3, ♦7 | two pairs
♥3, ♥7, ♥Q, ♥3, ♥Q | flush
♥3, ♥7, ♥Q, ♥3, ♦K | pair
♥3, ♥7, ♥Q, ♥3, ♥Q | flush
♥3, ♥7, ♥Q, ♠K, ♦7 | pair
♥3, ♥7, ♥Q, ♠K, ♥Q | pair
♥3, ♥7, ♥Q, ♠K, ♦K | pair
♥3, ♥7, ♥Q, ♠K, ♥Q | pair
♥3, ♥7, ♥Q, ♦7, ♥Q | two pairs
♥3, ♥7, ♥Q, ♦7, ♦K | pair
♥3, ♥7, ♥Q, ♦7, ♥Q | two pairs
♥3, ♥7, ♥Q, ♥Q, ♦K | pair
♥3, ♥7, ♥Q, ♥Q, ♥Q | flush
♥3, ♥7, ♥Q, ♦K, ♥Q | pair
♥3, ♥7, ♥3, ♠K, ♦7 | two pairs
♥3, ♥7, ♥3, ♠K, ♥Q | pair
♥3, ♥7, ♥3, ♠K, ♦K | two pairs
♥3, ♥7, ♥3, ♠K, ♥Q | pair
♥3, ♥7, ♥3, ♦7, ♥Q | two pairs
♥3, ♥7, ♥3, ♦7, ♦K | two pairs
♥3, ♥7, ♥3, ♦7, ♥Q | two pairs
♥3, ♥7, ♥3, ♥Q, ♦K | pair
♥3, ♥7, ♥3, ♥Q, ♥Q | flush
♥3, ♥7, ♥3, ♦K, ♥Q | pair
♥3, ♥7, ♠K, ♦7, ♥Q | pair
♥3, ♥7, ♠K, ♦7, ♦K | two pairs
♥3, ♥7, ♠K, ♦7, ♥Q | pair
♥3, ♥7, ♠K, ♥Q, ♦K | pair
♥3, ♥7, ♠K, ♥Q, ♥Q | pair
♥3, ♥7, ♠K, ♦K, ♥Q | pair
♥3, ♥7, ♦7, ♥Q, ♦K | pair
♥3, ♥7, ♦7, ♥Q, ♥Q | two pairs
♥3, ♥7, ♦7, ♦K, ♥Q | pair
♥3, ♥7, ♥Q, ♦K, ♥Q | pair
♥3, ♥4, ♥Q, ♥3, ♠K | pair
♥3, ♥4, ♥Q, ♥3, ♦7 | pair
♥3, ♥4, ♥Q, ♥3, ♥Q | flush
♥3, ♥4, ♥Q, ♥3, ♦K | pair
♥3, ♥4, ♥Q, ♥3, ♥Q | flush
♥3, ♥4, ♥Q, ♠K, ♥Q | pair
♥3, ♥4, ♥Q, ♠K, ♦K | pair
♥3, ♥4, ♥Q, ♠K, ♥Q | pair
♥3, ♥4, ♥Q, ♦7, ♥Q | pair
♥3, ♥4, ♥Q, ♦7, ♥Q | pair
♥3, ♥4, ♥Q, ♥Q, ♦K | pair
♥3, ♥4, ♥Q, ♥Q, ♥Q | flush
♥3, ♥4, ♥Q, ♦K, ♥Q | pair
♥3, ♥4, ♥3, ♠K, ♦7 | pair
♥3, ♥4, ♥3, ♠K, ♥Q | pair
♥3, ♥4, ♥3, ♠K, ♦K | two pairs
♥3, ♥4, ♥3, ♠K, ♥Q | pair
♥3, ♥4, ♥3, ♦7, ♥Q | pair
♥3, ♥4, ♥3, ♦7, ♦K | pair
♥3, ♥4, ♥3, ♦7, ♥Q | pair
♥3, ♥4, ♥3, ♥Q, ♦K | pair
♥3, ♥4, ♥3, ♥Q, ♥Q | flush
♥3, ♥4, ♥3, ♦K, ♥Q | pair
♥3, ♥4, ♠K, ♦7, ♦K | pair
♥3, ♥4, ♠K, ♥Q, ♦K | pair
♥3, ♥4, ♠K, ♥Q, ♥Q | pair
♥3, ♥4, ♠K, ♦K, ♥Q | pair
♥3, ♥4, ♦7, ♥Q, ♥Q | pair
♥3, ♥4, ♥Q, ♦K, ♥Q | pair
♥3, ♥Q, ♥3, ♠K, ♦7 | pair
♥3, ♥Q, ♥3, ♠K, ♥Q | two pairs
♥3, ♥Q, ♥3, ♠K, ♦K | two pairs
♥3, ♥Q, ♥3, ♠K, ♥Q | two pairs
♥3, ♥Q, ♥3, ♦7, ♥Q | two pairs
♥3, ♥Q, ♥3, ♦7, ♦K | pair
♥3, ♥Q, ♥3, ♦7, ♥Q | two pairs
♥3, ♥Q, ♥3, ♥Q, ♦K | two pairs
♥3, ♥Q, ♥3, ♥Q, ♥Q | fullhouse
♥3, ♥Q, ♥3, ♦K, ♥Q | two pairs
♥3, ♥Q, ♠K, ♦7, ♥Q | pair
♥3, ♥Q, ♠K, ♦7, ♦K | pair
♥3, ♥Q, ♠K, ♦7, ♥Q | pair
♥3, ♥Q, ♠K, ♥Q, ♦K | two pairs
♥3, ♥Q, ♠K, ♥Q, ♥Q | three of a kind
♥3, ♥Q, ♠K, ♦K, ♥Q | two pairs
♥3, ♥Q, ♦7, ♥Q, ♦K | pair
♥3, ♥Q, ♦7, ♥Q, ♥Q | three of a kind
♥3, ♥Q, ♦7, ♦K, ♥Q | pair
♥3, ♥Q, ♥Q, ♦K, ♥Q | three of a kind
♥3, ♥3, ♠K, ♦7, ♥Q | pair
♥3, ♥3, ♠K, ♦7, ♦K | two pairs
♥3, ♥3, ♠K, ♦7, ♥Q | pair
♥3, ♥3, ♠K, ♥Q, ♦K | two pairs
♥3, ♥3, ♠K, ♥Q, ♥Q | two pairs
♥3, ♥3, ♠K, ♦K, ♥Q | two pairs
♥3, ♥3, ♦7, ♥Q, ♦K | pair
♥3, ♥3, ♦7, ♥Q, ♥Q | two pairs
♥3, ♥3, ♦7, ♦K, ♥Q | pair
♥3, ♥3, ♥Q, ♦K, ♥Q | two pairs
♥3, ♠K, ♦7, ♥Q, ♦K | pair
♥3, ♠K, ♦7, ♥Q, ♥Q | pair
♥3, ♠K, ♦7, ♦K, ♥Q | pair
♥3, ♠K, ♥Q, ♦K, ♥Q | two pairs
♥3, ♦7, ♥Q, ♦K, ♥Q | pair
♠8, ♦J, ♥6, ♥7, ♦7 | pair
♠8, ♦J, ♥6, ♥Q, ♥Q | pair
♠8, ♦J, ♥6, ♥Q, ♥Q | pair
♠8, ♦J, ♥6, ♠K, ♦K | pair
♠8, ♦J, ♥6, ♥Q, ♥Q | pair
♠8, ♦J, ♥7, ♥4, ♦7 | pair
♠8, ♦J, ♥7, ♥Q, ♦7 | pair
♠8, ♦J, ♥7, ♥Q, ♥Q | pair
♠8, ♦J, ♥7, ♥Q, ♥Q | pair
♠8, ♦J, ♥7, ♥3, ♦7 | pair
♠8, ♦J, ♥7, ♠K, ♦7 | pair
♠8, ♦J, ♥7, ♠K, ♦K | pair
♠8, ♦J, ♥7, ♦7, ♥Q | pair
♠8, ♦J, ♥7, ♦7, ♦K | pair
♠8, ♦J, ♥7, ♦7, ♥Q | pair
♠8, ♦J, ♥7, ♥Q, ♥Q | pair
♠8, ♦J, ♥4, ♥Q, ♥Q | pair
♠8, ♦J, ♥4, ♥Q, ♥Q | pair
♠8, ♦J, ♥4, ♠K, ♦K | pair
♠8, ♦J, ♥4, ♥Q, ♥Q | pair
♠8, ♦J, ♥Q, ♥3, ♥Q | pair
♠8, ♦J, ♥Q, ♥3, ♥Q | pair
♠8, ♦J, ♥Q, ♠K, ♥Q | pair
♠8, ♦J, ♥Q, ♠K, ♦K | pair
♠8, ♦J, ♥Q, ♠K, ♥Q | pair
♠8, ♦J, ♥Q, ♦7, ♥Q | pair
♠8, ♦J, ♥Q, ♦7, ♥Q | pair
♠8, ♦J, ♥Q, ♥Q, ♦K | pair
♠8, ♦J, ♥Q, ♥Q, ♥Q | three of a kind
♠8, ♦J, ♥Q, ♦K, ♥Q | pair
♠8, ♦J, ♥3, ♠K, ♦K | pair
♠8, ♦J, ♥3, ♥Q, ♥Q | pair
♠8, ♦J, ♠K, ♦7, ♦K | pair
♠8, ♦J, ♠K, ♥Q, ♦K | pair
♠8, ♦J, ♠K, ♥Q, ♥Q | pair
♠8, ♦J, ♠K, ♦K, ♥Q | pair
♠8, ♦J, ♦7, ♥Q, ♥Q | pair
♠8, ♦J, ♥Q, ♦K, ♥Q | pair
♠8, ♥6, ♥7, ♥4, ♦7 | pair
♠8, ♥6, ♥7, ♥Q, ♦7 | pair
♠8, ♥6, ♥7, ♥Q, ♥Q | pair
♠8, ♥6, ♥7, ♥Q, ♥Q | pair
♠8, ♥6, ♥7, ♥3, ♦7 | pair
♠8, ♥6, ♥7, ♠K, ♦7 | pair
♠8, ♥6, ♥7, ♠K, ♦K | pair
♠8, ♥6, ♥7, ♦7, ♥Q | pair
♠8, ♥6, ♥7, ♦7, ♦K | pair
♠8, ♥6, ♥7, ♦7, ♥Q | pair
♠8, ♥6, ♥7, ♥Q, ♥Q | pair
♠8, ♥6, ♥4, ♥Q, ♥Q | pair
♠8, ♥6, ♥4, ♥Q, ♥Q | pair
♠8, ♥6, ♥4, ♠K, ♦K | pair
♠8, ♥6, ♥4, ♥Q, ♥Q | pair
♠8, ♥6, ♥Q, ♥3, ♥Q | pair
♠8, ♥6, ♥Q, ♥3, ♥Q | pair
♠8, ♥6, ♥Q, ♠K, ♥Q | pair
♠8, ♥6, ♥Q, ♠K, ♦K | pair
♠8, ♥6, ♥Q, ♠K, ♥Q | pair
♠8, ♥6, ♥Q, ♦7, ♥Q | pair
♠8, ♥6, ♥Q, ♦7, ♥Q | pair
♠8, ♥6, ♥Q, ♥Q, ♦K | pair
♠8, ♥6, ♥Q, ♥Q, ♥Q | three of a kind
♠8, ♥6, ♥Q, ♦K, ♥Q | pair
♠8, ♥6, ♥3, ♠K, ♦K | pair
♠8, ♥6, ♥3, ♥Q, ♥Q | pair
♠8, ♥6, ♠K, ♦7, ♦K | pair
♠8, ♥6, ♠K, ♥Q, ♦K | pair
♠8, ♥6, ♠K, ♥Q, ♥Q | pair
♠8, ♥6, ♠K, ♦K, ♥Q | pair
♠8, ♥6, ♦7, ♥Q, ♥Q | pair
♠8, ♥6, ♥Q, ♦K, ♥Q | pair
♠8, ♥7, ♥4, ♥Q, ♦7 | pair
♠8, ♥7, ♥4, ♥Q, ♥Q | pair
♠8, ♥7, ♥4, ♥Q, ♥Q | pair
♠8, ♥7, ♥4, ♥3, ♦7 | pair
♠8, ♥7, ♥4, ♠K, ♦7 | pair
♠8, ♥7, ♥4, ♠K, ♦K | pair
♠8, ♥7, ♥4, ♦7, ♥Q | pair
♠8, ♥7, ♥4, ♦7, ♦K | pair
♠8, ♥7, ♥4, ♦7, ♥Q | pair
♠8, ♥7, ♥4, ♥Q, ♥Q | pair
♠8, ♥7, ♥Q, ♥3, ♦7 | pair
♠8, ♥7, ♥Q, ♥3, ♥Q | pair
♠8, ♥7, ♥Q, ♥3, ♥Q | pair
♠8, ♥7, ♥Q, ♠K, ♦7 | pair
♠8, ♥7, ♥Q, ♠K, ♥Q | pair
♠8, ♥7, ♥Q, ♠K, ♦K | pair
♠8, ♥7, ♥Q, ♠K, ♥Q | pair
♠8, ♥7, ♥Q, ♦7, ♥Q | two pairs
♠8, ♥7, ♥Q, ♦7, ♦K | pair
♠8, ♥7, ♥Q, ♦7, ♥Q | two pairs
♠8, ♥7, ♥Q, ♥Q, ♦K | pair
♠8, ♥7, ♥Q, ♥Q, ♥Q | three of a kind
♠8, ♥7, ♥Q, ♦K, ♥Q | pair
♠8, ♥7, ♥3, ♠K, ♦7 | pair
♠8, ♥7, ♥3, ♠K, ♦K | pair
♠8, ♥7, ♥3, ♦7, ♥Q | pair
♠8, ♥7, ♥3, ♦7, ♦K | pair
♠8, ♥7, ♥3, ♦7, ♥Q | pair
♠8, ♥7, ♥3, ♥Q, ♥Q | pair
♠8, ♥7, ♠K, ♦7, ♥Q | pair
♠8, ♥7, ♠K, ♦7, ♦K | two pairs
♠8, ♥7, ♠K, ♦7, ♥Q | pair
♠8, ♥7, ♠K, ♥Q, ♦K | pair
♠8, ♥7, ♠K, ♥Q, ♥Q | pair
♠8, ♥7, ♠K, ♦K, ♥Q | pair
♠8, ♥7, ♦7, ♥Q, ♦K | pair
♠8, ♥7, ♦7, ♥Q, ♥Q | two pairs
♠8, ♥7, ♦7, ♦K, ♥Q | pair
♠8, ♥7, ♥Q, ♦K, ♥Q | pair
♠8, ♥4, ♥Q, ♥3, ♥Q | pair
♠8, ♥4, ♥Q, ♥3, ♥Q | pair
♠8, ♥4, ♥Q, ♠K, ♥Q | pair
♠8, ♥4, ♥Q, ♠K, ♦K | pair
♠8, ♥4, ♥Q, ♠K, ♥Q | pair
♠8, ♥4, ♥Q, ♦7, ♥Q | pair
♠8, ♥4, ♥Q, ♦7, ♥Q | pair
♠8, ♥4, ♥Q, ♥Q, ♦K | pair
♠8, ♥4, ♥Q, ♥Q, ♥Q | three of a kind
♠8, ♥4, ♥Q, ♦K, ♥Q | pair
♠8, ♥4, ♥3, ♠K, ♦K | pair
♠8, ♥4, ♥3, ♥Q, ♥Q | pair
♠8, ♥4, ♠K, ♦7, ♦K | pair
♠8, ♥4, ♠K, ♥Q, ♦K | pair
♠8, ♥4, ♠K, ♥Q, ♥Q | pair
♠8, ♥4, ♠K, ♦K, ♥Q | pair
♠8, ♥4, ♦7, ♥Q, ♥Q | pair
♠8, ♥4, ♥Q, ♦K, ♥Q | pair
♠8, ♥Q, ♥3, ♠K, ♥Q | pair
♠8, ♥Q, ♥3, ♠K, ♦K | pair
♠8, ♥Q, ♥3, ♠K, ♥Q | pair
♠8, ♥Q, ♥3, ♦7, ♥Q | pair
♠8, ♥Q, ♥3, ♦7, ♥Q | pair
♠8, ♥Q, ♥3, ♥Q, ♦K | pair
♠8, ♥Q, ♥3, ♥Q, ♥Q | three of a kind
♠8, ♥Q, ♥3, ♦K, ♥Q | pair
♠8, ♥Q, ♠K, ♦7, ♥Q | pair
♠8, ♥Q, ♠K, ♦7, ♦K | pair
♠8, ♥Q, ♠K, ♦7, ♥Q | pair
♠8, ♥Q, ♠K, ♥Q, ♦K | two pairs
♠8, ♥Q, ♠K, ♥Q, ♥Q | three of a kind
♠8, ♥Q, ♠K, ♦K, ♥Q | two pairs
♠8, ♥Q, ♦7, ♥Q, ♦K | pair
♠8, ♥Q, ♦7, ♥Q, ♥Q | three of a kind
♠8, ♥Q, ♦7, ♦K, ♥Q | pair
♠8, ♥Q, ♥Q, ♦K, ♥Q | three of a kind
♠8, ♥3, ♠K, ♦7, ♦K | pair
♠8, ♥3, ♠K, ♥Q, ♦K | pair
♠8, ♥3, ♠K, ♥Q, ♥Q | pair
♠8, ♥3, ♠K, ♦K, ♥Q | pair
♠8, ♥3, ♦7, ♥Q, ♥Q | pair
♠8, ♥3, ♥Q, ♦K, ♥Q | pair
♠8, ♠K, ♦7, ♥Q, ♦K | pair
♠8, ♠K, ♦7, ♥Q, ♥Q | pair
♠8, ♠K, ♦7, ♦K, ♥Q | pair
♠8, ♠K, ♥Q, ♦K, ♥Q | two pairs
♠8, ♦7, ♥Q, ♦K, ♥Q | pair
♦J, ♥6, ♥7, ♥4, ♦7 | pair
♦J, ♥6, ♥7, ♥Q, ♦7 | pair
♦J, ♥6, ♥7, ♥Q, ♥Q | pair
♦J, ♥6, ♥7, ♥Q, ♥Q | pair
♦J, ♥6, ♥7, ♥3, ♦7 | pair
