♦Q, ♣5, ♠A, ♦8, ♠Q | pair
♦Q, ♠A, ♠Q, ♥10, ♥9 | pair
♦Q, ♠A, ♣6, ♥8, ♦8 | pair
♦Q, ♠A, ♦7, ♥8, ♦8 | pair
♦Q, ♠A, ♦3, ♥8, ♦8 | pair
♦Q, ♠A, ♥8, ♦8, ♥10 | pair
♦Q, ♠A, ♥8, ♦8, ♥9 | pair
♦Q, ♦8, ♣K, ♣10, ♠Q | pair
♦Q, ♦8, ♣K, ♣10, ♥8 | pair
♦Q, ♦8, ♣K, ♣10, ♦8 | pair
♦Q, ♦8, ♣K, ♣10, ♥10 | pair
♦Q, ♦8, ♣K, ♠Q, ♣6 | pair
♦Q, ♦8, ♣K, ♠Q, ♦7 | pair
♦Q, ♦8, ♣K, ♠Q, ♦3 | pair
♦Q, ♦8, ♣K, ♠Q, ♥8 | two pairs
♦Q, ♦8, ♣K, ♠Q, ♦8 | two pairs
♦Q, ♦8, ♣K, ♠Q, ♥10 | pair
♦Q, ♦8, ♣K, ♠Q, ♥9 | pair
♦Q, ♦8, ♣K, ♣6, ♥8 | pair
♦Q, ♦8, ♣K, ♣6, ♦8 | pair
♦Q, ♦8, ♣K, ♦7, ♥8 | pair
♦Q, ♦8, ♣K, ♦7, ♦8 | pair
♦Q, ♦8, ♣K, ♦3, ♥8 | pair
♦Q, ♦8, ♣K, ♦3, ♦8 | pair
♦Q, ♦8, ♣K, ♥8, ♦8 | three of a kind
♦Q, ♦8, ♣K, ♥8, ♥10 | pair
♦Q, ♦8, ♣K, ♥8, ♥9 | pair
♦Q, ♦8, ♣K, ♦8, ♥10 | pair
♦Q, ♦8, ♣K, ♦8, ♥9 | pair
♦Q, ♦8, ♣10, ♠Q, ♣6 | pair
♦Q, ♦8, ♣10, ♠Q, ♦7 | pair
♦Q, ♦8, ♣10, ♠Q, ♦3 | pair
♦Q, ♦8, ♣10, ♠Q, ♥8 | two pairs
♦Q, ♦8, ♣10, ♠Q, ♦8 | two pairs
♦Q, ♦8, ♣10, ♠Q, ♥10 | two pairs
♦Q, ♦8, ♣10, ♠Q, ♥9 | pair
♦Q, ♦8, ♣10, ♣6, ♥8 | pair
♦Q, ♦8, ♣10, ♣6, ♦8 | pair
♦Q, ♦8, ♣10, ♣6, ♥10 | pair
♦Q, ♦8, ♣10, ♦7, ♥8 | pair
♦Q, ♦8, ♣10, ♦7, ♦8 | pair
♦Q, ♦8, ♣10, ♦7, ♥10 | pair
♦Q, ♦8, ♣10, ♦3, ♥8 | pair
♦Q, ♦8, ♣10, ♦3, ♦8 | pair
♦Q, ♦8, ♣10, ♦3, ♥10 | pair
♦Q, ♦8, ♣10, ♥8, ♦8 | three of a kind
♦Q, ♦8, ♣10, ♥8, ♥10 | two pairs
♦Q, ♦8, ♣10, ♥8, ♥9 | pair
♦Q, ♦8, ♣10, ♦8, ♥10 | two pairs
♦Q, ♦8, ♣10, ♦8, ♥9 | pair
♦Q, ♦8, ♣10, ♥10, ♥9 | pair
♦Q, ♦8, ♠Q, ♣6, ♦7 | pair
♦Q, ♦8, ♠Q, ♣6, ♦3 | pair
♦Q, ♦8, ♠Q, ♣6, ♥8 | two pairs
♦Q, ♦8, ♠Q, ♣6, ♦8 | two pairs
♦Q, ♦8, ♠Q, ♣6, ♥10 | pair
♦Q, ♦8, ♠Q, ♣6, ♥9 | pair
♦Q, ♦8, ♠Q, ♦7, ♦3 | pair
♦Q, ♦8, ♠Q, ♦7, ♥8 | two pairs
♦Q, ♦8, ♠Q, ♦7, ♦8 | two pairs
♦Q, ♦8, ♠Q, ♦7, ♥10 | pair
♦Q, ♦8, ♠Q, ♦7, ♥9 | pair
♦Q, ♦8, ♠Q, ♦3, ♥8 | two pairs
♦Q, ♦8, ♠Q, ♦3, ♦8 | two pairs
♦Q, ♦8, ♠Q, ♦3, ♥10 | pair
♦Q, ♦8, ♠Q, ♦3, ♥9 | pair
♦Q, ♦8, ♠Q, ♥8, ♦8 | fullhouse
♦Q, ♦8, ♠Q, ♥8, ♥10 | two pairs
♦Q, ♦8, ♠Q, ♥8, ♥9 | two pairs
♦Q, ♦8, ♠Q, ♦8, ♥10 | two pairs
♦Q, ♦8, ♠Q, ♦8, ♥9 | two pairs
♦Q, ♦8, ♠Q, ♥10, ♥9 | pair
♦Q, ♦8, ♣6, ♦7, ♥8 | pair
♦Q, ♦8, ♣6, ♦7, ♦8 | pair
♦Q, ♦8, ♣6, ♦3, ♥8 | pair
♦Q, ♦8, ♣6, ♦3, ♦8 | pair
♦Q, ♦8, ♣6, ♥8, ♦8 | three of a kind
♦Q, ♦8, ♣6, ♥8, ♥10 | pair
♦Q, ♦8, ♣6, ♥8, ♥9 | pair
♦Q, ♦8, ♣6, ♦8, ♥10 | pair
♦Q, ♦8, ♣6, ♦8, ♥9 | pair
♦Q, ♦8, ♦7, ♦3, ♥8 | pair
♦Q, ♦8, ♦7, ♦3, ♦8 | flush
♦Q, ♦8, ♦7, ♥8, ♦8 | three of a kind
♦Q, ♦8, ♦7, ♥8, ♥10 | pair
♦Q, ♦8, ♦7, ♥8, ♥9 | pair
♦Q, ♦8, ♦7, ♦8, ♥10 | pair
♦Q, ♦8, ♦7, ♦8, ♥9 | pair
♦Q, ♦8, ♦3, ♥8, ♦8 | three of a kind
♦Q, ♦8, ♦3, ♥8, ♥10 | pair
♦Q, ♦8, ♦3, ♥8, ♥9 | pair
♦Q, ♦8, ♦3, ♦8, ♥10 | pair
♦Q, ♦8, ♦3, ♦8, ♥9 | pair
♦Q, ♦8, ♥8, ♦8, ♥10 | three of a kind
♦Q, ♦8, ♥8, ♦8, ♥9 | three of a kind
♦Q, ♦8, ♥8, ♥10, ♥9 | pair
♦Q, ♦8, ♦8, ♥10, ♥9 | pair
♦Q, ♣K, ♣10, ♠Q, ♣6 | pair
♦Q, ♣K, ♣10, ♠Q, ♦7 | pair
♦Q, ♣K, ♣10, ♠Q, ♦3 | pair
♦Q, ♣K, ♣10, ♠Q, ♥8 | pair
♦Q, ♣K, ♣10, ♠Q, ♦8 | pair
♦Q, ♣K, ♣10, ♠Q, ♥10 | two pairs
♦Q, ♣K, ♣10, ♠Q, ♥9 | pair
♦Q, ♣K, ♣10, ♣6, ♥10 | pair
♦Q, ♣K, ♣10, ♦7, ♥10 | pair
♦Q, ♣K, ♣10, ♦3, ♥10 | pair
♦Q, ♣K, ♣10, ♥8, ♦8 | pair
♦Q, ♣K, ♣10, ♥8, ♥10 | pair
♦Q, ♣K, ♣10, ♦8, ♥10 | pair
♦Q, ♣K, ♣10, ♥10, ♥9 | pair
♦Q, ♣K, ♠Q, ♣6, ♦7 | pair
♦Q, ♣K, ♠Q, ♣6, ♦3 | pair
♦Q, ♣K, ♠Q, ♣6, ♥8 | pair
♦Q, ♣K, ♠Q, ♣6, ♦8 | pair
♦Q, ♣K, ♠Q, ♣6, ♥10 | pair
♦Q, ♣K, ♠Q, ♣6, ♥9 | pair
♦Q, ♣K, ♠Q, ♦7, ♦3 | pair
♦Q, ♣K, ♠Q, ♦7, ♥8 | pair
♦Q, ♣K, ♠Q, ♦7, ♦8 | pair
♦Q, ♣K, ♠Q, ♦7, ♥10 | pair
♦Q, ♣K, ♠Q, ♦7, ♥9 | pair
♦Q, ♣K, ♠Q, ♦3, ♥8 | pair
♦Q, ♣K, ♠Q, ♦3, ♦8 | pair
♦Q, ♣K, ♠Q, ♦3, ♥10 | pair
♦Q, ♣K, ♠Q, ♦3, ♥9 | pair
♦Q, ♣K, ♠Q, ♥8, ♦8 | two pairs
♦Q, ♣K, ♠Q, ♥8, ♥10 | pair
♦Q, ♣K, ♠Q, ♥8, ♥9 | pair
♦Q, ♣K, ♠Q, ♦8, ♥10 | pair
♦Q, ♣K, ♠Q, ♦8, ♥9 | pair
♦Q, ♣K, ♠Q, ♥10, ♥9 | pair
♦Q, ♣K, ♣6, ♥8, ♦8 | pair
♦Q, ♣K, ♦7, ♥8, ♦8 | pair
♦Q, ♣K, ♦3, ♥8, ♦8 | pair
♦Q, ♣K, ♥8, ♦8, ♥10 | pair
♦Q, ♣K, ♥8, ♦8, ♥9 | pair
♦Q, ♣10, ♠Q, ♣6, ♦7 | pair
♦Q, ♣10, ♠Q, ♣6, ♦3 | pair
♦Q, ♣10, ♠Q, ♣6, ♥8 | pair
♦Q, ♣10, ♠Q, ♣6, ♦8 | pair
♦Q, ♣10, ♠Q, ♣6, ♥10 | two pairs
♦Q, ♣10, ♠Q, ♣6, ♥9 | pair
♦Q, ♣10, ♠Q, ♦7, ♦3 | pair
♦Q, ♣10, ♠Q, ♦7, ♥8 | pair
♦Q, ♣10, ♠Q, ♦7, ♦8 | pair
♦Q, ♣10, ♠Q, ♦7, ♥10 | two pairs
♦Q, ♣10, ♠Q, ♦7, ♥9 | pair
♦Q, ♣10, ♠Q, ♦3, ♥8 | pair
♦Q, ♣10, ♠Q, ♦3, ♦8 | pair
♦Q, ♣10, ♠Q, ♦3, ♥10 | two pairs
♦Q, ♣10, ♠Q, ♦3, ♥9 | pair
♦Q, ♣10, ♠Q, ♥8, ♦8 | two pairs
♦Q, ♣10, ♠Q, ♥8, ♥10 | two pairs
♦Q, ♣10, ♠Q, ♥8, ♥9 | pair
♦Q, ♣10, ♠Q, ♦8, ♥10 | two pairs
♦Q, ♣10, ♠Q, ♦8, ♥9 | pair
♦Q, ♣10, ♠Q, ♥10, ♥9 | two pairs
♦Q, ♣10, ♣6, ♦7, ♥10 | pair
♦Q, ♣10, ♣6, ♦3, ♥10 | pair
♦Q, ♣10, ♣6, ♥8, ♦8 | pair
♦Q, ♣10, ♣6, ♥8, ♥10 | pair
♦Q, ♣10, ♣6, ♦8, ♥10 | pair
♦Q, ♣10, ♣6, ♥10, ♥9 | pair
♦Q, ♣10, ♦7, ♦3, ♥10 | pair
♦Q, ♣10, ♦7, ♥8, ♦8 | pair
♦Q, ♣10, ♦7, ♥8, ♥10 | pair
♦Q, ♣10, ♦7, ♦8, ♥10 | pair
♦Q, ♣10, ♦7, ♥10, ♥9 | pair
♦Q, ♣10, ♦3, ♥8, ♦8 | pair
♦Q, ♣10, ♦3, ♥8, ♥10 | pair
♦Q, ♣10, ♦3, ♦8, ♥10 | pair
♦Q, ♣10, ♦3, ♥10, ♥9 | pair
♦Q, ♣10, ♥8, ♦8, ♥10 | two pairs
♦Q, ♣10, ♥8, ♦8, ♥9 | pair
♦Q, ♣10, ♥8, ♥10, ♥9 | pair
♦Q, ♣10, ♦8, ♥10, ♥9 | pair
♦Q, ♠Q, ♣6, ♦7, ♦3 | pair
♦Q, ♠Q, ♣6, ♦7, ♥8 | pair
♦Q, ♠Q, ♣6, ♦7, ♦8 | pair
♦Q, ♠Q, ♣6, ♦7, ♥10 | pair
♦Q, ♠Q, ♣6, ♦7, ♥9 | pair
♦Q, ♠Q, ♣6, ♦3, ♥8 | pair
♦Q, ♠Q, ♣6, ♦3, ♦8 | pair
♦Q, ♠Q, ♣6, ♦3, ♥10 | pair
♦Q, ♠Q, ♣6, ♦3, ♥9 | pair
♦Q, ♠Q, ♣6, ♥8, ♦8 | two pairs
♦Q, ♠Q, ♣6, ♥8, ♥10 | pair
♦Q, ♠Q, ♣6, ♥8, ♥9 | pair
♦Q, ♠Q, ♣6, ♦8, ♥10 | pair
♦Q, ♠Q, ♣6, ♦8, ♥9 | pair
♦Q, ♠Q, ♣6, ♥10, ♥9 | pair
♦Q, ♠Q, ♦7, ♦3, ♥8 | pair
♦Q, ♠Q, ♦7, ♦3, ♦8 | pair
♦Q, ♠Q, ♦7, ♦3, ♥10 | pair
♦Q, ♠Q, ♦7, ♦3, ♥9 | pair
♦Q, ♠Q, ♦7, ♥8, ♦8 | two pairs
♦Q, ♠Q, ♦7, ♥8, ♥10 | pair
♦Q, ♠Q, ♦7, ♥8, ♥9 | pair
♦Q, ♠Q, ♦7, ♦8, ♥10 | pair
♦Q, ♠Q, ♦7, ♦8, ♥9 | pair
♦Q, ♠Q, ♦7, ♥10, ♥9 | pair
♦Q, ♠Q, ♦3, ♥8, ♦8 | two pairs
♦Q, ♠Q, ♦3, ♥8, ♥10 | pair
♦Q, ♠Q, ♦3, ♥8, ♥9 | pair
♦Q, ♠Q, ♦3, ♦8, ♥10 | pair
♦Q, ♠Q, ♦3, ♦8, ♥9 | pair
♦Q, ♠Q, ♦3, ♥10, ♥9 | pair
♦Q, ♠Q, ♥8, ♦8, ♥10 | two pairs
♦Q, ♠Q, ♥8, ♦8, ♥9 | two pairs
♦Q, ♠Q, ♥8, ♥10, ♥9 | pair
♦Q, ♠Q, ♦8, ♥10, ♥9 | pair
♦Q, ♣6, ♦7, ♥8, ♦8 | pair
♦Q, ♣6, ♦3, ♥8, ♦8 | pair
♦Q, ♣6, ♥8, ♦8, ♥10 | pair
♦Q, ♣6, ♥8, ♦8, ♥9 | pair
♦Q, ♦7, ♦3, ♥8, ♦8 | pair
♦Q, ♦7, ♥8, ♦8, ♥10 | pair
♦Q, ♦7, ♥8, ♦8, ♥9 | pair
♦Q, ♦3, ♥8, ♦8, ♥10 | pair
♦Q, ♦3, ♥8, ♦8, ♥9 | pair
♦Q, ♥8, ♦8, ♥10, ♥9 | pair
♣5, ♠A, ♦8, ♣K, ♥8 | pair
♣5, ♠A, ♦8, ♣K, ♦8 | pair
♣5, ♠A, ♦8, ♣10, ♥8 | pair
♣5, ♠A, ♦8, ♣10, ♦8 | pair
♣5, ♠A, ♦8, ♣10, ♥10 | pair
♣5, ♠A, ♦8, ♠Q, ♥8 | pair
♣5, ♠A, ♦8, ♠Q, ♦8 | pair
♣5, ♠A, ♦8, ♣6, ♥8 | pair
♣5, ♠A, ♦8, ♣6, ♦8 | pair
♣5, ♠A, ♦8, ♦7, ♥8 | pair
♣5, ♠A, ♦8, ♦7, ♦8 | pair
♣5, ♠A, ♦8, ♦3, ♥8 | pair
♣5, ♠A, ♦8, ♦3, ♦8 | pair
♣5, ♠A, ♦8, ♥8, ♦8 | three of a kind
♣5, ♠A, ♦8, ♥8, ♥10 | pair
♣5, ♠A, ♦8, ♥8, ♥9 | pair
♣5, ♠A, ♦8, ♦8, ♥10 | pair
♣5, ♠A, ♦8, ♦8, ♥9 | pair
♣5, ♠A, ♣K, ♣10, ♥10 | pair
♣5, ♠A, ♣K, ♥8, ♦8 | pair
♣5, ♠A, ♣10, ♠Q, ♥10 | pair
♣5, ♠A, ♣10, ♣6, ♥10 | pair
♣5, ♠A, ♣10, ♦7, ♥10 | pair
♣5, ♠A, ♣10, ♦3, ♥10 | pair
♣5, ♠A, ♣10, ♥8, ♦8 | pair
♣5, ♠A, ♣10, ♥8, ♥10 | pair
♣5, ♠A, ♣10, ♦8, ♥10 | pair
♣5, ♠A, ♣10, ♥10, ♥9 | pair
♣5, ♠A, ♠Q, ♥8, ♦8 | pair
♣5, ♠A, ♣6, ♥8, ♦8 | pair
♣5, ♠A, ♦7, ♥8, ♦8 | pair
♣5, ♠A, ♦3, ♥8, ♦8 | pair
♣5, ♠A, ♥8, ♦8, ♥10 | pair
♣5, ♠A, ♥8, ♦8, ♥9 | pair
♣5, ♦8, ♣K, ♣10, ♥8 | pair
♣5, ♦8, ♣K, ♣10, ♦8 | pair
♣5, ♦8, ♣K, ♣10, ♥10 | pair
♣5, ♦8, ♣K, ♠Q, ♥8 | pair
♣5, ♦8, ♣K, ♠Q, ♦8 | pair
♣5, ♦8, ♣K, ♣6, ♥8 | pair
♣5, ♦8, ♣K, ♣6, ♦8 | pair
♣5, ♦8, ♣K, ♦7, ♥8 | pair
♣5, ♦8, ♣K, ♦7, ♦8 | pair
♣5, ♦8, ♣K, ♦3, ♥8 | pair
♣5, ♦8, ♣K, ♦3, ♦8 | pair
♣5, ♦8, ♣K, ♥8, ♦8 | three of a kind
♣5, ♦8, ♣K, ♥8, ♥10 | pair
♣5, ♦8, ♣K, ♥8, ♥9 | pair
♣5, ♦8, ♣K, ♦8, ♥10 | pair
♣5, ♦8, ♣K, ♦8, ♥9 | pair
♣5, ♦8, ♣10, ♠Q, ♥8 | pair
♣5, ♦8, ♣10, ♠Q, ♦8 | pair
♣5, ♦8, ♣10, ♠Q, ♥10 | pair
♣5, ♦8, ♣10, ♣6, ♥8 | pair
♣5, ♦8, ♣10, ♣6, ♦8 | pair
♣5, ♦8, ♣10, ♣6, ♥10 | pair
♣5, ♦8, ♣10, ♦7, ♥8 | pair
♣5, ♦8, ♣10, ♦7, ♦8 | pair
♣5, ♦8, ♣10, ♦7, ♥10 | pair
♣5, ♦8, ♣10, ♦3, ♥8 | pair
♣5, ♦8, ♣10, ♦3, ♦8 | pair
♣5, ♦8, ♣10, ♦3, ♥10 | pair
♣5, ♦8, ♣10, ♥8, ♦8 | three of a kind
♣5, ♦8, ♣10, ♥8, ♥10 | two pairs
♣5, ♦8, ♣10, ♥8, ♥9 | pair
♣5, ♦8, ♣10, ♦8, ♥10 | two pairs
♣5, ♦8, ♣10, ♦8, ♥9 | pair
♣5, ♦8, ♣10, ♥10, ♥9 | pair
♣5, ♦8, ♠Q, ♣6, ♥8 | pair
♣5, ♦8, ♠Q, ♣6, ♦8 | pair
♣5, ♦8, ♠Q, ♦7, ♥8 | pair
♣5, ♦8, ♠Q, ♦7, ♦8 | pair
♣5, ♦8, ♠Q, ♦3, ♥8 | pair
♣5, ♦8, ♠Q, ♦3, ♦8 | pair
♣5, ♦8, ♠Q, ♥8, ♦8 | three of a kind
♣5, ♦8, ♠Q, ♥8, ♥10 | pair
♣5, ♦8, ♠Q, ♥8, ♥9 | pair
♣5, ♦8, ♠Q, ♦8, ♥10 | pair
♣5, ♦8, ♠Q, ♦8, ♥9 | pair
♣5, ♦8, ♣6, ♦7, ♥8 | pair
♣5, ♦8, ♣6, ♦7, ♦8 | pair
♣5, ♦8, ♣6, ♦7, ♥9 | straight
♣5, ♦8, ♣6, ♦3, ♥8 | pair
♣5, ♦8, ♣6, ♦3, ♦8 | pair
♣5, ♦8, ♣6, ♥8, ♦8 | three of a kind
♣5, ♦8, ♣6, ♥8, ♥10 | pair
♣5, ♦8, ♣6, ♥8, ♥9 | pair
♣5, ♦8, ♣6, ♦8, ♥10 | pair
♣5, ♦8, ♣6, ♦8, ♥9 | pair
♣5, ♦8, ♦7, ♦3, ♥8 | pair
♣5, ♦8, ♦7, ♦3, ♦8 | pair
♣5, ♦8, ♦7, ♥8, ♦8 | three of a kind
♣5, ♦8, ♦7, ♥8, ♥10 | pair
