♦6, ♦K, ♥A, ♦10, ♥6 | pair
♦6, ♥A, ♥2, ♥6, ♠6 | three of a kind
♦6, ♥A, ♥2, ♣A, ♠6 | two pairs
♦6, ♥A, ♥7, ♣9, ♥6 | pair
♦6, ♥A, ♥7, ♣9, ♣A | pair
♦6, ♥A, ♥7, ♣9, ♠6 | pair
♦6, ♥A, ♥7, ♠2, ♥6 | pair
♦6, ♥A, ♥7, ♠2, ♣A | pair
♦6, ♥A, ♥7, ♠2, ♠6 | pair
♦6, ♥A, ♥7, ♠3, ♥6 | pair
♦6, ♥A, ♥7, ♠3, ♣A | pair
♦6, ♥A, ♥7, ♠3, ♠6 | pair
♦6, ♥A, ♥7, ♥6, ♣A | two pairs
♦6, ♥A, ♥7, ♥6, ♠6 | three of a kind
♦6, ♥A, ♥7, ♣A, ♠6 | two pairs
♦6, ♥A, ♣9, ♠2, ♥6 | pair
♦6, ♥A, ♣9, ♠2, ♣A | pair
♦6, ♥A, ♣9, ♠2, ♠6 | pair
♦6, ♥A, ♣9, ♠3, ♥6 | pair
♦6, ♥A, ♣9, ♠3, ♣A | pair
♦6, ♥A, ♣9, ♠3, ♠6 | pair
♦6, ♥A, ♣9, ♥6, ♣A | two pairs
♦6, ♥A, ♣9, ♥6, ♠6 | three of a kind
♦6, ♥A, ♣9, ♣A, ♠6 | two pairs
♦6, ♥A, ♠2, ♠3, ♥6 | pair
♦6, ♥A, ♠2, ♠3, ♣A | pair
♦6, ♥A, ♠2, ♠3, ♠6 | pair
♦6, ♥A, ♠2, ♥6, ♣A | two pairs
♦6, ♥A, ♠2, ♥6, ♠6 | three of a kind
♦6, ♥A, ♠2, ♣A, ♠6 | two pairs
♦6, ♥A, ♠3, ♥6, ♣A | two pairs
♦6, ♥A, ♠3, ♥6, ♠6 | three of a kind
♦6, ♥A, ♠3, ♣A, ♠6 | two pairs
♦6, ♥A, ♥6, ♣A, ♠6 | fullhouse
♦6, ♦10, ♥2, ♥7, ♠2 | pair
♦6, ♦10, ♥2, ♥7, ♥6 | pair
♦6, ♦10, ♥2, ♥7, ♠6 | pair
♦6, ♦10, ♥2, ♣9, ♠2 | pair
♦6, ♦10, ♥2, ♣9, ♥6 | pair
♦6, ♦10, ♥2, ♣9, ♠6 | pair
♦6, ♦10, ♥2, ♠2, ♠3 | pair
♦6, ♦10, ♥2, ♠2, ♥6 | two pairs
♦6, ♦10, ♥2, ♠2, ♣A | pair
♦6, ♦10, ♥2, ♠2, ♠6 | two pairs
♦6, ♦10, ♥2, ♠3, ♥6 | pair
♦6, ♦10, ♥2, ♠3, ♠6 | pair
♦6, ♦10, ♥2, ♥6, ♣A | pair
♦6, ♦10, ♥2, ♥6, ♠6 | three of a kind
♦6, ♦10, ♥2, ♣A, ♠6 | pair
♦6, ♦10, ♥7, ♣9, ♥6 | pair
♦6, ♦10, ♥7, ♣9, ♠6 | pair
♦6, ♦10, ♥7, ♠2, ♥6 | pair
♦6, ♦10, ♥7, ♠2, ♠6 | pair
♦6, ♦10, ♥7, ♠3, ♥6 | pair
♦6, ♦10, ♥7, ♠3, ♠6 | pair
♦6, ♦10, ♥7, ♥6, ♣A | pair
♦6, ♦10, ♥7, ♥6, ♠6 | three of a kind
♦6, ♦10, ♥7, ♣A, ♠6 | pair
♦6, ♦10, ♣9, ♠2, ♥6 | pair
♦6, ♦10, ♣9, ♠2, ♠6 | pair
♦6, ♦10, ♣9, ♠3, ♥6 | pair
♦6, ♦10, ♣9, ♠3, ♠6 | pair
♦6, ♦10, ♣9, ♥6, ♣A | pair
♦6, ♦10, ♣9, ♥6, ♠6 | three of a kind
♦6, ♦10, ♣9, ♣A, ♠6 | pair
♦6, ♦10, ♠2, ♠3, ♥6 | pair
♦6, ♦10, ♠2, ♠3, ♠6 | pair
♦6, ♦10, ♠2, ♥6, ♣A | pair
♦6, ♦10, ♠2, ♥6, ♠6 | three of a kind
♦6, ♦10, ♠2, ♣A, ♠6 | pair
♦6, ♦10, ♠3, ♥6, ♣A | pair
♦6, ♦10, ♠3, ♥6, ♠6 | three of a kind
♦6, ♦10, ♠3, ♣A, ♠6 | pair
♦6, ♦10, ♥6, ♣A, ♠6 | three of a kind
♦6, ♥2, ♥7, ♣9, ♠2 | pair
♦6, ♥2, ♥7, ♣9, ♥6 | pair
♦6, ♥2, ♥7, ♣9, ♠6 | pair
♦6, ♥2, ♥7, ♠2, ♠3 | pair
♦6, ♥2, ♥7, ♠2, ♥6 | two pairs
♦6, ♥2, ♥7, ♠2, ♣A | pair
♦6, ♥2, ♥7, ♠2, ♠6 | two pairs
♦6, ♥2, ♥7, ♠3, ♥6 | pair
♦6, ♥2, ♥7, ♠3, ♠6 | pair
♦6, ♥2, ♥7, ♥6, ♣A | pair
♦6, ♥2, ♥7, ♥6, ♠6 | three of a kind
♦6, ♥2, ♥7, ♣A, ♠6 | pair
♦6, ♥2, ♣9, ♠2, ♠3 | pair
♦6, ♥2, ♣9, ♠2, ♥6 | two pairs
♦6, ♥2, ♣9, ♠2, ♣A | pair
♦6, ♥2, ♣9, ♠2, ♠6 | two pairs
♦6, ♥2, ♣9, ♠3, ♥6 | pair
♦6, ♥2, ♣9, ♠3, ♠6 | pair
♦6, ♥2, ♣9, ♥6, ♣A | pair
♦6, ♥2, ♣9, ♥6, ♠6 | three of a kind
♦6, ♥2, ♣9, ♣A, ♠6 | pair
♦6, ♥2, ♠2, ♠3, ♥6 | two pairs
♦6, ♥2, ♠2, ♠3, ♣A | pair
♦6, ♥2, ♠2, ♠3, ♠6 | two pairs
♦6, ♥2, ♠2, ♥6, ♣A | two pairs
♦6, ♥2, ♠2, ♥6, ♠6 | fullhouse
♦6, ♥2, ♠2, ♣A, ♠6 | two pairs
♦6, ♥2, ♠3, ♥6, ♣A | pair
♦6, ♥2, ♠3, ♥6, ♠6 | three of a kind
♦6, ♥2, ♠3, ♣A, ♠6 | pair
♦6, ♥2, ♥6, ♣A, ♠6 | three of a kind
♦6, ♥7, ♣9, ♠2, ♥6 | pair
♦6, ♥7, ♣9, ♠2, ♠6 | pair
♦6, ♥7, ♣9, ♠3, ♥6 | pair
♦6, ♥7, ♣9, ♠3, ♠6 | pair
♦6, ♥7, ♣9, ♥6, ♣A | pair
♦6, ♥7, ♣9, ♥6, ♠6 | three of a kind
♦6, ♥7, ♣9, ♣A, ♠6 | pair
♦6, ♥7, ♠2, ♠3, ♥6 | pair
♦6, ♥7, ♠2, ♠3, ♠6 | pair
♦6, ♥7, ♠2, ♥6, ♣A | pair
♦6, ♥7, ♠2, ♥6, ♠6 | three of a kind
♦6, ♥7, ♠2, ♣A, ♠6 | pair
♦6, ♥7, ♠3, ♥6, ♣A | pair
♦6, ♥7, ♠3, ♥6, ♠6 | three of a kind
♦6, ♥7, ♠3, ♣A, ♠6 | pair
♦6, ♥7, ♥6, ♣A, ♠6 | three of a kind
♦6, ♣9, ♠2, ♠3, ♥6 | pair
♦6, ♣9, ♠2, ♠3, ♠6 | pair
♦6, ♣9, ♠2, ♥6, ♣A | pair
♦6, ♣9, ♠2, ♥6, ♠6 | three of a kind
♦6, ♣9, ♠2, ♣A, ♠6 | pair
♦6, ♣9, ♠3, ♥6, ♣A | pair
♦6, ♣9, ♠3, ♥6, ♠6 | three of a kind
♦6, ♣9, ♠3, ♣A, ♠6 | pair
♦6, ♣9, ♥6, ♣A, ♠6 | three of a kind
♦6, ♠2, ♠3, ♥6, ♣A | pair
♦6, ♠2, ♠3, ♥6, ♠6 | three of a kind
♦6, ♠2, ♠3, ♣A, ♠6 | pair
♦6, ♠2, ♥6, ♣A, ♠6 | three of a kind
♦6, ♠3, ♥6, ♣A, ♠6 | three of a kind
♦K, ♥A, ♦10, ♥2, ♠2 | pair
♦K, ♥A, ♦10, ♥2, ♣A | pair
♦K, ♥A, ♦10, ♥7, ♣A | pair
♦K, ♥A, ♦10, ♣9, ♣A | pair
♦K, ♥A, ♦10, ♠2, ♣A | pair
♦K, ♥A, ♦10, ♠3, ♣A | pair
♦K, ♥A, ♦10, ♥6, ♣A | pair
♦K, ♥A, ♦10, ♥6, ♠6 | pair
♦K, ♥A, ♦10, ♣A, ♠6 | pair
♦K, ♥A, ♥2, ♥7, ♠2 | pair
♦K, ♥A, ♥2, ♥7, ♣A | pair
♦K, ♥A, ♥2, ♣9, ♠2 | pair
♦K, ♥A, ♥2, ♣9, ♣A | pair
♦K, ♥A, ♥2, ♠2, ♠3 | pair
♦K, ♥A, ♥2, ♠2, ♥6 | pair
♦K, ♥A, ♥2, ♠2, ♣A | two pairs
♦K, ♥A, ♥2, ♠2, ♠6 | pair
♦K, ♥A, ♥2, ♠3, ♣A | pair
♦K, ♥A, ♥2, ♥6, ♣A | pair
♦K, ♥A, ♥2, ♥6, ♠6 | pair
♦K, ♥A, ♥2, ♣A, ♠6 | pair
♦K, ♥A, ♥7, ♣9, ♣A | pair
♦K, ♥A, ♥7, ♠2, ♣A | pair
♦K, ♥A, ♥7, ♠3, ♣A | pair
♦K, ♥A, ♥7, ♥6, ♣A | pair
♦K, ♥A, ♥7, ♥6, ♠6 | pair
♦K, ♥A, ♥7, ♣A, ♠6 | pair
♦K, ♥A, ♣9, ♠2, ♣A | pair
♦K, ♥A, ♣9, ♠3, ♣A | pair
♦K, ♥A, ♣9, ♥6, ♣A | pair
♦K, ♥A, ♣9, ♥6, ♠6 | pair
♦K, ♥A, ♣9, ♣A, ♠6 | pair
♦K, ♥A, ♠2, ♠3, ♣A | pair
♦K, ♥A, ♠2, ♥6, ♣A | pair
♦K, ♥A, ♠2, ♥6, ♠6 | pair
♦K, ♥A, ♠2, ♣A, ♠6 | pair
♦K, ♥A, ♠3, ♥6, ♣A | pair
♦K, ♥A, ♠3, ♥6, ♠6 | pair
♦K, ♥A, ♠3, ♣A, ♠6 | pair
♦K, ♥A, ♥6, ♣A, ♠6 | two pairs
♦K, ♦10, ♥2, ♥7, ♠2 | pair
♦K, ♦10, ♥2, ♣9, ♠2 | pair
♦K, ♦10, ♥2, ♠2, ♠3 | pair
♦K, ♦10, ♥2, ♠2, ♥6 | pair
♦K, ♦10, ♥2, ♠2, ♣A | pair
♦K, ♦10, ♥2, ♠2, ♠6 | pair
♦K, ♦10, ♥2, ♥6, ♠6 | pair
♦K, ♦10, ♥7, ♥6, ♠6 | pair
♦K, ♦10, ♣9, ♥6, ♠6 | pair
♦K, ♦10, ♠2, ♥6, ♠6 | pair
♦K, ♦10, ♠3, ♥6, ♠6 | pair
♦K, ♦10, ♥6, ♣A, ♠6 | pair
♦K, ♥2, ♥7, ♣9, ♠2 | pair
♦K, ♥2, ♥7, ♠2, ♠3 | pair
♦K, ♥2, ♥7, ♠2, ♥6 | pair
♦K, ♥2, ♥7, ♠2, ♣A | pair
♦K, ♥2, ♥7, ♠2, ♠6 | pair
♦K, ♥2, ♥7, ♥6, ♠6 | pair
♦K, ♥2, ♣9, ♠2, ♠3 | pair
♦K, ♥2, ♣9, ♠2, ♥6 | pair
♦K, ♥2, ♣9, ♠2, ♣A | pair
♦K, ♥2, ♣9, ♠2, ♠6 | pair
♦K, ♥2, ♣9, ♥6, ♠6 | pair
♦K, ♥2, ♠2, ♠3, ♥6 | pair
♦K, ♥2, ♠2, ♠3, ♣A | pair
♦K, ♥2, ♠2, ♠3, ♠6 | pair
♦K, ♥2, ♠2, ♥6, ♣A | pair
♦K, ♥2, ♠2, ♥6, ♠6 | two pairs
♦K, ♥2, ♠2, ♣A, ♠6 | pair
♦K, ♥2, ♠3, ♥6, ♠6 | pair
♦K, ♥2, ♥6, ♣A, ♠6 | pair
♦K, ♥7, ♣9, ♥6, ♠6 | pair
♦K, ♥7, ♠2, ♥6, ♠6 | pair
♦K, ♥7, ♠3, ♥6, ♠6 | pair
♦K, ♥7, ♥6, ♣A, ♠6 | pair
♦K, ♣9, ♠2, ♥6, ♠6 | pair
♦K, ♣9, ♠3, ♥6, ♠6 | pair
♦K, ♣9, ♥6, ♣A, ♠6 | pair
♦K, ♠2, ♠3, ♥6, ♠6 | pair
♦K, ♠2, ♥6, ♣A, ♠6 | pair
♦K, ♠3, ♥6, ♣A, ♠6 | pair
♥A, ♦10, ♥2, ♥7, ♠2 | pair
♥A, ♦10, ♥2, ♥7, ♣A | pair
♥A, ♦10, ♥2, ♣9, ♠2 | pair
♥A, ♦10, ♥2, ♣9, ♣A | pair
♥A, ♦10, ♥2, ♠2, ♠3 | pair
♥A, ♦10, ♥2, ♠2, ♥6 | pair
♥A, ♦10, ♥2, ♠2, ♣A | two pairs
♥A, ♦10, ♥2, ♠2, ♠6 | pair
♥A, ♦10, ♥2, ♠3, ♣A | pair
♥A, ♦10, ♥2, ♥6, ♣A | pair
♥A, ♦10, ♥2, ♥6, ♠6 | pair
♥A, ♦10, ♥2, ♣A, ♠6 | pair
♥A, ♦10, ♥7, ♣9, ♣A | pair
♥A, ♦10, ♥7, ♠2, ♣A | pair
♥A, ♦10, ♥7, ♠3, ♣A | pair
♥A, ♦10, ♥7, ♥6, ♣A | pair
♥A, ♦10, ♥7, ♥6, ♠6 | pair
♥A, ♦10, ♥7, ♣A, ♠6 | pair
♥A, ♦10, ♣9, ♠2, ♣A | pair
♥A, ♦10, ♣9, ♠3, ♣A | pair
♥A, ♦10, ♣9, ♥6, ♣A | pair
♥A, ♦10, ♣9, ♥6, ♠6 | pair
♥A, ♦10, ♣9, ♣A, ♠6 | pair
♥A, ♦10, ♠2, ♠3, ♣A | pair
♥A, ♦10, ♠2, ♥6, ♣A | pair
♥A, ♦10, ♠2, ♥6, ♠6 | pair
♥A, ♦10, ♠2, ♣A, ♠6 | pair
♥A, ♦10, ♠3, ♥6, ♣A | pair
♥A, ♦10, ♠3, ♥6, ♠6 | pair
♥A, ♦10, ♠3, ♣A, ♠6 | pair
♥A, ♦10, ♥6, ♣A, ♠6 | two pairs
♥A, ♥2, ♥7, ♣9, ♠2 | pair
♥A, ♥2, ♥7, ♣9, ♣A | pair
♥A, ♥2, ♥7, ♠2, ♠3 | pair
♥A, ♥2, ♥7, ♠2, ♥6 | pair
♥A, ♥2, ♥7, ♠2, ♣A | two pairs
♥A, ♥2, ♥7, ♠2, ♠6 | pair
♥A, ♥2, ♥7, ♠3, ♣A | pair
♥A, ♥2, ♥7, ♥6, ♣A | pair
♥A, ♥2, ♥7, ♥6, ♠6 | pair
♥A, ♥2, ♥7, ♣A, ♠6 | pair
♥A, ♥2, ♣9, ♠2, ♠3 | pair
♥A, ♥2, ♣9, ♠2, ♥6 | pair
♥A, ♥2, ♣9, ♠2, ♣A | two pairs
♥A, ♥2, ♣9, ♠2, ♠6 | pair
♥A, ♥2, ♣9, ♠3, ♣A | pair
♥A, ♥2, ♣9, ♥6, ♣A | pair
♥A, ♥2, ♣9, ♥6, ♠6 | pair
♥A, ♥2, ♣9, ♣A, ♠6 | pair
♥A, ♥2, ♠2, ♠3, ♥6 | pair
♥A, ♥2, ♠2, ♠3, ♣A | two pairs
♥A, ♥2, ♠2, ♠3, ♠6 | pair
♥A, ♥2, ♠2, ♥6, ♣A | two pairs
♥A, ♥2, ♠2, ♥6, ♠6 | two pairs
♥A, ♥2, ♠2, ♣A, ♠6 | two pairs
♥A, ♥2, ♠3, ♥6, ♣A | pair
♥A, ♥2, ♠3, ♥6, ♠6 | pair
♥A, ♥2, ♠3, ♣A, ♠6 | pair
♥A, ♥2, ♥6, ♣A, ♠6 | two pairs
♥A, ♥7, ♣9, ♠2, ♣A | pair
♥A, ♥7, ♣9, ♠3, ♣A | pair
♥A, ♥7, ♣9, ♥6, ♣A | pair
♥A, ♥7, ♣9, ♥6, ♠6 | pair
♥A, ♥7, ♣9, ♣A, ♠6 | pair
♥A, ♥7, ♠2, ♠3, ♣A | pair
♥A, ♥7, ♠2, ♥6, ♣A | pair
♥A, ♥7, ♠2, ♥6, ♠6 | pair
♥A, ♥7, ♠2, ♣A, ♠6 | pair
♥A, ♥7, ♠3, ♥6, ♣A | pair
♥A, ♥7, ♠3, ♥6, ♠6 | pair
♥A, ♥7, ♠3, ♣A, ♠6 | pair
♥A, ♥7, ♥6, ♣A, ♠6 | two pairs
♥A, ♣9, ♠2, ♠3, ♣A | pair
♥A, ♣9, ♠2, ♥6, ♣A | pair
♥A, ♣9, ♠2, ♥6, ♠6 | pair
♥A, ♣9, ♠2, ♣A, ♠6 | pair
♥A, ♣9, ♠3, ♥6, ♣A | pair
♥A, ♣9, ♠3, ♥6, ♠6 | pair
♥A, ♣9, ♠3, ♣A, ♠6 | pair
♥A, ♣9, ♥6, ♣A, ♠6 | two pairs
♥A, ♠2, ♠3, ♥6, ♣A | pair
♥A, ♠2, ♠3, ♥6, ♠6 | pair
♥A, ♠2, ♠3, ♣A, ♠6 | pair
♥A, ♠2, ♥6, ♣A, ♠6 | two pairs
♥A, ♠3, ♥6, ♣A, ♠6 | two pairs
♦10, ♥2, ♥7, ♣9, ♠2 | pair
♦10, ♥2, ♥7, ♠2, ♠3 | pair
♦10, ♥2, ♥7, ♠2, ♥6 | pair
♦10, ♥2, ♥7, ♠2, ♣A | pair
♦10, ♥2, ♥7, ♠2, ♠6 | pair
♦10, ♥2, ♥7, ♥6, ♠6 | pair
♦10, ♥2, ♣9, ♠2, ♠3 | pair
♦10, ♥2, ♣9, ♠2, ♥6 | pair
♦10, ♥2, ♣9, ♠2, ♣A | pair
♦10, ♥2, ♣9, ♠2, ♠6 | pair
♦10, ♥2, ♣9, ♥6, ♠6 | pair
♦10, ♥2, ♠2, ♠3, ♥6 | pair
♦10, ♥2, ♠2, ♠3, ♣A | pair
♦10, ♥2, ♠2, ♠3, ♠6 | pair
♦10, ♥2, ♠2, ♥6, ♣A | pair
♦10, ♥2, ♠2, ♥6, ♠6 | two pairs
♦10, ♥2, ♠2, ♣A, ♠6 | pair
♦10, ♥2, ♠3, ♥6, ♠6 | pair
♦10, ♥2, ♥6, ♣A, ♠6 | pair
♦10, ♥7, ♣9, ♥6, ♠6 | pair
♦10, ♥7, ♠2, ♥6, ♠6 | pair
♦10, ♥7, ♠3, ♥6, ♠6 | pair
♦10, ♥7, ♥6, ♣A, ♠6 | pair
♦10, ♣9, ♠2, ♥6, ♠6 | pair
♦10, ♣9, ♠3, ♥6, ♠6 | pair
♦10, ♣9, ♥6, ♣A, ♠6 | pair
♦10, ♠2, ♠3, ♥6, ♠6 | pair
♦10, ♠2, ♥6, ♣A, ♠6 | pair
♦10, ♠3, ♥6, ♣A, ♠6 | pair
♥2, ♥7, ♣9, ♠2, ♠3 | pair
♥2, ♥7, ♣9, ♠2, ♥6 | pair
♥2, ♥7, ♣9, ♠2, ♣A | pair
♥2, ♥7, ♣9, ♠2, ♠6 | pair
♥2, ♥7, ♣9, ♥6, ♠6 | pair
♥2, ♥7, ♠2, ♠3, ♥6 | pair
♥2, ♥7, ♠2, ♠3, ♣A | pair
♥2, ♥7, ♠2, ♠3, ♠6 | pair
♥2, ♥7, ♠2, ♥6, ♣A | pair
♥2, ♥7, ♠2, ♥6, ♠6 | two pairs
♥2, ♥7, ♠2, ♣A, ♠6 | pair
♥2, ♥7, ♠3, ♥6, ♠6 | pair
♥2, ♥7, ♥6, ♣A, ♠6 | pair
♥2, ♣9, ♠2, ♠3, ♥6 | pair
♥2, ♣9, ♠2, ♠3, ♣A | pair
♥2, ♣9, ♠2, ♠3, ♠6 | pair
♥2, ♣9, ♠2, ♥6, ♣A | pair
♥2, ♣9, ♠2, ♥6, ♠6 | two pairs
♥2, ♣9, ♠2, ♣A, ♠6 | pair
♥2, ♣9, ♠3, ♥6, ♠6 | pair
♥2, ♣9, ♥6, ♣A, ♠6 | pair
♥2, ♠2, ♠3, ♥6, ♣A | pair
♥2, ♠2, ♠3, ♥6, ♠6 | two pairs
♥2, ♠2, ♠3, ♣A, ♠6 | pair
♥2, ♠2, ♥6, ♣A, ♠6 | two pairs
♥2, ♠3, ♥6, ♣A, ♠6 | pair
♥7, ♣9, ♠2, ♥6, ♠6 | pair
♥7, ♣9, ♠3, ♥6, ♠6 | pair
♥7, ♣9, ♥6, ♣A, ♠6 | pair
♥7, ♠2, ♠3, ♥6, ♠6 | pair
♥7, ♠2, ♥6, ♣A, ♠6 | pair
♥7, ♠3, ♥6, ♣A, ♠6 | pair
♣9, ♠2, ♠3, ♥6, ♠6 | pair
♣9, ♠2, ♥6, ♣A, ♠6 | pair
♣9, ♠3, ♥6, ♣A, ♠6 | pair
♠2, ♠3, ♥6, ♣A, ♠6 | pair
