♣7, ♦7, ♠A, ♣5, ♦6 | pair
♦6, ♣6, ♦5, ♥9, ♣2 | pair
♦6, ♣6, ♥K, ♥2, ♦Q | pair
♦6, ♣6, ♥K, ♥2, ♥9 | pair
♦6, ♣6, ♥K, ♥2, ♣2 | two pairs
♦6, ♣6, ♥K, ♦Q, ♥9 | pair
♦6, ♣6, ♥K, ♦Q, ♣2 | pair
♦6, ♣6, ♥K, ♥9, ♣2 | pair
♦6, ♣6, ♥2, ♦Q, ♥9 | pair
♦6, ♣6, ♥2, ♦Q, ♣2 | two pairs
♦6, ♣6, ♥2, ♥9, ♣2 | two pairs
♦6, ♣6, ♦Q, ♥9, ♣2 | pair
♦6, ♦5, ♥K, ♥2, ♣2 | pair
♦6, ♦5, ♥2, ♦Q, ♣2 | pair
♦6, ♦5, ♥2, ♥9, ♣2 | pair
♦6, ♥K, ♥2, ♦Q, ♣2 | pair
♦6, ♥K, ♥2, ♥9, ♣2 | pair
♦6, ♥2, ♦Q, ♥9, ♣2 | pair
♣6, ♦5, ♥K, ♥2, ♣2 | pair
♣6, ♦5, ♥2, ♦Q, ♣2 | pair
♣6, ♦5, ♥2, ♥9, ♣2 | pair
♣6, ♥K, ♥2, ♦Q, ♣2 | pair
♣6, ♥K, ♥2, ♥9, ♣2 | pair
♣6, ♥2, ♦Q, ♥9, ♣2 | pair
♦5, ♥K, ♥2, ♦Q, ♣2 | pair
♦5, ♥K, ♥2, ♥9, ♣2 | pair
♦5, ♥2, ♦Q, ♥9, ♣2 | pair
♥K, ♥2, ♦Q, ♥9, ♣2 | pair
