♥7, ♥7, ♦Q, ♥5, ♠A | pair
♥7, ♥7, ♦Q, ♥5, ♦5 | two pairs
♥7, ♥7, ♦Q, ♥5, ♣10 | pair
♥7, ♥7, ♦Q, ♥5, ♠J | pair
♥7, ♥7, ♦Q, ♥5, ♣3 | pair
♥7, ♥7, ♦Q, ♥5, ♣10 | pair
♥7, ♥7, ♦Q, ♥5, ♣5 | two pairs
♥7, ♥7, ♦Q, ♥5, ♠8 | pair
♥7, ♥7, ♦Q, ♠K, ♦5 | pair
♥7, ♥7, ♦Q, ♠K, ♣10 | pair
♥7, ♥7, ♦Q, ♠K, ♠J | pair
♥7, ♥7, ♦Q, ♠K, ♣3 | pair
♥7, ♥7, ♦Q, ♠K, ♣10 | pair
♥7, ♥7, ♦Q, ♠K, ♣5 | pair
♥7, ♥7, ♦Q, ♠K, ♠8 | pair
♥7, ♥7, ♦Q, ♦5, ♣10 | pair
♥7, ♥7, ♦Q, ♦5, ♠J | pair
♥7, ♥7, ♦Q, ♦5, ♣3 | pair
♥7, ♥7, ♦Q, ♦5, ♣10 | pair
♥7, ♥7, ♦Q, ♦5, ♣5 | two pairs
♥7, ♥7, ♦Q, ♦5, ♠8 | pair
♥7, ♥7, ♦Q, ♣10, ♠J | pair
♥7, ♥7, ♦Q, ♣10, ♣3 | pair
♥7, ♥7, ♦Q, ♣10, ♣10 | two pairs
♥7, ♥7, ♦Q, ♣10, ♣5 | pair
♥7, ♥7, ♦Q, ♣10, ♠8 | pair
♥7, ♥7, ♦Q, ♠J, ♣3 | pair
♥7, ♥7, ♦Q, ♠J, ♣10 | pair
♥7, ♥7, ♦Q, ♠J, ♣5 | pair
♥7, ♥7, ♦Q, ♠J, ♠8 | pair
♥7, ♥7, ♦Q, ♣3, ♣10 | pair
♥7, ♥7, ♦Q, ♣3, ♣5 | pair
♥7, ♥7, ♦Q, ♣3, ♠8 | pair
♥7, ♥7, ♦Q, ♣10, ♣5 | pair
♥7, ♥7, ♦Q, ♣10, ♠8 | pair
♥7, ♥7, ♦Q, ♣5, ♠8 | pair
♥7, ♥7, ♥5, ♠A, ♣K | pair
♥7, ♥7, ♥5, ♠A, ♣A | two pairs
♥7, ♥7, ♥5, ♠A, ♥5 | two pairs
♥7, ♥7, ♥5, ♠A, ♠K | pair
♥7, ♥7, ♥5, ♠A, ♦5 | two pairs
♥7, ♥7, ♥5, ♠A, ♣10 | pair
♥7, ♥7, ♥5, ♠A, ♠J | pair
♥7, ♥7, ♥5, ♠A, ♣3 | pair
♥7, ♥7, ♥5, ♠A, ♣10 | pair
♥7, ♥7, ♥5, ♠A, ♣5 | two pairs
♥7, ♥7, ♥5, ♠A, ♠8 | pair
♥7, ♥7, ♥5, ♣K, ♣A | pair
♥7, ♥7, ♥5, ♣K, ♥5 | two pairs
♥7, ♥7, ♥5, ♣K, ♠K | two pairs
♥7, ♥7, ♥5, ♣K, ♦5 | two pairs
♥7, ♥7, ♥5, ♣K, ♣10 | pair
♥7, ♥7, ♥5, ♣K, ♠J | pair
♥7, ♥7, ♥5, ♣K, ♣3 | pair
♥7, ♥7, ♥5, ♣K, ♣10 | pair
♥7, ♥7, ♥5, ♣K, ♣5 | two pairs
♥7, ♥7, ♥5, ♣K, ♠8 | pair
♥7, ♥7, ♥5, ♣A, ♥5 | two pairs
♥7, ♥7, ♥5, ♣A, ♠K | pair
♥7, ♥7, ♥5, ♣A, ♦5 | two pairs
♥7, ♥7, ♥5, ♣A, ♣10 | pair
♥7, ♥7, ♥5, ♣A, ♠J | pair
♥7, ♥7, ♥5, ♣A, ♣3 | pair
♥7, ♥7, ♥5, ♣A, ♣10 | pair
♥7, ♥7, ♥5, ♣A, ♣5 | two pairs
♥7, ♥7, ♥5, ♣A, ♠8 | pair
♥7, ♥7, ♥5, ♥5, ♠K | two pairs
♥7, ♥7, ♥5, ♥5, ♦5 | fullhouse
♥7, ♥7, ♥5, ♥5, ♣10 | two pairs
♥7, ♥7, ♥5, ♥5, ♠J | two pairs
♥7, ♥7, ♥5, ♥5, ♣3 | two pairs
♥7, ♥7, ♥5, ♥5, ♣10 | two pairs
♥7, ♥7, ♥5, ♥5, ♣5 | fullhouse
♥7, ♥7, ♥5, ♥5, ♠8 | two pairs
♥7, ♥7, ♥5, ♠K, ♦5 | two pairs
♥7, ♥7, ♥5, ♠K, ♣10 | pair
♥7, ♥7, ♥5, ♠K, ♠J | pair
♥7, ♥7, ♥5, ♠K, ♣3 | pair
♥7, ♥7, ♥5, ♠K, ♣10 | pair
♥7, ♥7, ♥5, ♠K, ♣5 | two pairs
♥7, ♥7, ♥5, ♠K, ♠8 | pair
♥7, ♥7, ♥5, ♦5, ♣10 | two pairs
♥7, ♥7, ♥5, ♦5, ♠J | two pairs
♥7, ♥7, ♥5, ♦5, ♣3 | two pairs
♥7, ♥7, ♥5, ♦5, ♣10 | two pairs
♥7, ♥7, ♥5, ♦5, ♣5 | fullhouse
♥7, ♥7, ♥5, ♦5, ♠8 | two pairs
♥7, ♥7, ♥5, ♣10, ♠J | pair
♥7, ♥7, ♥5, ♣10, ♣3 | pair
♥7, ♥7, ♥5, ♣10, ♣10 | two pairs
♥7, ♥7, ♥5, ♣10, ♣5 | two pairs
♥7, ♥7, ♥5, ♣10, ♠8 | pair
♥7, ♥7, ♥5, ♠J, ♣3 | pair
♥7, ♥7, ♥5, ♠J, ♣10 | pair
♥7, ♥7, ♥5, ♠J, ♣5 | two pairs
♥7, ♥7, ♥5, ♠J, ♠8 | pair
♥7, ♥7, ♥5, ♣3, ♣10 | pair
♥7, ♥7, ♥5, ♣3, ♣5 | two pairs
♥7, ♥7, ♥5, ♣3, ♠8 | pair
♥7, ♥7, ♥5, ♣10, ♣5 | two pairs
♥7, ♥7, ♥5, ♣10, ♠8 | pair
♥7, ♥7, ♥5, ♣5, ♠8 | two pairs
♥7, ♥7, ♠A, ♣K, ♣A | two pairs
♥7, ♥7, ♠A, ♣K, ♥5 | pair
♥7, ♥7, ♠A, ♣K, ♠K | two pairs
♥7, ♥7, ♠A, ♣K, ♦5 | pair
♥7, ♥7, ♠A, ♣K, ♣10 | pair
♥7, ♥7, ♠A, ♣K, ♠J | pair
♥7, ♥7, ♠A, ♣K, ♣3 | pair
♥7, ♥7, ♠A, ♣K, ♣10 | pair
♥7, ♥7, ♠A, ♣K, ♣5 | pair
♥7, ♥7, ♠A, ♣K, ♠8 | pair
♥7, ♥7, ♠A, ♣A, ♥5 | two pairs
♥7, ♥7, ♠A, ♣A, ♠K | two pairs
♥7, ♥7, ♠A, ♣A, ♦5 | two pairs
♥7, ♥7, ♠A, ♣A, ♣10 | two pairs
♥7, ♥7, ♠A, ♣A, ♠J | two pairs
♥7, ♥7, ♠A, ♣A, ♣3 | two pairs
♥7, ♥7, ♠A, ♣A, ♣10 | two pairs
♥7, ♥7, ♠A, ♣A, ♣5 | two pairs
♥7, ♥7, ♠A, ♣A, ♠8 | two pairs
♥7, ♥7, ♠A, ♥5, ♠K | pair
♥7, ♥7, ♠A, ♥5, ♦5 | two pairs
♥7, ♥7, ♠A, ♥5, ♣10 | pair
♥7, ♥7, ♠A, ♥5, ♠J | pair
♥7, ♥7, ♠A, ♥5, ♣3 | pair
♥7, ♥7, ♠A, ♥5, ♣10 | pair
♥7, ♥7, ♠A, ♥5, ♣5 | two pairs
♥7, ♥7, ♠A, ♥5, ♠8 | pair
♥7, ♥7, ♠A, ♠K, ♦5 | pair
♥7, ♥7, ♠A, ♠K, ♣10 | pair
♥7, ♥7, ♠A, ♠K, ♠J | pair
♥7, ♥7, ♠A, ♠K, ♣3 | pair
♥7, ♥7, ♠A, ♠K, ♣10 | pair
♥7, ♥7, ♠A, ♠K, ♣5 | pair
♥7, ♥7, ♠A, ♠K, ♠8 | pair
♥7, ♥7, ♠A, ♦5, ♣10 | pair
♥7, ♥7, ♠A, ♦5, ♠J | pair
♥7, ♥7, ♠A, ♦5, ♣3 | pair
♥7, ♥7, ♠A, ♦5, ♣10 | pair
♥7, ♥7, ♠A, ♦5, ♣5 | two pairs
♥7, ♥7, ♠A, ♦5, ♠8 | pair
♥7, ♥7, ♠A, ♣10, ♠J | pair
♥7, ♥7, ♠A, ♣10, ♣3 | pair
♥7, ♥7, ♠A, ♣10, ♣10 | two pairs
♥7, ♥7, ♠A, ♣10, ♣5 | pair
♥7, ♥7, ♠A, ♣10, ♠8 | pair
♥7, ♥7, ♠A, ♠J, ♣3 | pair
♥7, ♥7, ♠A, ♠J, ♣10 | pair
♥7, ♥7, ♠A, ♠J, ♣5 | pair
♥7, ♥7, ♠A, ♠J, ♠8 | pair
♥7, ♥7, ♠A, ♣3, ♣10 | pair
♥7, ♥7, ♠A, ♣3, ♣5 | pair
♥7, ♥7, ♠A, ♣3, ♠8 | pair
♥7, ♥7, ♠A, ♣10, ♣5 | pair
♥7, ♥7, ♠A, ♣10, ♠8 | pair
♥7, ♥7, ♠A, ♣5, ♠8 | pair
♥7, ♥7, ♣K, ♣A, ♥5 | pair
♥7, ♥7, ♣K, ♣A, ♠K | two pairs
♥7, ♥7, ♣K, ♣A, ♦5 | pair
♥7, ♥7, ♣K, ♣A, ♣10 | pair
♥7, ♥7, ♣K, ♣A, ♠J | pair
♥7, ♥7, ♣K, ♣A, ♣3 | pair
♥7, ♥7, ♣K, ♣A, ♣10 | pair
♥7, ♥7, ♣K, ♣A, ♣5 | pair
♥7, ♥7, ♣K, ♣A, ♠8 | pair
♥7, ♥7, ♣K, ♥5, ♠K | two pairs
♥7, ♥7, ♣K, ♥5, ♦5 | two pairs
♥7, ♥7, ♣K, ♥5, ♣10 | pair
♥7, ♥7, ♣K, ♥5, ♠J | pair
♥7, ♥7, ♣K, ♥5, ♣3 | pair
♥7, ♥7, ♣K, ♥5, ♣10 | pair
♥7, ♥7, ♣K, ♥5, ♣5 | two pairs
♥7, ♥7, ♣K, ♥5, ♠8 | pair
♥7, ♥7, ♣K, ♠K, ♦5 | two pairs
♥7, ♥7, ♣K, ♠K, ♣10 | two pairs
♥7, ♥7, ♣K, ♠K, ♠J | two pairs
♥7, ♥7, ♣K, ♠K, ♣3 | two pairs
♥7, ♥7, ♣K, ♠K, ♣10 | two pairs
♥7, ♥7, ♣K, ♠K, ♣5 | two pairs
♥7, ♥7, ♣K, ♠K, ♠8 | two pairs
♥7, ♥7, ♣K, ♦5, ♣10 | pair
♥7, ♥7, ♣K, ♦5, ♠J | pair
♥7, ♥7, ♣K, ♦5, ♣3 | pair
♥7, ♥7, ♣K, ♦5, ♣10 | pair
♥7, ♥7, ♣K, ♦5, ♣5 | two pairs
♥7, ♥7, ♣K, ♦5, ♠8 | pair
♥7, ♥7, ♣K, ♣10, ♠J | pair
♥7, ♥7, ♣K, ♣10, ♣3 | pair
♥7, ♥7, ♣K, ♣10, ♣10 | two pairs
♥7, ♥7, ♣K, ♣10, ♣5 | pair
♥7, ♥7, ♣K, ♣10, ♠8 | pair
♥7, ♥7, ♣K, ♠J, ♣3 | pair
♥7, ♥7, ♣K, ♠J, ♣10 | pair
♥7, ♥7, ♣K, ♠J, ♣5 | pair
♥7, ♥7, ♣K, ♠J, ♠8 | pair
♥7, ♥7, ♣K, ♣3, ♣10 | pair
♥7, ♥7, ♣K, ♣3, ♣5 | pair
♥7, ♥7, ♣K, ♣3, ♠8 | pair
♥7, ♥7, ♣K, ♣10, ♣5 | pair
♥7, ♥7, ♣K, ♣10, ♠8 | pair
♥7, ♥7, ♣K, ♣5, ♠8 | pair
♥7, ♥7, ♣A, ♥5, ♠K | pair
♥7, ♥7, ♣A, ♥5, ♦5 | two pairs
♥7, ♥7, ♣A, ♥5, ♣10 | pair
♥7, ♥7, ♣A, ♥5, ♠J | pair
♥7, ♥7, ♣A, ♥5, ♣3 | pair
♥7, ♥7, ♣A, ♥5, ♣10 | pair
♥7, ♥7, ♣A, ♥5, ♣5 | two pairs
♥7, ♥7, ♣A, ♥5, ♠8 | pair
♥7, ♥7, ♣A, ♠K, ♦5 | pair
♥7, ♥7, ♣A, ♠K, ♣10 | pair
♥7, ♥7, ♣A, ♠K, ♠J | pair
♥7, ♥7, ♣A, ♠K, ♣3 | pair
♥7, ♥7, ♣A, ♠K, ♣10 | pair
♥7, ♥7, ♣A, ♠K, ♣5 | pair
♥7, ♥7, ♣A, ♠K, ♠8 | pair
♥7, ♥7, ♣A, ♦5, ♣10 | pair
♥7, ♥7, ♣A, ♦5, ♠J | pair
♥7, ♥7, ♣A, ♦5, ♣3 | pair
♥7, ♥7, ♣A, ♦5, ♣10 | pair
♥7, ♥7, ♣A, ♦5, ♣5 | two pairs
♥7, ♥7, ♣A, ♦5, ♠8 | pair
♥7, ♥7, ♣A, ♣10, ♠J | pair
♥7, ♥7, ♣A, ♣10, ♣3 | pair
♥7, ♥7, ♣A, ♣10, ♣10 | two pairs
♥7, ♥7, ♣A, ♣10, ♣5 | pair
♥7, ♥7, ♣A, ♣10, ♠8 | pair
♥7, ♥7, ♣A, ♠J, ♣3 | pair
♥7, ♥7, ♣A, ♠J, ♣10 | pair
♥7, ♥7, ♣A, ♠J, ♣5 | pair
♥7, ♥7, ♣A, ♠J, ♠8 | pair
♥7, ♥7, ♣A, ♣3, ♣10 | pair
♥7, ♥7, ♣A, ♣3, ♣5 | pair
♥7, ♥7, ♣A, ♣3, ♠8 | pair
♥7, ♥7, ♣A, ♣10, ♣5 | pair
♥7, ♥7, ♣A, ♣10, ♠8 | pair
♥7, ♥7, ♣A, ♣5, ♠8 | pair
♥7, ♥7, ♥5, ♠K, ♦5 | two pairs
♥7, ♥7, ♥5, ♠K, ♣10 | pair
♥7, ♥7, ♥5, ♠K, ♠J | pair
♥7, ♥7, ♥5, ♠K, ♣3 | pair
♥7, ♥7, ♥5, ♠K, ♣10 | pair
♥7, ♥7, ♥5, ♠K, ♣5 | two pairs
♥7, ♥7, ♥5, ♠K, ♠8 | pair
♥7, ♥7, ♥5, ♦5, ♣10 | two pairs
♥7, ♥7, ♥5, ♦5, ♠J | two pairs
♥7, ♥7, ♥5, ♦5, ♣3 | two pairs
♥7, ♥7, ♥5, ♦5, ♣10 | two pairs
♥7, ♥7, ♥5, ♦5, ♣5 | fullhouse
♥7, ♥7, ♥5, ♦5, ♠8 | two pairs
♥7, ♥7, ♥5, ♣10, ♠J | pair
♥7, ♥7, ♥5, ♣10, ♣3 | pair
♥7, ♥7, ♥5, ♣10, ♣10 | two pairs
♥7, ♥7, ♥5, ♣10, ♣5 | two pairs
♥7, ♥7, ♥5, ♣10, ♠8 | pair
♥7, ♥7, ♥5, ♠J, ♣3 | pair
♥7, ♥7, ♥5, ♠J, ♣10 | pair
♥7, ♥7, ♥5, ♠J, ♣5 | two pairs
♥7, ♥7, ♥5, ♠J, ♠8 | pair
♥7, ♥7, ♥5, ♣3, ♣10 | pair
♥7, ♥7, ♥5, ♣3, ♣5 | two pairs
♥7, ♥7, ♥5, ♣3, ♠8 | pair
♥7, ♥7, ♥5, ♣10, ♣5 | two pairs
♥7, ♥7, ♥5, ♣10, ♠8 | pair
♥7, ♥7, ♥5, ♣5, ♠8 | two pairs
♥7, ♥7, ♠K, ♦5, ♣10 | pair
♥7, ♥7, ♠K, ♦5, ♠J | pair
♥7, ♥7, ♠K, ♦5, ♣3 | pair
♥7, ♥7, ♠K, ♦5, ♣10 | pair
♥7, ♥7, ♠K, ♦5, ♣5 | two pairs
♥7, ♥7, ♠K, ♦5, ♠8 | pair
♥7, ♥7, ♠K, ♣10, ♠J | pair
♥7, ♥7, ♠K, ♣10, ♣3 | pair
♥7, ♥7, ♠K, ♣10, ♣10 | two pairs
♥7, ♥7, ♠K, ♣10, ♣5 | pair
♥7, ♥7, ♠K, ♣10, ♠8 | pair
♥7, ♥7, ♠K, ♠J, ♣3 | pair
♥7, ♥7, ♠K, ♠J, ♣10 | pair
♥7, ♥7, ♠K, ♠J, ♣5 | pair
♥7, ♥7, ♠K, ♠J, ♠8 | pair
♥7, ♥7, ♠K, ♣3, ♣10 | pair
♥7, ♥7, ♠K, ♣3, ♣5 | pair
♥7, ♥7, ♠K, ♣3, ♠8 | pair
♥7, ♥7, ♠K, ♣10, ♣5 | pair
♥7, ♥7, ♠K, ♣10, ♠8 | pair
♥7, ♥7, ♠K, ♣5, ♠8 | pair
♥7, ♥7, ♦5, ♣10, ♠J | pair
♥7, ♥7, ♦5, ♣10, ♣3 | pair
♥7, ♥7, ♦5, ♣10, ♣10 | two pairs
♥7, ♥7, ♦5, ♣10, ♣5 | two pairs
♥7, ♥7, ♦5, ♣10, ♠8 | pair
♥7, ♥7, ♦5, ♠J, ♣3 | pair
♥7, ♥7, ♦5, ♠J, ♣10 | pair
♥7, ♥7, ♦5, ♠J, ♣5 | two pairs
♥7, ♥7, ♦5, ♠J, ♠8 | pair
♥7, ♥7, ♦5, ♣3, ♣10 | pair
♥7, ♥7, ♦5, ♣3, ♣5 | two pairs
♥7, ♥7, ♦5, ♣3, ♠8 | pair
♥7, ♥7, ♦5, ♣10, ♣5 | two pairs
♥7, ♥7, ♦5, ♣10, ♠8 | pair
♥7, ♥7, ♦5, ♣5, ♠8 | two pairs
♥7, ♥7, ♣10, ♠J, ♣3 | pair
♥7, ♥7, ♣10, ♠J, ♣10 | two pairs
♥7, ♥7, ♣10, ♠J, ♣5 | pair
♥7, ♥7, ♣10, ♠J, ♠8 | pair
♥7, ♥7, ♣10, ♣3, ♣10 | two pairs
♥7, ♥7, ♣10, ♣3, ♣5 | pair
♥7, ♥7, ♣10, ♣3, ♠8 | pair
♥7, ♥7, ♣10, ♣10, ♣5 | two pairs
♥7, ♥7, ♣10, ♣10, ♠8 | two pairs
♥7, ♥7, ♣10, ♣5, ♠8 | pair
♥7, ♥7, ♠J, ♣3, ♣10 | pair
♥7, ♥7, ♠J, ♣3, ♣5 | pair
♥7, ♥7, ♠J, ♣3, ♠8 | pair
♥7, ♥7, ♠J, ♣10, ♣5 | pair
♥7, ♥7, ♠J, ♣10, ♠8 | pair
♥7, ♥7, ♠J, ♣5, ♠8 | pair
♥7, ♥7, ♣3, ♣10, ♣5 | pair
♥7, ♥7, ♣3, ♣10, ♠8 | pair
♥7, ♥7, ♣3, ♣5, ♠8 | pair
♥7, ♥7, ♣10, ♣5, ♠8 | pair
♥7, ♦Q, ♥5, ♠A, ♣A | pair
♥7, ♦Q, ♥5, ♠A, ♥5 | pair
♥7, ♦Q, ♥5, ♠A, ♦5 | pair
♥7, ♦Q, ♥5, ♠A, ♣5 | pair
♥7, ♦Q, ♥5, ♣K, ♥5 | pair
♥7, ♦Q, ♥5, ♣K, ♠K | pair
♥7, ♦Q, ♥5, ♣K, ♦5 | pair
♥7, ♦Q, ♥5, ♣K, ♣5 | pair
♥7, ♦Q, ♥5, ♣A, ♥5 | pair
♥7, ♦Q, ♥5, ♣A, ♦5 | pair
♥7, ♦Q, ♥5, ♣A, ♣5 | pair
♥7, ♦Q, ♥5, ♥5, ♠K | pair
♥7, ♦Q, ♥5, ♥5, ♦5 | three of a kind
♥7, ♦Q, ♥5, ♥5, ♣10 | pair
♥7, ♦Q, ♥5, ♥5, ♠J | pair
♥7, ♦Q, ♥5, ♥5, ♣3 | pair
♥7, ♦Q, ♥5, ♥5, ♣10 | pair
♥7, ♦Q, ♥5, ♥5, ♣5 | three of a kind
♥7, ♦Q, ♥5, ♥5, ♠8 | pair
♥7, ♦Q, ♥5, ♠K, ♦5 | pair
♥7, ♦Q, ♥5, ♠K, ♣5 | pair
♥7, ♦Q, ♥5, ♦5, ♣10 | pair
♥7, ♦Q, ♥5, ♦5, ♠J | pair
♥7, ♦Q, ♥5, ♦5, ♣3 | pair
♥7, ♦Q, ♥5, ♦5, ♣10 | pair
♥7, ♦Q, ♥5, ♦5, ♣5 | three of a kind
♥7, ♦Q, ♥5, ♦5, ♠8 | pair
♥7, ♦Q, ♥5, ♣10, ♣10 | pair
♥7, ♦Q, ♥5, ♣10, ♣5 | pair
♥7, ♦Q, ♥5, ♠J, ♣5 | pair
♥7, ♦Q, ♥5, ♣3, ♣5 | pair
♥7, ♦Q, ♥5, ♣10, ♣5 | pair
♥7, ♦Q, ♥5, ♣5, ♠8 | pair
♥7, ♦Q, ♠A, ♣K, ♣A | pair
♥7, ♦Q, ♠A, ♣K, ♠K | pair
♥7, ♦Q, ♠A, ♣A, ♥5 | pair
♥7, ♦Q, ♠A, ♣A, ♠K | pair
♥7, ♦Q, ♠A, ♣A, ♦5 | pair
♥7, ♦Q, ♠A, ♣A, ♣10 | pair
♥7, ♦Q, ♠A, ♣A, ♠J | pair
♥7, ♦Q, ♠A, ♣A, ♣3 | pair
♥7, ♦Q, ♠A, ♣A, ♣10 | pair
♥7, ♦Q, ♠A, ♣A, ♣5 | pair
♥7, ♦Q, ♠A, ♣A, ♠8 | pair
♥7, ♦Q, ♠A, ♥5, ♦5 | pair
♥7, ♦Q, ♠A, ♥5, ♣5 | pair
♥7, ♦Q, ♠A, ♦5, ♣5 | pair
♥7, ♦Q, ♠A, ♣10, ♣10 | pair
♥7, ♦Q, ♣K, ♣A, ♠K | pair
♥7, ♦Q, ♣K, ♥5, ♠K | pair
♥7, ♦Q, ♣K, ♥5, ♦5 | pair
♥7, ♦Q, ♣K, ♥5, ♣5 | pair
♥7, ♦Q, ♣K, ♠K, ♦5 | pair
♥7, ♦Q, ♣K, ♠K, ♣10 | pair
♥7, ♦Q, ♣K, ♠K, ♠J | pair
♥7, ♦Q, ♣K, ♠K, ♣3 | pair
♥7, ♦Q, ♣K, ♠K, ♣10 | pair
♥7, ♦Q, ♣K, ♠K, ♣5 | pair
♥7, ♦Q, ♣K, ♠K, ♠8 | pair
♥7, ♦Q, ♣K, ♦5, ♣5 | pair
♥7, ♦Q, ♣K, ♣10, ♣10 | pair
♥7, ♦Q, ♣A, ♥5, ♦5 | pair
♥7, ♦Q, ♣A, ♥5, ♣5 | pair
♥7, ♦Q, ♣A, ♦5, ♣5 | pair
♥7, ♦Q, ♣A, ♣10, ♣10 | pair
♥7, ♦Q, ♥5, ♠K, ♦5 | pair
♥7, ♦Q, ♥5, ♠K, ♣5 | pair
♥7, ♦Q, ♥5, ♦5, ♣10 | pair
♥7, ♦Q, ♥5, ♦5, ♠J | pair
♥7, ♦Q, ♥5, ♦5, ♣3 | pair
♥7, ♦Q, ♥5, ♦5, ♣10 | pair
♥7, ♦Q, ♥5, ♦5, ♣5 | three of a kind
♥7, ♦Q, ♥5, ♦5, ♠8 | pair
♥7, ♦Q, ♥5, ♣10, ♣10 | pair
♥7, ♦Q, ♥5, ♣10, ♣5 | pair
♥7, ♦Q, ♥5, ♠J, ♣5 | pair
♥7, ♦Q, ♥5, ♣3, ♣5 | pair
♥7, ♦Q, ♥5, ♣10, ♣5 | pair
♥7, ♦Q, ♥5, ♣5, ♠8 | pair
♥7, ♦Q, ♠K, ♦5, ♣5 | pair
♥7, ♦Q, ♠K, ♣10, ♣10 | pair
♥7, ♦Q, ♦5, ♣10, ♣10 | pair
♥7, ♦Q, ♦5, ♣10, ♣5 | pair
♥7, ♦Q, ♦5, ♠J, ♣5 | pair
♥7, ♦Q, ♦5, ♣3, ♣5 | pair
♥7, ♦Q, ♦5, ♣10, ♣5 | pair
♥7, ♦Q, ♦5, ♣5, ♠8 | pair
♥7, ♦Q, ♣10, ♠J, ♣10 | pair
♥7, ♦Q, ♣10, ♣3, ♣10 | pair
♥7, ♦Q, ♣10, ♣10, ♣5 | pair
♥7, ♦Q, ♣10, ♣10, ♠8 | pair
♥7, ♥5, ♠A, ♣K, ♣A | pair
♥7, ♥5, ♠A, ♣K, ♥5 | pair
♥7, ♥5, ♠A, ♣K, ♠K | pair
♥7, ♥5, ♠A, ♣K, ♦5 | pair
♥7, ♥5, ♠A, ♣K, ♣5 | pair
♥7, ♥5, ♠A, ♣A, ♥5 | two pairs
♥7, ♥5, ♠A, ♣A, ♠K | pair
♥7, ♥5, ♠A, ♣A, ♦5 | two pairs
♥7, ♥5, ♠A, ♣A, ♣10 | pair
♥7, ♥5, ♠A, ♣A, ♠J | pair
♥7, ♥5, ♠A, ♣A, ♣3 | pair
♥7, ♥5, ♠A, ♣A, ♣10 | pair
♥7, ♥5, ♠A, ♣A, ♣5 | two pairs
♥7, ♥5, ♠A, ♣A, ♠8 | pair
♥7, ♥5, ♠A, ♥5, ♠K | pair
♥7, ♥5, ♠A, ♥5, ♦5 | three of a kind
♥7, ♥5, ♠A, ♥5, ♣10 | pair
♥7, ♥5, ♠A, ♥5, ♠J | pair
♥7, ♥5, ♠A, ♥5, ♣3 | pair
♥7, ♥5, ♠A, ♥5, ♣10 | pair
♥7, ♥5, ♠A, ♥5, ♣5 | three of a kind
♥7, ♥5, ♠A, ♥5, ♠8 | pair
♥7, ♥5, ♠A, ♠K, ♦5 | pair
♥7, ♥5, ♠A, ♠K, ♣5 | pair
♥7, ♥5, ♠A, ♦5, ♣10 | pair
♥7, ♥5, ♠A, ♦5, ♠J | pair
♥7, ♥5, ♠A, ♦5, ♣3 | pair
♥7, ♥5, ♠A, ♦5, ♣10 | pair
♥7, ♥5, ♠A, ♦5, ♣5 | three of a kind
♥7, ♥5, ♠A, ♦5, ♠8 | pair
♥7, ♥5, ♠A, ♣10, ♣10 | pair
♥7, ♥5, ♠A, ♣10, ♣5 | pair
